category,word,score
2013,건강,750
2013,사랑,540
2013,여성,484
2013,노후,471
2013,치매,470
2013,시대,444
2013,금융,437
2013,100세,429
2013,일자리,429
2013,행복,401
2013,사회,389
2013,고령화,378
2013,경제,371
2013,보험,366
2013,가족,333
2013,포토,328
2013,필요,311
2013,지원,307
2013,피부,300
2013,정부,294
2013,연금,273
2013,확대,250
2013,나눔,237
2013,독거노인,235
2013,우리,227
2013,보장,221
2013,복지,221
2013,실시,219
2013,국민연금,215
2013,강화,212
2013,결혼,210
2013,봉사활동,209
2013,희망,208
2013,현대,206
2013,관리,203
2013,mbn,201
2013,삼성,197
2013,아파트,195
2013,사람,194
2013,치료,192
2013,선물,191
2013,가능,191
2013,인생,190
2013,암보험,188
2013,국민,187
2013,최대,187
2013,교육,184
2013,재테크,184
2013,대표,182
2013,내년,181
2013,공개,181
2013,예방,180
2013,세계,179
2013,인기,176
2013,상품,174
2013,환자,172
2013,이지아,172
2013,일본,171
2013,판매,171
2013,실버,167
2013,글로벌,166
2013,급증,165
2013,회장,163
2013,준비,162
2013,세대,161
2013,가입,161
2013,노화,160
2013,연탄,156
2013,대비,156
2013,겨울,154
2013,부동산,153
2013,분양,152
2013,고객,151
2013,문화,151
2013,한화,150
2013,도입,147
2013,개선,144
2013,교수,141
2013,위험,141
2013,자녀,140
2013,마련,140
2013,모집,139
2013,개발,138
2013,감독,138
2013,중요,136
2013,기부,135
2013,중국,134
2013,시작,132
2013,성공,131
2013,무료,130
2013,남성,129
2013,영화,129
2013,할머니,127
2013,공효진,127
2013,얼굴,127
2013,기대,126
2013,60세,126
2013,다이어트,125
2013,논란,125
2013,추석,124
2014,건강,866
2014,출시,750
2014,치매,654
2014,100세,628
2014,한국,600
2014,여성,562
2014,노후,558
2014,사랑,503
2014,피부,500
2014,시대,476
2014,경제,431
2014,행복,360
2014,금융,352
2014,가족,337
2014,지원,328
2014,내년,324
2014,확대,320
2014,필요,319
2014,예방,318
2014,환자,314
2014,노화,300
2014,고령화,294
2014,독거노인,290
2014,아파트,281
2014,정부,273
2014,가능,271
2014,연금,269
2014,최대,268
2014,나눔,267
2014,영화,264
2014,주목,254
2014,의료실비보험,253
2014,오늘,250
2014,교수,243
2014,신하균,240
2014,실시,240
2014,관리,237
2014,세월호,237
2014,복지,237
2014,전달,234
2014,보험,231
2014,증가,231
2014,논란,228
2014,안전,225
2014,부담,225
2014,부동산,223
2014,삼성,222
2014,일자리,218
2014,판매,213
2014,올해,212
