Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.08.31.,세계일보,,[IFA2023] “사람·기술·환경을 잇다”…삼성의 ‘베를린 비전’은,,,http://www.segye.com/newsView/20230831500374?OutUrl=naver,http://www.segye.com
2023-08-31 11:04:06,국제신문언론사 선정,경제,"BMC, 영구임대 장기 거주자 리모델링 세대로 이전 추진","[ IFA서 만난 삼성의 미래스마트싱스 ‘초연결성’ 강화AI로 친환경·에너지 절감도마이크로 LED, Neo QLED 8K갤Z플립·폴드5, 탭 S9까지다양한 프리미엄 제품 선보여삼성전자가 9월1∼5일(현지시간) 독일 베를린에서 열리는 유럽 최대 가전 전시회 ‘IFA 2023’에 참가한다.     삼성전자는 이번 전시회에서 ‘의미 있는 연결’(Connection that matters)을 주제로 스마트싱스 앱을 통한 통합 연결 경험과 지속가능한 미래를 위한 친환경 기술을 유럽 시장에 선보일 계획이라고 31일 밝혔다.     삼성전자는 IFA 2023이 열리는 메세 베를린 내 ‘시티 큐브 베를린’에 업계 최대 규모인 6026㎡(약 1823평)의 전시장을 마련했다.            ‘IFA 2023’이 열리는 독일 ‘메세 베를린’ 위치한 삼성전자 전시관에서 삼성전자 모델이 스마트싱스 체험존을 소개하고 있다.     삼성전자 제공    전시장 입구에는 초대형 마이크로 LED 디스플레이 ‘더 월’을 활용한 새로운 개념의 미디어 파사드를 설치했다.     미디어 파사드는 상단의 스토리 영상과 하단의 제품 쇼케이스가 상호작용을 하면서 일상을 더 의미 있게 만드는 스마트싱스 경험을 소개한다.     전시장은 스마트싱스와 지속가능성을 중심으로 영상 디스플레이·생활가전·모바일 등 다양한 최신 제품들을 만날 수 있는 공간으로 구성된다.     삼성전자 관계자는 “단순한 제품 간 연결을 뛰어넘어 사람과 사람·기술·환경 간 유기적 연결을 위한 다양한 파트너십을 바탕으로 인류의 내일에 기여하는 삼성의 미래 비전을 유럽 고객들에게 알리겠다”고 말했다.           ◆스마트싱스의 진화     삼성전자는 이번 IFA에서 15개 파트너사와 협력해 ‘스마트싱스와 지속가능성 존’을 조성한다.     스마트싱스 존은 유럽 고객을 겨냥한 △홈 컨트롤·시큐리티 △헬스·웰니스 △엔터테인먼트 주제로 꾸며진다.     홈 컨트롤·시큐리티 존에선 하나의 월패드에서 조명·에어컨·도어락 등 다양한 기기를 제어할 수 있다. ‘스마트싱스 홈 모니터 서비스’와 각종 센서 등은 외부 침입이나 화재 발생 등 집안에서 일어나는 크고 작은 위험에 대비한다.     헬스·웰니스 존에선 인공지능(AI) 기술을 기반으로 다양한 레시피를 개인 맞춤형으로 제공하고 온라인 쇼핑까지 연계하는 통합 식생활 솔루션 ‘삼성푸드’를 선보인다.     TV를 중심으로 파트너사 요기파이 앱과 매트를 연동해 개인에 최적화된 홈 트레이닝도 만나볼 수 있다.     엔터테인먼트 존에선 갤럭시 S23을 통해 무선 스피커를 제어, 여러 기기에서 편리하게 음악을 감상하고 게이머들에게 최적화된 환경을 제공하는 스마트싱스 기능도 선보인다.            ‘IFA 2023’이 열리는 독일 ‘메세 베를린’ 위치한 삼성전자 전시관에서 삼성전자 모델이 푸드 AI 기반으로 맞춤형 레시피 제공하는 ‘삼성 푸드’ 서비스를 소개하고 있는 모습.    삼성전자 제공    ◆재활용·넷제로…삼성의 친환경     삼성전자는 IFA 2023에서 제품 생애주기를 소재·생산·운송·사용·재활용의 5단계로 구분하고 각 단계에서 지속가능성을 높이기 위해 진행 중인 친환경 활동을 소개한다. 친환경 패키지, 솔라셀 리모트, 갤럭시 Z 플립5에 적용된 재활용 소재, 세탁기에 부착하는 미세플라스틱 저감 필터 등이다.     스마트싱스 기반으로 에너지를 효과적으로 절감할 수 있는 다양한 솔루션을 선보인다.     올해 새로 도입된 ‘탄소 집약도 인사이트’ 기능을 활용하면, 사용자가 거주하는 국가별, 시간별 에너지 발전 상황에 따라 달라지는 ‘탄소 집약도’를 확인해 탄소 배출이 가장 적은 시간을 선택해 에너지를 소비할 수 있다.     스마트싱스 에너지 서비스는 올해 전력회사, 수요반응(DR, Demand Response) 서비스 업체와의 협력을 확대해 가정의 에너지 사용량을 쉽게 절감할 수 있는 ‘오토 DR’ 기능을 제공한다.     전력 공급 업체가 사용자에게 전기 사용량이 많은 피크 시간을 예상해 알려주면, 스마트싱스 앱에 등록된 가전들이 자동으로 AI 절약 모드로 전환되는 방식이다.     AI 절약 모드는 가구의 월별 에너지 사용량을 예측하고 설정된 목표 사용량에 맞춰 가전을 자동으로 절전모드로 동작시키는 기능이다. 삼성전자에 따르면 세탁기의 경우 전력 사용량을 최대 60%까지 추가 절감할 수 있다.     또 태양광 패널로 에너지를 생산해 가정용 배터리에 보관하고 스마트싱스 에너지를 기반으로 에너지를 효율적으로 관리하는 ‘넷제로 홈 솔루션’도 전시한다.            ‘IFA 2023’이 열리는 독일 ‘메세 베를린’ 위치한 삼성전자 전시관 입구에 마련된 지속가능존에서 삼성전자 모델이 재활용 소재를 적용한 다양한 삼성 제품을 소개하고 있다.    삼성전자 제공    ◆AI·친환경 더한 비스포크     삼성전자는 이번 IFA에서 다양한 비스포크 가전을 소개한다.     이번에 새로 공개하는 세탁기는 독자 기술인 ‘에코버블’과 AI 기능을 접목했다.     에코버블은 세제 거품이 옷감 사이에 침투해 얼룩을 지우는 기술로, 찬물에서도 빠르고 깨끗한 세탁이 가능하다. 삼성전자에 따르면 유럽연합(EU) 에너지 라벨의 최고등급인 A등급보다 40% 더 에너지를 절감할 수 있다. AI는 세탁물의 무게와 오염도를 측정해 물과 세제를 필요한 만큼만 사용한다.     삼성전자는 25kg 용량 세탁기와 13kg 용량 건조기를 통합해 공간 활용도를 높인 제품도 선보인다. 코스를 한눈에 확인 가능한 ‘7형 와이드 터치 LCD’로 직관성을 높이고 ‘디지털 인버터 히트펌프’ 등을 적용해 시중의 세탁건조기보다 건조 성능을 대폭 높였다.     삼성전자는 지난해 IFA에서 아웃도어 브랜드 파타고니아와 협업 개발한 ‘미세플라스틱 저감 코스’를 공개해 주목받은 데 이어 올해 전시에서는 세탁기 외부에 탑재하는 ‘미세플라스틱 저감 필터’를 선보였다. 이 필터는 세탁 시 발생하는 미세플라스틱 배출량을 약 98% 줄인다.     내부 카메라로 식재료를 인식해 레시피를 제안하는 ‘비스포크 AI 오븐’, 글로벌 인증기관 UL로부터 무선 스틱 청소기로는 세계 최초 AI 검증을 받은 ‘비스포크 제트 AI’ 등 AI 기술이 적용된 가전을 다수 전시한다.            ‘IFA 2023’이 열리는 독일 ‘메세 베를린’ 위치한 삼성전자 전시관에서 삼성전자 모델이 ‘Neo QLED 8K’를 소개하고 있다.    삼성전자 제공    ◆‘거거익선’ TV 시장 공략     삼성전자는 마이크로 LED와 Neo QLED 8K·4K, OLED 기술 리더십을 강화하며 초대형 스크린 라인업을 확대하고 있다.     최상위 라인업인 마이크로 LED는 마이크로미터(㎛) 단위의 LED가 백라이트나 컬러필터 없이 스스로 빛과 색을 내 최상의 화질을 구현하는 초프리미엄 스크린이다.     삼성전자는 올해 IFA에서 76형부터 140형까지 5가지 마이크로 LED 라인업을 선보이며 초프리미엄 시장을 공략한다.·     빅 스크린 존에 마련된 고화질·초대형 라인업 Neo QLED 8K·4K, QLED 4K 등 98형 3종 모델은 유럽 홈 시네마 시장을 겨냥한다.     이번 전시회에서 처음 선보이는 ‘더 프리스타일’ 2세대 모델은 스마트 엣지 블렌딩 기능이 적용돼 2대의 제품으로 21:9 비율의 대형 스크린을 구현할 수 있어 영화관과 같은 스크린 경험을 즐길 수 있다.     삼성 고유의 게이밍 플랫폼 서비스 ‘게이밍 허브’와 게이밍 모니터 제품들도 소개한다.     게이밍 허브는 TV, 게이밍 모니터, 더 프리스타일 2세대 등 삼성의 스크린 기기만 있으면 별도 콘솔과 PC 없이 스트리밍 게임 서비스를 즐길 수 있는 플랫폼으로 신규 파트너십을 지속 확대해 현재 약 3000개의 게임을 즐길 수 있다.            ‘IFA 2023’이 열리는 독일 ‘메세 베를린’ 위치한 삼성전자 전시관에서 삼성전자 모델이 ‘갤럭시 Z 플립·폴드5’를 소개하고 있다.    삼성전자 제공     ◆빠질 수 없는 ‘갤럭시’     삼성전자는 지난 7월26일 갤럭시 언팩에서 공개된 갤럭시 Z 플립5·Z 폴드5·워치6 시리즈·탭 S9 시리즈도 이번 IFA에서 만나볼 수 있다.     방문객들은 갤럭시 Z 플립5의 더 커진 커버스크린 ‘플렉스 윈도우’를 통해 고화질 셀피, 다양한 각도의 핸즈프리 사진을 촬영할 수 있다.       개인 맞춤형 체험 공간에서는 갤럭시 Z 플립5의 ‘플립수트 케이스’를 비롯한 다양한 종류의 액세서리를 경험해 볼 수 있다.     갤럭시 Z 폴드5와 갤럭시 탭 S9 시리즈의 강력한 성능과 대화면을 통해 몰입감 높은 게이밍 경험을 할 수 있도록 게임 체험 공간도 마련됐다.     헬스&amp;웰니스 체험 공간을 방문하는 고객은 갤럭시 워치6를 활용해 자신의 수면 패턴과 유사한 동물 유형을 확인할 수 있다. 코칭 프로그램이 제공하는 맞춤형 가이드와 숙면에 도움이 되는 팁도 제공된다. ]",[],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20230831.99099009927,https://n.news.naver.com/mnews/article/022/0003850746?sid=101
2023.08.30.,머니S,,"인천 남동구, 반지하 세대 '거주환경' 실태 전수조사",,,http://moneys.mt.co.kr/news/mwView.php?no=2023083010584921693,http://www.kookje.co.kr/
2023-08-31 13:25:04,천지일보,경제,여수시 출산·양육하기 좋은 환경 돕는다,"[ 25년 이상에 110가구 제공부산도시공사가 올해 완료한 리모델링 가구 입주 권한을 영구임대주택 장기 거주 입주민에게 줄 계획이다.    그린리모델링을 마친 임대주택. 부산도시공사 제공31일 도시공사는 올해 추진 중인 노후 임대아파트 그린리모델링 사업 대상 전체 110가구를 기존 장기 거주 임대주택 입주민에게 제공할 계획이라고 밝혔다. 대상자는 영구임대주택에서 25년 이상 장기 거주 중인 입주민이다. 9월 신청자를 모집하고, 11월 말부터 순차적으로 입주를 시작한다.그린리모델링 사업은 준공 후 15년 이상 지난 노후화된 공공 임대아파트를 대상으로 창호 단열재 수전 보일러 등을 에너지 절약형으로 교체하는 등 입주민의 주거 환경을 향상하는 사업이다. 도시공사는 국비를 지원받아 2021년 200가구, 지난해 110가구를 리모델링했지만, 기존 거주자가 아닌 신규 입주민에게 리모델링된 아파트를 공급했다.부산도시공사 관계자는 “장기 거주 입주민이 더 현대화된 곳으로 이전함으로써 더 나은 생활환경을 체감할 수 있을 것으로 기대한다. 더 많은 입주민이 혜택을 받을 수 있도록 관계기관과 협조해 그린리모델링 사업을 확대해 나가겠다”고 말했다.    ]",[],https://www.newscj.com/news/articleView.html?idxno=3059055,https://n.news.naver.com/mnews/article/658/0000051132?sid=101
2023.08.31.,뉴스웨이,,"삼성전자, 사람·기술·환경까지 연결…스마트싱스 앞세워 'IFA 2023' 참가",,,https://www.newsway.co.kr/news/view?ud=2023083108251830719,https://www.moneys.co.kr/
2023-08-30 11:04:07,CNB뉴스,사회,"인천시 남동구, 반지하 세대 거주환경 실태 전수조사","[     인천 남동구청 전경./사진=남동구  인천 남동구가 지하에 거주하는 취약계층 가구의 주거 문제 해결을 위해 발 벗고 나섰다.30일 남동구는 지난 7월부터 지역 내 지하 5,614가구를 대상으로 홍수 취약성, 폐기물 관리, 공공 공간 확보 여부, 주택 유형, 거주자 인구통계 등의 요소를 평가하는 전수조사를 했다.조사 결과 전체 세대 중 1,028세대(18.3%)가 공공 공간에 접근할 수 있지만 4,586세대(81.6%)가 거주하고 있는 것으로 나타났다. 이 중 3,601가구(65.1%)는 주거 환경이 양호했고, 1,666가구(29.8%)는 보통, 347가구(6.2%)는 심각한 문제가 있는 것으로 조사됐다.이에 남동구는 주거환경이 심각한 347가구에 대해 주거환경 개선 지원을 할 계획이다. 또한 이번 조사 결과를 바탕으로 지하 주택 관리를 위한 종합적인 정책 개발과 법률 지원에도 활용할 예정이며, 구는 공무원 제안제도를 통해 아이디어를 적극 공모해 비어있는 지하 세대를 활용할 수 있는 방안을 모색할 방침이다.박종효 구청장은 ""지하에 거주하는 수천 가구에 대한 효과적인 지원을 위해서는 중앙정부와 광역자치단체의 예산 및 정책적 지원이 필요하다""라며, ""지역 내 취약계층의 주거복지 향상을 위한 방안을 지속해 모색하겠다""라고 약속했다. ]",[],https://www.cnbnews.com/news/article.html?no=617471,https://n.news.naver.com/mnews/article/417/0000945372?sid=102
2023.08.31.,경남도민신문,,진주 천전동 지사협 독거노인 주거환경개선 봉사,,,http://www.gndomin.com/news/articleView.html?idxno=364395,http://www.newscj.com
2023.08.25.,경기일보언론사 선정,,"경기도, 광주시 환경정비구역 행위제한 완화",,,https://www.kyeonggi.com/article/20230825580031,http://www.newsway.kr
A19면 2단,이데일리언론사 선정,,"""아파트 구조, 거주자 취향대로 결정""…주거 패러다임 바꾸는 래미안",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02856886635710272,http://www.cnbnews.com
2023.08.31.,여성경제신문,,생활숙박시설 이행강제금 부과 한 달 앞···거주자 소송 등 대혼란 불가피,,,https://www.womaneconomy.co.kr/news/articleView.html?idxno=218554,http://www.gndomin.com/
