Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.11.30.,인천일보,,경기도 고령사회 눈앞에…노인친화마을 '발등의 불',,,http://www.incheonilbo.com/news/articleView.html?idxno=1122584,http://news.itimes.co.kr
2021.11.30.,일간스포츠,,"디지털할리우드대학원, 육아 문제·고령자 재활 치료 등 사회적 과제 해결에 ...",,,http://isplus.live.joins.com/news/article/article.asp?total_id=24173110,https://isplus.com/
2021-11-30 15:52:41,CNB뉴스,,"고령군, 제5기 지역사회보장계획 수립 위한 용역 최종보고회 개최","[    [일간스포츠 ]      보육 지원 시스템 ‘아즈카루코짱’론칭 / 소노다 마사키 씨  일본의 한 조사에 따르면, 일과 육아를 동시에 하고 있는 부모가 가장 곤란한 점은 ‘아이가 갑자기 아플 때의 업무조정’이다. 한국에서나 일본에서나 워킹맘이 겪는 가장 큰 어려움이다.    일본에는 이와 같은 상황에 처한 부모들을 위해 일시적으로 아이를 돌보아 주는 병아보육시설(病児保育施設)이 운영되고 있다. 한국의 아이 돌봄 서비스와 유사한 시설이다. 하지만 병아보육시설은 수요는 많지만 이용 절차가 까다롭고 어려워서 시설을 이용하는 사람이 많지 않은 상황이다.    디지털할리우드대학 대학원 학생인 산부인과 전문의 소노다 마사키 씨는 이런 상황에 주목해 ‘안심하고 아이를 낳아 기를 수 있는 사회를 만들고 싶다’는 비전을 갖고 시설 이용을 더욱 편리하게 바꾸고자 기업을 설립했다. 디지털할리우드대학 대학원에 재학 중이던 지난해 4월에 담당 교수의 지도를 받으며 보육 지원 시스템인 ‘아즈카루코짱’(사진)을 론칭했다. 이 시스템은 언제든지 아이 돌봄 시설의 예약 상태를 확인하고 인터넷상에서 간단하게 예약할 수 있게 돼 있어서 육아 중인 부모들로부터 호평을 받고 있다. 디지털 테크놀로지를 활용해 여성의 사회 진출 촉진과 저출산 문제 해결에 도움을 주는 사례로 꼽힌다.         피테크(PaeTech)로 퍼포먼스 아트 교육 선도 / 카모 후미요시 씨  악기를 연주하기 위해서는 음악이론을 습득하고 연습을 반복해야 하는데, 이 과정에서 포기하는 사람도 적지 않다. 디지털할리우드대학 대학원 졸업생으로 교육자 겸 프로 기타리스트로 활동 중인 카모 후미요시 씨는 퍼포먼스 아트 교육을 변화시킬 방법으로 PaeTech(피테크, Performance Art Education × Technology)를 제창하며 재학 중에 ‘Transcale’과 ‘GrooveTracker’(사진), ‘PickFeel’ 등 3개의 애플리케이션을 개발했다.    이중 ‘Transcale’은 어떤 곡의 코드 진행이라도 분석해 그 코드와 어울리는 음의 코드, 혹은 자극적인 음의 코드 등 다양한 코드를 치는 법을 자동으로 제안해 주는 애플리케이션이다. 사람이 직접 연습곡을 바꾸는 모델이 아니라 어떤 코드 진행이라도 애플리케이션이 자동 분석해준다.    페이지 수나 용량 문제로 교본이나 DVD 등에 게재할 수 없었던 막대한 양의 코드 진행에도 대응할 수 있는 것이 이 애플리케이션의 특징이다. 이 애플리케이션을 사용함으로써 교사가 지정한 과제곡뿐만 아니라 학생 스스로 고른 곡을 바탕으로 높은 학습 의욕을 갖고 연습에 임할 수 있게 돼 에듀테크에 의한 교육 개선의 사례로 평가된다.         시니어 세대 위한 차세대 운동 지원 서비스 개발 / 스기야마 사토시 씨  고령자를 대상으로 하는 시설이나 병원에 가면 재활치료 기구를 쉽게 볼 수 있다. 그런데 이런 기구를 사용할 경우 고령의 이용자로서는 몸에 부담이 될 수 있을 뿐 아니라 단순동작을 반복하다 보면 “재미없다” “이용하고 싶지 않다” 같은 생각을 갖게 되기 쉽다.    디지털할리우드대학 대학원의 학생으로 작업치료사인 스기야마 사토시 씨는 가상현실(VR)과 사물인터넷(IoT)을 이용해 재활치료가 기다려지는 서비스를 만들 수 없을지 고민했다. 그 결과로  고령자가 즐겁게 재활치료를 받을 수 있는 ‘Virtual Aero(버추얼 아에로)’를 담당 교수의 지도로 개발했다.    버추얼 아에로는 대형 디스플레이에 실제 현실과 같은 영상, 실내자전거와 음악을 사용한다. 디스플레이의 영상과 자전거를 연동시킨 뒤 실내자전거의 페달을 밟으면, 흡사 그곳에서 자전거를 타고 앞으로 나가고 있는 것처럼 야외 풍경의 영상이 재생된다. 페달에 부착된 센서와 영상의 재생 스피드가 연동되기 때문에 실제로 밖에서 자전거를 타는 것 같은 느낌으로 즐길 수 있다.    이 서비스를 도입한 결과, 고령자의 운동 시간이 하루 1~5분에서 10~20분으로 증가했다. 앞으로 점점 더 심화될 고령화사회에서 고령자의 삶의 방식 개선이나 간병 문제 등 사회적 과제의 해결에 공헌하는 사례로 평가받고 있다.    이와 같은 사례에서 볼 수 있듯이 디지털할리우드대학 대학원의 재학생과 졸업생들은 재학 중에 배우는 지식과 스킬을 활용해 여러 분야의 과제를 해결하는 서비스나 콘텐트를 만들어내고 있다. 디지털할리우드대학 대학원 관계자는 “위의 사례와 같은 크로스테크에 의한 과제 해결은 앞으로 어떤 산업에서도 요구될 것으로 보인다. 크로스테크를 실현하기 위한 창의성 및 디지털 테크놀로지에 관한 지견과 스킬이 사회인에게 있어 더욱 필요한 요소가 될 것이다”라고 말했다.  김승수 기자 kim.seungsoo@joongang.co.kr   ]",[],https://www.cnbnews.com/news/article.html?no=521138,https://n.news.naver.com/mnews/article/241/0003174025?sid=004
2021.11.28.,아주경제,,"장수학 권위자 박상철 교수 ""코로나19 팬데믹으로 초고령 사회 새로운 패러다...",,,https://www.ajunews.com/view/20211128074305981,http://www.cnbnews.com
2021.11.26.,헬스경향,,"초고령화사회 목전…""골다공증 지속 치료보장에 정책 우선순위 둬야""",,,http://www.k-health.com/news/articleView.html?idxno=56727,http://www.ajunews.com
2021.11.26.,UPI뉴스,,4년 뒤면 '초고령 사회'…시니어 타운부터 바리스타 교육까지,,,http://www.upinews.kr/newsView/upi202111250071,http://www.k-health.com/
2021.11.24.,한스경제,,초고령사회 대비 '의료·요양·돌봄' 통합관리…재택의료 확대,,,http://www.sporbiz.co.kr/news/articleView.html?idxno=603018,http://upinews.kr
2021.11.23.,연합뉴스,,2025년 초고령사회 대비 사회보험 효율화·고령층 재택의료 추진,,,http://yna.kr/AKR20211123088800530?did=1195m,http://www.hansbiz.co.kr/
25면 TOP,전자신문,,"[포스텍, 국내 최초 연구중심 의대 설립 추진]초고령화사회로 질주하는 韓...",,,http://www.etnews.com/20211119000092,https://www.yna.co.kr/
2021-11-23 12:53:33,데일리굿뉴스,사회,"자살하는 노인들…초고령 사회, 한국교회는?","[ 범부처 인구정책 TF 세부 과제 발표…복지장관 ""초고령사회 대비 필요""    2025년 초고령사회 대비 사회보험 효율화·고령층 재택의료 추진 (CG)[연합뉴스TV 제공]    (서울=연합뉴스) 신선미 기자 = 정부는 오는 2025년 초고령사회 진입이 예상되자 사회보험 지속가능성을 높이기 위한 대책을 마련하고 거동이 불편한 고령층을 위해 재택의료 서비스 도입을 추진하기로 했다.    보건복지부는 제3기 범부처 인구정책 TF(태스크포스) 논의를 거쳐 마련한 초고령사회 대비 세부 과제를 23일 비상경제 중앙대책본부 회의에서 발표했다.    2025년 국내 65세 이상 인구 비율은 20.7%가 되고 노인 진료비는 58조원으로 건강보험 지출의 절반을 차지할 것으로 예상된다. 또 2041년에는 국민연금 적립금 감소가 시작될 것으로 보인다.    이에 정부는 사회보험의 지속가능성을 높이기 위해 우선 건강보험 지출요인을 체계적으로 관리하기로 했다.    경증환자가 요양병원에 불필요하게 장기 입원하는 사례를 막기 위해 '요양병원 입원료 체감제' 적용을 내실화한다는 게 한 방안이다.    이 제도는 입원 기간별로 입원료의 일정 비율을 수가에서 감산해 지급하는 것으로 181∼270일 입원 시 5%, 271∼360일 입원 시 10%, 361일 이상 입원 시 15%가 감산된다.    정부는 과밀병상을 방지하기 위해 내년부터 요양병원에 대해 9인 이상 병상에 대한 입원료 감산도 적용한다.    보건복지부[보건복지부 제공]    정부는 또 국민연금 기금의 안정적인 운영을 위해 '장기자산 배분 체계'를 도입하기로 했다.    국민연금 기금 운용 시 지금껏 매년 점증적인 목표를 설정하도록 했는데, 앞으로는 장기 재정 전망을 토대로 최적의 위험 수준을 선택하도록 한다는 방침이다.    또 투자정책, 위험관리 등 기금운영 전문성을 높이기 위해 상근전문위원 평가체계를 구축하고 분야별 전문가단을 구성하기로 했다.    이와 함께 정부는 거동이 불편하거나 지역 내 의료 인프라가 불충분해 의료 '사각지대'에 있는 고령층을 위해 재택의료를 활성화할 예정이다.    우선 거동이 불편해 병원에 가기 어려운 고령층이 집에서도 의료서비스를 받을 수 있도록 '재택의료센터'(가칭) 도입을 검토하기로 했다.    의료기관·보건기관이 이 센터 운영을 위해 의사, 간호사, 사회복지사, 재활치료사 등으로 구성된 재택의료팀을 구성하면 정부는 초기 운영비와 사업비를 지원할 예정이다.    또 동네의원에서 정보통신기술(ICT)을 통해 건강관리 서비스를 제공하는 '일차의료 만성질환관리 시범사업'의 대상 질환도 고혈압, 당뇨에서 만성 호흡기질환(천식·COPD) 등으로 확대하는 방안도 검토한다.    권덕철 보건복지부 장관[연합뉴스 자료 사진]    정부는 의료계 등과 '비대면 진료 제도화' 방안에 대해서도 논의를 이어간다.    아울러 정부는 지역 의료 인프라를 확충하기 위해 내년부터 중증 수술·입원이 가능한 '지역중증거점병원'(가칭)을 대도시를 제외한 도(道) 지역부터 단계적으로 지정할 예정이다.    이 밖에 요양병원, 장기요양서비스, 지역사회 노인돌봄서비스의 신청 및 조사, 대상자 결정 절차를 일원화해 운영하는 '의료-요양-돌봄 통합판정체계'를 시범적으로 도입한다.    고령층 돌봄 인력의 수요가 증가함에 따라 요양보호사 등 전문인력의 양성 경로를 확대하고 장기근속을 유도할 방안도 마련키로 했다.    아울러 공립요양시설 확충을 위해 지방자치단체 건축 지원 단가를 올해 ㎡당 180만원에서 내년 198만원으로 인상하고 지원대상을 비영리 법인·공공기관 등으로 확대할 예정이다.권덕철 보건복지부 장관은 ""향후 고령층의 수요가 급증할 것으로 예상되는 의료-요양-돌봄 서비스에 대한 통합적인 접근, 지역사회 계속 거주 지원(Aging in Place)을 위한 예방적 서비스 강화, 재택의료 활성화, 돌봄 인프라·인력에 대한 과감한 투자 등을 통해 곧 다가오는 초고령사회에 대한 선제적 대비가 필요한 시점""이라며 ""이번 과제를 지속 발전·정착시켜 나가는 한편 아직 포함하지 못한 과제도 사회적 공론화와 의견수렴을 통해 적극 마련해 추진하겠다""고 말했다.    sun@yna.co.kr ]",[],https://www.goodnews1.com/news/articleView.html?idxno=400939,https://n.news.naver.com/mnews/article/001/0012851680?sid=102
