Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.11.30.,이데일리,,"한은 ""GDP 대비 경상수지 흑자 비율 2040년께 3%대 하락""…인구고령화 요인",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02171366629250968,http://www.edaily.co.kr/
2021-11-30 12:02:04,연합뉴스,경제,"중국 ""고령화 장기적 현실…실버경제 적극 육성해야""","[ 한은 조사통계 월보, 우리나라 경상수지 흑자 요인 분석수출 늘고 수입 줄어, 가계 저축 증가하니 경상수지 흑자↑향후 20여년 간 흑자 요인 줄어들면서 흑자폭 감소 전망인구 고령화로 저축률 감소, 재정수지 확대 등 반대 흐름[이데일리 이윤화 기자] 최근 10년 간 우리나라 실질 국내총생산(GDP) 대비 경상수지 흑자 비율이 5%대를 웃돌면서 큰 폭 확대되었으나, 향후 인구 고령화와 재정수지 확대 등에 의해 2040년 3%대까지 완만하게 흑자 규모가 줄어들 것이란 전망이 나왔다.     부산항 감만부두. (사진=연합뉴스)30일 한국은행 조사국이 발표한 조사통계월보 ‘우리나라 경상수지 흑자 요인 분석’에 따르면 인구구조, 재정수지, 순대외자산의 중장기 기여도 변화를 고려해 전망한 결과 향후 20여년 간 흑자를 이어갈 것이나 그 규모는 점차 줄어들 수 있다고 봤다. 최근 10년간 평균 5%대를 웃돌던 GDP대비 경상수지 흑자 비율은 2040년경 3.5% 수준으로 완만한 하락세가 예상됐다. 수출 좋고 저축률 높아…GDP 대비 경상수지 흑자 비율↑  한은에 따르면 우리나라의 경상수지는 2000년 이후 흑자 기조를 지속해왔다. 특히 2012년부터 흑자폭이 크게 확대 되면서 GDP대비 경상수지 비율이 2000년~2011년 평균 1.5% 수준에서 2012년~2021년 평균 5.1%로 약 3.5%포인트 증가한 것으로 나타났다.     자료=한국은행경상수지를 항목별로 살펴보면 특히 상품수지 흑자 규모의 GDP대비 비율은 2012년 이후 큰 폭 상승해 6% 수준에서 변동하고 있다. GDP 대비 상품수지 비율(기간중 연평균)은 같은 기간 3.0%에서 6.1%로 3.1%포인트 올랐다. 상품수지의 흑자폭이 크게 확대된 것은 2012년 이후 국제유가 하락, 내수 둔화 영향 등으로 동 기간중 수출에 비해 수입이 상대적으로 부진한 영향이었다. 임금이나 배당, 이자 등이 오고 가는 흐름을 보여주는 본원소득 수지도 2011년 만성 적자를 벗어났다. GDP 대비 본원소득수지 비율은 같은 기간 0.3% 감소에서 0.5%로 0.8%포인트 올랐다. 본원소득수지의 흑자 전환은 국내기업의 해외직접투자와 내국인의 해외증권투자가 꾸준히 늘어나면서 순대외금융자산의 규모가 확대된 데 영향을 받았다. 해외여행 등의 영향을 받는 서비스 수지는 2015년부터 여행이 증가해 GDP 대비 적자 비율이 최근 10년 평균 1.1%로 커졌으나 지난해엔 코로나19 영향으로 경상수지 개선 요인이 됐다. 가계와 기업의 저축률도 늘면서 경상수지 주요 상승 요인으로 작용했다. 경제주체별로 보면 가계의 GDP대비 저축과 투자의 차이(기간중 평균)은 가계저축이 늘어 3.0%에서 4.6%로 증가했다. 기업은 국내 투자 부진에 따라 저축과 투자 차이의 마이너스 폭이 2.6포인트 줄어들며 경상수지엔 보탬이 됐다.  한은 관계자는 “2012년 이후 우리나라의 경상수지 흑자폭 확대는 핵심저축인구 비중 상승 등 인구구성 효과, 순대외자산 플러스 전환(본원소득 확대), 선진국 대비 양호한 재정수지, 글로벌 분업체계(GVC) 참여에 의한 생산성·수출경쟁력 향상과 소득(저축) 증가 등의 영향을 받았다”고 설명했다. 인구 고령화 등에 경상수지 흑자 비율 올해가 정점그러나 경상수지 흑자폭 증가 흐름은 올해를 정점으로 향후 20여년간 그 폭이 줄어들 수 있다고 내다봤다. 인구구조, 재정수지, 순대외자산의 중장기 기여도를 통해 분석한 GDP 대비 경상수지 흑자 규모는 올해 5%를 정점으로 내년 4.7%, 2036년 3.9%로 3%대 하락한 뒤 2040년 3.5% 수준에 이를 것으로 추산됐다. 순대외자산의 경우 경상수지 흑자 누증 영향으로 기여도가 증가하겠으나, 인구구조는 향후 고령화 진전에 따른 핵심저축인구 비중 축소와 노년부양률 상승이 가계 저축률 하락을 가져오면서 흑자 기여도가 향후 완만한 감소세로 전환될 전망이다. 노년 부양률의 경우 점차 상승세가 가팔라져 2027년경 세계 평균을 상회 할 것으로 예상된다. 2027년부터 세계평균치(41.6%)를 웃도는 42.2%를 기록하고 이후 꾸준히 증가해 2040년엔 73.4%로 세계평균치(55.6%)보다 18%포인트 가량 더 많아질 것으로 추정된다. 재정수지의 경우에도 사회보장성 지출 확대 등으로 흑자 기여가 매우 완만하게 줄어들 것으로 보인다. 한은 관계자는 “우리나라 고령화 진전에 따른 가계저축률 하락이 향후 경상수지 감소에 가장 큰 마이너스 요인으로 볼 수 있다”면서 “인구 기여도는 흑자에 기여하는 흐름이 이어지겠으나 2040년경에 가서는 기여도가 0에 근접하는 등 플러스 요인이 감소하면서 흑자 폭이 줄어드는 요인이 될 수 있다”고 말했다. ]",[''],http://yna.kr/AKR20211126122000074?did=1195m,https://n.news.naver.com/mnews/article/018/0005096886?sid=101
2021.11.25.,법보신문,,"""스님 고령화 심각…맞춤형 돌봄 시스템 도입 시급""",,,http://www.beopbo.com/news/articleView.html?idxno=305180,https://www.yna.co.kr/
2021-11-26 17:11:37,경북일보,세계,'저출생·고령화·지방소멸' 극복 생존전략 마련 총력,"[ 국무원 ""노년층 필요 충족시키는 서비스·산업 개발"" 지침 발표    중국 노인들[EPA 연합뉴스 자료사진. 재판매 및 DB 금지]    (홍콩=연합뉴스) 윤고은 특파원 = 중국이 급속한 고령화에 대응해 노년층을 위한 실버경제를 적극 육성해야한다는 지침을 내놓았다.     중국 국무원은 지난 24일 이 같은 지침을 발표했다고 홍콩 사우스차이나모닝포스트(SCMP)가 26일 보도했다.     국무원은 ""실버경제를 적극적으로 육성하기 위해"" 지원 정책 실행, 노년층의 특별한 필요를 충족시키는 서비스와 산업 개발, 노년층의 권리 보호를 위한 시장 감독 기능의 강화를 주문했다.    또한 노년층을 위한 헬스케어와 서비스, 인프라가 모두 개선돼야 하고 국제적 협력도 강화해야한다고 했다.     그러면서 노인병원과 재활병원 같은 헬스케어 시설을 강화하고, 노년층에 인터넷과 관련 서비스를 제공해야한다고 강조했다.     중국 국가위생건강위원회의 노령과 건강 부서 왕하이둥 주임은 ""인구 고령화는 중국 사회의 장기적 현실이 될 것""이라며 ""그러나 노년층을 대상으로 한 산업은 불균형적이고 불충분하게 발전해왔다""고 지적했다.     지난 5월 중국이 10년 만에 발표한 인구 센서스에 따르면 작년 11월 기준 중국 인구는 14억1천177만8천724명으로 집계돼 여전히 14억명대를 유지하고 있지만, 저출산과 고령화로 '인구 절벽'에 근접하고 있다는 분석이 나온다.         전체 인구에서 15∼59세 생산가능인구의 비중은 2010년 70% 이상이었지만 지난해 63.4%까지 떨어졌다. 반면 고령화 현상의 가속화로 60세 이상은 전체 인구의 18.7%(2억6천400만명)로 2010년의 13.3%에서 대폭 상승했다.     인텔리전스 리서치그룹에 따르면 지난해 중국의 실버경제 시장 규모는 전년보다 25.6% 증가한 5조4천억 위안(약 1천조원)이었으며, 올해는 5조9천억 위안(약 1천100조원) 규모로 늘어날 것으로 전망된다.     그러나 중국 노년층 인구의 엄청난 규모와 시급한 필요에도 불구하고 이들을 위한 맞춤형 인프라나 지원 산업은 없다고 중국 정부 경제자문기구 중국국제경제교류센터(CCIEE)의 웨이장궈 부회장은 지적했다.    웨이 부회장은 ""국무원의 지침은 중국의 인구가 전례없는 규모와 속도로 고령화되고 있을 때 발표됐다""며 ""고령화 문제를 해결할 수 있는지, 어떻게 해결할 수 있는지가 전체 사회 발전의 핵심이며 그러한 토대 위에서 국가가 종합적으로 번영할 수 있다""고 말했다.     그는 중국이 이를 위해 다른 선진국의 전략을 재빨리 모방하는 것보다는 중국만의 해결법을 찾는 데 집중해야한다고 밝혔다.     그는 ""은퇴 전 재산을 모아두는 미국, 유럽이나 한국, 일본의 노년층과 달리 우리의 노년층은 부유해지기 전에 늙어버린다""면서 ""중국에서는 복지 체제와 비영리 부문이 고령화 문제 해결에 핵심 역할을 해야하며 그럼으로써 젊은 세대가 부모를 돌보고 비용을 부담하느라 탈진해버리지 않도록 해야한다""고 밝혔다.     pretty@yna.co.kr ]",[],http://www.kyongbuk.co.kr/news/articleView.html?idxno=2088420,https://n.news.naver.com/mnews/article/001/0012844626?sid=104
2021.11.25.,아이뉴스24언론사 선정,,"윤석명 연금학회장 ""초고령화 시대, 강력한 공적연금 제도 개편 필요""",,,http://www.inews24.com/view/1426171,http://beopbo.com
A29면 1단,중앙일보,,[김경록의 은퇴와 투자] 한·중·일 고령화 대전,,,https://www.joongang.co.kr/article/25026763,http://www.kyongbuk.co.kr
2021.11.24.,약업신문,, 약국 및 약무의 혁신: 약업계는 고령화 시대를 준비하였는가?,,,http://www.yakup.com/pharmplus/index.html?mode=view&cat=23&cat2=472&nid=3000132703,http://www.inews24.com/
2021-11-25 10:01:01,천지일보,경제,"한국, 빠른 고령화에 노인빈곤도 심각… 연금수령액, 日의 절반(종합)","[ 연금학회, '인구변화에 대한 대응' 한국·일본 국제심포지엄 개최윤석명 한국연금학회장이 빠르게 다가오고 있는 초고령화, 저출산 시대에 강력한 공적연금 제도 개편 노력이 필요하다고 주장했다.한국연금학회는 25일 오전 서울 여의도 전국경제인연합회 컨퍼런스센터에서 '인구변화에 대한 대응'이라는 주제로 한국과 일본의 국제심포지엄을 개최했다.     윤석명 한국연금학회장이 25일 오전 서울 여의도 전국경제인연합회 컨퍼런스센터에서 '인구변화에 대한 대응'이라는 주제로 열린 한국과 일본의 국제심포지엄에서 인사말을 전하고 있다. [사진=오경선 기자]윤 학회장은 이날 인사말을 통해 ""한국과 일본은 여타 OECD 회원국들보다도 인구 고령화가 훨씬 빠르게 진행된다는 공통점이 있다""며 ""한국에 비해 연금제도 역사가 길고 고령화가 더욱 많이 진행된 일본은 고령화로 인해 초래되는 여러 문제들을 한국보다 먼저 경험했다""고 이야기를 시작했다.이어 ""일본은 2004년 대대적인 연금제도 개편을 통해 사회·경제여건 변화를 연금 운영에 반영시킬 수 있는 연금재정 자동안정화장치를 도입했다""며 ""2015년에는 연금급여 수준 차이 등으로 인해 논란이 적지 않았던 민간부문 근로자 대상의 후생연금과 공무원 등 특수직역 종사자의 연금 지급율을 동일하게 적용하는 공적연금 일원화, 즉 공적연금 통합운영체계도 달성했다""고 설명했다.그는 ""두 차례의 획기적인 연금개혁 과정을 거치면서 일본의 공적연금은 장기적인 관점에서의 재정 건전성 확보와 민·관에 대한 연금제도 적용에서의 공평성을 확보할 수 있게 됐다""며 ""이를 통해 세대간·직종간 갈등이 상당부분 해소될 수 있게 된 것 같다""고 말했다.특히 일본의 소득비례연금인 후생연금의 경우 지금으로부터 100년 뒤인 2120년에 가서도 연금을 지급할 적립금을 보유하고 있다는 점이 주목되는 부분이라고 강조했다.윤 학회장은 ""일본에 비해 상대적으로 짧은 연금제도 역사를 지닌 한국의 공적연금도 그동안 적지 않은 제도개편 노력을 해왔다""며 ""이러한 노력이 있었음에도 빠르게 다가오고 있는 초고령사회와 저출산이라는 환경에 적응하기 위해서는 더욱 강력한 제도개편 노력이 필요한 시점""이라고 지적했다.마지막으로 ""한국과 일본의 연금전문가가 공통의 관심사에 대한 발표·토론을 통해 바람직한 연금제도 개편 방향에 대한 시사점을 얻을 수 있으리라고 확신한다""고 덧붙였다.이날 심포지엄은 일본 국립사회보장·인구문제연구소의 하야시 레이코(HAYASHI Reiko) 부소장이 축사를 하고, 양준모 연세대학교 교수가 심포지엄 좌장을 맡았다.1부에서는 일본 전문가인 후토시 이시이 게이오대학교 교수가 '일본의 장래 인구추계와 공적연금 재정'에 대해 발표한다. 준이치 사카모토 연금과 고령화 정책연구소 초빙 연구위원은 '일본 후생연금 연금재정 자동조정장치와 공무원연금에의 적용 현황'을, 히로노부 우에다 후생노동성 관리관은 '일본의 공적연금 일원화 과정'에 대한 발표를 진행한다.심포지엄 2부에서는 한국의 전문가가 발표한다. 이항석 성균관대학교 교수는 '국민연금의 계리적 전망과 연금경제학적 분석'을, 전영준 한양대학교 교수는 '한국 공적연금의 구조적 문제와 개편방향'을, 이태석 KDI(한국개발연구원) 연구위원은 '노후소득보장체계 혁신을 위한 재정운용방안'에 대해 살펴보는 시간을 갖는다. ]",['지금 수백씩 타는 노인들은 못건들고 젊은 우리만 또 희생하라는 거냐?'],http://www.newscj.com/news/articleView.html?idxno=922322,https://n.news.naver.com/mnews/article/031/0000638556?sid=101
2021.11.15.,브릿지경제,,"한경연 ""고령화 속도 1위 한국, 개인·부부 연금 82만·138만원…日의 절반""",,,http://www.viva100.com/main/view.php?key=20211115010004075,https://www.joongang.co.kr
2021-11-25 00:42:57,아주경제,오피니언,"충남도, 어촌 인구감소·고령화 실태 살피고 대책 모색","[       김경록 미래에셋자산운용 고문           “세계가 은퇴한다. 하지만 감당할 수 있을까?” 미국 연준(Fed) 의장을 역임한 앨런 그린스펀이 자서전에서 한 말이다. 세계적으로 65세 이상 고령 인구 숫자는 2020년 7억3000만 명에서 2050년 15억5000만 명으로 약 8억 명이 늘어난다. 65세 이상 인구만 모여 사는 우리나라만한 나라 16개가 새로 생겨나는 셈이다. 이 사실만으로 고령사회가 확장 부문이 될 수 있음을 알 수 있다. 하지만 우리에게 주어진 기회는 각국의 은퇴 시기 차이에 있다.      세계는 시간차를 두고 은퇴한다. 향후 30년간 세계적으로 고령 인구는 110％ 증가한다. 하지만, 동 기간 중 일본은 2000만 명 늘어나 불과 6％ 증가할 따름이다. EU 28개국은 40％, 미국은 50％ 증가한다. 세계의 평균 증가율에 비해서는 턱없이 낮다. 그럼에도 평균 증가율이 높은 것은 우리나라, 중국, 인도와 같은 후발 공업국의 고령 인구가 큰 폭으로 증가하기 때문이다.     고령화 사회도 국가별 시간차   중국은 한국보다 5~10년 늦어   4차혁명과 시기 겹치는 한국   관련 기술 수출할 절호의 기회      우리나라는 지금보다 130％ 증가하고 중국이 110％, 인도가 150％ 증가한다. 더 놀라운 것은 증가하는 고령자의 숫자다. 주요 20개국(G20) 국가들이 동 기간 중 고령자가 5억2000만 명 증가하는 데 반해 중국과 인도는 3억2000만 명 증가하여 G20 고령 인구 증가분의 60％를 차지한다. 인도도 고령자 숫자가 늘어나지만 중국의 1인당 GDP가 인도의 5배에 이르기 때문에 구매력 측면에서 중국 고령자의 영향력이 훨씬 크다.          김회룡기자           시간의 차이를 두고 세계가 늙어가다 보니 나라별로 증가하는 고령층의 연령대가 다르다. 앞으로 선진국은 후기 고령자가 증가하는 반면 후발 고령화 국가에서는 전기 고령자가 급증한다. 이는 중요한 의미가 있다. 후기 고령자는 요양·치료에 지출을 많이 하지만, 전기 고령자는 육체적·정신적 활동이 활발하여 학습·여행·레저나 자산관리, 혁신 제품 등의 지출에 적극적이다.      이러한 고령화 단계 차이는 우리에게 기회를 준다. 지금 폭발하듯 성장하는 바이오테크, 디지털 헬스케어, 로보틱스, 메타버스 등과 같은 혁신 기술들을 세계 여러 나라가 고령사회에 접목하려 하고 있다. 그런데 국가마다 고령화와 4차 산업혁명 시기의 차이로 기술을 활용하는 데 차이가 있다. 일본의 경우 우리보다 20년 정도 일찍 고령화가 진행됐다. 고령화가 4차 산업혁명에 선행했다. 이에 따라 혁신 기술을 고령사회 초기부터 적용하지 못했다.      반면 우리나라는 고령화가 진행되는 초기, 다시 말해 전기 고령자인 액티브 시니어가 급증하는 상황에서 기술혁신 시대를 맞이했다. 고령화와 4차 산업혁명이 동행쯤 된다. 한마디로 고령 사회와 기술혁신이 오롯이 오버랩(overlap)된 것이다. 공교롭게도, 고령 사회 극복에 혁신 기술을 적극 적용해볼 만한 위치에 있다. 효과는 국내에 국한되지 않는다. 고령화 관련 기술에서 경쟁력을 갖게 되면 중국을 비롯한 후발 고령 국가에 고령화 극복 노하우를 수출하는 기회도 생긴다. 시기적으로 천운(天運)이라 할 수 있다.      중국은 우리보다 5~10년 정도 늦게 고령화가 진행된다. 1만 달러 수준인 중국의 소득은 2030년대에는 2만 달러에 진입하게 된다. 고령화가 본격적으로 진행될 때 구매력도 커진다. 고령자 시장이 형성되는 셈이다. 중국이 우리보다 한 단계 늦게 경제 발전한 것이 축복이 됐듯이 중국이 우리보다 한 단계 늦게 고령화에 진입하는 게 우리에게 축복이 될 수 있다. 하지만, 중국은 원격 진료를 국가적으로 추진하는 등 신기술을 고령화에 적극적으로 적용하고 있다. e커머스(e-commerce)로 큰 땅덩어리를 연결했듯이 e메디신(e-medicine)으로 고령사회를 극복하려 하고 있다. 우리가 맘 놓고 있을 상황은 아니다.      우리나라는 2006년부터 4차에 걸쳐 저출산·고령화 5개년 기본계획을 세우는 등 인구구조 변화에 대응해왔다. 하지만 신기술을 적극적으로 고령사회에 접목하려는 시도가 우선순위에 있지 않은 게 아쉬운 대목이다. 변화에 대한 완화나 적응도 중요하지만 기술 혁신을 고령사회에 ‘전략적·적극적’으로 적용하는 발상의 전환이 필요한 때다. 이는 꽉 막힌 교차로에 차원을 하나 높여 지하도로나 고가도로를 만드는 것과 마찬가지다. 이러나저러나 한·중·일은 고령화 대전(大戰)에서도 한판 겨루게 됐다.   ]",[],https://www.ajunews.com/view/20211114092954587,https://n.news.naver.com/mnews/article/025/0003153657?sid=110
