Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.02.28.,kbc광주방송,,"""실종 경보 15분 만에""..치매 노인 무사히 가족 품으로",,,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_06&menuId=56_65_435&nwid=378880,http://www.ikbc.co.kr/kor
2022-02-28 16:49:01,뉴스1,사회,'미귀가' 치매 노인 나흘 만에 가족 품으로,"[     집을 나간 70대 치매 노인이 실종 경보 문자를 본 시민의 신고 덕분에 무사히 가족 품으로 돌아갔습니다. 광주 광산경찰서는 오늘(28일) 오전 9시 40분쯤 치매노인이 집을 나가 돌아오지 않는다는 가족의 신고를 받고 일대를 수색하는 한편, 가족 동의를 얻어 오전 11시 30분쯤 실종경보 메시지를 발송했습니다.문자가 발송된 지 15분 만에 광주광역시 광산구 흑석동에서 시민 제보가 접수됐습니다.문자메시지의 인상착의와 같은 할머니를 본 것 같다는 내용이었습니다. 경찰은 즉시 현장에 출동해 치매노인을 발견하고 가족에게 인계했습니다.   ]",[],https://www.news1.kr/articles/?4596425,https://n.news.naver.com/mnews/article/660/0000002710?sid=102
2022.02.08.,더팩트,,제주도에서 추위 속 치매노인 실종자 구조 `가족의 품으로`,,,http://news.tf.co.kr/read/national/1917231.htm,http://news1.kr/
2022-02-24 19:49:10,뉴시스,사회,고흥서 70대 치매 의심 노인 실종 나흘 만에 가족 품으로,"[ 전남 고흥 구룡산 산책로서 발견… 생명 지장 없어    경찰이 전남 고흥에서 미귀가 신고가 접수된 70대 치매노인을 찾기 위한 수색을 벌이고 있다. (전남경찰 제공)© 뉴스1(광주=뉴스1) 고귀한 기자 = 전남 고흥에서 미귀가 신고가 접수된 70대 치매 노인이 나흘 만에 경찰에 발견돼 가족 품으로 돌아왔다.24일 전남 경찰에 따르면 이날 오전 10시35분쯤 고흥 구룡산 망재 산책로 중간지점 야산에서 치매노인 A씨(72)가 발견돼 병원으로 이송됐다. A씨는 건강한 상태로 생명엔 지장이 없는 것으로 확인됐다.경찰은 지난 21일 오후 9시20분쯤 A씨 가족들로부터 A씨의 미귀가 신고를 접수했다.이후 경찰은 마을 주민 등 230명과 드론·헬기 등을 투입해 수색 작업을 벌였다.경찰 관계자는 ""주민들의 적극적 협조로 기적 같은 일이 일어날 수 있었다""며 ""앞으로도 경찰은 도민의 생명·안전을 최우선으로 여기고, 가장 안전한 전남을 만들기 위해 최선을 다하겠다""고 말했다.   ]","['정말 감사합니다..', '자기자신은 물론가족까지\n몰라보는 치매어르신이\n이추운날씨에 얼마나 헤메고\n다니셨을까 우리모두가\n알수없는미래의 슬픈현실\n내부모잘보살피고 사랑해야겠네']",http://www.newsis.com/view/?id=NISX20220224_0001772345&cID=10809&pID=10800,https://n.news.naver.com/mnews/article/421/0005930086?sid=102
2022.02.24.,세계일보언론사 선정,,홀로 생활하던 치매 노인 새벽 거리서 숨진 채 발견…사후 코로나 검사 ‘양성...,,,http://www.segye.com/content/html/2022/02/23/20220223518818.html?OutUrl=naver,http://www.tf.co.kr/
2022-02-08 15:14:03,국제신문,사회,[시사난장] 데이터 기반 노인복지 통합플랫폼 성공 기원 /신명준,"[ 제주자치경찰, 추위 속 치매노인 실종자 구조 `가족의 품으로`    제주자치경찰단이 실종신고 1시간만에 실종자를 발견 구조해 가족의 품으로 돌려보냈다./제주도 제공제주특별자치도 자치경찰단(단장 고창경)은 7일 저녁 실종된 80대 함모 씨를 실종신고 1시간여 만에 제주항 국제여객터미널 인근에서 발견해 가족의 품으로 돌려보냈다.이날 오후 7시경 제주시 이도일동에서 신고된 실종자는 버스를 타고 제주항 국제여객선터미널에 간 후 영하 1도의 추위 속에서 부두 근처를 서성이고 있었다.자치경찰단은 실종 긴급문자 이후 적극적인 수색 및 탐문 활동을 벌이다 오후 8시 12분경 실종자와 인상착의가 비슷한 사람이 있다는 제보를 받고 제주항 터미널 인근을 수색한 끝에 실종자를 발견해 가족의 품으로 무사히 돌려보냈다.고창경 자치경찰단장은 ""애태우는 가족 곁으로 비교적 빠른 시간 안에 실종자를 돌려보낼 수 있어 무척 다행스럽다""면서 ""제주자치경찰단은 도민들 곁에서 필요로 하는 일을 해결해 나가는데 앞장서겠다""고 전했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write ]",[],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1700&key=20220225.22019005552,https://n.news.naver.com/mnews/article/629/0000131441?sid=102
2022.02.23.,연합뉴스,,"80대 치매노인 길거리서 숨진 채 발견…""코로나 양성 반응""",,,http://yna.kr/AKR20220223165400004?did=1195m,http://www.newsis.com
2022-02-24 19:33:14,부산일보언론사 선정,사회,"[단독] ‘노인도시’ 부산, 노인학대 신고 증가율 ‘전국 1위’ 오명","[ 기사내용 요약건강 이상 없어…시민 제보로 발견한 모자가 수색 단초    [고흥=뉴시스] 이영주 기자 = 24일 오전 전남 고흥군 동일면 덕흥리 한 야산 중턱에서 실종됐던 70대 노인이 나흘 만에 비교적 건강한 상태로 구조됐다. (사진=전남 고흥경찰서 제공) 2022.02.24. photo@newsis.com *재판매 및 DB 금지[고흥=뉴시스]이영주 기자 = 전남 고흥에서 70대 치매 의심 노인이 실종 나흘 만에 극적으로 발견돼 가족 품으로 되돌아갔다.24일 고흥경찰서에 따르면 이날 오전 10시 30분께 고흥군 동일면 한 야산 중턱에서 A(74)씨가 구조됐다. 발견 당시 A씨는 가벼운 탈수 증상이 있어 병원으로 옮겨졌으나 대체로 건강 상태가 양호한 것으로 알려졌다.앞서 경찰은 지난 21일 오후 9시 20분께 치매 의심 증상이 있는 A씨가 동일면 자택을 나선 뒤 돌아오지 않는다는 가족 신고를 받고 대대적인 수색을 벌였다.수색에는 경찰·의용소방대원·마을 주민 등 100여 명, 인명 탐지 무인비행체(드론) 2대, 탐지견 4마리가 투입됐다.실종 경보 문자메시지·마을 방송 등을 활용해 주민 제보도 받았다. 경찰은 지난 23일 오후 동일면 한 야산(해발 238m) 정상 인근에서 A씨의 것으로 보이는 모자를 발견했다는 시민 제보를 받았다. 이후 A씨의 모자로 확인되자 곧바로 수색 범위를 좁혔다.모자가 발견된 야산은 A씨의 자택과 직선 거리로 약 1.4㎞ 떨어진 위치로 알려졌다.경찰은 이날 오전 10시부터 야산을 에워싸며 전방위 수색을 벌인 지 30분 만에 탈진한 A씨를 구조했다.경찰 관계자는 ""최근 영하권 추위에 바닷바람까지 불어 체감 온도도 더 낮았을텐데 기적처럼 발견할 수 있었다""며 ""실종 경보를 귀담아듣고 제보를 준 시민에게 감사하다""고 전했다. ]","['추운 날씨에 혼자 고생이 많았겠군요...ㅠ', '이 날씨에 기적이네. 감사해요!!']",http://www.busan.com/view/busan/view.php?code=2022020819143039355,https://n.news.naver.com/mnews/article/003/0011026414?sid=102
2022.02.23.,데일리한국,,대한노인회 천안시지회-청당왕치과 업무협약 체결,,,http://daily.hankooki.com/news/articleView.html?idxno=792656,http://www.segye.com
2022-02-24 07:03:06,광주매일신문,사회,"학대받는 노인들, 코로나 시대의 어두운 단면","[ A씨, 평소 가족과 떨어져 홀로 생활하던 치매 노인 / 가족들 A씨가 코로나19 감염된 사실 알지 못했던 듯        오미크론 변이 확산으로 연일 확진자가 급증하는 가운데 거리에서 숨진 채 발견된 중증장애인과 80대 치매 노인이 코로나19에 감염된 것으로 확인되면서 확진자 관리 사각지대에 대한 우려가 커지고 있다.   23일 연합뉴스에 따르면 서울 강동경찰서는 이날 오전 2시31분께 행인으로부터 ""할머니가 입에 피를 흘리며 쓰러져있다""는 신고를 접수했다.   신고를 받고 출동한 경찰과 소방은 서울 강동구 천호동의 한 주택가 도로변에 쓰러진 채 호흡과 의식이 없는 80대 A씨를 발견했다.   A씨는 구급대원에게 심폐소생술(CPR)을 받으며 인근 병원으로 이송됐지만 숨졌다. 병원 측에 따르면 A씨는 병원 도착 이전부터 숨진 상태였던 것으로 추정된다.   병원 측이 실시한 사후 코로나19 검사에서 양성 반응이 나왔다.   병원 측으로부터 이 사실을 전달받은 소방은 A씨와 접촉했던 대원들을 상대로 신속항원검사를 실시했고, A씨에게 CPR을 했던 구급대원이 양성 반응을 보인 것으로 파악됐다. 이 대원은 추가로 유전자증폭(PCR) 검사를 받은 뒤 검사 결과를 기다리고 있는 것으로 알려졌다.   검안의는 A씨가 코로나19로 인해 숨진 것으로 추정했다.   A씨는 평소 가족과 떨어져 홀로 생활하던 치매 노인으로, 가족은 A씨가 코로나19에 감염된 사실을 알지 못했던 것으로 파악됐다.   전날에는 같이 살던 가족이 코로나19 확진 판정을 받아 홀로 PCR 검사를 받으러 가던 중증장애인이 거리에서 쓰러져 숨지는 사건이 발생했다.   경찰 등에 따르면 전날 오전 11시께 강동구의 한 거리에서 시각장애인 3급인 B(53)씨가 집에서 불과 30m가량 떨어진 곳에서 숨진 채 발견됐다.   사후 코로나19 검사 결과 B씨는 양성인 것으로 확인됐다.   경찰 조사 결과 B씨는 치매를 앓던 70대 부모가 앞서 코로나19 확진 판정을 받자, 확진자 동거 가족은 PCR 검사를 받아야 한다는 지침에 따라 검사를 받기 위해 집을 나서 선별진료소로 가던 길에 숨진 것으로 파악됐다.   이후 B씨의 여동생까지 확진되면서 B씨의 빈소는 장애인 단체에서 마련했다.   코로나19 재택치료 중 사망하는 사례도 최근 잇따라 발생했다.   이달 15일 인천에서는 코로나19 확진 판정을 받은 70대 노인이 재택치료를 받던 중 찜질방에 갔다가 쓰러져 다음날 숨진 사실이 뒤늦게 알려졌다.   18일에는 수원시 장안구에서 코로나19 확진 판정을 받고 격리 중이던 7개월 남자아이가 병원으로 이송되는 도중 숨졌고, 19일에는 서울 관악구에서 가족과 떨어져 코로나19 재택치료를 받던 50대 남성이 집에서 숨진 채 발견됐다. ]","['돈을 여기저기다 막 퍼주지 말고 진짜 어려운 사람들만 도와주자..에휴..', '이게 어디 아프리카 애기인가?  이게  문재인이 자랑하던 K 방역인가?', '치매노인이 홀로 산다는게 이해가 안되는구나~에전에 문재인이는 박정부때도 국가가 책임저야한다고 한말이 생각나는구나 문재인이의 입장은', '재택방치를 애써 치료로 포장하지 말아라.. 삼가 고인의 명복을 빕니다', '이걸보면 왠지 코로나가 감기같지않아 보이고...', '치매노인이 홀로 생활한다는거부터가 예견된 죽음 아닌가요?? 코로나 때문이 아니라', '치매까지 있는데 혼자사셨다니.. 뭐 가족들도 나름 사정이 있다면 있겠지만 객사까지 하시고.. 참 씁쓸하네. \n차라리 요양원에라도 모시지.', '코로나 사망자 대부분이 60대 이상 백신 맞으신 분들이에요 늘 팩트는 빼는 정부 따까리 언론  이런식으로 겁줘서 남은 백신 물량 치워야겠지~ 코로나사망자들 집계도 다른 원인 사망이어도 검사해서 코로나면 다 코로나 사망자라는 정부', '생색내는돈만 쓰지말고 사람을 살리는데 돈써라', '보호자 없는   장애인 고령층 중증질환자들은 pcr검사나 치료약 처방등  방문해서  도와드려야지.... 길거리에서 돌아가시는게 대한민국 현실이냐? 놀고먹는 동사무소 직원들 동원해서 좀 챙겨드려라.', '이제 임기 끝났다고 손 떼더니 정신도 같이 놓았나보네....사람들이 죽어간다...여기 작은지역인데 하루 2천명씩 나온다  이제 옆집 앞집 안터지는게 신기할 정도..애들은 병상못구해서 받아주는곳 없어서 죽어가고...이게 무슨 나라라는건지...죽어나가야되는 사람들은 어찌저리 멀쩡한지... 이래놓고 애놓아라고? 힘들게 놓으면...저렇게 허망하게 보내고도 책임없다고 하면서? 이제 백신도 맞히란다...개 같은 소리하네', '치매노인이왜가족도있는데\n혼자생활을?\n그가족들이저노인을방치하고\n죽인거나똑같은거네', '치매인데 홀로 생활...\n가족동의 없인 입원불가...\n이거좀 손대봐요...\n보증인 10인?으로 입원가능으로', '문재인의 나라는  5년동안 지옥이였다', '이제 분위기 좀 그만 조성했으면.....정부에서도 계절감기 수준이라고 인정했는데 치료못하게 정부가 방치하게 둬서 이모양 이꼴인거죠...', '짐승의 국가 가 되어가고 있다.', '확진자수 두려워말라. 김부겸', '나는 우한바이러스보다 국민들에게 무관심한 이 정부가 더 무섭다', '가족도 있다면서 치매 노인을 어떻게 혼자 생활하게 해서 이 추위에 길 위에서 죽음을 맞게 하는가. 개개인의 사정이야 있을 수도 있겠지만, 이런 기사 보면 자식 낳아 고생해서 키울 필요가 없다는 생각이 든다.', '구중궁궐 재앙아 이것은 나라냐?', '결국 문재앙이가 다죽이는구나..ㅠㅠ', '치매노인이  혼자 어떻게 생활을해요ᆢㅠㅠ', 'K방역...정말 대단하다.\n보고있나 더듬어비리당?', '이시기들아 소상공인한테 퍼주지말고 독거노인이나 재산없는 사람한테   방역지원금줘라  어느나라가 집있고 이런인간들한테 막퍼준다더냐', '아비규환! 무정부상태!', '', '무슨 사연인지는 모르겠지만.. 80 치매 노인을 혼자 두면 \n뭐 죽으라는 이야기 아닌가 .. 너무 마음이 아프네요 ㅠ', '백신맞고 부작용은전부 인과성없고  이런건어째서 코로나사망인걸  한번에아냐고?  말같은소리해라  아직도 거짓선동질하네', '백신맞고 출혈열 아님?', '자식 rㅐ끼 오냐오냐키워 줬더닝 길거리에 버려 개만도못한 인간들아', '죽으면 다 코로나 때문에 죽은거고 백신맞아서 죽으면 인과성 없는거고', '치매노인을 홀로 둔다고?저건 자식들도 문제가 있는거지.', '', ""이런데도 또 '세계가 놀란k방역' 책자를 만들어 배포했다며??? 차라리 '세계가 놀란 k낯짝의 두께'로 자서전을 내라!!!"", '고인에 명복을빌어요 코로나가  너무길어요 하루 빨 리 진정될수잇도록 힘써 주세요', '', '', '근데 돌연사의 원인이 모두 코로나라는 입증도 안되는데 너무 속단하는거 아닌가요?', '문재앙때 사람 다 죽어나감 송파 모녀때는 진짜 박근혜 엄청 욕하더니 더 흉흉함', '', '언제부터 감기가 입에 피흘리고 길거리에서 쓰러졌냐? ㅋㅋㅋ,, 감기보단 훨 심하구만', '백신은코로나예방효과80~90%로라더니 지금상황보면 예방효과는10%로나 될까??확진자수많으니 중증예방효과  독감수준으로 된단다 ㅋ마스크도 잘쓰고 방역수칙도잘지키는데 확진자수는 폭발적이다 근데!!!정부는 계속 앵무새처럼 떠든다 괜찮다고ㅋㅋ  3차맞고도 확진되서 힘들어하는사람많고 국민들은 전쟁중인데 위중증안정적이란 말이 나오는건가?ㅡㅡ 안전은 절대!!!괜찮을꺼야 하면 안된다! 미친인간들아!!', '삼가 고인의 명복을 빕니다…', '치매노인이 어떻게 혼자지낸다는것인가..', '추정이네 질병청은 백신사망은 인과관계따지고 백신과관련없다고 할수 없다란 검안서도 인정안하면서 추정은 코로나사망자로 넣냐', '코로나 말고 다른 검사도 해보고 부검도 하지 그래?', '끼어맞추기 좀 하지마라ㅋㅋ', '여기서 팩트는 코로나 사망이 아니고 치매노인이 혼자 방치 되어 있다는게 문제 인거 같습니다. 기억이 지워지는 노인분을 왜 혼자 생활하게 했는지.....마음이 아프네요', '이젠 화장실에서 넘어져 사망해도 코쑤시고 코로나 사망자로 나오겄네', '', '', '능력이 1도없는 인간이 여론몰이로 대통되니까 이 꼬라지 난거지~', '지저분하게 기사쓰네..쯧쯧', '백퍼 백신접종하셨습니다~', '독감수준 아닌데.  왜 독감수준이나고들 생각하게 하는지  ㅜㅜ\n재택되면 전가족  다걸리는데. 솔직히 독감이 전식구 다 안걸리잖아요. 전염력도 높은거고. 지금 독감수준이라면서. 별거아니게 생각하게하고.  병원도 못가고 전화로만? 치료해 위험. 가족 다걸리고 이건 말의 앞뒤가 안맞줘. 독감수준이면  격리안하고 바로 병원가서 심해지지않게. 가족 전염  안되게 해야져. 애기들 가족한테 옮아도 병원도 못가는데요', '문재인 왜 이럴 땐 침묵만 하나.', '', '수급자,장애인,유공자후손들을 열심히 외면하고 골프채 바꿔주는 자영업자 어느분 에게 재난지원금 퍼주니....에휴....정작 필요한 곳에 안주고....홍 남기 무능 무지', '', '너무 안타까운 사건이네... 코로나를 떠나서 80대 치매노인이 혼자 생활하는게 가능한건가? 가족들이 너무 방치한게 아닌가 싶기도 하고.. 가족들이 사정상 케어할수 없으면 요양원에라도 모셨어야지... 저렇게 객사하게 되면 얼마나 원통할지...', '확진자 관리 누가?', '대부분 백신접종자들 아닌가. 미접종자 재택치료받다 사망하는경우는 거이 없는것 같은데. 삼가고인의명복을 빕니다', '', '앞으로 방치된 노인들 급증한다...  세금좀  이런데 투입해라  뭔기본소득 나불거리지말고  사지멀쩡하고 정신적문제없는  럼들은  일하기 싫으면  디져라  그들에게 도움주면 안된다', '진짜 외롭겠다.', '에휴... 기억마저 잃고 얼마나 외롭게 가셨을까', '피를 흘리고 돌아가셨다….백신부작용 아닌가…?', '저건 방역이 문제가 아니고\n자식새끼가 문제구만', '치매80대노모 가족이 있었다.가족이 있었다.가족이 있었다.가족이 있었다.가족이 있었다.가족이  있었다.가족이 있었다.가족이 있었다.', '코로나는 보건인데 왜 경찰 사진이 나오냐 방역도 경찰이 하냐', '아 그래서 백신 빨리 맞아라? 대가리 참 잘돌아간다', '어떤사정이 있으신지는 몰라도 .. 치매까지있으신 분이 홀로 저렇게 길에서..ㅜㅜ 너무 안타깝네요.', '', '독거 김치년의 말로', '', '치매노인을 혼자살게한 가족들도 책임이  있습니다', '', '', '인생사 너무 허무한거아닌가 ㅠㅠ 에혀 아둥바등 살면모하나 허무하다허무해', '', '죽은사람도 코쑤셔서 양성나오면 코로나로 죽은거지? 뭘로돌아가셨는지 어떻게 알아? 기저질환 있는사람 혹은 면연력 없는사람이 코로나 걸리면 코로나로죽고 백신맞고 죽은 사람은 기저질환으로 죽은거지? 뭘로 죽었든  코쑤셔서 양성 나오면 코로나로 죽은거지? ㅋㅋㅋ진짜 ㅈㄴㄱ 웃기다. 쓰레기사탄색기들', '문소대갈은  이런 내용 알기는 할까? 자기에게 도움 안되는 사람들은 모른체하는 나쁜놈.', '치매노인이 혼자살았다니...참...자식새끼들 뭐했냐...서글프다진짜', '아니 가족들도 참 부모가 치매인데 방치 했단 말이야?', '치매는 좀 요양보호 시설에 좀 넣어라.', '', '버려진 치매노인, 길거리 헤매다 사망!', '', '지금 정부는 아무것도 하는게 없다 그저 선거와 숫자놀음뿐', '자식새끼들 너무한거 아니냐? 치매인데 혼자 뒀다고? @,@', '', '', '너무 슬픕니다 ㅠㅠ 건강한 사람은 이겨낼 수 있는 수준이기에 앤데믹을 외치지만 ,, 이렇게 질환이 있으시거나 안타까운 경우를 보면 정말 코로나가 원망스럽네요 ㅠㅠ 모두 좋은 곳으로 가시길 기도해요 ㅜ', '기초연금은 70%가 아니고 50%만 주고 재정 아껴서 다른  급한데 써야  한다. 1인 150이면 안줘도 된다.', '코로나 맨처음 그 때 중국에서 이런 상황이였는데\n이젠 우리나라가 그렇게됐네요\n그런데도 담주에 등교시키나요?', '공무원 들 세금 살살 녹는다 녹아..', '현실은 영화보다 잔혹하다', '사후 코로나검사 케이스까지 설명해주네요... 그냥 코로나사망자로 퉁치지 않네...', '', '', '기사좀편파적으로쓰지마세요 .다 죽었다는기사네', '2년내내 뭐하다가 이제와서 확진자급증을 이유로 이런 사각지대가 생긴다는걸 방치했다는건 어불성설이다 무능이 맞다. 진짜 지겹고 징그럽다 저렇게 암것도 할줄 모르는인간도 모자라서 이재명 찍는것들은 니들한테 콩고물 떨어지는게 있어서 찍는거냐 대한민국 망하길 기다리는게 아니면 인간적으로 한번은 생각좀 해봐라 혈연지연학연 따져서 투표할게 아니라 어차피 똑같은 정치인이라도 그렇지, 급속도로 나라 무너지는게 이렇게 한순간인데 진짜 민주당 표주겠다고??', '가족들도 만나지 말라며?? 그러면서 은근히 까네', '']",http://www.kjdaily.com/article.php?aid=1645525919567946018,https://n.news.naver.com/mnews/article/022/0003670322?sid=102
