Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.07.31.,파이낸셜뉴스언론사 선정,,인천 굴포천에서 80대 독거노인 숨진채 발견... 경찰 수사 나서,,,http://www.fnnews.com/news/202207311129394208,http://www.fnnews.com/
2022-07-31 11:33:02,문화일보,사회,"서울시, 노인복지주택단지 ‘골드빌리지’ 은평혁신파크에 추진","[ 인천 굴포천 수로서80대 노인 시신 발견경찰 조사 결과, 독거노인으로 파악     굴포천 [부천시 제공] /사진=연합뉴스  [파이낸셜뉴스]  인천의 굴포천 수로에서 80대 남성이 숨진 채 발견돼 경찰이 수사에 나섰다.   인천 계양경찰서는 지난 30일(현지시간) 오전 9시 14분께 인천 계양구에 위치한 굴포천 수로에 사람이 떠 있다는 신고가 소방당국을 통해 경찰에 접수했다고 31일 밝혔다.   신고를 받고 현장에 출동한 경찰은 80대 A씨의 시신을 인양했다. 발견 당시 A씨는 반팔 상의와 긴바지를 입고 있었으며, 신원을 확인할 수 있는 소지품 등은 발견되지 않은 것으로 알려졌다.   경찰 조사 결과 A씨는 계양구 일대에서 홀로 거주하는 노인으로 파악됐으며, 요양보호사는 A씨의 집 안에 설치된 센서에 6시간 넘게 아무런 움직임이 감지되지 않자 A씨의 가족에게 연락했던 것으로 파악됐다.   A씨는 당일 가족이 실종 신고를 한 상태였으며, 허리 보호대도 착용했던 것으로 전해졌다.   경찰은 A씨의 정확한 사망 원인을 확인하기 위해 시신을 국립과학수사연구원에 부검을 의뢰할 예정이라고 밝혔다.   경찰 관계자는 “현재까지 범죄 혐의점은 없는 것으로 보고 있다”면서 “다양한 가능성을 열어두고 수사를 진행하고 있다”고 설명했다.   ]","['편히 잠드소서..', '슬픈 현실이지만 나이 먹으면 슬슬 갈 준비는 해야하는게 맞는지도....나도 애덜한데 짐남기지 말고 가야지....', '죽음은 편안해야하는데 ㅠ', '존엄사 시급하다.', '', 'ilov**** 무슨 사건 사고가 날 때마다 다 대통령들 탓 할 거냐? 너는 너가 잘못해도 다른 사람들 탓만 하고 살고 있는 거 아니냐?!! 본인 잘못은 하나도 없다고 생각하는 거냐?', '에휴.. 이런 기사 볼때마다 너무 안타깝고 슬프다. 마음 편히 영면하세요.. 삼가 고인의 명복을 빕니다.', '', '청년이 소중하지 노인,장애인은 1도 관심이 없는 사회복지 공무원들...', '계양구 의원 이죄명의 저주가 시작되었다.\n애도를 표합니다.', '이재명지역구지? 참 많이 죽는다. 잘살고 부자인데 아닌가? 민주당지지지역구는? 국힘은 못살고 못배운지역이라며? 이재명. 참 않보구 싶은데..자꾸 연상되네', '', '부럽다', '요양보호사가 가족들한테 알리지 않았으면 무슨 일이 난 뒤에도 한참동안 가족들은 아무 것도 몰랐다는 거네… 자주 왔다갔다 좀 하시지!!!', '', 'ㅈㅅ 하지맙시다', '뿅하고 가는것도 복인듯', '', '자식있어봤자 혼자가는 세상이구나', '이제 머지않아 저런 죽음이 여기저기서 우후죽순 잃어날판 슬프다', '', '역시 마계인천']",http://www.munhwa.com/news/view.html?no=2022073101039927226002,https://n.news.naver.com/mnews/article/014/0004875586?sid=102
2022.07.28.,연합뉴스언론사 선정,,1인 가구 700만명 첫 돌파…혼자 사는 노인 182만명,,,https://www.yna.co.kr/view/AKR20220728089000002?input=1195m,http://www.munhwa.com/
2022-07-31 14:11:02,브레이크뉴스,사회,"경기도노인종합상담센터, (사)대한노인회 경기도연합회와 업무협약 체결","[ 부모·기혼자녀 근거리 거주하는 ‘세대공존형’오세훈 시장 “향후 SH 임대주택단지에도 적용”‘3대 거주형 주택’은 하계 5단지에 시범 조성싱가포르=곽선미 기자    오세훈 캄풍  오세훈 서울시장이 30일 오후(현지시간) 캄풍 애드미럴티(Kampung Admiralty) 시설을 둘러보며 관계자의 설명을 듣고 있다. 서울시청 제공  부모세대와 기혼자녀가 가까이 살 수 있게 있게 하는 노인복지주택단지인 ‘골드빌리지’(가칭)가 서울 은평구 서울혁신파크에 들어선다. 또 부모세대와 자녀·손자녀세대가 한지붕 두 가족처럼 독립적인 생활을 유지하면서 함께 사는 ‘3대 거주형 주택’은 재건축을 앞둔 하계 5단지에 시범 조성된다.싱가포르를 방문 중인 오세훈 서울시장은 30일(현지시간) 싱가포르 북부 실버타운 ‘캄풍 애드미럴티’를 찾아 이 같은 계획을 밝혔다. 서울시는 급속한 고령화와 아이 돌봄 등 일상 속 고충을 해결할 대안으로 골드빌리지와 3대 거주형 주택 등 두 가지 유형의 ‘세대공존형 주택공급’ 정책을 추진 중이다.오 시장은 “은평 서울혁신파크에 어르신 주거 100∼200가구, 자녀 주거 100∼200가구 등을 조성하고, 보육·커뮤니티시설을 함께 넣어 상업·업무시설을 함께 구축할 계획”이라고 밝혔다. 이어 “은평 혁신파크는 부지가 굉장히 넓고 복합적인 용도로 활용할 수 있어 그 공간에서 보존할 것은 보존하고 허물 것은 허물어 골드빌리지를 실험해보고자 한다”면서 “그것이 좋은 평가를 받으면 서울주택도시공사(SH)를 통해 앞으로 재건축 하는 임대주택단지에도 적용할 것”이라고 말했다. 은평 혁신파크 부지 면적은 축구장 15개 크기와 맞먹는 10만여㎡다. 서울시는 혁신파크를 1호 골드빌리지로 조성한 데 이어 2호 골드빌리지로 강동구 시립요양원 부지를 검토하고 있다. 골드빌리지는 통상 쓰이는 실버타운 대신 인생의 황금기란 뜻에서 골드를 붙였다는 게 SH 측의 설명이다. SH는 5대 권역별로 역세권 등의 입지를 선정해 사업을 추진할 계획이다.오 시장이 주목한 캄풍은 활동 반경을 넓히기 힘든 노년층이 생활에 필요한 서비스를 원스톱으로 이용할 수 있도록 조성된 프로젝트형 주택단지다. 골드빌리지의 실제 모델에 해당한다. 캄풍은 시골마을을 뜻하는 말레이시아 말로, 노년층의 원활한 커뮤니티 활동을 지원한다는 의미로 붙여졌다.     캄풍 내부 전경 캄풍의 실제 거주 시설 내부 모습. 서울시공동취재단.  캄풍은 급격한 고령화에 대응하기 위해 싱가포르 주택개발청과 보건부, 유아개발부, 국립환경기구, 육상교통청 등 다양한 정부기관이 참여해 조성했다. 싱가포르 최초 시니어 세대 주거에 주안점을 두고 종합병원, 공원, 커뮤니티시설, 쇼핑센터, 은행, 식당 등 편의시설을 층마다 배치한 게 특징이다. 건물 옥상 공원에서는 식물을 직접 재배해 요리할 수도 있다. 거주 시설 안에는 노년층의 안전을 고려해 가구에 안전 바를 설치하고 주요 동선마다 턱을 없앴다. 끈이 달린 붉은 색 비상벨도 비치돼 있다. 현지 관계자는 “캄풍의 입주자격은 55세 이상이며 현재 2개동에 총 104가구가 거주한다”며 “특히, 1㎞ 반경 건물에 자녀 세대들이 거주하고 있어 수시로 부모 세대를 방문해 안부를 묻고 자신들의 아이를 보육시설에 맡기고 출근하는 게 일상”이라고 소개했다. 서울시는 또 다른 세대 공존형 주택인 3대 거주형 주택은 별도의 주택 평면을 개발해 재건축을 앞둔 하계 5단지에 시범 적용할 예정이다. 이와 함께, 시는 3대 거주형 주택에 입주할 경우 인센티브를 주는 방안도 검토하고 있다. 임차보증금 이자 지원, 양육친화형 보증금 지원, 3대 거주 특별공급 청약제도 신설 등이다. 싱가포르도 자녀가 부모와 가까운 곳에 주택을 구매할 경우 ‘근접주거 보조금’을 지급하는 등 3대가 모여 사는 것을 국가 정책으로 장려하고 있다.오 시장은 “서양 속담에 어르신들과 기혼 자녀들, 손자·손녀 키우는 자식들은 스프가 식지 않은 거리에 사는 게 좋다는 말이 있다”면서 “세대통합형, 부모 자식 간에 근거리에 함께 거주할 수 있는 주택을 많이 공급하는 것이 중요하다”고 말했다. 이어 “매우 효용성이 높은 이런 주거 제도가 잘 정착이 되면 민간이 건설해서 분양하는 아파트 형태에도 이런 모델이 들어갈 수 있을 것”이라며 “선도적인 모델이 될 수 있도록 개발해 나갈 예정”이라고 덧붙였다.   ]",[],http://www.breaknews.com/912917,https://n.news.naver.com/mnews/article/021/0002524400?sid=102
2022.07.29.,국민일보언론사 선정,,"이재명 “언론·정치권, 다 날 미워해…요즘은 가족도 인질”",,,https://news.kmib.co.kr/article/view.asp?arcid=0017325164&code=61111111&cp=nv,https://www.yna.co.kr/
2022-07-28 12:01:21,경향신문,경제,“노인 건강에서 안전 확인까지 원스톱서비스”,"[ 친구·애인 함께 사는 비친족가구 47만으로 역대 최대1·2인 가구 늘고 4인 이상 줄어 평균 가구원 2.29명    1인 가구 (PG)[박은주 제작] 사진합성·일러스트    (세종=연합뉴스) 박용주 곽민서 기자 = 지난해 1인 가구가 처음으로 700만명을 돌파했다.    친구나 애인 등 가족이 아닌 사람들과 함께 사는 비(非)친족 가구도 역대 최대 수준으로 늘었다.    급격한 고령화의 여파로 혼자 사는 노인 수는 182만명으로 불어났다. 친족가구 줄고 1인 가구 7.9%↑·비친족가구 11.6%↑    통계청은 이런 내용 등을 담은 2021년 인구주택총조사 결과를 28일 발표했다.     지난해 국내 총가구는 2천202만3천 가구로, 작년 대비 2.5% 증가했다. 인구가 줄어드는 가운데에도 가구가 분화하면서 가구 수는 오히려 늘었다.    가구별로 보면 1인 가구가 716만6천 가구로 1년 전보다 52만2천 가구(7.9%) 증가했다.     1인 가구가 700만명을 돌파한 것은 관련 통계 집계가 시작된 1980년 이후 처음이다. 1인 가구가 전체 가구에서 차지하는 비중은 33.4%까지 올라갔다. 세집 걸러 한집이 1인 가구인 셈이다.     2인 가구도 607만7천으로 600만을 처음으로 넘어섰다. 4인 이상 가구 수는 403만6천으로 3인 가구(417만)보다 작아졌다.     평균 가구원 수는 5년 만에 2.51명에서 2.29명으로 0.22명 감소했다.    친구·애인 등이 함께 거주하는 비친족가구도 47만3천가구로 4만9천 가구(11.6%) 증가했다.    특히 비친족가구는 가구 수와 증가 폭 모두 통계 작성 이래 최대치를 기록했다.     반면 가족이 같이 사는 친족 가구(1천381만 가구)는 1년 전보다 0.4% 감소했다.    친족 가구 비중은 2016년(70.7%)까지만 해도 70%를 웃돌았으나, 1인 가구와 비친족가구가 늘면서 지난해에는 비중이 64.4%까지 떨어졌다.    (통계청 제공) 1인 가구 10명 중 4명은 2030…60대 1인 가구 13.2%↑    가구별 특성을 살펴보면 1인 가구는 20대 이하가 141만8천명(19.8%)으로 가장 많았다. 30대 1인 가구가 122만6천명(17.1%)으로 뒤를 이었다.    1인 가구 10명 중 4명 가까이는 20∼30대 청년층인 셈이다.    작년 대비 1인 가구가 가장 큰 폭으로 증가한 연령대는 60대였다.    60대 1인 가구는 지난 1년 새 13.2% 급증했는데, 특히 남자 60대(15.6%) 증가율이 높았다.    65세 이상 고령 인구 가운데 1인 가구는 182만4천명으로 1년 전보다 16만4천명(9.9%) 늘었다. 아플 때 도울 사람이 마땅히 않거나 고독사 위험에 노출된 사람들이다.     고령인구로만 구성된 가구도 323만9천 가구나 된다.     18세 이하 자녀가 있는 가구는 482만7천으로 지난해보다 2.5% 줄었다.    한부모 가구는 151만 가구로 1.5% 감소했고 다문화가구는 38만5천 가구로 4.7% 증가했다.    지역별로는 수도권에 전체 가구의 49.5%가 거주했는데, 경기(549만3천 가구) 지역 가구 수가 가장 많았다.    거처 종류별로 보면 아파트에 거주하는 가구가 51.9%로 가장 많았고, 이외 단독주택(29.6%), 연립·다세대(11.4%) 순이었다.    (통계청 제공)  국내 주택 절반은 20년 이상 노후 주택     지난해 총 주택은 1천881만2천호로 1년 전보다 1.5% 증가했다.    이 가운데 20년 이상 된 주택이 전체 주택의 50.2%를 차지했다.    사람이 살지 않는 빈집은 139만5천호(7.4%)로 집계됐다. 신축주택 및 매매·임대·이사·미분양 등 사유로 인한 일시적 빈집도 포함된다.     speed@yna.co.kr ]","['', '망할 세상 혼자 사는게 속 편함 남한데 피해 안주고 혼자 즐기고 이제는 그렇게 살아야함 열심히 일해봤자 월급 통장은 제자리고 물가는 오르고 나가는 돈은 많고 가정  꾸려서 내 자식에게 가난을 물려주는 꼴 밖에 되지 않는다 집에 재산 좀 있고 능력 좋은 사람들에겐 이런 말들이 우습게 들리겠지만 당신들이 비웃는  사람들이 갈수록 늘어날것이다', '집값이나 싸졌으면 좋겠다.', '예산 좀 제대로 써라. !! 육아문제 인구문제 해결하랬더니 ~ 권력싸움이나하고', '한 18평 방2거실 욕1 정도가 혼자살기 딱좋음', '', '2030까지 1인가구 비율 최고. 60대 이상 1인 가구 비율 최고… 이건 무슨 의미? 2030 이후 결혼하고 40대50대 가정 이루다.. 많이들 이혼 하거나 사벌한다는 말! 결혼 해도 같이 살 시간이 많지 않다. 비혼이 최고다! 비혼해서 돈 모아서 노후 대비 해야지.', '그러면서 1인가구에게 빨갱이 건보료를 비롯, 온갖 세금은 또 오지게 부과시키니 결국 고독사 예약이라 이기야!! ㅋㅋㅋ', '나는 4년째 인천 연수구에 영구임대 아파트 요양원에 삼니다 여기에 사시는분에 3분에2가 독고노인 입니다 그겄도 지금에 세계적이니 뭐니 하면서 당시 내가 태어나서 유신정권 산화 아이앰 에푸등을 넘기며 지금에 대한민국을 만드는데 일조했죠 그런데 선거때는 뻔지르한 말로 우리를 지켜주기는 커녕 푸대접은 말할께업고 살기가 힘든데 엘에치공사 애들은 직원 정직원도 아닌데 관리비에 자기네들 봉급.차량유지비 하면서 4년전에 곱절이넘는 관리실 직원과 관리비를 지급합니다 이게 현실이니 내가 요양원이라 칭합니다 빨리 뒤져라죠.', '부모급여나 빨리주라. 내세금으로 청년정책만 내놓냐? 내가 청년때는 그런혜택없이 맨땅으로 시작했다. 나도 나라 덕좀 보자.', '종족 번식은 무슨정책으로 돈지롤 한다고 해결안됀다 ㅡ생각해보라  무엇이던 귀해야 소중한것을 안다 이성도 돈있음 다해결돼고 그깟자식 있어봤자 소용없는것을 알고 내인생 즐기다가자인데 안긍가 돈없어 애를안낳는다?그럼석렬이 근혜는ㅡ개조오 없는것들이 아이 낳지 ㅡ황금만능주의 에부작용이여 인간이 영악하게 진화를 하였어 돈지룰 하지마러 애안낳아', '바탕자체가 잘못된 입법부 행정부 사법부에 미물들이 오천만 전 국민이 가야 할 미래를 없애버려서~~~!!! 인간이 가야 할 진리를 역행한 결과다~~~!!! 인간은 가정을 가지고 자식을 낳고 배우자와 자식을 위해서 한평생 사는게 진리인데~~!! 고문치사, 일제강점기 같이 전 국민을 노예로 만들어 군림하려고~~!! 이나라 백년대계를 위하고 오천만 전 국민을 위해서 하루빨리 바탕자체가 잘못된 미물들을 모조리 찾아서 잡아다 본보기로 혀를 뽑아 서울시청 국기계양대에 공개적으로 생방송하며 목메달아 죽여서 나라를 똑바로 잡아야 하는데~~!!', '갈수록 1인가구가 늘어나서 절반정도 될듯ᆢ', '결혼 하고 싶어도 못하고 있다 대부분 왜 돈 돈 없잔아   진짜 가족 꾸미고 싶다 근대 못해 ㅠ 이유야 여러게 잊게지만 돈이읎다 돈 돈 주위 분도 안만나 기찬아도 잇지만 돈 이 없다 띠발', '오로지 혼자 살고싶어서 독립했지만 결론은 고시텔....그래도\n혼자라서 좋다..', '', '어짜피 빈몸으로 왔다가 빈몸으로 가는거 구지 지옥의 문을 열어 나의 행복을 갈아 넣을 필요가 있을까 싶긴 함', '독거노총각의~~~~ 일상 ~~~ 이야기~~~~', '네 다음 182만명', '', '1인가구 20퍼센트 ㅋㅋㅋ', '혼자가최고편하다 ㅡ아프면쬐끔', '여기  혼자 살면서  넓은  평수  살면   좋은거라고   생각하는  사람  많은데.   넖으면  청소하는   범위도  넓다는거   알지?     재벌   아닌  다음에야   넓으면  생활비   더 드는거    알지?   적당히   좁은 곳이  더   편하게  산단다.     혼자 살면서   넓은데   살면   가끔    강도님도  오신단다.     적당히  좁은곳   살면  도둑님도  안온단다.   에이!   기진것도  없는 눔인데.   하고.', '부럽다', '', '이 기사를 보는 사람들은 한국이 정점을 찍고 내리막이라는 걸 믿겠군.. 더 발전한다고 꿈꺠셔들.. 인종 청소되서 사라지기 전에.. 중국에서 좀 받아주면 좋으련만.. ㅋㅋ', '', '인구는 줄고 있지만 가구 수가 늘어나니 주택은 계속 모자라고 자동차 수도 늘어나니 주차장은 부족하고 도로는 더 막히네. 한 10년 정도 바짝 경제 성장해서 선진국에 완전히 안착하고 그 후에는 인구도 제법 줄고 해서 좀더 쾌적하게 생활할 수 있으면 좋겠다. 솔직히 이 좁은 땅에 5천만 명이 모여사니 어딜가나 경쟁도 너무 치열하고 서로 피해를 주기도 쉽고 항상 긴장하며 살아야 함. 향후 4천만 명 정도로 내려오면 삶의 질도 좀더 좋아질 것 같음.', '30평대 혼자 살만하지! 가끔 거시기만 좀 그렇지! 존나 편하지!', '일본은 저출산 고령화로 수출로만 먹고 살기 한계로 플라자 합의로 내수, 금융키워 준기축통화국 지위 얻고 내수와 금융으로 자면서도 돈벌어 저출산 고령화 대비도 하고 주40시간제로 적게 일해도 먹고 살수 있게 만들어 출산율 올리고 oecd자살 1위는 한국에 준건데, 한국은 더 심한 저출산 고령화인데 내수,금융 키우기 무리라 수출만 계속 몰빵뿐이니 살려면 한국은 유럽처럼 이민을 받아야 하지 ㅋㅋ', '']",https://www.khan.co.kr/life/health/article/202207291538002,https://n.news.naver.com/mnews/article/001/0013340482?sid=101
2022.07.31.,인천일보,,어르신 복지증진 심리 안전망 구축경기도사회서비스원-대한노인회 경기도연합...,,,http://www.incheonilbo.com/news/articleView.html?idxno=1155020,http://www.breaknews.com
2022.07.28.,중앙일보,,72년 만에 한국 인구 줄었다…국민 6명 중 1명은 노인,,,https://www.joongang.co.kr/article/25090371,http://www.kmib.co.kr/
2022-07-29 16:58:02,경상매일신문,정치,"구미시 선산읍, 독거노인 이불세탁 진행","[     이재명(오른쪽) 더불어민주당 의원이 29일 강원도 춘천으로 이동하는 차량에서 유튜브 라이브를 진행하고 있다. 유튜브 화면 캡쳐이재명 더불어민주당 당대표 후보가 29일 “저만 잡으면 견디겠는데 요즘은 제 가족도 인질 삼아서 하니까 참 힘들다”고 말했다.이 후보는 이날 오후 강원도 춘천으로 이동하는 차량에서 진행한 유튜브 라이브에서 “저는 우리 사회의 모든 기득권자로부터 찍힌 사람”이라며 이렇게 말했다.이 후보는 라이브 시청자들과 대화하는 과정에서 ‘왜 정치권에선 (이 후보의 진정성을) 몰라주느냐’는 질문에 “정말 언론, 권력, 정치권 다 날 미워한다”며 “아이고, 이것도 운명이죠. 말도 못 한다”고 호소했다.이 후보는 당대표 선거 출마 배경에 대해 “국민이 믿을만한, 사랑할만한, 기대할만한 당으로 만드는 것이 지금 이 시기 민주당에 가장 중요하다”고 설명했다. 그러면서 “개인적으로 보면 솔직히 매우 위험하고 또 미래가 어떻게 될지 알 수 없지만 이게 내 역할이라고 생각한다”고 강조했다.또 이 후보는 “윤석열정부가 재벌, 초대기업들의 5~6조원에 달하는 세금을 깎아준다고 하는데 그만큼 복지지출에서 줄일 수밖에 없다”고 지적했다. 이어 “노인 일자리를 줄이면 그분들은 한 달에 28만원 받았는데 다시 종이 주우러 다녀야 한다. 그렇게 만든 것이 어쨌든 제가 졌기 때문”이라고 덧붙였다.이어 이 후보는 “죄송함과 책임감이 어깨를 짓누르니까 ‘다시는 지지 말자’ ‘지는 선거를 하지 말자’ ‘지는 선거에 후보가 되면 뭐하나’라는 생각이 든다”며 “지금 당장 우리가 할 수 있는 일에 총력을 다하자고 일종의 결단을 했는데 정말 다시는 지고 싶지 않다”고 말했다.이 후보는 지지자들을 향해 “소위 말하는 댓글 정화, 가짜뉴스를 많이 시정해주시고 말 같지 않은 여론조작을 많이 정리해주시는 여러분이 있어서 힘이 나기도 한다”고 강조했다.이어 “제가 누구 어디에 의지해서 버티겠냐”며 “국민만 믿고 국민에 의지해서 여기까지 왔다”고 전했다.   ]","['', '혜경궁 트위터 사건 터졌을때 문대통령 아드님 인질삼은 거 누구????', '미워하는게 아니고 뻔뻔한 당신꼴을 국민이 싫어하는겁니다\n얼마나 더 당신주변 인물이 죽어야 하나\n그래도 뻔뻔하게 헛소리 하고 다녀', '정상적인 사람이라면 이재명 미워할 수가 없지.. 지지합니다.', '가족을 정신병원에도 넣은자가 가족걱정도 하네!!!!', '이재명 좀 그만 괴롭혀', '수사 끝나고 유죄판결까지 나도 개딸들 몰아서 강압수사 프레임으로 나오겠지? 에휴! 윤석열과 국힘의 헛짓거리땜에 별놈의 잡배가 다시 살아날 기세네.', '장제원 노엘 억울하다 같은 소리 하고 자빠졌네.', '진짜 사람하나 이렇게 난도질 해도 되는건가 싶음...ㅠㅠ힘내세요', '', '국민들이 뒤에서 응원하고 지지하고 있습니다 화이팅 ㅠㅠ', '아들 성매매 도박은 어캐된거냐? 수사안하나', '', '옳은 일 하는 사람이 당신 하나 뿐이라 그래요… 진짜 참 정치인 이재명 한 사람 뿐이라…', '', '지 잘못은 반성도 없고 너 부부땜에 죽은 사람들과 그 가족들에게는 한마디 사과도 없는 이 뻔뻔한 인간 쓰레기가 무슨 대통령을 한다고 헛소리를 하는건지. 민주당은 이렇게 사람이 없는건지 참 어이없네요', '#근 1년 사이 아수라 범죄관련 해서... 벌써 4명... 자살 당함...', '오해해서 미안해요 이제 아묻따 지지', '재명이형 파이팅~', '사람 새끼여야 미워하지않지! 살모사,범좨 사기꾼, 살인자같은 놈이니까 미워할수밖에없다 그러니 시골 너거 고향에가서 처박혀살거라,그래야 대한민국이살고 조용해진다.', '이재명 화이팅!!!!!!!! 그저 응원하고 지지합니다!!!', '재명 응원하는 사람들 한바가지야~~!!!!', '이젠 이재명 의원님을 지지하고 응원하는 사람도 많다는 걸 알아주세요. 정상적인 국민들은 터무니없는 언론 조작과 댓글부대의 악성댓글에 더이상 넘어가지 않습니다! 이재명 의원님 힘내세요💙💙💙', '국민들은 바보가아니다 진짜 노무현과 가짜노무현을 구별할줄 안다\n진짜 노무현은 노무현 한사람밖에없다\n문재인과 이재명은 가짜노무현이다', '', '저런 정신 머리가 대선 후보였어요 여러분', '왜  나만미워한다고 생각할까?  모든사람들이  미워한다면   본인을  돌아봐야하지않을까?', '', '그만 좀 괴롭혀라 제발 ㅡㅡ 일못하는 윤석열이나 까 죄없는 이재명 절대지켜', '험난한 정치.. 그치만 당신의 진심은 통했습니다. 함께하고 지지하겠습니다.', '', '웃기는 짬뽕일세~~!니넘은 필요할땐 맘대로 갖다 쓰던넘이?넌 문귀걸이 걸고 넘어졌잖애~~', 'ㅋㅋ개딸빼고 다 본인의 거짓말에 질러서 싫어할꺼야.ㅋ', '', '나라가 어쩌다가 이런 인물들이 득세하게 되었나 ㅉㅉ', '그전까지 오해해서 미안해요 항상 응원합니다💙💙💙', '끝까지 지지합니다 힘내주세요', '안타깝지만, 실제 현실은 이렇습니다.~~\n\n초부자 초대기업 감세, 대신 지역화폐 일자리예산 같은 서민지원 축소하는 게 국힘 정권입니다.~~\n\n일부지만 자신에게 피해끼치는 정당을 지지하는 이 안타까운 현실은 정보를 왜곡 조작하는 일부 언론의 책임이 큽니다~~\n\n지금도 제 발언 앞뒤를 자르고 왜곡해', '', '무조건 지지합니다', '힘내세요!!! 항상 응원합니다💙💙💙', '이재명 의원님 저희가 늘 지지하고 응원합니다!!!', '의원님 지지합니다 ㅠㅠ 이재명좀 냅둬라', '그만좀괴롭혀라 진짜', '', '28이 정상적인 능지인가요? 안고갈 가치도없는 대머리들입니다ㅠ 이재명의원님 지지자들 보고 힘내주세요 ㅠㅠ', '이재명 화이팅 힘내요 응원하는사람이 더 많아요💙', '응원하고 지지합니다.2번들  28프로 지지하는 꼴이 우습네요.  28럼들ㅋ', '', '니가   이쁜짓   하는꼴을   못봐서  그려', '그럼 관두던가~', '눈물난다ㅠㅠ 항상 응원하고있어요 힘내세요!!', '좌파가 언론 장악한거 알면서 희한한 소리하고 계시네 \n언론들 개딸들 댓글부대가 고맙잖아 당신 \n전과 4범에 6대 비리 수사 중에도 민주당 당대표 한다고 나오면서 뻔뻔함이 대한민국 1등', '널 사랑하는 개딸들과 양아들은 어쩌고~ 걔네들한테 받는 사랑만으로도 차고넘치지않나?', '견제될 만한 존재를 이렇게 짓밟아놓는거 너무 비열하고 야비해요😡😡😡😡😡 상식수준 안맞는 동태눈깔들 상대하시느라 항상 고생이 많습니다!!!!! 💙💙💙', '', '응원합니다', '너만 미움 받을 짓  해! 머릿속에는 온통 돈, 여자, 거짓말이 찰찰 넘치지? 다음에는 누가 자살할지 너는 알고 있지?', '단추구멍 찢이 피해자 코스프레 하네.', '피해자 코스프레 오지네', '싫어할만 하니까 싫어하지 막산아\n아직도 이유를 몰라?', '', '악마화 작작해 문재인 이재명 팬다고 잃어버린 느그 지지율이 돌아올거같냐?ㅋㅋ', '나라가 이꼴이 났는데 저러고 있네 어휴', '이재명 믿습니다', '이재명💙 이재명💙 이재명💙', '이재명좀 냅둬라~~ 국짐 언론 기업 손잡고 짝짝꿍하는건 알겠는데 너무 추잡스럽지않나? 페어플레이를 못해 오ㅐ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 누가 국민의짐 ㅁ ㅐ국노당아니랄ㄲ ㅏ봐 드.랍게 천박하네 .', '무조건 지지해요 💙💙 날조된 언론? 안믿습니다', '응원합니다!!!!!', '지지합니다 응원합니다', '힘내서 버팁시다', '이재명 의원님 늘 지지합니다. 파이팅!', '저는 이재명의원님이 젤좋은데여!!!!!!!', '이재명만 믿는 지지자들이 항상 있습니다!! 아좌좌 ~~~!!', '이재명💙💙💙💙💙💙💙화이팅💙💙💙💙💙', '죽을때까지 지지합니다💙 재명뿐이잔아 💙', '항상 응원하고 지켜보며 함께 하겠습니다!!!', '재덩 난 응원해', '신천지 댓글부대=  못배우고 가난함', '개소리', '충분히  그럴만하지   ,,  추종하는 사람들이  이상한거지,,,,   기본인성 부족  약자에 굴림할  인성 \n대문', '', '그러니까 눈 앞에 보이지마요', '변호사에 시장에 도지사.... 출신께서 .... 기득권자에 속하는 분 아닌가요...... 가족은 죄 없음, 법원에서 무죄로 다 풀어 줄겁니다. 요즘 어떤시대인데....요... 법원에서 억울함 풀어 줄 겁니다. 변호사 출신이니 잘 아실겁니다..', '미워 할만하다', '그렇게도 이재명이 무서운거겠지요 끝까지 함께 하겠습니다', ""김혜경 할머니가 '너떄문에 니 아빠 정신병원 가는거니까 그렇게 알아!' 라고 전화통화로 소리지를때 알아봤죠. 아 이 가족은 성남국제마피아파 변호사 하던 이재명이 가장인 집안이 맞구나..."", '개할머니들이 있잖아 힘내', '', '이재명만 아니면돼', '니가 미운짓을 하니 글치~', '', '아휴 ㅠㅠ 이 분 정말 ㅠㅠㅠ', '날조에 속아 오해했지만 이제 무조건 믿고 지지해요💙💙💙', '언론 네들이 이 나라 국운을 망친거다 이명박 때부터 이재명 죽이기 하려고 수십년을 털어도 뭐하나 걸릴거 없는 사람을 언론이 나서서 ‘이재명 악마화’에 미쳤지', '지지합니다', '', '와…댓글 죄다 빨개이들 천지네 나라가 미쳐가네', ""이재명이가 대단하기는 하다.'''검찰이 이리수년째 뒤져도 나오는것이  없으니  차기는 무조건  이재명 찍어야것다."", '속상합니다\n하지만 넘 잘나셔서 그래요\n넘 잘해서 그래요\n넘 깨끗해서 \n질투하는 거에요', '이제는 이재명 당신을 지지하고 국민들이 지킬께요~\n기득권세력과 함 제대로 싸웁시다 홧팅~~']",http://www.ksmnews.co.kr/default/index_view_page.php?idx=388721&part_idx=266,https://n.news.naver.com/mnews/article/005/0001543196?sid=100
2022.07.31.,시사오늘,,"지하철 노인 무료, 왜 생겼을까 [정진호의 정책史①]",,,http://www.sisaon.co.kr/news/articleView.html?idxno=141283,http://www.khan.co.kr/
