Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.09.27.,경기일보,,안성 생활체육으로 노인건강 증진 활기 찾는다,,,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1399198,http://www.kyeonggi.com/
2017.09.26.,불교공뉴스,,"제21회 노인의 날 기념행사, 100세 건강한마당 개최",,,http://www.bzeronews.com/news/articleView.html?idxno=322383,http://www.bzeronews.com
2017.09.26.,뉴시스,,"나홀로 노인, 스트레스 덜 받지만 건강평가는 부정적",,,http://www.newsis.com/view/?id=NISX20170926_0000105883&cID=10401&pID=10400,http://www.newsis.com
2017-09-26 12:00:48,헬스조선,사회,"대림성모병원, 노인성 질환 건강강좌 개최","[     【서울=뉴시스】전진우 기자 = 26일 통계청이 발표한 '2017년 고령자통계'에 따르면 2016년 가구주 연령이 65세 이상인 고령자 1인 가구는 129만4000 가구로, 전체 고령자 가구 중 33.5%를 차지한다. 618tue@newsis.com 통계청 '2017 고령자 통계' 발표 독거노인 열에 넷, 사회 불안에 떤다【세종=뉴시스】이윤희 기자 = 독거노인의 스트레스가 전체 고령자보다 적은 것으로 조사됐다. 그럼에도 고령자 1인가구는 자신의 건강상태가 나쁘다고 평가하는 사람이 전체 고령자보다 많았다. 아울러 독거노인의 40% 이상이 사회안전에 불안을 느낀다고 응답했다. 이 역시 전체 고령자보다 소폭 높다. 26일 통계청이 발표한 '2017 고령자 통계'에 따르면 지난해 65세 이상 고령자 1인 가구의 41.0%가 '전반적인 생활'에서 스트레스를 받고, 39.0%가 '가정생활'에서 스트레스를 받는다고 응답했다. 이는 전체 고령자의 스트레스 인식에 비해 낮은 수치다. 홀로 사는 노인들이 실생활이나 가족과의 문제에서 받는 스트레스가 덜하다는 뜻이다. 전체 고령자의 경우 '전반적인 생활'에서 스트레스를 받는다고 응답한 경우가 44.1%로 1인 고령자에 비해 3.1%포인트 높았다. '가정생활'에서 스트레스를 받는 경우도 41.8%로 2.8%포인트 높았다. 1인 고령자 중에서도 여자의 스트레스가 남자보다 더 낮았다.  '전반적인 생활'과 관련해 남자 독거노인은 45.6%가 스트레스를 느낀다고 응답했으나, 여자는 39.8%에 그쳤다. '가정생활'에서도 남자는 43.9%가 스트레스를 느낀다고 응답했고, 여자는 37.7% 수준으로 조사됐다. 하지만 홀로 사는 노인들은 자신의 건강 상태가 좋지 않다고 보는 경우가 많았다. 지난해 고령자 1인 가구 중 자신의 건강상태에 대해 '나쁘다'고 응답한 경우는 55.0%에 달했다. 반면 전체 고령자 중 자신의 건강상태가 나쁘다고 응답한 비율은 43.5%에 불과했다. 11.5%포인트의 괴리가 있는 셈이다. 홀로 사는 노인 가운데 '보통'이라고 응답한 사람은 28.1%였고, '좋다'고 응답한 경우는 16.9%였다. '좋다'고 응답한 남자 고령자 비율이 25.8%로 여자(14.5%)보다 높았다. 한편 독거노인의 건강관리 실천율도 전체 고령자에 비해 낮은 것으로 나타났다. 지난해 65세 이상 1인 가구의 건강관리 실천율은 '아침식사' 86.6%, '적정수면' 73.5%, '정기 건강검진' 73.0%, '규칙적 운동' 41.4% 수준으로 조사됐다.  반면 전체 고령자는 '아침식사' 91.5%, '적정수면' 81.6%, '정기 건강검진' 79.6%, '규칙적 운동' 46.4% 등으로 모든 면에서 실천율이 독거노인보다 높았다. 한편 고령자 1인 가구 중 열에 넷 이상이 사회 불안을 느끼고 있는 것으로 조사됐다. 지난해 독거 노인의 43.1%가 우리 사회의 전반적인 안전에 대해 불안을 느낀다고 응답했고, 안전하다고 느낀다고 응답한 경우는 14.2%에 불과했다. 전체고령자는 42.4%가 불안하다고 응답했고, 13.4%가 안전하다고 답했다. 고령자 1인 가구의 주된 불안 요인을 보면 범죄발생이 29.0%로 가장 높았고, 국가안보가 24.7%로 뒤를 이었다. 또한 경제적 위험으로 불안을 느끼는 비율은 9.4%로 조사됐다. 전체 고령자의 경우 범죄발생으로 인한 불안이 24.9%로 조사돼 독거노인이 범죄발생에 비교적 큰 두려움을 느끼는 것으로 나타났다. sympathy@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]&lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt; ]",[],http://health.chosun.com/site/data/html_dir/2017/09/21/2017092101088.html,https://n.news.naver.com/mnews/article/003/0008200067?sid=102
2017.09.21.,경향신문,," 미병 임상연구 모집, 노인성 질환 건강강좌",,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201709211722001&code=940601,http://health.chosun.com/
2017-09-21 10:17:46,브레이크뉴스,,"광주시, 빛고을노인건강타운 앞 노인보호구역 정비","[     대림성모병원이 오는 28일 오후 3시부터 건강강좌를 개최한다/사진=대림성모병원 제공대림성모병원은 오는 28일 오후 3시부터 본관 12층 회의실에서 '노인성 질환 건강강좌'를 실시한다고 밝혔다.이번 강좌는 뇌졸중과 노인성 우울증을 주제로 진행되며, 대림성모병원 신경외과 조준호 진료부원장과 정신건강의학과 이승훈 진료과장이 강연자로 나설 예정이다.고령화 사회로 접어들며 뇌졸중, 노인성 우울증 등 노인성 질환을 앓고 있는 사람이 증가하고 있다. 노인성 질환은 초기 치료를 놓칠 경우 자칫 생명까지 앗아갈 수 있어 적극적인 예방과 관리가 필요하다. 대림성모병원은 이번 건강강좌를 통해 대표적인 노인성 질환인 뇌졸중·노인성 우울증에 대한 내용을 알리고 예방의 중요성을 강조할 예정이다. 전문의의 강의가 진행된 후 참석자들의 궁금증을 해소할 수 있는 질의응답 시간도 마련되어 있다.대림성모병원에서 진행하는 이번 강좌는 별도의 사전 접수 없이 누구나 참석할 수 있다. 강좌에 대한 자세한 문의는 대림성모병원 콜센터에서 확인이 가능하다. 문의 (02)829-9000/ 이기상 헬스조선 기자▶국내 최고 명의 590명은 누구일까?▶대표 건강 사이트 헬스조선닷컴 바로가기 ]",[],http://www.breaknews.com/sub_read.html?uid=532097§ion=sc2,https://n.news.naver.com/mnews/article/346/0000017154?sid=004
2017.09.20.,시민일보,,"광주시, 빛고을노인건강타운 앞 노인보호구역 정비",,,http://www.siminilbo.co.kr/news/articleView.html?idxno=532837,http://www.khan.co.kr/
2017-09-21 17:22:53,브릿지경제,사회,"[브릿지포토] 용인시수지노인복지관, 2017년 노인의 날 맞이 지역사회 유관기...","[    ■강동경희대 한방병원, 미병 임상연구 참여자 모집강동경희대 한방병원(병원장 고창남)은 성인 남녀를 대상으로 미병상태, 삶의 질, 맥파, 체성분, 스테르스 등의 다양한 지표와 상관관계를 알아보기 위한 임상연구를 진행한다. 미병이란 건강과 질병의 중간영역, 즉 질병이 되진 않았지만 서서히 질병이 일어나려는 상태를 말한다.황민우 교수팀이 진행하며, 만30세 이상 만49세 이하 성인 중 최근 2년 이내에 받은 건강검진 결과 종합소견에서 정상A 또는 정상B를 받은 사람을 대상으로 한다. 뇌혈관계, 심혈관계, 면역계 질환자와 임산부, 수유부는 이번 임상연구에 참여할 수 없다. 참여자는 1회 내원해 1시간 30분간 맥파 측정, 체성분 측정, 심박변이도, 3D안면촬영, 혈액검사 등의 검사를 받는다. 소정의 교통비도 지급된다.임상연구 문의 : 02-440-6237(카카오톡ID : 미병임상연구)■대림성모병원, 뇌졸중과 노인성 우울증 건강강좌 대림성모병원(병원장 김성원)은 오는 28일 오후 3시 본관 12층 회의실에서 ‘노인성 질환 건강강좌’를 실시한다. 뇌졸중과 노인성 우울증을 주제로 진행되며 신경외과 조준호 진료부원장과 정신건강의학과 이승훈 진료과장이 강연자로 나선다.노인성 질환은 초기 치료를 놓칠 경우 자칫하면 생명을 앗아갈 수 있어 예방과 적극적인 관리가 필요하다. 별도의 사전 접수 없이 누구나 참석 가능하다. (02)829-9000&lt;박효순 기자 anytoc@kyunghyang.com&gt;▶ 경향신문 SNS [트위터] [페이스북] ▶ [인기 무료만화 보기]©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지 ]",[],http://www.viva100.com/main/view.php?key=20170920010007962,https://n.news.naver.com/mnews/article/032/0002820415?sid=102
2017.09.15.,백세시대,,"'100세 시대, 노인건강의 전망과 과제 정책토론회'…""질병예방 중심 노인 의료...",,,http://www.100ssd.co.kr/news/articleView.html?idxno=40663,http://www.breaknews.com
2017.09.15.,국제뉴스,,"황이주 경북도의원, '경북 농·어촌 노인 건강장수활동 지원 조례안' 발의",,,http://www.gukjenews.com/news/articleView.html?idxno=784629,http://www.siminilbo.co.kr
