Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.04.30.,레디앙,,"여성, 성소수자, 장애인과 노인 권리 보장",,,http://www.redian.org/archive/110339,http://www.redian.org
2017.04.13.,쿠키뉴스,,"아모레퍼시픽, 취약계층 여성 자립 돕는 '뷰티풀 라이프' 사업 공모",,,http://www.kukinews.com/news/article.html?no=446808,http://www.kukinews.com
2017.04.19.,전남일보,,"100세 시대, 경로당을 노치원(노인유치원)으로",,,http://www.jnilbo.com/read.php3?aid=1492527600521696063,http://www.jnilbo.com
2017.04.25.,뉴스토마토,,"국민들 ""노인 기준은 65세 아닌 67세""",,,http://www.newstomato.com/ReadNews.aspx?no=749070,http://news.etomato.com/
2017.04.21.,CNB저널(문화경제),,"MG새마을금고, 독거노인 지원 등 지역 맞춤형 사업 발굴·진행...6년간 9523건",,,http://weekly.cnbnews.com/news/article.html?no=122011,http://weekly.cnbnews.com/
2017.04.20.,부산일보,,"[고령친화공동체 구현 어떻게] 노인, '돌봄의 객체' 아닌 '참여의 주체'로 바...",,,http://news20.busan.com/controller/newsController.jsp?newsId=20170420000308,http://www.busan.com/
2017-04-20 19:07:09,경인일보,사회,"LH 서울지역본부 의정부권주거복지센터, 대한노인회와 취업지원 위한 업무협약...","[              2009년 시작된 도시재생사업으로 '부산의 산토리니'로 변신한 감천문화마을. 아름다운 조형물이 속속 들어선 이 명소엔 해마다 100만 명에 달하는 관광객이 몰린다. 성공한 도시재생사업 모델로 수능에도 등장했던 곳. 감천문화마을엔 '생활'과 '예술'이 평화롭게 공존하고 있을까. 관광객이 크게 늘면서 마을의 상가는 이전보다 10배 넘게 늘어났고, 주택 가격도 치솟았다. 상권 전쟁과 부동산 투기 때문에 원주민이 생활터전을 떠나는 젠트리피케이션(둥지 내몰림)이 가속화됐다. 주민들은 몰려드는 관광객 때문에 사생활 침해, 극심한 교통체증과 주차공간 부족 등 어려움도 겪고 있다.자립적 노인복지 서비스 체계 편하게 살 수 있는 지속 가능성 구성원 간 신뢰·연대 갖춰져야 '노년층, 인적자본으로 활용' 핵심 당당한 일원 거듭나도록 지원을 부산, 고령친화도시네트워크 가입 한국연구재단 사회과학연구단 '부산형 공동체 모델' 개발에 관심경성대 사회복지학과 김수영 교수는 ""감천문화마을은 관이 나서서 '세트장'을 만든 사례""라며 ""'보여주기식 행정'으로 주민을 배제하고 관이 나서 밀어부친 '마을 만들기'의 한계""라고 지적했다. 부산복지개발원 이재정 연구위원도 ""감천문화마을, 산복도로 르네상스 등 도시재생사업이 주민의 행복에 기여하려면 지역 주민의 바람이 반영되고, 자발적 참여가 있어야 한다""고 강조했다. ■사는 곳에서, 고령친화적으로김 교수는 ""노년의 주요 3대 키워드는 '어디서, 누구와, 어떻게 살 것인가'""라고 했다. 김 교수는 지난 2012년부터 교육부 산하 한국연구재단 사회과학연구단(SSK)을 이끌며 '한국형 고령친화공동체 모형 개발'을 목표로 다양한 연구를 진행 중이다. '어디서'는 이동·주거 조건, 근린환경조건을 뜻하고 '누구와'는 건강과 돌봄의 조건, '어떻게'는 사회참여, 사회교류를 의미한다. 노인이 '수혜자'가 아닌 '소비자'로 권익을 누리기 위한 최고의 조건은 '살고 있는 곳에서'(Aging in place)' 고령친화적'(Aging friendly) 환경을 갖추는 것이다. 감천문화마을의 부흥이 원주민의 행복에는 기여하지 못한 건 도시재생사업이 고령친화공동체로 성장할 기반을 갖추지 못한 상태에서 성급하게 추진됐기 때문이다.초고령화 사회(65세 이상 노인이 전체 인구의 20% 이상)를 눈앞에 둔 시점에선 노인을 위한 예산이 늘어날 수밖에 없고, 관련 예산 증가는 세대간 갈등을 키운다. 김 교수는 ""누구도 피해갈 수 없는 노화를 이해하는 공동체인 '고령친화공동체'가 필요한 이유""라고 말했다. ■고령친화공동체 첫걸음은 자발적 참여    도시재생사업의 빛과 그늘이 공존하는 감천문화마을. 부산일보DB고령친화공동체는 기존의 인적 물적 자본을 활용하는 패러다임의 전환을 의미한다. 세대간, 구성원간 연대로 만들어진 공동체는 기존 서비스를 효율적으로 활용하고, 노인을 사회적 자본화할 수 있는 곳이다.이때 가장 중요한 것은 자발적 참여다. 세계보건기구(WHO)가 세계의 고령친화도시에 가장 바라는 것도 바로 '노인들의 자발적인 참여'다. 김 교수는 ""노인의 사회 참여는 좁은 의미의 '노노(老-老) 케어'를 넘어 인적 자원으로서 노인을 사회 자본화하자는 취지""라며 ""어린이 돌봄에서부터 젊은 층 멘토 활동까지 노인 사회 참여의 범위를 넓혀야 노인 스스로 사회적 책임 의식을 갖고 사회적 역할자가 될 수 있다""고 말했다. 사회적 지분을 가진 당당한 노인이 되자는 것이다. 고령친화공동체는 노인 인구는 계속 증가하는 데 부족한 예산이 계속 만들어질 순 없으니 비용 대비 효율성을 높이자는 의미이기도 하다. 이때 공동체는 행정단위는 아니지만 경제적 순환과 행정 지원, 민간 서비스 등이 가능한 반경 내 있는 커뮤니티를 말한다. 미국 뉴욕시의 자연발생 은퇴 공동체인 NORC처럼 기존 마을에 젊은 층이 하나둘 떠나고 노인들이 모여 살면서(Aging in place), 기존 사회적 자본을 활용(신뢰)하고, 회원끼리 서로 돕고(호혜) 비영리단체가 가사와 식사 등을 지원하는 서비스업체들의 컨트롤타워 역할을 해 서비스간 '연대'가 이루어지는 곳이다. 각 공동체는 노인비중, 산업구조 등 각기 다른 특성을 가지고 있는 만큼 그 특성에 맞는 모델이 필요하다.■노인'이' 아닌 노인'도' 행복한 도시부산시는 서울, 정읍, 수원에 이어 2016년 10월 국내 네 번째로 WHO 고령친화도시 네트워크에 가입했다. 시는 2018년까지 가이드라인인 8대 중점과제(표 참조)를 실행하며 도시 기반을 조성해야 한다. 시는 SSK의 6년 연구 성과를 공유하기 위해 지난 3월 말 경성대 산학협력단과 고령친화도시 구축사업을 위한 업무협력을 맺었다.김 교수는 ""부산 뿐 아니라 국내외 다양한 고령친화공동체의 성패를 분석해 부산형 고령친화공동체 모델을 개발 중""이라고 말했다. 각 지역 '활기찬 노년'(Active aging) 사례 연구 결과를 바탕으로 부산형 고령친화공동체 모형을 만들고, 노인들이 편히 살 수 있는 도시로 판을 바꾸자는 것. '마을 만들기'는 다 같이 사는 곳이 노인'이' 아닌 노인'도' 행복한 곳이 돼야 지속 가능성을 가질 수 있기 때문이다. 강승아 선임기자 seung@busan.com     ]",[],http://www.kyeongin.com/main/view.php?key=20170419010006673,https://n.news.naver.com/mnews/article/082/0000699220?sid=102
2017.04.11.,전민일보,,"노인 인권침해, 우리 모두 공감하고 참여해야",,,http://www.jeonmin.co.kr/news/articleView.html?idxno=167805,http://www.kyeongin.com
2017.04.08.,브레이크뉴스,,"정운찬 ""재벌중심 국가에서 중소기업 중심 국가로 바꾸겠다“",,,http://www.breaknews.com/sub_read.html?uid=503137§ion=sc1,http://www.jeonmin.co.kr
2017.04.27.,한국경제,,[나눔 실천하는 사회 공헌] 가장 잘하는 '전공' 살려 봉사하는 기업들,,,http://www.hankyung.com/news/app/newsview.php?aid=2017042715871,http://www.breaknews.com
