Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
7면 6단,문화일보,,英 노년층 경제활동 적극 지원… ‘부양대상 진입’ 늦추기,,,http://www.munhwa.com/news/view.html?no=2015093001030703019001,http://www.munhwa.com/
2015-09-30 14:33:04,이데일리,세계,[쓸쓸한 노년]①급증하는 노인..5년 뒤면 800만명,"[ 美  “주거이동 없이 평안하게” 지자체, 주택관리 서비스  日  “쾌적한 환경의 지방으로”  지역경제 동시해결 시도노인 문제 또는 인구 고령화 문제는 이미 ‘노인의 나라’ 일본을 비롯해 미국, 영국 등 선진국에서도 현실로 닥쳐온 사안이다. 각국은 특색에 맞는 정책으로 노인 문제 해결에 나서고 있으나 아직 어느 국가의 모델이 최고라는 평가를 내리기는 이른 상황이다. 영국과 미국 등 서구 선진국들도 ‘베이미 부머’ 세대의 은퇴와 함께 본격적인 인구 고령화 문제를 겪고 있다. 영국의 경우 지난 2010년 국민 평균 연령이 40세였지만 오는 2035년에는 42세로 올라갈 것으로 예상된다. 최근에는 인구 통계상 65세 이상 노인이 16세 이하 인구수를 추월한 것으로 알려졌다. 이에 영국 정부는 고령화 사회 진입과 함께 보건의료, 복지 서비스 수요를 줄이기 위해 노령 인구를 다시 노동시장으로 편입시킬 방안을 찾고 있다. 즉 노인 인구가 가족과 사회의 ‘부양 대상’으로 편입되는 시점을 더 늦추는 방식을 시도하는 것이다. 따라서 노년층을 대상으로 한 대학의 재교육을 강화한다는 이유로 대학등록금 융자 대상을 현행 54세 이하에서 60세 이하로 높이는 방안을 추진 중이다. 노인 세대가 지속적으로 경제활동에 가담할 수 있도록 해 고령층이 경제적 혜택을 누리게 함과 동시에 사회의 부양 부담도 줄이겠다는 방침이다. 미국도 2040년쯤에는 65세 이상 인구가 전체 인구의 20%를 차지할 전망이기 때문에 노인 부양 정책이 시급한 상황이다. 미국에서는 개인의 사생활과 독립생활을 존중하는 풍토에 따라 ‘에이징 인 플레이스(Aging in Place)’라는 개념이 노인 복지 정책의 대안적인 개념으로 자리 잡고 있다. 이는 한 개인의 노령화에 따라 부양 시설 등으로 이동하지 않고 자신이 평소 거주하던 지역, 공간에서 그대로 노년기를 맞이하도록 하는 개념이다. 이에 따르면 노인은 자신이 익숙한 공간에서 평안한 노년기를 보내는 대신 중앙 및 지방정부 등은 이들의 자택 생활에 어려움이 없도록 주택 관리나 교통, 보건 등 사회적 서비스를 제공하도록 한다.반면 일본에서는 최근 미국의 이 같은 개념과 상반되는 정책을 추진 중이다. 일본 정부는 지역 경제 활성화와 노인 문제를 동시에 해결할 수 있다는 취지로 도쿄(東京) 등 수도권에 집중된 노인 인구를 의료와 주거 서비스 등이 갖춰진 지방으로 이주시키는 정책을 추진하고 있다. 복잡한 수도권을 떠나 쾌적한 환경과 여유로운 서비스를 즐길 수 있는 지방으로 노인들의 거주 이전을 유도하는 동시에 이들을 받아들이는 지방자치단체에는 중앙정부의 교부금을 지원한다는 계획이다.그러나 일본 국민, 특히 노인들과 이들을 받아들여야 할 처지에 놓인 지자체들은 중앙정부의 이 같은 계획에 반발하고 있다. 현실적으로 중앙정부의 지원을 받는다고 해도 노인들에게 제공할 복지 서비스를 충당할 만한 재정 여력이 없다는 지적과 함께, 과연 노인들이 자신들이 반평생 이상 지내온 지역을 떠나 낯선 환경에서 생을 마감하고 싶어 하겠느냐는 반론도 제기되고 있다.박준희 기자 vinkey@munhwa.com[Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555 / 모바일 웹:m.munhwa.com)] ]",['선진국하고 비교하면 비참해질뿐...'],http://www.edaily.co.kr/news/newspath.asp?newsid=01617046609504056,https://n.news.naver.com/mnews/article/021/0002252163?sid=104
4면 3단,머니투데이,,"8명 중 1명은 노인…2017년엔 ""노인 > 유소년""(상보)",,,http://www.mt.co.kr/view/mtview.php?type=1&no=2015092413425971789&outlink=1,http://www.edaily.co.kr/
