Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.08.29.,연합뉴스,,"日 '하류노인' 저자 ""미리 준비 안하면 빈곤이 찾아온다""(종합)",,,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170829081351002&did=1195m,https://www.yna.co.kr/
2017-08-29 15:53:15,동아일보,경제,“한창 일할때 준비 안하면 노인빈곤 늪 빠져”,"[     [연합뉴스TV 제공]의료비, 치매사기, 황혼이혼 등으로 노인 빈곤비정규직 확대로 청년들 노후 대비 못하고 부모세대도 빈곤(서울=연합뉴스) 구정모 기자 = 한국에 앞서 고령화 시대를 경험한 일본의 노인빈곤 문제 전문가는 ""미리 준비하지 않으면 빈곤이 찾아온다""고 경고했다.    '2020 하류노인이 온다'라는 책으로 유명한 일본 빈곤퇴치 운동가 후지타 다카노리는 29일 생명보험사회공헌위원회 주최로 서울 광화문 KT스퀘어에서 열린 토크 콘서트에서 이와같이 말했다.    다카노리는 '장수국가 일본 노인의 리얼스토리'란 주제 강연에서 ""한창 일할 시기에는 의식을 못 해 준비가 부족하다""며 사회보장제도와 민간보험을 잘 활용하고 지역사회에 적극 참여하라고 조언했다.    빈곤생활자를 지원하는 비영리단체에서 12년 동안 활동한 다카노리가 숫자로 설명하는 일본 노인의 '리얼스토리'는 심각했다.     만 65세 이상 인구 비율인 고령화율은 26.7%로, 현역 세대 2.3명이 고령자 1명을 부양하고 있다.     고령자 빈곤율은 19.4%로 5명 중 1명이 빈곤 상태이다. 생활보장을 받는 가구의 51%는 고령자 가구다.    그는 빈곤한 고령자를 '하류노인'으로 개념화했다. 기초생활수급액으로 생활하는 고령자나 그렇게 될 우려가 있는 고령자를 가리킨다.    하류노인은 수입이 적고, 충분한 저축이 없고, 의지할 사람이 없다는 특징이 있다고 그는 설명했다.    하류노인 대부분은 연금 수급액이 적거나 없다. 고령자 60∼70%는 월 10만엔(한화로 약 100만원) 미만 연금만 받는다.    고령자 가구 16%는 저축이 없고, 40% 이상은 저축액이 500만엔 미만이다.     이들은 주변에 지인이 없는 '관계성 빈곤'도 겪고 있다.    그는 일본 내 하류노인 숫자를 700만명에서 1천100만명 사이로 추산했다.     이들은 집세를 못 내 간이 숙소나 PC방을 전전하고 유통기한 직전 할인 음식으로 끼니를 때운다. 아파도 돈이 없어 병원에 가지 못하고 혼자 끙끙 앓는다.     노인빈곤 문제를 설명하고 있는 '2020 하류노인이 온다'의 저자 후자타 다카노리'2020 하류노인이 온다'의 저자 후자타 다카노리는 29일  29일 생명보험사회공헌위원회 주최로 서울 광화문 KT스퀘어에서 열린 토크 콘서트에서 '장수국가 일본 노인의 리얼스토리'란 주제로 강연하고 있다. [생명보험사회공헌위원회 사진제공=연합뉴스]하류노인이 날 때부터 '하류' 인생을 산 것은 아니다. 어느 순간 갑자기 하류노인으로 전락했다.     다카노리는 질환·사고로 인한 의료비 부담, 성인 자식 부양 부담, 황혼이혼에 따른 재산분할, 치매로 인한 사기 피해 등으로 평범한 중년에서 하류노인이 된다고 전했다.     그는 특히 ""일을 해도 생활하기 어려운 젊은 사람들이 늘어나고 있다""며 ""젊은 사람들이 빈곤해지다보니 고령자를 부양하기 어렵고 스스로 노후 준비하는 것도 어려운 상황""이라고 전했다.    일본 국민생활기초 조사에 따르면 30∼49세 세대주 빈곤율이 2000년에 11.8%에서 2012년 14.4%로 2.6%포인트(p) 높아졌다.     그는 젊은 세대 빈곤화는 청년층 비정규직 확대에 기인한 것으로 봤다. 비정규직 확대가 계속 이어지기에 성인 자녀를 부양하다가 빈곤에 빠지는 고령자도 앞으로 더 늘어날 것으로 예상했다.     다카노리는 하류노인이 되는 길을 피하려면 사회보장제도와 민간보험을 잘 활용해야 한다고 충고했다.     또 지역사회에 적극 참여해 '관계성 빈곤'을 없애는 것도 고령기 행복 향상으로 이어질 수 있다고 덧붙였다.    그는 ""사회보장을 확충하는 것이 필요하지만 바로 되는 것이 아니므로 개인적으로도 준비해야 한다""며 ""생활고가 나타나기 시작하면 이미 늦은 것""이라고 노후 준비 필요성을 강조했다.    이날 행사에는 노명우 아주대 교수, 오한진 가정의학과 전문의, 방송인 로버트 할리가 참여한 토크 콘서트도 진행됐다.    pseudojm@yna.co.kr최신 유행 트렌드 총집결(클릭!) ]",[],http://news.donga.com/3/all/20170830/86071874/1,https://n.news.naver.com/mnews/article/001/0009506845?sid=101
A26면 2단,이데일리,,[기고]빈곤 걱정이 없는 나라를 위하여,,,http://www.edaily.co.kr/news/newspath.asp?newsid=01364486616032896,http://www.donga.com/
2017-08-30 03:02:53,머니투데이,사회,日보다 빠른 '노인의 나라'…불안한 100세 시대,"[    [동아일보]‘하류노인’ 저자 日 후지타씨 경고… “수입-저축-의지할 사람 없어 불행”    “한창 일할 시기에는 모릅니다. 하지만 미리 준비하지 않으면 (노인) 빈곤은 반드시 찾아옵니다.” 일본 빈곤퇴치 운동 전문가 후지타 다카노리 씨(35·사진)는 고령화사회로 접어든 한국의 노인 빈곤 문제에 대해 이같이 경고했다. 그는 29일 생명보험사회공헌위원회가 서울 광화문 KT스퀘어에서 주최한 토크콘서트의 주제 강연을 맡았다. 후지타 씨는 ‘2020 하류 노인이 온다’란 책을 통해 일본 사회에 ‘하류 노인’이라는 화두를 던진 것으로 유명하다. 그는 13년째 빈곤 생활자를 지원하는 비영리단체를 운영하고 있다. 후지타 씨는 “하류 노인에게는 수입과 저축, 의지할 사람 등 세 가지가 없다”며 “노인들이 의료비나 장기 요양비를 부담하지 못할 때 하류 노인으로 전락한다”고 설명했다.  후지타 씨는 일본의 하류 노인이 최대 1000만 명에 이를 것으로 추산했다. 전체 인구의 26.7%가 만 65세 이상 고령자이고, 이들 중 16%는 저축액이 없는 것으로 조사됐다. 노인 빈곤 비율은 20% 정도지만 기초생활수급자가 될 우려가 있는 노인들도 ‘넓은 범위의 하류 노인’이라는 것이 후지타 씨의 생각이다. 고령화 추세가 가파른 한국의 상황은 더 나쁘다. 통계청에 따르면 지난해 한국의 노인 빈곤율은 46.9%에 달한다.  후지타 씨는 정부의 노력만으론 하류 노인 시대를 막을 수 없다고 강조했다. 그는 “민간보험을 활용하면서 부족한 부분에 사회보장제도를 확충하는 대책을 마련해야 한다”며 “시민단체와 노인 평생학습기관 등 지역사회 활동에 적극 참여해 ‘관계의 빈곤’을 없애는 것이 중요하다”고 조언했다.　박성민 기자 min@donga.com▶ 동아일보 단독 / 동아일보 공식 페이스북▶ 이것이 진짜 공포영화다… VODA 갈래?ⓒ 동아일보 &amp; donga.com, 무단 전재 및 재배포 금지   ]","['', '제목ᆞᆞᆞ늪 빠져👉늪에 빠져']",http://www.mt.co.kr/view/mtview.php?type=1&no=2017082808302350796&outlink=1,https://n.news.naver.com/mnews/article/020/0003090820?sid=102
2017.08.29.,뉴시스,,'하류노인 문제와 고령자 빈곤' 후지타 다카노리 강연,,,http://www.newsis.com/view/?id=NISI20170829_0013326616,http://www.edaily.co.kr/
2017-08-31 06:01:38,MBN,사회,무단횡단 사고에도…'위험천만' 폐지줍는 노인들,"[    [보건복지부 배병준 복지정책관]     배병준 보건복지부 복지정책관우리나라 국민소득이 내년에는 3만달러를 넘어설 수 있을 것이라는 전망이 나왔다. 전후 빠른 산업화를 통해 ‘한강의 기적’을 일구어낸 우리나라가 선진국의 상징이라 볼 수 있는 국민소득 3만달러를 목전에 두었다는 것은 기쁜 소식이 아닐 수 없다.그러나 세계 11위 경제대국의 이면에는 국민의 고통이 있다. 가난하지만 정부로부터 적절한 복지혜택을 받지 못하는 사각지대가 광범위하고, 노인 빈곤율은 47.7%로 OECD 국가 중 가장 높다. 조세 및 공적이전소득의 빈곤율 개선효과도 선진국에 비해 매우 낮은 수준이다. 이로 인해 서민들의 삶은 나아지지 않고 있으며, 우리나라의 지속가능한 성장과 사회통합을 저해하고 있다.이번 정부는 사회적 약자를 포용하고 모든 국민의 기본생활을 보장하는 ‘포용적 복지국가’의 건설을 지향한다. 복지를 시혜로 생각하는 성장 위주의 패러다임에서 벗어나 국가발전전략의 핵심요소로 인식하고, 소득격차 완화, 가계소득 확충을 통해 ‘소득주도성장’을 이루고자 한다. 이를 위해서는 실업, 빈곤 등 사회적 위험으로부터 국민 개개인의 삶을 보호할 수 있는 사회안전망 확충이 절실하다.지난 10일 정부가 발표한 국가 빈곤대책은 이러한 배경 하에서 나왔다. 우리나라 빈곤제도의 근간이라고 할 수 있는 기초생활보장제도는 163만명의 빈곤계층을 보호하고 있다. 하지만 여전히 부양의무자 기준 등으로 혜택을 받지 못하는 비수급 빈곤층이 93만명에 이르고, 이 분들의 처분가능소득은 기초생활보장 수급자의 70% 이하다. 이번 빈곤대책은 빈곤 사각지대의 획기적 해소와 빈곤 탈출 사다리 복원, 그리고 빈곤으로의 추락 예방을 통해 모든 국민이 희망을 갖고 다시 일어설 수 있는 기회를 제공할 것이다.우선, 기초생활보장제도의 부양의무자 기준을 단계적으로 폐지한다. 2018년 10월부터 주거급여에 대해 부양의무자 기준을 적용하지 않고, 2019년부터 생계급여와 의료급여에 대해서도 소득·재산 하위 70% 이하의 노인과 중증장애인의 경우 단계적으로 부양의무자 기준을 적용하지 않을 예정이다.둘째, 기초생활보장제도의 보장수준도 대폭 강화하여 국민 최저선을 보장한다. 최저주거수준 임차료의 100% 지원을 목표로 주거급여 기준 임대료를 단계적으로 인상하고, 교육급여는 2020년까지 최저교육비가 모두 지원되도록 할 계획이다. 또한, 의료급여의 본인 부담도 더욱 경감한다.셋째, 일을 통한 빈곤 탈출 사다리를 복원한다. 일을 하는 청년 빈곤층이 저축을 하면 정부가 지원금을 매칭하여 목돈 마련을 도와주는 청년 자산형성지원 통장을 신설할 계획이다. 또한, 자활기업 600개를 창업하여 1800개로 늘리고, 자활 일자리도 7000개를 창출하여 근로능력이 있는 수급자에게 일할 권리를 보장할 계획이다.마지막으로, 빈곤으로의 추락을 예방하는 위기안전망을 구축한다. 기초생활보장제도의 혜택을 받지 못하는 차상위계층에 대한 지원을 체계화하고, 일을 할 수 있는 사람에게는 자활·사회서비스 일자리 우선 연계를, 일할 능력이 없는 사람에게는 지자체와 민간의 각종 복지자원 지원을 통해 빈곤을 예방한다.이러한 빈곤대책과 함께 도덕적 해이를 방지할 대책도 필요하다. 한 의료급여 수급자는 최근 1년 동안 인공눈물 1만 7000관을 처방받은 것으로 확인 되었다. 국민 다수가 납세의무를 성실하게 이행한 결과로 부여된 수급권을 명백하게 오남용한 사례다. 수급권을 권리로서 보장한 기초생활보장법의 정신에 따라 일을 할 수 있는 사람은 일자리를 권리로서 지원하고 일을 하기 어려운 사람은 국가가 국민 최저선을 보장하되, 수급자는 제도를 합리적으로 이용하고 근로능력이 있는 경우 탈 수급을 위해 최대한 노력해야 한다. 이러한 상호책무원칙(mutual obligation)을 통해 더욱 건강한 제도로서 발전할 수 있을 것이다.가난은 나라도 구제 못한다는 옛말이 있다. 그만큼 빈곤문제를 해결하는 것이 어렵다는 것을 뜻이다. 그러나 이제 우리나라가 국민소득 3만달러 달성과 함께 더불어 잘사는 나라, 국민 행복지수가 높은 나라로 도약하기 위해서는 국민 한 사람 한 사람의 삶을 책임지는 국가로의 패러다임 전환이 필요한 시점이다. 소득분배수준을 OECD 평균 수준으로 개선하고, 국민의 기본생활을 보장하는 것은 국가발전을 위해 더 이상 미룰 수 없는 핵심과제이다. 복지 급여를 확대하고 공공부문 사회서비스 일자리를 대폭 늘리면 공적이전소득과 임금소득을 통해 국민의 가계소득이 증가하게 된다. 이러한 ‘소득주도 성장’ 전략이 국민 모두가 행복한 경제대국으로 나아가는 유일한 길이라 믿는다.이지현 (ljh423@edaily.co.kr)＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞ ]","['역시 국민의 정부 답네요! 든든합니다. 문정부 홧팅!', '부양의무자 당장 폐지!!! 가난도 연좌제냐!!!']",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=3326115,https://n.news.naver.com/mnews/article/018/0003911218?sid=102
A16면 TOP,경향신문,,“수입·저축·사람 없는 ‘하류노인’ 문제…한국도 대비를”,,,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201708292200005&code=920100,http://www.mt.co.kr/
2017-08-31 04:37:00,세계일보,경제,[차 한잔 나누며] “한국도 곧 초고령 사회… 노인빈곤 대응 서둘러야”,"[    [머니투데이 전혜영 기자] [편집자주] 문재인 정부 출범 후 보험업계에도 많은 변화가 예고되고 있다. 건강보험 보장성 강화 정책이 발표되며 실손의료보험의 정체성에 의문이 제기되고 특수고용직 보호 입법에 따라 보험설계사 조직에 대한 변화도 예상된다. 금융소비자 보호는 더 엄격해질 것으로 보인다. 머니투데이는 5회에 걸쳐 새 정부의 정책 방향이 보험업계에 미치는 영향을 전망하는 한편 연금 활성화와 건강관리 서비스 도입 등 주요 정책에 포함되지는 않았지만 국민 복지를 위해 반드시 필요한 정책 과제를 제언한다.[[보험산업 5대 현안 분석]&lt;1&gt;-①고령화→초고령화 진입 日보다 10년 빨라..노후빈곤율 세계 최고, 사적연금 활성화 시급]한국이 세계에서 가장 빠른 속도로 ‘노인의 나라’가 되고 있다. 2000년에 고령화 사회에 접어든 이후 2026년에는 초고령화 사회에 진입할 것으로 보인다. 노인 인구가 빠르게 늘고 있지만 노후 대비가 제대로 이뤄지지 않아 노인 빈곤율은  세계 최고 수준이다. 국민 대부분이 노후소득으로 믿고 있는 공적연금은 일상적인 노후 생활비도 감당하기 어려울 정도로 턱없이 부족하다. 공적연금을 보완해줄 사적연금은 늦은 취업과 주택 마련, 자녀 교육 등에 뒷전으로 밀리는 데다 세제 혜택마저 미미해 가입률이 높아지지 않고 있다. 수명 연장에도 안정적인 노후를 대비하기 위한 방안으로 사적연금의 필요성과 활성화 방안을 살펴본다.    ◇노인이 될 준비가 안 된 노인의 나라=통계청과 생명보험협회에 따르면 2015년 기준으로 국내 5가구 중 1가구는 가구주의 연령이 65세 이상인 고령자 가구다. 특히 고령자 가구 중 32.9%는 1인 가구다. 고령자 1인 가구수는 122만3000가구로 전체의 6.4%에 해당한다. 생명보험협회 관계자는 “고령자 가구 비중은 2035년에 40.5%로 현재보다 두 배 가량 증가할 전망”이라며 “혼자 사는 고령자는 더 빈곤해질 확률이 높아 각별한 관심이 필요하다”고 지적했다.노인이 늘어나는 속도는 빠른데 노후소득보장은 이를 따라가지 못하다 보니 한국의 65세 이상 노인 빈곤율은 2012년 기준으로 세계에서 가장 높은 수준인 49.5%다. 빈곤율은 소득이 중위소득(전체의 중간에 해당하는 소득)의 50% 미만인 계층이 전체 인구에서 차지하는 비율이다. 노후 빈곤율이 49.5%에 달한다는 것은 한국 노인의 절반 가량은 중위소득의 절반도 못 벌고 있다는 의미다. 한국의 노후 빈곤율 49.3%는 OECD(경제협력개발기구) 34개국 평균 12.8% 대비 4배 가량 높은 것이다. 더 큰 문제는 노후 빈곤율이 나날이 높아지고 있다는 점이다. 한국의 65세 이상 노인의 빈곤율은 2007년 44.6%, 2010년 47.2%, 2011년 48.6%, 2012년 49.3%로 상승세다. 반면 OECD 34개국 평균 노인 빈곤율은 2007년 15.1%, 2010년 12.8%, 2011년 11.6%으로 낮아지다 2012년에 12.6%로 소폭 상승했을 뿐이다. 이태열 보험연구원 선임연구위원은 “한국은 공적연금이 충분하지 않은 노인이 많고 사적연금도 퇴직연금이 제대로 정착되지 않은 상황에서 개인연금 가입률이 낮아 노후소득이 준비된 노인이 적다”며 “반면 해외 선진국은 공적연금의 역사가 길고 사적연금도  준공공적인 역할을 하고 있어 노인 빈곤율이 낮다”고 말했다.◇국민연금에만 의존, 허술한 3층 노후대비=노후소득 보장을 위해서는 국민연금, 퇴직연금, 개인연금을 모두 활용하는 것이 최선이다. 국가가 운영하는 국민연금(공적연금)을 1층으로 하고 기업이 보장하는 퇴직연금(기업연금)을 2층, 개인이 직접 준비하는 개인연금을 3층으로 하는 이른바 ‘3층 노후대비책’이다.  하지만 여전히 국내 중장년층은 국민연금에 의존하는 비중이 과도하게 높다. 2015년 보험개발원 조사에 따르면 2040년에는 모두 65세 이상 고령자에 진입하는 현재 40~50대의 51~71%가 국민연금 등 공적연금으로 노후를 준비하고 있었다. 반면 이들이 생각하는 노후의 월 적정생활비는 부부 기준 271만원, 개인 기준 163만원이었다. 대부분은 국민연금만으로 노후에 달성 가능하지 않는 소득 수준이다.국민연금은 월 소득 200만원을 기준으로 중간에 한 번도 미납하지 않고 40년을 꼬박 넣어야 간신히 소득대체율(소득 대비 연금액) 40%대를 달성할 수 있다. 월 200만원의 소득을 가진 사람이 소득대체율 42%를 달성해 월 84만원의 연금을 받으려면 20세에 국민연금에 가입해 59세까지 중단없이 보험료를 납입해야 한다. 높은 청년실업률과 실직 등 노동단절 요인을 감안하면 현실적으로 이 정도 국민연금조차 받기가 쉽지 않다. 특히 소득대체율은 소득이 높을수록 낮아지기 때문에 월 200만원 이상 버는 사람은 40년간 꼬박 국민연금을 납입해도 소득의 40%도 대체하기 어렵다. 국내 평균 소득자의 공적연금 소득대체율은 39.3%로 OECD(경제협력개발기구) 평균 52.9%에 비해 크게 낮은 상황이다. 인구고령화 추세를 감안하면 국민연금은 2044년 이후부터 적자가 발생해 2060년에는 기금이 고갈될 것으로 전망돼 국민연금의 소득대체율은 더 낮아질 가능성이 높다.    ◇공적연금 턱없이 부족한데 개인연금 외면=턱없이 부족한 공적연금을 감안하면 개인연금 활성화가 시급하지만 개인연금에 가입한 국민은 5명 중 1명도 채 안 된다. 개인연금은 크게 연금저축과 연금보험으로 구분하는데 2015년 기준으로 전체 인구 대비 개인연금 가입률은 17.6%에 그쳤다. 개인연금 가입율은 해외와 비교해도 크게 부족한 수준이다. 생산가능인구(15~64세) 중 개인연금에 자발적으로 가입한 사람은 23.4%로 미국(47.1%)의 절반 수준이다. 국내 사적연금 자산의 비중은 2014년 기준 GDP(국내총생산) 대비 7.3%로 OECD 평균인 37.2%에 비해 상당히 낮다. 게다가 개인연금보험의 수입보험료는 2015년 36조8000억원으로 2012년 대비 오히려 7조3000억원 감소했다.공적연금으로 노후의 적정 생활비를 보장할 수 없는 만큼 노후 빈곤 문제를 해소하기 위해서는 일정 수준 이상의 노후소득은 개인이 스스로 준비할 수밖에 없다. 문제는 노후대비를 위한 연금상품에 대한 세제 혜택이 미미할 뿐만 아니라 부자증세 등을 이유로 오히려 세제가 강화되는 경우도 있다는 점이다. 대표적인 것이 저축성보험에 대한 비과세 축소다. 정부는 올해부터 고액 자산가들의 ‘세테크’ 수단으로 활용된다는 이유로 가입기간 10년, 납입기간 5년 이상인 월 적립식 저축성보험의 비과세 한도를 1인당 월 보험료 150만원 이하로 제한했다. 또 계약기간 10년 이상인 일시납 보험의 비과세 한도는 2억원에서 1억원으로 줄였다. 저축성보험이 대개 노후소득으로 사용된다는 점을 감안하면  과세 강화는 자발적인 노후준비 유인을 줄여 고령화 준비에 역행한다는 비판이 커지고 있다.김재현 상명대 보험경영학과 교수는 “연금에 대한 세제 혜택은 훗날 빈곤 노인에 대한 복지재정 지출을 줄이는 효과가 있는 만큼 적극적으로 활용해 자발적인 노후대비를 독려할 필요가 있다”며 “개인연금 활성화를 위해 금융회사들도 수익률 제고 등 상품 자체의 경쟁력을 높이는 방안을 고민해야 한다”고 말했다.TOM칼럼-깊이있는 투자정보▶무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&amp;레이싱걸▶ 전혜영 기자 mfuture@mt.co.kr&lt;저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지&gt;   ]","['기사 말기 부분에 고소득자 보험료 과세한다니까 거품무는 교수는 머냐,', '보험은 노후 준비에 해약만 끼친다..수년 지나도 원금도 안된다..보험 들면 패가망신..보험은 거의 사기다..비과세를 전부 없애고 보험을 퇴출시켜야 국민이 산다..']",http://www.segye.com/content/html/2017/08/29/20170829003840.html?OutUrl=naver,https://n.news.naver.com/mnews/article/008/0003927413?sid=101
25면 TOP,국민일보,,‘하류노인’ 저자 후지타 “가난은 개인의 문제가 아닙니다”,,,http://news.kmib.co.kr/article/view.asp?arcid=0923807076&code=11110000&cp=nv,http://www.newsis.com
2017-08-29 15:04:40,문화일보,사회,돈 없고 병들어 울고… 가족 학대에 또 우는 노인들,"[     【서울=뉴시스】박진희 기자 = 29일 오후 서울 광화문 KT스퀘어 드림홀에서 생명보험사회공헌위원회 주최로 열린 낀세대를 위한 토크 콘서트 '유행기'(유병장수시대를 행복하게 살아가는 기술)에 참석한 후지타 다카노리가 노후 준비를 주제로 강연을 하고 있다. 후지타 다카노리는 일본 아마존 베스트셀러 1위인 '2020 하류노인이 온다'의 저자이며, NPO법인 핫플러스 대표이사이자 일본 노후문제 전문가이다. 2017.08.29.pak7130@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.&lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt; ]",[],http://www.munhwa.com/news/view.html?no=2017083101071039310001,https://n.news.naver.com/mnews/article/003/0008146747?sid=102
