Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A13면 TOP,경향신문언론사 선정,,“연금개혁은 사회계약을 다시 맺는 일…집단적 학습·토론 필요”[MZ세대가 ...,,,https://www.khan.co.kr/national/health-welfare/article/202205302208005,http://www.khan.co.kr/
2022-05-30 22:11:01,기호일보,사회,"이천 부발읍 지역사회보장협의체, 찾아가는 홀몸노인 생신잔치 개최","[     (왼쪽부터) 강지헌 내가 만드는 복지국가 사무국장(33), 나현우 청년유니온 비상대책위원장(30), 문유진 복지국가청년네트워크 대표(31), 박나리 중앙대 사회복지학 박사과정(26), 서지은 프리랜서 노동자(30).전국경제인연합회(전경련) 산하 한국경제연구원은 올 1월 ‘이대로 가다간 1990년생부턴 국민연금 한 푼도 못 받아’란 보도자료를 배포했다. 많은 언론이 자료 제목을 그대로 따서 보도했다. 마치 기금이 떨어지면 연금을 받을 수 없는 것처럼 공포감을 부추긴다는 비판이 나왔다. 사회공공연구원은 20대의 사적연금 가입 증가율이 2020년 16.8%에서 2021년 70.0%로 대폭 늘었다며 “ ‘기금고갈=연금파산’ 식의 공포 마케팅의 결과”라고 했다.하지만 ‘공포 마케팅’에도 명분은 있다. 2018년 국민연금 재정추계에 따르면 현 보험료율과 소득대체율 등을 유지할 경우 2054~2057년쯤 재정이 고갈된다. 쌓인 재정이 없어도 해마다 필요한 연금액을 산정해 보험료를 걷고 급여를 내주면 되므로 못 받을 일은 없다. 다만 현재 9%인 보험료율이 3~4배로 오를 수 있다. 연금개혁이 필요한 이유다.윤석열 대통령은 후보 시절 “대통령 직속 공적연금개혁위원회를 설치해 MZ세대에게 부담이 과중되지 않도록 세대 공평한 연금개혁을 추진하겠다”고 했다. 경향신문은 윤 대통령이 연금개혁에서 우선적으로 고려하겠다고 밝힌 MZ세대를 만났다. 강지헌 내가만드는복지국가 사무국장(33·이하 강), 나현우 청년유니온 비상대책위원장(30·이하 나), 문유진 복지국가청년네트워크 대표(31·이하 문), 박나리씨(26·중앙대 사회복지학 박사과정, 이하 박), 서지은씨(30·가명·프리랜서 노동자, 이하 서) 등 청년 노동자와 활동가, 연구자 등 5명이 지난 25일 경향신문사에 모여 연금개혁을 주제로 토론했다. 이들은 언론과 정치권이 공포감만 조성하지 말고 연금에 대한 학습과 토론의 기회부터 제공해야 한다고 했다. 또 향후 구성될 공적연금개혁위원회에 다양한 청년 그룹이 참여해 의견을 낼 수 있도록 해야 한다고 말했다. 토론 내용을 문답으로 정리했다.청년에게 국민연금이란국가가 노후 보장? 신뢰 무너져소득 등 생활 불안정한 청년에게연금은 ‘가처분소득 뺏는 나쁜 제도’- 청년들은 국민연금을 어떻게 인식하나.강 = 당장 넣는 보험료에 관심이 많은 것 같다. 대선 때 심상정 정의당 후보가 국민연금 개혁을 이야기하면서 관심도가 확 올라갔다. 그럼에도 일단 국민연금 제도를 명확하게 이해하기가 어려운 것 같다. 똑같은 재정추계를 놓고도 해석이 다 다르다 보니 혼란스러워한다.나 = 연금을 당장 받지는 못하고 근로소득에서 보험료만 나가다 보니 당장의 효능감이 떨어져 의무가입을 폐지하자는 말이 나온다. 최근 코인, 주식, 부동산 등 투기 관련 이슈가 많은데 사실 국가가 노후를 보장한다는 것에 대한 신뢰가 젊은 세대 내에선 이미 무너졌다. 오히려 당장 쓸 수 있는 돈을 확보하고 대출을 껴서 투자해 노후를 스스로 책임지는 게 불안정성이 덜하다고 본다.문 = 청년에게 연금이 먼 미래의 일로 느껴질 수 있기 때문에 문제의 우선순위에 놓을 가능성은 떨어진다고 볼 수 있다. 국민연금에 대한 이미지를 만들어 내는 데는 미디어의 영향이 크다고 생각하는데, 팩트(사실)가 아닌 것들로 공적으로 노후를 보장해야 한다는 데 대한 불신을 너무 많이 조장하고 있다.박 = ‘받지도 못할 건데 왜 가입해야 해?’라는 거부감과 무관심, 분노가 모두 있다. 청년 개개인의 삶이 아직 안정되지 않은 경우가 많기 때문에 당연히 우선순위에서 밀린다. 단지 세금이라고 치부하는 경우도 많다. 연금개혁에 대해 알아보려고 해도 구체적이지 않고 빈 껍데기만 있는 느낌을 받아 포기하는 경우도 많다. 그냥 ‘나의 가처분소득을 빼앗는 나쁜 제도’라고만 인식하게 되고 언론도 그렇게 몰아가는 분위기다.서 = 제가 바로 연금개혁에 대해 알아보다 포기한 1인이다. 애초에 연금을 받을 거란 생각도 해본 적 없다. 다만 돈을 낼 수만 있다면 국민연금에 내고 싶다. 내 삶의 최소한의 안전망으로서. 그런데 수입이 불규칙하고, 지역가입자라서 10%를 다 내는 데 부담스러운 면도 있다.- 연금개혁은 왜 필요한가.강 = 1990년대생부터 국민연금을 못 받는다는 건 전경련 등 재계의 프레임이라고 볼 문제가 아니다. 공적연금의 구조적 문제가 대단히 크다. 출생률 하락, 고령화, 기금 고갈은 예정된 사실이다. 부과방식으로 바꾸든 재정에서 충당하든 다음 세대에게 부담을 전가한다는 건 변함없다. 개혁을 미룰수록 문제는 악화된다. 나중에 보험료는 3~4배 더 내고 받는 돈은 똑같은데 누가 억울하지 않겠는가.나 = 재정추계를 할 때마다 ‘기금이 언제 고갈된다’고 하면서 발등에 불을 떨어뜨린다. 공적연금의 지속 가능성 자체에 문제가 있다. 또 노인빈곤율이 높은 상황에서 보장성을 확보하는 문제, 비경제활동 인구와 납부예외자 등 사각지대를 보완하는 문제가 있다. 학문적 해법은 다 나와 있고 정치적 해법을 고민할 때다.전체 연금체계 바꿔야 하나국민연금, 보험료율 등 조정 불가피기초연금은 수급범위 좁히며 금액 상향공적연금 틀 안에서 직역연금 통합- 어떤 연금개혁이 필요한가.문 = 국민연금은 잘 설계된 제도다. 다만 만든 지가 얼마 안 됐고, 그사이 인구·산업 구조가 갑작스럽게 변했다. 어느 누구도 당시엔 예측할 수 없었다. 국민연금을 변형해 노동자의 부담을 조정하는 건 가능할 거다. 하지만 인구구조 변화가 예상되는 상황에서 사회 전체적으로 부담해야 될 총량이 어떻게 될지, 미래의 노인들이 존엄한 삶을 살게 하기 위해서는 지금 어떤 부담을 져야 할지를 고민해야 한다.박 = 노인이 되고 근로능력이 떨어졌을 때 국가가 보장을 해주지 않으면 독립하는 수밖에 없다. 국민연금 제도는 이런 이유에서 만들었는데, 소득대체율이 31.2%로 다른 선진국이나 경제협력개발기구(OECD) 국가와 비교해 매우 낮은 수준이고 그 결과 높은 노인빈곤율을 기록하고 있다. 결국 공적연금 보장성을 강화해야 한다.서 = 프리랜서 노동자 입장에서는 사회안전망을 위한 개혁이 필요하다. 산재보험은 등급을 스스로 정해 보험료를 어느 정도 내겠다고 선택하는 게 가능하다. 국민연금도 자신이 낼 수 있는 최저금액을 선택해서 그것만이라도 내도록 개선하면 어떨까. 또 직장가입자는 사업주와 4.5%씩 나눠내는데, 프리랜서 노동자 또한 사업주와 나눠낼 수 있는 것 아닌가. 최근 예술인 고용보험이 의무화됐는데 국민연금 또한 사업주한테 강제해야 한다.    서울 중구 경향신문사에서 지난 25일 열린 ‘MZ세대가 보는 연금개혁’ 토론회 참석자들이 이야기를 나누고 있다. 박민규 선임기자 parkyu@kyunghyang.com- 전체 연금체계를 바꿔야 하나.박 = 우리나라 연금 시장은 공적연금, 사적연금, 퇴직연금 등 세 파트가 각각 3분의 1 정도를 차지하고 있어 국민연금이 조금 더 가져올 수 있는 여력이 있다. 국민연금 재정건전성에 대해선 ‘공포 마케팅’이라고 할 정도로 과도하게 이야기하면서 조세로 충당하는 기초연금 재원에 대해선 상대적으로 덜하다. 정치권이 표를 위한 전략으로 활용하는 것 같다. 2060년엔 노인 인구가 전체 40%에 달하는데, 지금처럼 이 중 70%에게 월 30만~50만원을 주면 재정을 감당할 수 있을지 우려된다. 공무원연금과의 통합은 단기적으로는 현실성이 떨어진다. 보험료율이 국민연금 9%, 공무원연금 18%로 2배 차이가 나기 때문이다.문 = 소득대체율과 보험료율 모두 감당 가능한 수준 안에서 점진적으로 인상하는 게 중요하다. 기초연금은 지급 범위를 확대하는 문제와 국가 혹은 지자체가 부담하는 재정의 문제에 대해서도 논의해야 한다. 지금까지는 기초연금이 낮았기 때문에 인상해야 한다고 가볍게 이야기할 수 있었지만 어느 정도 오른 상황에서는 더 올릴 것인지 신중하게 논의할 필요가 있다. 또 기초생활보장제도 등 여러 사회보장제도들과의 관계성을 고려해야 한다.강 = 소득대체율을 올리는 건 당연히 중요한데, 그렇다면 보험료율을 어느 정도 올릴 것인지 실질적인 논의를 하는 게 첫 단계인 것 같다. 기초연금, 국민연금, 퇴직연금, 크레디트 제도(사회적으로 가치 있는 일을 했을 때 국민연금 가입 기간을 추가 인정해주는 것) 등의 장점을 고려해 잘 조합하면 실질적인 소득을 올릴 수 있다. 공적연금 구조를 개혁하는 게 대단히 중요하다. 지금은 소득대체율을 올리느냐, 보험료율을 올리느냐에만 초점을 맞추고 있다. 전체적인 공적연금 틀 안에서 직역연금을 통합하고, 기초연금도 올리다가 어느 수준이 되면 최저소득보장 연금으로 변경하는 식으로 가야 한다.나 = 당장은 모수개혁(큰 틀은 유지하되 보험료율, 소득대체율 등의 핵심 변수 조정)이 필요하다. 기금 고갈 시기가 나와 있는데 어떤 조치도 이뤄진 게 없다. 적어도 미래 세대의 부담을 줄이기 위한 즉각적인 조치가 선행되고 시간을 번 다음에 공적연금의 구조를 개혁하고 강화하는 방안에 대해 논의해야 한다. 국민연금 제도 자체에 대한 불신을 조장하는 상황에서 시간만 흘려보내는 건 너무 아깝다. 앞으로 국민연금 수혜 인구가 늘어난다면 기초연금은 범위를 좁히면서 금액은 올리는 방식으로 노인빈곤 해소에 더 초점을 맞출 수 있다. 연금을 통합하는 문제에 대해선 공무원연금의 적자를 해소하기 위해 기금 규모가 큰 국민연금과 합치려는 건가 하는 생각이 들기도 한다.연금개혁 성공하려면‘기금고갈 = 연금파산’ 공포감 만연  사실 토대로 한 ‘공론장’ 마련하고 정부도 강력한 의지 보여줘야- 연금개혁이 성공하려면.강 = 제도에 대한 신뢰가 대단히 낮은 상태에서 개혁을 하기 위해선 최소한의 사실관계부터 공유할 필요가 있다. 청년들에게 실질적인 데이터를 나열해 주며 스스로 판단할 수 있는 토대를 마련해야 한다. 이제 반박할 수 없는 사실들을 놓고 입장을 정하고 토론을 해야 한다. 지금은 가장 기초적인 사실관계도 다 다르게 보고 해석을 달리 하니까 초점이 전혀 잡히지 않는다.나 = 연금개혁은 정치적인 작업이다. 세대 간 형평의 문제로만 볼 게 아니라 세대 간 부양, 사회계약으로 봐야 한다. 이게 이미 인식적으로 다 해체됐다. 개혁은 사회계약을 다시 맺는 계기가 돼야 하고, 집단적 학습과 토론의 시간이 필요하다. 프랑스에선 2019~2020년 무작위로 시민 150명을 뽑아 탄소감축안을 논의하는 ‘기후시민회의’를 열었더니 정부보다 더 강한 감축안을 냈다고 한다. 사회적 합의를 만드는 여러 경로를 생각해 볼 수 있다.문 = 2015년부터 연금을 논의하는 사회적 대화 기구에 세 차례 참여했다. 항상 느낀 문제는 비공개이면서 숙의 시간이 짧다는 점이다. 사람들이 내 문제가 아니라고 느끼게 하고 논의해야 할 것들이 닫혀버리는 문제를 낳는다. 독일에선 사회적 대화를 시작하면 토론회를 수백차례 열고 젊은층 참여를 위해 영화제 등 다양한 방식을 모색한다.강 = 공적연금개혁위원회를 대통령 직속으로 둘지 국회에 둘지를 보면 현 정부의 개혁 의지를 가늠할 수 있을 것 같다. 노무현 전 대통령은 대선 후보 시절엔 연금개혁론에 대해 ‘용돈연금을 줄 것이냐’며 반박했지만 대통령이 된 후엔 연금개혁을 강력하게 하면서 현 체제를 만들어냈다. 하지만 문재인 정부는 수지불균형을 맞추려는 시도를 국민정서와 맞지 않다며 거부했다. 정부가 강력한 의지를 가져야 조금이라도 풀리는 문제인데 ‘공론장을 만들었다’며 공 넘기기만 할까봐 걱정된다.박 = 사람들을 모아놓고 연금 문제를 토론하자고 하면 그냥 배우기만 하다가 끝날 수도 있다. 연금제도나 사회보험이 교육과정에 들어가면 다양한 사람들의 참여를 높이는 일이 될 것 같다.나 = 윤석열 정부가 역사에 공을 세우고 싶다면 연금 문제를 푸는 것도 굉장한 공이 될 수 있다. 톱다운(하향식 의사결정)이 아니라 사회적 합의를 통해 성취한다면 큰 성과가 될 거다. 시민사회도 결합해 새로운 사회계약을 같이 만들어 가야 한다.문 = 모두가 노인이 될 것이고, 노인이란 시기는 존엄이 위협받기 쉬운 때란 점을 주지해야 한다. 공적연금과 사적연금 중에 선택하는 일이 아니라, 존엄을 해치는 풍토와 역사를 미래 세대에게도 물려줄 것인지 선택하는 기로에 지금 서있다고 생각하면 좋겠다.   ]","['4대보험 통합 빼고 자꾸 얘기할래?군인이건 공무원이건 선생이건 니들이 낸만큼 가져 가라는거야..니들이 퇴직하고 해외여행에 골프에 펑펑 3백씩 받아 쳐먹을때 우리는 니들 세금으로 메꿔 주는라 라면만 끓여먹구 찜질방도 큰맘 먹구 다닌단 말이야..입장 바꿔 생각해봐..피가 끓나 안끓나??', '국민면금은 자의가 아니라 강제 가입되는 공적 연금이다.60세 지급에서 65세로 5년이나 늦쳐놓고 또 수령액도 줄이고 더 많이 내라고 하면 이미 30년이상 성실 납입한 사람들은 정부에 사기당한 거 아니냐?애초에 가입 선택권도 안주고 약속도 안지키면 이게 사기지 뭐냐? 쌍용차.조선업 같은 부실기업에 천문학적인 공적자금 투입하지 말고 이런 곳에 세금 좀 써라.', '연금개혁은  누구라도 비난 받더라도  총대를 매고  꼭 실행되어야한다..늦어지면  질수록  후대에  더 큰 재앙이 된다는 결과  모두들 알 것이다..  조금씩  덜 받고 더낸다 생각하고 양보하면 된다..  좀  손해보더라도  후대를 위한  기부라고 생각하면 어떨까...', '공무원, 사학연금, 군무원, 군인연금, 국개의원연금 이 지금 제일 심각 한거 같은데! \n국민연금으로 전부 통합 해라', '국가는 납부한 원금+이자를  납입한 사람들에게  반환하고  국민연금공단을  폐쇄하라.', 'OECD국가중 소득대체율 하위권인데 국민연금 낸 사람들은 연금 깎자고 하면서 안내는 사람들한테 주는 기초연금은 정권마다 올리냐 이럴거면 연금 낸거 원금에 이자  계산해서 돌려주고 기초연금 65세 이상 모든 노인에게 지급하고 국민연금 없애면 된다', '모든 연금은 국민연금으로 통일해라.....그리고 돈도 국민연금을 기준으로  많이 받고 싶으면 많이 내고 여유가 없어 적게 받고 싶으면 적게 납부하면 된다... 연금 받을때는  자기가 낸만큼 받아가면 문제 없다....시작이 힘들지  시행하면 모두 따라온다고 믿는다......', '공무원연금처럼 국가세금지원해주어야지? 뭔소린가? 돈받아 운영한게 누군데? 국가아냐?', '', '공단에서 일하는 사람 부터 줄이고 국민들이 낸 세금으로 일하면서 비용을 최대한 줄여야 하는것 아닌가? 사학연슴 공무원 연슴 세슴보전 하지말고 공무원수랑 국회의원수도 줄이고 지방시의원들 모조리 없애야합니다. 국회랑 정부가 세금으로 지들 주머니체우기 바쁘니 국민들의 삶이 더 각박해 지는 것입니다.', '지나고보니ㅡ애국애민의맘-진심이었던?박근혜~연금개혁하려다가?ㅡ결국-탄핵의 단초가되었던...비극의여성統ㅡ안타까움🥺Mz세대들을위해서도 특단의연금개혁은해야하고-노인빈곤율도해결해야하고-나라빚도어마무시ㅡ윤統의어깨가 무거워보입니다ㅡ', '국민용돈 될날이 멀지 않았네 지금 40대후반 에서 50대가 억울하겠네 엄청쏟아 부었고 나중에는 세대충돌 중간에 끼어 용돈정도 받으려나', '지금도 그렇지만 미래에는 정년도 더 늘어나고 노인들이 더 일해서 자식들이 장년이 될 때까지 먹여 살린다. 결국 노인들만 고생하다가 죽는데 무슨 젊은이들이 부양한다는 헛소리를 지껄이나. 앞으로 두고보면 알게 될거다.', '낸만큼만 가져가든지 다 폐지히고 각자가 미래 책임지게 해라 남의돈 가져다가 생색은 왜 그렇게 내는지', '투자를해서 돈을벌어서 연금을 지급해야지  원금으로 연금지급하나  연금관리에 문제가 있는거 아닌가?', '', '기최연금부터 전국민 다지급해라     국민연금가입자는 기초연금안주는데 누가 국민연금가입하겠는가  이런게 공정인가', '정년을 없애서, 최대한 늦은 나이라도 근로 소득을 할 수 있게 해서 연금 수령을 늦추는 것도 방법일듯 합니다. 물론 생산효율이 늦어 지는 싯점부터는 임금을 그에 맞춰 지속 낮춰야 기업들 부담이 덜하겠죠.', '공무원, 사학연금, 군무원, 군인연금, 국개의원연금 이  문제입니다.\n국민연금중 자영업자 들은  혼자 다 부담하고있어요.\n뭘  알고  개혁을 외쳐주길 부탁드립니다', '혈세빨아쳐먹는 공먼연금 군인연금 사학연금 체육연금 장애인연금 국개연금 유공자연금 대통령연금 기초수급비절반깎던지폐지해라', '국민들이들고일어나야된다', '', '공적연금은 어짜피 모조리 고갈된다. 결정적인 이유가 너무 많이 받아가기 때문이다. 결론은 실패한 정책이라 출구전략이 필요하다. 연금제도는 허상이고 결록적으로는 폐지되어야 한다.', '', '30대가 MZ냐?', '돈 뺏어갈 때는 장미빛 전망으로 감언이설 하다 줄 때는 바꾸겠다는건 그냥 사기지.', '문재앙 구속 가즈아~~', '', '제일 처음 해야될거 소대갈덕에 늘어난 필요없는 공무원 대가리들 땜에 더늘어난 공무원 연금 적자 더 많은 세금으로 때우는 중 공무원 연금 2차개혁이 먼저실시해야됨', '', '국민연금고갈 기차는 지금도  쉬지  않고 가고 있고  종착역이 보인다. 공론, 학습, 토론 같은 한가한 소리 할 때가 아니다', '박근혜가 욕먹을 각오로 추진한 연금개혁을 지금의 민주당과 유승민의 방해로 반쪽으로 만들었지. 근혜는 여론악화로 탄핵되고 민주당은 집권하고 문재인은 꿀만 빨고.', '국민연금은사회보험입니다본인이선진국민이라고생각불평불만하지마시고납부하세요참고로전25년납부하고있습니다앞으로6년더해야하구요', '', '사진보면 이제까지 얼마나 내봤는지 궁금해지네 뭐 저런것들이 저런소릴하냐', '', '', '국민연금뿐 아니라 사학, 공무원, 군인 연금 자체도 개혁이 필요하다고 봅니다', '야 공무원 연금이나 고쳐 그게 먼저야', '문재인이는 골치 아픈건 손도 않대고 다음정부에 다 미뤄놨어. 그리고 맨날 쑈만하고 전세계를 놀러 다니기만 했어.', '모든연금 통폐합 찬성하시는분들', '그니까 검찰개혁 이딴것에 힘쓰지말고 연금개혁좀하지..', '국민 평균연금 수령액보다 비상식적으로 더 받는 이상한 나라. 곡간 맡겼드니 지들 마음대로 봉급올려 일반국민과 차이나는 삶을 사는 나라. 중견기업 수준이면 맞는 일을. 하면서 삼성월급 요구하는 이상한 나라 공무원 일본에게 배워라. 일본은 온 국민이 같은 연금구조다. 이게 정상인 나라다. 과거에 잘못된것은 바로 고쳐야 국민통합', '지하철에서 행패부리는 노인네들 부터 연금박탈을 해야한다.  하릴없이 하루종일 술먹고 지하철 타고 다니면서 난동이나 부리고 일도 안하고 사는 인간들에게 젊은사람들이 낸 세금으로 먹여 살리고 있으니....', '연금개혁을  더내고 덜받는 식으로  고친다면 그 정권은 몰락의 길을 걸을것이여~덜 내면 덜 받아야 정상이지~지들이 받을때 되니까 덜 받기 싫은가 보네:?~양심 없는 것들~이래서 청년들만  고생인거여~', '어차피 국민연금 고갈되면 세금으로 충담하니까 걱정하지 마라', '그 재앙은 진짜 골든타임 다 말아먹고 토스해버리네. 진짜 180석 가지고 뭐 한거야?', '국민연금이든 공무원연금이든 교직원 연금이던간에 개혁을 하려면 현재 수급자 50,60세대 수령액감소 및 mz세대가 받을 연금개혁이 함께 필요합니다. 이게 공정하며 사회적인 대합의에요. 현제 공사 공무원 교사 등 퇴직자들 연금 300받으면서 좋은시절 하고 간다 후배들한테 그러며 골프 해외여행에 진짜 가관입니다... 죽어라 아직 연금 받지도 못한 세대들 몫만 개혁하자면 누가 동의 하겠습니까. 정치인들 정신 차려야 합니다. 5060 표 의식하는게 이 나라 정치인 수준이라 또 미래 세대들에게 짐만 부과하겠지요.', '', '내가 내고싶은것도 아닌데 강제로 떼가면 적어도 낸만큼은 받는다는 확신을 줘야 하는거 아니냐?\n아래세대가 윗세대를 부양하는 구조는 이전에나 지속가능함을 솔직히 알잖아? 출산율 뻔한데? 그렇다고 이민정책을 해 뭘해\n난 국민연금 구조 자체가 의아하나 딴 나라도 동일하다고 하면 뭐가 다른지 고민하고 실행해야 하는데 선거때만 떠들고 나몰라라... 난 안내고 안받고 싶어', '실납입자가 가져갈 연금을 선심성으로 퍼준 댓가다. 여야 모두 책임이다. 젊은 세대가 인생 설계 가능하도록 선심성 퍼주는 제도 즉시 개혁하라!!', '걱정도 팔자다...', '', '', '', '', '공식적 폰지사기', '국민연금 최대수혜자60년대 586세대 그자녀들이 90 년대 이상인데 586세대 연금 개혁을 해야 그나마 나아진다. 지금까지 시대적 수혜 받았으면 된거다.', '애를 낳으면 된다', '연금개혁? 웃기고 자빠졌네', '공무원 시험에 떨어졌다는분 읽으세요. 저60인데 우리때는 공무원 거들떠보지도 안았어요. 난 존경받는 무역역군이였습니다.', '연금이란 이미 제공된 노동에 대한 지연된 급여다. - 조지 레이코프- \n뭘 좀 알고 떠들어라.', '저출산 문제로 인구감소해서 연금 수령자보다 가입자수가 가파르게 감소해서 고갈시기가 당겨지는거면 수령액을 낮추면 되잖아 ㅋㅋㅋ 인간은 참 이기적이지 ㅋㅋㅋ 이래놓고 나중에 받지도 못할 사람들한테 계속 가입하라고 하냐 ㅋㅋ', '토론내용이 너무 짧음.', '국가의  개인돈 강제찬탈', '', '', '', '지금이라도 안받아도 좋으니까 폐지시켜라 월급받을때 열받는다 받지도 못할돈 ㅡㅡ', '', '정년연장 카드 써야', '연금개혁 어쩌고 해놓고 여자사진만 메인에 올려놓네 페미가또;;', '죄다 세금도둑들이네 ㅋㅋㅋ', '국민연금과 공적연금의  수급차액을  줄여야한다', '', '', '', '', '그냥 세금이다 생각해. 어차피 못받을 돈이라 생각하면 맘 편하다. 피라미드 인구 구조에서만 성립하는 다단계 수법이고, 역 피라미드 인구 구조에서는 애초에 있을 수 없는 시스템인거 다 알면서 실토만 안하고 있을 뿐이잖아. 나 90년대 생인데 그냥 세금이다 생각하고 내고 있어', '폰지사기인 국민연금은 빨리 폐지되는게 낫습니다.', '출산 1도 못찍는 상황에 다음 세대를 위해서라도 연금 폐지 하던지 해야 한다', '', '갈수록 혼자 사는 사람들 많은데. 그 분들 국민연금 만기 채우고. 사망하시면. 장례비만 나온다던데. 나홀로인 분들 생각하면. 유족연금을 1명은 받을 수 있게 합시다.', '', '애도없는데 연금은무신..나라가 없어질판인데', '', '', '', '', '관상은 과학이다', '', '국민연금이 원금이라도 있을 때 돌려주고 문 닫는 것이 그나마 현명한 일임. 박통은 그처럼 욕처먹으면서 공무원연금개혁했지만, 문통은 180석 가지고 있으면서도 아무것도 하지 않았다 그토록 어려운 일이고 인기없는 일이기 때문임. 어차피 노년층은 불입금의 몇배를 받지만 청년들은 불입하고도 돌려 받지 못함. 청년들이 연금 받기 위해서는 세금을 몇배나 더 내어야먄 가능함. 그래서 국민연금은 돌려 주고 개인이 알아서 삼성전자 주식을 사거나 미국 은행주를 사서 개인 노후는 개인이 알아서 하고 단지 생활에 어려움이 있는 노년층은 노인연금을', '그냥 모든 연금제도 없애자', '연금개혁도 늦었네요. 더 중요한 출산율이 바닥인데 무슨 수로. 50년후 대한민국은 없다. 결국 다문화 접수하고 있을 것이다.', '아이고 등신들.. 기초연금이나 현금성 복지제도 국민연금 전부 다 폐기하고 원금 다 되돌려 준 뒤 전국민에게 최소생활이 가능할 정도의 기본소득을 지급하는 수 밖에 없는데ㅉㅉ쥐꼬리만한 세금 내면서 고소득자들 세금 많이 낸다고 기업사장 걱정에 또 세금 많이내는건 반대.. 나도 MZ지만 정말 무식하고 못배워 쳐먹은 인간들 천지..여가부 폐지라는 공약 한줄로 대통령을 뽑는 수준이다. 저게. 전반적으로 진짜 무식한 세대다', '지금까지 낸 돈 원금만 돌려 받아도 빚 갚고 이자 낼 일은 없을텐데...', '', '', '젊은사람은 돈이없으면 벌수가 있지만, 늙은사람이 돈이없으면..', '', '반론 하시는분들 이해 합니다 그러나 무작정 연금개혁이니 내 세금이니 그런말은 적절치 않다고 생각합니다 \n그럼 공무원 하시지 그랬어요 예전에 찬밥 신세때는 거들더도 안보더니 좋아지니까 배아프신가봐요 \n세금 내는거 공무원들이 기여금 내고 연금 받아가는거 \n그거 조금 더 받는거 아주 빙산에 일각입니다 \n9급 공무원 월급이 200도 안됩니다 \n배아프면 남을 깍아 내릴 시간에 내 가치를 높이는 일이 더 현명하지 않을까요', '국민연금 더 낼의향있어요 우리아이들에게 짐을넘기지맙시다', '선거때만되면 공무원연금가지고 게거품물어대던 보수일간지 생각이 나네요.\n대통령인가 뭔가하는 작자는 기초연금40으로 올린다는데 그게 누구돈인지 알긴 하는지!\n공무원,군인,사학 해당자들은 기초연금40해당무입니다. 받겠다는게 아니고 국민누구나가 아니라고 말씀드리는 것입니다.', '민주당하고 국힘이 연금개혁 방해집단 아닌가 싶다.', '아따 오른쪽여자 이쁘네', '', '', '하고 싶은데로 해라 안궁금  하다', '', '공무원 연금부터 개혁하라 만만한게 국민연금이냐.', '', '념병하네니조꼴린대로하세요', '윤석열 뽑은 20대 그대로 가면 짱이다\n  마이너스 좋아 당해봐라', '공무원연금 개헉 시급합니다']",http://www.kihoilbo.co.kr/news/articleView.html?idxno=981909,https://n.news.naver.com/mnews/article/032/0003150243?sid=102
2022.05.30.,장애인신문,,"65세 미만 노인성 질환 장애인, 활동지원 신청 가능해져",,,http://www.welfarenews.net/news/articleView.html?idxno=82612,http://www.kihoilbo.co.kr/
2022.05.30.,전남매일,,이용빈 의원 “장애인의 급여 선택 보장 환영”,,,http://www.jndn.com/article.php?aid=1653901064337648114,http://www.welfarenews.net
2022.05.31.,충청타임즈,,충북도민 사회보장정책 1순위는 `고용',,,http://www.cctimes.kr/news/articleView.html?idxno=706665,http://www.jndn.com
2022.05.30.,경남도민일보,,"남해군 서면 귀촌한 임경천 씨, 독거노인 주택 개선 봉사",,,http://www.idomin.com/news/articleView.html?idxno=795443,http://www.cctimes.kr
2022.05.30.,전북일보,,"남원시 산내면지역사회보장협의체, 기부문화 확산 착한 가게·기업·가정 지정",,,https://www.jjan.kr/article/20220530580144,http://www.idomin.com
2022.05.30.,대전일보,,"금산군 부리면지역사회보장협의체, 저소득층 40가구 행복꾸러미 나눔",,,http://www.daejonilbo.com/news/articleView.html?idxno=2006995,http://www.jjan.kr
2022.05.30.,경북일보,,"의성 안계면지역사회보장협의체, '우리동네통돌이' 사업 큰 호응",,,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2103380,http://www.daejonilbo.com/
2022-05-30 15:08:06,위키트리,사회,"괴산군 불정면 지역사회보장협의체, 정겨운찬 사업 본격화","[     [금산]금산군 부리면지역사회보장협의체(민간위원장 한진구) 회원 20여 명은 어려운 이웃에게 식료품 꾸러미 40 세트를 독거노인 및 저소득층 가구에 전달했다고 30일 밝혔다.&lt;사진&gt; 한진구 위원장은 ""소외된 이웃을 향한 따듯한 관심이 지역사회 복지를 이끄는 원동력""이라며""민관 협력을 통해 주민들의 복지 체감도를 높이는데 최선을 다하겠다""고 말했다.   ]",[],https://www.wikitree.co.kr/articles/759731,https://n.news.naver.com/mnews/article/656/0000014081?sid=102
