Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.08.31.,뉴시스,,복지시설 입소자 정부지원금 착취·노인 학대 수사,,,http://www.newsis.com/view/?id=NISX20210831_0001566093&cID=10812&pID=10800,http://www.newsis.com
2021-08-31 09:49:22,연합뉴스,사회,진주 경찰 '노인복지법·횡령 위반 혐의' 교회 목사 수사,"[ 기사내용 요약목사가 11년동안 복지시설 불법운영자치단체는 알면서도 방관 의혹진주경찰, 장애인복지법 위반 등 수사    [진주=뉴시스] 진주경찰서 전경. *재판매 및 DB 금지[진주=뉴시스] 정경규 기자 = 경남 진주의 한 교회목사가 11년 동안 복지시설을 불법 운영하면서 이곳에 입소한 치매노인과 장애인의 정부지원금 등을 착취하고 노인을 학대한 혐의로 경찰이 수사에 나섰다.31일 진주경찰서에 따르면 경남서부권노인보호전문기관과 경남장애인권익옹호기관이 교회목사 A씨가 운영하는 복지시설에 대해 복지시설 미신고 운영, 보호사 규정위반, 노인학대·방임, 공금횡령 등의 혐의로 고발해 옴에 따라 조사를 벌이고 있다.고발내용은 교회목사 A씨가 지난 2010년부터 지난 7월까지 11년동안 자치단체에 신고하지 않고 복지시설을 불법운영하면서 이곳에 치매노인이나 장애인 등 60여명에게 매달 나오는 기초생활수급비와 연금 등을 착취하고 노인 학대, 공금 등을 횡령한 혐의다.특히 교회목사 A씨는 지난 2월 기준 시설 입소자 62명 가운데 기초생활보장 수급자 47명에 대해 정부 지원금을 대신 관리하는 급여관리자로 지정돼 매달 30만원부터 100여만원을 입소비 명목으로 챙긴 혐의도 받고 있다.또 이 복지시설에 노인 입소자가 27명인데 현행법(2.5명당 요양보호사 1명)대로라면 요양보호사가 10명이상 필요하지만 실제 2~3명만 고용한 것으로 드러났다.노인보호전문기관과 장애인권익옹호기관 관계자는 “조사결과, 이 시설에 입소자 5명은 자신의 정부 지원금이 얼마인지 모르거나 통장도 못봤다고 진술하고있다”며 “특히 이 시설은 돌봄을 부실하게 한 방임 등의 여러 가지 문제도 많이 의심돼 경찰에 고발하게 됐다”고 했다.또 “이 시설은 현행법상 미신고 사회복지시설로 시설폐쇄 등 행정처분과 형사처벌의 대상인데도 시는 알면서도 이를 방관했다”고 주장했다.시 관계자는 “기초생활수급자에게 지원되는 정부지원금이 개인의 주소지로 전달되기 때문에 이 복지시설이 수급자의 주소지여서 보내졌다”며 “이 시설이 미인가 복지시설인지 몰랐다”고 해명했다.이어 “올해초부터 해당시설에 대해 수급비 관리대상을 제외하고 불법 복지시설에 대해서는 31일까지 신고시설을 전환하지 않으면 시설폐쇄 명령을 내린다”고 말했다.경찰 관계자는 ”수사를 진행중인 사안이어서 밝힐수 없다“며 ”노인복지법과 장애인복지법 위반, 횡령혐의 등에 대해 혐의를 두고 수사를 하고있다“고 말했다. ]",[],http://yna.kr/AKR20210831084400052?did=1195m,https://n.news.naver.com/mnews/article/003/0010692436?sid=102
2021.08.31.,핀포인트뉴스,,[2022예산안] 노인·장애인 일자리 5만 개 늘린다,,,http://www.pinpointnews.co.kr/view.php?ud=202108311117042997a218188523_45,https://www.yna.co.kr/
2021-08-31 11:34:25,뉴스1,사회,"세종시, 노인일자리 사업 확대 1억8600만원 추가 투입","[ 노인전문기관 고발…""11년간 불법 복지시설 운영해 기초생활비 등 횡령""    경남 진주경찰서 전경[진주경찰서 제공](진주=연합뉴스) 지성호 기자 = 경남 진주경찰서는 불법 복지시설을 운영하며 기초생활수급비 등을 빼돌린 혐의(횡령·노인복지법 위반 등)로 목사 A(63)씨를 수사하고 있다고 31일 밝혔다.    노인보호전문기관 등 2곳에서 이런 내용의 고발장이 접수됐다고 경찰은 덧붙였다.    경찰은 고발 내용에 따라 A씨가 2010년부터 지난 7월까지 11년 동안 자치단체에 신고하지 않고 치매 노인이나 장애인 등 60여 명이 생활한 복지시설을 불법 운영한 점 등을 조사한다.    특히 경찰은 A씨가 수급자의 정부 지원금을 대신 관리하는 급여관리자로 자신을 지정하고 이들의 기초생활수급비와 연금 매달 30여만원부터 100여만원을 입소비 명목으로 빼 간 사실 여부도 조사하고 있다.    입소자들을 제대로 돌보지 않은 정황도 포착됐다.    A씨는 입소자 본인 등의 동의를 받고 정부 지원금을 받았다고 해명한 것으로 알려졌다.    경찰은 고발인 조사를 마쳤으며 앞으로 A씨 등을 불러 조사할 방침이다.    shchi@yna.co.kr ]",[],https://www.news1.kr/articles/?4418373,https://n.news.naver.com/mnews/article/001/0012632020?sid=102
2021.08.31.,Queen,,영아 30만원 · 청년 월세 20만원 지원 … 노인 기초연금은 628만명까지 늘려,,,http://www.queen.co.kr/news/articleView.html?idxno=366164,http://www.pinpointnews.co.kr
2021.08.30.,KBS,,[집중취재]① 입소자 정부지원금 착취에 노인 학대도 조사,,,https://news.kbs.co.kr/news/view.do?ncd=5267997&ref=A,http://news1.kr/
2021-08-30 11:11:45,매일경제,사회,"연금저축 세액공제 한도, 年 900만원까지 높이나","[ 공익활동형 46명, 사회서비스형 62명 등 108명 추가 모집코로나19 장기화 속 노인소득 공백 최소화    세종시청 전경. © 뉴스1(세종=뉴스1) 이정현 기자 = 세종시는 신종 코로나바이러스 감염증(코로나19)에 따른 노인소득 공백 최소화를 위해 노인일자리 사업을 확대한다고 30일 밝혔다.시가 올해 노인일자리 사업에 편성한 예산은 모두 117억1800만원이다. 현재 59개 세부사업에 3279명의 노인이 참여하고 있다.시는 코로나19 장기화로 인한 노인층 일자리 감소가 심각하다고 판단, 사업비 1억8600만원을 추가로 투입해 노인일자리를 확대 제공하기로 했다. 확대하는 노인일자리는 Δ지역사회 환경개선 봉사 등의 활동을 지원하는 공익활동형 46명 Δ사회적 돌봄이 필요한 영역에 서비스를 제공하는 사회서비스형 62명 등 모두 108명이다.대상은 지역 거주 만 65세 이상 기초연금 수급자로, 희망자는 세종시니어클럽이나 대한노인회 세종특별자치시지회를 방문해 개별상담을 받아야 한다.사업대상자로 선발되면 다음 달부터 3개월 간 활동한다.이영옥 노인장애인과장은 ""코로나19로 어려운 시기에 일하기를 원하는 어르신들에게 사회참여를 유도하고, 소득을 높이도록 노인일자리 사업을 확대 추진하겠다""고 말했다.   ]",[],http://news.mk.co.kr/newsRead.php?no=841830&year=2021,https://n.news.naver.com/mnews/article/421/0005570778?sid=102
2021.08.31.,충북일보,,보은 다둥이 연금 사업 중단 행정심판 각하,,,https://www.inews365.com/news/article.html?no=680429,http://www.queen.co.kr
A16면 1단,동아일보,,익산시 “자치연금 도입 2호 마을 내년까지 선정”,,,https://www.donga.com/news/article/all/20210830/108837041/1,http://news.kbs.co.kr/
2021-08-30 22:09:07,topclass,사회,"하체 근육이 연금보다 강하다! | 장수의 비결, 슬로우 퀵 운동법이란?","[               [KBS 창원] [앵커] 진주의 한 교회 목사가 11년 동안 복지시설을 불법 운영한 혐의가 확인돼 경찰이 수사에 나섰습니다. 입소한 치매 노인과 장애인의  정부 지원금을 모두 빼가고, 돌봄을 소홀히 한 정황도 드러났습니다. 어떤 일이 있었던 건지, 이형관 기자가 먼저 전해드립니다. [리포트] 진주의 한 교회 목사가 2010년부터 지난 7월까지 11년 동안 자치단체에 신고하지 않고 불법 운영한 복지시설입니다. 치매 노인이나 장애인 등 60여 명이 생활했습니다. 최근 2년 동안 이곳에 입소했던 60대 여성의 통장을 보니, 매달 나오는 기초생활수급비와 연금이 입금 며칠 만에 모두 빠져나갔습니다. 시설 목사가 입소비 명목으로 빼 간 겁니다. 하지만, 이 여성은 동의한 적이 없다고 말합니다. [△△시설 전 입소자/음성변조 : ""이 목사가 수급비 해 먹으면서 (연금) 이것도 어떻게 옮겨 갔대요. (선생님 수급비는 돌려받으셨어요?) 안 받았어요, 십 원도….""] 지난 2월 기준 시설 입소자 62명 가운데 기초생활보장 수급자는 47명. 시설 목사는 수급자 대부분의 정부 지원금을 대신 관리하는 '급여관리자'로 지정돼 매달 각 30여만 원부터 백여만 원을 입소비 명목으로 모두 챙겼습니다. 경남서부권노인보호전문기관과 경남장애인권익옹호기관이 조사한 입소자 5명은 자신의 정부 지원금이 얼마인지 모르거나 통장도 못 봤다고 진술했습니다. [김현/경남서부권노인보호전문기관 관장 : ""(정부 지원금이) 어떻게 사용됐는지 통보, 또는 알려주지 않았다는 것이 (문제고요). 저희가 (학대 피해자로) 판정한 분들은 통장 유무를 알지 못했고….""] 입소자들을 제대로 돌보지 않은 정황도 포착됐습니다. 이 시설 노인 입소자는 27명, 현행법대로라면 요양보호사 10명 이상이 필요하지만, 실제 2~3명뿐이었습니다. 장애인이나 정신 질환자도 있었지만 전문 돌봄 인력은 아예 없었습니다. [김현/경남서부권노인보호전문기관 관장 : ""케어(돌봄)를 부실하게 한 방임 등의 여러 가지 문제들이 많이 의심되고요.""] 시설 목사는 본인이나 보호자 동의를 거쳐 정부 지원금을 받았으며, 돌봄의 소홀한 점은 없었다고 해명합니다. [△△시설 운영 목사/음성변조 : ""좀 일찍 행정에서 우리한테 이렇게 제도권 안에 들어와야 한다고 지금처럼 공문을 보내줬더라면 제가 저 죽을 짓을 뭐하러 하겠냐고요….""] 경찰은 이 시설 목사에 대해 노인복지법과 장애인복지법 위반, 횡령 혐의 등으로 입건해 수사하고 있습니다. KBS 뉴스 이형관입니다. 촬영기자:지승환·서다은/그래픽:박재희·김신아   ]","['장애우들과 여러 복지시설에서 간간히 이런 앞픈 소식이 전해집니다, 담당 공무원 여러분 조금만더 관심을 가지고 그분들을 돌보아 주셔서 이런 아픈 소식이 다시는 나오지 않도록 도와 주세요.']",http://topclass.chosun.com/daily/view.asp?idx=1296&Newsnumb=2021081296,https://n.news.naver.com/mnews/article/056/0011110982?sid=102
2021.08.31.,아주경제,,[2022 예산안] 노인·장애인 일자리 87만개… 국가유공자 생계지원금 신설,,,http://www.ajunews.com/view/20210831103314122,http://www.ajunews.com
2021.08.27.,파이낸셜뉴스,,"익산시, 마을자치연금 확대",,,http://www.fnnews.com/news/202108271403023816,http://www.fnnews.com/
2021-08-27 14:03:05,여성신문언론사 선정,사회,[권오형의 세무상식] 퇴직금 연금으로 받아 '움직이는 예금통장' 되자,"[     전북 익산시청.  【파이낸셜뉴스 익산=강인 기자】 전북 익산시가 농촌 노인의 안정적인 소득 기반과 노후 생활 지원을 위해 추진하고 있는 자치연금을 도입할 농촌 마을을 확대한다.   27일 익산시는 자치연금 1호 마을에 이어 2호 마을 발굴을 위한 협의를 진행하고 있다고 밝혔다.   이를 위해 대중소기업농어업협력재단의 농어촌 복지지원사업에 참여해 농어촌상생기금을 확보할 계획이다.   대중소기업농어업협력재단은 ESG(지속가능경영) 실천에 적합한 모델인 익산시 마을자치연금을 벤치마킹해 전국 지자체를 대상으로 농어촌 복지지원사업을 추진하고 있다.   익산시는 2호 마을의 순조로운 발굴과 사업 추진을 위해 대중소기업농어업협력재단과 업무협의를 추진해 왔다.   앞서 마을자치연금은 민관이 함께 추진하는 전국 첫 사례로 1호 마을에 성당포구마을이 선정됐다. 성당포구마을은 신재생에너지 발전수익에 마을공동체 운영 수익을 더해 마을에 거주 중인 70세 이상 어르신들에게 매달 10만 원 가량을 지급하는 형태로 운영하고 있다.   정헌율 익산시장은 “마을자치연금은 마을을 통해 농촌지역이 겪고 있는 사회적 문제를 보다 효율적으로 해결할 수 있는 사회안전망을 구축했다는 점에서 의미가 크다”며 “성당포구마을을 시작으로 제2호, 제3호 마을 발굴에 더욱 박차를 가하겠다”고 전했다.   ]",[],http://www.womennews.co.kr/news/articleView.html?idxno=215127,https://n.news.naver.com/mnews/article/014/0004699153?sid=102
2021.08.20.,연합뉴스언론사 선정,,"정세균, 복지비전 발표…'전국민 100만원 연금' 공약",,,http://yna.kr/AKR20210820055100001?did=1195m,http://www.womennews.co.kr/
