Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.12.27.,연합뉴스,,[광주소식] 동구 '독거노인 친구 만들기' 공모 선정,,,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20171227100400054&did=1195m,https://www.yna.co.kr/
2017-12-27 14:19:34,스카이데일리,사회,노인·부녀자 노리는 사기업소 전국 42곳 적발,"[    (광주=연합뉴스) 광주 동구는 보건복지부 주관 '2018년 독거노인 친구 만들기' 공모사업에 광주 자치구 중 유일하게 5년 연속 선정돼 국·시비 등 사업비 4천250만원을 확보했다고 27일 밝혔다.    독거노인 친구 만들기 사업은 사회관계가 단절된 홀몸노인들끼리 서로 믿고 의지할 수 있는 관계를 만들어 지속적인 상호 돌봄환경을 조성하는 사업이다.     동구는 우울증·고독사 등에 노출될 위험이 큰 독거노인 60명을 발굴해 조선대학교노인복지센터를 통해 상담, 자조모임, 민간자원 연계 등 맞춤형 복지프로그램을 제공할 계획이다.     광주 동구청[광주 동구청 제공]북구, 감사사례 원문 열람시스템 구축(광주=연합뉴스) 광주 북구는 그동안 책자 형태로 배부된 감사 사례집을 전산화해 손쉽게 검색할 수 있는 원문 열람시스템을 구축했다고 27일 밝혔다.    상급기관(감사원, 행정안전부, 광주광역시 등) 감사, 자체감사(본청, 사업소 등) 사례를 원문형식으로 검색과 열람할 수 있다.     북구는 지난 11월부터 시범 운영한 시스템을 보완작업을 거쳐 내년 1월부터 본격 운영할 계획이다.     광주 북구청 전경[광주 북구청 제공]▶기사제보 및 문의▶기자와 1:1 채팅  ▶최신 트렌드 ]",[],http://www.skyedaily.com/news/news_view.html?ID=68902,https://n.news.naver.com/mnews/article/001/0009775599?sid=102
2017.12.27.,뉴시스,,[광주소식]동구 '독거노인 친구 만들기 사업' 5년 연속 선정 등,,,http://www.newsis.com/view/?id=NISX20171227_0000187846&cID=10809&pID=10800,http://www.skyedaily.com
2017.12.21.,뉴스1,,치매·우울증 검진 확대…고혈압·당뇨 진단시 동네병원서 처방,,,http://news1.kr/articles/?3187009,http://www.newsis.com
2017-12-27 15:22:42,코메디닷컴,사회,"""바쁘다고 우울증 안 오는 거 아녜요""","[    【광주=뉴시스】배동민 기자 = ◇동구 '독거노인 친구 만들기 사업' 5년 연속 선정 광주 동구는 보건복지부 '2018년 독거노인 친구 만들기' 공모사업에 광주 자치구 중 유일하게 5년 연속 선정돼 사업비 4250만원을 확보했다고 27일 밝혔다. '독거노인 친구 만들기' 사업은 사회 관계가 단절된 독거노인들끼리 서로 믿고 의지할 수 있는 관계를 만들어 지속적인 상호 돌봄환경을 조성하는 사업이다.  동구는 수행기관인 조선대학교노인복지센터의 사업역량과 보건복지서비스 연계 지원 등에서 높은 점수를 받았다.   이번 공모선정으로 우울증, 고독사 등에 노출될 위험이 높은 독거노인 60명을 발굴해 조선대학교노인복지센터를 통해 상담, 자조모임, 민간자원 연계 등 맞춤형 복지프로그램을 제공할 계획이다.  ◇국립아시아문화전당 '공공미술 투어' 실시 국립아시아문화전당(ACC)은 내년 1월6일부터 2월25일까지 매주 토요일과 일요일 오후 4시부터 ACC 투어 특별코스 프로그램인 'ACC 공공미술 투어'를 실시한다고 27일 밝혔다.. 이번 투어는 백승우 작가의 '세븐데이즈(Sevendays)', 우고 론디노네(Ugo Rondinone) 작가의 'ACC 매직 마운틴' 등 ACC의 공공미술 작품을 소개하는 특별 프로그램이다.  ACC는 이번 투어에 참여하는 방문객들에게 ACC 공공미술 작품을 모티브로 제작한 천연 수제비누를 나눠준다. 투어 참가는 개인 또는 단체 누구나 가능하며 신청은 ACC 홈페이지(https://www.acc.go.kr)의 ACC 투어 페이지에서 하면 된다. 정원은 30명이며 당일 취소분 또는 미예약분에 한해서는 현장 접수도 가능하다. guggy@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 네이버 채널에서 뉴시스를 구독해주세요&lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt; ]",[],http://www.kormedi.com/news/article/1225548_2892.html,https://n.news.naver.com/mnews/article/003/0008363696?sid=102
2017.12.28.,부산일보,,[노인 교구 정서지원 프로그램] 펼치고 쌓으며… 닫힌 마음 열어 세상과 소통...,,,http://news20.busan.com/controller/newsController.jsp?newsId=20171228000238,http://news1.kr/
2017-12-21 17:08:00,매일신문,사회,[건강 나침반] 40세부터 10년마다 우울증 무료 검진,"[     © News1내년 국가건강검진 제도 개선장애인 건강검진기관 10곳 지정 운영(세종=뉴스1) 한재준 기자 = 내년부터 치매 조기진단을 위한 인지기능장애 검진과 골다공증, 우울증 등의 국가검진 주기가 확대된다. 또 건강검진에서 고혈압·당뇨 소견을 받으면 가까운 일반 병원이나 의원에서도 본인부담금 없이 확진 검사와 처방을 받을 수 있다. 보건복지부는 만 44·66세 국민에게 제공하던 생애전환기건강진단이 일반건강검진에 통함됨에 따라 이 같은 내용의 건강검진 제도 개선안을 내년 1월부터 시행할 예정이라고 21일 밝혔다.복지부는 생애전환기 건강진단 항목 중 치매 조기 진단을 위해 만 66·70·74세 노인에게 제공되는 인지기능장애 검사 주기를 66세 이상부터 2년에 1번 받을 수 있도록 조정했다. 우울증 검사와 생활습관평가는 40·50·60·70세가 될 때마다 받을 수 있게 됐다. 이외에도 생애전환기 건강 진단 중 66세 여성을 대상으로 하는 골다공증 검진은 54·60세로, 66세 노인을 대상으로 하는 노인신체기능 검사는 66·70·80세로 확대된다. 2년에 1번 제공되던 이상지질혈증 검사는 병의 진행 속도에 비해 주기가 짧다는 분석 결과 및 전문가 검토를 거쳐 4년에 1번으로 검진 주기가 축소됐다. 고혈압이나 당뇨병 확진 검사와 치료도 훨씬 편해진다. 앞으로 건강검진 결과 고혈압·당뇨병 소견을 받으면 검진받은 기관이 아닌 가까운 병원이나 의원에서도 확진검사와 치료를 받을 수 있다. 지금은 검진기관에서 확진검사까지 받아야 한다. 아울러 복지부는 장애인들이 국가 건강검진을 쉽게 이용할 수 있도록 '장애인 건강검진기관'을 지정해 운영할 방침이다. 장애인 건강검진기관은 장애인을 위한 편의시설과 수어통역 및 보조인력 등을 갖춘 기관으로 내년부터 10개 기관을 시작으로 오는 2021년까지 총 100개 기관으로 단계적으로 확대할 예정이다.hanantway@▶ '평창2018' 관련 뉴스·포토 보기▶ 네이버메인에 ‘뉴스1채널’ 설정하기!▶ 여러분의 제보를 기다립니다.제보하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",[],http://www.imaeil.com/sub_news/sub_news_view.php?news_id=57751&yy=2017,https://n.news.naver.com/mnews/article/421/0003112208?sid=102
2017.12.29.,문화뉴스,,"한국심리교육협회, 무료이벤트로 호스피스·사회복지사 자격증 없이 아동노인...",,,http://www.munhwanews.com/news/articleView.html?idxno=98818,https://www.kormedi.com/
2017-12-20 10:50:42,미주한국일보,생활/문화,SV 한미봉사회 노인우울증 세미나,"[     인기 아이돌 멤버가 사망했다. 심한 우울증으로 스스로 목숨을 끊었을 것이란 추정이다. 겉으로 봐선 도통 알기 힘든 우울증, 그 실체는 무엇일까. 미국 의료포털 웹엠디를 통해 우울증의 진실과 거짓을 알아보자. ◆ 바쁘게 일하면 우울증을 극복할 수 있다?= 한가하면 잡생각이 많아지고 개중 우울한 생각도 하게 된다. 바쁘면 어떨까? 우울증에 걸릴 일이 없을까? 가볍게 기분이 침체된 수준이라면 바쁜 생활이 극복에 도움이 된다. 하지만 보다 심각한 우울증이라면 얘기가 다르다. 오히려 과로를 한다거나 스스로를 혹사시키는 행동을 임상우울증의 징후로 볼 수도 있다. 특히 남성 우울증 환자들이 이 같은 양상을 보인다. ◆ 우울증은 진짜 병이 아니다?= 그렇지 않다. 우울증도 심각한 병이다. 슬픈 감정이나 침체된 기분과 혼동해 가볍게 치부되는 경향이 있는데, 실제로는 생명을 위협할 수 있는 위험한 병이다. 우울증이 질병이라는 생물학적 근거는 뇌 스캔을 통해 확인할 수 있다. 우울증 환자의 몇몇 뇌 영역에서 비정상적인 활동 수치가 측정되기 때문이다. 뇌에서 분비되는 화학물질의 불균형도 우울증이 병이라는 증거다. ◆ 주변 사람들도 눈치 채기 어렵다?= 우울증은 환자인 당사자는 물론, 주변 사람들, 심지어 주치의조차 낌새를 감지하기 어려운 질환이다. 남성 우울증이 특히 그렇다. 우울증에 걸린 남성의 상당수는 슬픔보다 짜증, 분노, 불안 등의 형태로 증상을 표출하기 때문이다. 일부 남성들은 흡연량과 음주량이 늘고 무모한 행동을 하기도 한다. ◆ 누구든 우울증에 걸릴 수 있다?= 외향적이든 내향적이든, 정적인 직업군이든 동적인 직업군이든 간에 누구나 우울증에 걸릴 수 있다. 남성보다는 여성의 발병률이 2배 정도 높다. 대체로 10대 후반에서 20대 사이에 첫 우울증상을 보이기 시작해 이후 어떤 연령대에서든 증상이 나타날 수 있다. ◆ 점진적으로 증세가 심해진다?= 우울증은 어느 날 갑자기 증상이 나타나기보단 서서히 조금씩 잠식해 들어오는 경향이 있다. 이로 인해 징후를 포착하지 못하고 놓치기 쉽다. 결석 혹은 결근이 잦아지고 사교생활을 위한 자리에 참석하는 횟수가 줄어든다면 우울증이 있다는 신호로 해석할 수 있다. 특히 기분부전장애(dysthymia)처럼 경도의 우울증은 낮은 강도로 오랫동안 지속된다. 우울증이 있다는 사실을 눈치 채지 못해도 일과 대인관계 등이 서서히 망가진다면 병원 상담이 필요하다. 다행히 가벼운 우울증은 4~6주간 치료를 받으면 증상의 상당 부분이 완화된다. ◆ 우울증에 걸린 사람은 자주 운다?= 우울증이 있다고 해서 항상 극적인 행동만 하는 건 아니다. 눈물보단 공허함과 멍함으로 우울증을 표출하는 사람도 있다. 본인이 가치 없는 존재라 느끼고 무기력하고 피곤해한다. ◆ 가족력이 있다면 본인도 걸린다?= 가족 중 우울증 환자가 있다면 본인 역시 우울증에 걸릴 위험이 있다. 하지만 실질적으로 우울 증세를 보이는 사람은 많지 않다. 가족력이 있다는 사실을 인지하는 사람은 좀 더 일찍부터 이에 대비하기 때문이다. 꾸준히 운동하고 스트레스를 관리하고 전문적인 치료를 받는 등 적극적으로 대응하면 가족력이 있어도 우울증을 피할 수 있다. ◆ 우울증은 노화의 일종이다?= 나이가 든다고 해서 우울증에 걸리는 건 아니다. 하지만 노인이 우울증에 걸린다면 젊은 사람들과는 다른 양상을 보이게 된다. 슬픔을 겉으로 표현하지 않고 우울증이라고 인식하기 애매모호한 증상들을 보인다. 예전보다 입맛이 떨어졌다거나 수면패턴이 달라졌다거나 관절 등의 통증이 보다 심해지는 식의 변화가 일어난다. 기억력 문제, 착각, 망상 등으로 이어져 치매 혹은 인지기능 감퇴와 헷갈릴 수도 있다. [사진=Melinda Varga/shutterstock]문세영 기자  (pomy80@kormedi.com)▶[퀴즈]날씨에 따라 몸도 마음도 달라질까?▶[헬스스낵]무릎이 아플 땐 '레터럴 런지' 동작을...  저작권ⓒ  '건강을 위한 정직한 지식' 코메디닷컴(kormedi.com) / 무단전재-재배포 금지   ]","['한국에 있으면다 정신병걸려', '', '어떤 질병이든 다 그렇지만 정신질환의 경우 조기치료가 대단히 중요함. TV 나온 유명인이 운영하는 심리상담센터 갔는데 거기 상담사가 공황장애 초기에 자살할 것 같지 않으면 약먹지 말라고 상담했음. 나중에 알고보니 의학적 상식과는 정반대의 말. 무슨 근거로 먹지 말라고 한거냐고 물어보니까 횡설수설임. 아프다고 생각되면 이상한데 돌아다니지 말고 바로 대학병원 가는게 답임.', '', '', '예전에 어른들이 우울증에 대해서 말하는 거 보고 어이가 없더라. ""요즘 살기 편해서... 옛날엔 먹고 살기 바빠서 우울증 올 틈도 없었어. 요즘 것들은..."" 이러더라. 아니, 바쁘면 병 안 걸리나.', '마음 한번 놓치면 걷 잡을 수 없다', '난 정말 편한 마음으로 사는 사람이지만, 나도 한 때 걱정과 고민이 많았다. 그런데 그런다고 내 인생이 내 맘대로 컨트롤 되지 않더라. 비교적 잘 풀린 인생이지만 인생의 주요 포인트에서 내가 의도치 않은 방향으로 결정이 이루어지고, 이 때문에 인생의 방향이 확 바뀌었다. 예를 들어 학교, 직장, 살고 있는 동네 등등. 그래서 나는 지금의 자리에서 최선을 다하긴 하지만 결과는 운명에 맡긴다. 그리고 나쁜 결과를 초래한다하더라고 내 복이 그 정도 밖에 안된다고 생각한다. 내가 할 수 있는 것은 현 상황에서 최선을 다하는 것일 뿐.', '매일 꾸준히 걷거나 조깅 등 가벼운 운동을 하면 어느정도 우울증을 예방 할수 있다.', '', '병원가야하나...휴....', '항우울제 SSRI 계열 약의 약효가 너무 과대 포장 되어 있고, 의사들은 함부로 처방하는 경향이 있어요. 더구나 부작용으로 자살충동 증가도 있는데, 의사들은 이를 숨깁니다. 다국적 제약회사 마케팅에 국민 정신 건강이 흔들리고 있습니다.', '우울한 감정과 우울증은 다르다~~~~~우울한 감정이 들면, 식사를 두 끼 정도 안먹으면 고쳐진다. 우선 &lt;배가 고파서&gt;, 우울이고 나발이고는 두번 째가 된다. 우울증은 치료 받고 약 먹으면 낫는 병이다.', '', ""'베르테르 효과'가 걱정된다. 자기가 선망하던 우상이나 유명한 스타가 자살하면 모방을 해서 따라서 자살하는 사람들이 발생한다. 우울증에 대해서는 딱히 답이 없는 것 같다. 다만, 우울증이 오지 않도록 자기가 콘트롤하는 방법밖에 없는 거 같다. 우리나라 사람들은 신경정신과에 가기를 꺼려하는 이유가 진료기록이 남아서 사회생활하는 데 지장이 생길까봐 그러는 데 그러한 것도 정신병 상담을 못하게 하는 원인인 것 같다."", '', '', '', '', '우울증이 흔히들 마음의 감기라고 한다!하지만 장기간 방치하고 내비두면 결코 돌이킬 수가 없게 된다!작금의 시대에 정신병이 더 이상의 흉이 아니다!사람들의 체계적이고 적극적으로 사회적인 관심이 필요하다!미리미리 예방책도 마련하여 훈련하는 것이 필요하다!', '평상시 꾸준히 운동해라 ~ 그래야 우울증 오는것을 막을수있다.', '', '대학 중간고사 끝나고 제일 대숲에서 불평불만의 글이 많이 올라옴 특히 사람관계에서 나오는 갈등 관련해서, 글쓴 사람은 상처 안받은 척 자신을 높이 치켜세우고 상대방을 내리 까는 말투를 쓰지만, 감정이 눈에 안보일리가 있나 ㅎ 진짜 실행에 옮기는 때가 늦가을쯤?', '우울증은 그냥 단순한 정신질환이다. 그 이상도 이하도 아니다', '아니라는니네들,다우울증환자일꺼^^', '', '', '', '법의 사각지대에서 고통받는 조직스토킹 피해자 여러분, 우리가 계속 자살만 택한다면 이 자살교사범죄는 계속 완전범죄로 묻히게 됩니다. 참을 인자 셋이면 자살을 면합니다. 전파무기 금지법이 생길 때까지 힘내세요.', '우울증은 외부 에서 오는것 보다 자기 자신에서 온다', '', '우울한 분들 예수님 믿으십시오~~! 사망이 예약되어있는 인간은 우울할수밖에 없습니당~~~마음속에 근심있는 사람 주 예수 앞에 다 아뢰어라.슬픈 마음 있을 때에라도 주예수께 아뢰라.주예수 앞에 다 아뢰어라, 주 우리의 친구니,무엇이나 근심하지 말고 주예수께 아뢰라.괴로움과 두려움 있을 때에 주예수 앞에 다 아뢰어라.내일 일을 염려하지 말고 주 예수께 아뢰라, 주예수 앞에 다 아뢰어라 주 우리의 친구니 무엇이나 근심하지 말고 주 예수께 아뢰라. 죽음앞에 겁을 내는 자여! 주예수앞에 다 아뢰어라 하늘나라 바라보는 자여! 주예수께 아뢰라.', '']",http://www.koreatimes.com/article/1093642,https://n.news.naver.com/mnews/article/296/0000034077?sid=103
A23면 TOP,동아일보,,골절-합병증 유발… 겨울철 노인 ‘낙상 주의보’,,,http://news.donga.com/3/all/20171225/87887876/1,http://www.busan.com/
