Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.04.30.,디지털타임스,,"LH, 3세대 동거형 주택 공급",,,http://www.dt.co.kr/contents.html?article_no=2017043002109976036007,http://www.dt.co.kr/
2017-04-30 13:52:12,연합뉴스,경제,"LH, 화성동탄2·과천에 '3세대 동거형' 주택 공급","[     LH 3세대 동거형(전용 84㎡) 주택 평면도.LH는 올해 경기 화성 동탄2신도시와 향남, 과천지식정보타운 등 3개 지구의 공공아파트에 전용면적 84㎡의 3세대 동거형 주택을 공급한다고 30일 밝혔다. 3세대 동거형은 여러 세대가 함께 거주하면서도 독립된 거주공간을 제공해 세대 간 프라이버시가 보호되는 장점이 있다. 최근 심각한 저출산 문제와 고령화 문제를 해결할 수 있는 새로운 주택 모델이 될 것으로 기대되고 있다.LH는 부모와 자녀 간 세대분리 증가로 세대 간 대화가 단절되고 주택 부족문제가 심화하는 등 변화하는 환경 변화를 고려해 3세대 동거형 모델을 지난해 7월 경기 하남 미사강변도시에서 처음 선보였고 400%가 넘는 청약률로 인기를 끌었다.올해는 동탄2신도시 A84블록의 공공분양(전체 800가구), 화성 향남 B19블록의 10년 공공임대(357가구), 과천지식정보타운 S3블록의 10년 공공임대(474가구) 등 공공아파트의 일부 가구를 3세대 동거형으로 공급한다.3세대 동거형 주택은 본 세대뿐만 아니라 동거 세대에도 별도의 현관과 주방, 욕실 등을 설치해 세대별로 독립된 생활이 가능하다. 또 부모세대와 자녀세대가 함께 거주할 수 있어 주거 비용을 줄일 수 있고 육아 문제, 노인세대의 실버복지 문제 등을 한 번에 해결할 수 있다. 공공임대주택의 경우 임대기간 10년이 끝나면 분양전환을 받아 부분 임대도 할 수 있다.박상길기자 sweatsk@dt.co.kr디지털타임스 홈페이지 바로가기/SNS 바로가기확바뀐 디지털타임스 연예·스포츠 섹션 바로가기&lt; Copyrights ⓒ 디지털타임스 &amp; dt.co.kr, 무단 전재 및 재배포 금지 &gt;박상길 sweatsk@   ]",['결혼해서까지 부모랑 살순없지'],http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170428064400003&did=1195m,https://n.news.naver.com/mnews/article/029/0002400354?sid=101
2017.04.24.,조세일보,,[D-15] 문재인 ‘저소득-서민'에 맞춘 임대주택 확대 등 주거정책 발표,,,http://www.joseilbo.com/news/news_read.php?uid=322760&class=32&grp=,https://www.yna.co.kr/
2017-04-28 10:30:41,대한경제,경제,공공주택 확대 한목소리…文ㆍ安 ‘규제 강화’ 카드 꺼낼듯,"[    (서울=연합뉴스) 서미숙 기자 = 한국토지주택공사(LH)가 맞벌이 부부의 육아와 실버세대 복지를 위한 '3세대 동거형' 주택 공급을 확대한다.    LH는 올해 화성 동탄2신도시와 화성 향남, 과천지식정보타운 등 3개 지구의 공공아파트에 전용면적 84㎡ 규모의 3세대 동거형 주택을 공급한다고 28일 밝혔다.     LH는 부모와 자녀 간 세대분리 증가로 인해 세대 간 대화가 단절되고, 주택 부족문제가 심화하는 등 변화하는 환경 변화를 고려해 3세대 동거형 모델을 지난해 7월 하남 미사강변도시에서 처음 선보여 400%가 넘는 청약률로 인기를 끌었다.    올해는 화성 동탄2신도시 A84블록의 공공분양(전체 800가구), 화성 향남 B19블록의 10년 공공임대(357가구), 과천지식정보타운 S3블록의 10년 공공임대(474가구) 등 공공아파트의 일부 가구를 3세대 동거형으로 공급한다.    3세대 동거형 주택은 본 세대뿐만 아니라 동거 세대에도 별도의 현관과 주방, 욕실 등을 설치해 세대별로 독립된 생활이 가능하다.     또 부모세대와 자녀세대가 함께 거주할 수 있어 주거 비용을 줄일 수 있고 육아 문제, 노인세대의 실버복지 문제 등을 한 번에 해결할 수 있다.     3세대 동거형 공공임대주택의 경우 임대기간 10년이 끝나면 분양전환을 받아 부분 임대도 할 수 있다.    LH 관계자는 ""3세대 동거형은 여러 세대가 함께 거주하면서도 독립된 거주공간을 제공해 세대 간 프라이버시가 보호되는 장점이 있다""며 ""최근 심각한 저출산 문제와 고령화 문제를 해결할 수 있는 새로운 주택 모델이 될 것""이라고 말했다.    LH 3세대 동거형(전용 84㎡) 주택 평면도 [LH제공=연합뉴스]sms@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!) ]",[],http://www.cnews.co.kr/uhtml/read.jsp?idxno=201704131416116440699,https://n.news.naver.com/mnews/article/001/0009225668?sid=101
2017.04.06.,전북일보,,전북지역 올 5094세대 공공임대주택 착공 계획,,,http://www.jjan.kr/news/articleView.html?idxno=1124979,http://www.joseilbo.com/
2017-04-24 11:14:11,쿠키뉴스,정치,[기자수첩] 대선주자 청년임대주택 공약…포퓰리즘 아닌 실행의지있나?,"[     ◆…더불어민주당 문재인 대선후보(사진=문 후보 측)더불어민주당 문재인 대선후보는 24일 “국가가 국민의 쾌적하고 안정적인 주거를 보장할 때, 국민은 더 많은 꿈을 펼쳐 국가에 돌려준다”며 '주거정책 공약'을 발표했다.문 후보의 주거공약은 ▲임대주택 공급 확충 ▲신혼 부부 주거 사다리 구축 ▲청년 주거안정 지원 ▲저소득 서민 주거 복지 ▲사회통합형 주거정책 등이 주요 골자다.그는 “전국의 주택보급률은 102.3%이다. 가구 수보다 주택 수가 많지만, 주거문제는 해결되지 않았다”며 “주택공급확대만이 해법이 아니다”라고 지적했다.그러면서 “청년과 신혼부부, 중장년층과 노령층, 집주인과 세입자가 부닥치고 있는 주거문제가 모두 다르다”며 “생애주기와 소득수준에 맞게 다양한 정책수단을 써야한다”고 주장했다.문 후보는 먼저 “소득별 맞춤형 주거정책으로 국민의 집 걱정, 전월세 걱정, 이사 걱정을 덜겠다”며 '매년 17만호 공적임대주택 공급'을 공약했다.실현방안으로 공공기관이 직접 공급·관리하는 장기 공공임대주택을 매년 13만호 확보, 공공지원 임대주택을 매년 4만호를 확보하는 등 5년간 총 65만호 공급 계획을 밝혔다.이어 “주거불안은 늦은 결혼과 낮은 출산율의 원인”이라며 “신혼부부의 주거문제를 지원하는 것은 인구감소와 저출산 문제에 대응하기 위한 정부의 기본책무”라고 강조했다.신혼부부 주거해결을 위해 ▲매년 신규 공급하는 공공임대주택의 30%인 4만호를 신혼부부에게 우선 공급 ▲'생애최초 전월세 보증금 융자' 프로그램 강화 ▲결혼 후 2년간 월 약 10만원 지원 등 '신혼부부 주거 사다리' 구축을 제시했다.또 청년주거문제를 지적하며 “교통이 편리한 대도시 역세권에 시세보다 낮은 청년주택을 공급하고 월세 30만원 이하의 쉐어하우스형 청년임대주택은 임기 내에 5만실을 공급할 계획”이라고 밝혔다.문 후보는 “서울시가 시행하고 있는 '역세권 청년주택 사업'을 전국적으로 발전시킨다면 얼마든지 가능하다”며 “대학소유 부지와 인근지역 개발을 통해 대학생 기숙사 입주인원도 5만 명 늘리겠다”고 약속했다.아울러 저소득 서민 주거복지 확충계획을 말하며 “임대료가 저렴한 영구임대주택과 매입입대주택은 저소득 노인과 장애인 가구 등 사회취약계층에 우선 공급하겠다“고 밝혔다.이어 주거급여 지속적 확대, 공공임대주택에 복지와 의료서비스가 연계된 '홀몸 어르신 맞춤형 공동 홈' 확충, 주거복지센터를 지자체별로 설치해 운영할 것을 제시했다.문 후보는 ""사회통합형 주거정책을 펼치겠다”며 “집주인과 세입자의 갈등을 정책적으로 해결할 것”을 주장했다.그는 “2년마다 이사를 해야 하는지, 보증금이 얼마나 오를지 알 수 없어서 겪는 세입자의 불안감을 덜어야 한다”며 임대등록에 따른 인센티브 강화를 통해 집주인의 자발적 임대주택 등록을 이루겠다고 말했다.또 “세입자 주거안정과 집주인 권리보호의 균형을 맞추겠다”며 표준임대료 고시‧임대차계약 갱신청구권제‧임대료상한제 단계적 제도화‧지자체별 임대차분쟁조정위원회도 내실화를 강조했다.그러면서 “OECD 평균에도 못 미치는 공공임대주택 공급을 임기 말까지는 재고율 9%에 도달하도록 하겠다. 주거복지 수혜가구를 10%에서 20%이상으로 확대하겠다”고 포부를 밝혔다.문 후보는 송영길 총괄본부장의 '누구나 집' 프로젝트도 언급하며 “인천에서 실행하고 있는 프로젝트를 확대해 기업형임대주택의 문제를 개선하겠다”고 말했다.'누구나 집' 프로젝트는 정부의 주택기금을 활용해 주민이 소득, 신용등급에 상관없이 집값의 10%가량을 내고 아파트에 최대 10년간 거주할 수 있는 정책이다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..신승우 수습(ssw0911@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지   ]",[],http://www.kukinews.com/news/article.html?no=449080,https://n.news.naver.com/mnews/article/123/0002158666?sid=100
2017.04.13.,신아일보,,대선후보 부동산 공약 '주택시장 안정'이 화두,,,http://www.shinailbo.co.kr/news/articleView.html?idxno=571224,http://www.cnews.co.kr
2017.04.21.,뉴스웨이,,"1인가구 전성시대…""취약계층 대상별 면밀 분석해야""",,,http://www.newsway.co.kr/view.php?tp=1&ud=2017042015315419560,http://www.jjan.kr
2017.04.30.,데일리안,,[대선주자 경제공약 점검] 개발보다 주거복지 초점···서민주거 안정 실현되...,,,http://www.dailian.co.kr/news/view/629969/?sc=naver,http://www.kukinews.com
2017.04.20.,브레이크뉴스,,대선후보 ‘부동산 공약’ 땅값 상승 도움될까?…‘보수적 접근 필요’,,,http://www.breaknews.com/sub_read.html?uid=505351§ion=sc3,http://www.shinailbo.co.kr/
