Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.09.25.,비즈니스포스트,,"민주당·경기도 반지하 주택 해소 손잡아, 김병욱 “지하 거주는 기본권 침해...",,,https://www.businesspost.co.kr/BP?command=article_view&num=328345,http://www.businesspost.co.kr/
2023.09.21.,천지일보,,"[고령화 시대③] 아파도 폐지 줍는 노인들… ""돌봄 대상으로 봐야""",,,https://www.newscj.com/news/articleView.html?idxno=3065433,http://www.newscj.com
2023.09.07.,불교공뉴스,,"하동군 횡천면 지역사회보장협의체, 오염주택 철거 봉사",,,http://www.bzeronews.com/news/articleView.html?idxno=624113,http://www.bzeronews.com
2023.09.07.,경남매일신문,,"횡천면 지사보협, 오염 주택 사는 어려움 해결",,,http://www.gnmaeil.com/news/articleView.html?idxno=525990,http://www.gnmaeil.com
2023.09.15.,뉴시스,,"[거창소식]거창군, 아림1004운동본부 운영위원회 개최 등",,,http://www.newsis.com/view/?id=NISX20230915_0002451991&cID=10812&pID=10800,http://www.newsis.com
2023-09-15 14:03:19,김해뉴스,사회,"김해시의회, 제255회 임시회 폐회…인사청문 조례 제정 등 37건 안건 의결","[     [거창=뉴시스] 거창군청 *재판매 및 DB 금지  *재판매 및 DB 금지[거창=뉴시스]서희원 기자 = 경남 거창군은 15일 군청 상황실에서 아림1004운동본부 운영위원과 관계 공무원 등 20여명이 참석한 가운데 2023년 제3차 정기 운영위원회를 개최했다.회의는 2023년 3분기(7~9월) 아림1004운동 운영 실적과 2차 운영위원회 건의 사항에 대한 검토 보고에 이어 아림1004의 날(매년 10월 4일 지정) 기념행사와 관련한 논의가 진행됐다.운영위원들은 오는 10월 개최되는 아림1004의 날 기념행사가 그동안 아림1004운동에 많은 관심과 애정을 가지고 동참해 준 기부자들에게 감사를 표하는 의미 있는 행사가 될 수 있도록 세심히 준비해 나가기로 했다.◇거창군, 화·목한 그룹재활운동교실 참여 희망자 4기 모집    [거창=뉴시스] 거창군청 *재판매 및 DB 금지  *재판매 및 DB 금지경남 거창군은 오는 21일부터 거동이 가능한 장애인 및 65세 이상 허약 노인을 대상으로 장기간 저하된 활동 능력, 허약한 신체기능 회복을 위한 2023년 화·목한 그룹재활운동교실 4기 참여자 24명을 선착순 모집한다.장애·비장애인이 함께하는 화·목한 그룹재활운동교실은 팀당 최대 12명으로 구성돼 총 2개 팀(오전·오후반)으로 운영된다. 팀당 주 2회(화·목요일) 3개월씩 진행되며 운동시간은 1회 1시간에서 1시간 20분 정도 소요된다.프로그램은 ▲운동 전 부상을 예방하는 전신 스트레칭 ▲6종 재활운동기구를 이용한 근력운동 ▲일상생활 속에서 주의해야 할 운동 방법과 자세 등의 내용으로 진행된다.특히, 물리치료사가 자세히 알려주는 올바른 운동법을 통해 지난 3기 참여자들의 근력과 관절 움직임 등이 좋아져 그룹재활운동교실은 주민들에게 많은 인기를 얻고 있다.그룹재활운동교실은 9월 21일부터 27일까지 선착순으로 신청을 받아 오는 10월 5일 팀 구성과 동시에 운영될 예정이다. ◇북상면과 좋은이웃들, 독거노인가정 주거환경개선 지원    [거창=뉴시스] 거창군청 *재판매 및 DB 금지  *재판매 및 DB 금지경남 거창군 북상면(면장 박도혜)은 거창군사회복지협의회 좋은이웃들(대표 임규순)과 연계해 갈계마을에 거주하는 저소득 독거노인가구의 주거지 담장 설치 등 주거환경개선 활동을 펼쳤다.대상자는 북상면 행복복지담당의 찾아가는 방문상담을 통해 통합사례관리대상자로 선정된 가구로 도로변을 끼고 있는 담장이 여름 수해시기에 벌어짐이 더욱 심해져 안전상의 위험뿐만 아니라 주거생활에 많은 불편을 겪었다.북상면은 보수에 필요한 자재 구입을 사례관리 사업비로 지원했으며, 좋은이웃들은 무더운 날씨에도 불구하고 낡은 담장을 철거하고 새 담장을 설치해 대상가구의 주택문제를 해결했다. ]",[],http://www.gimhaenews.co.kr/news/articleView.html?idxno=49030,https://n.news.naver.com/mnews/article/003/0012092380?sid=102
2023.09.11.,쿠키뉴스,,"김해시의회, 시 산하 출자 출연 기관장 후보 인사청문한다",,,http://www.kukinews.com/newsView/kuk202309110253,http://www.gimhaenews.co.kr
2023.09.11.,천지일보,,[아침논단] 인구감소로 인한 국가 위기,,,https://www.newscj.com/news/articleView.html?idxno=3062444,http://www.kukinews.com
2023.09.11.,경남도민일보,,"하동군 횡천면 지역사회보장협, 횡가이버 봉사활동",,,http://www.idomin.com/news/articleView.html?idxno=834372,http://www.newscj.com
2023.09.08.,광주일보,,소설가 11명이 그려낸 우리시대의 노동 현실,,,http://www.kwangju.co.kr/article.php?aid=1694124000757455026,http://www.idomin.com
