Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.10.31.,브릿지경제,,"천안시, 노인돌봄사업 민관 소통 간담회 개최",,,https://www.viva100.com/main/view.php?key=20221031010008096,http://www.viva100.com
2022.10.31.,장애인신문,,"태백시, 노인 무료건강검진 실시",,,http://www.welfarenews.net/news/articleView.html?idxno=87115,http://www.welfarenews.net
2022.10.26.,국민일보언론사 선정,,"60년 이상 안씻어… ‘가장 더러운’ 노인, 94세로 사망",,,https://news.kmib.co.kr/article/view.asp?arcid=0017606089&code=61131111&cp=nv,http://www.kmib.co.kr/
2022-10-26 11:30:03,뉴스퀘스트,세계,"늘고 있는 수명 연장, 늘고 있는 치매 환자… 미국 노인 3분의 1 치매","[ ‘아모하지’로 불렸던 이란 외톨이 노인청결 유지하면 불행해질 것으로 믿어94세 일기로 현지시간 23일 사망    60년이 넘도록 몸을 씻지 않아 ‘세계에서 가장 더러운 사람’으로 불렸던 이란 외톨이 노인 ‘아모하지’(하지 아저씨)의 생전 모습. 트위터 캡처60년 넘게 몸을 씻지 않아 ‘세계에서 가장 더러운 사람’으로 불렸던 이란의 외톨이 노인이 94세로 사망했다.영국 가디언과 BBC는 25일(현지시간) “‘세상에서 가장 더러운 사람’이라는 오명과 함께 ‘아모하지(하지 아저씨)’라는 애칭으로 통했던 남성이 23일 이란 남부 파르시주 데즈가 마을에서 사망했다”고 전했다.아모하지는 얼굴까지 온통 검댕을 뒤집어쓴 채 벽돌 오두막에서 살면서 67년가량 몸을 씻지 않았던 것으로 알려졌다. 청결을 유지하면 자신이 불행해지고 결국 죽게 될 것이라고 믿었기 때문이다. 마을 사람들은 그가 젊었을 때 입은 마음의 상처로 씻기를 거부하게 됐다고 전했다.아모하지는 몇 달 전 마을 사람들의 계속된 권유로 몸을 씻은 것으로 알려졌다. 이란 국영 이르나통신은 아모하지가 몸을 씻은 뒤 얼마 되지 않아 병에 걸렸다고 전했다.수년 전 아모하지의 사연이 영국 미러와 유튜브 방송 등을 통해 소개되며 전 세계적으로 화제를 모았다. 그는 길가 웅덩이에서 물을 마시고, 차에 치여 죽은 동물의 사체 등을 먹으며 생활해 왔다고 한다.그의 취미는 동물 배설물로 가득 찬 파이프로 담배를 피우는 것이었다. 쇠파이프로 만든 대통을 이용해 마른 동물 배설물을 마치 담뱃잎처럼 넣어 피웠다.아모하지는 생전 언론 인터뷰에서 “몸에서 풍기는 악취 때문인지, 친구나 애인을 사귀기 힘들다”면서도 “하지만 누구보다도 건강하다”고 자신했다.    벽돌 오두막 앞에서 한꺼번에 여러 개비의 담배를 피우는 아모 하지 씨. AFP 연합뉴스 자료사진과거 한 방송 프로그램은 독특한 생활 방식을 고수해 왔던 아모하지가 질병에 걸렸을 것을 우려해 그의 집에 의료진을 파견하기도 했다. 의료진은 간염과 에이즈, 기생충 등 다양하게 건강검진을 시행했으나 실제로 아모하지는 매우 건강한 상태로 확인됐다. 당시 전문가들은 “면역체계가 비정상적으로 발달해 건강상태가 유지되고 있다” “청결하지 않은 환경에 몸이 적응했다”는 등 추측을 내놨다.가디언은 아모하지의 사망으로 ‘가장 오래 씻지 않은 사람’의 비공식 기록이 30여년간 목욕한 적 없는 인도인에게 넘어가게 됐다고 소개했다. 2009년 인도의 힌두스탄타임스는 바라나시 외곽에 거주 중인 카일라쉬 칼라우 싱씨가 국가가 직면한 문제들을 풀기 위한 노력의 일환으로 몸을 씻지 않고 있다고 보도했다.바라나시는 인도에서 가장 오래된 도시로 많은 인도인이 성스럽게 여기는 곳이다. 싱씨는 매체에 “‘불 목욕’을 좋아해 물로 씻지 않는다. 불 목욕은 물로 목욕하는 것과 똑같아서, 몸속 세균과 병균을 죽일 수 있다”고 말했다. 그는 저녁마다 모닥불을 피우고 선 채 신에게 기도를 올리는 것으로 전해졌다.   ]","['사람은 각자 타고난 명대로 사는듯...저렇게 사는데도 94세까지 사니....', '“‘세상에서 가장 더러운 사람’ 대한민국 양산에 살고 있다.', '', '씻으니깐 죽었네.', '안씻어도 94세이니', '', '', '일본의 한 학자가 적당히 더러운게 면역력유지에 좋다고한게 입증되었네 나도오늘부터 안씻는다', '그냥 내버려두지 왜  씻겨서  사람이 죽게 했는지?  안씻어서  두꺼운 기름 보호막이 생긴것이다 ㆍ진짜  자연인이다 ㆍ 이해하진 못하겠지만', '', '분장한 줄.. 한꺼번에 담배 4.5개비를 동시에 피우고, 67년 가량 몸을 씻지도 않고 주로 길가 웅덩이 물을 마시고, 취미로는 동물 배설물을 마치 담뱃잎처럼 넣어 피우며, 차에 치여 죽은 동물 사체 등을 먹으며 생활한 사람이 무려 94세까지 살다가 죽었단 얘기네. 과거 방송사에서 그의 집에 의료진을 파견해 간염과 에이즈, 기생충 등 다양하게 검진했으나 실제로 그는 매우 건강한 상태로 확인됐다라.. 외려 최근  몇 달 전 마을 사람들의 계속되는 권유로 몸을 씻었는데 몸 씻은 뒤 얼마 지나지 않아 병에 걸렸고 향년 94세로 생을 마감', '그래도 문재앙보단 깨끗할듯', '우리 할매도 애연가 이셨는대 92세 까지 사심.. 몸에 아무리 안좋은 먹고 피워도 오래 살사람은 오래 삼..', '씻어서 자신이 불행해질수있다는 생각때문에 심리적인 요인으로 사망했나?어떻게 씻고 얼마 지나지 않아서...', '', '', '', '', '손톱은 자르시나보네', '', '가장더러운 놈이 대한민국에도 있지…\n저기 양산에🦮와 찢기도 잘하는 전과4범…,', '', '혹시 경상도놈이 주는걸 자셨나.... 경상도놈들는 누가 직장에서 승진하더나 사업이잘되거나 건강하거나 그러면 해꼬지를 하더라구요', '결국 씻겨서 죽은거네 ㄷㄷㄷㄷ', '이런거 보면 그냥팔자대로 살자.', '슈퍼 면역 세포 때문에 건강했던 건데 목욕을 해서 슈퍼 면역 세포가 파괴되어 죽은 것이 아닐까?', '', '안씻고  살아가니까   온몸에   유해균과  유익균이   균형을  이루고   있었나  봅니다\n그래도  일반인들은   몇일만  안씻어도  온통  아픈곳이  생길텐데요..   타고난  건강이   94세까지  ....대단합니다..', '안씻고 폭풍흡연이 장수비결인갑다ㅎㅎ', '뭐야 결론은 씻어서 죽었다는건가', '', '너무 열심히 씻어도 수명준다는 말이  어느정도 사실인가보네 . 머든지 적당히', '', '청결도는 장수와 무관한가?', '깡소주에 줄담배 피워도 살인간 살고 온갖 약에 건강관리해도 죽을인간 죽더라', '안씻으면 면역력이 높아지나 장수했네', '그래도 난 씻으면서 93세까지 살란다. 드러', '저러고도 오래도사셨네', '오래사셨네', '아까보다 더 시커멓노ㅋㅋ', '어쩌면 저렇게 살아서 면역이 발달했을숟ᆞ', '', '청결, 흡연 다 무시', '모든 가설을 뒤집은 사람이네 안씻으면 병걸려 일찍죽는다 담배피면 폐암으로 일찍죽는다 ㅎㅎ 다 헛소리????', '', '더럽게 오래 살았네', '씻기 싫어하는 사람들은 명분 생겼네~', '안씻고도94세까지살아다는게신기하다', '잘 관리만 했으면 194살도 살아냈을것 같은 타고난 건강체질인듯.', '국내 청결충들이 노이해 하는 수명 ㄷㄷ', '살만큼 사셨네 ㅎ', '', '일부러 죽인거네. 안씻는게 장수 비결인데', '', '만공?', '진정한 자연인이십니다...', '엄청 장수했네', '', '와 저러고도 오래산거보면 확실히 효과(?)는 있는거 같은데? ㅋㅋㅋ', '', '이제 하다하다  별쓰뤠긔  같은 기사도 쓰네\n그렇게  기사  쓸 내용이  없나?', '', '안 씻은게 자랑이냐 그냥 더럽게 살다가 죽었나부다하면 끝인걸 기사까지 올리고 참 기사거리 없다;;', '사막기후에서는 가능할지도...', '사진좀 내려주세요  토나와요', '왜 씻으라고했냐  마을주민이 사람 죽였네 ... \n저런비슷한 내친구 인천에도 1명있다 ㅋㅋㅋ', '더러워', '안씻어 더럽다? 저 사람에게는 자연인이라는 표현이 나을듯 싶다. Rest in peace', '과학도 신도 맹신할 이유가 없다..모두 다 운명대로 산다', '', '와 그래도 장수하셨네', '인간의 몸뚱아리는 어쩌면 각자 따로 생존하던 세포들이 더 오래 생존하기 위해 뭉치고 뭉쳐져서 거대한 덩어리 유기체가 된 건지도 모른다. 그들은 세균과 함께 같이 죽지 않게 나름대로 환경에 적응하며, 자기들끼리 협력하고, 인간의 뇌가 인지하지 못 하는 사이 몸뚱아리 시스템을 업그레이드 하고 있을지도...', '차달남 나오셨던 그분 ㅎㅎ장수하셨네요', '더럽게 사는데 오래도 살았네. 면역력이 강한가봐', '', '', '', '더럽게사는사람이 희안하게병도안걸리고더오래살더라', '', '', '청결? 이게 면역이란다 애송이들아.', '냄새때문에 옆에 사람도 안온다는데 저꼴로 94세가 아니라 백세까지 살면 뭐하나 환자가 따로 없네', '천수를 누리셨네', '문재앙이 따라할까 무섭다.', '마음의상처가 이리무섭습니다. 여러분', '믿기도 힘든 희안한 일이 다있군요......', '가려워서 어떻게 살았지 전립선이 좋았나보네', '', '', '거지는 대머리가 없는줄 알았는데, 거지도 대머리가 있네. 안씻어서 대머리가 없는게 아니라, 될대로 되라는 자포자기의 마인드가 신경쓸일이 적으니 대머리가 안되는거였네.', '', '병균도 피하던 강력 코팅이 사라지니 결국…', '진작에 씻고 살았으면 200살까지 살았겠다.', '이렇게 더러운사진은 처음인듯 똥보다..', '더러운   것', '씻어서 부작용으로 사망한 듯', '워낙 더러우니까 자기 몸의 세포들은 그 더러움에 다 적응한 상태인데 외부에서 몸 안으로 들어온 병균들이 더러움에 적응한 강력한 세포들과의 싸움에서 못 이기고 못이기고 죽어버린 거지. 그래서 면역력이 강한 듯.', '이런것도 기사라고', ""내가 볼 때 강한척 하려고 '생전 단 한번도 해 본적 없는 담배 4까치 한꺼번에 피기 퍼포먼스'가 직접적인 사인이라고 본다."", '김어준은 0순위?', '삼가 명복을빕니다. 그곳에서는 누구보다 깨끗히 하셔서 천사처럼 빛나시길...', '[청결을 유지하면 자신이 불행해지고 결국 죽게 될 것이라고 믿었기 때문이다.] - 씻자마자 죽었네...', '이런걸 보면 진짜 인간의 생사는 정해져  있는듯...', '93살까지만 안 씻어도 되는구나 94살에 죽으면', '사람이 갑자기 바뀌면 죽는다는게 사실이었군', '', '미세먼지의 주범 드디어 사라졋네', '', '', '면역력 높이려면 조금 더러운게 좋을려나?', '드래곤볼 천하제일무도회에서 더러운게 무기인 뚱땡이 생각나네ㅋ', '잘못된 믿음이 사람을 이렇게 만든다  새겨 들을 사람들 잘 새겨 들어라', '사진좀 내려주세요', '메이크업이 아니라니 충격.. 사진찍고 인터뷰한 사람들의 후각에 박수를.', '선정적이거나 가십거리를 기사로 싣는 기레기 언론! \n\n진실과 정의와 공평은 기대하지도 않는다만 최소한 언론의 양심으로 국민의 눈과 귀는 막지 말아다오!\n\n화있을진저!!!', '음. 진정한 자연인이군', '저 정도로 안 씻으니까 세균도 피했었는데 씻어버려서 병걸림', '죽든지 말든지', '', '씻는거랑 수명이랑 관계 없다는 방증임', 'ㅋㅋ', '역시 인간은 적응의 동물이라니까. 킁킁.', '너무 더러워서 세균도 도망갔나보네', '94세면 살만큼 다살고죽은 호상인데 뭐', 'DDR도 안치고 사나', '', '귀신이 안씻는 귀신', '오래 사셨다 천당에선 깨끗하게 사세요', '나 돈 안처먹어다 깨꿋한척 하지들 말어 죄 안짓고 아무생각없이 걍 사는게 요즘 38광땡조다 18광땡이여', '', '', '엄마 -제발좀씻어 나- 나죽는거보고싶어?', '아 시바 더러워서', '우웩...', '몸에 암세포는 얼마나 있었는지 궁금..', '이 정도되면 세계적 예술의 경지다.\n경의를 표한다.', '', '', '겉은 까매도 속은 지구촌상위1프로의 깨끗함 그자체였네.', '더럽게 살고 먹었어도 장수했네. ㅋ', '그지를 왜 기사로해   별것을다', '', '', '이란 판 문재앙 🇰🇵', '', '']",https://www.newsquest.co.kr/news/articleView.html?idxno=200665,https://n.news.naver.com/mnews/article/005/0001562096?sid=104
2022.10.31.,아시아투데이,,"한림대학교성심병원, 의왕시사랑채노인복지관 찾아 무료건강검진 실시",,,https://www.asiatoday.co.kr/view.php?key=20221030010015176,http://www.newsquest.co.kr
2022.10.27.,뉴스1,,"노인 3명 중 2명, 독감 백신 접종…어린이·임신부 등 841만명 마쳐",,,https://www.news1.kr/articles/4845833,http://www.asiatoday.co.kr
2022.10.26.,KBS,,[풀뿌리K] “진안군 노인 이동권 실태와 대책은?”,,,https://news.kbs.co.kr/news/view.do?ncd=5587521&ref=A,http://news1.kr/
2022-10-27 11:59:54,중앙일보언론사 선정,사회,[김성탁의 시선] 노인 1인 가구 시대…걸을 수 있어야 산다,"[ 생후 6개월~만13세 접종률 약 44%…임신부 31%65세 이상은 올해 말까지, 어린이·임신부 내년 4월까지 접종    18일 오후 서울 중구 봉래동 서울역 다시서기희망지원센터 열린 서울시 노숙인 및 쪽방촌 주민 대상 무료 독감 예방접종 행사에서 의료진이 한 시민에게 독감 백신을 접종하고 있다. 2022.10.18/뉴스1 ⓒ News1 임세영 기자(서울=뉴스1) 음상준 기자 = 인플루엔자(독감) 무료 예방접종 대상인 고령층의 접종률이 접종 시작 2주만에 60%를 넘은 것으로 나타났다. 27일 질병관리청에 따르면 이날 0시 기준 무료 독감 예방접종을 마친 사람은 약 841만명이다. 이번 독감 국가예방접종은 지난달 21일 2회 접종 대상인 어린이를 시작으로 순차적으로 진행 중이다. 접종자 가운데 만 65세 이상 고령층은 601만5787명으로, 해당 인구 931만8186명 가운데 64.6%를 차지했다. 지난 12일 75세 이상을 시작으로 연령대별로 순차적으로 고령층 접종이 이뤄진 지 2주만에 노인 3명 중 약 2명이 독감 예방접종을 마친 셈이다. 무료 접종대상인 생후 6개월~만 13세 영유아와 어린이 접종률은 1회 접종자의 경우 490만910명 중 212만4451명이 접종을 마쳐 43.4%의 접종률을 기록했다. 2회 접종 대상인 영유아·어린이는 34만9528명 가운데 1차는 16만7530명(47.9%), 2차는 2만5618명(7.3%)이 각각 접종을 마쳤다. 임신부는 26만4152명 중 8만1027명(30.7%)가 독감 예방접종을 맞았다. 임신부 대상자 규모는 지난해 12월 행정안전부 인구통계상 0세 인구를 기준으로 했다. 한편 독감 무료접종 지원 대상군은 △생후 6개월~만 13세 이하 어린이(2009년~2022년 8월 31일 출생자) △임신부 △만 65세 이상 고령층(1957년 12월 31일 이전 출생자)이다. 65세 이상은 올해 말까지, 어린이와 임신부는 내년 4월 말까지 접종 가능하다.대상자들은 주소지 관계없이 보건소나 전국 2만여개 지정 의료기관에서 무료로 받을 수 있다. 예방접종 도우미 홈페이지와 스마트폰 애플리케이션(앱)에서 해당 기관을 확인하면 된다.   ]",[],https://www.joongang.co.kr/article/25110991,https://n.news.naver.com/mnews/article/421/0006420081?sid=102
2022.10.20.,하이닥,,"“노인당뇨병 관리, 합병증?방해요인 모두 잡아야 성공” [인터뷰]",,,http://www.hidoc.co.kr/healthstory/news/C0000739931,http://news.kbs.co.kr/
2022-10-26 19:35:22,내일신문,사회,노쇠한 노인 위한 고령친화병원 전환,"[               [KBS 전주] [앵커] 이번에는 각 시군에서 활동하는 언론사와 함께 지역 소식을 전하는 풀뿌리K 순섭니다.  먼저, 간추린 소식입니다.“고산면 석산 인근 주민들, 사업 연장 반대”완주신문입니다. 완주군 고산면 석산 근처 마을 주민들이 올해 말 사업종료를 앞둔 석산 업체가 재연장을 시도하고 있다며  이를 반대하는 집회를 가졌다고 보도했습니다.  신문은 지난 수십년 동안 석산 개발로 인한 비산먼지와 발파 소음 등의 피해가 계속돼  주민들이 질병에 시달리고 있다는 주장을 실었습니다. 신문을 보면 해당 석산 개발업체가  지난 해 6월 새 기계를 들이면서 사업을 연장하는 것 아니냐는 우려 속에  주민들은 사업 연장에 반대하는 서명 운동과 1인 시위, 집회를 이어왔습니다.“부안군-군의회, ‘부안상생협력센터’사업 놓고 대립”부안독립신문입니다. 부안군이  부안군의회에서 수차례 예산이 삭감된 ‘부안상생협력센터’사업을  최근 의회 예산안 심사에 다시 올려 대립하고 있다는 기삽니다.  신문을 보면 ‘부안군 상생협력센터’사업은 옛 해경 청사를 8억 원을 들여 새단장한 뒤 민간단체 사무실로 임대해주는 사업으로 부안군의회는 지난 7월 예산안 심의 때 사업명분이 없다는 이유로 전액 삭감했지만, 부안군은 운영 조례안을 만들어 다시 부안군의회에 제출했습니다. 부안군의회는 관련 조례의 구체성과 명확성을 두고 추가 논의가 필요하다며 심의를 보류했다고 전했습니다. “‘무주 출렁다리’…기대·우려 교차”무주신문입니다. 무주군이  자치단체마다 경쟁적으로 설치하고 있는 출렁다리 설치사업을 뒤늦게 추진하고 있어 기대와 우려가 동시에 나오고 있다는 소식입니다.  신문을 보면 무주군은 무주읍과 안성면, 부남면 3곳에 출렁다리 4개를 설치할 계획인데,  관광활성화에 대한 기대도 있지만  특색없이 우후죽순 설치하는 데 그치면  한계라는 우려도 있다고 전했습니다. 무주군은 부남면 출렁다리는 관광 시설이 목적이고,  나머지 3개 출렁다리는  사람이 다니는 다리로서의 목적이 크다고 밝혔습니다. “안전한 노인 이동권 보장 위해 도로 정비 시급”진안신문입니다. 안전한 노인 이동권 보장에 대해 진안 지역 노인들을 대상으로 한 설문조사 결과를 전했습니다.  신문은 진안 지역 65세 이상 노인 295명을 대상으로 설문조사 한 결과, '보행보조기를 이용할 때 예상되는 불편' 에 대해  인도와 도로 경계지역의 높은 턱때문에 이동이 불편하다는 답이 가장 많아  도로 환경 개선이 시급하다고 지적했습니다. 이번엔 앞서 전해드린대로 진안군 65세 이상 고령층의 이동권 실태와 대책에 대해 자세히 알아보겠습니다. 진안신문 화상으로 연결합니다. 류영우 편집국장, 나와 있습니다. 안녕하세요? 먼저, 진안 지역의  안전한 노인 이동권 문제에 대한 설문조사, 왜, 어떻게 진행된 건가요?[답변] 전북지역문제해결플랫폼은 전라북도민의 주도로 지역문제를 발굴하여 지자체, 공공기관, 기업 및 시민사회단체 등과의 협업을 통해 지역문제를 해결하는 민관공 협업체계입니다. 전북지역문제해결플랫폼에서는 지난 8월 한 달 동안 도민들을 대상으로 지역문제를 공모해 93개의 제안 중 지역성, 시의성, 도민체감성, 실현가능성 등을 고려해 실행 의제를 선정했는데요. 우리 진안군 지역에서는 ‘불편하고 안전을 보장받지 못하는 어르신 이동권 보장’ 의제가 선정됐습니다. 지난 9월28일부터 10월5일까지 65세 이상 어르신 295명을 대상으로 '도로 위 환경은 얼마나 위험한지' 설문조사가 진행됐습니다. [앵커] 요즘 고령층이 이동할 때 보행보조기를 많이 이용하는데,  이번 설문에서는 진안에서 보행보조기를 이용할 때 예상되는 불편에 대해 조사했다고요? 또, 불편을 감수하더라도  고령층이 이동하는 이유에 대해서도 알아봤다고 하는데 설명해주시죠.[답변] 네,‘보행보조기를 이용할 때 예상되는 가장 불편한 점이 무엇인지’에 대해 질문한 결과, 2개 이상 응답이 가능한 '보행보조기 이용 시 예상되는 불편'에 대한 질문에 688건의 응답 중 24%인 165건의 응답이 '인도와 도로 경계지역의 높은 턱'이라고 나왔습니다. 이와 함께 '인도 파손으로 인한 보행의 어려움'이 118건의 응답이 나왔고, '좁은 인도', '불법 주정차 차량', '입간판과 시설물 등 인도 위 적재물'이 뒤를 이었습니다. 또, 이런 불편을 감수하더라도 어르신들이 읍내에 나오는 이유에 대해서도 조사를 해봤는데요, 2개 이상 응답이 가능한 ‘진안읍내에 일을 보러 나오는 목적’에 대해 모두 848건의 응답이 나온 가운데, 33.8%인 287건이 ‘병원’에 가기 위해서‘라고 답했습니다. 뒤를 이어 ’상품구매‘와 ’미장원 등 서비스 이용‘, ’금융기관 이용‘ 등이 다음 순위를 차지했습니다. [앵커] 설문조사 결과 보행보조기가 필요하다고는 많이 느끼는데, 실제 이용해 본 고령층은  상대적으로 적다고요?[답변] 질문에 응답한 291명의 어르신 중 77.3%인 225명이 터미널에서 보행보조기를 무료로 제공해 준다면 이용할 의사가 있다고 답했습니다. 반면, 현재 진안읍에서 보조보행기를 이용해 본 적이 없다고 답한 응답자는 83.9%나 됐습니다. 이 같은 결과에 대해 이재민 전주대 교수는 ""보행보조기 사용이 필요함에도 불구하고 보행보조기를 사용해 읍내를 이동하는 것에 대한 부담이 큰 것으로 생각된다“라고 밝혔습니다. [앵커] 그렇다면 노인들의 안전한 이동권 보장을 위해 어떤 노력이 필요한지, 또, 도로 환경 개선을 위해 진안군은 어떤 대책을 세우고 있는지도 궁금합니다.[답변] '보행보조기 이용 시 예상되는 불편'에 대한 답변을 통해 진안읍 지역의 도로정비가 시급함을 시사하고 있습니다. 또한 가게와 자가용 운전자의 의식교육 또한 필요하다는 것을 보여주고 있습니다. 이밖에 면지역이나 읍지역에서도 비교적 먼 곳에 거주하고 있는 어르신들은 보행보조기를 버스에 싣고 다니는 불편함이 매우 커서 보행보조기 무료 대여소에 대한 필요성도 이번 설문조사를 통해 나타났습니다. 보행보조기 무료 대여소가 생기더라도 도로환경개선이 우선되지 않으면 무용지물일텐데요. 일단 진안군에서는 민선 8기 공약으로 ‘이동권 보장을 위한 배리어프리 확대’를 제시하고 있습니다. 전춘성 군수는 “장애인, 어르신, 임산부 등을 비롯한 군민이 지역 및 개별시설에 접근하고 이용, 이동시 불편이 없는 생활환경을 조성해 나가겠다”라고 밝히고 있습니다. [앵커] 네, 이번 설문조사를 통해 진안 지역 고령층의 이동 환경이 나아질 수 있는 계기가 되길 바랍니다. 오늘 말씀, 잘 들었습니다. 감사합니다. ]",[],http://www.naeil.com/news_view/?id_art=439712,https://n.news.naver.com/mnews/article/056/0011363373?sid=102
