Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.10.25.,제민일보,,[열린광장] 초고령사회 신노인세대 고민해봐야 할 것입니다,,,http://www.jemin.com/news/articleView.html?idxno=726135,http://www.jemin.com
2021.10.25.,이투데이,,"‘설거지론’, ‘퐁퐁단’…반복되는 온라인 커뮤니티발 혐오 논란",,,https://www.etoday.co.kr/news/view/2072096,http://www.etoday.co.kr
2021.10.03.,매일신문언론사 선정,,조원진 우리공화당 대표 “노인을 존경하고 사랑하는 사회 만들 것”,,,https://news.imaeil.com/page/view/2021100313380505716,http://www.imaeil.com/
2021-10-03 13:39:11,뉴시스,정치,"내일은 '노인의 날'…인권위 ""노인 인권보호 대책 시급""","[ 2일 제25회 노인의 날 축하  “노인에 대한 차별, 혐오 없는 사회가 건강한 사회” 약속  ​    조원진 우리공화당 대표 / 우리공화당 제공우리공화당은 제25회 노인의 날을 맞은 2일 '노인을 존경하고 사랑하는 사회를 반드시 만들겠다'고 약속했다.​조원진 우리공화당 이날 보도자료를 통해 ""자유대한민국을 북한 공산정권에서 지키고 이만큼 세계적인 선진국으로 만드신 분들이 바로 이시대의 어르신""이라면서 ""한평생 가정과 국가를 위해 헌신하신 어르신이 존경받고 사랑받는 사회야말로 진정한 선진국이다. 우리공화당은 노인이 존경과 사랑을 받고 안정된 생활을 하실 수 있도록 어르신들의 건강과 복지, 노후소득 보장체계를 체계적으로 마련하겠다""고 말했다.​이어 ""문재인 좌파독재정권은 거짓촛불 세력들을 앞세워 노인에 대한 차별, 혐오를 조장하여 세대간 갈등이 더욱 심화되었다""면서 ""100세 시대, 청년과 노인, 미래세대와 기성세대가 함께 공존하는 성숙한 사회를 만들어야 한다""고 강조했다.​특히 조 대표는 과거 일부 촛불세력들이 어르신들을 '틀딱'이라는 혐오발언을 한 것과 관련 ""자신의 가정과 자녀들을 위해 자신의 건강조차 제대로 챙기지 못한 세대가 바로 어르신들인데 어찌 어르신을 감히 폄하할 수 있는가""라면서 ""진짜 틀딱은 국민의 마음을 잃지 못하고 자유대한민국을 외면하고 좌파사회주의로 가려고 몸부림치는 문재인 정권""이라고 지적했다.​끝으로 조 대표는 ""이제 노인들이 젊어지는 새로운 시대가 왔고, 본인의 경험과 기술을 바탕으로 제2, 제3의 인생도전을 하는 어르신들이 우리 주변에 매우 많다""면서 ""우리공화당은 100세 시대 새로운 도전을 힘차게 하는 어르신들의 아름다운 삶과 도전이 성공할 수 있도록 응원하고 아낌없이 뒷받침할 것""이라고 응원하기도 했다. ]","['망한 대한민국을 바로세울 정의와 의리의 저치인.반공정신투철한 정치인 ♡우리공화당 조원진대표님♡이 대통령되셔야 자유대한민국을살려낼수 있습니다.\n국민여러분 꼭 조원진을 대통령으로\n만들어 주세요.\n소망합니다🙏🙏🙏\n🇰🇷🇺🇸💕', '세대갈등을 조장하는 자는 지도자감이 아닙니다. 조원진대표의 말대로  어른을 공경하는 문화가 성숙한 문화입니다. 대권 출마를 한다면 지지와 응원을 보내겠습니다.', '우리공화당 조원진대표\n10월4일  13시  서울 소라탑 광장에서 대통령 후보\n출마 선언을 한다.', '우리나라를 일류국가로 발돋움 시킬 수 있는 탁월한 정치적 능력의 소유자 우리공화당 조원진 차기대통령을 지지합니다!', '노인이 존경받는 사회가 되어야만 국민들이  행복해집니다', '대한민국 마지막 자존심  지켜줄 조원진. 참정치인 . 청렴결백  .애국자.조원진  ! 꼭 대통되서 부패한  법조인 .정치꾼들 .민노총.전교조.토착빨갱이들 어휴 넘많네.   미치광이 나라를  바로 잡아주세요.', '지금의 어르신 분들은  박정희 대통령시절 훌륭한  지도자와 함께 조국 근대화의  기수들 이시며  고도의 경제성장의 주역들 이십니다!  이런 어르신분들의  피땀어린  노력으로 현재의 우리가 풍요로움을 누릴수 있는것입니다!  은혜를 모르는 사람이 되어서는 절대로 안됩니다!  이풍요로운 나라를 후손들에게 온전히  물려주기 위해서는   저 사악한 여ㆍ야 정치꾼들을 하루속히 몰아내어  올바른 나라를 만들어야 합니다! 그중심에 조원진이 있으며  그와함께  새로이 도약하는 대한민국을 만들어 가야 합니다!', '그래도 변함없이 투쟁하는 우리공화당 응원합니다 \n힘내서 정권교체 이루세요', '리틀 박정희대통령님  조원진 대통령가자 \n우파여 조원진으로 나라 재건합시다', '참 정치인 조원진 뽑아서 부패 정치인 구속 좀 시킵시다.', '조원진 한결같고 청렴한 사람이네~믿음직하다', '조원진 최고입니다 의리의 사나이 휼령하시고  똑소리나신 분 존경합니다', '우리공화당의 노인정책은 타정당에서는 볼수없는 공약이다', '', '어른 공경 사회   우리공화당   응원합니다', '대구매일. 아니 매일매일 조원진같은 정치인 바른 뉴스로 대한민국을 제데로 세워봅시다. 조원진과 함께', '역시 조원진이 보수우파의 적자군요', '우리공화당 조원진대표님 응원합니다! \n으랏차차 ~10월4일 1시 소라탑 앞으로 모입시다', '으랏차차 ~조원진', '공정하고 정직한 사회를 만들수 있는 유일한 희망 우리공화당 조원진 차기대통령을 지지합니다!', '조원진 우리공화당 대표님 쵝오👍 차기대통령', ',역시 우리공화당입니다~', '노인들이라고 했지만 그건 곳 가정의 회복을 의미한다. 가정이 해체되고 있다. 가정을 회복시켜야 합니다. 조원진 화이팅', '어른을 공경 할 줄 모르는 젊은이들 \n이 기사를 많이 봤음 좋겠습니다\n어른들께서 대한민국 초석을 만들어 주셨는데 공경 받아 마땅하지요.\n우리공화당 조원진대표님 적극 지지합니다', '우리공화당 조원진후보님 응원합니다', '참신한 정치인. 응원하니 꼭 성공하시기 바랍니다.', '맞습니다! 조원진  대표가 노인을 공경하는 건강한 사회를 만들어 주세요~', '우리공화당 조원진대표님 지지합니다', '조원진대표님! 응원합니다.', '이렇게 훌륭한 정치인은  처음 보는것 갔읍니다 노인을 섬길줄 아는 정치인  국민과나라를 정상으로 잡아 주시길 기원합니다.', '노인 공경하면 방역정책 충실히  따러\n노인들  코로나에  취약하다', '노인을 공경하는 멋진 정치인 조원진 꼭 대통령이 되시길 바랍니다', '남은 대선기간동안 언론들이 조원진대표를\n주목해준다면 국민들도 이사람이 지도자감이\n란걸 께치게될텐데 아무리봐도 국민의힘지금\n대선주자들을보면 역대최악이라서 도무지 투표하고싶은 생각이 들지않는다\n반문재인정서도 많겠지만 \n반국민의힘정서도 우파국민들 사이에 엄청나게\n늘고있다는걸 국민의힘은 뼈저리게느끼게될 대선이될것이다', '정치꾼이아니라 진정으로국민을생각하는 정치인조원진대통령이답이다', '역시 우리공화당 조원진 대표님다운 말씀에 감사합니다.  정치를 바꾸자. #박근혜대통령께자유를 #우리공화당과함께희망을 #조원진대통령', '조원진대표님 알뜰 하시계 챙겨 주시는 우리공화당 \n조대표님 마음이  아릅답습니다 !!!', '조원진  의원 시절에도ㆍ어르신들께서도ㆍ상  을 주셨답니다ㆍ워낙에ㆍ어르신들께  예의바르고ㆍ공손하고   ㆍ흠답을때가 없는  정치인  입니다', '조원진 힘내요', '역시 진실되고 똑똑하며 예의가 바른군', '가장 정의롭고 청렴한 조원진 차기대통령을 지지합니다!', '조원진 이란 사람 알아보니 지금 나와있는 후보들 중에서 제일똑똑하고 훌륭하네요~노인공경 할줄아는 이런자가 대통령감 아닌가요?', '정의로운 조원진 대표가 진정한 대통령감이네요. 대통령 되어 나라를 바로 세워 주세요.', '우리공화당 외엔 없네~\n우리공화당 화이팅!', '나이    먹어  가는것도     서러운데    무관심까지     받는다면      정말    서러운    일이죠\n나라가     건국되고     보리고개를   맞으면서\n그래도    잘사는  나라와   가정을    위해\n땀흘리며     열심히     살아오신  분들     입니다      충    효    예 는     그나라의     근본임을\n기억하면      좋겠네요', '국짐당. 배신정치모리배, 떠블당에서 퇴출된 정치모리배, 집단!!!  중좌파로 좌회전 하고, 비석 돌빨러다니는 위정자 집단. 이나라의 부강에 몸바쳐 애국한 노인분들에게  극좌틀닥 이라고, 비웃던 집단, 국짐당.  선거  때만되면, 아첨부리며, 표구걸 하러 다니는, 구린 정치모리배들. 국짐당 해체만이  대한민국의 미래를 찾을수 있다.    단 1  조원진!!!!  화이팅', '지지부진한 국힘을 보고 속터젔는데 우리공화당 화이팅 하세요', '노인을 공경 할 줄 아는 젊은 세대들이 대한민국 주역이 되어야겠지요. 우리 공화당 조원진대표님 적극 지지합니다', '조원진 대표님과 이언주 전의원 김진태 전의원은  어느당이던지 국민들이  최소한 현역 국회의원을 만들어 줘야한다. 그래야 국회정화가 된다.', '늙으면 죽는게 최고!', '국가관 뚜렷 하고 경제학에 박식하시며 어른을 공경할줄 아는 조원진 여야 후보를 모두 합해도 조원진을 따라 잡을수없다 비린내가 너무나 조원진 대통령 가즈아 응원합니다', '노인을 위한 나라는 없다던데', '박대통령님  님만이 이나라를  건질수   있습니다', '믿을수 있는정치인은 조원진. 5년간 좌파들에게 탈탈 검증 받고. 떳떳한 사람이 대통령 되야함~!', '대통령  조원진 강력 지지합니다', '여태지켜보았지만 한결같이 언행일치되는 정치인 이네요 우리공화당 조원진  희망을 보았습니다', '가장 서민다운 대통령이 될수있는 후보자는 조원진 후보밖에 없는것같습니다.몇년동안 지켜봐왔지만 한결같은 우직함과 진정성있는 뚝심은 조원진후보를 알게되면 다 존경하게된다고 얘기를 하더라고요!남의 눈치보지않고 자신이 옳다고 생각하는 길만 묵묵히가면서 오로지 국민과 국가를위해 헌신하고 봉사할수있는 지도자감이란 생각이들었습니다.!만약 조원진 후보가 대통령이 된다면 대한민국은 더할 나위없이 축복받는 나라가될것입니다.!조원진 후보가 기회주의적이고 사욕넘치는 사람이였다면 지금쯤,국민의역적당에서 당대표를 하고도남았을 훌륭한 지도자란 생각이듭니다!', '어휴 저 독재찬양하는게 딱 괴벨스 따라하는거 봐라!!!', '아 댓글다는 틀딱들 이런사람들 술처먹고 마스크 벗고 개진상 민폐짱이던데~', '저놈들은 늙지않고 불로장생 할 것인가 바르게 살지않고 뒤틀린 심상으로 살아온 자들은 그만한 벌을 받게 될 것이다', '박근혜 죽이는  개박감별사  조원진은 간신 인간 말종이다 우파 분열  시키어서 네놈 키워준 박근혜를 감방에서  썩게 만드니']",http://www.newsis.com/view/?id=NISX20211001_0001600277&cID=10201&pID=10200,https://n.news.naver.com/mnews/article/088/0000723944?sid=100
2021.10.04.,스포츠서울,,'오징어 게임' 황동혁 감독이 밝힌 #논란 #번호 유출 #약자 혐오 #신파 #표절...,,,http://www.sportsseoul.com/news/read/1066303?ref=naver,http://www.newsis.com
2021-10-01 12:00:00,광주매일신문,사회,공경은 없고 혐오 대상이 된 노인,"[ 기사내용 요약송두환 인권위원장 명의 성명 ""노인들 학대, 차별, 혐오 노출""    [수원=뉴시스] 김종택기자 = 지난해 10월2일 경기 수원시 팔달구 화홍문 인근 공원에서 한 어르신이 의자에 앉아 시간을 보내고 있다. 2020.10.02.jtk@newsis.com[서울=뉴시스] 이윤희 기자 = 국가인권위원회(인권위)가 오는 2일 '노인의 날'을 맞아 ""우리사회가 노인의 기본적 인권보호와 존엄한 일상적 삶을 보장해야한다""고 촉구했다.인권위는 1일 ""빈곤, 자살, 학대, 코로나19 등으로 취약성이 심화하는 노인 인권보호 대책을 시급히 마련해야 한다""는 송두환 위원장 명의의 성명을 냈다.인권위는 ""한국사회에서 노인은 빈곤과 자살, 학대 등으로 노년 시기에 존엄한 일상적 삶을 영위하지 못하고 있다""며 ""특히 코로나 위기 속 돌봄 공백과 높은 치명률 등으로 취약성이 심화되고 있다""고 진단했다.그러면서 ""대한민국 헌법은 인간으로서의 존엄과 가치, 행복을 추구할 권리는 규정하고, 노인복지법은 후손 양육과 국가 발전에 기여한 노인이 존경받으며 안정된 생활을 보장받아야 한다는 기본이념을 제시하고 있다""고 언급했다.이어 ""아직도 수많은 노인들이 학대, 차별, 혐오 등을 겪고 있는데 이를 해결하기 위해서는 노인을 '정책 대상'으로 여긴 시각에서 벗어나 '권리 주체'로 바라보는 인식 전환이 필요하다""고 강조했다.인권위는 끝으로 ""우리 사회가 노인의 기본적 인권보호와 존엄한 일상적 삶 향유를 위해 더 각별한 관심을 갖기를 희망한다""고 전했다. ]",['늙으면 죽는게 최선!'],http://www.kjdaily.com/article.php?aid=1633429140557333019,https://n.news.naver.com/mnews/article/003/0010747160?sid=102
2021.10.19.,공무원수험신문,,"신열우 소방청장, ‘Live Together’ 챌린지…혐오 대신 포용을",,,http://www.gosiweek.com/18774,http://www.sportsseoul.com/
2021-10-04 07:00:00,국제신문,,경로당이 혐오시설 된 사회…초고령 도시 부산의 민낯,[],[],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20211005.33008000720,https://n.news.naver.com/mnews/article/468/0000792322?sid=106
2021.10.30.,한겨레언론사 선정,,"깊은 주름·검버섯 다 그린 우리 초상화, 긴 수고의 흔적 읽기",,,https://www.hani.co.kr/arti/culture/culture_general/1017281.html,http://www.kjdaily.com
2021.10.18.,경기일보,,[경제프리즘] 장수가 여전히 축복인 사회를 만들자,,,http://www.kyeonggi.com/news/articleView.html?idxno=2385036,http://www.gosiweek.com
