Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.06.26.,아시아투데이,,"中, 여성·노인 등 노약자 대상 패륜범죄 빈발",,,https://www.asiatoday.co.kr/view.php?key=20220626010014368,http://www.asiatoday.co.kr
A29면 1단,매일경제,,노인대상 범죄에 혐오까지…고통받는 어르신,,,http://news.mk.co.kr/newsRead.php?no=520656&year=2022,http://www.mk.co.kr/
2022-06-14 17:29:02,시민일보,사회,"시흥경찰서, 여성-노인-청소년 등 사회적 약자 대상 범죄 예방 위해 합동순찰...","[ 15일 노인학대 예방의날돌봄 못받는 독거노인 늘며범죄피해 5년새 6만건 급증15일 정부가 지정한 '노인학대 예방의 날'을 맞지만 노인을 대상으로 하는 범죄는 급증하는 것으로 집계됐다.유엔과 세계노인학대방지망(INPEA)은 매해 6월 15일을 '세계 노인학대인식의 날'로 지정했고 한국은 2017년부터 이날을 '노인학대 예방의 날'로 지정했다. 14일 경찰청에 따르면 61세 이상 노인이 범죄 피해자인 경우는 2020년 20만9837건으로 2015년 14만6925건이었던 것에 비해 5년 새 6만건 이상 증가한 셈이다. 이 중 노인 대상 폭력(상해, 폭행 등) 및 강력범죄(살인, 성범죄 등) 수는 2015년 2만9630건에서 2020년 3만4238건으로 치솟았다. 노인학대 신고 건수도 꾸준히 증가하는 추세다. 이날 경찰청의 '2021 사회적 약자 보호 치안백서'에 따르면 노인학대 112신고는 2017년 6105건에서 2021년 1만1918건으로 급증했다. 신고 건수가 늘어나면서 경찰에 검거되는 사례도 증가했다. 박승희 성균관대 사회복지학 교수는 ""사회가 물상화하면서 기존 대가족이 해체돼 가족의 돌봄을 받지 못하고 혼자 살거나 노인들끼리 거주하는 경우가 늘어났다""며 ""노인은 사회 구조적으로 약자의 위치에 있다 보니 자연스럽게 범죄에 노출되는 빈도가 증가할 수밖에 없다""고 설명했다.고령사회에 진입함에 따라 노인을 범죄 표적으로 삼는 착취형 범죄가 같이 증가했다는 시각도 있다. 노인 혐오가 만연한 사회 분위기도 범죄 피해자 양산에 한몫하고 있다. 국가인권위원회 조사 결과에 따르면 ""오프라인 실생활에서 가장 혐오하는 대상이 누구냐""는 질문에 노인(69.2%)이라고 답한 혐오 경험자가 가장 많았다. 온라인의 경우 여성, 특정 지역 출신, 페미니스트, 노인 순서였다. ]","['노인때문에 우리도 고통받고 괴로움\n\n노인만 불쌍하다고 생각하지마라', '', '화장터좀 가세요']",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160272292037684,https://n.news.naver.com/mnews/article/009/0004977574?sid=102
2022.06.15.,메디컬투데이,,'노인학대관련범죄에 사기·횡령·배임 등 추가' 추진,,,https://mdtoday.co.kr/news/view/1065575964247551,http://www.siminilbo.co.kr
2022.06.27.,아시아경제,,"""무슨 원한이 있길래""…중국서 젊은이들이 노인 폭행하는 영상 확산",,,https://view.asiae.co.kr/article/2022062617045988957,http://www.mdtoday.co.kr
A27면 TOP,이데일리,,"학대당하는 노인들, 112신고 年1만건…‘암수범죄’도 우려",,,http://www.edaily.co.kr/news/newspath.asp?newsid=03171766632362048,https://www.asiae.co.kr/
2022-06-27 00:52:00,YTN,세계,"미국 캘리포니아, 아시아계 대상 증오범죄 177% 급증","[ 여성·노인 등 노약자 대상 패륜범죄 빈번히 발생    24일 산시성 타이위안 쉬시촌의 한 거리에서 발생한 노인 집단폭행 사건 현장. 6명의 청년들이 노인 한 명을 무자비하게 때려 초죽음에 이르게 했다./ 사진=타이위안 의 한 누리꾼 사회관계망서비스(SNS) 캡처중국 산시성에서 한 젊은 남성이 노인의 머리를 발길질하는 영상이 확산 중이라고 자유시보 등 대만 언론이 26일 보도했다.보도에 따르면, 지난 24일 오후 5시경 중국 산시성 타이위안시의 지역 내 한 길거리에서 젊은이들이 노인을 폭행하는 사건이 발생했다.이들은 노인을 밀어 넘어뜨렸으며, 이후 한 남성이 노인의 머리를 두 차례 힘껏 발로 찼다.당시 쓰러져 의식을 잃은 노인의 지인이 무릎을 꿇고 빌었지만, 또 다른 남성은 술병으로 쓰러진 노인을 다시 폭행하려고 시도했다.신고를 받은 관할 공안은 신속하게 출동해 남성 3명과 여성 2명을 검거하고 피해자를 병원으로 후송했다.사건을 접한 대만 누리꾼들은 ""탕산에서 여성을 집단 구타하더니 타이위안에서는 노인을 때린다"", ""무슨 원한이 깊어 머리를 발로 차나"", ""너무 잔인하다"", ""엄벌에 처해야 한다"" 등 비난의 목소리를 냈다.앞서 지난 10일 중국 허베이성 탕산시의 한 식당에서는 20대 여성 4명이 성추행을 거부한다는 이유로 남성 7명에게 집단 구타를 당하는 사건이 일어나 여론의 분노를 샀다.관할 공안은 사건 신고가 접수된 후에도 늑장 출동을 했으며, 피해 여성들이 무자비하게 폭행을 당했음에도 사법 감정 의견서에는 2명은 경상, 2명은 부상이 경미한 수준이라고 기재된 사실이 알려져 파장이 커졌다.허베이성 공안청은 부실 대응책임을 물어 공안국 지국 부국장을 해임하고, 지국장 등 공안 간부 5명을 엄중한 기율 위반 혐의로 조사 중이라고 밝혔다.이외에 아동을 대상으로 한 구타, 성적 착취 등의 범죄들 역시 이번달 들어서만 중국 곳곳에서 이루 헤아릴 수 없이 많이 발생한 것으로 추산되고 있다.이렇듯 중국에서 여성 및 노인, 아동 등의 노약자들을 대상으로 한 패륜 범죄가 최근 빈발하고 있어 사람들의 분노를 사고 경찰을 비롯한 당국의 골치를 썩이고 있다.당장 대응책을 마련하지 않을 경우 패륜 범죄들이 심각한 사회 문제가 될 것으로 우려되고 있다. 하지만 현재로서는 뚜렷한 대응책 마련이 쉽지 않아 당국의 고민이 깊어갈 전망이다. 이제는 더 큰 사회 문제로 나타나기 전에 중국 당국이 패륜 범죄 근절을 위해 나서야 할 때다. ]",['짱깨들 하는짓거리들이 그렇지'],https://www.ytn.co.kr/_ln/0104_202206291702133042,https://n.news.naver.com/mnews/article/277/0005108701?sid=104
2022.06.20.,로이슈,,"부산준법지원센터, 노인복지관에 미용 기술 가진 사회봉사명령대상자 지원",,,http://www.lawissue.co.kr/view.php?ud=2022062015065442999a8c8bf58f_12,http://www.edaily.co.kr/
2022-06-15 17:00:01,메디컬투데이,사회,'노인학대 사기·횡령·배임 등 추가' 추진,"[ 노인학대 신고 작년 1만1918건…전년比 22.8%↑학대장소 ‘가정 내’ 97%…배우자·아들 등에 의해가족 범죄인 탓에 처벌 불원 많아[이데일리 이소현 기자] “죽어, 딸 고생시키지 말고 그냥 죽어.”파킨슨병으로 거동이 불편한 A(73·여)씨는 서울 강남구 자택에서 요양보호사에게 학대행위를 당한 트라우마를 겪고 있다. 그는 2019년 11월부터 국민건강보험공단 B센터 소속 요양보호사의 요양보호를 받았다. 어느 날 화장실에서 나오던 A씨를 부축하던 요양보호사는 욕설을 들었다는 이유로 A씨의 몸을 밀쳐 바닥에 넘어지게 했다. A씨는 화장실 앞문에 쓰러져 “도와 달라”, “경비아저씨를 불러달라”고 외쳤지만 소용 없었다. 2~3시간 동안 바닥에 누운 채 방치된 A씨는 요양보호사로부터 “우리 둘밖에 없으니 넘어져서 돌아가셨다고 하고 나만 입 다물고 있으면 모른다, 그냥 죽어”라는 폭언까지 들었다. 서울중앙지법은 작년 5월 노인복지법 위반 혐의로 재판에 넘겨진 요양보호사에게 징역 10월에 집행유예 2년을 선고했다.     (사진=이미지투데이)노인학대 112신고 연간 1만건 돌파15일 ‘노인학대 예방의 날’이 올해로 6회째를 맞은 가운데 노인학대 범죄 112신고 건수가 작년에만 1만건을 넘는 등 증가세를 보이고 있다. 노인학대 범죄의 대부분은 외부에서 알아채기 어려운 가정 내에서 이뤄지고 있었다. 범죄통계에 잡히지 않은 ‘암수범죄’ 우려도 커 대책 마련이 요구된다.경찰청의 ‘2021 사회적 약자 보호 치안백서’에 따르면 작년 노인학대 112신고는 1만1918건으로 전년(9707건) 대비 22.8% 늘었다. 2017년 6105건 수준에서 2018년 7662건, 2019년 8545건 등 최근 5년간 2배 가까이 급증했다. 경찰청은 “그간 시설종사자 대상 신고의무 교육, 신고의무자 직군 확대, 노인보호전문기관 확충 등 대응체계가 강화됐다”며 “홍보를 통해 피해에 대한 인식이 높아지면서 노인 스스로도 학대피해를 참지 않고 신고하는 등 여러 요인이 영향을 미친 것”으로 분석했다.실제 노인학대로 밝혀진 판정 건도 늘었다. 보건복지부의 ‘2021 노인학대 현황보고서’에 따르면 작년 노인학대로 판정된 건수는 6774건으로 전년(6259건) 대비 8.2% 증가했다. 2017년 4622건 수준에서 2018년 5188건, 2019 5243건 등 최근 5년간 1.5배 늘었다.노인학대 범죄가 늘면서 경찰 검거 사례도 꾸준히 증가하고 있다. 작년 노인학대 검거는 2886건으로 전년(2336건) 대비 23.5% 늘었다. 노인학대 행위유형을 보면 신체적 학대가 82.2%로 대부분을 차지했고 정서적 학대(9.4%), 방임(1.0%), 경제적 학대(1.0%), 성학대(0.1%) 순이었다. 노인학대 97%, 가정에서…“처벌불원도 많아”경찰청 통계를 보면 노인학대는 100건 중 97건이 가정 내에서 발생했다. 나머지는 공공장소, 노인복지시설, 병원 등에서 벌어졌다. 코로나19 영향으로 집에 머무는 시간이 길어지면서 동거가족 간의 갈등이 늘은 영향이다. 복지시설은 시설 출입 제한, 돌봄 종사자의 과도한 업무 등 탓에 노인학대의 발생 가능성이 커진 것으로 분석된다.복지부 통계에서 노인학대 학대행위자를 유형별로 보면 노인 부부의 증가로 배우자가 29.1%(2455명)로 가장 많았고 아들 2287명(27.2%), 시설(25.8%) 등이 뒤를 이었다. 학대행위자 대부분이 보호자를 비롯한 가족이고, 가정이라는 환경의 특수성을 고려할 때 ‘암수범죄’도 많을 것으로 경찰은 보고 있다. 학대를 받았지만 ‘가족’이란 이유로 신고하지 않거나 못한 이들이 많을 것이란 얘기다.실제로 배우자나 자녀 등 가족에 의해 일어나는 노인학대 범죄는 ‘부끄러운 가정사’로 여기거나 가족에게 피해가 갈 것을 우려해 감추고, 드러나도 처벌을 원치 않는 경우가 적지 않다. 지난 2월 서울 서대문구 자택에서 친아들로부터 노인학대 피해를 본 피해자 C(83·남)씨는 “석유로 집에 불을 지르겠다”는 폭언과 신체 위협을 받았지만, 존속협박 혐의를 받는 아들의 형사처벌을 원치 않는다는 취지의 처벌 불원서(청원서)를 법원에 내기도 했다.65세 이상 노인 비율이 인구의 20% 넘는 초고령사회로 빠르게 진입하면서 노인학대 범죄는 더욱 증가할 것이란 관측이다. 예방과 수사, 사후관리 등을 아우르는 컨트롤타워가 절실한 이유다. 경찰 관계자는 “지속적이고 반복적으로 이뤄지는 노인학대의 악순환을 끊으려면 지역사회 공동체를 중심으로 관계기관이 참여하는 ‘노인학대 공동대응체계’가 필요하다”며 “경찰의 엄정한 현장대응 및 수사, 지역사회의 노인학대 사전예방 및 인식개선 사업, 피해 노인의 보호와 지원, 전문기관 및 보호시설 확충 등이 종합적이고 체계적으로 맞물려야 한다”고 강조했다. ]","['평생을 고생하며 살았는데 학대라니요~~\n제발 그러지맙시다', '못된  요양보호사들  처벌 강화시켜야  합니다', '말못하고 기어다닐때 , 궁금한게 많을때 짜증도 안내고 알려주시고 업어키워준 분들에게 학대라니 , 그 와중에 자식이라고 처벌받지않기를 바란다며 처벌불원서를 내밀어준 그분들의 심정은 얼마나 참담할까...', '저런게 자식이라고 나도 처지가 아니지만 참', '요양원 노인 학대사건 잊을만하면 터짐']",https://mdtoday.co.kr/news/view/1065578668351592,https://n.news.naver.com/mnews/article/018/0005242578?sid=102
2022.06.03.,헬스조선언론사 선정,,"정·그리움 이용… 노인들, 왜 보이스피싱 타깃되나 [별별심리]",,,https://health.chosun.com/site/data/html_dir/2022/06/03/2022060300865.html,http://www.ytn.co.kr/
