Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.03.31.,서울신문언론사 선정,,노화방지·체중조절…기네스 팰트로도 빠진 ‘김치 효과’[헬스픽],,,https://www.seoul.co.kr/news/newsView.php?id=20210331500133&wlog_tag3=naver,https://www.seoul.co.kr
2021-03-31 15:22:18,주간경향언론사 선정,생활/문화,[메디컬스토리](4) 노화는 질병이다-건강한 100세를 위한 10가지 방법,"[ 코로나 증상 완화하는 효과도사망률 낮은 한국… 김치 주목    기네스 팰트로 인스타그램, 김치 이미지 코로나19 유행 이후 ‘김치 열풍’이 심상찮다. 유명 배우 기네스 팰트로는 “김치를 먹으며 코로나19를 극복했다”고 말해 화제를 모았고, 지난해 11월 영국 내 김치 판매량은 3월 대비 8배로 증가했다. BBC, 가디언 등 주요 매체들이 김치 담그는 법이나 김치를 활용한 음식 레시피를 잇달아 소개했다. ‘레스토랑 매거진’의 편집자 슈테판 촘카는 주요 음식 트렌드로 김치를 꼽기도 했다.김치가 면역력을 높이는 데 효과가 있다는 소문과 발효된 배추김치가 코로나19 예방 효과가 있다는 프랑스 연구진의 주장이 언론에 소개된 영향이 컸다. 레딧 등 해외 주요 커뮤니티에는 김치 담그기 인증샷과 노하우가 올라오고 있다.김치는 영양면에서 매우 우수하다. 주재료인 배추, 무, 열무, 갓, 고추, 파, 마늘, 생강 등에는 많은 양의 항산화 비타민인 비타민 A, C와 무기질, 섬유질이 함유되어 있어 각종 비타민이 풍부하다. 발효 과정을 거쳐 맛있게 익게 되면 비타민C가 많아지고 고추, 무청, 파, 갓, 열무 등의 녹황색 채소가 많이 섞이면 비타민A(카로틴)가 많아진다.성인 1인 1회 분량의 배추, 열무 등의 김치를 (약 40~60g) 하루 3회 정도 섭취할 경우 비타민C는 약 배추김치 17~25mg, 열무김치 30~45mg으로 한국인 1일 권장량인 100mg의 1/3 정도를 김치로부터 섭취할 수 있게 된다.이와 관련 세계김치연구소는 “장 부스케 프랑스 몽펠리에대 폐의학과 명예교수 연구팀과 공동 연구에서 김치 재료인 배추, 고추, 마늘 등에 함유된 영양 성분이 인체 내 항산화 시스템을 조절해 코로나19 증상을 감지하는 신경 채널을 차단, 증상을 완화한다는 결과를 도출했다”고 31일 밝혔다.    지난 1일 서울의 한 대형마트 직원이 진열돼있는 김치 상품들을 정리하고 있다.연합뉴스  ● 김치 유산균 유해한 활성 산소 제거연구팀은 한국 등 동아시아, 사하라 인근 아프리카 국가에서 사망률이 낮은 데 주목하고, 사망률이 낮은 국가 중 호주, 뉴질랜드를 제외한 대부분 국가가 김치와 같은 발효 채소 또는 다양한 향신료를 많이 섭취한다는 공통점을 찾았다. 이번 연구 결과는 면역학 분야 국제 학술지(Clinical and Translational Allergy) 지난해 12월호에 실렸다.연구팀은 김치의 영양 성분과 발효 과정에서 생기는 유산균이 인체 내 항산화 시스템인 Nrf2(Nuclear factor erythroid 2-related factor 2)와 상호 작용해 코로나19로 생기는 인체 내 유해한 활성 산소를 제거한다는 사실을 밝혀냈다.장 부스케 명예교수는 “김치는 항산화 성분이 풍부하고 일시적 수용체 전위 활성을 낮출 수 있어 코로나19 증상 완화에 매우 효과적”이라며 “한국에서 코로나19 사망률이 낮고, 중증 환자가 적은 것은 김치 덕분일 수 있다”고 강조했다.    뉴욕타임즈(NYT)에 ‘한국의 김치, 세계인을 위한 것’이라는 제목의 김치 광고가 게재됐다.서경덕 교수 제공● 체중 조절·노화 방지·성인병 예방김치가 발효되어 생기는 유산균은 발효과정에서 장내 유용 미생물의 증식에도 도움이 되며 변비와 대장암 예방에도 좋다. 김치에 들어가는 다양한 채소들은 열량이 적고 식이섬유를 많이 함유하고 있어 체중조절에 도움을 주고, 특히 고추에는 캡사이신이라는 성분이 있어 신진대사작용을 활발히 함으로서 지방을 연소시켜 체중조절에 도움을 준다.마늘, 파 등 김치의 재료들에는 항산화 비타민과 항세균 성분이 풍부하여 노화를 억제하고, 암을 예방하며 면역을 증강시키는 효과가 있다. 김치에 들어있는 각종 채소의 식이섬유와 향신료, 유산균은 혈중에 있는 나쁜 콜레스테롤을 떨어뜨려서 각종 성인병의 예방 및 치료에 도움을 준다.최학종 세계김치연구소 소장 직무대행은 “해외 연구진도 우수성에 주목하고 연구 주제로 다룰 정도로 김치의 가능성은 무한하다”며 “세계김치연구소를 비롯해 한국생명공학연구원,한국화학연구원, 전북대 등 국내 연구진도 코로나19에 대한 김치의 효능을 검증하고 있다”고 말했다.김유민 기자 planet@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭!  ▶ [인터랙티브] 코로나 청년 잔혹사   ▶ [나우뉴스] 세상에 이런 일이ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지   ]","['밥값을 조금 올리더라도 제발 중공에서 김치 수입좀 하지말자! 어떻게된게 집집마다 김치냉장고가 있는 김치종주국이라는 나라가 김치냉장고가 거의 없는 중공에서 김치를 가장 많이 수입을하냐... 김치 남기면 벌금 만원을 하던가...', '김치도 중국에 뺏겨 삼계탕도 중국에 뺏겨 심지어 세종 대왕도 중국 후손이라고,고구려는 중국 소수 민족 일부라고 하질 않나.\n어이 전라도 사람들아 이러고도 니들이 자유민주주의를 내뱉냐?\n김제동,김어준,유시민 왜 그잘난 민족주의는 어디갔냐?\n불의앞에 머리 조아리는 한심한 개돼지들!', '한국김치라고 써줬으면 더더더 좋았을거같다^^', '우와... 우리나라 대표 음식인 김치가 다른 나라에게도 인정받고 찬양 받는다니 너무 기분 좋네요 저도 한국을 사랑하는 사람으로써 김치 정말 좋아하는데 말이죠 뿌듯하네요~', '좋은 김치네요.', '김치, 독도 다 대한민국꺼다', '알몸으로 씻은 배추는 코리아 김치 아니다 알고 드시길', '', '한국 김치 드세요    김치랑 목욕하는 것들이랑  상종하지 마시고 ᆢ', '기네스 얼굴이 불콰한게 뭔가 건강이 안좋아 보이는데', '짱깨 김치 아웃!!!!!!!!!!!!!!!!', '무료로 제공되는 파오차이보다 돈 내고 먹는 김치를 소비자는 더 원합니다.', '가정집에서는 중국김치 안사먹죠....식당들이....가격때문에 중국산을 쓰는거죠....ㅋ 적어도 김치는 국내산으로 한정시켜서 쓸 수 있도록 법으로 제한해야 한다 생각합니다. 그리고 식당에서는 국내산 김치는 리필시에 추가금을 받는게 차라리 맞다고 생각해요. 대신 김치에 중국산무엇이든  0.1%라도 포함되면 벌금 최소 1억 혹은 징역 1년 때려야 한다고 생각합니다. 강력하게 처벌해야 합니다. 그리고 해당 식당대표의 사촌까지 5년간 그어떤 요식업 개업 못하게 해야함.', '', '어쩔수없이 하루에 한번은 밖에서 식사를 해야하는데요.. 요즘에는 메뉴판에 김치원산지 부터 확인 하는데 표시가 안되어 있으면 솔직히 겁이 납니다. 김치를 꼭 수입해야 하는건지 다른 방안은 없을까요???', '그냥식당에서 의례 시키는 김치를 돈추가하고 제공하거나 드리해서 한국김치를 선택하게 해줘요. 그냥 공짜김치는 중국꺼구나 아예 알도록!!', '', '김치 정말 좋은 음식이네요. 알아갑니다.', '', '김치는 한국것이다 짱깨야 우기지마라', '해외 방송과 소셜미디어에서도 김치의 효능이 주목받고 있다고 하니 우리나라 고유음식의 효능이 널리 알려지게 되어서 자랑스럽네요. 우리나라의 많은 건강식들이 세계로 널리 알려졌으면 좋겠습니다.', '김치는 위암, 고혈압 일으키는 주범임', '', '훠훠훠 ~~ 즁귝은  큰샨 우리는 작은샨 아니겠슙니꽈아 ~??? 당연히 김치는 즁공', '우리나라를 대표하는 김치가 이렇게 좋은 효과가 나타나고 있다는게 정말 자랑스럽고 뿌듯하네요. 우리나라 사람으로서 정말 자랑스럽습니다. 다른나라에게도 인정받고 좋은 평가를 받아서 기분이 좋습니다. 많은 분들이 더 알았으면 좋겠네요.', '김치의 원조는? 기무치냐? 파오차이냐? 개소리 하지마 김치는 김치야 대한민국꺼 일본매국노 중국매국노 둘다꺼져라', '', '두유노김취?', '', '아 근데 짱개산은 사지마라 오줌김치임', '다욧하는데 김치 먹지 말라고 해요, 절대 먹으면 안된데..  그건 우리나라 사람이겠지.\n다른 나라 사람들은 밀가루 끊고 김치먹으면 살빠질 거야,', '', '김치맨~~', '기네스 팰트로씨.. 김치는 한국꺼라고 글 하나만 올려줘봐요.', '김치없이못살아 ㆍ정말못살아^^\n한국 김치 최고^^', '', '상식적으로 코로나 사망자가 적은건 대한민국 의료수준이 세계 최고 수준이기 때문이라 생각하지 김치때문이라고 생각하겠냐? 코로나 초기에도 이 개소리 했다가 각국 연구기관에서 연관성 없다고 발표나 개쪽당하더니 또 이짓이네', '', '중국전통음식인줄 알거임. 전통음식을 수입해서 먹는다는 생각을 안하니깐', '보아라 중국머저리들아 김치는 느그들처럼 뜨거운물에 데치는게 아니고 오랜시간 발효시켜먹는거다 그많은 대가리수로 헛소리 말고 부러우면 좀더연구라는걸해라', '', '그니까 우리라도 이제한국산김치 먹어요..중국산 김치 덩치키우게하지말고', '김치를 40년째 먹는 내몸은., 왜...', '역시 우리 조상님들의 지혜가 듬뿍 담긴 김치. 조상님들, 정말 감사합니다', '서경덕 교수님 멋지십니다!! 김치는 우리것~ 한국꺼!!!', '고구려는 중국꺼란다 독도는 일본꺼란다 김치는 중국 소수민족꺼란다 이런 개같은 나라가 어딧노', '김치 진열하는 사진 보면 ..', '그러면 모해  중국산만  팔릴건데  좀더  많은홍보좀하자  쓸데없는데  돈  쓰지말구', '', '', '', '맵고 짜서 혈압 올라가 ㅋ', '', '밥이 보약이라 말이 김치가 있어 더욱 빛이난다 우리의 식문화', '훠훠~ 김치는 우리의 큰산봉우리 중국의 것이 아니겠습니꽈? 우리 모두 중화전통음식 파오차이를 먹으면서 중국몽과 함께하겠습니돠~ 훠훠훠', '', '잘 익은 김치는 약이 될 수 있을 정도로 우수한 효능을 가지고 있어 감염병이 등장하는 시기마다 효능이 거론되고 있습니다. 김치는 중국이나 일본이 아니라 한국 고유의 음식임을 세계에 알리는 좋은 계기가 되었으면 합니다.', '이러다  중국에게  김치  뺐기겠다. 외교부  분발하자', '난외부의것안먹음   우리집담은것말고는', '할마이', '비위생 중국산 김치 먹지말고 좀 비싸도 맛나고 깨끗한 김치 종주국 한국산 김치 많이 먹자구요~', '한국김치', '페퍼 포츠씨 로건은 잘 있나요?', '김치하는 방법을 배우자..\n엄마가 해주는것만 먹지말고.\n스스로 해보자', '', '김치를 평소에 잘 안먹는데 노화방지랑 체중조절까지 된다니....앞으로는 먹어야겠어요 ㅋㅋㅋㅋ건강도 좋아지고 체중조절도 되니 1석2조', '좋은면 말고도 엄청난 양의 염분에 대해서도 좀 다루지', '이렇게 좋으니 중국 ㅂ ㅓ러지 쉐킷들이 뺏으려 안달이지. 정부에서도 제대로 대응 합시다.', '이래서 중궈들이 동북아공정질하는구나', '짱깨는 파오차이나 쳐 먹고~', '', '종가집 화이팅', '', '토마토보다 좋은건가? 숫자만 봐서 모르겠네', 'Korea=Kimchi   China=Corona', '', '또시작이네 또시작이야 푸하하하', '고혈압 안 걸립니까', '국민의짐 김치는 기무치다', '']",http://weekly.khan.co.kr/khnm.html?mode=view&code=123&artid=202103261258211,https://n.news.naver.com/mnews/article/081/0003175237?sid=103
2021.03.31.,KNN,,"[건강365]-허리 통증, 노화일까 병일까?",,,http://news.knn.co.kr/news/todaynews_read.asp?etime=2021033000096&userid=yyy&newsgubun=society,http://weekly.khan.co.kr/
2021-03-31 07:00:45,엑스포츠뉴스,,"'윤종신 아내' 전미라, 시퍼런 멍? 44세 노화 걱정 ""혈관 잘 터져"" [전문]","[    [주간경향] 조단 P. 파카스 텍사스 대학 사우스웨스턴 메디컬센터 교수의 논문인 ‘얼굴 노화 이면의 과학과 이론’에 게재된 사진(65쪽)을 보자. 쌍둥이 자매의 비교 사진이다. 놀랍지 않은가? 이 사진 한장을 보면서 어떻게 하면 나이가 들더라도 주름이 더 적고, 뱃살도 덜 나오고 건강하게 장수할 수 있을까 같은 그 비법이 궁금해진다.    일러스트 김상민 기자과학기술 발전에 힘입어 줄기세포 주사를 맞고, 늙지 않는 각종 호르몬 주사까지 정기적으로 맞는 세상에 살고 있다. 최근 쌍생아 비교연구를 보면 노화는 더 이상 부모님이 물려준 유전자 탓만 할 수 없다. 쌍생아라 할지라도 라이프스타일에 따라 10~20년 정도 외모부터 건강까지 노화의 정도가 차이가 난다.현대 인류의 보편적 수명을 연장한 3가지 획기적인 발명은 상하수도, 항생제, 백신이었다. 19세기 후반에야 현대적인 상수, 정수의 개념이 도입되고 하수 개념까지 더해져 콜레라, 장티푸스, 이질 같은 수인성전염병에서 인간은 비로소 해방될 수 있었다. 이후 항생제 페니실린은 각종 세균감염병으로부터 인간의 생명을 지켜줬고, 최근 전 세계를 휩쓸고 있는 신종 코로나바이러스 감염병은 백신으로부터 그 해법을 찾고 있다.웰에이징과 웰다잉감염병은 어느 정도 극복했지만, 당뇨와 고혈압 같은 만성질환이라는 새로운 국면을 맞이했다. 수명은 길어졌지만, 노화와 함께 만성질환에 의한 각종 합병증으로 사망하거나 장기 약물복용과 의료장치에 기대 정상적인 생활을 할 수 없게 된 것이다. 그래서 웰에이징(Well Aging), 웰다잉(Well Dying)이라는 신조어도 등장했다.요양병원 침대에서 약물에 기대 생명을 연장하는 100세 장수가 아니라 쇼핑몰을 걸으며 물건을 사고, 오후 산책도 할 수 있는 100세 장수의 삶을 기대한다. 건강수명 연장을 바라는 것이다. 건강한 삶이 수명연장으로 이어진다는 사실은 의심할 여지가 없다. 고혈압, 당뇨, 고지혈증 환자가 해마다 증가하고 약을 먹어야만 정상범위를 유지한다는 사실에 주목해야 한다. 현대의학은 증상치료에 초점이 맞춰져 있다. 마치 해열제처럼 열을 낮추는 것이지 발열의 원인을 찾아 치료하는 게 아니란 말이다.노화의 과정에서 나타나는 10가지 특징에 대해 알아보자.1 유전체 불안정성 우리 몸은 세포로 돼 있다. 세포에도 수명이 있는데, 세포복제를 통해 세포가 재생돼 몸의 구조를 유지한다. 뿐만 아니라 각 세포는 필요한 단백질을 만들어내는 지침이 있다. 그 지침과 세포복제의 설계도가 바로 유전자다. 유전체는 시간이 갈수록 손상을 받거나 불안정한 경우가 늘어난다.2 텔로미어의 마모 텔로미어는 DNA를 내포한 염색체를 보호하며, 세포가 분열할 때마다 DNA 복제과정에서 텔로미어가 짧아진다. 텔로미어가 너무 짧아지면 세포는 기능을 멈춘다.3 후생적 변화 후생 유전체는 화학적 변화를 통해 마치 스위치처럼 DNA를 끄고 켤 수 있다. 스위치가 켜진 유전자는 특정 단백질을 만들지만, 스위치가 꺼진 유전자는 그렇지 못하다. 후생 유전체는 DNA 스위치를 켜고 끔으로써 건강에 영향을 미친다. 면역력이 떨어지고, 염증이 생긴다.4 단백질 항상성 손실 이상 단백질로 인한 손상을 방지하는 세포 메커니즘이 있다. 나이가 들어가면서 단백질 항상성을 유지하는 능력이 저하되면 이상 단백질이 누적되면서 알츠하이머 또는 파킨슨병 같은 신경 노화 질환이 생길 수 있다.5 미토콘드리아 기능 장애 모든 세포는 ATP라는 에너지를 이용하는데, 이는 세포 내 존재하는 미토콘드리아에 의해 만들어진다. 미토콘드리아는 돌연변이, 산화스트레스 등 여러 원인에 의해 손상되는데, 이로 인해 에너지 공급이 줄게 되면 질병이 발생할 뿐 아니라 노화를 가속시킬 수 있다.6 세포 노화 세포가 노화되면 더 이상 분열을 할 수 없다. 또한 노화세포는 다른 세포의 노화를 유도하는 물질을 생산할 뿐 아니라 노화세포를 제거하는 메커니즘도 흔들리기 시작한다.7 영양대사 조절 능력 감소 나이가 들어감에 따라 영양상태 감지기능이 저하돼 포도당 같은 영양대사 조절 효율성이 떨어진다. 당뇨가 오고 고지혈증이 오며, 뱃살이 는다.8 줄기세포 고갈 모든 세포의 근원이 되는 줄기세포가 나이가 들면서 감소한다.9 세포 간 통신두절 인체 내 다양한 세포 간의 신호전달체계에 변화가 생긴다. 노화는 세포 사이의 통신을 방해하고, 만성 염증 등 다양한 만성질환을 일으킨다.10 세포외기질 경화 노화의 잠재적 10번째 특징으로 세포외 외적 환경이 딱딱하게 변화된다는 말이다. 이로 인해 정상적인 세포대사는 물론 세포 간 통신환경이 나빠진다.건강하게 장수하는 방법은어렵지만 무슨 말인지 이해하지 않아도 된다. 그렇더라도 어떻게 하면 건강하게 천수를 누릴 것인가를 알고 싶은가?최근 항노화 분야에서 세계 최고의 권위자 중 1명인 데이비드 A. 싱클레어 하버드의대 부속 연구소 교수가 소개한 건강수명연장 방법을 살펴보자.    61세 쌍둥이의 피부 변화. 쌍둥이 B는 A보다 하루 10시간 가량 햇볕에 피부를 더 노출시켰다. 피부 노화 차이는 11.25년 정도 차이가 났다. 이 연구는 조단 P. 파카스 텍사스 대학 사우스웨스턴 메디컬센터 교수 등이 작성한 논문 ‘얼굴 노화 이면의 과학과 이론’에 실렸다. / 리서치게이트1 매일 아침 NMN 1g과 레스베라트롤 1g, 메트포르민(당뇨약) 1g을 직접 만든 요거트와 함께 복용한다.2 매일 비타민D, 비타민K2 하루 권장복용량과 아스피린 83㎎을 복용한다.3 설탕, 빵, 파스타를 최대한 적게 먹는다. 후식을 가급적 먹지 않는다.4 하루 한끼 건너뛰거나 소식을 한다.5 정기적인 혈액검사를 하고 이상이 있을 때 식단이나 운동을 통해 조절한다.6 매일 많이 걷고 계단을 오르고, 주말마다 체육관에서 운동한다. 웨이트 운동과 달리기를 한 뒤 사우나 뒤에 차가운 물에 몸을 담근다.7 채소섭취를 많이 하고 포유동물 먹는 것을 가급적 피한다(운동을 적극적으로 할 때는 먹는다).8 담배를 피우지 않고, 플라스틱 용기에 담긴 음식을 전자레인지에 데워먹지 않는다. 지나친 자외선 노출은 피하고 잦은 엑스레이·CT 촬영을 피한다.9 낮과 밤 취침 시 시원한 환경을 유지한다.10 체질량지수를 23~25 정도로 유지한다.    류호성 원장세계 최고 수명연장연구가의 조언도 우리가 익히 알고 있는 상식과 크게 다르지 않다. 적게 먹고, 운동하고, 과도한 난방을 피하는 것. 우리 신체에 적절한 스트레스를 줌으로써 장수유전자를 활성화하라는 말이다. 환경독소를 피하고(금연·플라스틱제품 사용제한), 체내 누적된 환경독소를 잘 배출하기 위해 운동해 땀을 흘리고, 식이섬유(채소)를 먹어 매일 배변을 잘하도록 한다. 마지막으로 햇살 좋은 날 걷게 되면 비타민D는 물론이고 당을 조절하는 큰 창고인 대퇴근육과 건강한 척추를 얻게 되는 것은 덤이다.류호성 연세이너힐의원 원장▶ 주간경향 표지이야기 더보기 ▶ 주간경향 특집 더보기▶ 네이버 채널에서 '주간경향' 구독하기© 주간경향 (weekly.khan.co.kr), 무단전재 및 재배포 금지〈경향신문은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.〉 ]","['문재인 좋아하는 좌파 의사가 어디서 약을 팔아 ㅋㅋㅋㅋㅋ', '약 권하는 의사 아닌가요?\n한국은 의료과잉이라는데\n약 과잉도 있을껀데\n약을 또 먹으라는건 아닌듯요']",http://www.xportsnews.com/?ac=article_view&entry_id=1407571,https://n.news.naver.com/mnews/article/033/0000042407?sid=004
2021.03.31.,메디컬투데이,,노화로 찾아온 척추질환 척추관협착증 주요 증상은?,,,http://www.mdtoday.co.kr/mdtoday/index.html?no=417317,http://www.knn.co.kr
2021.03.31.,미디어파인,,"구강 내 노화 현상, 건조증에 치과 치료 필요 [김용태 원장 칼럼]",,,http://www.mediafine.co.kr/news/articleView.html?idxno=10508,http://www.xportsnews.com
2021-03-31 18:05:00,코리아헬스로그,,미세먼지에 노출된 피부…피부염증과 노화 앞당겨,[],[],http://www.koreahealthlog.com/news/articleView.html?idxno=30315,https://n.news.naver.com/mnews/article/311/0001282074?sid=106
2021.03.30.,YTN사이언스,,고래상어로 알아본 노화의 비밀,,,https://science.ytn.co.kr/program/program_view.php?s_mcd=1233&s_hcd=&key=202103301155027186,http://www.mdtoday.co.kr
2021.03.29.,헬스조선,,"아모레퍼시픽, 대한피부연구학회 '피부 후성유전학' 세션 개최",,,https://health.chosun.com/site/data/html_dir/2021/03/29/2021032900928.html,http://www.mediafine.co.kr/
2021.03.30.,브레이크뉴스,,"인천 서구, ‘건강한 노년·성공적 노화’ 위한 장기플랜 구축",,,http://www.breaknews.com/795864,http://www.koreahealthlog.com/
