Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.09.30.,국제뉴스,,"박재호, 112시스템 주요 전산장비 10대 중 9대 노후…'대책 마련' 시급",,,http://www.gukjenews.com/news/articleView.html?idxno=2318572,http://www.gukjenews.com/
2021.09.30.,이코노믹리뷰,,"안정적인 노후보장, 'IRP·TDF' 주목하라",,,https://www.econovill.com/news/articleView.html?idxno=550507,http://www.econovill.com/
2021.09.30.,충청뉴스,,"이연희 서산시의회의장, '행복한 어르신, 건강한 노후' 특별강연 개최",,,http://www.ccnnews.co.kr/news/articleView.html?idxno=232849,http://www.ccnnews.co.kr/
2021.09.30.,BBS NEWS,,국민연금 정보.. 쉽고 빠른 노후준비 진단 방법,,,https://news.bbsi.co.kr/news/articleView.html?idxno=3045841,http://www.bbsfm.co.kr/
2021.09.30.,뉴스퀘스트,,서울 저층주거지 소규모 재건축 본격화... 노후 단지 2070곳 대상,,,http://www.newsquest.co.kr/news/articleView.html?idxno=89125,http://www.newsquest.co.kr
2021.09.30.,이뉴스투데이,,"함안군, 노후 농업기계 조기 폐차 보조금 지원",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515511,http://www.enewstoday.co.kr/
2021.09.30.,위클리오늘,,"김은혜의원 ""서울·경기 아파트 약 28만 가구, 불과 2년 새 노후대비책 '주택...",,,http://www.weeklytoday.com/news/articleView.html?idxno=409185,http://www.weeklytoday.com
22면 TOP,아시아경제,,저렴한 노후빌라 新투자처로 부상… 경매시장서도 ‘후끈’,,,https://view.asiae.co.kr/article/2021093009344951446,https://www.asiae.co.kr/
2021-09-30 12:15:00,조선일보,경제,"‘미세먼지 주범’ 노후 경유차 없애려 폐차보조금 주는데, 헛돈?","[ 20년 이상 노후빌라 낮은 투자금에 고수익률 기대 커져재개발·교통호재 노리는 ‘몸테크’ 투자도 잇따라서울 집값 천정부지로 치솟자 인천·경기 외곽으로 수요 몰려    #지난달 4일 인천지방법원에서 열린 법원 부동산 경매에서 가장 뜨거운 물건은 인천 계양구 작전동 소재 37㎡(전용면적)짜리 A빌라 1층 매물이었다. 지은지 31년된 이 빌라에는 31명의 응찰자가 몰린 끝에 최저가 3920만원보다 50% 비싼 5875만원에 낙찰됐다. 이 물건의 2위 응찰가격은 5837만7000원으로 낙찰자와의 차이가 40여만원에 불과할만큼 경쟁이 치열했다.법원이 실시하는 부동산 경매에서 20~30년된 노후 연립·다세대(빌라)의 인기가 치솟고 있다. 서울은 물론 가격이 상대적으로 저렴한 인천·경기 빌라 경매에서도 수십 명의 응찰자가 몰리는 등 경쟁이 과열되는 양상이다. 특히 재개발 추진이나 교통 호재를 노리고 빌라 중에서도 값싼 1층이나 반지하 주택을 노리는 ‘몸테크’ 투자도 잇따르고 있다.30일 법원경매 전문업체 지지옥션에 따르면 전날 인천 남동구 간석동의 B빌라 40㎡ 경매에는 26명의 응찰자가 몰렸다. 1995년 준공된 이 매물은 감정가가 6700만원이었지만 3차례 유찰로 최저입찰가가 2298만원까지 떨어져 있었다. 이 물건은 결국 최저가보다 81%(1867만원) 높은 4165만원에 낙찰됐다.서울과 경기 외곽에서도 노후빌라 응찰자가 두 자릿수를 넘기는 현상이 속출하고 있다. 지난달 17일 실시된 경기 고양시 덕양구 내유동 C빌라 60㎡ 경매는 준공 26년차에 반지하임에도 20명이 응찰해 최저가(3155만원)보다 1500만원 넘게 오른 4784만원에 낙찰됐다. 서울 은평구 구산동 D빌라 36㎡짜리도 마찬가지로 준공 28년차에 반지하 물건임에도 응찰에 14명이 참여해 7700만원에 새 주인을 찾았다.최근 아파트나 신축 빌라 등의 가격이 천정부지로 치솟으면서 가격 진입장벽이 낮은 노후빌라들도 투자의 타깃이 되고 있다는 것이 전문가들의 설명이다. 특히 경매시장의 경우 매매시장보다 상대적으로 가격이 저렴하다고 여겨지면서 추후 수익률과 시세차익이 극대화될 수 있다는 것이다. 송승현 도시와경제 대표는 “부동산 호황이 계속되면서 노후빌라들도 앞으로 가격이 더 오를 것이라는 기대감이 형성됐다”라며 “노후빌라의 경우 저렴하게 매수를 할 수 있어 장기 투자상품으로 가치가 있다고 여겨지는 것”이라고 설명했다.당분간은 낡은 집에 살더라도 향후 재개발이나 교통호재 등의 기회를 노리는 이른바 ‘몸테크’도 유행이다. 이주현 지지옥션 선임연구원은 “특히 구축빌라는 일반적으로 신축보다 대지지분이 넓다보니 투자가치가 더 높다고 여겨지는 것”이라고 말했다.빌라 경매의 평균응찰자 수도 늘어난 것으로 나타났다. 이날 지지옥션에 따르면 올 1월부터 8월까지 인천과 경기 지역 빌라 경매 평균응찰자는 각각 5.1명, 4.4명으로 지난해 하반기인 3.26명, 3.22명보다 늘었다. ]","['ㅋ마이무라ㅋㅋ', '', '알짜배기를 빼먹냐 구리수택/', '', '노후빌라는 그집에 해당된땅이 큼=신축예정~ 혹시 모르시는분  계실까봐요ㅎㅎ', '', '수원비행장 주변 전세끼고 1~2천에 투자할 1억미만 많습니다.. 곧 이전발표 납니다.']",https://www.chosun.com/national/transport-environment/2021/09/30/2XHE6T22MVBTPIWRB5KUFY7ONA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/277/0004976531?sid=101
2021.09.30.,이데일리언론사 선정,,노후대책 마땅찮은데…30여년 후 절반이 고령자가구,,,http://www.edaily.co.kr/news/newspath.asp?newsid=01216886629185368,http://www.chosun.com/
