Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.10.31.,전북일보,,"전북농협, 돌봄대상 독거노인 지원",,,http://www.jjan.kr/news/articleView.html?idxno=2119875,http://www.jjan.kr
2021.10.31.,전라일보,,"장수군 번암면지사협, 독거노인 생신축하 특화사업 추진",,,http://www.jeollailbo.com/news/articleView.html?idxno=640644,http://www.jeollailbo.com
2021.10.31.,부산제일경제,,"부산문화회관, 아미동 독거노인 등 40가구에 쌀 기부",,,https://www.busaneconomy.com/news/articleView.html?idxno=262577,http://www.busaneconomy.com
2021.10.31.,경남도민신문,,진해서부노인종합복지관 개관 2주년 기념행사,,,http://www.gndomin.com/news/articleView.html?idxno=295052,http://www.gndomin.com/
2021.10.28.,연합뉴스,,"롯데하이마트, 농어촌 독거노인 난방용품 세트 기증",,,http://yna.kr/PYH20211028140000013?did=1196m,https://www.yna.co.kr/
2021-10-28 13:39:27,시민일보,사회,"고양시 주엽1동, 독거노인 안부 확인 및 실태조사 실시",[         (서울=연합뉴스) 롯데하이마트가 농어촌 독거노인을 위한 난방용품 및 위생용품 300세트를 기증한다고 28일 밝혔다. 사진은 서울시 영등포구 독거노인종합지원센터에서 기념 촬영하는 문총 롯데하이마트 MD전략부문장(왼쪽)과 김현미 독거노인종합지원센터 센터장. 2021.10.28    [롯데하이마트 제공. 재판매 및 DB 금지]    photo@yna.co.kr ],[],https://www.siminilbo.co.kr/news/newsview.php?ncode=1065591283735990,https://n.news.naver.com/mnews/article/001/0012753569?sid=102
2021.10.28.,뉴시스,,"기재부 복권위, 저소득 독거노인 77가구에 김치 나눔",,,http://www.newsis.com/view/?id=NISX20211028_0001630252&cID=10401&pID=10400,http://www.siminilbo.co.kr
2021.10.31.,백세시대,,"대한노인회 경기 남양주시지회, 1사 1경로당 협약식",,,http://www.100ssd.co.kr/news/articleView.html?idxno=81727,http://www.newsis.com
2021-10-28 11:00:00,대한경제,경제,"정읍시, 최신 ICT 장비 활용 독거노인 지원","[ 기사내용 요약목동 일대 거주 가구에 4포기 전달안도걸 차관·배우 김소연씨 등 참여    [세종=뉴시스]기획재정부 복권위원회 행복공감봉사단은 28일 오전 목동 일대에 거주하는 저소득 독거노인 77가구를 돌며 가구당 김치 10㎏(약 4포기)을 전달했다. 사진은 안도걸 기재부 차관, 행복공감봉사단장인 배우 김소연씨를 비롯한 20여명의 봉사단원이 서울 목동종합사회복지관 앞마당에서 사전행사를 하는 모습. (사진=기획재정부 제공) *재판매 및 DB 금지[세종=뉴시스] 이승재 기자 = 기획재정부는 복권위원회 행복공감봉사단이 '사랑의 김치 나눔' 봉사 활동에 나섰다고 28일 밝혔다.봉사단은 이날 오전 목동 일대에 거주하는 저소득 독거노인 77가구를 돌며 가구당 김치 10㎏(약 4포기)을 전달하고 안부를 살폈다.행사에는 안도걸 기재부 2차관과 행복공감봉사단장인 배우 김소연씨를 비롯한 20여명의 봉사단원이 참여했다.이 봉사단은 복권기금이 추구하는 나눔 문화 실천을 위해 기재부 복권위원회에서 운영하는 자원 봉사단이다. 2008년 발족 이후 연탄 배달, 복지시설 환경 정화 등 다양한 봉사 활동을 진행해오고 있다.안 차관은 ""독거 어르신들은 이웃의 온정을 느끼고, 봉사단원들은 사랑을 나누는 기쁨을 느끼는 기회가 될 것""이라며 ""연로한 어르신들이 환절기에 따뜻한 식사로 기력 보충에 도움이 되기를 바란다""고 전했다. ]",[],https://www.dnews.co.kr/uhtml/view.jsp?idxno=202110291139407850062,https://n.news.naver.com/mnews/article/003/0010797346?sid=101
2021.10.31.,경북매일신문,,"상주 '좋은 이웃들'.서원이앤씨, 독거노인 집 문 교체",,,http://www.kbmaeil.com/news/articleView.html?idxno=912605,http://www.100ssd.co.kr
2021.10.30.,데일리안,,"돌침대, 흙침대 전문 현대의료기 “독거노인들을 위한 기부 사업 진행 중”",,,https://www.dailian.co.kr/news/view/1047448/?sc=Naver,http://www.dailian.co.kr/
2021-10-30 09:01:02,뉴스1,경제,"행복공감봉사단, 독거노인과 함께 따뜻한 겨울나기","[     ⓒ현대의료기[데일리안 = 이현남 기자] 돌침대, 옥침대 전문 현대의료기에서 독거노인들을 위한 돌침대 기부사업을 진행 중이라고 밝혔다.지난 2020년도에 경기도 광주시와 MOU를 체결하여 10년간 3억 원 상당의 돌침대를 독거노인들을 위해 기부하기로 협약했다.현대의료기에서는 경기도 광주시 외에도 성남, 하남, 양주시 등 여러 지역의 독거노인, 장애우, 소년소녀가장, 저소득층, 불우이웃 등의 가정에 지속적으로 기부를 진행하며 선행을 이어가고 있다.이동학 대표는 “사회 각 계층에 도움이 필요한 분들을 위해 조금이나마 위로가 되고자 기부활동을 시작하게 되었다”며 “앞으로도 지원이 필요한 곳에 사회공헌 활동을 지속해 나갈 것”이라고 전했다.한편, 현대의료기의 제품은 전자파를 차단하는 실리콘 테프론 무자계 열선을 사용해 KC마크, 품질보증Q마크, 삼성생명 PL보험 등을 획득한 안전한 제품으로 불만제로 등 다수의 방송에 소개되어 8개 업체의 매트 중 전자파 기준인 2mG 이하로 나와 안전, 양심업체로 인정받아 안전하게 사용 가능하다. ]",[],https://www.news1.kr/photos/view/?5039562,https://n.news.naver.com/mnews/article/119/0002543302?sid=101
2021.10.28.,텐아시아,,"임영웅 팬, 창원 독거노인·장애인에 100만원 상당 육개장·밑반찬 지원",,,https://tenasia.hankyung.com/topic/article/2021102891974,http://news1.kr/
2021-10-28 10:16:00,KNN,,"화재 위험, 독거노인 집 쓰레기 치워",[],[],http://news.knn.co.kr/news/todaynews_read.asp?etime=2021102800061&userid=wjjoo&newsgubun=society,https://n.news.naver.com/mnews/article/421/0005686114?sid=106
2021.10.30.,충청일보,,91세 홀몸노인집서 불 40대 주부가 화재 진화 지역사회 큰 감동,,,https://www.ccdailynews.com/news/articleView.html?idxno=2090554,http://tenasia.co.kr/
2021-10-28 09:54:00,뉴스1,,"김소연-안도걸 차관, 독거노인을 위한 봉사활동",[],[],https://www.news1.kr/photos/view/?5039545,https://n.news.naver.com/mnews/article/312/0000507995?sid=106
2021.10.28.,뉴스1,,"유영덕-안도걸-김소연, 독거노인 위한 김장김치 봉사활동",,,https://www.news1.kr/photos/view/?5039559,http://www.knn.co.kr
2021.10.29.,로이슈,,"광주준법지원센터, 저장강박증 독거노인 가구 주거환경 개선",,,http://www.lawissue.co.kr/view.php?ud=202110291822311789a8c8bf58f_12,http://ccdailynews.com
2021.10.30.,브레이크뉴스,,"양평군 개군면, 노인일자리 지원사업 참여자 격려 및 방한복 전달",,,http://www.breaknews.com/843988,http://news1.kr/
2021-10-28 10:18:00,브레이크뉴스,,"괴산군노인복지관, 노인 인식개선 작품 공모전 시상식",[],[],http://www.breaknews.com/843835,https://n.news.naver.com/mnews/article/421/0005686133?sid=106
2021.10.28.,충청뉴스,,"세종시 한솔동, 독거노인과 행복한 부여 나들이",,,http://www.ccnnews.co.kr/news/articleView.html?idxno=235987,http://www.ccnnews.co.kr/
2021.10.29.,경인매일,,"사회적협동조합 산들마을, 독거노인 주거내부 개선 위해 구슬땀",,,http://www.kmaeil.com/news/articleView.html?idxno=315063,http://www.kmaeil.com/
2021.10.28.,지이코노미,,"전주시여성단체協, 독거노인에 밑반찬 나눔",,,https://www.geconomy.co.kr/news/article.html?no=173694,http://www.golfguide.co.kr
2021.10.25.,노컷뉴스,,"전주시 중화산2동, 유튜브 '찌니트립' 독거노인 지원",,,https://www.nocutnews.co.kr/news/5644719,http://www.nocutnews.co.kr
