Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.30.,뉴시스언론사 선정,,사회단체 보조금 지원사업 결과 발표…6개 분야 21곳 선정,,,http://www.newsis.com/view/?id=NISX20220330_0001814016&cID=10817&pID=14000,http://www.newsis.com
2022-03-30 15:29:01,머니투데이,사회,화성시 예술지원세터 출범… 문화도시 기틀 마련 역할,[     경기도교육청 북부청사 *재판매 및 DB 금지[의정부=뉴시스] 배성윤 기자 = 경기도교육청이 30일 ‘2022년 사회단체보조금 지원사업’ 운영 단체 21곳을 선정해 발표했다.이 사업은 도교육청이 권장하는 교육·학예 관련 공익사업을 운영하는 사회단체를 선정해 경기교육 발전에 이바지하도록 지원하는 것으로 해마다 실시하고 있다. 이번 선정 단체는 ▲기획·홍보 1곳 ▲학생인권 3곳 ▲학생안전 6곳 ▲대안교육 5곳 ▲학생·학부모 지원 5곳 ▲소통·협력 1곳 등 6개 분야 21곳이다. 선정된 단체는 오는 4월부터 11월까지 ▲장애학생 문화예술 학습 지원 ▲다문화 청소년 학습 지원 ▲학교 밖 청소년 진로·인성 교육 ▲청소년 심리 치유 프로그램 등과 같은 사업을 진행할 예정이다.김계남 도교육청 평생교육과장은 “이 사업은 경기교육 발전에 도움을 주는 공익활동을 펼치는 단체를 지원하는 것”이라며 “각 단체가 공익사업을 원활하게 추진하고 건전하게 운영할 수 있도록 적극 지원하겠다”고 말했다. 한편 도교육청은 지난해에는 사회단체보조금 지원사업에 20개 사회단체를 지원했다． ],[],http://news.mt.co.kr/mtview.php?no=2022033116150597993,https://n.news.naver.com/mnews/article/003/0011093156?sid=102
2022.03.31.,쿠키뉴스,,"경상국립대 공학교육혁신센터, 창의융합형공학인재양성지원사업 선정",,,http://www.kukinews.com/newsView/kuk202203310064,http://www.mt.co.kr/
2022-03-31 16:25:00,뉴시스언론사 선정,사회,"'햇살문화도시' 밀양, '삶의 회복 새로운 미래' 비전 선포","[    경기 화성시가 지역 문화예술인 육성과 문화도시로서의 기틀 마련 창구 역할을 할 '예술지원센터'를 출범했다.  동탄복합문화센터에 마련된 예술인지원센터는 센터장과 예술인지원팀, 예술창작지원팀, 예술교육지원팀 3개 팀 총 13명으로 구성됐다. 지역 맞춤형 정책 및 지원체계 수립 및 지역 내 예술인 직업능력 개발 기회를 통한 자생력 확보, 수준 높은 문화예술 교육환경 조성 등의 역할을 맡는다.  센터는 올해 예술인 DB플랫폼 구축사업과 예술인 학교, 생애주기별 교육, 문화예술캠프 등을 운영하고 예술인 대상 창작 공간 및 대관료 지원사업을 추진할 계획이다. 서철모 화성시장은 ""코로나19로 위축된 예술인들의 창작활동이 이번 예술지원센터의 출범으로 활짝 펼쳐지길 기대한다""라면서 ""삶과 문화예술이 공존하는 아름다운 도시로 거듭날 수 있도록 적극 지원하겠다""고 말했다.    사진=서철모 화성시장이 동탄복합문화센터에서 열린 ‘예술지원센터’ 출범식에 참석해 인사말을 하고 있다./사진제공=화성시 ]",[],http://www.newsis.com/view/?id=NISX20220330_0001813651&cID=10812&pID=10800,https://n.news.naver.com/mnews/article/008/0004727176?sid=102
2022.03.31.,연합뉴스,,"경기창작센터, 2024년 복합문화공간 '경기창작캠퍼스'로 새 단장",,,http://yna.kr/AKR20220331111900061?did=1195m,http://www.kukinews.com
2022.03.30.,뉴시스언론사 선정,,'자생 윈드림 관악단' 창단…저소득 청소년 재능 지원,,,http://www.newsis.com/view/?id=NISX20220330_0001813093&cID=10201&pID=10200,http://www.newsis.com
2022-03-31 06:14:25,뉴스1,사회,"경주시, 문체부 공모 경북관광기업지원센터 사업 선정","[ 기사내용 요약앞으로 5년간 밀양 가치를 높여 줄 문화사업 최대 192억원 투입햇살처럼 따뜻한! 비추는! 퍼지는! 반짝이는! 문화사업 펼쳐나가     박일호 시장이 햇살문화도시 밀양 비전 선포식에서 기념사를 하고 있다. *재판매 및 DB 금지[밀양=뉴시스] 안지율 기자 = 경남 밀양시는 법정문화도시 지정을 기념하고 앞으로의 힘찬 출발을 시민과 함께 열어가기 위한 '햇살문화도시 밀양 비전 선포식'을 했다고 31일 밝혔다. 문화도시 사업은 문화를 통한 지속 가능한 지역발전과 지역주민의 문화적 삶 확산을 비전으로 '지역공동체 활성화,' '지역 균형발전,' '지속 가능한 성장기반 구축,' '문화적 도시재생' 등을 목표를 핵심가치로 5년간 최대 200여억 원을 지원하는 사업이다. 시는 '삶의 회복 새로운 미래, 햇살문화도시 밀양'을 비전으로 시민의 문화적 갈증을 해소해 줄 '햇살처럼 따뜻한! 비추는! 퍼지는! 반짝이는! 문화사업'을 펼쳐나갈 예정이다.    햇살문화도시 밀양 비전 선포식 참가자들이 비전 선포 제막식을 하고 있다. *재판매 및 DB 금지주요사업으로 문화 향유 격차를 해소하기 위한 문화 팝업, 청년 인구 유입을 통해 농촌 지역의 경제 활성화 유도를 위한 밀양 쉼표, 거점공간을 통해 지역 고유의 현장감 있는 문화 조성을 위한 햇살문화발전소, 우수한 생태자원을 통해 생태와 문화가 조화를 이루는 문화플로깅을 추진한다. 특성화 사업으로 옛 밀양대학교의 유휴공간을 활용한 햇살전환캠퍼스를 조성한다. 도시 곳곳으로 시민 문화력을 확산시켜 새로운 햇살문화도시를 만들어가는 기술·실험·공동체·문화공간을 발굴하고 상호 연결해 지역 문화생태계를 구축할 계획이다.청년친화도시 사업, 상권 르네상스 사업, 도시재생 사업, 문화재 활용사업 등 시에서 추진하는 부서별 주요사업과 연계 협력해 사회·경제적 파급효과를 높일 방침이다. 시 관계자는 ""밀양은 고유한 역사성과 문화 정체성을 가진 준비된 문화도시로 시민은 변화에 빠르게 적응하며 성장하는 준비된 문화시민이다""며 ""시민의 힘으로 문화성장을 이루고 밀양의 가치를 더욱 높일 수 있도록 돕겠다""고 밝혔다.    햇살문화도시 밀양 비전 선포식에서 밀양시어린이합창단이 식전공연을 하고 있다. *재판매 및 DB 금지 ]",[],https://www.news1.kr/articles/?4633398,https://n.news.naver.com/mnews/article/003/0011094079?sid=102
2022.03.31.,오마이뉴스,,"문체부, 지자체 대상 '문화도시' 공모",,,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002822519&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://www.yna.co.kr/
2022-03-31 14:31:11,노컷뉴스,생활/문화,"국민의힘 박성효 대전시장 예비후보 ""지역 문화예술인 복지 강화""","[    (안산=연합뉴스) 김솔 기자 = 경기문화재단 경기창작센터가 생활문화센터를 갖춘 복합문화공간 '경기창작캠퍼스'로 새로 단장한다.    경기창작센터 전경[경기문화재단 제공. 재판매 및 DB 금지]    재단은 올해 하반기부터 2년간 경기창작센터를 대상으로 노후 시설 개보수 및 사업 고도화 작업을 추진해 2024년 경기창작캠퍼스로 다시 문을 열 예정이라고 31일 밝혔다.    옛 경기도립직업전문학교를 개축해 2009년 10월 문을 연 경기창작센터는 창작 스튜디오와 전시실, 작품창고, 공방 등을 갖추고 국내외 작가들의 창작과 연구활동을 지원하는 예술후원기관이다.    재단은 이번 재정비를 통해 경기창작센터를 학습 공간, 사무 공간. 생활문화센터, 예술공원, 갤러리 카페 등을 갖춘 복합문화공간으로 전환해 도민들에게 개방할 예정이다.    특히 안산시 대부도에 있는 경기창작캠퍼스의 지리적 특성을 활용해 생활문화센터 내에 해양 문화 발굴과 바다 생태 연구를 위한 특성화 공간 '네이처 랩(Nature Lab)'도 마련한다.    경기창작캠퍼스로 전환된 이후에도 기존의 예술가 대상 공간 임대 사업은 유지되며, 예술가들의 입주 형태와 시기 등은 더욱 다양해질 전망이다.    또 캠퍼스 내 사무공간을 저렴하게 임대해 입주 단체들이 상품 개발과 제작에 집중할 수 있는 환경을 제공하고, 입주 예술가와 생활문화센터 이용객 간 교류를 통해 서비스 개발과 시제품 테스트 기회를 제공할 계획이다.    이번 공사에는 '2022년 생활문화센터 조성 국비 지원 사업' 예산 60억원이 투입된다.    공사 기간 센터 운영은 중단된다.    강헌 경기문화재단 대표이사는 ""경기창작캠퍼스가 문화예술 생산자와 수용자 모두를 위해 21세기에 걸맞은 문화정책을 시행하는 전초기지로 거듭날 것을 기대한다""고 말했다.     sol@yna.co.kr ]",[],https://www.nocutnews.co.kr/news/5732753,https://n.news.naver.com/mnews/article/001/0013084931?sid=103
2022.03.31.,헤럴드경제,,"광주,울산,경북,전북에 관광기업지원센터 구축",,,http://news.heraldcorp.com/view.php?ud=20220331000140,http://www.newsis.com
