Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.08.30.,파이낸셜뉴스,,"""가족 화합 도모"" 세라젬 부모님 연구소 구독 10만 돌파",,,http://www.fnnews.com/news/202308300853373949,http://www.fnnews.com/
2023-08-30 08:57:03,한국경제TV,경제,"레고랜드, 춘천지방법원과 업무 협약 체결…위기 가정 위한 가족 캠프 지원","[      [파이낸셜뉴스] 세라젬이 세대 간 공감대 형성과 가족 간 화합 도모를 위해 운영하는 유튜브 채널 '부모님 연구소' 구독자 수가 10만명을 돌파했다.   30일 세라젬에 따르면 부모님 연구소는 '세상의 모든 자녀를 대신해 부모님 건강과 행복을 연구한다'를 슬로건으로 부모에 대해 자세히 알기를 원하는 이용자들에 각종 리서치 결과와 맞춤형 콘텐츠를 제공하기 위해 지난해 4월 개소했다.   같은 해 7월부터 운영 중인 유튜브 채널은 실제 부모님과 자녀가 출연하는 다양한 포맷 기획 콘텐츠와 전문가 인터뷰 등을 통해 방문자 공감을 이끌어 냈다. 1년 동안 총 126개 영상을 올렸으며 별도 광고 없이 누적 2840만회 조회 수를 기록 중이다.   세라젬은 부모님 연구소 1주년을 맞아 채널을 개편하고 콘텐츠 포맷을 더욱 다각화 한다. 스튜디오 촬영 중심 영상 외에 여행 콘텐츠나 짧은 드라마 등 다양한 콘텐츠를 선보일 계획이다. 또 '웰라이프 멤버십'과 연계성을 강화해 리서치나 각종 이벤트도 추진한다.   세라젬 관계자는 ""부모님 연구소 채널은 우리 시대 부모와 자녀가 가진 고민을 함께 공유하고 소통하는 장으로 많은 역할을 해왔다""며 ""부모에 대해 더욱 깊이 알아보고 가족 간 화합에 기여할 수 있는 채널이 되도록 노력할 것""이라고 말했다.   ]",[],http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202308310155&t=NN,https://n.news.naver.com/mnews/article/014/0005064273?sid=101
2023.08.31.,중앙일보,,'Z세대'는 인터넷은행 선호...시중은행 “알파세대 잡아라”,,,https://www.joongang.co.kr/article/25188962,http://www.wowtv.co.kr/
2023-08-31 12:00:10,마이데일리,생활/문화,[MD포토] 드라마 '완벽한 가족' 배우 한자리,"[     레고랜드 코리아 리조트(이하 레고랜드)가 춘천지방법원과 업무 협약을 체결하고 지역 내 위기 가정을 위한 다양한 프로그램 지원에 나선다.     강원도 춘천 레고랜드에서 지난 30일에 진행된 협약식에는 레고랜드 코리아 이순규 대표와 춘천지방법원 부상준 법원장 등 양 기관의 주요 관계자들이 참석했다.     레고랜드는 춘천지방법원이 매년 가사재판 및 소년재판의 일환으로 이혼 전후 가정의 자녀 및 위기청소년, 비행청소년을 대상으로 해당 가족 간의 의사 소통과 관계 개선을 위해 운영중인 사이다(사랑하는 이 마음 다 주는) 캠프, 소나기(소통나눔기쁨) 캠프, 미사고(미안해 사랑해 고마워) 캠프 등을 적극 지원할 예정이다. 특히, 해당 캠프들을 위해 레고랜드 리조트 내 호텔, 테마파크 등 가족 친화적인 시설들을 제공할 계획이다.     이번 업무협약의 주요 내용으로는 이혼 전후 어린이 가정 관계 개선 프로그램 지원, 위기청소년, 비행청소년 대상 부모, 자녀 유대 강화 및 가정의 보호력 향상 프로그램 지원, 그리고 전국 법원 재직자 및 가족들에게 레고랜드 입장 공공기관 할인 혜택 등이 있으며 향후 양 기관의 협력을 더욱 강화해 나가기로 협의했다.     한편, 레고랜드 코리아는 지역사회의 위기가정 및 소외 계층을 위해서 작년 오픈 이래 올해까지 다양한 기관들과 협약을 통해 지원에 일조해왔다. 춘천시가 주관하는 ‘세대공감 나눔릴레이’는 복지사각지대에 놓여있는 조손, 고령, 1인 위기가정을 위한 프로그램으로 레고랜드는 작년부터 올해 2회째 쌀 500kg 와 후원금을 기부하고 있다.      이외에도 레고랜드는 어린이 자녀를 둔 소외 계층 가족을 레고랜드로 초청하는 ‘멀린 매직완드’, 동절기 연탄 2000장 나눔 배달 등 지역 사회 내 취약 계층을 돕기 위한 다양한 노력을 기울여 왔다.     이순규 레고랜드 코리아 리조트 대표는 “레고랜드는 ‘가족’을 가장 중요한 가치로 생각하고 있으며, 레고랜드 리조트의 테마파크와 호텔은 자녀와 부모가 함께 즐길 수 있어 지역 위기 가정의 가족애 및 소통을 강화하는 데에 도움이 될 수 있을 것으로 기대하고 있다”라면서 “앞으로 지역 내 다양한 위기가정과 소외 취약계층을 위해 가족 테마파크인 레고랜드가 앞장서 지원을 해 나가고자 한다”라고 말했다. ]",[],https://mydaily.co.kr/page/view/2023083111554434729,https://n.news.naver.com/mnews/article/215/0001122419?sid=103
2023.08.30.,이데일리,,"'달짝지근해' 유해진, 세대 불문 공감 이끈 열연…100만 돌파 목전",,,http://starin.edaily.co.kr/news/newspath.asp?newsid=01151286635712568,https://www.joongang.co.kr
2023-08-31 18:10:03,아시아투데이,경제,"[아투★현장] '완벽한 가족' 김병철·윤세아 ""다시 만나 기뻐…새 케미 보여줄...","[      시중은행들이 알파세대(초등학생)를 겨냥한 금융 서비스를 확대하고 있다. ‘Z세대’로 분류되는 중ㆍ고등학생들은 카카오뱅크ㆍ토스와 같은 인터넷전문은행 이용률이 높은 편인데, 상대적으로 부모에 대한 의존도가 더 높은 알파세대를 일찍이 공략해서 미래 고객으로 삼겠다는 전략이다.        31일 금융권에 따르면 신한은행은 9월부터 부모가 미성년 자녀통장을 비대면 방식으로 개설할 수 있도록 했다. 하나ㆍ우리은행도 지난 7월부터 가능해졌다. 기존에는 미성년 자녀의 계좌를 개설하려면 부모가 은행 영업점을 방문해 신분증, 가족관계증명서 등 필요서류를 제출해야만 했다. 자녀 계좌를 쉽게 개설하면 대포 통장 등으로 악용될 소지가 있다는 게 이유였는데 지나친 규제라는 지적이 제기돼왔다. 지난 4월 금융위원회가 ‘비대면 실명확인 가이드라인’을 개편하면서 비대면 자녀 계좌 개설이 점차 확대되는 추세다.        임산부나 영ㆍ유아 고객을 겨냥한 서비스도 늘고 있다. 신한은행은 지난 3월 ‘태아 미리 등록 서비스’를 출시했다. 임신중 태아 정보를 미리 등록하고 출생 후 자녀 계좌를 개설하면 입출금 통장 바우처 3만원, 청약 통장 바우처 2만원 등 최대 5만원을 지급한다.      하나은행은 지난 4월 야탑역금융센터 지점에 영유아 전용 수유실과 임산부 휴게실이 있는 ‘하나 맘케어 센터’ 1호점을 열었다. 지난달 수유역금융센터에 2호점을 여는 등 점차 늘려간다는 계획이다. 하나은행 관계자는 “저출생 극복에 기여한다는 취지지만 은행을 아이친화적인 공간으로 만들면 알파세대 고객 확보에도 유리하다고 보고 있다”고 말했다.           김영희 디자이너            하나금융경영연구소의 ‘잘파세대(Z세대+알파세대)의 금융생활’ 보고서에 따르면 2010년 이후 태어나 알파세대라고 불리는 초등학교 4~6학년생 10명 중 6명(61%)은 첫 금융거래를 할 때 부모와 같은 시중은행을 이용하는 것으로 나타났다. 한편 Z세대(1990년 중반~2000년대 초반 출생)로 분류되는 중ㆍ고등학생은 부모보다 또래 집단의 영향을 더 받으면서 선호하는 금융회사가 달라졌다. 처음 거래를 시작한 곳이 인터넷전문은행이나 청소년 특화 어플리케이션인 유스앱이라는 응답이 46.2%로 시중은행(47.8%)과 비슷했다.      인터넷은행들이 선제적으로 내놓은 청소년 전용 용돈관리 서비스나 선불 충전카드의 영향력이 큰 것으로 분석된다. 선불 충전카드는 계좌가 없어도 쉽게 만들 수 있다는 게 큰 장점이다. 대부분 일50만원ㆍ월200만원 한도 내에서 온ㆍ오프라인 결제가 가능하고, 교통카드로도 쓸 수 있다.          김영희 디자이너            카카오뱅크는 2020년 10월 충전된 금액만큼 모바일 간편 결제나 카드 결제가 가능한 ‘미니’ 서비스를 출시했는데 3년 만에 가입자가 180만명(지난 6월 말 기준)을 돌파했다. 그러자 지난 25일부터는 기존 가입 대상을 만 14세~18세에서 만 7세 이상으로 확대했다. 카카오뱅크 관계자는 “연령 확대 이후 미니 신규 가입자의 60%가 만 7세~13세일 정도로 반응이 좋다”며 “미니 이용 경험은 자연스럽게 카카오뱅크 계좌 개설 등 성인 대상 서비스 전환으로 이어지고 있다”고 말했다.        토스도 2021년 12월 만 7세~16세를 대상으로 ‘유스카드’ 서비스를 내놨다. 초등학교 1학년생도 쓸 수 있는 최초의 카드란 점에서 주목을 받았고, 지난 6월 말 기준 116만장 이상이 발급됐다. 케이뱅크도 지난해 12월 ‘하이틴카드’를 출시했다. 후발주자인 만큼 월 최대 2000원의 현금 캐시백 서비스 등으로 가입자를 늘려나가겠다는 방침이다.      카카오뱅크에 맞서기 위해 시중은행들도 ‘아이부자(하나은행)’, ‘리브 넥스트(KB국민은행)’와 같은 청소년 전용 금융앱을 출시하고 각종 금융 혜택을 늘려가고 있다. 아이부자는 부모와 자녀가 함께 앱을 설치해 용돈을 관리하거나 체험형 금융교육을 할 수 있도록 했다. 2021년 6월 출시 후 2년만에 가입자수 110만명을 돌파했고 최근 3개월 평균 거래 건수는 114만건 수준이다. 황선경 하나금융경영연구소 수석연구원은 ""미래 고객을 확보하기 위해선 알파부터 Z세대까지 시기별 변화 관리로 지속적인 관계를 형성하는 것이 필요하다""고 말했다.    ]",[],https://www.asiatoday.co.kr/view.php?key=20230831010017161,https://n.news.naver.com/mnews/article/025/0003304609?sid=101
2023.08.31.,데일리안,,경기도교육청 4.16민주시민교육원 '4.16 기억 동행 가족 캠프' 참가자 모집,,,https://www.dailian.co.kr/news/view/1268560/?sc=Naver,http://www.mydaily.co.kr/
2023-08-31 11:56:00,중부매일,,"진천군, MZ세대 공직자 '행복한 가정 만들기' 교육 운영",[],[],http://www.jbnews.com/news/articleView.html?idxno=1406196,https://n.news.naver.com/mnews/article/117/0003765919?sid=106
34면 TOP,국민일보,,“비혼 동거는 건강한 가족 공동체 무너뜨린다”,,,https://news.kmib.co.kr/article/view.asp?arcid=0924318827&code=23111111&cp=nv,http://www.edaily.co.kr/
2023-08-30 09:55:00,서울경제언론사 선정,,"""반려동물도 가족""……MZ세대 5명 중 1명은 ‘펫로스’ 휴가 찬성",[],[],https://www.sedaily.com/NewsView/29TKJ5NFXB,https://n.news.naver.com/mnews/article/018/0005562482?sid=106
