Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.04.15.,뉴스티앤티,,"박상돈 천안시장, 취임 1주년 소회 및 향후 시정 운영 방향 발표",,,http://www.newstnt.com/news/articleView.html?idxno=75721,http://www.newstnt.com
2021.04.30.,서울신문언론사 선정,,임기 마친 주호영 “막무가내 집권세력에 맞선 1년” 소회 밝혀,,,https://www.seoul.co.kr/news/newsView.php?id=20210430500153&wlog_tag3=naver,https://www.seoul.co.kr
2021-04-30 16:42:01,뉴스핌,정치,"주호영, 오전 11시 기자간담회...퇴임 전 마지막 소회 밝혀","[ 원내대표직 마친 주호영 “국회, 택배 사무소로 전락”차기 당대표 도전에도 쏠리는 관심    주호영 국민의힘 대표 권한대행 겸 원내대표가 28일 국회에서 기자간담회를 갖고 원내대표 임기를 마무리하며 그간의 소회를 밝히고 있다. 2021. 4. 28 김명국 선임기자 daunso@seoul.co.kr국민의힘 주호영 대표 권한대행 겸 원내대표는 30일 임기를 마치며 소회를 밝혔다. 주 권한대행은 이날 자신의 페이스북에 올린 글을 통해 “지난해 총선 우리 당은 분노한 민심의 삼각파도를 맞고, 난파선이 됐다”면서 “하지만 위대한 국민들은 이 당이 다시 설 수 있도록 기회를 주셨다”면서 “거듭 감사드린다”고 밝혔다.주호영 “거대 여당에 맞서 싸워…단 하나의 기회도 허투루 안 써”주 권한대행은 “원구성 협상 협상에서부터 집권세력은 막무가내였다”면서 “국민들이 준 180석의 의석을 집권당 마음대로 모든 것을 할 수 있는 허가증으로 여겼다”고 소회했다. 주 원내대표는 임기 초반 법제사법위원장 등 원구성 협상을 두고 더불어민주당과 벌인 기싸움에서 결국 여당을 넘어서지 못했다. 이에 대해 주 권한대행은 “지난 1년 국회는 청와대와 행정부가 국회에 넘기는 법안을 속전속결로 처리하는 ‘택배 사무소’로 전락했다”고 비판했다. 특히 “저와 우리 국민의힘은 거대 여당의 횡포에 맞서 의회민주주의 파괴와 헌정 유린에 맞서 싸웠다”면서 “의사진행발언, 5분 발언, 필리버스터, 원내교섭단체 대표연설 등 우리에게 주어진 단 하나의 기회도 허투루 흘려보내지 않았다”고 자평하기도 했다.    축하받는 국민의힘 김기현 신임 원내대표 - 30일 서울 여의도 국회도서관 대강당에서 열린 국민의힘 원내대표 선출을 위한 의원총회에서 신임 원내대표에 선출된 김기현 의원(오른쪽)이 전임 주호영 원내대표로부터 축하받고 있다. 2021.4.30 연합뉴스차기 당권 도전에도 관심…원내대표 선거 결과가 영향 미치나한편, 주 권한대행의 원내대표직은 이날 열린 국민의힘 원내대표 경선 결선투표 결과 선출된 4선의 김기현 의원이 맡게 됐다. 이 결과를 두고 당 안팎에선 6월 초쯤으로 예상된 차기 당 대표 선거에 영향을 미칠 수 있다는 분석이 나온다. 주 권한대행은 아직 자신의 거취를 명확히 밝히지 않았지만, 차기 당 대표 유력 주자로 거론돼 왔다. 그러나 영남권인 김 의원의 원내대표 당선으로, 같은 영남권인 주 권한대행의 당 대표 도전이 어려울 것이란 전망이다.원내대표와 당 대표 모두 영남권이 될 경우, 내년 3월 대선을 앞두고 외연 확장에 걸림돌이 될 수 있다는 당내 우려 때문이다. 국민의힘의 한 의원은 서울신문과의 통화에서 “원내대표에 이어 당 대표까지 영남권 의원이 될 경우, 당심은 얻을 수 있을지 몰라도 민심과는 멀어질 수밖에 없다”면서 “민심이 원하는 당 대표가 필요한 때 아니겠느냐”라고 말하기도 했다.이근아 기자 leegeunah@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭!  ▶ [인터랙티브] 코로나 청년 잔혹사   ▶ [나우뉴스] 세상에 이런 일이ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지   ]","['당신같은 사람이 정치을 안해야 정치가 깨끗해진다', '거기도 만만치 않아요~', '', '', '발목잡기 입털기로 분탕질 열심히하고 나랏일한건없이 1년 그냥 쉬세요', '임기내내  무조건 반대만하다  끝나군 정치귄에서 보고싶지않다~', '꼴 값 한다고 욕봤슈  다시는 보지 맙시다', '대구 지역구..........집은 아직도 서울 ㅋㅋ 너나 잘 해 지역구ㅇ 감사하고 ㅋㅋ', '어서 영윈히 꺼져라  보기도삻다', '추행당은 그나마,영호남이 섞여있는데,이것들은 갱상도 꼴통위주라 도무지 확장성이 없구만.틈만나면 사면과 탄핵 무효만 주장하니.ㅉ', '줏호영의 조웃같은 1년이구나~~', '', '', '주호영도 잘했지만 당대표 윤희숙 같은 초선을 밀어주었음 한다.\n뒤에서 조언하면서 제발 당쇄신하는걸 국민들에게 보여줘라', '개돼지같은 주물럭 잘가라.\n아파트재개발지역 투기전문가 24억 시세차익은 왜\n주둥아리 닫고 가냐. 인간같지 않는 광견', '어부지리 표심 으로\n1년 짜리\n단체장 선출 한게\n대단 하냐\n상이위 한석 없는\n극우정치 \n국회 지형 은\n결국 몰락 에 길 이다\n국민 의회 의 시간 은 민주주의 시대다\n자유민주주의는가짜다', '', '적폐중적폐.\n지역주의로 국회의원되고...\n문재인이 못해도 다시는 너희들한텐 안간다.', '', '주호영 대실망 윤석열님 때문에 오세훈 찍었는데  한심한 종자들 김용판 서병수,아웃. 윤석열님이 민주당에 나와도 찍는다. 난 대구고향 서울시민', '민주당 2중대 하느라 고생했다 고마 내리 오고 홍준표 의원님 모셔 온나', '', '어이 호영씨\n적반하장도 어지간하게 하자\n판사출신이 저리도 거짓말을 너무 쉽게 하네', '애쓰셨네 네로남불 막므가네 당과 맞서 싸운다고 수고많이 하셨수', '고생하셨습니다..정권교체로ㅜ보답받고싶습니다..국민일동.', '좌파가 나라 잡으면 망한다는걸 절실히 느꼈다. 경제를 살리려면 어쩄든 보수가 집권해야한다.']",http://www.newspim.com/news/view/20210427001273,https://n.news.naver.com/mnews/article/081/0003183182?sid=100
2021.04.30.,헤럴드POP,,"'어쩌다 사장', 자체 최고 시청률 경신..조보아 맹활약→차태현X조인성 소회 ...",,,http://biz.heraldcorp.com/view.php?ud=202104301055225359426_1,http://www.newspim.com
2021.04.28.,헤럴드경제,,[헤럴드pic] 마지막 소회를 밝히는 주호영 국민의힘 대표 권한대행 겸 원내대...,,,http://news.heraldcorp.com/view.php?ud=20210428000922,http://www.heraldpop.com/
2021-04-30 10:57:00,뉴시스,,총리 직무대행 소회 밝히는 홍남기 부총리,[],[],http://www.newsis.com/view/?id=NISI20210427_0017393441,https://n.news.naver.com/mnews/article/112/0003427903?sid=106
2021.04.21.,아주경제,,"최기영 과기정통부 장관 ""해야 할 일 어느 정도 했다""…1년 7개월 임기 소회",,,http://www.ajunews.com/view/20210421173616653,http://www.heraldbiz.com/
2021-04-28 15:03:06,뉴스1,정치,"SG워너비 김진호, 역주행 1위에 소회 ""여러분의 추억이 1위""","[     [헤럴드경제=이상섭 기자] 주호영 국민의힘 대표 권한대행 겸 원내대표가 28일 국회에서 기자간담회를 갖고 원내대표 임기를 마무리하며 그간의 소회를 밝히고 있다.babtong@heraldcorp.com▶환경적 대화기구 '헤럴드에코'▶밀리터리 전문 콘텐츠 ‘헤밀’▶헤럴드경제 네이버 채널 구독- Copyrights ⓒ 헤럴드경제 &amp; heraldbiz.com, 무단 전재 및 재배포 금지 -   ]",[],https://www.news1.kr/articles/?4279960,https://n.news.naver.com/mnews/article/016/0001828230?sid=100
2021.04.19.,충청타임즈,,취임 100일의 소회,,,http://www.cctimes.kr/news/articleView.html?idxno=654111,http://www.newsis.com
2021-04-27 16:00:00,대한경제,정치,"정세균, 15개월 총리 소임 소회 “한순간도 마음 놓을 수 없었던 시간의 연속...","[     [세종=뉴시스]강종민 기자 = 홍남기 국무총리 직무대행이 27일 오후 정부세종청사 기획재정부에서 열린 출입기자 간담회에서 1/4분기 GDP 및 경기 상황과 부동산 정책, 코로나19 백신과 방역, 국무총리 직무대행 소회 등을 밝히고 있다. 2021.04.27.ppkjm@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.&lt;ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지&gt;   ]",[],https://www.dnews.co.kr/uhtml/view.jsp?idxno=202104161512390630872,https://n.news.naver.com/mnews/article/003/0010469351?sid=100
