Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.03.30.,뉴시스,,"젬백스, 알츠하이머 유럽임상 첫환자 등록…""본격 개시""",,,http://www.newsis.com/view/?id=NISX20230330_0002246649&cID=10434&pID=13200,http://www.newsis.com
2023-03-30 08:47:33,뉴스1,사회,센트릭스바이오 '알츠하이머 신약물질' 정부지원 31억…'비임상 속도',"[ 기사내용 요약프랑스·핀란드·포르투갈 추가 승인    [서울=뉴시스]송연주 기자 = 국내 바이오 기업 젬백스앤카엘은 유럽에서 진행 중인 알츠하이머병 임상시험의 첫 환자 등록이 완료됐다고 30일 밝혔다. 젬백스에 따르면 지난 29일 스페인에서 알츠하이머병 치료 후보물질 ‘GV1001’의 2상 임상시험 첫 환자 등록을 완료하며 미국에 이어 유럽에서도 임상이 본격 개시됐다. 신약을 허가받기 위해 진행하는 임상시험의 2상 단계에선 환자에게 신약을 투여해 유효성 및 안전성을 평가한다. 이번 임상은 경증 및 중등증 알츠하이머병 환자를 대상으로 GV1001을 53주(12개월) 동안 피하 주사해 유효성 등을 평가하는 시험이다. GV1001의 글로벌 임상은 지난해 10월 미국에서 첫 환자가 등록된 데 이어 현재까지 총 6명이 등록됐다. 최근 프랑스, 핀란드, 포르투갈에서도 2상 임상 계획이 승인됐다. 젬백스는 미국에서 77명, 유럽에서 108명을 모집해 총 185명 규모로 진행할 예정이다. 젬백스 관계자는 “당초 계획한 유럽 7개국 중 6개국에서 임상시험을 승인받았고, 어제 첫 환자 등록이 완료되면서 유럽 임상도 본격 궤도에 올랐다”고 말했다. ]",[],https://www.news1.kr/articles/5000445,https://n.news.naver.com/mnews/article/003/0011772329?sid=102
2023.03.31.,뉴스1,,이번엔 타우 단백질…바이오젠 새 알츠하이머 후보 초기 임상서 효과,,,https://www.news1.kr/articles/5000449,http://news1.kr/
2023-03-31 13:00:45,동아사이언스언론사 선정,경제,"""알츠하이머 치료제, '뇌 수축' 유발""...연구결과에 학계 파장","[ ""동물실험 안전성 확인 후 임상1상 신청 계획""    ⓒ News1 DB(서울=뉴스1) 이영성 바이오전문기자 = 센트릭스바이오가 개발 중인 알츠하이머 치매 치료 후보물질 'CB201'이 치매극복연구개발사업단으로부터 치매치료제 개발과제로 최종 선정됐다. 이로써 센트릭스바이오는 3년간 총연구비 31억원을 지원받는다. 31일 전재원 센트릭스바이오 대표는 ""약물의 우수성과 개발 가능성을 인정받아 비임상 단계부터 사업단 지원을 받게 됐다”며 “CB201은 상용화된 치매 치료제와는 차별화된 작용기전으로 뇌의 면역기능을 활성화시켜 근본 원인을 제거하기 때문에 알츠하이머뿐만 아닌 다른 퇴행성 뇌질환에서도 효능이 있을 것으로 기대한다""고 밝혔다. 치매극복연구개발사업은 관련 신약개발에 필요한 단계별 과정을 전주기에 걸쳐 지원하는 정부 사업이다. 정부는 2020년 8월 이 사업단을 출범시켰고, 2028년까지 8년간 1987억원 규모의 자금을 투입할 계획이다. 센트릭스바이오는 3년간 연구비 31억원을 지원받아 CB201에 대한 알츠하이머 치매 비임상 독성 연구를 진행할 예정이다. 이 연구로 동물실험 안전성을 확인해 임상1상 신청 및 승인을 받을 계획이다. 회사에 따르면, CB201은 'Y'자형 미로 실험(Y-maze)에서 질병모델을 정상쥐의 85% 수준으로 회복시켰고, 수중미로 실험(Morris water maze)에서 알츠하이머성 치매로 인한 인지능력 및 학습, 행동능력저하를 정상쥐 대비 106%로 개선시켰다. 정상쥐와 거의 같은 수준으로 기억력과 행동능력 등이 회복된 것을 검증했다는 설명이다. 센트릭스바이오는 개발 물질에 대한 원천특허를 보유하고 있다.센트릭스바이오는 이외에도 면역항암 신약 후보물질 'CB301'에 대해 국가신약개발사업단의 ‘신약 R&amp;D 생태계 구축 연구’ 사업 과제로 선정돼 2년간 20억원의 지원을 받아 프로젝트를 추진 중이다.   ]",[],https://www.dongascience.com/news/view/59168,https://n.news.naver.com/mnews/article/421/0006719143?sid=101
2023.03.31.,이데일리,,"올해 하반기 코스닥상장 도전 듀켐바이오, 강점은?",,,http://www.edaily.co.kr/news/newspath.asp?newsid=01079126635548896,http://news1.kr/
2023-03-31 13:33:08,MBN언론사 선정,세계,"""눈만 봐도 알츠하이머 조짐 알 수 있다""","[ BIIB080 임상1b상, 뇌척수액에서 타우 지수 60% 감소아밀로이드 베타 표적 '레켐비' 지난 1월 승인…인지장애 약 27%↓    서울 강남구 삼성동 코엑스에서 열린 보건복지부와 중앙치매센터 주최 '오감동행(五感同行) 더 맑게 더 밝게 더 젊게' 치매예방 체험존에서 어르신들이 치매 선별을 위한 후각테스트를 실시하고 있다.. 2013.9.16/뉴스1(서울=뉴스1) 성재준 바이오전문기자 = 미국 바이오젠이 이제껏 개발했던 아밀로이드가 아닌 타우 단백질을 표적으로 한 새로운 후보물질을 개발하고 있다. 최근 국제학회에서 긍정적인 결과를 공개해 관심이 쏠리고 있다.바이오젠은 지난 29일 스웨덴에서 열린 '알츠하이머·파킨슨병에 관한 국제회의'(AD/PD 2023)에서 'BIIB080'이 초기 알츠하이머 환자의 타우(tau) 단백질 수치를 상당히 감소시킨 임상1b상 연구 결과를 공개했다고 31일 밝혔다.BIIB080은 안티센스 올리고뉴클레오티드(ASO) 기반 물질이다. 척수강에 투여하는 주사제로 타우와 관련된 mRNA(메신저리보핵산)를 표적으로 해 타우 단백질 생산을 감소시킨다. 임상시험 참가자들은 한 달에 1회 또는 3개월에 1회 집단으로 투약 빈도를 구분해 치료를 받았다. 임상시험 결과 BIIB080은 PET 스캔으로 측정한 초기 알츠하이머병 환자의 6개 뇌 영역 전체의 뇌척수액(CSF)에서 타우 단백질 바이오마커(생물학적 지표)를 줄였다. 바이오젠에 따르면 관찰 결과 주요 효능평가 기준인 CSF tau 수준이 모든 집단에서 약 60% 감소하며 타우 병리를 성공적으로 줄였다.도미닉 왈시 바이오젠 알츠하이머 및 치매 연구부문 부사장은 ""단순히 진행이 중단된 것이 아니었다. 반전이 있었다""며 ""임상2상에서는 환자 편의를 위해 투약 일정을 6개월에 1회 투약으로 바꿀 수 있기를 희망한다""고 말했다.이번 바이오젠 연구 결과에 대해 미국 의약전문지 바이오스페이스는 타우 단백질과 관련된 알츠하이머 병리를 줄이는 것이 중요하다고 설명했다. 타우 단백질은 다른 알츠하이머 바이오마커인 아밀로이드 베타(Aβ)보다 임상이나 인지 증상과 더 밀접하게 관련됐기 때문이다.왈시 부사장 또한 타우 단백질 발현 위치와 양은 알츠하이머 증상 발현·심각 정도와 직접적인 관련이 있다고 설명했다. 가령 전두엽 피질에서 발생한 타우 단백질은 실행기능 손실과 관련이 있다. 또 내부피질과 해마 조직에 타우 단백질 침전물이 발생하면 새로운 기억을 만들거나 암호화하는데 어려움을 겪는다. 현재 바이오젠은 경증 및 중등도 알츠하이머 환자를 대상으로 BIIB080의 안전성, 내약성 및 효능을 확인하기 위한 임상2상을 모집 중이다. 임상2상은 2026년 12월에 완료할 계획이다.한편 바이오젠은 지난 1월 미국 식품의약국(FDA)으로부터 일본 에자이와 함께 개발한 알츠하이머 치료제 '레켐비'(성분 레카네맙) 조건부 승인을 획득했다. 레켐비는 임상시험에서 경도 인지장애 또는 치매 환자의 증상을 27% 줄였다.바이오젠은 현재 BIIB08 단독요법을 개발 중이다. 하지만 일각에서는 향후 레켐비 또는 앞서 출시했던 '아두헬름(성분 아두카누맙) 같은 항아밀로이드 요법으로 개발할 가능성도 있다는 분석도 나오고 있다.에자이 또한 유전성 알츠하이머 환자를 대상으로 레켐비를 기본으로 한 타우 항체를 개발 중이다.   ]",[],http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00013&news_seq_no=4914770,https://n.news.naver.com/mnews/article/421/0006719218?sid=104
2023.03.30.,메디파나뉴스,,알츠하이머 치료 상용화 앞둔 릴리…왜 로슈와 손을 잡았나,,,https://www.medipana.com/article/view.php?news_idx=310053&sch_cate=D,http://www.dongascience.com
2023-03-29 15:43:01,의학신문,생활/문화,가족성 알츠하이머병 임상 연내 日 실시,[     게티이미지뱅크 제공   알츠하이머 치매(알츠하이머병) 원인으로 알려진 뇌 속 아밀로이드베타(Aβ) 단백질을 타깃으로 하는 치료제가 오히려 뇌 수축을 유발할 수 있다는 학계 보고가 나왔다. 앞서 실시된 임상시험에서 뇌가 수축되는 증상이 관찰된 바 있었지만 체계적인 연구가 이뤄지진 않았다. 아밀로이드베타 단백질을 제거하는 방식의 치료제 중 하나인 ‘레켐비(성분명 레카네맙)’는 국내에도 도입될 가능성이 높은 것으로 여겨져 이번 학계의 보고에 관심이 모인다.    28일(현지시간) 국제학술지 ‘사이언스’ 보도에 따르면 호주 멜버른대 하워드플로레이 연구소 연구팀은 항아밀로이드베타 단백질 방식의 알츠하이머병 치료제가 뇌 수축을 야기할 수 있다는 연구 결과를 전날 국제학술지 ‘신경학’에 발표했다. 연구팀은 이 치료제가 뇌 수축에 미치는 영향을 다룬 기존 연구들을 종합적으로 검토했다고 설명했다.    연구팀은 항아밀로이드베타 단백질 치료제 임상시험 31건의 결과를 분석했다. 연구 결과에 따르면 아밀로이드베타 단백질을 겨냥한 방식의 치료제를 복용한 참가자들은 위약을 복용한 환자들보다 더 심한 뇌 수축을 경험한 것으로 나타났다.    대표적으로 미국 식품의약국(FDA)의 승인을 받은 레켐비의 경우 이 약을 18개월 동안 복용한 환자들 뇌의 용적은 위약군에 비해 평균 28% 감소했다. 연구팀은 이정도 뇌 용적이 줄어들면서 뇌를 구성하는 물질의 약 5.2ml가 손상됐을 것이라 추정했다.   연구를 이끈 스콧 에이튼 하워드플로레이 연구소 연구원은 “분석 결과를 확인하고 큰 충격을 받았다”며 “이처럼 중요한 사실이 의료현장에서 무시된 것은 매우 이상하다”고 말했다.   미국 바이오젠과 레켐비를 공동 개발한 일본 에자이는 치료제가 작용하는 과정에서 뇌 수축이 일어날 수 있다는 입장을 내놨다. 에자이 측은 “주요 실험에서 레켐비를 복용한 환자들은 위약을 복용한 환자들보다 더 많은 부피의 뇌 피질이 손실됐지만 이는 뇌에서 아밀로이드베타 단백질이 제거되고 염증이 발생하는 과정에서 발생할 수 있는 일”이라고 밝혔다.    학계는 뇌 수축이 사람에게 미치는 영향을 정확히 확인해야 한다고 지적한다. 론 슈나이더 미국 서던캘리포니아대 알츠하이머병센터 소장은 “치료제를 복용한 환자에게서 발생한 뇌 수축이 무엇을 의미하는지 모른다”며 “이러한 현상을 진지하게 이해할 필요가 있다”고 전했다. 조나단 잭슨 미국 메사추세츠종합병원 연구원도 “뇌 수축이 인체에 미치는 영향에 대해선 아직 알 수 없지만 이러한 변화는 해로운 것일 가능성이 높다”는 의견을 내비쳤다. ],"['그럼 다시 치매치료제는 원점이네요.  아리바이오 AR1001을 기대해 봐야 겠군요. 다중기전 경구용 치매치료제 미국FDA 임상3상  시작 했으니.. 기대해 봅니대.', '', '2024년에는 중증 치매약이 나왔으면좋겠다 어머니11년째 고생중인데 이빨도 많이 빠지고 살빠지고', 'NK세포치료제가 더욱더 기대가 됩니다.', 'ㅋㅋㅋㅋ 치료제먹고 알츠하이머증상은 개선되나 뇌수축으로 사망', '뇌수축한다고 무조건 치매가 더 심해지는건 아닐텐데']",http://www.bosa.co.kr/news/articleView.html?idxno=2193907,https://n.news.naver.com/mnews/article/584/0000022483?sid=103
2023.03.31.,NBNTV,,"피플바이오, 사업다각화로 수익성 높인다",,,https://www.nbntv.kr/news/articleView.html?idxno=69328,http://www.edaily.co.kr/
2023-03-31 09:31:03,매경헬스,경제,AI로 치매 잡기 나선다…예측하고 예방까지,"[ 국내 전신 암진단 방사성의약품 FDG 시장점유율 1위파킨슨병·알츠하이머 진단 방사성의약품 실적도 가시화이 기사는 2023년03월28일 09시30분에 팜이데일리 프리미엄 콘텐츠로 선공개 되었습니다.[이데일리 신민준 기자] 국내 방사성의약품 전문기업 듀켐바이오가 올해 하반기 코스닥 상장에 도전한다. 듀켐바이오는 국내 시장점유율 1위를 차지하고 있는 전신 암진단 방사성의약품 ‘FDG’(Fludeoxyglucose(18F) Injection)의 안정적 매출(매출액)과 지난해 말 전립선암 재발·전이 진단제 ‘FACBC’의 국내 런칭 등에 따른 매출 증대로 실적을 끌어올려 코스닥 상장의 기반을 마련한다는 방침이다.    듀켐바이오 보유 파이프라인. (자료=듀켐바이오)지난해 매출·영업익, 324억·15억…전년대비 약 3배 ↑27일 제약·바이오업계에 따르면 듀켐바이오는 지난해 매출과 영업이익이 각각 324억원, 15억원을 기록했다. 매출과 영업이익은 각각 전년 110억원, 5억원과 비교해 약 3배 증가했다. 듀켐바이오의 최대주주인 지오영의 계열사였던 케어캠프 방사성의약품 사업부문을 인적분할해 합병한 영향과 코로나19 엔데믹 추세로 인해 암진단 수요가 늘어난 영향으로 분석된다. 특히 전신 암진단 방사성의약품 FDG가 듀켐바이오의 일등공신으로 꼽힌다. FDG는 포도당 유사체인 FDG를 이용해 정상세포에 비해 대사와 성장이 빠른 종양을 진단하는 것이 특징이다. FDG는 방사성의약품 진단제 중 가장 활발히 사용되는 진단제다. 방사성의약품은 방사성동위원소와 의약품(캐리어)이 결합된 특수의약품이다. 이때 의약품 물질은 방사성동위원소를 질병 부위까지 안내하는 가이드 역할을 한다. 암세포가 정상세포에 비해 포도당을 더 많이 이용한다는 성질을 활용해 포도당과 방사성동위원소가 결합된 의약품을 정맥에 주사한다. 그러면 암 주변에 달라붙은 방사성동위원소가 방출한 에너지를 영상장비(PET-CT)로 촬영해 진단하는 원리다.듀켐바이오는 2010년 10월부터 FDG를 생산해 국내시장에 공급하고 있다. FDG의 지난해 매출은 약 198억원으로 듀켐바이오 전체 매출의 61%를 차지하고 있다. 듀켐바이오는 국내 FDG시장에서 점유율 80%로 압도적인 1위를 기록 중이다. 2020년 매출 87억원과 비교하면 두 배 이상 증가했다. 이는 듀켐바이오가 대형병원과 같은 수요기관 인접한 곳에 방사성의약품을 공급할 수 있는 제조소 구축 전략이 먹혀든 결과다. 듀켐바이오는 현재 우수의약품 제조·관리 기준(GMP) 인증을 받은 제조소 6곳을 포함해 국내 최다 규모인 12곳의 제조소를 운영하고 있다. 듀켐바이오 관계자는 “듀켐바이오는 국내 방사성의약품 기업 가운데 가장 늦게 출발한 후발주자지만 방사성의약품 개발부터 제조, 운반, 공급까지 아우르면서 국내 FDG시장에서 1위를 차지하고 있다”며 “방사성의약품시장의 경쟁력은 곧 방사성동위원소 제조소 확보 여부로 제조소를 확대해 시장을 선점하는 전략이 주효했다”고 말했다. 이어 “방사성동위원소가 일반의약품에 비해 유효기간이 8~10시간으로 매우 짧기 때문”이라며 “듀켐바이오는 가장 먼저 대형병원과 같은 수요기관 인접한 곳에 방사성의약품을 공급할 수 있는 제조소 구축에 힘썼다. 듀켐바이오 제조소들의 경우 의약품 안정성과 유효성을 보증하는 글로벌 조건인 우수의약품 제조·관리 기준 인증을 받는데 총력을 기울였다”고 말했다. 하반기 ‘코넥스→코스닥’ 이전 상장 계획파킨슨병 진단용 방사성의약품 ‘FP-CIT(FluoroPropyl-Carbomethoxylodopropyl-nor-B-Tropane (18F) Injection)’와 알츠하이머 치매 진단용 방사성의약품 ‘VIZAMYL(Vizamyl)’의 실적도 가시화되고 있다. FP-CIT와 VIZAMYL의 지난해 매출액은 각각 37억원, 19억원을 기록했다. 듀켐바이오는 지난해 11월 전립선암 재발 또는 전이가 의심되는 환자를 대상으로 하는 진단제 ‘FACBC’를 국내 런칭한 것에 이어 올해 2월 뇌종양 진단제인 도파체크주사(F-DOPA)가 파킨슨 진단에도 사용되는 만큼 실적 개선을 기대하고 있다. 올해 초 베타 아밀로이드를 표적으로 한 알츠하이머 치료제 ‘레켐비’의 신속 승인이 이뤄지며 치료제 상용화를 목전에 둔 상황인 점도 듀켐바이오에 호재로 작용할 전망이다. 레켐비가 본격적으로 상용화될 경우 아밀로이드 베타 밀도를 측정할 수 있는 VIZAMYL의 수요도 덩달아 증가할 것이기 때문이다. 암 치료·진단이 증가하면서 방사성의약품 시장 규모도 꾸준히 커지고 있다는 점도 듀켐바이오에 긍정적인 요소다. 한국IR협의회 기업리서치센터 자료에 따르면 글로벌 방사성의약품시장은 2018년 39억4680만달러(약 4조8600억원)에서 올해 52억6180만달러(약 6조4800억원)로 연평균(CAGR) 5.9%의 성장이 전망되고 있다. 국내 방사성의약품시장은 듀켐바이오, 퓨처켐과 카이바이오텍 3개 기업이 경쟁을 벌이고 있다. 듀켐바이오는 이런 추세에 힘입어 하반기 코스닥 상장을 준비 중이다. 듀켐바이오 관계자는 “자사는 코넥스 상장사로 하반기 코스닥 이전 상장을 계획하고 있다”며 “기업 가치를 제고하기 위해 계속 노력할 것”이라고 말했다. ]",['화이팅하세요'],http://www.mkhealth.co.kr/news/articleView.html?idxno=63217,https://n.news.naver.com/mnews/article/018/0005453444?sid=101
