Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.09.29.,시사저널이코노미,,금감원 고위퇴직자 92% 유관기업·단체 재취업,,,http://www.sisajournal-e.com/biz/article/174540,http://www.sisajournal-e.com
2017.09.28.,경기일보,,"[국감단신] 주광덕, 감사원 퇴직 공무원 절반 금융권 재취업",,,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1399917,http://www.kyeonggi.com/
2017.09.28.,뉴스1,,공정위 고위직 퇴직자 27명중 22명 대기업·대형로펌 재취업,,,http://news1.kr/articles/?3113717,http://news1.kr/
2017-09-28 10:27:23,문화일보,사회,감사원 퇴직자 재취업 ‘물심사’… 최근4년간 통과못한 사람 全無,"[     김해영 더불어민주당 의원은 28일 공정위원회로 제출받은 고위직 공직자 재취업 자료를 분석한 결과 27명의 퇴직자 가운데 22명이 대기업 또는 대형로펌에 재취업했다고 밝혔다. 사진은 지난 14일 부산시교육청에서 열린 '여중생 폭행사건 관련 현안정책협의회'에서 발언하는 김 의원. 2017.9.14/뉴스1 © News1 여주연 기자김해영 의원, 공정위 재취업 결과 분석 결과 발표(부산ㆍ경남=뉴스1) 박기범 기자 = 공정거래위원회 고위공직자 출신 퇴직자 대부분이 대기업과 대형 로펌에 재취업한 것으로 확인됐다.더불어민주당 김해영 의원(부산 연제)이 공정거래위원회로부터 제출받은 2012년부터 2017년 8월까지의 퇴직자 재취업 결과를 분석한 결과, 4급 이상의 고위직 퇴직자 27명 가운데 22명이 대기업과 대형로펌에 재취업한 것으로 드러났다고 28일 밝혔다.자료에 따르면 퇴직자 27명 중 18명은 삼성전자, 삼성카드, 삼성물산, 현대건설, 기아자동차, LG, KT, 롯데제과 등 대기업에 재취업했다.4명은 김·장 법률사무소, 법무법인 태평양, 법무법인 바른, 법무법인 광장 등 대형로펌에 취업했다.공정위 고위공직자의 대기업과 대형로펌 재취업은 기업의 불공정 행위를 감시하는 공정위의 감시를 막기 위한 방패막이라는 지적을 받아왔다.김 의원은 “공정위 고위공직자의 대기업, 대형로펌 취업 문제는 매년 반복적으로 지적되고 있으나 아무런 변화가 없다”며 “경제검찰로 불리는 공정위의 퇴직자가 대기업과 대형로펌에 취업하는 것은 사회정의 실현을 위해서 보다 자세히 심사해야 할 것”이라고 밝혔다.pkb@▶ 뉴스1 [Book] 오픈! 실천 핀테크!▶ 뉴스1 공채 수습기자 모집 중(~10/15)▶ 여러분의 제보를 기다립니다.제보하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",[],http://www.munhwa.com/news/view.html?no=2017092801070609045001,https://n.news.naver.com/mnews/article/421/0002969327?sid=102
2017.09.28.,조선비즈,,"공정위, 대기업·로펌行 5~7급 직원들 재취업 심사 적용",,,http://biz.chosun.com/site/data/html_dir/2017/09/28/2017092801014.html,http://www.munhwa.com/
2017-09-28 12:01:17,뉴스1,정치,"송도6·8공구 협상 이끌던 간부, SLC 재취업…인사혁신처 조사","[ 재취업 신청 절반 금융권 전직 금피아·감피아 논란 매년 반복매년 국정감사 때마다 감사원·금융위원회 출신 관료들의 유관기관 재취업 문제가 지적돼 왔음에도 불구하고 이를 규제하기 위한 퇴직 공직자 재취업 심사가 유명무실한 수준인 것으로 나타났다. 감사원이 28일 국회 법제사법위원회 소속 주광덕(자유한국당) 의원에게 제출한 자료에 따르면 올해 1∼7월 감사원 출신 퇴직자 중 정부공직자윤리위원회에 재취업 심사를 요청한 7명 전원이 ‘승인’ 결정을 받는 등 최근 4년간(2014년∼2017년 7월) 감사원 출신 중 윤리위 재취업 심사를 통과하지 못한 사람은 단 한 명도 없는 것으로 나타났다. 이들 중 절반가량이 증권사나 투자회사 등 금융권 고위직으로 자리를 옮긴 것에 비춰 보면 이 같은 결과는 납득하기 어렵다는 지적이 나온다. 이 기간 감사원 퇴직자 24명 중 10명이 KB국민카드, 삼성생명, NH농협증권 등에 감사·이사 등의 고위직을 얻어 재취업했다. 특히 지난 2016년 퇴직한 A 씨는 상당수의 대부업체를 거느린 그룹에 재취업해 상근감사로 재직하기도 했다. 금융위원회도 최근 6년간 퇴직한 고위 공직자 중 1명을 빼고 전원이 윤리위 취업 심사에서 ‘승인’ 판정을 받은 것으로 나타났다. 금융위가 국회 정무위원회 소속 김해영(더불어민주당) 의원에게 제출한 자료에 따르면 지난 2012년부터 올해 8월까지 취업 심사를 요청한 금융위 퇴직자 21명 중 20명이 승인 판정을 받았다. 이 중 17명은 증권사와 신용카드사, 캐피털 업체 등으로 자리를 옮겼다. 윤리위의 취업 심사는 퇴직 공직자가 재직 당시 업무와 연관성이 높은 민간 업체나 기관에 재취업해 정부 정책 결정이나 집행에 영향력을 행사하는 등 부정행위를 방지하기 위해 마련된 제도다.이후연 기자 leewho@munhwa.com[ 문화닷컴 바로가기 | 소설 서유기 | 모바일 웹 ][Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]   ]",[''],http://news1.kr/articles/?3113162,https://n.news.naver.com/mnews/article/021/0002329073?sid=100
2017.09.27.,매일경제,,"""금융위원회 고위 퇴직자 95%가 재취업""",,,http://news.mk.co.kr/newsRead.php?year=2017&no=648455,http://biz.chosun.com/
2017-09-28 10:18:49,시사포커스,경제,"CJ오쇼핑‧현대차계열 2곳, 퇴직 고위공무원 자문委로 재취업","[ 공정위, 신뢰제고 방안 마련퇴직자 OB들과 만남도 규제공정거래위원회의 5~7급 직원도 앞으로 재취업시 심사를 받게 된다. 그동안 취업 심사는 과장급(4급) 이상만 적용했다. 또 공정위 직권으로 진행하는 사건에 대해서는 직원들과 퇴직자들의 사적 만남도 금지된다.공정위는 28일 이같은 내용을 담은 '공정위 신뢰제고 방안'을 마련했다.    사진=연합뉴스공정위는 조사 부서의 5~7급 직원에 대해서도 재취업 심사를 실시하기로 했다. 이전까지는 재취업 심사 대상은 과장급(4급) 이상에만 적용됐다. 그동안 공정위 안팎에서는 재취업 심사 대상이 아닌 5~7급 직원들의 대기업·로펌 취업이 문제가 있다는 목소리가 많았다. 다만 공정위는 조사 권한이 없는 비사건부서 소속 직원은 심사 대상에서 제외하기로 했다.대기업과 로펌으로 간 공정위 퇴직자들과 직원들의 업무상 만남도 금지된다. 공정위는 사건과 관련해서 직권 사건은 조사 계획부터, 신고 사건은 접수 시부터 직무관련자와 퇴직자들의 사적 접촉을 원칙적으로 금지하기로 했다. 부득이한 사유로 만날 경우에는 사전 또는 사후에 서면 보고를 의무화하기로 했다. 또 이를 어길 경우에는 적발 시 무관용 중징계·인사 조치 등의 제재를 하기로 했다.늑장 사건 처리를 막기 위해 사건의 접수부터 종결까지 사건처리 전 과정을 개인별·사건별·부서별로 실시간으로 관리하는 시스템도 구축한다.공정위는 아울러 재신고 사건의 착수여부를 결정하는 '재신고사건심사위원회'를 민간 중심으로 재편성하기로 했다. 심사위원에는 현행 민간심사자문위원회 민간심사위원을 포함해 교수·변호사·중소기업 전문가 등 약 20명을 위촉할 계획이다.공정위는 비공개인 위원회 심의 속기록도 홈페이지에 공개하기로 했다. 합의과정을 최대한 구체적으로 합의 회의록에 기재하고 소수 의견이 있을 경우 함께 기재하기로 했다. 조사·심의 과정에서 신고인 자료 제출과 의견 개진 등 절차적 권리도 보장할 계획이다.[세종=전슬기 기자 sgjun@chosunbiz.com]chosunbiz.com   ]",[],http://www.sisafocus.co.kr/news/articleView.html?idxno=167240,https://n.news.naver.com/mnews/article/366/0000384464?sid=101
2017.09.25.,국제뉴스,,"최근 6년간 산업은행 고위 퇴직자 37명, 거래기업 임원으로 재취업",,,http://www.gukjenews.com/news/articleView.html?idxno=790616,http://news1.kr/
2017-09-27 18:14:17,한국보험신문,사회,“금감원 간부 금융사 재취업 관행도 척결돼야 할 적폐”,"[     인천경제청 G타워 전경. © News1 DB(인천=뉴스1) 최태용 기자 = 인천 송도6·8공구 개발사업의 '검은 커넥션' 의혹을 조사하는 특별위원회에서 민간기업(SLC·송도랜드마크시티유한회사)에 재취업한 전 인천경제청 송도개발본부장 A씨(3급)에 대한 도덕성 논란이 제기된 가운데, 인사혁신처가 A씨에 대한 조사에 나선 것으로 확인됐다.인천시는 최근 인사혁신처에서 A씨에 대한 자료를 요청했다고 27일 밝혔다.A씨는 본부장 재직 당시 SLC와 송도6·8공구 개발과 관련한 협약을 지휘한 당사자로, 퇴직 이후 SLC에서 이와 관련된 업무를 취급하는지 들여다보기 위한 목적으로 보인다.공직자윤리법상 모든 공무원은 퇴직 이후 자신이 직접 처리한 업무를 취급해서는 안된다. 그럼에도 부득이하게 업무를 취급해야 할 경우 3급 이상의 고위 공무원 출신은 인사혁신처 공직자윤리위원회 승인을 받아야 한다.이를 위반할 경우 5000만원 이하의 과태료가 부과된다.A씨는 2015년 1월 인천경제청과 SLC가 송도6·8공구 개발 방식을 합의할 때 송도개발본부장으로 있으면서 협약 과정을 총괄지휘했다.이후 A씨는 같은 해 6월 명예퇴직한 뒤 SLC 전무로 재취업해 자문 역할을 맡고 있다.현재 인천시와 SLC는 개발이익금 환수 방식을 놓고 줄다리기 중이다.A씨의 SLC 재취업 대해 인천시의회 '송도 6·8공구 개발이익환수 조사특별위원회'는 도덕성 논란을 제기했다.이한구(계양4·무소속) 시의원은 지난 26일 특위에서 ""경제청에서 협상을 지휘한 당사자가 SLC에 재취업하는 게 가능한가""라며 ""윤리적으로도 문제가 된다""고 지적했다.정창일(연수1·한국당) 의원도 이정근 SLC 사장에게 ""A씨 채용 과정을 밝히라""고 주문하기도 했다.이 같은 논란에 대해 A씨는 뉴스1과의 통화에서 ""공직자윤리위에 승인 요청을 하지 않았다. 논란이 있는 것으로 알고 있다""며 ""법적으로 문제가 된다면 달게 받겠다""고 말했다.rooster81@▶ 뉴스1 [Book] 오픈! 실천 핀테크!▶ 뉴스1 공채 수습기자 모집 중(~10/15)▶ 여러분의 제보를 기다립니다.제보하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",[],http://www.insnews.co.kr/design_php/news_view.php?num=52015&firstsec=1&secondsec=11,https://n.news.naver.com/mnews/article/421/0002968588?sid=102
