Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.02.28.,오마이뉴스,,"""치매 걱정된다면 보건소 찾아 검진받으세요""",,,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002905873&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,http://www.ohmynews.com/
2023-02-28 10:48:01,메트로신문,사회,"상주시치매안심센터, 치매환자 실종예방 '지문등록 서비스 제공'","[ 일대일 맞춤형 통합관리 제공    ▲  수지구보건소 치매안심센터 관계자들이 풍덕천2동에서 치매 예방 캠페인을 진행했다.ⓒ 용인시민신문경기 용인특례시 3개 구 보건소 치매안심센터는 관내 7개 치매안심마을 노인을 대상으로 '찾아가는 치매 조기 검진 서비스'를 제공한다.치매안심마을은 치매에 대한 인식을 개선하고 치매 환자와 가족들이 지역사회와 더불어 살아갈 수 있는 환경을 만들기 위해 보건복지부가 운영하는 사업이다.이번 프로그램은 보건소나 병·의원을 방문하기 어려운 노인의 치매 예방을 돕고 검진을 통해 치매를 진단받으면 일대일 맞춤형 통합관리를 제공하려는 취지다.처인구보건소 치매안심센터는 3월 9일부터 6월 20일까지 치매안심마을인 마평동과 전대1리를 방문해 주민 100명을 대상으로 검진 서비스를 제공한다.기흥구보건소 치매안심센터에서는 치매안심마을인 구성동과 기흥동 일대 30곳 아파트 단지를 찾아가 검진 서비스를 제공한다.검진은 27일 물푸레아파트 1단지를 시작으로 4월 10일 동부아파트까지 매주 월·화·수요일에 순차적으로 운영된다.수지구보건소 치매안심센터는 치매안심마을로 지정된 신봉동과 풍덕천2동, 죽전3동의 경로당 및 취약 시설 등을 대상으로 10월까지 치매 예방 캠페인을 진행하고 치매 검진을 제공한다.간단한 문항 테스트를 통해 치매 의심 환자를 선별하고 더 정확한 진단을 할 수 있도록 관내 협력병원에서 2차 검사와 감별 검사 등도 받을 수 있도록 지원한다.검사 결과 치매로 확진되면 ▲치매 환자 등록·관리 ▲치매 치료 관리비 지원 ▲조호물품 제공 ▲일대일 맞춤형 사례관리 ▲치매 환자를 위한 '쉼터' 운영 프로그램 등도 제공한다.덧붙이는 글 | 이 기사는 용인시민신문에도 실렸습니다. ]",[],http://www.metroseoul.co.kr/article/20230228500213,https://n.news.naver.com/mnews/article/047/0002383580?sid=102
2023.02.28.,뉴스티앤티,,"서천군, 치매어르신 토탈케어 '공공후견 사업' 지원",,,http://www.newstnt.com/news/articleView.html?idxno=256921,http://www.metroseoul.co.kr
2023.02.28.,CNB뉴스,,"인천시 동구, 지역사회 치매 예방에 '박차'",,,https://www.cnbnews.com/news/article.html?no=589278,http://www.newstnt.com
2023.02.28.,충남일보,,"논산시, 치매안심센터와 치유농업 프로그램 운영",,,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=704434,http://www.cnbnews.com
2023.02.28.,바이오타임즈,,"[특징주] 아이큐어, 붙이는 치매치료제 해외 진출로 급등",,,http://www.biotimes.co.kr/news/articleView.html?idxno=9911,http://www.chungnamilbo.co.kr
2023.02.28.,대한민국 정책브리핑,,치매 예방에 좋은 세대별 생활습관·음식,,,https://www.korea.kr/news/healthView.do?newsId=148912227&call_from=naver_news,http://www.biotimes.co.kr/
2023.02.28.,헬스조선,,치매 예방하는 '10가지' 생활습관,,,https://health.chosun.com/site/data/html_dir/2023/02/28/2023022801490.html,https://www.korea.kr/
2023.02.28.,경인매일,,"남양주풍양 치매안심센터, '치매 약물 복용 및 낙상 예방' 교육 실시",,,https://www.kmaeil.com/news/articleView.html?idxno=388334,http://health.chosun.com/
2023-02-28 14:45:02,브레이크뉴스,생활/문화,"대구 동구보건소, 치매안심마을 전문봉사단 본격 활동 들어가","[     가족, 친구 등과 사회적 관계를 활발히 하면 치매를 예방할 수 있다./사진=게티이미지뱅크치매는 다양한 원인에 의해 발생하는데, 치매의 40%는 잘못된 생활습관에 기인한다고 알려졌다. 미국 건강전문매체 '헬스데이'는 최근 미시간대 신경과 전문의 하이데브링크, 헬린 폴슨 박사가 명시한 치매 위험 줄이는 생활습관 10가지를 소개했다. 어떤 것들이 있는지 알아본다.혈압 관리40세 전후부터는 반드시 수축기 혈압을 130mmHg 이하로 관리해야 한다. 이는 치매뿐 아니라, 인지장애, 심장 마비, 뇌졸중 위험을 줄이는 데 도움이 된다. 실제 호주 UNSW대 연구팀이 고혈압 환자 2만8008명을 대상으로 데이터를 분석했더니, 수축기 혈압 10㎜Hg·이완기 혈압 4㎜Hg을 낮추면 치매 발병 위험이 평균 13% 낮아지는 것으로 나타났다. 고혈압 치료는 최대한 빨리 받는 게 좋은데, 기존 혈압이 낮을수록, 나이가 젊을수록 치매 발병 위험 감소 효과가 크기 때문이다.청력 보호치매를 유발하는 데 난청이 큰 위험 요소로 작용한다는 사실은 수년 전부터 연구를 통해 밝혀지고 있다. 미국 존스홉킨스대 연구에 따르면 중등도 난청의 경우 치매 발병률이 3배, 고도 난청의 경우 치매 발병률이 5배까지 높아진다. 따라서 필요한 경우 보청기를 착용하는 게 치매 진행 속도를 늦춘다. 최근 연구에 따르면 청력 손실로 보청기 착용한 노인들은 그렇지 않은 노인보다 향후 3년간 치매 위험이 낮았다.대기 오염에서 벗어나기자동차와 공장에서 방출되는 가스나 미세먼지 등의 대기 오염도 인지 기능 저하와 치매를 유발할 수 있다. 대기 오염 물질이 폐와 혈액에 염증을 일으켜 뇌 기능에까지 영향을 미칠 수 있기 때문이다. 미국 캘리포니아대 연구에 따르면 초미세먼지(PM2.5)와 이산화질소 수치가 약 20% 감소한 지역에 거주하는 사람은 치매 위험이 20% 낮았다.머리 부상 예방머리 손상은 정상적인 뇌 기능을 방해할 수 있다. 실제로 가벼운 뇌진탕이라도 3번 이상 겪으면 인지기능이 저하될 수 있다는 영국의 연구 결과가 있다. 자동차를 탈 때는 안전벨트를 무조건 착용하고, 자전거 등 운동을 할 때도 헬멧을 포함해 안전 장비를 착용해야 한다. 만약 머리를 다쳐 뇌진탕이나 외상성 뇌 손상이 있다고 생각되면 바로 병원을 찾아야 한다.금연·금주금연과 금주는 치매 예방을 위해 필수다. 담배를 피우면 여러 유독성 물질이 혈액에 흡수돼 전신으로 퍼지고, 뇌혈관, 뇌세포 등에도 영향을 줘 인지저하가 나타날 수 있다. 흡연은 처음부터 시작하지 말고 이미 흡연하고 있다면 당장 금연하는 게 좋다. 과도한 음주도 치매 발병 위험을 높인다. 특히 술을 마신 뒤 기억을 잃는 '블랙아웃'을 자주 경험하는 사람일수록 알코올성 치매 위험이 높아 주의해야 한다.인지 활동 참여인지 활동을 하면 기억력, 정보 처리 속도, 사고력, 추론 능력 등이 사용돼 인지 기능 저하를 예방하는 데 도움이 된다. 인지 활동은 하는 사람들은 치매에 걸릴 위험이 23% 낮아졌다는 중국 베이징대 연구 결과도 있다. 여기에는 ▲독서 ▲일기 등 글쓰기 ▲라디오 듣기 ▲게임▲악기 연주 ▲컴퓨터 사용 ▲공예 만들기 등이 포함됐다. 이외에도 온라인수업을 듣거나 퍼즐 등 치매 예방을 위해 새로운 취미에 도전해보는 것을 추천한다.가족·친구와 연락사회적 관계를 활발히 하는 것도 중요하다. 친구와 활발히 교류하면 치매 위험이 낮아진다는 영국 유니버시티 칼리지 연구 결과도 있다. 친구나 가족은 물론, 자원봉사 또는 종교단체, 지역사회 활동을 통해 사회관계를 넓히는 게 좋다.건강하게 먹고 운동하기건강한 식단과 운동을 유지해야 한다. 특히 지중해 식단은 고혈압, 당뇨병, 암, 심장병 예방은 물론 우울증과 치매까지 예방한다고 알려졌다. 지중해 식단은 ▲채소·올리브유·통곡·콩류·견과류를 많이 ▲생선·가금육을 적당하게 ▲적색육은 적게 섭취하도록 구성된다. 규칙적인 운동 또한 중요하다. 1주일에 5회, 매 30분 이상 숨차고 심장이 두근거리는 정도의 중등도 이상 운동을 하면 치매 발생 위험이 약 40% 감소한다는 연구 결과가 있다. 일주일에 세 번 정도 빠르게 걷거나 자전거를 타는 것도 뇌가 더 잘 작동하는 데 도움이 된다.양질의 수면치매 예방을 위해서는 잠도 푹 자야 한다. 숙면하지 못하고 수면장애가 계속되면 면역력이 떨어지는 것은 물론, 뇌의 크기가 해마다 줄어들어 치매 위험이 커진다. 특히 수면장애와 뇌 크기의 상관관계는 60세 이상 노인들에게서 더 분명하게 나타난다. 낮에 명상이나 가벼운 신체 활동하기, 햇볕 쬐며 걷기만 해도 잠을 잘 잘 수 있다.정신 건강 돌보기치매 예방을 위해서는 평소 정신 건강을 돌보는 것도 매우 중요하다. 스트레스, 긴장을 과도하게 느끼는 사람들은 나이 들어 치매를 겪을 가능성이 크다는 핀란드 헬싱키대의 연구 결과도 있다. 정신 건강이 걱정된다면 전문의를 만나 상담해볼 것을 추천한다. ]","['올해 104 세이신 000교수님~~~~~50여 년 전에 캠퍼스에서, 지나가시는 모습을 보면서 우리 학우들은 ""바람 불면 날라가실 체형이라 오래는 못사실 꺼 같다""고들 했었다. 그때의 우리 학우들 중 3~4 명은 벌써 여행을 떠나버렸다,ㅠㅠ. 교수님의 젊어서의 운동은 하루 한 시간 정도 걷는 것이었다고 한다. 걷자~! 걸으면 치매예방에도 아주 딱이다. 3~4개 코스를 정해서 요일 별로 걸으면 지루하지 않다. 나와 동기녀석들 몇 명은 걷기 이외에, 인터넷 바둑으로 뇌운동을 한다. 일본 대만 중국의 애호가들과 실시간으로 두는 바둑이다.', '소일거리 해가며  삼삼오오 고스톱이 최고다', '첫 혈압조절.. 부터 문제 있다. 혈관확장시키는 혈압약 장기복용시 치매생기는 부작용 있음.. 혈압 낮추려다 뇌로 피 못보내 치매생김.']",http://www.breaknews.com/950903,https://n.news.naver.com/mnews/article/346/0000058636?sid=103
