Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.05.30.,조선일보,,파킨슨병 징후 간단한 혈액 검사로 알아낸다,,,https://www.chosun.com/international/japan/2023/05/30/4KMATI3TZBGCTA3XVBH6NJB6FE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,http://www.chosun.com/
2023-05-30 13:18:01,메디칼트리뷴,세계,혈액검사로 파킨슨병 조기진단,"[ 日 연구팀, 조기 진단법 찾아              일본 대학연구팀이 파킨슨병의 징후를 혈액검사로 쉽게 발견하는 방법을 찾아, 국제의학지 네이처 메디슨에 게재했다.30일 요미우리신문에 따르면 일본 준텐도대학 등이 참여하는 연구팀은 파킨슨병 환자의 뇌에 쌓이는 비정상적인 단백질 덩어리를 혈액검사로 검출하는 방법을 개발했다. 연구팀은 ‘간편한 혈액 검사로, 파킨슨병을 조기 진단하는 방법을 실용화할 것”이라고 밝혔다.파킨슨병은 손발 떨림 등이 나타나는 난치병이다. 일본에서만 추정 환자 수는 약 20만 명에 달한다. 대부분 고령자에게서 나타난다. 뇌 속에 ‘알파(α)신크레인’이라는 단백질이 비정상적으로 축적되는 것이 원인으로 추정된다.발병 몇 년 전부터 이 단백질 덩어리가 축적되기 시작하는 것으로 알려졌다. 하지만 이 단백질은 혈액 속에는 적은 양밖에 들어 있지 않아 지금까지는 혈액 검사로는 파킨슨병의 징후를 사전에 알기 어려웠다. 현재는 척추 부근에 주사 바늘을 찔러 뇌척수액에서 검출하는 방법이 개발돼있다. 하지만 국소 마취를 한 뒤 전문의가 해야 하는 데다 환자의 몸에 부담이 커 일반 의료현장에서는 거의 사용되지 못하고 있다.일본 연구팀은 질병 환자 270명의 혈액 속에서 신뉴클레인을 채취해 증폭시키는 방법을 개발했다. 이 방법이 실용화되면 일반 의료현장에서 파킨슨병 검사를 실시해 알파신크레인의 축적이 시작됐는지 여부를 쉽게 파악할 수 있다. ]",[],http://www.medical-tribune.co.kr/news/articleView.html?idxno=200962,https://n.news.naver.com/mnews/article/023/0003766643?sid=104
2023.05.25.,더팩트언론사 선정,,"""파킨슨병 아버지 항문에 배변매트""…범인은 조선족 간병인",,,http://news.tf.co.kr/read/national/2020459.htm,http://www.medical-tribune.co.kr/
2023.05.25.,뉴시스,,"한올바이오·대웅, 美뉴론과 파킨슨병 약 공동개발 돌입",,,http://www.newsis.com/view/?id=NISX20230525_0002316091&cID=10434&pID=13200,http://www.tf.co.kr/
2023-05-25 21:51:02,골프타임즈,사회,"[건강라이프] 퇴행성 뇌질환 파킨슨병, 다양한 증상 동반","[ 장애인복지법 위반 혐의    인천 남동경찰서는 장애인복지법 위반 혐의로 중국 국적의 조선족 간병인 A(68)씨를 구속했다고 25일 밝혔다. /더팩트DB인천의 한 요양병원에 입원한 환자의 항문에 배변 매트를 집어넣은 조선족 간병인이 구속됐다.인천 남동경찰서는 장애인복지법 위반 혐의로 중국 국적의 조선족 간병인 A(68)씨를 구속했다고 25일 밝혔다.경찰에 따르면 A씨는 지난달 21일부터 이달 4일까지 인천시 남동구 한 요양병원에서 파킨슨병 환자 B(64)씨의 항문에 배변 매트 4장을 집어넣은 혐의를 받고 있다.경찰은 이러한 사실을 알아차린 B씨 가족의 신고를 받고 수사에 착수, 고의성이 다분하다고 판단해 A씨를 구속했다.A씨는 경찰 조사에서 ""기저귀를 편하게 갈기 위해 그랬다""고 범행을 시인했다.대한요양병원협회는 B씨를 영구제명하고 재발 방지 대책을 마련할 방침이다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write ]","['진짜 얼마나 괴로웠을까 ㅜㅜ', '요양병원에 간병인이 죄다 조선족들이니..  지들 세상이지.', '몇 일 전에 요양병원에서 환자가 목졸려 살해 당했는데  간병인이 있었고, 그 병실에만 cctv없었다고 하던데 수사하고 있습니까?', '그러면안되겠지만 전 ㅈㅅㅈ이 시러요ㅠㅠ', '조선족 중국인 전부다 없어졌으면 그리고 조선족은 무슨 조선족 그냥 중국이지  조선이라는 나라가 아직도 존재하냐  말이좋아 조선이지 그냥 중국인들이지', '함무라비 법전이 필요하다 똑같이 해줘야지', '조선족들 의료보험 박탈하고\n내쫓아야함', '조선족은 한국말하는 중국인.', '', '다른 여러나라의 교포들도 많은데 유독 조선족에 대한 선입견을 갖게하는건 그들 스스로가 만든 결과물이다', '드디어 뉴스기사에 조선족이라고 나오는거 본다 진짜 이게 나라지', '간병인도 아이돌봄도 절대 중국인에게 맡기지 말아요 특히 아이들은요.....', '울나라문제다 .3년전에도 24시간 간병인 10만원이하로는오지도않는다 중증이상이면 10만원이상이고  간병인 한국사람 10만원에 구해질거같아?? 어느병원을가도 거의다 조산족인이유가 바로 간병비때문이지 어머니 3댈입원할때 간병비만 천만원썻다. 뇌질환환자들이특히 간병인이필요한데 장부지원1도없다. 그틈새를 들어온게 바로 조선족간병인 카르텔이다 \n이건정부의 문제다. 부모님 뇌경색으로 입원하면 내말 이해갈거다.한달간병비만 최소300든다', '99프로가 조선족인 울나라간병문제부터해결해라.거의 카르텔수준이다', '조선족 간병인은 왜 쓰는거에요!! 증말.. ㅠㅠ 제발 아무리 사람이 없어도 조선족 중국인은 거릅시다아...', '가해자는 A씨인데 피해자인 B씨를 영구제명하나요?', '조선족간병인 다시 한국에 못오게 해야된다 하마터면   돌아 가실뻔했네  아무리생각해도 상상이 안간다  너무 끔찍하다', '중국몽시부리던 어떤 얼간이가 떠오른다', '쫓아내자 제발좀 ㅋㅌ', '니네 나라로 가라 꼴보기 싫은것들', '저런 간병인이 있을수가 있나?\n사람이 아닌가베', '', '다른 언론들은 국적 공개 안했는데 여기는 공개하네. 이게 맞는거지', '아들이 다른병원으로 치료하러 옮기지못해 발견못했으면 장기궤사로 사망했을건데 또 다시 다른 요양병원가서 그따위짓할겁니다 제발  법적처벌 살인미수죄로 무섭게 처벌하고 추방시키세요', '이번 기회로 조선족들 월급은 많미 받으면서  하는짓이라니 절대 비자내주지말고 연장도 해주면안됀다 중국가서. 가이드에게 중국이냐 한국인이냐고 물으면 중국이라고 한다 한국에대해서 조금도 미련도 없다 한국은 오로지 돈벌이 하는 나라다 우리도 조선족을 한국인이라는 생각을 버려야한다', '조선족은 무슨 짱 깨지 난 쪽 빠리도 싫지만 짱 깨는 더 싫다', '우리 아버지 욕창걸린거 이야기 안해주고..내빼버린 간병인도 안타깝게도..조선족..ㅠㅠ', '중국인이라더니 역시나네.', '조선족답다', '조선족은 매로 다스리던 추방을시키던 해야한다', '', '조선족들진짜 무개념에무상식에  답이없는것들  절대상종 말아야한다 무섭다', '조선족이라는 말자체를 없애야 하지 않나? 그들에게 물어봐도 중국인이라고 대답하는데 무슨 조선족.', '우리나라 사람이 저렇게 조선족에게 당해야 하다니 ..어떻게 항문에 저렇게 큰 거를 ㅠ중국으로 추방해라', '', '너무 안됐네요ㅠ 아픈 몸으로 그런일까지 당하시고.. 너무 불쌍한 어르신입니다ㅠ', '조선족이 아닌 한국말하는 중국인들 혐오한다.이것들 관리하는 법안좀 마련햇슴 좋겠다.건강보험제도도 대폭 손질해야하고.더이상 이나라가 호구가 되어선 안된다', '', '요양병원에 엄마 계실때  조선족 간병인이라 먹을것도 챙기고 잘해드리고 바지까지 사입히고 해도 어느날 병원 복도에 앉아있다가 병실을 들여다보니 엄마머리를 손바닥으로 밀어버리는데 엄마가 얼마나 당했는지 지레 눈을 감는 모습을 보고 그날로  집으로 모시고 왔습니다..환자가  가족 손을 벗어나면 그날부터 돌아가시는 수순으로 나빠진다고 봅니다..', '조선족 꺼져라', '왜 뽑아쓰게?   말이야 방구야. .', '애초에 중국국적을 쓰지 말았어야지..어느 국적이든', '명구제명? 저딴게 뭐 스포츠스타냐 국가대표냐\n그냥 벌금이랑 실형을 더 씨게 때리', '중국인들 근성.', '', '아...병동면회를 안풀어주니  더 불안', '벌 받는다', '-짱-', '', '', '이래도 조선족이 대한민국에서 살게 해줘야되냐?', '조선족은 중국인이다 그냥 중국인이라고 해라', '', '', '간병에도 이런 문제가 터지는데 ㅡㅡ 지금 대통령이란 사람은 외국인 베이비시터 도입한다? \nㅈㅅㅈ들이랑 동남아 사람들 인식 자체가 우리랑 많이 틀리다...', '', '', '', '요양시설  공론화 합시다.    제발', '', '여기  뿐만  아님!   다  뒤집어  엎어라!\n국가에서   맡지 않고 사설은   죄다  이런다!\n비인권 시설임!', '', '조선족은 중국인이다 짱깨 사형시켜라', '', '싸이코......가만두지마라', '일을 편하게 하려고 세상에 그런 발상을 하다니...  간병인분들 직업 환경이 고된건 알지만, 적성에 안맞으면 그만두고 고국으로 돌아가세요. 돈에 눈 멀어 못할 짓 하지말고....', '', '역시..ㅜ', '', '조선족은 중국인이지.. 동포x', '', '싸이코패스 쓰레기 ㄴㅕㄴ', '', '짜장의 습격', '또 망신 당했네', '근데 항문에 배변매트가 들어갈수 있나요? 잘라서 넣었다고 해도 꽤 큰거 같은데 어떻게 들어가나요? ^^;;', '', 'B씨를 영구제명한다~~~~A 씨는 괜찮아 지는거냐', '저런애들 다 장기적출해야한다 진짜. 나 대통령되면 조선족이고 짱OOO들이건 다 재산몰수하고 국내에서 추방시킬꺼임', '외국인 돌보미 추진하는 놈들이 누구더라? 조선족 돌보미들이 이제 아이들까지 살해하겠네~', '부모님 아프신건도 서러운데 간병인까지 저러면\n자식들 가슴은 진짜 찢어집니다.', '요양병원 협회라는게 있어?\n자식 가슴을 찢어놓은 🐕 구속해라', '미친  개 ㄸㄹㅇ', '조선족은 공식인가\n\n악하고무식한 종자들', '요양보호사 이름달고싶으면 지금이라도 급수 나눠라..', '짱 깨 이\n임', '', '몸도 많이 불편하신데ㅠㅠ 저몹슬 짱깨이..', '또선족이야?ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ', '영구제명 한거는 조선족 A씨겠지.. 환자 B씨가 아니라..', '요양시설 이용 될수있으면 하지마라  요즘은 집에서 모시는데 여러 편리함이 있다 목욕차 의사 간호원 출장가능하고 노인들 장애등급에 따라 정부보조도 많이한다 어디 부모님 은혜를 요양시설에 모시는걸 당영시하는 현상황 동방 예의지국은 옛말이다', '역시 조선족이었네.. 요양원 요양병원 거의 간병인 대부분이 조선족.. 거의 1달내내 밖에 나가지 못하고 간병만 해야되고 월급도 높지 않은 직종이라 조선족들이 많이하는듯', '땟넘들은 인간이라 볼 수 없어. 인간에서 땟넘들은 분리해야 돼.', '추방했으면 좋겠어요', '싹다 잡아다 청소하자', '혼자야?', '조선족이 또...', '요양원. 요양병원 실태 과관입니다\n가급적 보내지 마세요\n요양하는곳이 아닌 사람 죽이는 곳이에요', '조선족 아니다 쭝국짱깨놈들이다 조선은 개뿔', '인간이니? 그따ㆍ위  짓거리  하는것이...조선족은  ㄱ ㅐ   ㆍㆍㅃ...중공인 !!!  조선족포함 중국애들  전부  추방  하고  입국금지 하면 참 좋겠다...', '조선족은 짱개나 다름없다\n  모두 중국에서 못오게 해야한다', '사람이냐!!!!!!조선족들은진짜  미개인들같다!!', '', '', '노처녀들 요양원 공익 보내야한다', '기자야 인종차별하냐? 조선족이라서 그랬다는거야 뭐야? 한국인은 그것보다 더 끔찍한 일도 많이 하는데 그때마다 대한민국 국적의 이모씨 김모씨 이렇게 기사쓰냐? 조선족이 마음에 안들어도 이거랑 무슨상관인데??']",http://www.thegolftimes.co.kr/news/articleView.html?idxno=58155,https://n.news.naver.com/mnews/article/629/0000218898?sid=102
2023.05.31.,부산일보,,"동아대 건강관리학과 김경화 교수, 세계 첫 단독저자로 ‘Theranostics’에 실...",,,https://www.busan.com/view/busan/view.php?code=2023053116253148791,http://www.newsis.com
2023-05-25 09:30:18,세계일보,사회,파킨슨환자 항문서 나온 25㎝ 배변 매트…범인을 알고 보니,"[ 기사내용 요약신경퇴행성 질환 치료제 공동연구    [서울=뉴시스] 사진=한올바이오파마 제 *재판매 및 DB 금지[서울=뉴시스]송연주 기자 = 바이오 기업 한올바이오파마는 대웅제약, 미국 보스턴 소재 전임상 바이오 기업 뉴론(NurrOn Pharmaceuticals)과 파킨슨병 등 신경퇴행성 치료제 개발을 위한 공동 연구 3자 협약을 체결했다고 25일 밝혔다.협약에 따라 한올바이오파마, 대웅제약은 뉴론에서 개발 중인 파킨슨병 치료 후보물질 ‘ATH-399A’ 등 퇴행성 신경질환 후보물질에 대한 공동 개발을 추진한다.뉴론은 퇴행성 신경질환 치료제를 연구개발하는 바이오 기업이다. 김광수 하버드대 의대 교수와 김덕중 박사가 공동 설립했다. 2021년 한올바이오파마와 대웅제약은 뉴론의 시리즈A 투자자로 참여하며 인연을 맺었다.ATH-399A는 도파민 신경세포를 보호해 파킨슨병을 완화하는 작용 기전을 가진다. 연내 임상 1상 진입을 앞두고 있다고 한올바이오파마는 설명했다. 현재 파킨슨병 치료를 위해 도파민을 보충해주는 약물 치료가 가장 많이 사용되고 있지만, 아직까지 근본적인 치료제는 없는 상황이다. 파킨슨병은 뇌와 근육 사이의 신호를 연결시켜주는 신경전달물질인 도파민이 부족해 발생하는 퇴행성 뇌질환으로 전신 떨림, 근육 경직, 보행장애 등의 증상을 동반한다. ]",[],http://www.segye.com/content/html/2023/05/26/20230526502903.html?OutUrl=naver,https://n.news.naver.com/mnews/article/003/0011878671?sid=102
2023.05.25.,이투데이,,"에스바이오메딕스, 파킨슨병 세포치료제 임상 1단계 저용량 투여 완료",,,https://www.etoday.co.kr/news/view/2252315,http://www.thegolftimes.co.kr
2023.05.31.,뉴스1언론사 선정,,"400만원 벌어 간병비로 320만원…""저는 강제 효자""[가족간병의 굴레]④",,,https://www.news1.kr/articles/5062239,http://www.busan.com/
2023-05-31 16:28:01,EBN,사회,"제약·바이오, 엔데믹 시대 생존전략 '적과의 동침'","[     동아대 건강관리학과 김경화 교수(BK21 미래환경 생체방어 융합사업단)동아대학교(총장 이해우)는 건강관리학과 김경화((BK21 미래환경 생체방어 융합사업단) 교수가 단독저자로 의학분야 국제 저명학술지 ‘테라노스틱스(Theranostics)’에 논문을 게재했다고 31일 밝혔다.김 교수가 이번에 세계 첫 단독저자로 ‘테라노스틱스(Impact Factor 11.6)’에 발표한 논문은 ‘미토콘드리아유래 펩타이드에 의한 파킨슨병 신규 치료기술 개발’이란 제목의 실험 연구논문이다.그는 이 연구에서 ‘미토콘드리아유래 펩타이드(mitochondria derived peptide)인 휴메닌(humanin) 비강주입방식을 이용해 뇌 신경세포로 펩타이드를 전달할 수 있었다’며 미토콘드리아 생합성(mitochondrial biogenesis) 향상·운동장애 개선·신경세포보호 효능 등을 확인, 파킨슨병 치료제 개발 가능성을 제시했다.김 교수의 이번 논문은 지난 2002년 이후 ‘한국을 빛내는 사람들(한빛사)’ 선정 논문 가운데 처음으로 단독저자 실험연구 논문으로 선정됐다. 지난 2002년 이후 선정된 한빛사 연구논문은 지난 15일 현재 모두 7,891편이었다.김 교수는 “이번 연구는 그동안 잘 알려지지 않았던 미토콘드리아유래 펩타이드 미토콘드리아 유전체 내에서의 발현제어기전을 세계 최초로 밝혀냈다는 데 중요한 의미가 있다”며 “미토콘드리아유래 펩타이드가 뇌를 타겟해 미토콘드리아 생합성 뿐만 아니라 미토콘드리아 전반적인 기능을 개선할 수 있음을 확인했다”고 설명했다.이어 그는 “미토콘드리아유래 펩타이드는 파킨슨병뿐만 아니라 다른 미토콘드리아 관련 여러 질병 예방·치료, 건강수명 연장에도 도움을 줄 수 있다”며 “이를 이용한 다양한 후속연구를 진행 중에 있다”고 덧붙였다.김 교수는 국내뿐만 아니라 해외특허(PCT) 출원을 이미 마쳤으며 향후 상용화를 추진할 계획이다.건강관리학과 두뇌한국(BK21 Four) 교육연구단 소속이기도 한 김 교수는 지난해엔 국제적으로 저명한 고든학회 컨퍼런스 ‘Gordon conference Mitochondria and Chloroplasts’에서 한국 학자로는 유일하게 특강 연사로 초청돼 강연하기도 했다.고든 컨퍼런스(Gordon Conference)는 지난 1920년대 후반 미국 존스 홉킨슨대 닐 고든(Neil E. Gordon) 박사가 창립한 국제학술대회로 해당 분야에서 탁월한 연구업적을 보유한 100여 명의 세계적 학자들이 참석하는 권위 있는 행사다. ]",[],https://www.ebn.co.kr/news/view/1579180/?sc=Naver,https://n.news.naver.com/mnews/article/082/0001214962?sid=102
