Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.02.28.,녹색경제신문,,"11번가·오뚜기·LG생활건강, 3.1운동 100주년 기부 위해 뭉쳐",,,http://www.greened.kr/news/articleView.html?idxno=95367,http://www.greened.kr/
2019.02.27.,뉴스1,,"11번가, '11페이' 이어 'T페이'도 맡는다…""간편결제 통합 속도""",,,http://news1.kr/articles/?3559028,http://news1.kr/
2019.02.27.,전자신문,경제,"11번가, 판매자 '가송장' 퇴출한다","[ 이르면 6월 통합결제 서비스 제공    11번가 © News1(서울=뉴스1) 신건웅 기자 = SK텔레콤이 운영하던 'T페이'를 앞으론 11번가가 맡는다. 11번가는 '11페이'와 'T페이'로 나뉘어져 있던 SK그룹의 간편결제 서비스를 합쳐 통합 시스템을 선보일 예정이다.SK텔레콤은 기존에 운영하던 T페이 서비스를 오는 4월 1일부터 11번가가 맡는다고 27일 회원들에게 공지했다. T페이 서비스는 물론 회원들의 개인 관리까지 이전한다. 11번가의 T페이 영업 양수는 기존 11페이와의 통합을 위한 작업의 일환이다.앞서 SK텔레콤이 출시한 T페이는 휴대전화 소액결제 기반으로 신용카드 없이 온·오프라인에서 사용할 수 있는 간편결제 시스템이다. 활용 폭은 크지만 삼성페이나 카카오페이에 비해 인지도가 낮은 상황이다.11페이는 11번가에서 카드선택과 포인트·마일리지·쿠폰이 자동 적용돼 편리하게 사용할 수 있다. 하지만 11번가 외에는 쓸 수 있는 곳이 많지 않아 확장에 어려움을 겪었다.SK텔레콤은 11번가의 분리에 맞춰 T페이를 양도하고, 11페이와의 통합해 간편결제 서비스의 경쟁력을 강화하겠다는 계획이다.11번가와 SK텔레콤은 물론 SK브로드밴드, SK스토아 등 SK 계열사들이 같은 온·오프라인 통합 결제 인프라를 갖게 되면서 시너지를 낼 것이라는 분석이다. 통합 결제 서비스는 이르면 오는 6월 선보일 예정이다. 11번가 관계자는 ""통합 결제 서비스는 긍정적으로 검토 중인 사안""이라며 ""아직 구체적으로 이야기가 나오진 않았지만, 6월 이후 구현될 것으로 보인다""고 말했다.keon@news1.kr▶[ 북미 2차 회담 ]  [ MWC 2019 ] ▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",[],http://www.etnews.com/20190227000388,https://n.news.naver.com/mnews/article/421/0003855506?sid=101
2019.02.25.,뉴스웍스,,"11번가, 삼성 갤럭시 S10, S10+ 자급제폰 사전판매 실시",,,http://www.newsworks.co.kr/news/articleView.html?idxno=339046,http://www.etnews.com
2019.02.25.,브레이크뉴스,IT/과학,11번가 ‘괄도 네넴띤’ 1만2000세트 2차 판매 시작,"[    11번가가 허위 송장으로 소비자 피해를 야기하는 이른바 '가송장'을 퇴출한다. 소비자에게 투명하고 정확한 배송정보를 제공하는 한편 '주문 취소'를 차단하기 위해 송장 등록 시스템 악용 사례를 최소화한다.27일 유통업계에 따르면 11번가는 오는 4월 1일부터 입점 판매자 '가송장' 등록 행위를 금지한다. 가송장은 판매 시스템에 운송장 번호가 등록된 후 하루 이상 실제 배송 흐름이 나타나지 않는 송장이다. 11번가는 이 날부터 정확하지 않은 배송 정보를 소비자에게 노출하는 판매자에게 일정 기준에 따른 페널티를 부과할 계획이다.통상 오픈마켓 업계는 판매자 송장 입력 직후부터 배송이 시작된 것으로 인식해 주문취소 기능을 비활성화한다. 배송 중 구매 의사가 철회되면 판매자가 그만큼 비용과 시간에 손해를 입을 수 있기 때문이다.    ⓒ게티이미지뱅크일부 판매자는 주문이 들어오면 허위 송장을 등록하는 방법으로 소비자를 묶는다. 상품 재고가 부족하거나 다양한 제품군을 확보하지 못한 일부 판매자의 꼼수다. 가송장 번호를 입력해 '상품 발송' 단계에 진입하면 구매자가 다른 판매 채널에서 더 저렴하고 빠르게 배송되는 상품을 찾아도 주문을 취소할 수 없다. 소비자는 송장번호 이외에 상품 위치, 도착시간 등 다른 정보를 확인할 수 없기 때문에 무작정 기다려야 한다. 이 같은 소비자 불만은 오픈마켓 신뢰도에 직결될 수밖에 없다. 11번가가 가송장 퇴출에 힘을 기울이는 이유다.11번가는 최근 판매자 페이지에 가송장 긴급 알림 기능을 도입했다. 가송장을 입력하면 경고 메시지를 내보내는 형태다. 가송장 현황을 확인하는 통계정보 서비스도 선보인다.가송장 입력 행위를 방지하기 위한 제재 규정도 마련했다. 앞으로 가송장 횟수와 경중에 따라 △상품 전시 제한 △광고 입찰 제한 △신규 상품 등록 제한 △발송지연 발생 사실 공개 △구매자 취소 요청 시 별도 승인 없이 즉시 환불 등 페널티를 부과할 계획이다.11번가는 가송장 패널티에 관한 판매자 입장을 확인하는 '소명하기' 기능도 신설한다. 상품 배송 흐름과 타당한 이유가 확인되면 페널티를 해제한다.11번가 관계자는 “구매고객에게 보다 정확한 배송정보를 제공해 신뢰도와 서비스 만족도를 높이기 위한 조치”라면서 “소비자는 물론 판매자 판촉 활동에 도움이 될 것으로 기대한다”고 말했다.윤희석 유통 전문기자 pioneer@etnews.com▶ ""미래에 영감을 주다 - HCI &amp; UI/UX Summit 2019"" 개최▶ 네이버 모바일에서 [전자신문] 채널 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지] ]","['잘하고 있어요..저도 피해자중에 한명입니다..1주일뒤에 물건 받는데.. 일본에서 오는줄..', '가송장 걸리면 진짜 짜증난다 아예 잊고지내게 된다', '정말 원하던 방침.. ! 대형 오픈마켓 두 곳 G&amp;A 사..11번가 중 SKT가 아님에도 (SKT 가 11번가는 혜택이 조금 더 좋아요) 1년 중 8~10개월은 VVIP를 유지하는 편입니다. 그럼에도 이 문제는 최근에도 겪은 짜증나는 문제지요. 이젠 그러려니 하며 정 못 참겠는건 우수고객센터로 콜 넣어서 취소하는 방법을 썼는데, 11번가도 상당 부분 손해를 감수하고 내린 결정 같은데 차별화 된 방식 선도하시는 용기를 응원합니다.', '', '', '']",http://www.breaknews.com/636025,https://n.news.naver.com/mnews/article/030/0002788735?sid=105
2019.02.24.,문화저널21,,11번가 ‘괄도 네띰띤’ 25일 오전 11시 2차 판매,,,http://www.mhj21.com/119649,http://www.newsworks.co.kr/
2019.02.24.,에너지경제,,"허리띠 졸라매는 11번가, 흑자로 돌아설까",,,http://www.ekn.kr/news/article.html?no=416643,http://www.breaknews.com
2019.02.23.,CCTV뉴스,,"마마무 화사 몸매관리 비결, '빠질라카노' 와 '색다른 곤약젤리'로 11번가 타...",,,http://www.cctvnews.co.kr/news/articleView.html?idxno=105559,http://www.mhj21.com
2019.02.22.,이데일리언론사 선정,,"11번가·팔도, '괄도 네넴띤' 끼워팔기 논란",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02860166622393144,http://www.ekn.kr
2019.02.19.,넥스트데일리,,"11번가, 벤큐(BenQ)의 최신형 프로젝터 100대 한정 단독 판매",,,http://www.nextdaily.co.kr/news/article.html?id=20190219800042,http://www.cctvnews.co.kr
