Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.07.31.,뉴시스,,중국판 천하장사 ‘대력천장’ 11번가 단독 판매,,,http://www.newsis.com/view/?id=NISX20190731_0000727296&cID=13001&pID=13000,http://www.newsis.com
2019.07.29.,연합뉴스,경제,"[게시판] 11번가, 전남 농산물 판로지원 나선다","[ 마라 활용한 '몬스터김'도 판매    【서울=뉴시스】박미영 기자 = 11번가가 성경식품의 ‘몬스터김’과 진주햄의 중국 수출브랜드 ‘대력천장’을 단독 판매한다. ‘대력천장’은 소시지 ‘천하장사’의 중국판이다. 2008년부터 중국에 수출되고 있다. 국내 판매는 11번가가 처음이다. 판매 제품은 대력천장 떡볶이맛과 김맛 등 2종이다. 11번가와 성경식품이 선보이는 ‘몬스터김’은 마라를 활용한 제품이다. 마라씨즈닝, 산초, 고수 등을 넣었다. 불닭맛과 마라맛 2종으로 출시됐다. 박성민 11번가 딜(deal)팀 팀장은 “최근 마라 열풍으로 중국 음식에 대한 관심과 수요가 높아져 식품업체들과 협업을 통해 다양한 프로모션을 선보이게 됐다”며 “색다른 상품에 빠르게 반응하는 온라인 이용 고객들에게 뜨거운 반응을 모을 것으로 예상한다”고 말했다.     【서울=뉴시스】몬스터김 마라맛과 불닭맛mypark@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 &lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt;   ]",[],http://yna.kr/AKR20190729026900030?did=1195m,https://n.news.naver.com/mnews/article/003/0009376447?sid=101
2019.07.31.,데일리팝,,[식품 단신] 11번가·CU·크라운해태 外,,,http://www.dailypop.kr/news/articleView.html?idxno=40261,https://www.yna.co.kr/
2019.07.30.,뉴스컬처,경제,마라와 김이 결합된 ‘몬스터김’ 11번가 단독 첫 출시,"[    ▲ 11번가는 전남 생산자협동조합, 목포대학교 산학협력단과 전략적 제휴를 맺고 전남지역 특산물의 온라인 유통 활성화와 농가 판로지원에 앞장선다고 29일 밝혔다. 이번 제휴를 통해 11번가는 사이트 내에서 고정적으로 프로모션을 노출해 전남 생산자협동조합 특산물의 온라인 판매 활성화를 지원한다. 또 목포대학교와 손잡고 학생 서포터즈를 선발해 SNS를 통한 전남지역 특산물 홍보 활동도 펼친다. (서울=연합뉴스)    11번가, 전남 농산물 판로지원 나선다[11번가 제공=연합뉴스]▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥 ]",[],http://www.newsculture.press/view.htm?idxno=2019073015254548330,https://n.news.naver.com/mnews/article/001/0010989382?sid=101
2019.07.30.,광주매일신문,,목포대·11번가·전남생산자협동조합 업무협약식,,,http://www.kjdaily.com/read.php3?aid=1564478285478313062,http://www.dailypop.kr
2019.07.26.,이데일리,,"11번가, 파워비츠프로 사전 예약 판매",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02154966622558456,http://www.newsculture.press
2019.07.30.,뉴스투데이,,"HP코리아, 11번가 ‘HP BRAND WEEK’ 노트북 할인기획전 진행",,,http://www.news2day.co.kr/132953,http://www.kjdaily.com
2019.07.31.,뉴스1,,"풀무원, 온라인 완판 '포기하지 마라탕면'…마트에서도 판다",,,http://news1.kr/articles/?3684157,http://www.edaily.co.kr/
2019.07.30.,PC사랑,경제,"유니씨앤씨, 삼성노트북7 Forece NT760XBV-G78A 11번가 타임딜 특가 판매","[ 비츠 바이 닥터드레 출시 완전 무선 이어폰26일부터 일주일간…쿠폰가 24만 9000원2만원 즉시 할인쿠폰 등 혜택 제공    (사진=11번가)[이데일리 함지현 기자]11번가는 애플의 음향기기 전문기업 ‘비츠 바이 닥터드레(Beats by Dr. Dre, 이하 비츠)’가 출시한 완전 무선 이어폰 ‘파워비츠 프로(Powerbeats Pro)’의 사전 예약 판매를 진행한다고 26일 밝혔다. 11번가에 따르면 ‘파워비츠 프로’는 지난 5월부터, 미국, 유럽, 중국 등에서 순차적으로 출시해 왔다. 미국 대형 쇼핑몰 ‘베스트바이(BESTBUY)’에서 블루투스 이어폰 판매순위 2위를 기록하고 있으며 다른 출시 국가에서도 사전 예약 판매가 일시 품절될 정도로 선풍적인 인기를 끌고 있다. 11번가는 26일 오후 4시부터 8월 1일까지 일주일간 ‘파워비츠 프로’ 블랙 컬러 제품의 사전 예약 판매를 진행한다. 그 동안 국내 출시가 연기돼 온 만큼 기다려준 고객을 위한 다양한 혜택을 마련했다.11번가에서 사전 예약하는 고객은 2만원 즉시할인 쿠폰(비츠 기획전 내 사용)을 발급받아 24만 9000원에 ‘파워비츠 프로’ 제품을 구매할 수 있다. 제품을 구매한 모든 고객에게는 스타벅스 아메리카노 교환권(톨 사이즈)이 제공되며 선착순 111명에게 퓨즈 치킨([Fuse]chicken) 케이블(3만 원 상당)과, 비츠 로고가 새겨진 에코백 2종을 증정한다. 비츠의 신제품인 ‘파워비츠 프로’는 에어팟 2와 동일한 애플 H1칩이 탑재돼 있으며 ‘시리(Siri)야’ 기능도 지원한다. 이전 모델보다 더 작고 가벼워졌으며 오른쪽과 왼쪽에서 각각 음량 조절과 트랙 선택이 가능하다. 배터리 수명은 최대 9시간 사용할 수 있다. 충전 케이스를 사용할 경우 최대 24시간 사용이 가능하며 충전 케이스에서 5분 급속 충전으로 1.5시간 사용할 수 있다. 땀과 물에도 강한 내수성을 갖춰 어떤 환경에서 사운드를 즐길 수 있도록 했다이종권 11번가 디지털담당은 “많은 사람들이 기다려온 비츠의 최신 완전무선 이어폰을 국내에 처음으로 11번가를 통해 선보이게 됐다”며 “최신 스마트폰부터 음향기기까지 스마트디지털 제품은 11번가를 가장 먼저 떠올리도록 앞으로도 매력적인 상품라인업을 만들어 가겠다”고 말했다.함지현 (hamz@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞ ]",[],http://www.ilovepc.co.kr/news/articleView.html?idxno=30901,https://n.news.naver.com/mnews/article/018/0004433003?sid=101
2019.07.25.,파이낸셜뉴스,,"풀무원, 11번가에서 '포기하지 마라탕면' 2차 한정판매",,,http://www.fnnews.com/news/201907251321579963,http://www.news2day.co.kr
