Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.05.30.,매일경제,,SSG닷컴 해외 상품 `프리오더 전문관` 오픈,,,http://news.mk.co.kr/newsRead.php?year=2019&no=366984,http://www.mk.co.kr/
2019.05.30.,전자신문,경제,"SSG페이 ""이마트24서 맥주 8캔 1만5000원에 구매하세요""","[ 해외 출시 신상품 미리 주문해 저렴하게 구입지난 3월 시범 운영 결과 목표 초과 달성6일부터 `카슈` 드라이빙 슈즈 등 50여개 상품 판매     SSG닷컴이 해외 상품 '프리오더(선주문) 전문관'을 연다. 해외 브랜드 상품들이 국내에 출시되기 전 미리 구입할 수 있는 서비스로, 상품이 출시되자마자 받아볼 수 있고 공식 유통 가격보다 저렴하다는 장점이 있다.SSG닷컴은 지난 3월부터 프리오더 서비스를 성공적으로 시범 운영해 왔다고 설명한다. 이탈리아 프리미엄 슈즈 브랜드 '부테로', 스웨덴 패션 브랜드 '악셀 아리가토', 스페인 캐쥬얼 브랜드 '아렐스' 등 판매 상품 모두 목표를 달성했다. 30만원대에 판매한 부테로 스니커즈는 3일 만에 목표 수량 100%에 도달하며 1주일 행사 기간 동안 매출 목표치 240%를 달성했다. 남성구매 비중이 55%에 달한 점도 고무적이었다. 기존 명품 시장에서 여성 고객들이 대부분을 차지한 것과 달리 2030 남성들의 입지가 늘어난 트렌드를 반영한 결과여서다.SSG닷컴은 전문관 오픈을 기념해 6월 5일 오전 11시까지 일주일 간 3개 브랜드 50여개 상품을 판매한다.국내에서는 인지도가 낮지만 잠재적으로 성장 가능성이 높은 브랜드 위주로 선정했다. 남성 고객 공략을 위해 상품 선정에도 공을 들였다.가장 눈에 띄는 것은 국내 최초 공식 판매를 시작하는 '카슈' 드라이빙 슈즈와 스니커즈 16종이다. 카슈는 프라다 그룹이 운영하는 브랜드로 드라이빙 슈즈의 원조로 평가 받는다. 트렌디한 디자인과 편안한 착용감이 특징인 프리미엄 신발로, 전문관에서는 오는 가을·겨울 시즌 대표상품인 '드라이빙 슈즈'를 38만5000원에 구매할 수 있다. 배송은 9월 중순에 시작한다.브라질 캐쥬얼 브랜드 '카리우마' 스니커즈 24종도 준비했다. 메모리폼 안창으로 발을 편하게 해주는 것이 특징이며 가죽, 스웨이드, 캔버스 소재 상품을 모두 입점시켰다. 대표 상품인 가죽 스니커즈는 17만9000원에, 캔버스 스니커즈는 10만7000원에 판매한다. 배송은 6월 말부터 시작된다.이탈리아 명품 캐쥬얼 브랜드 '엠에스지엠(MSGM)' 셔츠 9종도 만나볼 수 있다. 스테디셀러 상품인 기본 디자인 로고 티셔츠와 맨투맨 셔츠로 구성했으며 주문 후 한 달 내로 배송이 이루어질 예정이다.SSG닷컴은 전문관 정식 오픈 이후 최소 두 개 이상의 브랜드를 꾸준히 소개하는 한편, 구매 고객 분석을 통해 고객 취향을 겨냥한 새로운 상품을 계속해서 선보인다는 계획이다.김예철 SSG닷컴 영업본부장은 ""앞으로도 여러 해외 브랜드를 국내에 빠르게 알리는 트렌드세터 역할을 해나가겠다""며 ""경쟁사에서 보기 어려운 새로운 서비스를 지속적으로 기획해 온라인 쇼핑의 '격'을 높여갈 것""이라고 말했다.[강인선 기자]▶네이버에서 '매일경제' 뉴스 구독하고 경품 받아가세요▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리[ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]   ]",[],http://www.etnews.com/20190530000157,https://n.news.naver.com/mnews/article/009/0004365715?sid=101
2019.05.29.,연합뉴스,,"미래에셋대우 ""이마트, SSG닷컴 성장 회복 예상…'매수'""",,,http://yna.kr/AKR20190529031900008?did=1195m,http://www.etnews.com
2019.05.31.,CEO스코어데일리,IT/과학,"신세계 이커머스 순항?…SSG닷컴, 순손실에도 현금흐름 양호","[    신세계그룹 간편결제 서비스 SSG페이는 6월 한 달 매주 토요일 이마트24에서 수입 맥주 구매자를 대상으로 캐시백 이벤트를 실시한다고 30일 밝혔다. 수입 맥주 8캔(2만원)을 SSG페이로 결제하는 고객에게 SSG머니 5000원을 제공한다.SSG머니 캐시백은 월 1인 1회에 한해 5000원 한도도 적용된다. 해당 SSG머니는 7월 18일 일괄 제공된다. SSG머니는 SSG페이 선불 결제 수단이다. 전국 이마트, 신세계백화점, 트레이더스, SSG닷컴, 스타벅스 등 온·오프라인 가맹점에서 현금처럼 자유롭게 사용할 수 있다.문준석 신세계I&amp;C 플랫폼사업부장은 “빠르게 찾아온 여름과 다양한 축구 경기가 열리는 6월을 시원하게 보낼 수 있도록 이마트24와 맥주 프로모션을 마련했다”면서 “SSG페이가 준비한 알찬 혜택과 SSG페이의 편리한 결제 서비스를 함께 누릴 수 있을 것”이라고 말했다.    윤희석 유통 전문기자 pioneer@etnews.com▶ 네이버 모바일에서 [전자신문] 채널 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지] ]",[],http://www.ceoscoredaily.com/news/article.html?no=56195,https://n.news.naver.com/mnews/article/030/0002816304?sid=105
2019.05.27.,한국경제,,화장품 최대 반값 할인…SSG닷컴 '뷰티 페스타' 진행,,,https://www.hankyung.com/article/201905277759g,https://www.yna.co.kr/
2019.05.26.,이데일리,경제,"SSG닷컴, 화장품 최대 반값 할인 '뷰티 페스타' 실시","[     이마트 본사[연합뉴스TV 제공]    (서울=연합뉴스) 김아람 기자 = 미래에셋대우는 29일 이마트가 온라인몰 SSG닷컴(SSG.COM)의 외형 성장 회복이 예상된다며 목표주가 19만원과 투자의견 '매수'를 유지했다.    김명주 연구원은 ""SSG닷컴은 사모펀드(PEF)의 투자 집행 시 주주가치 3조원을 평가받았으나 현재 이마트 기업가치에 SSG닷컴의 가치는 거의 반영되지 않았다""며 ""성장률이 지난 1년 이상 온라인 시장을 하회했기 때문""이라고 전했다.    이어 ""배송 캐파 부족에 따른 이마트몰 충성고객 이탈과 마켓컬리, 오아시스, 무신사 등 신흥강자 탄생에 따른 신규 유입 고객 감소 때문으로 판단한다""고 덧붙였다.    그러나 김 연구원은 ""하반기에 진입하면서 SSG닷컴의 외형 성장은 차츰 회복할 것""이라며 ""이마트의 온라인 배송 캐파가 지속적으로 확대되고 명품 등 프리미엄 카테고리 강화로 타 플랫폼과의 차별화를 확보하고 있다""고 설명했다.    그러면서 ""이마트 본업 부진은 당분간 이어져도 SSG닷컴의 외형 성장 회복 가능성과 기업가치 재조명, 에브리데이와 프라퍼티 등 자회사 실적 개선에 따라 하반기 주가 반등 가능성이 있다""고 내다봤다.    rice@yna.co.kr▶네이버 홈에서 [연합뉴스] 채널 구독하기▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상 ]",[],http://www.edaily.co.kr/news/newspath.asp?newsid=01269366622492856,https://n.news.naver.com/mnews/article/001/0010853667?sid=101
2019.05.31.,PC사랑,,"솔로몬닷컴, LG전자 외장형ODD '천왕 특별전' 이벤트 진행",,,http://www.ilovepc.co.kr/news/articleView.html?idxno=30183,http://www.ceoscoredaily.com
21면 TOP,전자신문,,"e커머스로 쓱(SSG닷컴) 하고 온(롯데 ON) 신세계·롯데, 사업 순항",,,http://www.etnews.com/20190528000194,http://www.hankyung.com/
2019.05.20.,쿠키뉴스,생활/문화,"SSG닷컴 ""생필품부터 백화점 상품까지…최대 64% 할인""","[    [ 강경주 기자  ]     SSG닷컴 '뷰티 페스타'SSG닷컴은 27일부터 다음달 2일까지 일주일간 뷰티 브랜드를 모두 망라한 할인행사 '뷰티 페스타' (BEAUTY FESTA)를 실시한다고 27일 밝혔다. 이 행사에서는 화장품부터 대중적인 가성비 제품까지 1만여 종을 최대 50% 할인한 가격에 만날 수 있다.대표적으로 '랑콤 뗑 이돌 롱 라스팅 파운데이션 세트'를 정가보다 10% 할인한 6만3000원, '로라메르시에 미네랄 피니싱 파우더 세트'도 10% 할인한 4만4100원에 구매할 수 있다.최근 착한 성분 화장품으로 입소문을 탄 '마녀공장' 스킨케어 제품은 최대 40%, 아모레퍼시픽의 인기 제품들도 최대 50% 할인한다. 이밖에도 SK-II, 아벤느, 베네피트, 정샘물, 빌리프 등 100여개 브랜드 상품들을 준비했다.다양한 쿠폰·적립금 행사도 있다. 뷰티 카테고리에서 단일 상품 2만원 이상을 구매하면 최대 1만원 할인하는 10% 할인 쿠폰, 모바일 앱에서 뷰티 15만원 이상 구매시 S머니(적립금) 1만원 증정 등이다.매일 한정 수량·선착순으로 배송비만 결제하면 상품을 무료로 체험할 수 있다. 31일까지 매일 오전 10시에 무료 체험 2개를 공개한다. 27일 단 하루동안 신세계몰-이마트몰 상품과 합산해서 2만원 이상 구매하면 10% 할인 쿠폰을 적용하는 '원데이 크로-쓱 할인'도 있다.H&amp;B스토어 부츠(Boots)는 전 상품을 대상으로 2개 가격에 3개 구매할 수 있는 '3 for 2' 행사를 29일부터 31일까지 3일 동안 진행할 예정이다.SSG닷컴 관계자는 ""지난 4월 고가 화장품부터 대중적인 가성비 상품 브랜드들까지 '원스톱' 뷰티 쇼핑이 가능한 뷰티 전문관을 연 후 좋은 반응을 얻고 있다""며 ""이번 뷰티 페스타 행사를 통해 입지를 더욱 다지겠다""고 말했다.강경주 한경닷컴 기자 qurasoha@hankyung.com▶ 네이버에서 '한국경제' 구독하고 비씨카드·한경레이디스컵 KLPGA 입장권 받자 ▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지   ]",[],http://www.kukinews.com/news/article.html?no=664170,https://n.news.naver.com/mnews/article/015/0004148573?sid=103
2019.05.27.,더벨,,"[더벨]SSG닷컴, 재무 악화 이마트 부채 양수",,,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201905240100043160002690,http://www.edaily.co.kr/
