Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.05.31.,조선비즈언론사 선정,,"네이버, 새로운 모바일앱에 '동영상 전용 뷰어' 베타 서비스 시작",,,http://biz.chosun.com/site/data/html_dir/2019/05/31/2019053101760.html,http://biz.chosun.com/
2019.05.31.,한국경제,IT/과학,"'마리텔 V2' 야노시호ㆍ추사랑, 통역사 위한 파격 '알로하 셔츠' 쇼핑","[    네이버는 창작자 중심의 동영상 기술 플랫폼 강화를 위해 새로운 네이버 모바일앱의 5개 주제판에 '동영상 전용 뷰어' 베타 서비스를 시작했다고 31일 밝혔다.동영상 전용 뷰어 베타 서비스에는 네이버의 인공지능(AI) 기반 콘텐츠 추천 기술인 에어스(AIRS)가 적용됐다. 웹오리지널 콘텐츠와 브이 라이브(V LIVE)의 스타 콘텐츠 뿐 아니라 일반 창작자가 블로그, 카페 등 이용자 제작 콘텐츠(UGC) 서비스에 올린 동영상 콘텐츠와 쇼핑 판매자의 커머스 영상 등도 하나의 플랫폼에서 감상할 수 있는 것이 특징이다. 네이버 동영상 전용 뷰어는 푸드, 자동차, 리빙, 패션뷰티, 게임 등 5개의 모바일 네이버 주제판에 우선 적용됐다. 상반기 중 검색을 포함해 다른 주제판으로도 확대될 예정이다.    네이버는 새로운 네이버 모바일앱의 5개 주제판에 '동영상 전용 뷰어' 베타 서비스를 시작했다. /네이버 제공네이버는 동영상 기술 플랫폼의 정교화를 위해 네이버TV, V LIVE, 뉴스 등 서비스 안에서 개별적으로 운영되던 동영상 메타데이터를 통합 관리·운영할 수 있는 백엔드 시스템을 새롭게 구축했다. 또 동영상을 재생할 때 로딩되는 시간을 50~60% 단축시킨 ‘Ultra-Fast Playing’ 기술도 개발했다. AI 동영상 추천 기술은 이용자가 감상한 콘텐츠 이력 및 좋아요, 구독 등 이용자 피드백에 따라 향후 더 고도화될 예정이다.이외에도 네이버는 창작자가 동영상을 간편하게 편집해서 올릴 수 있도록 상반기 중 모바일 전용 동영상 에디터를 출시할 계획이다. 동영상 에디터를 이용하면 필터, 음악 등 동영상 편집 도구들을 하나의 플랫폼에서 작업해 동영상을 바로 업로드할 수 있다.​​동영상 서비스 기획을 이끄는 네이버 아폴로 CIC의 김승언 대표는 ""네이버는 올해 메인, 검색, UGC 등 네이버 서비스 전반에서 창작자 중심의 동영상 기술 플랫폼 생태계를 만들어나갈 것""이라며 ""이를 위해 AI 기반의 동영상 추천 기술을 계속해서 고도화하면서 창작자 중심의 새로운 보상구조와 교육을 위한 지원 공간을 마련하고 창작자 편집 툴 개발에도 속도를 높이겠다"" 고 말했다. [이정민 기자 jay@chosunbiz.com]chosunbiz.com   ]","['', '기본 30초 광고ㅋㅋㅋㅋ 심지어 공짜로 보면서 무슨 말이 많냐 알바 노예들 몰려와야지?', '', '', '', '', '', '']",https://www.hankyung.com/article/201905315902I,https://n.news.naver.com/mnews/article/366/0000435423?sid=105
2019.05.31.,연합뉴스,,"네이버, AI 동영상 뷰어 서비스 선보여…모바일 앱에 적용",,,http://yna.kr/AKR20190531071600017?did=1195m,http://www.hankyung.com/
A15면 1단,세계일보,,"네이버·수제화점, O2O 서비스 ‘윈윈’","[   '마리텔 V2' 야노시호ㆍ추사랑 (사진= MBC) ‘마이 리틀 텔레비전 V2’에서 야노시호와 딸 추사랑이 통역사 우지석을 위해 '웰컴 하와이' 선물을 고르는 모습이 선공개 영상을 통해 공개됐다. 두 사람이 준비한 선물로 평소 댄디한 스타일과 180도 다른 모습으로 변신한 우지석 통역사가 시선을 모은다. 이들이 화창한 날씨가 돋보이는 하와이의 한 해변을 배경으로 어떤 콘텐츠의 방송을 보여줄지 대감을 한껏 끌어올리고 있다.오늘(31일) 밤 방송되는 ‘마이 리틀 텔레비전 V2’(이하 ‘마리텔 V2’)는 야노시호와 추사랑이 하와이로 찾아온 통역사 우지석을 위해 선물을 고르고, 해변에서 방송을 준비하고 있는 모습을 네이버 TV에 독점 공개했다.이번 주 '마리텔 V2'에서는 출연자들이 좀 더 각자의 색이 짙어진 콘텐츠 방송들을 이어나갈 예정이어서 기대를 모은다. 하와이에 있는 '알로하 하우스'를 최초 공개한 야노시호는 추사랑과 해변에서 새로운 방송을 예고한 가운데, ‘축구 해설가 데뷔전’을 치르게 된 강부자, 트로트 여신 송가인과 함께 하는 노래교실, 훈남 약사 유튜버 약쿠르트가 유민상과 함께 즉석 상담과 약 처방을 하며 오늘(31일) 밤을 재미로 가득 채워낼 예정이다.공개된 영상 속에서 야노시호와 추사랑이 하와이에 있는 가게에서 '알로하 셔츠'를 쇼핑하고 있다. 야노시호가 ""화와이 스타일~""라며 열심히 고른 셔츠의 주인공은 통역사 우지석으로 알려졌는데, 그녀는 평소 깔끔한 스타일의 통역사에게 '하와이 현지인 st.' 셔츠를 준비하면서 개구장이 같은 웃음을 지어 보는 이들을 웃음케 한다.이어 야노시호가 통역사를 위한 선물을 고르며 엄청 신난 모습을 보인다. 그녀는 화려한 '하와이안 셔츠'를 고르며 텐션이 급격한 높아진 모습을 보였다. 야노시호의 기분이 좋아짐에 따라 사랑이는 인형 옷과 귀여운 발찌를 득템한 모습을 보여 눈길을 사로잡는다.지난주 방송 최초로 하와이의 보금자리를 공개한 야노시호는 추사랑과 함께 하와이의 한 해변에서 보기만 해도 시원한 방송을 준비하고 있어 오늘(31일) 밤 본 방송에 대한 기대가 높아지고 있다.야노시호와 추사랑이 하와이의 해변에서 방송을 준비하고 있는 선공개 영상이 공개되자 네티즌들은 ""통역좌 하와이 주민 인줄ㅋㅋ"", ""시호씨 역시 모델이네 악세서리까지 완벽하게 선물해 주는 것 봐"", ""사랑이 인형 옷이랑 발찌 득템했네!"", ""하와이 해변 대박이다"", ""영상만 봐도 시원~"" 등 다양한 반응을 보였다.협동을 통한 기부금 모으기를 하고 있는 ‘마리텔 V2’는 재미있는 콘텐츠 방송들과 기부를 통한 훈훈함을 통해 재미와 감동을 모두 선사하고 있다. 지금까지 모은 기부금 3700만 원이 네이버 해피빈을 통해 전액 기부되었다고 전해져 눈길을 모으고 있다.박미라 한경닷컴 연예·이슈팀 기자기사제보 및 보도자료 hub@hankyung.com▶ 네이버에서 '한국경제' 구독하고 비씨카드·한경레이디스컵 KLPGA 입장권 받자 ▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지    ]",[],http://www.segye.com/content/html/2019/05/30/20190530512872.html?OutUrl=naver,https://n.news.naver.com/mnews/article/015/0004151591?sid=106
2019.05.30.,헤럴드경제,,"“네이버 인터넷 쇼핑 서비스는 특허침해” 주장 네오패드, 1심 패소",,,http://news.heraldcorp.com/view.php?ud=20190530000115,https://www.yna.co.kr/
2019.05.30.,서울파이낸스,IT/과학,"롯데·신세계, 'AI 기술'로 쇼핑 편의 강화","[    푸드·자동차 등 5개 판에 도입…상반기 확대 적용 예정(서울=연합뉴스) 신선미 기자 = 네이버는 자체 개발한 인공지능(AI) 콘텐츠 추천 시스템 '에어스'(AiRS)를 30일부터 동영상 뷰어 베타 서비스에 적용했다고 31일 밝혔다.     동영상 뷰어 서비스는 네이버 앱 업데이트 뒤 이용할 수 있다. 새 뷰어로는 웹 오리지널 콘텐츠와 V LIVE의 스타 콘텐츠, 일반 창작자의 동영상 콘텐츠, 쇼핑 판매자의 커머스 영상 등을 하나의 플랫폼에서 모두 감상할 수 있다.    서비스는 푸드, 자동차, 리빙, 패션뷰티, 게임 등 5개의 모바일 네이버 주제판에 우선 적용됐다. 네이버는 상반기 내 다른 주제판으로 서비스를 확대할 예정이다.     네이버는 또 상반기 내 동영상을 간편하게 편집해 올릴 수 있는 모바일 전용 동영상 에디터도 출시할 계획이라고 밝혔다.    네이버 아폴로 CIC 김승언 대표는 ""네이버 서비스 전반에서 창작자 중심의 동영상 기술 플랫폼 생태계를 만들어 나갈 것""이라며 ""AI 기반의 동영상 추천 기술을 고도화하는 한편 창작자 중심의 새 보상구조를 마련하고 편집 도구 개발에도 속도를 높일 것""이라고 말했다.    [네이버 제공]    sun@yna.co.kr▶네이버 홈에서 [연합뉴스] 채널 구독하기▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상 ]",[''],http://www.seoulfn.com/news/articleView.html?idxno=344496,https://n.news.naver.com/mnews/article/001/0010859752?sid=105
2019.05.30.,뉴스1,,"도상철 NS홈쇼핑 대표 ""직원복지 과하다구요? 가장 좋은 성장전략입니다""",,,http://news1.kr/articles/?3631464,http://www.segye.com
2019.05.31.,브레이크뉴스,경제,"H&B스토어, 상반기 결산 세일..“할인받고 쇼핑하자”","[ ‘스타일 윈도’ 입점 성수동 업체들 / 한달 평균 600여만원 매출 올려       네이버의 스타일윈도가 서울 성수동 수제화거리에 활기를 불어넣고 있다.  네이버는 자사의 스타일윈도 서비스에 입점한 성수동 수제화 업체들이 월평균 600여만원의 매출을 올리고 있다고 30일 밝혔다. 스타일윈도는 오프라인 기반의 매장들이 네이버의 스마트스토어를 통해 온라인 판매를 할 수 있도록 지원하는 O2O(online to offline) 서비스다.  수제화는 맞춤제작해야 하는 특성상 온라인 영업이 쉽지 않다. 이에 네이버는 이용자가 온라인에서도 발의 볼 크기와 굽 길이, 신발 사이즈, 색상 등을 선택하고 주문제작할 수 있도록 했다. 또 발 크기를 표준화할 수 있도록 사이즈 측정 방법을 상품 설명에 반영해 교환 및 반품의 가능성을 최소화했다. 수제화 브랜드의 고유 정체성을 알릴 수 있도록 제작의 과정과 디자인 철학 등도 함께 공개하고 있다.  성수동 수제화거리 업체 중 네이버 스타일윈도에 입점한 업체는 51개다. 인기 있는 업체의 경우 월 2000만원 이상의 실적을 올리는 곳도 있다.  네이버 스타일윈도에 입점한 ‘로우플로우’의 정종근 대표는 “예전에는 오프라인 매장에 입소문으로 찾아오는 고객이 대부분이었는데, 스타일윈도 입점 후 네이버를 통해 찾아오는 이용자가 늘며 수제화거리에 다시 활기가 돌고 있다”고 말했다.  이윤숙 네이버 포레스트 CIC(사내독립기업) 대표는 “네이버 쇼핑은 판매자가 주인공이 되는 플랫폼이 될 수 있도록 모든 기술과 데이터로 지원할 것”이라며 “오프라인 기반의 스몰 비즈니스도 온라인 스토어를 통해 새로운 성장의 기회를 맞이할 수 있도록 돕겠다”고 말했다.   김준영 기자ⓒ 세상을 보는 눈, 세계일보 ]",[],http://www.breaknews.com/658762,https://n.news.naver.com/mnews/article/022/0003367677?sid=101
2019.05.31.,업다운뉴스,,"티몬, 대박행사 연다...1일 역대급 쇼핑행사 '퍼스트데이' 개최",,,http://www.updownnews.co.kr/news/articleView.html?idxno=204227,http://www.heraldbiz.com/
2019.05.30.,글로벌이코노믹,사회,샵바이 쇼핑몰 소문내고 선물 받을래?,"[ -특허등록 이유로 ‘온라인 스토어 제공’ 허락 받으라며 소송 -법원 “통상의 기술자가 쉽게 발명 가능, 진보성 없어”     [네이버 스마트스토어 홈페이지 갈무리][헤럴드경제=이민경 기자] 모바일 솔루션 업체 네오패드가 네이버의 인터넷 쇼핑 서비스가 자사 특허권을 침해한 것이라며 소송을 냈지만 패소했다.서울중앙지법 민사61부(부장 성보기)는 네오패드가 네이버를 상대로 낸 ‘특허권 침해금지 청구소송에서 원고 패소 판결했다고 30일 밝혔다. 재판부는 “네오패드의 발명은 통상의 기술자가 선행발명에 상용화된 기술을 결합해 쉽게 발명할 수 있는 것이므로, 진보성이 없어 무효로 돼야 한다”고 판단했다. 이어 “그 특허에 기초한 네오패드의 이 사건 청구는 권리남용에 해당돼 허용될 수 없다”고 덧붙였다. 네오패드는 이번 소송을 통해 네이버 측에 서비스 제공을 중단하고, 1억여원을 지급하라고 요구했다. 재판부는 네오패드의 특허가 무효인 이상, 네이버 서비스가 실제 특허권을 침해했는지 여부를 판단할 필요가 없다고 결론냈다.네오패드는 네이버의 스마트스토어와 쇼핑 서비스를 결합한 서비스가 자신의 특허권을 침해한 것이라며 지난해 소송을 냈다. 판매자는 인터넷 웹페이지로 가상의 가게를 만들어 상품판매정보를 등록할 수 있고, 구매자는 네이버쇼핑을 통해 등록된 상품검색을 할 수 있는 서비스였다. 온라인 쇼핑의 전형적인 모습이었지만, 네오패드 측은 이러한 방식의 서비스가 자신들이 먼저 등록한 ‘홈페이지 등록, 관리 및 검색 서비스제공’ 특허를 침해한 것이라며 소송을 냈다. think@heraldcorp.com▶헤럴드경제 채널 구독하면 신세계상품권 100만원 행운이▶5월 감사의달 최대70%할인, 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기 - Copyrights ⓒ 헤럴드경제 &amp; heraldbiz.com, 무단 전재 및 재배포 금지 -   ]",[],http://www.g-enews.com/ko-kr/news/article/news_all/201905302125016654f67c3fc824_1/article.html,https://n.news.naver.com/mnews/article/016/0001540979?sid=102
