Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2018.12.31.,스포츠경향,,"알리바바 마윈회장과 경쟁한 中 오스틴, 방송서 DPC 쿠션 30초만에 2만개 판매",,,http://sports.khan.co.kr/news/sk_index.html?art_id=201812311249003&sec_id=561901&pt=nv,https://sports.khan.co.kr/
2018.12.28.,뉴시스,경제,"알리바바, 안면인식 결제 수단 '드래곤플라이' 론칭","[    왕홍 오스틴의 타오바오 라이브 생방송에서 ㈜엠에스코(대표 서문성)가 운영하는 토탈 홈케어 뷰티 브랜드 DPC의 베스트셀러 핑크 아우라 쿠션의 새로운 시즌4 ‘핑크 아우라 쿠션 SA’가 방송 시작 30초만에 2만개 판매되며 6억 매출을 기록했다.     왕홍 오스틴은 타오바오, 웨이보 등에서 160만명 팔로워 수를 보유한 중국 유명 뷰티 인플루언서로 타오바오 라이브 셀러 탑 20위 안에 드는 인지도를 지니고 있다. 2018년에는 4개월 연속 타오바오 라이브 연속 판매 1위를 기록한 바 있다. 특히 지난 11월 광군제를 맞아 알리바바 회장 마윈은 오스틴과 립스틱 판매경쟁을 펼치며 10개를 파는데 그친 마윈을 압도하며 1만5000개 판매기록을 세웠다. 이번 타오바오 라이브 방송에서 23만명의 실시간 시청자수를 기록하며 시즌4 제품 레오파드 패키지에 대한 폭발적인 관심을 보이며, 준비수량 1만개가 방송 오픈 순간 완판을 기록했고, 추가 5천개로 방송을 진행하였으나 추문이 폭주해 5천개는 예약으로 구입할 수 있도록 했다.이번 오스틴 생방송에서 판매된 ‘핑크 아우라 쿠션 SA 레오파드 에디션’은 기존 핑크, 베이지 에센스에 더불어 컨실 회오리가 추가돼 트리플 회오리로 업그레이드된 시즌4 제품이다. 특히 겨울철 베이스 메이크업을 위한 꿀 3종과 안티에이징 성분이 담겨있는 것이 큰 특징이다. 이번 제품은 정제수 대신 병풀잎수와 벨기에 온천수를 함유해 건조한 추위와 바람에도 피부를 편안하게 진정시켜준다. DPC 중국사업팀 관계자는 “라이브 방송 이후 추가 판매 요청이 많아 추가 물량 확보를 위해 최선을 다하는 중”이라며 “향후 다양한 왕홍들과의 컬래버레이션 방송 뿐 아니라 중국 내 DPC 브랜드 론칭을 통해 더욱 더 많은 소비자들에게 다가가겠다”고 말했다.손재철기자▶ [스포츠경향 인기 무료만화 보기]▶ [지금 옆사람이 보고있는 뉴스]©스포츠경향(sports.khan.co.kr), 무단전재 및 재배포 금지   ]",[],http://www.newsis.com/view/?id=NISI20181228_0000251504,https://n.news.naver.com/mnews/article/144/0000589341?sid=101
2018.12.27.,지디넷코리아,,"알리바바 AI 스피커, 올해 3700% 폭발적인 성장",,,http://www.zdnet.co.kr/ArticleView.asp?artice_id=20181227073453,http://www.newsis.com
2018.12.30.,위키리크스한국,세계,"동대문시장, 알리바바 '타오바오 라이브' 방송...'왕홍' 中 모바일서 '동대문...",[     【베이징=신화/뉴시스】27일(현지시간) 중국 베이징의 한 제과점에서 전자상거래 업체 알리바바가 선보인 안면인식 결제 수단 '드래곤플라이'를 시연하고 있다.  현지 관계자는 향후 6개월 내 많은 제과점이 이 결제 수단을 이용할 것으로 전망했다. 2018.12.28. &lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt; ],[],http://www.wikileaks-kr.org/news/articleView.html?idxno=44190,https://n.news.naver.com/mnews/article/003/0008984785?sid=104
2018.12.31.,파이낸셜포스트,,"[신년사 2019] 허창수 전경련 회장, ""세계경제는 구글, 페이스북, 알리바바 등...",,,http://www.fintechpost.co.kr/news/articleView.html?idxno=13373,https://zdnet.co.kr/
2018.12.29.,테크M,IT/과학,알리바바가 최초로 문을 연 AI와 로봇 활용 ‘미래 호텔’,"[    (지디넷코리아=유효정 중국 전문기자)올해 인공지능(AI) 스피커 시장이 가파른 성장세를 보이고 있다. 특히 세계 3위 중국의 알리바바의 경우 지난해 대비 3700%나 성장한 것으로 나타났다.중국 란커지왕은 27일 시장조사회사 스트래티지애널리틱스(SA)의 최근 통계를 인용해 알리바바의 AI 스피커가 올들어 지난 3분기까지 글로벌로 총 370만 대가 판매됐는데 이는 지난해보다 3600% 늘어난 것이라고 보도했다.    티몰 지니 이미지 (사진=알리바바)또 세계 1위인 아마존은 62%, 2위인 구글은 286% 늘어났다.    알리바바뿐 아니라 바이두, 텐센트, 징둥, 샤오미 등 다른 중국 기업들도 약진하고 있다.중국 시장조사기업 AVC에 따르면 올해 상반기 중국 시장의 AI 스피커 판매량은 467만대로 지난해 같은 기간 대비 네자릿 수의 성장세를 보였다. 판매액이 12억1000만 위안(약 1천976억 6천560만 원)에 이른다. 반 년간의 판매량이 지난해 연간 판매량의 3배를 넘어서는 가파른 성장세를 보였다. 추가 브랜드의 진입과 가격 전쟁의 심화로 인한 가격 인하 등이 AI 스피커 시장의 확대 요인으로 지목되고 있다.SA에 따르면 3분기에만 알리바바는 지난해 대비 1692%, 샤오미는 1800%의 판매량 성장률을 기록했다.3분기 세계 시장 점유율 순위로는 선두인 아마존에 이어 구글, 알리바바, 바이두, 샤오미, 애플이 톱6를 차지하고 있다.2024년 글로벌 AI 스피커 시장은 300억 달러(약 33조7700억 원) 규모에 이를 것으로 예측되고 있다.유효정 중국 전문기자(hjyoo@zdnet.co.kr)  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요  ]","['짱깨 제발 꺼져라', '', '']",http://techm.kr/bbs/board.php?bo_table=article&wr_id=5456,https://n.news.naver.com/mnews/article/092/0002153351?sid=105
2018.12.28.,지디넷코리아,,"알리바바클라우드, 이미지 인식 성능대회 1위",,,http://www.zdnet.co.kr/ArticleView.asp?artice_id=20181228080630,http://wikileaks-kr.org
2018.12.31.,뉴스핌,,"'빛바랜 차세대 유망 업종', 2018년 중국에서 문 닫은 스타트업 업종 TOP5",,,http://www.newspim.com/news/view/20181231000382,http://www.financialpost.co.kr/
2018.12.30.,아시아투데이,,"아시아의 2019년 미리 보기, 어떤 한 해 될까",,,http://www.asiatoday.co.kr/view.php?key=20181230010018386,http://techm.kr
2018.12.28.,주간조선,,2019 한·중 반도체 전쟁,,,http://weekly.chosun.com/client/news/viw.asp?nNewsNumb=002539100001&ctcd=C01,https://zdnet.co.kr/
