Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
20면 1단,서울신문,,롯데 계열사 온라인몰 통합 ‘롯데 ON’ 개시,,,http://www.seoul.co.kr/news/newsView.php?id=20190401020010&wlog_tag3=naver,https://www.seoul.co.kr
2019.03.31.,머니S,경제,"고도몰, 위메프 원더쇼핑 입점과 패밀리세일 지원","[ 하이마트 등 7곳 한번에 로그인·이동…서비스 도입 기념 ‘반값 행사’도 개최[서울신문]    롯데쇼핑이 계열사 온라인몰 통합 로그인 시스템인 ‘롯데 ON’ 서비스를 1일 도입한다. 지난해 8월 ‘롯데 e커머스 사업본부’를 출범, 3조원을 투자해 2020년까지 계열사별 온라인몰을 통합하겠다는 발표 이후 첫 결과물이다.롯데는 백화점과 마트, 슈퍼, 홈쇼핑, 하이마트, 롭스, 닷컴 등 7개 유통 계열사의 온라인몰에 한 번에 로그인할 수 있는 통합 로그인 시스템 ‘롯데 ON’ 서비스를 시작한다고 31일 밝혔다. 이에 엘롯데 앱에서 로그인한 뒤 앱 화면 우측 상단의 ‘ON 몰 이동’ 버튼을 누르면 다른 앱에서 계열사 웹페이지로 이동해 쇼핑할 수 있다.7개사 온라인몰에서 통합 검색 기능도 지원된다. 구매하고자 하는 상품을 검색하면 해당 판매상품 외에도 동일한 키워드로 검색되는 상품 검색 결과를 볼 수 있다. 롯데는 이 같은 통합검색 시스템에서 시작해 내년 상반기 7개사 온라인몰을 한 번에 이용할 수 있는 통합 앱인 ‘롯데 ON 앱’을 구축할 계획이다.롯데 ON 서비스 도입을 기념해 7개 계열사들은 ‘롯데를 켜세요 롯데 ON 반값 ON’ 행사를 연다. 1~7일 7개 온라인몰 상품 구매 고객 중 1명을 추첨해 5000만원 상당의 ‘하와이 한 달 살기’ 경품을 증정하고, 8일부터 19일까지 오전 11시와 오후 4시 매일 두 번씩 선착순으로 에어팟, 다이슨 헤어드라이기, LG퓨리케어 공기청정기 구매 금액의 50%를 L포인트로 포인트백을 받을 수 있는 ‘롯데 ON 하프타임’ 행사도 연다.심현희 기자 macduck@seoul.co.kr▶ 네이버에서 서울신문 구독하기 ▶ 재미있는 세상[나우뉴스] [인기 무료만화]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지   ]",[],http://moneys.mt.co.kr/news/mwView.php?no=2019032521098045188,https://n.news.naver.com/mnews/article/081/0002987537?sid=101
2019.03.31.,동양일보,,온라인 전자상거래 해외 수출몰 육성한다,,,http://www.dynews.co.kr/news/articleView.html?idxno=449043,https://www.moneys.co.kr/
2019.03.31.,아주경제,,[이커머스 100조원 시대…나도 쇼핑몰CEO⑦] 전략적 마케팅으로 고객 접점 확...,"[    온라인쇼핑몰 솔루션기업 NHN고도(대표 이윤식, 이하 고도몰)는 위메프(대표 박은상) 온라인몰 채널링 서비스 원더쇼핑과 온라인 쇼핑몰 사업자 지원을 위한 상호 업무 협약을 체결했다.고도몰 솔루션을 이용하는 브랜드 쇼핑몰과 소호몰들은 원더로그인 연동을 통해 손쉽게 위메프 원더쇼핑에 입점해 마케팅 제휴와 프로모션을 진행할 수 있게 된다. 원더쇼핑에 입점한 고도몰 회원사 쇼핑몰들은 위메프 고객을 자사 고객으로 끌어들이는 모객 효과를 비롯한 마케팅 확대 효과를 누리게 된다.지난 21일 체결된 협약을 통해 양측은 ▲ 원더로그인 연동 개발 ▲ 고도몰 입점 회원사 마케팅 프로모션 지원 ▲ 원더쇼핑 프로모션 수수료 할인 혜택 ▲ 원더쇼핑 패밀리세일 연계 진행 등에 관해 적극 협력키로 했다. 이외에도 다양한 고객 맞춤형 혜택을 폭넓게 구성해 협력을 강화해 나갈 계획이다.    / NHN고도 제공 @머니S MNB, 식품 외식 유통 · 프랜차이즈 가맹 &amp; 유망 창업 아이템의 모든 것원더쇼핑 패밀리세일은 사전입장으로 업계 최저가 인기 품목을 판매해 고객과 판매자 모두에게 큰 호응을 얻고 있다. 고도몰 솔루션 이용 쇼핑몰들은 위메프 패밀리세일 진행을 통해 적극적인 고객 유치와 트래픽 과부하 걱정 없이 브랜딩과 회원확보에 용이한 이벤트를 기획해 볼 수 있다. 여기에 원더쇼핑의 개인화 큐레이션 기능을 통해 고객 맞춤형 상품을 제안함으로써 매출 상승 효과를 톡톡히 누릴 수 있을 것으로 기대된다.한편, 박정훈 위메프 원더쇼핑 제휴실장은 “이번 제휴를 통해 고도몰을 이용하는 소호와 브랜드 자사몰들은 3개월간 수수료 걱정없이 원더쇼핑에 입점해 트래픽과 회원확보를 할 수 있다”고 설명했다. NHN고도 EC사업실 김종승 이사는 “이번 제휴를 통해 고도몰의 우수 브랜드 쇼핑몰 업체들이 위메프 원더쇼핑을 통해 판매 채널을 다각화 할 수 있는 기회가 마련되었다”고 말하며, “향후 고도몰 회원사들에게 제공할 수 있는 혜택과 맞춤형 서비스를 확대하기 위한 다양한 협업을 추진하겠다”고 밝혔다.강동완 기자 ▶ 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼' &lt;저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지&gt;   ]",[],http://www.ajunews.com/view/20190331064942697,https://n.news.naver.com/mnews/article/417/0000394579?sid=004
2019.03.27.,이데일리,,"NHN고도, 온라인 쇼핑몰 제작지원 '샵바이' 출시",,,http://www.edaily.co.kr/news/newspath.asp?newsid=04657606622427584,http://www.dynews.co.kr
2019.03.28.,파이낸셜뉴스,,"현대리바트, 아시아 최초 ‘윌리엄스 소노마’ 단독 온라인몰 연다",,,http://www.fnnews.com/news/201903281402085980,http://www.ajunews.com
2019.03.29.,IT조선,,[3. 29 오늘의 온라인 쇼핑] G마켓 스포츠 20% 하루 할인·쿠팡 원예 부서 개...,,,http://it.chosun.com/site/data/html_dir/2019/03/29/2019032901142.html,http://www.edaily.co.kr/
2019.03.27.,매일경제,IT/과학,공동구매·프리오더 등 신세계 온라인쇼핑 실험 어디까지,"[    [이데일리 이재운 기자] 온라인쇼핑몰 솔루션기업 NHN고도는 누구나 손쉽게 자신의 쇼핑몰을 만들 수 있는 쇼핑몰 솔루션 ‘shop by’(샵바이)를 27일 선보였다.샵바이는 ‘상품 1개로 시작하는 나만의 쉬운 쇼핑몰’이라는 컨셉으로 자신만의 브랜드 쇼핑몰을 만들 수 있는 간편 솔루션이다. 온라인 쇼핑몰에 관심을 갖고 있는 SNS 인플루언서 1인 마켓이나 신규 창업 소상공인에게 최적화된 대중성을 강화한 쇼핑몰 솔루션이다.샵바이는 비용 부담 없는 간편한 쇼핑몰 개설과 운영 효율성을 높이는 기능에 중점을 뒀다. 간단한 가입절차만 거치면 별도의 가입비나 운영비 지출 없이 쇼핑몰을 바로 개설할 수 있다. 고도몰은 쇼핑몰 메뉴와 UI(사용자환경)를 대폭 간소화시켜 단순하고 쉽게 쇼핑몰을 만들어 운영 관리할 수 있도록 했다.드래그&amp;드랍 방식으로 쇼핑몰 디자인을 손쉽게 편집할 수 있다. 특히 반응형 웹 기술을 통해 모바일을 비롯한 다양한 기기에 적용시킬 수 있도록 운영 편의성을 높였고, 심플하고 모던한 디자인 스킨을 제공하는 등 최신 쇼핑몰 트렌드를 적극 반영했다는 설명이다.인스타그램 연동, 간편 로그인 지원, 전자결제대행(PG), 간편결제 페이코(PAYCO)등 결제 시스템 서비스도 쉽게 적용할 수 있다.    고도몰은 샵바이 론칭을 기념해 다음달 말까지 신규 신청자를 대상으로 샵바이 그랜드 오프닝 이벤트를 진행한다. 아이패드와 기프티콘 등 다양한 경품을 추첨 제공할 계획이다. 신규 쇼핑몰 개설 고객 대상 쇼핑몰 명함 제작도 진행한다.오는 30일에는 오후 2시부터 8시까지 성수동 바이산에서 샵바이 론칭 기념 인플루언서 파티도 연다. NHN고도 홈페이지에서 사전 신청할 수 있다.이윤식 NHN고도 대표는 “샵바이는 모바일 쇼핑의 대중화와 보편화에 맞춰 간편한 전자상거래를 위한 쇼핑몰 기능 구현에 중점을 뒀다”고 말하며 “온라인 쇼핑몰의 운영 효율성을 높일 수 있는 다양한 기능들을 지속적으로 선보여 판매자들의 쇼핑몰 브랜딩 작업을 적극 도울 수 있도록 노력해 나가겠다”고 말했다.이재운 (jwlee@edaily.co.kr)총상금 1050만원, 사진 공모전 [나도 사진 기자다▶]이데일리 [구독하기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞ ]",[],http://news.mk.co.kr/newsRead.php?year=2019&no=185516,https://n.news.naver.com/mnews/article/018/0004340081?sid=105
2019.03.28.,뉴데일리,,"롯데카드, 온라인쇼핑몰 할인 ‘렛츠 엘 터치' 이벤트",,,http://biz.newdaily.co.kr/site/data/html/2019/03/28/2019032800008.html,http://www.fnnews.com/
2019.03.24.,뉴스1,생활/문화,"""온라인 쇼핑몰로 해외진출 지원""…전자상거래 활용 수출 中企 모집","[           윌리엄스 소노마 온라인몰 화면. 현대리바트 제공    현대백화점그룹 계열 토탈 인테리어기업 현대리바트는 다음달 1일 미국 프리미엄 홈퍼니싱 기업 '윌리엄스 소노마(WSI)'의 프리미엄 홈퍼니싱 온라인몰을 아시아 최초로 오픈한다고 28일 밝혔다.  ‘윌리엄스 소노마’는 1956년 설립된 미국 1위 홈퍼니싱 기업이다. 현대리바트는 지난 2017년 미국 윌리엄스 소노마 본사와 윌리엄스 소노마·포터리반·포터리반 키즈·웨스트 엘름 등 4개 브랜드의 국내 독점 판매 계약을 맺고 전국 12개 오프라인 매장을 운영 중이다.  현재 윌리엄스 소노마는 아시아지역에서 한국 외에는 필리핀에 포터리반·포터리반 키즈·웨스트 엘름 등 3개 브랜드의 오프라인 매장을 운영하고 있다.  현대리바트는 이번 단독 온라인몰 오픈을 통해 오프라인뿐 아니라 온라인을 통한 윌리엄스 소노마 매출 확대에 적극 나선다는 계획이다. 현재 전체 윌리엄스 소노마 매출의 5%대인 온라인 매출 비중을 내년 상반기까지 30% 수준으로 확대하겠다는 목표다.  윌리엄스 소노마 단독 온라인몰은 4개 브랜드관으로 운영되며, 현재 오프라인에서 판매되고 있는 주방용품·가구·침구 등 7000여 종의 상품을 선보인다. 특히, ‘윌리엄스 소노마관’에서는 ‘주방용품계의 샤넬’로 불리는 스테인레스 주방 브랜드 올클레드(All-Clad)를 비롯해, 200년 전통의 프랑스 프리미엄 주방 브랜드 모비엘(Mauviel), 미국 1위 프라이팬 브랜드 캘파론(calphalon) 등 온라인 쇼핑몰에서는 해외 직구로만 접할 수 있었던 유명 키친 웨어 상품을 대거 선보인다.  현대리바트는 윌리엄스 소노마 단독 온라인몰 오픈을 기념해 다음달 1일부터 28일까지 전국 12개 오프라인 매장과 온라인몰에서 특별 할인행사와 프로모션을 진행한다. 오프라인 매장에서는 행사 기간 윌리엄스 소노마의 칼·도마·냄비 등을 20~30% 할인해주고, 포터리반·포터리반 키즈·웨스트 엘름의 가구 전 제품을 10% 할인 판매한다. 온라인몰에서는 다음달 1일부터 다음달 14일까지 신규로 회원 가입을 하는 고객을 대상으로 무료 배송 쿠폰과 할인 쿠폰 등을 제공한다. fair@fnnews.com 한영준 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지   ]",[],http://news1.kr/articles/?3578175,https://n.news.naver.com/mnews/article/014/0004201386?sid=103
