Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.08.29.,뉴시스,,"[함양소식]군, 온라인 쇼핑몰 개장 등",,,http://www.newsis.com/view/?id=NISX20190829_0000754743&cID=10812&pID=10800,http://www.newsis.com
2019.08.30.,동아일보,사회,"풀무원, 온라인 쇼핑몰에서 신선식품 최대 30% 할인 판매","[     【함양=뉴시스】 함양 쇼핑몰 시연.【함양=뉴시스】정경규 기자 = 경남 함양군은 군 농산물유통센터에서 청정 함양 농·특산물 판매촉진을 위해 '온라인 쇼핑몰' 개장식을 열었다고 29일 밝혔다.군은 온라인 쇼핑몰을 활성화하기 위해 군 농산물유통센터에서 운영할 수 있도록 전환하고 다양한 콘텐츠로 ‘소비자에게는 알뜰 쇼핑의 즐거움을 생산자에게는 판로확대의 기쁨’을 콘셉트로 새 장을 열었다.온라인 쇼핑몰 입점업체는 공모를 통해 지역에서 생산되는 농·특산물로 신선하고 안전한 먹거리만을 엄선해 공급하고 결재방식도 신용카드, 계좌송금, 모바일. 스마트폰 등 간편 결재시스템을 도입해 소비자가 쉽게 이용할 수 있도록 했다.군 온라인 쇼핑몰에는 사과·배·포도 등 계절상품과 햅쌀·신토불이 잡곡·곶감·장류·임산물·축산물·산양삼가공품, 농산가공품·추석 선물세트 등 함양을 대표할 수 있는 농·특산물을 판매하고 있다.군 농산물유통센터는 오는 9월6일부터 15일까지 개최되는 함양산삼축제와 추석을 맞아 포털사이트를 활용해 함양군 온라인 쇼핑몰과 로컬푸드 직매장을 집중 홍보하는 마케팅에 나선다는 방침이다.◇함양군, 어린이 화훼체험 교육 인기함양군이 올해 봄 부터 실시하고 있는 유치원 및 초등학생 대상 화훼체험교육이 큰 인기를 끌고 있다. 군에 따르면 지난 3월부터 9월까지 군 농업기술센터 아열대식물원에서 어린이 화훼체험 교육을 실시하고 있으며 그동안 360여명이 교육에 참가하는 등 많은 인기와 성원으로 성황리에 운영되고 있다.지난 28일 꿈나무유치원 원생 등 30여명이 가을꽃 체험교육에 참여해 직접 꽃나무를 기르고 가꾸는 활동을 통해 식물과의 교감이 정서적 안정과 심리적 치유에도 많은 도움이 됐다.jkgyu@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 &lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt;   ]",[],http://www.donga.com/news/article/all/20190830/97196669/1,https://n.news.naver.com/mnews/article/003/0009425447?sid=102
2019.08.29.,데일리한국,,"전자랜드, 온라인 쇼핑몰에 '4차산업 테마관' 오픈",,,http://daily.hankooki.com/lpage/industry/201908/dh20190829111548148020.htm,http://www.donga.com/
2019.08.29.,이데일리,생활/문화,"카페24, 쇼핑몰 콘텐츠 제작 무료 폰트 지원","[     풀무원은 추석 명절을 맞아 온라인 쇼핑몰 풀무원 숍에서 신선식품을 최대 30% 할인 판매한다고 30일 밝혔다.회사 측은 이번 할인 행사에서 두부와 콩나물, 달걀 등을 합리적인 가격으로 선보인다.특히 1등급 국산 콩으로 만든 두부(부침 및 찌개용) 기획 세트, 목초란 등을 최대 30% 저렴한 가격에 구매할 수 있다. 추석 차례상에 쓰이기도 하는 두부송이 고기 완자는 40%가량을 할인 해준다. 다음 달 9일까지 주문과 결제를 마치면 추석 연휴 이전에 배송될 예정이다.이와 함께 다음 달 11일까지 적립금과 할인 쿠폰 등을 증정하는 행사도 병행한다. 풀무원은 추첨을 거쳐 적립금 20만 원 등을 지급하기로 했다. 박민정 풀무원 숍 사업부장은 “추석 명절을 맞아 준비한 혜택을 활용, 소비자들이 합리적인 구매를 하길 바란다”고 말했다.동아닷컴 박상재 기자 sangjae@donga.com▶ 동아일보 단독 뉴스 / 트렌드 뉴스▶ 네이버 홈에서 [동아일보] 채널 구독하기ⓒ 동아일보 &amp; donga.com, 무단 전재 및 재배포 금지   ]",[],http://www.edaily.co.kr/news/newspath.asp?newsid=02774886622592240,https://n.news.naver.com/mnews/article/020/0003238376?sid=103
2019.08.29.,서울경제,,"롯데하이마트,온라인쇼핑몰 빠른 배송 서비스 강화",,,https://www.sedaily.com/NewsView/1VN5P9FT42,http://daily.hankooki.com
2019.08.31.,아시아경제,,SNS 인플루언서 1인 마켓 뜨자 쇼핑몰솔루션도 '훨훨',,,https://view.asiae.co.kr/article/2019083111595574945,http://www.edaily.co.kr/
2019.08.31.,머니S,IT/과학,"최고의 품질 합리적인 가격, 건강 발효식품 전문 쇼핑몰 ‘나이스킹덤’","[ 총 16가지 다양한 스타일 폰트 제공저작권 제한 없이 누구나 손쉽게 사용 가능[이데일리 김현아 기자]    카페24 무료 폰트전자상거래 플랫폼 ‘카페24’ 는 온라인 쇼핑몰 운영에 필요한 다양한 폰트(Font, 디자인된 컴퓨터 글씨체)를 무료로 지원한다.무료 폰트는 가독성이 높은 캘리그라피 서체, 귀여운 손글씨 서체 등 총 16가지 다양한 스타일로 제공된다. 글로벌 시장을 대상으로 한 콘텐츠 제작이 가능하도록 영어 버전까지 지원한다.본 서체는 ‘프리 라이선스(Free License)’로 제공해 저작권에 제한 없이 사용할 수 있다. 뿐만 아니라 에디봇(Edibot), 에디봇 배너 등 카페24가 제공하는 인공지능(AI) 기반의 콘텐츠 제작 서비스에 기본 탑재돼 있어 누구나 손쉽게 사용할 수 있는 점도 특징이다.쇼핑몰 로고(Logo), 상세설명 작성, 이벤트 안내 등 온라인 쇼핑몰 운영 전반에는 다양한 글씨체를 활용한 작업이 필수다. 쇼핑몰 운영자들은 다양한 무료 폰트를 활용해 차별화된 콘셉트나 분위기 표현이 가능해져 콘텐츠 경쟁력을 높일 수 있을 것으로 기대된다.카페24는 무료 폰트를 지속 업데이트해 나갈 예정이다.이재석 카페24 대표이사는 “쇼핑몰 운영에 있어 폰트를 포함한 디자인 등 시각적인 부분은 각 쇼핑몰의 브랜드 가치를 높이는 중요한 요소”라며 “카페24는 전문 쇼핑몰들이 성공적인 브랜딩을 해 나갈 수 있도록 계속해서 지원할 것”이라고 말했다. 한편 ‘카페24 에디봇(Edibot)’은 인공지능(AI) 기반의 쇼핑몰 콘텐츠 제작편집 시스템이다. 2018년 쇼핑몰들의 수백장 이미지를 상품컷, 모델컷 등으로 자동 분류하고 신속하게 상품 페이지를 제작할 수 있는 서비스를 시작으로 에디봇 배너(쇼핑몰 배너를 AI로 쉽게 제작할 수 있는 기능), 에디봇핏(상품정보를 AI로 빠르게 입력하고 자동 번역까지 되는 기능) 등을 제공한 바 있다.김현아 (chaos@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞ ]",[],http://moneys.mt.co.kr/news/mwView.php?no=2019082914128099324,https://n.news.naver.com/mnews/article/018/0004456688?sid=105
2019.08.30.,베타뉴스,,[산청군 브리핑] 산엔청쇼핑몰 서울서 추석선물 특별전 등,,,http://www.betanews.net:8080/article/1045496.html,http://www.sedaily.com
2019.08.31.,미주중앙일보,경제,뉴저지서 무료 온라인쇼핑몰 강좌,"[ 가족선물용 가전부터 밥솥, 조리도구까지오래 기다릴필요 없는 빠른 배송 가능    [서울경제] 롯데하이마트(071840)가 추석을 맞이해 온라인몰 내 빠른 배송 서비스를 강화한다. 압력밥솥, 전기팬, 조리도구 등 명절음식 준비에 도움을 주는 주방가전과 연관 상품부터, 의류건조기, 식기세척기, 무선청소기 등 가족선물로 좋은 가전에 이르기까지 빠른 배송 서비스 적용 범위를 늘렸다. 소비자들은 명절 시즌 택배 업체 마감 걱정 없이 원하는 상품을 신속하게 받아볼 수 있다.롯데하이마트쇼핑몰의 빠른 배송 서비스로는 ‘스마트퀵’, ‘스마트픽’, ‘오늘배송’ 서비스다. 상품을 주문한 뒤 2시간 이내로 퀵서비스로 배송 받는 ‘스마트퀵’, 주문 상품을 수령하고 싶은 시점과 매장을 선택할 수 있는 ‘스마트픽’ 서비스를 이용하면 상품 배송을 기다릴 필요가 없어 편리하다. ‘오늘배송’ 서비스는 고객이 롯데하이마트쇼핑몰에서 낮 12시 이전까지 주문을 접수하면, 당일 가전상품을 출고해 그날 오후 받아볼 수 있는 서비스다. ‘스마트퀵’, ‘오늘배송’ 서비스는 추석연휴 시작 전날인 다음달 11일까지, ‘스마트픽’ 서비스는 12일까지 운영한다.롯데하이마트쇼핑몰은 ‘스마트퀵’ 서비스 적용 상품을 기존 청소기, 핸드블렌더, 무선이어폰 등 기존 280여개에서 태블릿, 별도 설치가 필요 없는 TV 등 가족선물로 좋은 가전을 추가해 총 320여개로 늘렸다. 추석시즌 중에 주문한 상품을 주문 당일 2시간내로 배송 받으려면 9월 11일 오후 4시 30분까지 ‘스마트퀵’ 서비스를 이용하면 된다.롯데하이마트쇼핑몰은 ‘스마트픽’ 서비스 적용 상품도 명절음식 준비에 도움을 주는 주방가전·용품 위주로 확대했다. 다음달 12일까지 롯데하이마트쇼핑몰에서 주문한 상품을 스마트픽 서비스를 이용하면 구매한 상품을 기다릴 필요 없이 수령을 희망하는 롯데하이마트 매장에서 바로 받을 수 있다.가전 선물을 염두에 둔 고객들을 위해 ‘오늘배송’ 서비스 적용품목도 늘렸다. 기존 TV, 세탁기, 의류건조기, 냉장고, 김치냉장고 등 일부 설치가전 위주 300여 개로 운영해 왔던 서비스 적용상품을 밥솥, 전자레인지, 청소기 등 중소형가전으로까지 확대해 총 350여개로 늘렸다. 다음달 11일 정오까지 롯데하이마트쇼핑몰의 오늘배송 코너에서 TV를 구매하면 그날 저녁까지 설치 받을 수 있다. 롯데하이마트쇼핑몰은 다음달 15일까지 추석 테마관을 운영한다. 가족선물로 좋은 상품이나 명절음식을 준비하는데 필요한 다양한 상품을 한 데 모아 선보인다./변수연기자 diver@sedaily.com  [서울경제 바로가기]▶ 한눈에 보는 시그널 '기업 재무정보'  | ▶ 네이버TV로 서울경제썸 구독하기▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지   ]",[],http://www.koreadaily.com/news/read.asp?art_id=7558384,https://n.news.naver.com/mnews/article/011/0003610682?sid=101
2019.08.29.,이데일리,,"HMR 전문몰 ‘CJ더마켓’, 식품 온라인 몰 中 1일 트래픽 최고",,,http://www.edaily.co.kr/news/newspath.asp?newsid=03102886622592240,https://www.asiae.co.kr/
