Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.07.31.,동아일보,,이베이코리아 “스마일페이가 여름휴가비 쏜다”,,,http://www.donga.com/news/article/all/20190731/96774122/1,http://www.donga.com/
2019.07.30.,뉴시스언론사 선정,생활/문화,"여름휴가철, 일본노선 항공권 매출 38% 하락","[     국내 1위 전자상거래 기업 이베이코리아는 휴가 시즌을 맞아 간편결제 서비스 ‘스마일페이’를 활용한 ‘여름휴가비를 쏩니다’ 이벤트를 진행한다고 31일 밝혔다. 해당 이벤트는 오는 8월 18일까지 이뤄진다.이 기간 스마일페이를 이용해 여름휴가 이벤트 패키지 가맹점에서 결제하면 현금처럼 사용할 수 있는 ‘스마일캐시’ 3000원권이 적립된다. 해외파와 국내파, 안가파 등 3가지 여름휴가 패키지 중 취향에 따라 선택한 후 패키지별 3가지 휴가 코스에 해당하는 가맹점에서 스마일페이로 결제하면 자동으로 참여가 완료되는 방식이다.또한 소셜미디어(눈)를 활용한 이벤트도 마련됐다. 인스타그램에 이벤트 참여 과정을 인증하면 최대 100만 원에 달하는 여름휴가비가 지원된다. 사진과 함께 필수 해시태그(#스마일페이여름휴가, #스마일페이 #패키지명 #휴대폰번호 뒤 4자리)를 넣어 업로드하면 이벤트에 응모된다. 추첨을 통해 6명에게 스마일캐시 100만 원(1명)과 스마일캐시 50만 원(2명), 스마일캐시 20만 원(3명) 등이 제공된다.당첨자는 오는 9월 27일 발표된다. 이벤트를 통해 지급되는 스마일캐시는 9월 30일에 일괄 지급될 예정이다.김지현 이베이코리아 스마일페이 제휴사업팀 팀장은 “다양한 사용처에서 재미있게 스마일페이를 사용하 수 있도록 매월 게릴라 이벤트를 진행할 예정”이라며 “스마일페이는 식품과 외식, 문화, 패션, 레저 등에 걸쳐 외부 제휴처를 확대하고 소비자들에게 확장된 편의를 제공할 수 있도록 할 것”이라고 말했다.한편 스마일페이는 매월 첫 결제자에게 할인 및 적립 혜택을 제공하고 있다. 오는 8월에는 패션과 식품, 커머스 등 총 11개 가맹점에서 결제하면 스마일캐시 최대 10만 원을 적립해주는 프로모션을 진행한다. 가맹점에 따라 3만~30만 원 이상 첫 결제 시 2000원부터 최대 3만 원의 스마일캐시가 캐시백 형태로 제공된다. 이밖에 스마일페이 결제 시마다 최대 0.5%가 자동 적립되고 스마일페이와 연계된 스마일카드로 결제 시 전월 실적이나 한도 제한 없이 추가로 2%가 적립된다. 최대 2.5%의 스마일캐시 혜택을 받을 수 있다.동아닷컴 김민범 기자 mbkim@donga.com▶ 동아일보 단독 뉴스 / 트렌드 뉴스▶ 네이버 홈에서 [동아일보] 채널 구독하기ⓒ 동아일보 &amp; donga.com, 무단 전재 및 재배포 금지   ]",[],http://www.newsis.com/view/?id=NISX20190730_0000726223&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/020/0003232449?sid=103
2019.07.30.,이뉴스투데이,,"이베이, 7월 해외여행 싱가포르·대만 ‘각광’ 받아",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1325907,http://www.newsis.com
2019.07.31.,전자신문언론사 선정,경제,"G9, 인기 뷰티 브랜드 특가 판매","[ 부산 가까운  日중소도시들 타격 커항공사도 관련 노선 줄이거나 중단대신 싱가폴·타이완 등 근거리 동남아    【인천공항=뉴시스】김진아 기자 = 일본 정부의 경제보복 조치로 인해 일본 여행 불매 운동이 계속되고 있는 24일 인천국제공항에서 일본행 비행기 탑승수속 시간에 열린 체크인 카운터가 썰렁한 모습을 보이고 있다. 2019.07.24. bluesoda@newsis.com【서울=뉴시스】이예슬 기자 = 일본의 경제보복으로 인한 일제 불매운동이 시작된 지 약 한 달. 일본 여행 자제 움직임이 고스란히 수치로 나타나고 있다.30일 이베이코리아에 따르면 G마켓과 옥션에서 지난 1~28일 4주간 일본 노선 항공권 매출이 전년 동기 대비 38%나 급락했다.불매운동 중에서도 특히 여행을 가지 않는 것이 일본의 지역 경제에 직접적인 타격을 준다는 주장이 나오면서 관련 노선을 이용하는 여행객들이 크게 줄어든 것이다.도쿄, 오사카, 후쿠오카 등 일본여행 톱3에 이름을 올린 지역으로의 항공권이 전반적으로 판매가 주춤했다. 이 중에서도 한국인 관광객이 많은 규슈지역(후쿠오카, 벳푸 등)이 직격탄을 맞았다.이베이 관계자는 ""후쿠오카는 지리적으로 부산과 가까워 저가항공사(LCC)의 부산 출발 노선이 인기가 많았는데 이 역시 판매가 크게 줄었다""고 말했다.일본 지방 소도시까지 촘촘히 노선을 운영했던 LCC들은 수익성 낮은 노선에 대한 구조조정에 돌입해 이 같은 추세는 장기화될 전망이다. 티웨이항공은 무안~오이타 노선과 부산~오이타 노선을, 대구~구마모토와 부산~사가 노선의 운항을 중단한다. LCC 뿐 아니라 대한항공도 부산~삿포로 노선을 없애기로 했다. 진에어가 인천~후쿠오카 노선을 매일 4회에서 3회로 줄이는 등 노선을 없애지는 않더라도 운항편이 줄어드는 지역도 여러 곳이다.일본행 발길이 뜸한 대신 싱가폴과 타이완 같은 동남아, 근거리 해외여행지가 주목을 받았다. 이베이에서 같은 기간 싱가폴과 타이완 항공권 매출은 전년 동기 대비 각각 52%, 38% 증가하며 국제선 항공권 평균 매출 성장률(23%)을 크게 웃돌았다. 이외에도 마카오(33%), 홍콩(22%), 블라디보스톡(129%) 등 근거리 해외 노선이 높은 성장률을 기록했다.이 같은 추세에 항공업계도 줄어든 일본 노선 대신 중국이나 동남아 등 대체 노선 증편을 검토중인 것으로 알려졌다.아예 제주도로 눈을 돌린 여행객도 많아졌다. 7월 한 달 간 옥션에서 제주도 호텔 카테고리 매출 성장률은 전년 동기 대비 131%나 뛰었다. 국내 호텔 전체 매출 성장률인 87%보다 40%포인트 이상 높은 수치다.ashley85@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 &lt;저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.&gt;   ]","['38%밖에 하락하지 않았다는게 놀라울 따름이다. ㅋㅋㅋㅋㅋ', '혐한의 나라 . 세계에서 한국을 가장 싫어하는 나라 . 가봐야 방사능 농수산물 먹고와야 나라를 뭐가 좋다고 빨아주고 기를 쓰고 여행가는지 참ㅂ. ㅅ들 많음..그저 아리가토~오네가이시마스 하며 음흉한 미소뒤에 감춰진 한국을 개무시 하는 마인드를 가진 나라에 가고 싶냐?ㅋㅋ', '참.. 억울하고 잔혹한 역사 뒤로 100년이 흘렸습니다. 누군가를 비방하는 것이 아니라 우리 자신을 돌아보고 반성하는 마음으로 이번 불매운동을 통해 다시 한번 성숙하는 대한민국 국민이 되어지길 바랍니다 ~', '', '', '그나마 미리 예약했던거 어쩔수 없이 가는 사람도 많아서 저정도지 가을, 특히 내년 봄은 작살날듯', '나도 이번 후쿠오카 티켓 취소하긴 했는데 취소 수수료 보전해줄것도 아니면서 예약해논 여행 취소안한다고 하는 사람들은 사회주의자냐? 본인이 믿고 원하는대로 하면되지 그걸 왜 강요하면서 취소 안하면 매국노 취급하는지 노이해네', '일본놈들이 나쁜거 하루이틀도아니고 ....정말 이게 잘하는짓인가...싶네요 저희 회사입장에서 보면 정말 안좋아서 이런 댓글을 쓰게되네요 일본철판 수입해서 제작하고하는데...문닫으라는 애기네요..;;', '90이상은  되야시원할듯  업무출장외 특별한일없으면 앞으로 갈일없는걸로', '', '일본관광하기 딱좋네.. 야 관광안가고 일본거 안산다고 재네가 눈하나 끔뻑하것냐? 안사기전에 앞서 왜 우리가 정부싸질러놓은 똥에 선동당하고 어떤게 국익인지 생각해보고 반일을하던 불매를 하는게 맞지 않더냐? 그저 선동에 놀아나는 개돼지가 되지말자.. 친일? 일본하고 친하면 죄가되고 친중? 중국하고 친하면 용서되냐? 침공은 중국과 러시아와 짱깨가 어제까지 60년전에 이나라에 했다', '저도 휴가 취소했어요~이번에 진짜 제대로 보여줍시다~~', '', '국민이 할수있는거 여행안가는거  쉬운건데 이것도 잘안되나봐요 아직도 간다니', '일본무역적자 1년30조 적자.  결국 아베입에 1년30조 받침.  특히 관광 1년750만명 왜구지역 관광. 심하죠?  이거이거', '최소 90프로 매출 감소는 나와야지. 38은 너무 약하다. 더 쎄게 더 강하게 더 오래 가야된다.', '', '아주 망하라고 언론들이 부채질 하고 있고만 그러면 일본 여행객들은 한국에 많이 오야 정권 나팔수 언론들아  반일 감정 부추겨 무슨 이익이 있다고 이러야  정치 모리배들이야  뭔가 있어 그런 다지만 왜 언론들이 지랄이야 언론 니들도 경제가 추락하면 광고가 끊겨  폐간으로 간다는걸 알았야지', '', '선동언론 물러가라 ~~~~~~ 미사일 도발하는 북한 규탄해야지..이넘들아', '나머지 60 프로는 뭐하는 사람들인지.. 가족이 일본에있거나 , 업무상의 문제가 아니라면 이판국에 일본여행은 좀자제합시다. 일본사람들도 한국인들 오는거 싫다잖아요.\n왜 돈주고 푸대접받으면서 여행하나요', '', '10%대로 떨어지기 전까지 일본의 콧대는 꺽이지 않고 계속 우리를 무시할 것임!', '걱정마라.한국의 토착왜구들이 일본 지역경제를 살리고 아베에게 힘을 실어주기 위해 단체관광 가줄꺼다.', '반일본에 대해 거의다 좌좀들이 주동으로 선두 ㅇ질하지 ㆍㆍ 좌좀들이 좋아하는 북한퍼주기에 가장큰 걸림돌이  일본이니깐', '나는 원래 안사고 안가지만. 본인 가치관대로 소신대로 하면 된다. 욕할필요는 없다.', '훌륭한 지도자는 꼬인 실도 재치껏 풀고 꼬일려고 한 실도 슬기로 안꼬이게 만들어 국민들을 편안하게 해야한다고 생각한다.', '이웃나라와 관계 개선하고 서로 잘먹고 잘사는게 이리도 어렵다니... 정치인들 인기몰이에 나라의 장래가 어두워지는것 같습니다. 일본 관광수입은 전체 GDP에 5%미만이고 한국비중도 중국보다 낮죠. 일본은 관광으로 먹고사는 나라가 아니예요. 서로 소재와 기술을 공유하고 자본을 투자해서 한나라가 잘못되면 상호 피해가 생기게 마련이죠. 문제는 우리나라가 훨씬 타격이 크다는 겁니다. 우리나라 여행사도 어려워지구요. 이런 글로벌경제에 구한말 쇄국정책적 발상을 하는 것 자체가 국익에 도움이 안되고 국가를 나락으로 떠미는 첫걸음인거예요.', '', '한국내 관광지 는  바가지가 너무 심해서 동남아 동북아 갑니다\n제발 이때만이라도 좀 바가지 씌우지말고 자중들 하죠', '요즘은 옛날같이 안 해 안 써 이런다고 해결 될 문제가 아님..일본과 연결되어 먹고 사는 사람도 많고 심지어 일때문에 일본에 거주하거나 일본인이 한국에 살기도 하는데 일본정부나 한국정부나 요즘은 머리위로 핵이 오가는 세상인데 보따리싸서 피난 간다는 소리하는 꼴로 보임.', '100%가 정상이다', '아직도 니뽄을 가는 기레기들이 있어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '그 시절로 돌아가지 않기위해 우리는 반일을\n해야하며, 역사의 전철을 밟지 않기 위해 반일 하는것이며, 아베같은 일본인들이 많기 때문에 반일 하는것이다\n\n잘못을 사과할 용기조차 없는 그들 진실을 인정하지 않으려는 그들\n문명인을 가장한 칼의 역사 사무라이들 진정한\n야만인들이다\n\n고 박경리선생님의 책\n일본산고 중에서 -펌-\n\n우리는 현시점에 \n불매는 필연적이다고\n생각합니다\n예전 역사의 전철을 밟지않고 미래의 후손들에게 힘 있는\n나라로 물려줍시다\n\n우리의 하나된 힘으로\n지금에 이 어려움을 이겨냅시다.', '62프로는 전부 토착왜구냐?  ㅋㅋ 이중에 절반은 좌빨이겠지 ㅋㅋㅋ', '난 친일이니까 일본갈끄야~~ 유럽도~~\n강대국과 친하는게 어때서? 저 찌지리 북괴보다~공산당 쭝꿔~ 는 싫타!', '불매운동에 참여 하시는 분들 정말 감사합니다...', '한가로이 좋겠네 올여름 휴가는 일본이다 ^_^', '저 38%가 문재앙 지지율이라 보면 정확하다', '문재인 대통령이 일 저질러놓고  국민들 반일 부추키는게 이해가 안된다 근데 일본 여행 취소된거 있냐고  물어봤는데 취소된 패키지 여행권 여행사에는 없던뎅.이기회에 일본 놀러가고   값싸고 질좋은 유니클로 많이 사입자~~', '', '', '대한민국은 할수있습니다 어제모기20방 맞아도 \n참았습니다', '근데 일본 여름에 나가면 상상초월 개더움 ㅋㅋ', '한국으로 오는일본인도있겟고 일때문에 출장가는사람도있겟고 일본현지에서 사는 분들도 올수도있겠고 그렇지않겠나요?? 100퍼센트가 놀러가는거라 생각하는건 아니지싶네요 그전부터 일본과 교류해서 사업하시는분들은 얼마나 타격이 크겠습니까  일본을 간다고해서 무조건 친일친일 그러는건 아니지싶네요', '', '본인이나라사랑하는마음에 불매하는건자유고 가는사람들더러 개돼지 매국노거리지나마라 모든사람들이애국심이넘치는것도아니고 불매하는사람뭐라하지말고 일본제품사고 가는사람 욕하지도말고 각자자기 가치관대로살면되지 왠참견', '제발 가지마 제발 니들이 그러고도 ""민족""독립운동의 후예냐 지금 놀러가서 추억싸지르고 오겠다는 니들 조상님들중에 우리 지금 경제보복하고 과거에 살인강1간한 일본놈들에게 고통받은 분도 계시는데 가서 일본의 서비스수지에 기여하는게 말이되냐 이 마인드가 좃보세새끼들아', '', '아직도 일본 가는 몰상식한 사람이 있는가?\n가서 후쿠시마산 농작물과 해산물 실컷 먹고 와라', '와..효과 너무 좋네..우리는 증시에서 16조 증발 했는데.. 데미지 1주고 200 받네..', '사살 이런 저급하고 유치한 불매운동 실제적 아무 소용도 없을 것이다', '그렇지 우리나라 개돼지들이 단합이 되나. 이렇게 한달만지나면 다잊고 다시 시작할텐데', '', '이 시점에 일본여행 가는 인간들은 사살해도 좋은가', '일본은  지들  제품 불매운동  아무리  벌려도  눈도 깜짝안한다', '취소율 100% 여야합니다', '', '', '', '일본여행 가시는분들 얼른가셔서 원숭이들한테 돌맞고 뒤지시면 될듯합니다 ^^', '', '', '', '', '아마..관광객들..쌀밥은..방사능쌀일게다\n한국식당서..제일싼 정부미 쓰듯이..\n안그렇겠냐?? 그걸 ..뱅기타고 가서  돈내고 사먹냐??  모지리들!!!', '이런와중에..가는놈들이 더많다는게..\n더놀랍고..개탄스럽다!! 저거 전부 개한당..당원 친인척들..아닐까??', '좌좀들은 여행간다고하면 협박을 한다고 하더만', '국내 저가여행사 망하는 소리다', '아직 62프로가 남아있소...ㅋㅋ  점점더 줄겠지ㅋ', '이대로 쭉 불매하자', '100% 하락을 위해\n끝까지 간다~~', '이 참에 내수 경기 살리는 기회로 삼아야지..그동안 내수가 침체되었는데...국산품 쓰고 국내여행 가고...뭐 옛날 몇십년전에 외국 물건, 해왜 여행 가면서 살았나? 해외여행 안가도 국내만 가도 좋았다. 국내도 못가서 문제였지..', '아직 졍신몬차리는애들 많네', '🔴BOYCOTT JAPAN 🔴', '조국아....좌빨러들아...나지 62%는 친일파네?', '', '아직 부족하다. 결집력을 보여라.대한민국', '70%  아니야?  ㅉ', '아직도 일본여행가는 매국노가  많네  역시 조센징이다', '', '100프로 하락해야지ㅋㅋ', '제주도 관광이 더 비싸네요. 이번 기회에 좀 내리고 관광객 끌어모으세요.', '아직도 가는 친일파가 이렇게나 많다니~ㅉㅉ', '아직 정신못차렸구만 그렇게 원숭이들한테 무시당하고도... 겨우 38프로?', '38밖에?', '일본소도시들이나 관광으로먹고살지 도쿄오사카 큰도시는 관광객 유입안되도 크게상관없을걸 우리나라도 서울이 관광으로먹고사냐?제주도도아니고 근데소도시가는사람들이얼마나있겟나싶다', '', '', '지인의 사장이 얼마 전에 몰래 도쿄로 여행 다녀옴. 쉬쉬하며. 예나 지금이나 나라 지키는 건 민초들이. ....', '외국 문물을 받아들이지않고 공자왈 맹자왈하던 조상 고종을 욕을해라 힘 없어서 지배 당하는건 옛날이나 지금이나 마찬가지다.', '쪽발왜국에 이제것 잘 몰라서 방사능 오염 된 곳 간것도 억울한데.. \n이제는 알면서 돈 쓰며 \n방사능 지역에서 방사능 음식대접 받어면서 한국인 비하소리 쳐들어 가며 가는것들은?  \n토착왜구 인증각 이겠지~\n꼭! 소원대로 방사능 암발생 마루타로 생을 마감 하길~ㅋㅋ...', '한국국적가진 왜노자들 왤케많어 지네나라 위긴데 가서좀 봉사좀해라 아.. 자비들여 봉사할 머니가 없으려나? 신등들 ㅋㅋㅋ', '', '', '', '', '', '', '', '근데 원래 이게 정상 아니냐?; 그동안 너무 포화 상태 였던거 같은데요', '아직도 쳐가는 개돼지가 있네~~', '오래 못간다. 쿠팡 대박난다.', '관광지 초밥,소고기 채소 후쿠시마 산을 많이 사용 한다는데 \n방사능을 좋아 하나바...', '', '가는사람도 있어? 대단하다 진짜ㅡㅡ', '', '', '', '', '', '친일청산을 못하겠거든 독립유공자 후손들이라도 잘 챙겨라.   예산때문에 다는 못챙기겠으면 시범케이스로 공이 높은 10명의 후손들은 상위1%의 부와 명예를 보장해줘야 나라위해 죽을 맘이라도 먹지.  지금같아선 애국심 많은 사람들이 나라위해 죽으려다가도 후손들 거지되서 친일파 잘나가는 거 보면서 부모 원망할까봐 못하겠네', '★★조센진들아 일본가지 마라,,니혼진들은 조센진들 오는거 하나도 안반가워한다,,아무데나 침밷고 오줌누고 똥싸고,,우리가 방글라데시 애들 보는 수준으로 밖에 안봐,,글고 지금가면 일본 우익들 한테 마자 죽을수도있다,,,ㅋㅋㅋ', '', '', '', '아직도 가는인간들 거기서살아라 퉤퉤퉤', '', '그항공사는 국내항공사 아닌가요? 문빠시키들아', '히틀러가 한짓이 먼줄아냐? 유대인 가게앞에다가 여기는 유대인가게 푯말 세우고 여기 이용하는놈들은 비국민 이라고 했다. 많은 유대인에게 열등감 있었던 독일인들 신나게 호응했었고 그렇게 대량 학살이 발생하게 되었지. 21세기에 참 잘하는 짓꺼리다. 싸드사태때 태극기 불태우는 미개한 중국놈들보고 비웃었는데 남말할 처지는 아니네?', '38%도 의미있는 수치지만 나머지 62%는 뭐지? 죽기아니면 까무러치기인 현실인데... 다같이 전파하고 행동하여 우리대한민국의 미래에 희망을 줍시다!', '', '항공사들도 강압적으로 노선을 바꾸거나 없애버리구나! 그럼에도 겨우 40% 줄어들었나? 이게 한국 20-30대의 정신 상태다.', '', '문재인 아베 아웃!! 문재인은 이미 대한민국 이끌 사람이 되지 못함이 증명되었음! 국민들은 문재인 자진사퇴와 새로운 대선실시 요구 운동에 나서야 할 때!!', '전쟁개헌해서 지진식민지되서 고통받을 자기자식 없는 일베충들이 62퍼나 되나..', '나머지 62%는 뭐냐? 그래도 방사능 먹으러 간다는 것인가?', '그러게요. 100프로 하락하는그날까지  아자아자!!!!~~~~~', '일본여행이 아닌\n업무적으로 어쩔 수 없는 \n항공권 이겠죠.!!.\n.\n.\n대한민국 국민에 단결된 힘이\n위대하고 아름답지요~♡♡♡', '', '가지마라 부끄럽다. 조센징의 뻔뻔함이', '일본가는눔. . .못오게 하자 영원히~~~~~', '왜 100프로가 아니냐 겨우 38%? 하긴 어제 다이소에 사람 바글바글하더라.', '역시나 국내 항공사들 매출 줄어드는구만', '여행은금강산으로향하자.평양구경 평양냉면.', '여행간것들 진짜 매국노들 암덩어리들', '도쿄 한복판 땅 모래 흙에서도 세슘 검출 이미 됬고 \n방사능 오염으로 일본은 실상 전국구 오염지역이라고 해도 과언아님. 자국 수산물 자기네 안먹습니다. 농산물 수산물 러시아 한국산 수입해먹어요. \n중국 한국인들에게 오염수산물 퍼먹이는거 모르셨다면 제발~~~ 음식이라도 수산물 먹지마시고 로컬음식점 가세요, 세계 최고 은폐국가가 바로 일본입니다.', '', '', '여론몰이에 휩쓸리지마라, 잘못은 정부가 하고 손해는 기업들이 보고 불매운동은 국민들이 하냐?', '내생각\n1.일본여행은잊고살자\n2일본제퓸은사지도보지도말자\n3차동차 전기가전  식재로 낚시용품 기타\n4 정보교류 철폐하고  핵무장 들어가자\n5지금 밀리면 또다시 일어날 방법이없다\n나라는 이제  왜세에 의지하면 않된다\n보라 누가 우리의 우방인가 자주국방  민족끼리 뭉치는게\n더 나을수 있다\n통일하면  자동 핵보유국  개성공단 개방하고 국토개발하면 실업난 해소 경제발전  국방비절약  왜놈들 간섭방지\n딱 하나면 다해결 되네', '우리나라는 자유민주주의 국가입니다. 나찌 히틀러때처럼 자신의 생각을 강요하면 안되는 나라라구요. 항공권 알아보니깐 8월중에도 최저가 골라보면 후쿠오카는 8만원, 오사카는 14만원이면 구할수 있더군요. 반일선동하는 좌파들도 없어서 복잡하지도 않고 즐거운 일본여행을 할 수 있을거 같네요. 다시 오기 힘든 기회를 놓치지 맙시다.']",http://www.etnews.com/20190731000025,https://n.news.naver.com/mnews/article/003/0009374620?sid=101
2019.07.30.,한국경제언론사 선정,,7월 일본 항공권 매출 38% 감소…싱가포르·대만 등 근거리 인기,,,https://www.hankyung.com/life/article/201907300798g,http://www.enewstoday.co.kr/
2019.07.26.,미주한국일보,,이베이 “아마존 게 섰거라” 도전장,,,http://www.koreatimes.com/article/1259924,http://www.etnews.com
2019.07.30.,한국정경신문,IT/과학,"일본 대신에..이베이 코리아, ""러 블라디보스토크 여행 129% 급증""","[    이베이코리아가 운영하는 G9는 다음달 2일까지 뷰티 상품을 저렴하게 판매하는 '오! 지구데이'를 실시한다고 31일 밝혔다.해당 기간 모든 고객에게 뷰티 7% 할인쿠폰을, 스마일클럽 회원에게는 12% 할인쿠폰을 제공한다. 아모레퍼시픽, 싸이닉, 제이준, 메디힐 등 11개 브랜드 제품에 적용 가능한 20% 할인쿠폰도 만날 수 있다.총 9개 상품을 특가로 제공한다. 대표 상품은 '아모레퍼시픽 바이탈뷰티 큐브미 커트·블록 4일분'(2000원), '메이크프렘 약산성 클렌징폼 150㎖ 1+1'(1만4640원), 'BRTC 비타민 필링패드 80매'(7920원) 등이다. 자세한 상품 정보는 G9 홈페이지에서 '오! 지구데이'를 검색하면 확인할 수 있다.    윤희석 유통 전문기자 pioneer@etnews.com▶ 네이버 모바일에서 [전자신문] 채널 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지] ]",[],http://kpenews.com/View.aspx?No=83574,https://n.news.naver.com/mnews/article/030/0002833271?sid=105
2019.07.31.,경상매일신문,,‘보이콧 재팬’ 효과,,,http://www.ksmnews.co.kr/default/index_view_page.php?idx=256998&part_idx=170,http://www.hankyung.com/
11면 1단,아시아경제,생활/문화,정용진의 '상시적 초저가' 베일 벗었다…젊은 '스마트 컨슈머' 발길 돌릴까(종...,"[     싱가포르 야경 [사진=이베이코리아 제공]일본 불매운동의 영향으로 일본을 찾는 여행객은 줄어든 반면 제주도, 싱가포르, 대만 등 근거리 여행지의 인기가 늘어난 것으로 나타났다. 30일 이베이코리아가 운영하는 G마켓과 옥션에 따르면 이달 1일부터 28일까지 4주간 일본 항공권 매출은 지난해 같은 기간보다 38% 감소했다.반면 싱가포르와 대만 항공권은 작년 대비 매출이 각각 52%와 38% 증가하며 국제선 항공권 평균 매출 증가율(23%)을 웃돌았다.또한 마카오(33%)와 홍콩(22%), 러시아 블라디보스토크(129%) 등 근거리 해외노선도 높은 매출 증가률을 보였고 제주도 여행 역시 늘어난 것으로 조사됐다.이달 한 달간 옥션의 제주도 호텔 매출은 지난해보다 131% 성장했다. 이런 추세를 반영해 G마켓은 31일까지 중화항공 전 노선 할인 혜택 등을 제공하고 있다.이베이코리아 관계자는 ""일본 관광객이 전에 비해 확실히 줄어든 것으로 나타났다""며 ""저가 항공사들의 신규 취항이 늘며 싱가포르, 대만 등 근거리 여행지 선호도가 높아지고 있다""고 말했다.강경주 한경닷컴 기자 qurasoha@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지   ]","['""일본과 맞서야 총선 유리"" 여당 싱크탱크 민주연 보고서 파문 -&gt;더불어 공산당이 총선에도 유리하겠다..듣보잡 어용단체 지시해서 반일운동 심지 당기고 언제나 그랬듯 깨시민 코스프레 하는 저능아들이 달라붙어 현 상황이 된 것이다. 알겠냐, 개돼지 조센인들아? ㅋㅋㅋㅋ']",https://view.asiae.co.kr/article/2019073109413387684,https://n.news.naver.com/mnews/article/015/0004184058?sid=103
2019.07.23.,디지털타임스언론사 선정,,상반기 이커머스 결제금액…이베이 8.8조·쿠팡 7.8조 ‘양강 체제’,,,http://www.dt.co.kr/contents.html?article_no=2019072302109932060005&ref=naver,http://www.koreatimes.com
