Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2019.05.30.,내일신문,,지마켓·옥션 '할인공식' 통했다,,,http://www.naeil.com/news_view/?id_art=314718,http://www.naeil.com
2019.05.29.,업다운뉴스,,"지마켓-옥션, '9일간 할인축제'로 최대실적 기록...1초에 37개 판매",,,http://www.updownnews.co.kr/news/articleView.html?idxno=204140,http://www.updownnews.co.kr
2019.05.28.,지디넷코리아,,지마켓·옥션 ‘빅스마일데이’ 마지막날…생활가전 특가 판매,,,http://www.zdnet.co.kr/ArticleView.asp?artice_id=20190528093816,https://zdnet.co.kr/
2019.05.27.,뉴스웨이,IT/과학,"지마켓·옥션, 20만원 할인쿠폰 마지막 지급","[    (지디넷코리아=안희정 기자)지마켓과 옥션이 함께 진행하는 5월 ‘빅스마일데이’가 28일 행사 마지막 날을 맞아 여름맞이 계절가전을 비롯해 브랜드 가구, 식품, 생필품 등 최대 20만원 할인을 받을 수 있는 상품을 준비했다고 이날 밝혔다. 지마켓에서는 인기 계절가전인 ▲삼성 스마트 멀티에어컨 16평형을 비롯해 ▲발뮤다 에어엔진 공기청정기 ▲위닉스 공기청정기 제로 2.0 ▲레브 초미풍 스탠드 저소음 선풍기 등을 마지막 특가 상품으로 내놓는다.선호도가 높은 인기 브랜드 책상인 ▲일룸 링키 퍼펙트 책상세트+시디즈 링고 의자 ▲한샘 샘스틸 책상 DIY ▲리바트 프렌즈아이 마카롱 1800 슬라이딩 책장 전면형 등도 할인가에 만나볼 수 있다. 멤버십서비스 ‘스마일클럽’ 회원 전용 상품으로는 ▲LG 휘센 듀얼에어컨 ▲레이디가구 스칸딕 투웨이 양면침대 ▲잘 풀리는집 순수 PURE 천연펄프 30롤*3팩 등도 파격가에 선보인다.    옥션에서는 다양한 스포츠 브랜드 제품 ▲해지스 남녀골프의류 BEST 모음과 ▲노스페이스 래시가드/워터레깅스 ▲다양한 스타일의 몽클레어 PK 티셔츠 등을 선보인다. 이 밖에도 ▲SK매직 레트로 식기세척기 DWA-2000D ▲벌집삼겹살 500g ▲락앤락 하드앤라이트 2개세트(16cm+18웍) 등과 같은 인기 상품도 스마일클럽을 위한 전용 상품으로 만나볼 수 있다.아직 빅스마일데이 3차 할인쿠폰을 다운로드 못한 고객은 최대 20만원 전용 쿠폰을 활용할 수 있다. 28일 23시59분까지 전 고객에게 최대 10만원까지 할인되는 ‘15% 할인쿠폰’과 최대 5천원 할인의 ‘20% 할인쿠폰’을 각각 지급한다. 스마일클럽은 최대 20만원 할인되는 ‘20% 할인쿠폰’과 5천원까지 할인되는 ‘25% 할인쿠폰’을 제공한다.이베이코리아 영업본부 김태수 실장은 “이번 상반기 빅스마일데이는 퀄리티 높은 특가상품 라인업을 비롯해 엄청난 혜택의 할인쿠폰을 3차례에 걸쳐 제공함으로써 다양한 상품군에서 기록적인 판매실적을 올렸다” 며 “상반기를 통틀어 최대 규모로 진행되는 빅스마일데이를 끝까지 잘 활용하여 득템의 기회를 놓치지 말길 바란다”고 말했다.안희정 기자(hjan@zdnet.co.kr) ▶ 지디넷코리아 '홈페이지' / ▶ 지디넷코리아 ‘이슈진단+’  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요  ]",[''],http://www.newsway.co.kr/news/view?tp=1&ud=2019052713424045294,https://n.news.naver.com/mnews/article/092/0002162887?sid=105
2019.05.24.,지디넷코리아,,"지마켓·옥션 빅스마일데이, 할인쿠폰 한 번 더",,,http://www.zdnet.co.kr/ArticleView.asp?artice_id=20190524082214,http://www.newsway.kr
2019.05.23.,부산일보,,"프로듀스 x101 투표 방법 지마켓앱서도 가능, 3주차 연습생 순위는?",,,http://www.busan.com/view/busan/view.php?code=2019052316061189472,https://zdnet.co.kr/
2019.05.21.,이뉴스투데이,IT/과학,"호두잉글리시, 지마켓 빅스마일데이 평생이용권 한정 판매","[    25일까지 최대 20만원 할인쿠폰 제공(지디넷코리아=백봉삼 기자)지마켓, 옥션이 최대 20만원 할인쿠폰을 또 한 번 제공하고 ‘빅스마일데이’ 흥행 열기를 이어간다.이베이코리아(대표 변광윤)의 지마켓과 옥션이 28일까지 함께 진행되는 쇼핑축제 5월 '빅스마일데이'에 최대 20만원 혜택이 담긴 할인쿠폰을 추가 제공한다. 할인쿠폰은 9일 동안 진행되는 행사기간 중 3일마다 한 번씩 총 3회에 걸쳐 지급된다.지마켓과 옥션은 빅스마일데이 'BIG2' 기간인 오는 25일까지 모든 고객에게 최대 10만원까지 할인되는 '15% 할인쿠폰'과 최대 5천원 할인되는 '20% 할인쿠폰'을 각각 한 번 더 증정한다. 여기에 멤버십 회원인 스마일클럽에게는 최대 20만원까지 할인되는 '20% 할인쿠폰'도 한 번 더 주어진다. 현대, 신한 등 5대 카드사와 연계해 신용카드 별로 최대 1만원 할인쿠폰도 발급된다.    'BIG3' 첫 날인 26일에도 동일 혜택의 할인 쿠폰이 마지막으로 한 번 더 제공될 예정이다. 양일간 제공받는 할인쿠폰을 모두 활용하면, 사이트 별로 최대 80만원 상당의 할인 혜택을 더 받을 수 있다. 매일 쏟아지는 특가 상품의 득템 기회를 놓쳤더라도, 역대급 할인 혜택을 받을 수 있는 기회가 아직 두 번 더 남아있는 셈이다.남은 기간 특가 상품에도 관심이 쏠리고 있다. 먼저 24일 지마켓에서는 기본 설치비가 포함된 ▲LG에어컨을 비롯해 독일의 ▲밀레 진공 청소기 ▲발뮤다 그린팬S ▲필립스 에스프레소 커피머신 등의 상품을 특별한 가격에 만나 볼 수 있다. 스마일클럽 전용 상품으로 ▲배스킨라빈스 바람과함께 사라지다 블라스트 ▲삼익가구 4인용 전동 리클라이너 가죽소파 등도 주목할 만 하다. 옥션에서는 ▲K2 키즈 롱구스다운과 같은 역시즌 상품부터 여름 맞이 ▲푸마 플랫폼 샌들 ▲CK 남성 모던코튼 투팩 드로즈 등 인기 브랜드 제품을 내놓는다.이어 25일 지마켓에서는 ▲파세코 스탠드형 에어써큘레이터를 비롯해 ▲베베숲 아기물티슈를, 옥션에서는 ▲LG노트북 그램 ▲조성아 스틱파운데이션을 주력 상품으로 내놓는다. 일요일인 26일 지마켓에서는 ▲닌텐도 스위치 ▲영실업 장난감 럭키박스를, 옥션에서는 ▲LG 75형 4K UHDTV ▲ 한정판 라이관린x자일리스 치약 등을 만나 볼 수 있다.이베이코리아 영업본부 김태수 실장은 ""빅스마일데이의 역대급 할인쿠폰을 효율적으로 사용하기 위해 고민하는 고객이 많다고 들었다""며 ""이번 행사는 3일 간격으로 총 3번 쿠폰을 제공하며 넉넉하게 혜택을 마련한 만큼 주말 동안 쏟아지는 특가 상품과 할인쿠폰을 적절히 활용해 풍성한 혜택과 합리적인 쇼핑을 즐기길 바란다""고 말했다.백봉삼 기자(paikshow@zdnet.co.kr) ▶ 지디넷코리아 '홈페이지' / ▶ 지디넷코리아 ‘이슈진단+’  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요  ]",['20% 쿠폰주면 뭐하냐? ㅋ 30% 비싸게 올려놓고 쿠폰써도 더비싼데... 사기 세일 ㅎㅎㅎ'],http://www.enewstoday.co.kr/news/articleView.html?idxno=1303531,https://n.news.naver.com/mnews/article/092/0002162689?sid=105
2019.05.21.,지디넷코리아,,"지마켓-옥션, 빅스마일데이 대박에 ‘큰 웃음’",,,http://www.zdnet.co.kr/ArticleView.asp?artice_id=20190521093007,http://www.busan.com/
2019.05.23.,뉴스웨이,,"지마켓-옥션, ‘빅스마일데이’ 판매량 1천만개 돌파","[   Mnet '프로듀스 X 101'Mnet '프로듀스 X 101'에 대한 열기가 고조되면서 온라인 투표방법에 관심이 쏠리고 있다.먼저 1차 투표는 오는 25일까지 엠넷과 지마켓 모바일 앱에서 하루에 각각 1회씩 총2회가 가능하다. 엠넷과 지마켓 공통적으로 투표를 하기 위해서는 휴대폰 본인인증 과정을 거쳐야 하며 11명을 모두 선택해야 투표가 가능하다. 이미 인증한 휴대폰으로는 다른 계정을 사용하더라도 중복 투표가 불가능하다.올해부터는 11인 중 10명은 최종 순위발표식에서 1등부터 10등을 차지한 연습생들이고 마지막 1명은 총 4번의 투표를 합산한 누적 투표수가 가장 높은 연습생이 선택된다.지난 17일 발표한 3주차 연습생 순위(온라인 투표 및 녹화현장 점수 합산)는 1위에 김요한, 2위에 김민규, 3위에 이은상, 4위에 송형준, 5위에 남도현, 6위에 김우석, 7위에 손동표, 8위에 송유빈, 9위에 구정모, 10위에 박선호가 이름을 올렸다. 이제 첫 순위 발표식까지 단 2주만을 남기고 있는 상황에서 101명 중 누가 60위 안에 이름을 올려 데뷔에 한 걸음 더 가까이 갈지 귀추가 주목된다.디지털편성부 multi@busan.com ]",[],http://www.newsway.co.kr/news/view?tp=1&ud=2019052315052589725,https://n.news.naver.com/mnews/article/082/0000907451?sid=106
2019.05.20.,경기일보,,지마켓·옥션 연중 최대 할인 '빅스마일데이'…쇼핑캘린더 살펴보니,,,http://www.kyeonggi.com/news/articleView.html?idxno=2102977,http://www.enewstoday.co.kr/
