Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A20면 1단,한국경제,,"쿠팡 100위→64위, 삼성 갤럭시 1위",,,https://www.hankyung.com/article/2019033150241,http://www.hankyung.com/
2019.03.29.,IT조선,경제,[3. 29 오늘의 온라인 쇼핑] G마켓 스포츠 20% 하루 할인·쿠팡 원예 부서 개...,"[ 브랜드스탁 '대한민국 100대 브랜드'[ 김보라 기자  ] 쿠팡이 국내 100대 브랜드 순위에서 1년 만에 100위에서 64위로 상승했다. 지난해까지 8년 연속 브랜드가치 1위를 이어간 삼성전자 스마트폰 브랜드 ‘삼성 갤럭시’가 올 1분기에도 선두 자리를 지켰다. 이마트와 카카오톡은 각각 2, 3위에 올랐다.브랜드가치 평가회사인 브랜드스탁이 31일 발표한 ‘2019년 1분기 대한민국 100대 브랜드’에 따르면 자동차 브랜드가 순위에서 대거 밀려났다. 현대자동차의 그랜저와 쏘나타는 100대 브랜드에서 동반 탈락했다. 제네시스도 지난해 종합 순위 26위에서 올 1분기 28위로 떨어졌다. 브랜드스탁은 “2017년부터 사드(고고도 미사일방어체계) 여파로 중국에서 매출 감소가 계속된 영향”이라고 설명했다. 한국GM의 대표 브랜드인 쉐보레 스파크도 3계단 하락한 83위였고, 쌍용차 티볼리도 88위에서 94위로 내려앉았다.쿠팡·자이·귀뚜라미보일러는 순위 상승이 돋보였다. 지난해 손정의 일본 소프트뱅크 회장이 이끄는 비전펀드로부터 20억달러를 추가 지원받은 쿠팡은 신선식품 새벽배송 등 새로운 서비스를 선보이며 순위가 36계단 상승했다. 주 52시간 근로제에 따른 주류 소비 감소 영향으로 하이트진로의 참이슬은 36계단 하락한 58위에 그쳤다.100대 브랜드는 230여 개 부문의 대표 브랜드 1000여 개를 대상으로 브랜드스탁 증권거래소의 모의주식 거래를 통해 형성된 브랜드주가지수(70%)와 정기 소비자조사지수(30%)를 결합해 평가한다.    김보라 기자 destinybr@hankyung.com[한경닷컴 바로가기] [모바일한경 구독신청] 네이버에서 한국경제 채널 구독하기 &lt;자세히 보기&gt; ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지   ]",['대한민국 100대 브랜드에 구글이 왜?..'],http://it.chosun.com/site/data/html_dir/2019/03/29/2019032901142.html,https://n.news.naver.com/mnews/article/015/0004116961?sid=101
2019.03.29.,쿠키뉴스,,[유통 단신] 쿠팡·티몬,,,http://www.kukinews.com/news/article.html?no=646754,http://it.chosun.com/
2019.03.31.,아시아경제,,"""韓이커머스, 이베이코리아·쿠팡·네이버·신세계·롯데 5파전""",,,http://view.asiae.co.kr/news/view.htm?idxno=2019033107113125485,http://www.kukinews.com
2019.03.31.,한국금융신문,,"쿠팡, '플랜테리어' 인기에 원예·가드닝 카테고리 개편",,,http://www.fntimes.com/html/view.php?ud=201903311857375894902857eb1a_18,https://www.asiae.co.kr/
2019.03.28.,조선비즈,경제,"쿠팡, 골프 프로샵 테마관 개편","[     사진제공=롯데쇼핑[아시아경제 문채석 기자]한국 이커머스 시장에서 오프라인 침체 및 온라인 고성장세는 피할 수 없으며 단기적으로 자금력이 뒷받침되는 이베이코리아, 쿠팡, 네이버(NAVER), 신세계, 롯데(롯데쇼핑)의 5파전이 될 것이란 분석이 나왔다.박종렬 현대차증권 연구원은 31일 이커머스 기업들이 최저가 할인, 배송 전쟁 등 경쟁 심화에 따른 수익성 악화 불가피해졌다며 이같이 말했다.그에 따르면 플랫폼 커머스, 콘텐츠 커머스가 가세하면서 이커머스 시장은 춘추전국 시대로 진입한 상황이다.성장성이 우수한 기업들조차 수익성 측면에서는 대부분 적자 상태라 경쟁이 본격화되고 있는 흐름을 고려하면 적자 규모가 커질 수밖에 없어 난감해졌다.박 연구원은 ""대부분 기업이 최근 5년간 적자인데 온라인 전용 물류센터 투자비용과 감가상각비, 배송 차별화에 따른 물류비 증대, 최저가 할인 정책에 따른 마케팅비용(적립금, 프로모션 비용) 등 비용 증가요인을 외형 성장만으모 상쇄하기 쉽지 않을 것""이라고 진단했다.그는 이베이코리아, 쿠팡, 네이버, 신세계, 롯데 등 자금력이 그나마 탄탄하다고 했다. 이들 기업 중에서도 ▲소비자의 다양한 쇼핑 행태와 수요를 만족시킬 다각화된 서비스 ▲가격 경쟁력 확보 ▲상품기획(MD) 능력 ▲플랫폼 구축력 등에서 두루 우위를 점한 기업이 살아남을 것으로 봤다.문채석 기자 chaeso@asiae.co.kr▶ 네이버 메인에 '아시아경제' 채널 추가하기▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'&lt;ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지&gt;   ]",['5파전.. 이게 분석이야.. 야.. 엄청난 분석결과다 ㅋㅋ'],http://biz.chosun.com/site/data/html_dir/2019/03/28/2019032802670.html,https://n.news.naver.com/mnews/article/277/0004440207?sid=101
2019.03.28.,뉴시스,,"쿠팡, '계획된 적자' 8000억 예상....'언제까지 유지될까?'",,,http://www.newsis.com/view/?id=NISX20190327_0000601099&cID=13001&pID=13000,http://www.fntimes.com
2019.03.31.,브릿지경제,,"‘골프용품도 쿠팡에서’…쿠팡, ‘골프 프로샵’ 리뉴얼",,,http://www.viva100.com/main/view.php?key=20190331010010677,http://biz.chosun.com/
2019.03.29.,아주경제,경제,[오늘 할인] 쿠팡·위메프·티몬 29일 파격 특가 상품은?,"[    쿠팡은 봄철 골프 시즌에 맞춰 ‘골프 프로샵’ 테마관을 전격 개편했다고 28일 밝혔다.    ‘골프 프로샵’은 실전같은 연습을 위해 필요한 골프 연습용품부터 성공적인 라운딩을 위한 필수 용품까지 다양한 골프용품을 한번에 만나볼 수 있는 쿠팡의 테마관이다. 약 48만개 상품을 저렴한 가격에 판매한다. 이번 개편에서 쿠팡은 신규 상품 코너를 추가해 고객 맞춤형 상품들을 쉽게 찾을 수 있도록 했다. 대표상품으로 ‘테일러메이드 남성용 골프 드라이버(M4 GD TOUR AD IZ)’를 68만4000원에 구매할 수 있다.윤혜영 쿠팡 시니어 디렉터는 ""봄을 맞아 본격적인 골프 시즌에 맞춰 ‘골프 프로샵’을 대폭 리뉴얼했다""고 했다. [유윤정 기자 you@chosunbiz.com]chosunbiz.com   ]",[],http://www.ajunews.com/view/20190329112036102,https://n.news.naver.com/mnews/article/366/0000430368?sid=101
2019.03.29.,글로벌이코노믹,,[유통 현장!] 롯데百 쿠팡,,,http://www.g-enews.com/ko-kr/news/article/news_all/201903291002142186c176748603_1/article.html,http://www.newsis.com
