Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.02.28.,치과신문,,‘고령사회’ 치과의료서비스 정책 방향은?,,,http://www.dentalnews.or.kr/news/article.html?no=32831,http://dentalnews.or.kr/
2022.02.28.,제주의소리,,제주 초고령사회 코앞…노후소득보장 대안은 '공적연금',,,http://www.jejusori.net/news/articleView.html?idxno=338798,http://www.jejusori.net
2022.02.25.,매일안전신문,,국가치매관리위원회 활동 시작... '초고령사회 진입 앞서 대응방향 제시',,,https://idsn.co.kr/news/view/1065575439221737,http://peoplesafe.kr
2022.02.25.,청년일보,,초고령 사회...100세 이상 국민연금 수급자 122명,,,https://www.youthdaily.co.kr/news/article.html?no=93838,http://www.youthdaily.co.kr/
2022.02.23.,뉴스핌,,"광명시 ""고령화 사회 맞춰 다양한 노인 복지 정책 펼친다""",,,http://www.newspim.com/news/view/20220223001050,http://www.newspim.com
2022.02.23.,노컷뉴스,,"고령화 사회 대비…이마트, 매월 마지막 주 '시니어 위크' 운영",,,https://www.nocutnews.co.kr/news/5712196,http://www.nocutnews.co.kr
2022-02-23 06:22:01,천지일보,경제,"이마트, 고령화 사회 맞춰 '시니어 위크' 행사 진행","[ 핵심요약이마트, 시니어 위생용품 등 최대 50% 할인하는 '시니어 위크' 정기 운영25년 초고령화사회 진입 전망, 지난해 기저귀 매출 줄고 시니어 위생용품 22% 늘어올해 1월부터 시니어 케어 전문 매장 시범 운영, 시니어 케어 용품 확대    이마트 가든파이브점 시니어 케어 전문 매장. 이마트 제공 고령화 사회 트렌드에 따라 이마트가 시니어들을 대상으로 한 정기 할인 행사를 선보인다.이마트는 오는 24일부터 다음 달 2일까지 일주일간 성인용 패드/기저귀류/언더웨어 등의 시니어 위생용품부터 물티슈, 염모제, 마시는 프로틴 음료 등의 시니어 용품을 최대 50% 할인 판매하는 '시니어 위크' 행사를 진행한다고 23일 밝혔다.이마트는 이번 행사를 기점으로 '시니어 위크'를 단순 1회성 행사가 아닌, 매월 마지막 주 일주일간 정기적으로 운영하며 시니어들을 위한 혜택을 확대하겠다는 목표다.대표 상품으로는 유한킴벌리의 시니어 위생용품 브랜드 '디펜드'를 중심으로, 성인용(요실금) 패드/기저귀류/언더웨어 전품목을 2개 이상 구매 시 50% 할인된 가격에 판매하며, 간병 및 요양인들을 위한 물없이 쓰는 샴푸/바디워시, 구강용 물티슈와 '깨끗한 나라'의 물티슈 전품목 역시 2개 이상 구매 시 50% 할인된 가격에 기획했다.이처럼 이마트가 시니어 케어 제품 판매 확대에 나서는 이유는 고령화 사회로 인해 시니어 용품 시장이 빠르게 성장하고 있기 때문이다.통계청 고령자 통계 발표에 따르면 지난 2021년 국내 65세 이상 인구 비중은 853만 7천명으로 전체 인구의 16.5%를 차지했으며, 오는 2025년에는 65세 이상 인구 비중이 20%를 넘는 초고령화 사회에 진입할 것으로 전망된다.이에 따른 요실금 전용 시니어 위생용품 시장도 가파른 성장세를 보이고 있다.유한킴벌리와 시장조사기관 유로모니터에 따르면 지난 2018년 약 651억원 수준이었던 국내 시니어 위생용품 시장은 지난 2021년 약 836억원 수준까지 증가한 것으로 추정된다.또한 이미 초고령화 사회에 진입한 일본의 경우 성인용 위생용품(기저귀) 판매량이 아동 기저귀 판매량을 넘어설 정도로 일상화된 만큼, 업계에서는 국내 시니어 위생용품 시장 규모 역시 추후 6천억원 이상까지 늘어나며 아동 기저귀 시장을 추월할 것으로 전망하고 있다.실제, 지난 2021년 이마트 아동 기저귀 매출은 20년 대비 약 10%가량 감소한 반면, 시니어 위생용품 매출은 20년 대비 22.4% 증가했다.이마트는 시니어 위생용품에 대한 사회적 인식 개선과 접근성 향상을 통해 과거 세대와 달리 사회적 활동이 활발한 5060 '영 시니어' 세대부터 40대 초기 질환자까지 부담 없이 사용할 수 있도록 저변 확대에 기여한다는 방침이다.이 밖에도 이마트는 시니어 케어 용품 확대를 위해 지난 1월 3일부터 이마트 가든파이브점에 시니어 케어 전문 매장을 시범 운영 중이며, 오는 2월 24일부터는 이마트 죽전점으로 확대 운영할 계획이다.이마트 이석규 일상용품 팀장은 ""시니어 위생용품에 대한 사회적 인식 개선과 대중화에 앞장서기 위해 시니어들을 위한 정기 행사인 시니어 위크를 기획했다""며, ""장기적으로 시니어 위생용품 뿐 아니라 워시, 샴푸 등 기타 간병용품 등 상품 보강을 통해 이마트가 '시니어 토탈 솔루션 매장'으로 발돋움할 수 있도록 노력하겠다""고 밝혔다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : nocutnews@cbs.co.kr카카오톡 : @노컷뉴스 ]",[],http://www.newscj.com/news/articleView.html?idxno=953010,https://n.news.naver.com/mnews/article/079/0003612767?sid=101
2022.02.23.,아시아경제,,고령화 사회 직면한 中…정년연장 추진,,,https://view.asiae.co.kr/article/2022022314085498544,http://www.newscj.com
A24면 TOP,경향신문언론사 선정,,“이동권 확대는 장애인뿐 아니라 고령화 사회 위한 미래 투자”[논설위원의 ...,,,https://www.khan.co.kr/national/national-general/article/202202222231005,https://www.asiae.co.kr/
2022-02-23 14:08:54,국제신문언론사 선정,세계,초고령화사회…기저귀 매출 줄고 실버 위생용품 늘었다,"[ 저출산으로 생산인구 급감현재 男 60세·女 55세 정년, 2025년까지 점진적 연장    저출산·고령화 문제에 직면한 중국이 70년여 만에 정년 연장을 추진한다. 아직 선진국 궤도에 오르기 전인 상황에서 경제 성장세도 둔화하고 있어 해법 마련에 나서는 것으로 풀이된다.23일 홍콩 사우스차이나모닝포스트(SCMP)는 오는 2025년까지 현행 남성 60세, 여성은 화이트칼라와 블루칼라 직종 기준 각각 55세와 50세인 정년을 2025년까지 점진적으로 연장하겠다는 중국 국무원의 최근 발표내용을 인용, 보도했다. 이와 관련해 중국 국무원은 ""인민의 사회보장제도를 더욱 강화하고, 기초연금과 기본의료보험제도도 개선해 보장 범위를 확대할 것""이라고 설명했다.중국의 현행 정년체계는 1950년대에 만들어진 것으로 지난 70년간 연장에 대한 적극적인 논의가 이뤄지지 않았다. 그러나 중국도 저출산 고령화 사회에 직면하면서 사회 문제로 급부상하고 있다. 이는 최근 둔화하고 있는 중국의 경제 성장세를 더욱 끌어내릴 수 있기 때문이다.중국의 생산가능인구(16~59세)는 2010년 이후 지난해까지 10년여만에 4000만명 감소했으며, 올해부터 2025년까지 매년 700만명씩 줄어들 것으로 전망된다. 지난해 중국의 인구 1000명당 출생인구는 7.52명으로 1949년 중화인민공화국 수립 후 가장 적었다. 같은 기간 출생자는 1062만 명, 사망자는 1014만 명으로 한 해 전보다 인구가 48만명 증가하는 데 그쳤다.반면 노인인구는 매년 급증해 중국은 고령사회에 이미 진입했다. 지난해 기준 중국의 60세 이상 인구는 2억6736만명으로 전체의 18.9%를, 65세 이상 노인은 2억560만명으로 14.2%를 차지했다. 통상 전체 인구의 65세 이상 인구비중이 14% 이상이며 고령사회, 20% 이상이면 초고령사회로 분류한다. 국가 통계국에 따르면 중국의 기대수명은 1949년 35세에서 2019년 기준 77.3세로 70년여만에 2배 이상 늘었다.중국은 지난해부터 지방정부를 중심으로 정년 문제를 논의해오고 있으며, 이미 다양한 형태의 정년퇴직제가 시행중이다. 장쑤성은 다음달 1일부터 근로자라면 누구나 자발적으로 최소 1년 유예 퇴직을 신청할 수 있도록 했다. 산둥성은 2020년부터 고위직 기술 전문가가 최종 퇴직연령이 65세를 넘지 않는 선에서 1~3년의 지연 퇴직을 신청할 수 있도록 했다. ]",[''],http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20220224.22010005840,https://n.news.naver.com/mnews/article/277/0005048949?sid=104
2022.02.19.,시사저널언론사 선정,,"李·尹, 초고령사회 진입에 답하라 [쓴소리 곧은 소리]",,,http://www.sisajournal.com/news/articleView.html?idxno=233430,http://www.sisajournal.com
