Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.06.30.,단비뉴스,,고령화사회,,,http://www.danbinews.com/news/articleView.html?idxno=14626,http://www.danbinews.com
2021.06.30.,천지일보,,"[대선 주자 인터뷰] 양승조 ""양극화·저출산·고령화 문제, 국가·정치 의제로...",,,http://www.newscj.com/news/articleView.html?idxno=874893,http://www.newscj.com
2021.06.26.,뉴제주일보,,초저출산·고령화·양극화 해결 민간단체 제주서 출범,,,http://www.jejuilbo.net/news/articleView.html?idxno=165787,http://www.jejuilbo.net
A1면 3단,이데일리,,"[사설]인구지진 경고 나온 저출산ㆍ고령화, 모두 새겨들어야",,,http://www.edaily.co.kr/news/newspath.asp?newsid=01213606629085328,http://www.edaily.co.kr/
2021-06-25 06:02:03,아주경제,오피니언,"[2021 부동산 정책포럼] 신동우 교수 ""주택 노후화는 인구 고령화만큼 심각한...","[    이르면 10년 후 한국에 인구지진이 발생할 것이라는 경고가 나왔다. 홍남기 부총리 겸 기획재정부 장관은 그제 트위터를 통해 “특단의 대응이 없을 경우 우리나라는 2030~2040년부터 인구지진이 발생할 것으로 예상된다”고 말했다. 인구지진(Age-quake)이란 영국의 인구학자 폴 월리스가 인구감소와 고령화의 충격을 지진에 비유해 만든 말이다. 지진이 나면 땅이 흔들리고 갈라지는 것처럼 저출산과 고령화가 진행되면 경제와 사회가 뿌리째 흔들리는 상황을 피하기 어렵다는 지적이다. 홍 부총리는 “인구지진을 피할 수 없다면 강도를 줄여 대비해야 한다”며 생산인구 감소, 노인인구 부양, 지역소멸을 3대 해결 과제로 꼽았다. 홍 부총리가 인구지진이라는 과격한 용어를 구사한 것은 한국이 직면한 저출산·고령화 문제의 심각성을 전달하기 위한 것으로 보인다. 출산율 높이기 차원을 넘어 경제·사회의 지속가능성 문제로 접근해야 한다는 인식을 담고 있다. 그제 발표된 통계청의 ‘4월 인구동향’은 홍 부총리의 경고가 과장이 아님을 보여준다. 4월 한달 동안 인구가 2267명 자연감소했다. 출생아가 사망자보다 적어지는 자연감소는 이미 18개월째 지속 중이다. 한국이 직면한 인구문제의 심각성은 합계출산율(여성 한 명이 평생 낳을 것으로 기대되는 평균 자녀수)을 보면 분명하게 드러난다. 합계출산율이 2.1명이 돼야 인구 현상유지가 가능하며 1명이면 한 세대가 지날 때마다 인구가 절반으로 줄어든다. 한국은 올해 0.7명대로 낮아질 것이라는 예상도 나오고 있다. 앞으로 2~3세대가 더 지나가면 지역소멸이 아니라 국가소멸을 걱정해야 할 정도다. 정부는 향후 5년간 저출산·고령화 극복에 196조원을 투입할 계획이다. 그러나 지난 십수년 동안 200조원에 가까운 예산을 쏟아부었지만 출산율은 계속 떨어지고 있다. 저출산과 인구감소 문제는 추세를 바꾸기 어려우므로 어떻게 적응할 것이냐에 초점을 맞출 필요가 있다. 한 해 80만 명이 태어나던 시대에 맞춰진 현재의 사회경제시스템을 인구감소 시대에 맞게 바꿔야 한다. 정부가 오는 7~9월 사이에 단계적으로 내놓을 대책에 획기적이고도 근본적인 변화가 담기기를 기대한다.▶ #24시간 빠른 #미리보는 뉴스 #eNews+▶ 네이버에서 '이데일리 뉴스'를 만나보세요▶ 빡침해소, 청춘뉘우스 '스냅타임' ]","['그냥 받아들여라 해결책은 적극적 안락사 허용해서 노인인구 줄이는게 최선임', '저출산외 무출산이나 비혼자들에게 세금을 왕창 물려서\n교육비 지원해줘라', '국민숫자에는 계산이 안되는 50만명이상의 외국인이 그나마 인구수를 지켜줄 수도 있다.', '뭘새겨들어 웃기고 자빠졌넹 인구드럽게 넘쳐나는데 이번 신종 코로나와 함께 불필요한 고령인구 최대치로 멸종 없애버리고 영광과 세종을 제외한 모든도시들 불필요한 고령인구 최대치 폭발치로 없애고 멸종시켜 세종시 인구수 30만명으로 맞춰야지!!! 코로나 종식전에 최대한 빠르게 초고속으로 대한민국 인구 5,000만명 깨버려야지!!!', '중국계한국인을 적극적으로 이민을 장려해야한다.\n아니면 북한의 노동자를 한국에 와서 살도록해 출산율을 높이고\n국제결혼을 하는경우 무료 임대주택을 지급하도록 하면 좀 나아질것.']",http://www.ajunews.com/view/20210624115759717,https://n.news.naver.com/mnews/article/018/0004967290?sid=110
2021.06.24.,AI타임스,,초고령화 시대 AI 기반 치매의료산업 허브 꿈꾸는 광주,,,http://www.aitimes.com/news/articleView.html?idxno=139183,http://www.ajunews.com
2021.06.23.,매일경제,,"‘프리한 닥터’ 김프로 “고령화 관련주, 반려 주식 삼아야""",,,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=606497,http://aitimes.co.kr
2021.06.22.,KOTRA해외시장뉴스,,"중국의 인구고령화 현상 심화, 커져가는 보청기 시장",,,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=188923,http://www.mk.co.kr/
2021-06-23 13:37:00,전북일보,,전북 농업 인구 고령화 심화… 소멸 위기감 팽배,[],[],http://www.jjan.kr/news/articleView.html?idxno=2110954,https://n.news.naver.com/mnews/article/009/0004813273?sid=106
13면 1단,한국일보언론사 선정,,"수박밭에 양파, 당근이 심어진 이유는....이상기후 탓? 고령화 탓!",,,https://hankookilbo.com/News/Read/A2021061614590003285?did=NA,https://dream.kotra.or.kr/kotranews/index.do
26면 1단,매일신문,,"[기고]고령화사회의 진짜 백신, ‘주택연금’",,,https://news.imaeil.com/Satirical/2021061414261478459,http://www.imaeil.com/
