Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.30.,헬스조선언론사 선정,,"코로나 때문에 못 나간 노인, ‘이 질환’ 위험 2배",,,https://health.chosun.com/site/data/html_dir/2022/03/29/2022032901419.html,http://health.chosun.com/
2022-03-30 07:31:01,연합뉴스,생활/문화,"100세 인생 시대, '대리효도자'는 가족을 대신할 수 있을까","[     코로나19 이후 국내 노인들의 우울증 발병 위험이 높아졌다는 연구결과가 나왔다./사진=클립아트코리아코로나19로 외부활동이 줄어든 국내 노인의 우울증 발병이 증가했다는 연구결과가 발표됐다.보라매병원 정신건강의학과 오대종 교수와 분당서울대학교병원 정신건강의학과 김기웅 교수 연구팀은 전국에서 무작위로 선정된 60세 이상 노인 2308명을 대상으로 우울장애 여부를 진단했다. 조사에 참가한 노인들은 2016년 11월부터 2020년 11월까지 2년 간격으로 수행된 기저·추적 평가에 응했으며, 연구팀은 구조화된 임상면담과 자가 설문을 통해 우울장애를 진단하고 증상 중증도를 평가했다. 또한 ▲연령 ▲성별 ▲거주형태 ▲경제적 수준 ▲생활습관 ▲사회활동 빈도 ▲만성질환 등 위험인자가 코로나19 팬데믹 전후 노년기 우울증 발병 위험에 미친 영향을 비교·분석했다.연구 결과, 전체 노년기 우울증 발병 위험은 코로나19 팬데믹 이후 2배가량 증가한 것으로 나타났다. 우울증 병력이 전혀 없던 노인 역시 이전과 비교해 우울증 발병 위험이 2.4배 높아졌다. 특히 가족모임 빈도가 주 1시간 미만으로 줄어든 노인의 경우, 주 1시간 이상 가족모임을 유지하는 노인에 비해 팬데믹 이후 우울증 발병 위험이 2.2배 상승한 것으로 나타났다. 반면 코로나19 이후 줄어든 지역사회 노인들의 사교·종교활동은 우울증 발병 위험에 유의한 영향을 주지 않았다. 오대종 교수는 “장기화되고 있는 코로나19 사태가 노인 우울증 발병 위험을 크게 높인 것으로 밝혀졌다”며 “특히 가족 간 교류가 감소한 것이 팬데믹 시대 노년기 우울증 위험을 높이는 주요 요인인 것으로 판단된다”고 설명했다. 이어 “팬데믹이 길어질수록 지역사회 노인들의 사회적 고립이 가속화되면서 정신건강이 더욱 취약해질 수 있으므로, 이들을 위한 사회적 지지체계 강화와 함께 심리지원을 확대할 필요가 있다”고 강조했다.    보라매병원 정신건강의학과 오대종 교수/보라매병원 제공한편, 이번 연구는 보건산업진흥원과 질병관리청 국립보건연구원 지원을 통해 2009년부터 진행 중인 ‘한국인의 인지 노화와 치매에 관한 전향적 연구(KLOSCAD)’의 일환으로 실시됐다. 연구결과는 정신의학 분야 국제학술지 ‘Psychological Medicine’에 게재됐다. ]","['노인 아닌 나도 우울증 올거같음 ㅠ ㅠ', '나이들면외롭고 살아온인생돌아보며 행복한순간도있지만 허무함도같이옵니다ᆢ 인생사그런것같아요  인간은 누구나외롭고 결국 부모도 자식도 친구도 대신해줄수있는게없어요 스스로 극복하고 간단한취미활동해야할것같습니다ᆢ', '""이질환"" 이라 하지말고 그냥 제목에서부터 ""우울증""이라고 좀 쓰면 안되냐?', '저희 할머니 기저질환때문에 쓰레기버릴때나 병원 방문하실때 말고는 정말 단 한발짝도 안나가셨어요 2년동안... 저희도 혹시나 걸렸을까 오지말라하시고 식재료는 저희가 전화드려 필요하신것들 로켓프레쉬로 배송해드리고 다 해드셨구요... 지금 치매 발병하여 많이 심해지셨어요 아무래도 사람을 너무 안만나셔서 그러신듯.... 속상하네요,,,', '', '노인을 떠나 몇년을 못나가니 남녀노소 그냥 우울하지ㅠㅠ 앞으로 이것도 큰 문제가 될것같다 ㅠㅠ', '우리 집 앞에 노인들 마스크 안쓰고 잘만 돌아댕기더라.', '코로나 때문에 못 나간 노인?? 지하철 타봐!!!!']",http://yna.kr/AKR20220331145200005?did=1195m,https://n.news.naver.com/mnews/article/346/0000049461?sid=103
21면 TOP,국민일보,,"‘맥도날드 할머니’ 이야기, 소설로… 한국에 없던 노인의 초상",,,http://news.kmib.co.kr/article/view.asp?arcid=0924238553&code=13150000&cp=nv,https://www.yna.co.kr/
2022-03-31 16:08:00,뉴스1,,코로나로 가족 간 교류 줄면서 '노인 우울증' 위험 2배 증가,[],[],https://www.news1.kr/articles/?4631353,https://n.news.naver.com/mnews/article/001/0013085525?sid=106
2022.03.30.,뉴스핌,,"유창희 전주시장예비후보 ""노인이 행복한 복지정책 펼치겠다""",,,http://www.newspim.com/news/view/20220330000741,http://www.kmib.co.kr/
2022-03-31 18:50:02,조선일보,생활/문화,"北, ‘탈북자 가족’ 전수 조사... 농촌으로 강제 추방했다","[ [책과 길] 레이디 맥도날드  한은형 지음 문학동네, 328쪽, 1만4500원    추운 겨울날 한 할머니가 버스정류장에 앉아 있다. 한은형 작가는 TV에서 ‘맥도날드 할머니’를 보고 “그녀는 어쩌면 나의 미래였을지도 모른다는 생각이 들었다”며 그녀의 이야기를 소설로 쓰기 시작했다고 밝혔다. 게티이미지뱅크‘맥도날드 할머니’가 있었다. 트렌치코트를 입고 매일 서울 정동 맥도날드에 앉아 밤을 새우던 고령의 여성 홈리스. 2010년대 초 방송에서 그녀의 사연을 보도한 후 꽤 화제가 됐다.작가 한은형이 맥도날드 할머니 이야기를 장편소설로 썼다. 그녀의 이름은 김윤자. 75세의 나이로 세상을 떠났다. 벤치에 앉은 모습으로.“이 추운 겨울에 혼자서… 벤치에서… 그런데 앉아서?… 어떻게 그럴 수가? 세상 사람들에게 영화 속 이야기가 아니고서야 앉아서 맞는 죽음이란, 그것도 겨울의 눈 쌓인 벤치에서 맞는 죽음이란 아주 낯선 것이었다. 그래서 경이로웠다.”김윤자는 작가가 방송을 보고 만들어낸 가공의 인물이다. 소설은 김윤자의 죽음으로 시작해 그의 마지막 1년을 되짚어간다. 김윤자의 행적이나 대화에는 방송에 나온 내용이 섞여 있지만, 대부분은 작가가 상상해낸 것이다.이야기를 끌고 가는 것은 ‘맥도날드 할머니는 도대체 어떤 사람이었을까’라는 궁금증이다. 한국에선 그동안 볼 수 없었던, 아주 새로운 캐릭터의 노인이었기 때문이다.김윤자는 홈리스였고 길 위를 떠돌면서 마지막 5년을 살았지만 노숙을 하진 않았다. 대신 정동 맥도날드에 꼿꼿이 앉아 밤을 보냈다. 그러다 새벽이 되면 다시 거리로 나갔다. 광화문 스타벅스에 가서 버터를 넣은 커피로 아침을 먹었다. 낮에는 일본문화원 영화관이나 새문안교회 같은 곳에서 시간을 보냈다.그녀는 눕지 않았다. 누울 곳이 없어서 눕지 못했다. 대신 교회나 영화관, 카페에서 앉은 채로 종종 졸았다. 그녀는 신문을 읽고 영화를 보고 일기를 썼다. 어느 날 자신을 촬영하고 싶다고 찾아온 방송국 PD가 호칭을 뭐라고 하면 좋겠냐고 묻자 “김윤자씨”로 불러달라고 말한다.    한은형 작가작가는 김윤자에게 ‘맥도날드 할머니’ 대신 ‘레이디 맥도날드’라는 별명을 붙여준다. 그녀에겐 할머니 대신 레이디라고 불러야 될 것 같은 위엄이 있다. “나는 이왕이면 멋있고 아름다운 게 좋아요. 선생도 그렇지 않아요?” 이렇게 말하는 김윤자의 당당함과 높은 자존심은 인상적이다. 하지만 현실의 그녀는 홈리스다.그녀의 말과 행동이 지나치게 철이 없고 무책임하다고 생각하게 될 때쯤 소설은 김윤자의 삶의 방식이 인간의 존엄을 지키기 위한 노력임을 알게 한다. 돈도 없고 가족도 없고 집도 없고 나이까지 많은, 그야말로 아무것도 가진 게 없는 사람이라도 양식을 갖고 사는 것, 긍지를 지키고 사는 것이 중요하지 않은 게 아님을, 집이 없고 일이 없어도 자기의 삶을 살아가야 함을 얘기한다.    ‘레이디 맥도날드’는 가난한 노년에 대한 이야기이기도 하다. 일자리를 잃고 모아놓은 돈도 없고 가족도 없는 노인이 혈혈단신 거리를 떠돌며 외롭게 살아가는 말년을 그린다. 우리의 이야기가 될 수도 있다. 김윤자도 자신이 거리를 떠도는 노인이 될 거라고 생각하지 못했다. 한은형이 만들어낸 김윤자라는 인물은 아주 낯설지만, 어쩌면 앞으로 종종 보게 될 노인의 모습일 수 있다.“레이디의 집은 거리였다. 거리의 카페와 패스트푸드점이 레이디의 응접실이었고, 교회가 레이디의 침실이었다. 패스트푸드점 열 시간, 교회 네 시간, 커피 전문점 네 시간. 매일같이 레이디는 이곳들을 오가며 자신의 삶을 살았다.”   ]",[],https://www.chosun.com/politics/north_korea/2022/03/31/BJJOKEGJNJGVRAFQ3YQBLT6M6U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/005/0001515885?sid=103
A19면 1단,세계일보,,서로에게 짐이 된 母子 가족이라는 이름의 ‘늪’,,,http://www.segye.com/content/html/2022/03/31/20220331515472.html?OutUrl=naver,http://news1.kr/
2022-03-29 18:00:02,경남일보,사회,"함양소방서, 가족 안전확인 서비스 운영","[ 지역사회 노인들 고립 가속화…정신건강 취약 우려사회적 지지체계 강화하고 심리지원 확대해 나가야    © News1 최수아 디자이너(서울=뉴스1) 강승지 기자 = 신종 코로나바이러스 감염증(코로나19) 대유행(팬데믹) 이후 가족 간 교류가 줄면서 노년층의 우울증 발병 위험이 2배 넘게 증가했다는 연구 결과가 나왔다.서울특별시보라매병원 오대종 정신건강의학과 교수와 분당서울대병원 김기웅 정신건강의학과 교수 연구팀은 60세 이상 노인 대상의 코호트(동일집단) 연구를 통해 이를 확인했다고 29일 밝혔다.연구는 전국에서 무작위로 선정된 노인들 중 2016년 11월부터 2020년 11월까지 2년 간격으로 수행된 평가에 모두 응답한 2308명을 추려 진행됐다.연구팀은 이들을 면담해 우울장애 여부를 진단하고 자가설문도구를 통해 우울증상과 중증도를 평가했다.그 결과 코로나19 유행 이후 노년기 우울증의 발병 위험은 유행 전보다 2배가량 증가했고 우울증 병력이 전혀 없던 노인도 우울증 발병 위험이 2.4배 증가했다.연구에 따르면 코로나19 유행 전후 노인들의 지역사회 내 사교 활동과 종교 활동에 눈에 띄게 줄었지만 이는 노년기 우울증 발병에 유의한 영향을 주지는 않았다.하지만 코로나19 유행으로 가족모임 빈도와 시간이 주당 1시간 미만으로 줄어든 노인은 주당 1시간 이상 가족모임을 갖는 노인보다 우울증 발병 위험이 2.2배 높았다.오대종 교수는 ""연구 결과 장기화되고 있는 코로나19 사태가 노인의 우울증 발병 위험을 크게 높인 것으로 밝혀졌다""며 ""특히 가족 간의 교류 감소가 주요 위험요인으로 판단된다""고 말했다.이어 ""지역사회 노인들의 사회적 고립이 가속화되면서 정신건강이 더욱 취약해질 수 있다. 이들을 위한 사회적 지지체계 강화와 함께 심리지원을 보다 확대해나갈 필요가 있다""고 강조했다.    오대종 서울특별시보라매병원 정신건강의학과 교수 © 뉴스1이 연구는 한국보건산업진흥원과 질병관리청 국립보건연구원 지원으로 지난 2009년부터 진행 중인 '한국인의 인지 노화와 치매에 관한 전향적 연구(KLOSCAD)'의 일환으로 진행됐다.연구 결과는 정신의학 분야의 국제학술지인 '심리의학'(Psychological Medicine)에 게재됐다.   ]",[],http://www.gnnews.co.kr/news/articleView.html?idxno=497260,https://n.news.naver.com/mnews/article/421/0005997184?sid=102
2022.03.29.,매일신문언론사 선정,,'1호선 패륜아' 영상 속 욕받이 노인이 우리 아버지였습니다,,,https://news.imaeil.com/page/view/2022032922004990652,http://www.newspim.com
2022.03.31.,제민일보,,"제주 중산간 안심경찰, 실종 치매노인 가족 품으로",,,http://www.jemin.com/news/articleView.html?idxno=734389,http://www.chosun.com/
