Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.10.31.,경북도민일보,,"구미정신건강복지센터, 경상북도서부 노인보호전문기관과 업무협약 체결",,,http://www.hidomin.com/news/articleView.html?idxno=467028,http://www.hidomin.com
2021.10.25.,뉴시스,,"현대제철, 中 톈진에 노인식당 1호점 오픈…맞춤형 식단 제공",,,http://www.newsis.com/view/?id=NISX20211025_0001626390&cID=13001&pID=13000,http://www.newsis.com
2021-10-25 17:57:45,스포츠서울,경제,"광주광역시 남구, 빛고을노인건강타운 ‘녹색 실내정원’ 본격화","[ 기사내용 요약식사, 건강검진 등 원스톱 토탈 헬스케어 서비스 2023년까지총 3개소로 확대 운영 예정    [서울=뉴시스] 지난 10월 22일 '현대제철 노인식당' 오픈식에 참석한 현대제철 및 주요 관계자들이 기념촬영하고 있다. 사진왼쪽부터 천진허퉁노년복리협회 주허이(朱慧) 부비서장, 현대차그룹(중국) 지속가능발전부 신재민 부서장, 현대제철 천진법인 신욱용 부총경리, 현대제철 천진법인 황진수 법인장, 현대제철 중국법인 안종명 법인장, 현대차그룹(중국) 이혁준 전략기획담당, 천진시 민정국 장바오푸(张宝甫) 부국장, 천진시 동리구 완신거리 우수부(吴淑波) 주임, 천진허퉁노년복리협회 팡지아크(方嘉珂) 부이사장. (사진=현대제철 제공) *재판매 및 DB 금지[서울=뉴시스] 옥승욱 기자 = 현대제철이 중국 천진 지역에서 고령 노인들의 건강 개선을 위한 사회공헌 사업을 추진한다.현대제철은 지난 22일 천진시 동리구 완신거리에 ‘현대제철 노인식당’ 1호점을 열었다고 25일 밝혔다. 현대제철 노인식당은 단순히 식사만 제공하는 일반 식당과 달리 노인 건강 상태에 따라 맞춤형 식단을 제공한다. 뿐만 아니라 정기 건강검진, 체육 프로그램, 건강강좌 등 통합 헬스케어 서비스도 제공한다. 또 노인 주요 3대질환인 골다공증, 통풍, 당뇨를 체계적으로 관리하고 그 효과를 지속적으로 측정·공유함으로써 향후 중국 내 노인 통합케어 서비스 모델을 구축한다는 계획이다. 이를 통해 중국 천진 지역 내 80세 이상의 고령노인 혹은 60세 이상 중 생활환경이 어렵거나 장애가 있는 노인들의 건강 개선에 큰 도움을 줄 수 있을 것으로 기대하고 있다. 현대제철은 지난 22일 1호점 오픈을 시작으로 2022년, 2023년에 각 1개씩 추가로 총 3개식당을 운영할 예정이다. 현대제철 본사 및 현지법인 뿐 아니라, 현대차그룹중국, 천진시 동리구 민정국, 중화사회구조기금회, 천진허퉁노년공익그룹 등 중국 정부 산하기관 및 단체들이 함께 한다. 이번 사회공헌 사업은 현대제철 중국 사업장이 소재한 지역 내 이미지 제고의 일환으로 추진됐다. 천진시의 주요 사회문제인 고령화 분야에 대해 같이 고민하고 해결책을 찾아가면서 입지를 강화하겠다는 계획이다. 현대제철 관계자는 ""이번 노인식당은 무엇보다 중국 내 특히 천진시 주요 사회 문제인 고령화 이슈 대응에 실질적으로 기여할 수 있다는 점에서 그 의미가 크다""며 ""앞으로도 현대제철이 속한 국가 및 지역사회의 문제 해결에 실질적으로 기여할 수 있는 방안들을 지속적으로 고민하고 추진해 나가겠다""고 말했다. ]","['우리나라나 챙겨라', '정작 제철소 식당밥은 개밥 수준인데.', '우리나라나 챙기고 협력사나 챙겨라...', '비굴모드 가는거지요..시진핑이 저런거 좋아 하잖아여  이미지메이킹하는겨? ㅎㅎ', '중국에게 비굴한 모드로? 가는겨? 현대 답다', '']",http://www.sportsseoul.com/news/read/1070798?ref=naver,https://n.news.naver.com/mnews/article/003/0010791111?sid=101
A14면 1단,조선일보,,"건강 어떻길래… 노인상 거부한 英여왕, 유엔 기후행사 불참",,,https://www.chosun.com/international/international_general/2021/10/27/EVKY2W234VGVDCRJAFEIQVZXUM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,http://www.sportsseoul.com/
2021-10-27 15:07:01,헬스조선언론사 선정,사회,"폴리페놀 많은 '이것' 섭취, 노인 장 건강에 특효","[     실내 정원 예시안[스포츠서울|남구=조광태 기자] 광주광역시 남구는 27일 “기후변화 대응 및 생활권 주변 미세먼지 차감을 위해 그린뉴딜 분야 사업으로 추진 중인 빛고을노인건강타운 내 실내정원 조성 사업을 본격 진행한다”며 “11월부터 착공에 들어가 올해 연말까지 마무리 할 계획이다”고 밝혔다. 빛고을노인건강타운 실내정원 조성 사업은 지난해 산림청 주관 ‘생활밀착형 숲 조성사업’ 공모 선정에 따른 것으로, 빛고을노인건강타운 지상 1·2층과 지하 1층에는 총 800㎡ 크기의 실내정원이 조성될 예정이다. 사업비는 10억원 가량이 투입된다. 남구는 공기 정화 효과가 입증된 식물을 활용해 수평 정원 및 수직 정원을 조성하고, 광주시민들이 편히 쉴 수 있는 쉼터 및 자동화시스템을 설치할 계획이다. 특히 건물 냉·난방과 외부에서 유입되는 미세먼지 등 유기화합물의 농도 저감을 통해 빛고을노인건강타운을 방문하는 이용객들에게 청정한 실내 공기를 제공해 자연이 가져다주는 혜택을 마음껏 즐기는 공간으로 만들 방침이다. 우선 복지관과 문화관, 체육관이 있는 지하1층에는 로비와 이동로를 중심으로 벽면녹화가 진행된다. 벽면에 구멍이 뚫린 코르크 식생보드를 부착해 각각의 포트홀마다 흙을 단단히 뭉쳐 식물을 식재하고, 벽면 상단에서 하단으로 물이 흘러 내리는 노즐을 설치해 친환경 생태공간으로 만들 예정이다. 또 로비 기둥과 복지관 주변 3개 방향의 이동로 주변에 ‘청춘은 꽃’이라는 디자인 컨셉을 도입해 이동 동선마다 그린 식물과 아트 조형물을 설치할 예정이다. 지상 1층 문화관 주출입구와 별관 식당 주변, 지상 2층 문화관 주변에는 나무 목재를 활용해 산호초와 트라세나 맛상 게아나, 테이블 야자 등 친환경 녹색 식물을 식재한 휴식용 의자가 곳곳에 설치된다. 또 주요 벽면에도 스킨답서스와 스파티필름, 보스턴 고사리 등 그린 식물을 식재하고, 온화함과 포근함을 느낄 수 있도록 핑크색 계통의 조화를 활용해 대자연의 온실과 같은 벽면을 만들 예정이다. 남구 관계자는 “회색빛 벽면으로 적막감이 감도는 빛고을노인건강타운의 내부 공간에 푸르름과 온기, 청정한 공기가 넘실거리는 그린 공간을 조성해 실내정원이 이곳의 랜드마크가 될 수 있도록 사업 추진에 박차를 가하겠다”고 밝혔다. ]",[],https://health.chosun.com/site/data/html_dir/2021/10/27/2021102701831.html,https://n.news.naver.com/mnews/article/468/0000796782?sid=102
2021.10.28.,EBS,,몸도 마음도 건강해지는 프랑스 노인 스포츠클럽,,,http://news.ebs.co.kr/ebsnews/allView/60123623/N,http://www.chosun.com/
2021-10-27 23:16:01,매일신문,세계,경북 구미정신건강복지센터·경상북도 서부노인보호전문기관 업무협약 체결,"[     지난 10월 영국 엘리자베스 2세 여왕./AFP 연합뉴스          영국 엘리자베스 2세 여왕이 다음 달 1일 스코틀랜드 글래스고에서 열리는 제26차 유엔기후변화협약 당사국총회(COP26) 참석을 취소했다고 26일(현지 시각) 영국 BBC가 보도했다. 일주일 전 1박 2일 일정의 북아일랜드 방문을 출발 당일인 지난 20일 전격 취소한 데 이어 최근 들어 두 번째 주요 일정 취소다. 여왕은 당초 이 행사 리셉션에 참석해 환영사를 할 예정이었다.버킹엄궁은 이날 “COP26 개막식 리셉션에는 사전에 녹화된 (여왕의) 메시지가 전달될 것”이라며 “직접 행사장에 가지 못하는 것에 여왕이 크게 실망했다”고 전했다. 그러면서 “여왕은 윈저성에 머물면서 가벼운 업무를 볼 것”이라고 밝혔다.영국 정부는 “여왕의 건강에 큰 이상이 있는 것은 아니다”라고 전했다. 하지만 이런 해명에도 불구하고 여왕의 건강에 대한 걱정은 계속 이어지고 있다. 여왕은 불과 일주일 전인 20일 돌연 런던의 에드워드7세 병원에 하루 입원한 일이 있다. 버킹엄궁은 당시 “(여왕의 건강 유지를 위한) 사전 검사를 받기 위해서”라고 설명했다. 여왕은 이튿날 다시 업무에 복귀했으나 COP26 참석을 제외한 대부분의 일정을 조정하거나 취소하고, 외출을 삼가 왔다. 26일엔 윈저성에서 화상으로 우리나라 김권 대사 등 새로 부임한 외국 대사들의 신임장을 받았다.    갓 쓴 駐英대사, 엘리자베스 여왕에게 신임장 제출 - 지난 6월 말 부임한 김건 주영한국대사 내외가 26일(현지 시각) 오전 한복을 입고 영국 버킹엄궁을 방문, 화상으로 엘리자베스 2세 영국 여왕에게 신임장을 제출했다. 일주일 전 검진을 위해 런던 병원에 하루 입원했다가 퇴원한 엘리자베스 여왕은 이날 공식 활동을 재개했지만 접견 등은 화상으로 대체했다. /AP 연합뉴스          영국 언론에서는 여왕의 최근 건강에 대해 다양한 해석을 내놓고 있다. BBC는 왕실 전문 기자 논평에서 “북아일랜드 일정 취소는 COP26 참석을 위한 휴식의 의미였지만, COP26 일정도 취소됐다”면서 “가볍게 받아들일 일이 아니다”라고 했다. 올해 만 95세인 여왕의 건강이 결코 안심할 만한 상황은 아니란 것이다. BBC는 “여왕은 앞으로 (실물이 아닌) 화상회의와 비디오로 더 많이 사람들 앞에 나타날 것”이라고 예상했다.영국 선데이타임스는 “여왕이 빡빡한 개인 일정과 늦은 TV 시청으로 쇠약해졌다(knackered)”고 주장했다. 여왕은 지난 4월 필립 공과 사별한 이후 혼자 있는 시간을 최소화하려 가족과 친구들을 불러 계속 점심·저녁을 같이했다고 한다. 선데이타임스는 “여왕은 자신의 자녀를 키워준 동갑내기 유모 마벨 엔더슨과 함께 자주, 밤늦게까지 TV를 시청했다”며 “여왕은 경찰 드라마 ‘라인 오브 듀티’를 좋아한다”고도 전했다. 1952년에 즉위한 여왕은 내년에 즉위 70년을 뜻하는 ‘플래티넘 주빌레’를 맞이한다. ]",['부럽다..만95세'],https://news.imaeil.com/page/view/2021102908343054505,https://n.news.naver.com/mnews/article/023/0003649132?sid=104
2021.10.29.,이데일리,,"텐마인즈·열심히커뮤니케이션즈, 송파노인종합복지관에 건강용품 및 필요물품...",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02066406629217840,http://health.chosun.com/
2021-10-28 07:01:01,한경비즈니스,생활/문화,"현대제철, 중국 노인 건강 개선 사회 공헌 사업 추진","[     크랜베리 등 폴리페놀 함량이 높은 음식이 노인 장 건강을 향상시키는 것으로 나타났다./사진=클립아트코리아새는장증후군 완화에 폴리페놀이 효과적이라는 사실이 밝혀졌다. 새는장증후군은 느슨해진 장 내 점막세포 사이로 세균이 침투해 모호한 복통, 가스 과다 등을 유발하는 질환이다.스페인 바르셀로나 대학 연구팀은 요양 시설에 거주하는 60세 이상의 사람 51명에게 8주 동안 건강한 식단을 제공했다. 그 결과, 건강한 식단 중에서도 사과, 코코아, 크랜베리 등 폴리페놀이 풍부한 식단을 하루 3회 섭취한 사람이 그렇지 않은 사람에 비해 장 투과성이 감소한 것으로 나타났다. 장 투과성은 장 내 점막세포 사이의 틈이 벌어질수록 증가하며 대표 원인은 노화다. 장 투과성이 증가하면 새는장증후군 뿐만 아니라 장 내에 있던 부산물, 독소, 항원 등이 혈액으로 침투해 인체의 면역체계를 자극하고 각종 급·만성 감염성 질환 등을 유발 할 수도 있다.연구를 이끈 바르셀로나 대학 크리스티나 안드레아스 라쿠에바 교수는 ""장 투과성과 식품 관계에 관한 우리의 연구 결과는 노인 맞춤형 식단을 수립하기 위한 기반이 돼야 한다""고 말했다.이번 연구 결과는 국제학술지인 임상영양(Clinical Nutrition) 최근호에 게재됐다. ]","['장누수의 원인은 글루텐, 카제인입니다. 밀가루, 유제품 끊으면됨', '크랜베리가 달다는 분은 뭔가 착각한 듯. 쓰고 십니다. 단 크랜베리는 주스 짜고 남은 찌꺼기를 설탕에 절여서 말린 거죠.', '국산제품  좋은거 맞지않나요  애국자 좀 됩시다요', '매일 아침에 일어나서 바나나 반개랑 그린키위\n 한개를 같이 먹으면 아주 효과적입니다', '너무 달다']",https://magazine.hankyung.com/business/article/202110265115b,https://n.news.naver.com/mnews/article/346/0000045427?sid=103
2021.10.28.,브레이크뉴스,,"(주)지디엠 모빌리티, 건강키트 대한노인회·충주시자원봉사센터에 기탁",,,http://www.breaknews.com/843584,http://www.ebs.co.kr
