Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
25면 TOP,파이낸셜뉴스,,‘물고기 잡아주기 보다 잡는 법을 알려준다’ 금융 멘토링 통해 소외계층 경...,,,http://www.fnnews.com/news/201805291709010294,http://www.fnnews.com/
2018-05-29 17:10:09,세계일보,경제,[열린마당] 노인빈곤율 OECD 1위… 더 이상 방관 안돼,"[ 금융소외계층 지원하는 솔루션 가진 개인.기관 발굴‘인클루전 플러스’ 한국 도입.. 사회적 금융 지원활동 진행한국해비타트와 손잡고‘희망의 집짓기’ 봉사 펼쳐.. 독거노인에 지원금 전달                  메트라이프코리아재단 황애경 사무국장(가운데)이 최근 서울 남산 하얏트호텔에서 진행된 '2018 메트라이프 빌드 홈' 협약식에서 국제해비타트 조나단 렉포드총재(왼쪽)와 한국해비타트 윤형주 이사장(오른쪽)에게 지원금을 전달한 뒤 기념촬영을 하고 있다.        데미언 그린 메트라이프생명 사장이 얘기하는 메트라이프생명의 사회공헌활동의 핵심이다.메트라이프생명의 사회공헌활동은 데미언 그린 사장의 말처럼 '금융포용(Financial Inclusion)'의 주제로 미국 메트라이프 본사 뿐 아니라 메트라이프생명 등 전계 메트라이프 그룹 전체에서 시행되고 있다. 특히 메트라이프생명은 메트라이프코리아재단을 통해 한국의 금융소외계층을 위해 사회적금융, 금융교육 및 서비스 제공, 조사연구 및 캠페인 등을 적극 진행하고 있다. 이 활동은 단순한 경제적 지원을 넘어 소외계층의 경제적 자립을 돕고 있다는 평이다.■금융소외계층 경제 자립 지원메트라이프코리아재단은 올해 3월 메트라이프의 글로벌 사회공헌 프로그램인 '인클루전 플러스(Inclusion Plus)'를 한국에 도입했다.'인클루전 플러스'는 금융소외계층의 경제적 자립과 금융포용을 지원하는 비즈니스 솔루션을 가진 사회적 기업, 소셜 벤처, 비영리기관, 협동조합 등의 기관 및 개인을 발굴하고 지원 및 육성하기 위한 활동이다. 재단은 참가팀 중 최종 우수 5개팀을 선정해 총 1억원을 지원한다. 또한 메트라이프생명 임직원들이 금융 전문가로서 멘토링 참여를 통해 사회와 기업이 함께 건강한 금융사회를 만들고 고용창출 및 지역사회의 경제역량을 강화하는데 기여하고 있다.메트라이프코리아재단 관계자는 ""우리는 다문화 사회적 기업의 경제적 성장을 지원하기 위해 지난 2014년부터 사회연대은행과 함께 사회적금융 지원활동을 진행해왔다""면서 ""이를 전문기관들과 함께 더욱 확대할 계획이다""고 말했다.또 최근 보험연구원과 공동으로 한국 가계의 '재무건강' 개념을 새롭게 정의하고 재무건강을 양과 질 측면에서 통합적으로 측정하는 측정지표를 개발했다. 이를 토대로 전국 2000여 개 가구를 대상으로 금융실태 및 인식을 분석한 '한국 가계의 재무건강 연구' 결과를 발표하기도 했다. 한국 가계가 재무건강을 객관적으로 파악하고 가계의 합리적인 금융계획과 실천을 할 수 있도록 지원하기 위해서다.아울러 건강한 금융생활과 경제개념을 습관화 하기 위해 어린이와 사회초년생을 위한 금융교육을 지속적으로 실시하고 있다. 지난 3년간 총 3000명 이상이 이 교육에 참여했다는 것이 재단측의 설명이다. 금융에 대한 실무 경험과 전문성을 갖춘 메트라이프생명 임직원 및 재무설계사들도 재능 기부를 통해 양질의 경제교육을 제공하고 있다.■저소득 가정 주거환경 개선도메트라이프코리아재단은 지난 2014년부터 한국해비타트와 함께 '희망의 집짓기' 프로그램도 진행하고 있다.삶의 기본이 되는 주거를 지원, 무주택 저소득 가정의 주거환경 개선과 경제적 자립을 돕고 있는 것이다. 올해 재단은 희망의 집짓기 규모를 더 늘려 '2018 메트라이프 빌드 홈' 프로그램을 진행한다. 총 여섯 가구가 입주할 수 있는 빌라 건축을 지원하기 위해 미국 메트라이프재단과 함께 총 6억원의 지원금을 후원한다. 메트라이프생명은 올해 임직원, 재무설계사, 고객을 포함한 대중에게 봉사활동 참여기회를 열어 총 1000여명이 '희망의 집짓기' 참여를 목표로 하고 있다.메트라이프생명과 메트라이프코리아재단은 건강, 디지털, 나눔을 컨셉으로 '메트라이프 워크 투 헬프' 라는 사회공헌캠페인도 매년 진행하고 있다. 이 캠페인은 임직원, 설계사, 고객이 함께 모바일 앱을 활용, 걸을 때마다 일정 기금이 적립되며 모금된 전액은 전국에 있는 저소득 독거어르신들의 지원금으로 사용된다. 또 가족 중심의 기업문화를 반영한 가족과 함께 하는 자원봉사인 '메트라이프 팸비(FamV)', 지역 특성 및 자유롭게 맞춤형 자원봉사활동을 실행 할 수 있는 'MetLife DIY 자원봉사' 등 다양한 형태의 자원봉사활동에 메트라이프생명의 임직원 및 재무설계사 그리고 고객이 함께 참여하고 있다.메트라이프생명의 이 같은 사회공헌 활동으로 2017년에는 한국경영인증원이 주최하는 제 16회 '2017 글로벌스탠더드경영대상'에서 사회공헌부문 대상을 수상한 바 있다. 자원봉사부터 재능봉사, 모금캠페인까지 다양한 사회공헌 프로그램을 체계적으로 전개하고 임직원들의 적극적인 참여를 유도한 점을 높게 평가 받았다.ck7024@fnnews.com 홍창기 기자     ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지   ]",[],http://www.segye.com/content/html/2018/05/24/20180524004555.html?OutUrl=naver,https://n.news.naver.com/mnews/article/014/0004030044?sid=101
2018.05.19.,시선뉴스,,독립 능력 부족한 자녀 품고 사는 노인 '늙은 캥거루'...노후준비는 먼 꿈 [지...,,,http://www.sisunnews.co.kr/news/articleView.html?idxno=82551,http://www.segye.com
2018-05-24 21:22:08,전북도민일보,오피니언,"강임준 군산시장 예비후보 ""노인 복지 확대로 예우해야""","[    청년 일자리 못지않게 노인빈곤 문제는 이제 더 이상 방치할 수 없는 사회적 문제가 되었다. 최근 금융감독원의 보고에 따르면 우리나라 노인의 상대적 빈곤율이 45.7%로 경제협력개발기구(OECD) 국가 중 가장 높은 수준이었다. 세계 경제규모 10위권 국가의 모습과는 너무나 거리가 먼 부끄러운 통계치다. 대부분의 노인은 자녀 교육과 결혼 등 가족부양에 모든 힘을 쏟다 보니 자신의 노후 대비는 엄두도 못 내고 살았다. 지난해 이미 노인인구가 전체 인구의 14%를 넘는 ‘고령사회’에 진입했다. 오는 2026년에는 노인인구가 20%를 넘어서는 ‘초고령사회’가 될 것으로 전망하고 있다.더욱이 출산율 저하로 노인을 부양할 생산인구는 계속 줄어들고, 자녀들은 부모부양을 극도로 꺼리고 있다. 노인을 위한 일자리는 점점 줄어들고, 노인복지는 과거와 크게 달라지지 않고 제자리걸음이니 그야말로 사면초가다.이미 고령사회로 진입한 우리의 현실을 생각한다면 정부는 문제의 심각성을 인식하고 노인빈곤율을 낮출 다양한 정책적 대안을 마련해야 한다. 행복한 노후를 맞이하기 위해서 가장 중요한 요소는 경제적인 능력이다. 노동 당국은 부족한 노인일자리 확충과 노인자립형 일자리 창출, 퇴직자 재취업 훈련에 적극적으로 나서야 한다. 곧 있으면 다가올 초고령화 사회를 대비한 사회 및 국가의 근본적인 패러다임의 변화와 정책의 대전환이 반드시 필요하다. 노인빈곤을 단순한 노인문제 차원에서 관리하는 현재의 미온적 대처로는 원천적인 해법을 제시하기 어렵다. 김유현·대구 남구 중앙대로ⓒ 세상을 보는 눈, 글로벌 미디어 세계일보 ]",['곰곰히 생각해봐라 ... 기업들과 서민들에게 세금을 증세하고 있는데 어떻게 일자리 창출이 가능하냐 ?! 임기 1년도 안되서 100조이상 국가부채가 늘었고 oecd 국가들 요즘 경제 호황중인데 한국만 역행해서 불황중이다. 옆나라는 일자리가 남아돌아서 20~30대가 기업들 3~4군데씩 기본적으로 합격하고 정년까지 늦춰서 나이든 장년층에게까지 기회를 준다는데 ? ... 열심히 일한 서민돈 뺏어서 게으른 서민에게 주는정책이 당연히 성공할리가 없지 ... 임기 끝나기 전에 IMF 올거다 .. 그때랑 여파가 달라 빚의 규묘가 역대급이라서 ..'],http://www.domin.co.kr/news/articleView.html?idxno=1195865,https://n.news.naver.com/mnews/article/022/0003276005?sid=110
2018.05.03.,이투데이,,"[5월, 더 외로운 사람들]취약 독거노인 90만명에게 맞춤형 서비스 지원․공공...",,,http://www.etoday.co.kr/news/section/newsview.php?idxno=1619046,http://www.sisunnews.co.kr
2018.05.31.,브라보마이라이프,,몰라서 만나지 못하는 한 줄기 빛,,,http://bravo.etoday.co.kr/view/atc_view.php?varAtcId=8636,http://www.domin.co.kr
2018.05.30.,노컷뉴스,,유방암 예방캠페인 '핑크런 광주대회' 개최…'A More Beautiful World' 모토,,,http://www.nocutnews.co.kr/news/4977228,http://www.etoday.co.kr
2018.05.28.,프레시안언론사 선정,,"독일 통일 새롭게 보기 ""이제 평화능력을 기를 때""",,,http://www.pressian.com/news/article.html?no=197851&utm_source=naver&utm_medium=search,http://bravo.etoday.co.kr
20면 TOP,디지털타임스,,도시재생 참여 기업에 크라우드펀딩 지원,,,http://www.dt.co.kr/contents.html?article_no=2018050102109976036006&ref=naver,http://www.nocutnews.co.kr
2018-05-30 07:52:12,전북일보,경제,[전북일보·전북CBS 공동 주최 6·13 지방선거 전주시장 후보 초청 토론회] 전...,"[ -아모레퍼시픽, 여성의 삶 지원 위한 ‘20 by 20’ 약속-핑크리본, 메이크업 유어 라이프, 희망가게, 메이크업 아티스트가 간다 등 다양한 활동[CBS노컷뉴스 이재웅 기자]    (사진=아모레퍼시픽 제공)한국유방건강재단이 주최하고 아모레퍼시픽이 주관하는 '2018 핑크런' 광주 대회가 지난 27일 광주 상무공원에서 학생과 가족, 일반인 등 3천여명이 참가한 가운데 열렸다. 올해로 18년째를 맞이한 핑크런은 유방암 조기 검진의 중요성을 알리기 위한 취지로 매년 전국 5개 지역에서 개최되는 러닝 축제다. 유방암은 전세계 184개 국가 중 140개 국가에서 가장 흔하게 발생하는 여성암으로, 미국이나 유럽에서는 발병률이 감소 추세인 반면 한국의 발병률은 상승추세를 보이고 있다.2018 핑크런은 부산, 대전, 광주를 거쳐 오는 9월 대구, 10월 서울에서 릴레이로 개최될 예정이다. 참가자들은 출발에 앞서 '아리따운 내 가슴애(愛) 333'을 외치는 세레머니에 동참한다. 매월 생리가 끝난 3일 후 양쪽 가슴에 3개의 손가락을 펴고 3개의 원을 그려 이상 징후를 확인하는 생활 속 유방 자가검진 슬로건이다.한국유방건강재단 노동영 이사장은 ""유방암은 조기에 발견하면 조기 치료를 통해 완치가 가능하므로 유방자가검진법 '아리따운 내 가슴애(愛) 333'을 실천하는 것이 중요하다""고 말했다. 대회 참가비 전액은 한국유방건강재단에 전달돼 유방암 환자의 수술비 지원 및 검진 사업에 사용된다. 여성과 함께 성장해 온 아모레퍼시픽은 여성의 삶을 더 아름답게 한다는 의미의 'A More Beautiful World'라는 비전 아래 여성의 건강과 웰빙, 여성의 경제적 역량 강화를 위한 다양한 사회공헌활동을 전개하고 있다. 특히 2017년부터 2020년까지 20만 명의 여성을 지원하기 위한 '20 by 20'을 약속했다.여성의 건강과 웰빙을 위한 대표적인 활동으로는 여성암의 예방과 사후관리를 위한 다양한 프로그램이 있다. 핑크리본 캠페인과 메이크업 유어 라이프 캠페인이 포함된다. 이번에 광주에서 개최된 핑크런은 핑크리본 캠페인의 대표 프로그램이며, 이밖에 유방건강강좌인 '핑크투어'도 전개되고 있다. 유방자가검진을 필요로 하는 사람이 신청할 경우 유방건강강좌를 수강할 수 있도록 찾아가는 서비스를 제공하고 있다. 2008년부터 시작된 '메이크업 유어 라이프' 캠페인은 암 치료과정에서 피부 변화, 탈모 등 급작스런 외모변화로 심적 고통을 겪는 여성 암 환자들에게 뷰티 노하우를 전수하는 캠페인이다. 삼성서울병원 조주희 교수 연그팀이 발표한 연구 결과에 따르면 여성 암 환자는 일반 여성보다 체형 변화에 대한 스트레스가 2배 이상 높고, 탈모의 경우 3배, 피부변화에 대한 스트레스는 2배 더 높다고 한다.     (사진=아모레퍼시픽 제공)메이크업 유어 라이프 캠페인은 지난해까지 국내에서만 1만2천여명의 여성 암 환자 및 4천 8백여명의 아모레 카운슬러 자원봉사자가 참여했다. 지난해에는 전국 주요 36개 지역 병원에서 769명의 카운슬러가 1천264명의 여성 암 환자를 만나 메이크업 및 피부관리 노하우를 전수했다. 올해 참가를 희망하는 병원은 아모레퍼시픽 공식 사회공헌 포털사이트(http://apgroupcsr.com)이나 아모레퍼시픽 메이크업 유어 라이프 운영국(02-515-6759)으로 문의하면 된다. 여성의 경제적 역량을 강화하기 위한 활동으로는 메이크업 아티스트가 간다, 희망가게, 뷰티풀 라이프가 대표적이다. '메이크업 아티스트가 간다'는 메이크업 아티스트를 꿈꾸는 청소년을 대상으로 메이크업 기술 교육과 멘토링을 제공해 이들이 향후 메이크업 전문가로 성장할 수 있도록 지원하는 프로그램으로, 지난 2013년부터 이어져 오고 있다.아모레퍼시픽이 후원하고 아름다운재단이 운영하는 희망가게는 한부모 여성의 자립을 위한 창업대출을 지원하고, 창업주와 가족들이 자립할 수 있는 발판을 마련해주는 사업이다. 음식점, 미장원, 개인택시, 매점, 세차장, 천연비누 제조 등 다양한 분야의 창업을 지원한다. 희망가게는 2004년 1호점 개점 이후 지난해까지 전국에 총 334개 매장이 개설됐다. 공모를 통해 선발되는 희망가게 창업대상자에게는 최대 4천만원의 창업자금이 상환금리 연 1%로 제공된다.뷰티풀 라이프는 아모레퍼시픽이 사회복지공동모금회에 지정기부한 기금을 바탕으로 2008년부터 운영되고 있는 활동으로, 전국 취약계층 여성(다문화,북한이탈여성,미혼모,노인여성,시설퇴소청소년 등)의 경제적 자립을 위한 기술교육을 지원한다. 지난해부터는 기존의 지정기탁 사업과 함께 수혜대상을 확대하기 위해 공모사업도 함께 진행하고 있다. 뷰티풀 라이프에 대한 자세한 정보는 아모레퍼시픽 사회공헌 포털사이트에서 확인하거나 사회복지공동모금회 배분사업본부(02-6262-3044)로 문의하면 된다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지   ]",[],http://www.jjan.kr/news/articleView.html?idxno=2008472,https://n.news.naver.com/mnews/article/079/0003106646?sid=101
