Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.01.31.,금강일보,,"보령시, 보령노인종합복지관 위·수탁 협약식",,,http://www.ggilbo.com/news/articleView.html?idxno=825288,http://www.ggilbo.com
2021.01.31.,매일신문,,"허계영 하나병원 이사장, 인재육성장학금·노인복지기금 3천만원 기탁",,,https://news.imaeil.com/People/2021013112565122147,http://www.imaeil.com/
2021-01-31 13:41:00,부산일보,,양산 재가 노인복지시설 종사자 1명 코로나에 확진,"[     허계영 하나병원 이사장이 지난 28일 청도군을 방문해 인재육성장학금 2천만원과 노인복지기금 1천만원을 기탁했다. 청도군 제공허계영 하나병원 이사장은 지난달 28일 경북 청도군청을 방문, 지역 인재육성장학금 2천만원과 노인복지기금 1천만원을 청도군에 기탁했다.청도군체육회 부회장인 허 이사장은 자녀 혼사 때 받은 축의금 전액을 인재육성장학금과 노인복지기금으로 쾌척했다.허 이사장은 ""코로나19로 모두가 어려운 가운데 특히 심신으로 어려움을 겪고 있는 노인 복지증진과 미래 인재양성을 위해서 써달라""라고 했다.노진규 기자 jgroh@imaeil.com▶ 네이버에서 매일신문 구독하기▶ 매일신문 네이버TV 바로가기▶ 나눔의 기적, 매일신문 이웃사랑ⓒ매일신문 - www.imaeil.com ]",[],http://www.busan.com/view/busan/view.php?code=2021013115155001780,https://n.news.naver.com/mnews/article/088/0000685737?sid=004
2021.01.31.,경상매일신문,,"군위군, 촘촘한 노인복지로 사각지대 없애기",,,http://www.ksmnews.co.kr/default/index_view_page.php?idx=322587&part_idx=270,http://www.busan.com/
2021-01-31 15:31:13,데일리안,사회,"농협은행, 시립용산노인복지관에 떡국떡 상자 전달","[     양산지역 한 재가 노인복지시설에서 코로나 확진자가 발생하면서 방역에 비상이 걸린 양산시. 양산시 제공31일 오후 경남 양산에서 재가 노인복지시설 종사자 1명이 코로나19에 추가로 확진됐다. 특히 방역 당국은 지역 한 회사발 집단감염에 이어 노인복지시설 종사자까지 코로나에 확진되면서 방역에 비상이 걸렸다.양산시는 이날 오후 1명(양산 173번)이 코로나19 진단검사에서 양성 판정을 받아 확진됐다고 밝혔다.양산 173번 확진자는 지역의 한 재가 노인복지시설 종사자로 파악됐다. 방역 당국은 노인복지시설과 요양시설 등을 고위험시설로 지정해 매주 선제적인 코로나 진단검사를 실시하고 있으며, 173번 확진자 역시 이 과정에서 찾아냈다.방역 당국은 173번 확진자에 대한 감염경로를 조사 중이다. 또 173번 종사자의 재가 서비스 이용자 2명과 시설종사자 11명 등 13명에 대해 코로나 진단검사를 진행 중이거나 할 예정이다.양산시는 확진자 거주지에 대한 방역 소독과 함께 동선 등 심층 역학조사를 벌이고 있다. 김태권 기자 ktg660@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '짐승의 삶'...살아서 나와도 사는 게 아니었다▶ 부산일보 홈 바로가기 ]",[],https://www.dailian.co.kr/news/view/959963/?sc=Naver,https://n.news.naver.com/mnews/article/082/0001063826?sid=102
2021.01.31.,경북도민일보,,"국립청도 숲체원, 노인복지시설에 산림교육 키트·생필품 전달",,,http://www.hidomin.com/news/articleView.html?idxno=443970,http://www.ksmnews.co.kr
2021.01.29.,파이낸셜뉴스,,"근로복지공단, 노인인력개발원과 '시니어 취업지원' MOU",,,http://www.fnnews.com/news/202101291548321162,http://www.dailian.co.kr/
2021-01-29 09:59:22,인천뉴스,경제,사)대한노인회 인천시연합회 창립50년사 전달식 가져,"[     유재도 농협은행 부행장과 자금운용부문 임직원들이 지난 28일 시립용산노인종합복지관을 찾아 '사랑의 떡국떡'을 전달하고 기념촬영을 하고 있다.ⓒ농협은행농협은행 자금운용부문 임직원은 설 명절을 맞아 지난 28일 서울시 용산구 소재 시립용산노인종합복지관을 찾아 '떡국떡' 150상자를 전달했다고 29일 밝혔다.농협은행 자금운용부문은 2020년에도 시립용산노인종합복지관을 찾아 신종 코로나바이러스 감염증(코로나19) 확산방지를 위한 방역물품 전달을 실시한 바 있으며, 농촌일손돕기 등 매년 다양한 사회공헌활동을 통해 지역사회와 농업인의 든든한 동반자로서 역할을 다하고 있다.유재도 농협은행 자금운용부문 부행장은 ""코로나19로 더욱 춥게 느껴질 어르신들께 설을 맞아 자그마한 따뜻함이 전달되었으면 한다""며 ""올 해는 더 많은 사회공헌활동 기회를 만들어 나갈 계획""이라고 말했다.데일리안 이나영 기자 (ny4030@dailian.co.kr)▶ 데일리안 네이버 구독하기▶ 데일리안 만평보기▶ 제보하기ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지   ]",[],http://www.incheonnews.com/news/articleView.html?idxno=400503,https://n.news.naver.com/mnews/article/119/0002464493?sid=101
2021.01.31.,울산매일신문,,"메트라이프생명 사회공헌재단, 중구노인복지관에 온풍기 전달",,,http://www.iusm.co.kr/news/articleView.html?idxno=899986,http://www.hidomin.com
2021.01.31.,경상매일신문,,"㈜태광, 대구 남구 대덕노인종합복지관에 230만원 후원",,,http://www.ksmnews.co.kr/default/index_view_page.php?idx=322620&part_idx=266,http://www.fnnews.com/
2021.01.26.,연합뉴스,,"양성일 차관, 서울노인복지센터 현장 점검",,,http://yna.kr/PYH20210126193400013?did=1196m,https://www.yna.co.kr/
2021-01-26 16:36:16,충청일보,사회,"보령시, 보령노인종합복지관 위수탁 협약식","[         (서울=연합뉴스) 양성일 보건복지부 1차관이 26일 서울 종로구 서울노인복지센터를 찾아 신종 코로나바이러스 감염증(코로나19) 상황에서의 노인 여가·복지시설 현황을 점검한 뒤 관계자들과 간담회를 하고 있다. 2021.1.26     [보건복지부 제공. 재판매 및 DB 금지]    photo@yna.co.kr▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]단순감기 환자를 코로나로 진단?▶제보하기&lt;저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지&gt;   ]",[],http://www.ccdailynews.com/news/articleView.html?idxno=2032676,https://n.news.naver.com/mnews/article/001/0012164273?sid=102
2021.01.30.,뉴스핌,,"묵호노인종합복지관, 위기가구 홀몸노인 이사 지원",,,http://www.newspim.com/news/view/20210130000103,http://ccdailynews.com
2021.01.27.,OBS,,"'경전철 폭행' 중학생 2명, 노인복지법 위반 적용",,,http://www.obsnews.co.kr/news/articleView.html?idxno=1251001,http://www.newspim.com
2021.01.29.,국제뉴스,,"보령시, 보령노인종합복지관 위수탁 협약",,,http://www.gukjenews.com/news/articleView.html?idxno=2152701,http://www.obs.co.kr/
2021.01.31.,울산매일신문,,"메트라이프생명 사회공헌재단, 중구노인복지관에 온풍기 전달",,,http://www.iusm.co.kr/news/articleView.html?idxno=899986,http://www.gukjenews.com/
2021.01.28.,더팩트,,"제주도, 2021년 노인복지기금 지원사업 공모",,,http://news.tf.co.kr/read/national/1840206.htm,http://www.iusm.co.kr
2021.01.26.,뉴시스,,"SK울산콤플렉스, 독거노인에 도시락세트 지원",,,http://www.newsis.com/view/?id=NISX20210126_0001318383&cID=10814&pID=10800,http://www.tf.co.kr/
2021-01-28 16:17:26,일요신문,사회,"(사)대한노인회 양평군지회, 28일 신축년 첫 이사회 개최","[     고령사회 대응 노인복지증진 사업에1억2400만원 지원[더팩트ㅣ제주=문형필 기자] 제주특별자치도는 노인복지 증진과 자립기반 조성을 위해 ‘2021년도 노인복지기금 지원사업’을 공모한다고 28일 밝혔다.올해 지원규모는 총 1억2400만원으로 사회복지사업보조 및 민간자본보조사업으로 구분해 공모한다.사회복지사업보조(1억500만원)는 노인 건강증진 및 여가활동 지원, 문화·예술활동 지원, 노인의 사회적일자리 창출사업 등으로 지원금은 사업당 1000만원 이내다.코로나19 상황에서 수행 가능한 사업내용으로 방역계획 등을 필수 제출해야 한다.민간자본보조사업(1900만원)은 장비보강 등 소규모 기능보강사업으로 사업당 1000만원 이내로 지원된다.사업신청 대상은 제주도내에 소재 및 주소를 두고 영리가 아닌 공익활동을 주 목적으로 하는 노인복지법인·단체·시설(비영리 법인 및 단체 포함)이다.민간보조금 기준 보조율(90%)에 의해 자부담 확보 등이 가능해야 한다.신청기간은 오는 1월 29일부터 2월 12일까지다.사업신청은 도청 노인장수복지과 및 행정시 노인장애인과를 방문 또는 우편접수를 통해 가능하다.자세한 사항은 도청 홈페이지 공고문을 참고하면 된다.지원사업 확정은 제주특별자치도 노인복지기금 운용심의 위원회의 심의를 거쳐 지원대상사업과 지원 금액이 최종 결정된다.임태봉 도 보건복지여성국장은 ""지역 어르신들의 건강한 노후생활을 위한 다양하고 창의적인 노인복지기금 공모 사업 지원을 지속적으로 확대해 노년이 더욱 즐거운 제주를 만들어 나갈 것""이라고 했다.한편 제주도는 2020년 노인복지기금 공모 지원사업을 통해 경로당활성화를 위한 제주다움 마을만들기(1200만원), 어화둥둥 청춘예찬(700만원), 독거노인 친구만들기 프로그램(600만원) 등 30개 사업에 1억6000만원을 지원한 바 있다.hyejun@tf.co.kr - BTS 공연 비하인드 사진 얻는 방법? [팬버십 가입하기▶]   - 내 아이돌 순위는 내가 정한다! [팬앤스타 투표하기] 저작권자 ⓒ 특종에 강한 더팩트 &amp; tf.co.kr 무단 전재 및 재배포 금지   ]",[],https://ilyo.co.kr/?ac=article_view&entry_id=391451,https://n.news.naver.com/mnews/article/629/0000065309?sid=102
2021.01.30.,시민일보,,"시흥시 대야-신천행정복지센터, 독거노인 가정 방문해 밑반찬 전달",,,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065568740587173,http://www.newsis.com
2021.01.28.,불교공뉴스,,"영동군노인복지관, 언텍트 시대 대비",,,http://www.bzeronews.com/news/articleView.html?idxno=467409,http://www.bzeronews.com
2021.01.28.,메디게이트뉴스,,코로나19 우선접종 노인인데…초도 물량은 고령효과 논란 아스트라제네카 접종...,,,http://www.medigatenews.com/news/3690673295,http://www.medigatenews.com
2021.01.31.,한국면세뉴스,,"(속보) 양산시 노인복지시설 종사자 확진, 광명시 4명, 용인시 7명 감염 [코로...",,,http://www.kdfnews.com/news/articleView.html?idxno=67388,http://Kdfnews.com
2021.01.28.,프레시안,,"고성군 노인복지관, '내가 주방장' 요리교실 추진",,,https://www.pressian.com/pages/articles/2021012816215804670?utm_source=naver&utm_medium=search,http://www.pressian.com/
2021-01-28 16:41:03,경북일보,사회,"국립청도숲체원, 노인복지시설 12곳에 비대면 산림교육 체험키트·생필품 전달","[ 사회복지공동모금회 공모 선정…1800만원 예산 확보[이상훈 기자(=강원고성)(lovecony@nate.com)]강원 고성군노인복지관(관장 안승훈)은 사회복지공동모금회 공모에 선정되어 1800만원 예산을 확보하여 '내가 주방장' 요리교실을 추진한다고 28일 밝혔다. 이 프로그램은 건강한 식생활이 어려운 저소득 남성어르신들이 스스로 밑반찬을 만들어보고, 서로 나눔을 통해 일상에서의 식생활독립과 자립능력향상을 이끌어 내기 위한 목적으로 마련됐다.     ▲강원 고성군노인복지관이 사회복지공동모금회 공모에 선정되어 1800만원 예산을 확보하여 '내가 주방장' 요리교실을 추진한다. ⓒ고성군노인복지관 모집기간은 2월 1일부터 2월 19까지 15명 모집하며, 신청자격은 고성군 거주 만 65세 이상 저소득 남성 어르신으로 고성군 노인복지관 1층에서 방문접수 할 수 있다. 교육과정은 3월에 시작하여 11월에 종강할 예정이나, 코로나19의 사회적 거리두기 단계 및 상황에 따라 변동 될 수 있다.  매주 수요일 오전 10시부터 12시까지 청소년수련관 요리실습실에서 일상생활관리교육, 식생활교육, 기초요리교육, 반찬 나눔 등이 진행될 예정이다. 요리교실 재료비 및 프로그램 참여비용은 전액 무료이며, 문의사항은 고성군노인복지회관으로 연락하면 된다. 안승훈 고성군노인복지관 관장은 “남성의 가사 참여가 높아지는 시대 변화에 따라 남성어르신들이 요리를 배움으로써 스스로 식사를 해결하고 바른 식생활 통해 올바른 식습관 형성 및 삶의 활력소 가되고 자립능력향상에 도움이 될 것으로 기대된다”고 말했다.[이상훈 기자(=강원고성)(lovecony@nate.com)]▶프레시안 CMS 정기후원▶네이버 프레시안 채널 구독 ▶프레시안 기사제보Copyrightsⓒ PRESSian.com 무단전재 및 재배포금지 ]",[],http://www.kyongbuk.co.kr/news/articleView.html?idxno=2066879,https://n.news.naver.com/mnews/article/002/0002170750?sid=102
2021.01.26.,전자신문,,"워커힐 호텔, 지역 노인 복지관 취약계층에 도시락 전달",,,http://www.etnews.com/20210126000157,http://www.kyongbuk.co.kr
2021.01.28.,아시아경제,,"목포 이랜드노인복지관, 난방 취약계층 어르신 지원",,,https://view.asiae.co.kr/article/2021012809280145933,http://www.etnews.com
2021-01-26 13:49:27,로이슈,경제,"[사회공헌활동] 워커힐, 노인복지관에 온정 담긴 도시락 전달","[     워커힐 관계자들이 지난 25일 한끼 나눔온(溫)택트 프로젝트의 일환으로 광진 노인 종합 복지관 취약계층 노인에게 도시락을 제공하고 있다.워커힐 호텔앤리조트는 광진 노인 종합 복지관 취약계층 200명에게 지역 소상공인과 함께 제작한 도시락을 제공했다고 26일 밝혔다.끼니 해결조차 쉽지 않은 취약계층과 매출 급감으로 생존 위기에 내몰린 영세 음식점을 함께 지원하는 '한끼 나눔 온(溫)택트 프로젝트'의 일환이다.해당 도시락은 코로나19로 매출이 감소한 광진구 내 도시락 업체와 함께 만들어, 관내 소상공인 매출 증대에도 기여했다. 워커힐 조리팀이 컨설팅을 담당한 도시락에는 워커힐 수펙스 김치가 포함됐고, 한과, 마스크 선물로 세심한 온정을 더했다.'한끼 나눔 온택트 프로젝트'는 SK그룹이 지난해부터 강조해 온 안전망 구축을 실천하는 활동으로, SK네트웍스 내에서는 워커힐이 처음으로 실행에 옮겼다.워커힐은 이날 광진 노인 종합 복지관 이용 취약 계층을 대상으로 도시락을 지원하는 것을 시작으로, 향후 취약 계층에 지속적으로 도시락을 지원한다.현몽주 워커힐 호텔앤리조트 총괄은 ""이번 프로젝트는 SK그룹이 강조해온 '안전망' 구축의 연장선상""이라며 “지역사회 내의 취약계층을 돕는 것뿐 만 아니라, 소상공인과의 상생도 도모하는 프로젝트라 더욱 의미가 깊다”고 말했다.박준호기자 junho@etnews.com▶ ""K-시큐리티 서밋 2021"" 1월 29일 온라인 생중계▶ 네이버 홈에서 [전자신문] 구독하기 [Copyright ⓒ 전자신문 &amp; 전자신문인터넷, 무단전재 및 재배포 금지] ]",[],http://www.lawissue.co.kr/view.php?ud=20210126104913131367191f6c6e_12,https://n.news.naver.com/mnews/article/030/0002925283?sid=101
2021.01.26.,디트뉴스24,,"천안시, 올해 3500명 노인일자리 창출",,,http://www.dtnews24.com/news/articleView.html?idxno=597566,https://www.asiae.co.kr/
2021-01-28 09:27:35,대경일보,사회,"구미시, 결식 노인'따뜻한 한끼 나눔'협력","[ 네이버 해피빈 온라인 개설 970만 2000원 모금    목포이랜드복지관 전경 (사진=목포이랜드복지관 제공)[아시아경제 호남취재본부 박기동 기자] 사회복지법인 이랜드복지재단(이사장 박성경)이 운영하는 목포 이랜드노인복지관(관장 강주호)은 지난 18일부터 일주일간 목포 지역 홀로 삶(무연고인) 및 난방 취약 세대 어르신에게 난방유와 연탄을 지원했다고 28일 밝혔다.이번 지원은 지난해 12월 말부터 1월까지 노인의 겨울철 저체온증 사망사고 발생률이 높은 것을 고려해 난방 취약 노인 집중 관리를 위해 사전 계획됐다.지난해 12월 초 네이버 해피빈 모금함을 개설하고 난방 취약 노인에 대한 전수조사를 했으며, 총 70명의 대상자가 선정돼 기름보일러를 사용하는 62명에 난방유 200ℓ를, 8명에 연탄 200장씩을 개별 지원했다.이처럼 난방유·연탄을 각 가정에 넉넉하게 지원할 수 있었던 것은 네이버 해피빈 모금함을 통해 총 970만 2000원이 모금됐기 때문이다.난방유를 지원받은 홀로 삶 어르신은 “기름이 너무 비싸 보일러를 틀어볼 생각도 못 하고 전기장판 하나에만 의지하고 있었는데 이렇게 난방유를 지원받게 돼 밥을 안 먹어도 배부르다”며 “난방유를 지원해준 네이버 해피빈 후원자와 직접 찾아와 전달해준 목포 이랜드노인복지관에 감사하다”고 전했다.목포 이랜드노인복지관 강주호 관장은 “올해 극심한 한파로 기온이 영하까지 떨어져 추위 속에 지내시던 어르신에게 조금이나마 보탬이 되길 바란다”며 “난방유와 연탄 외 대상자별 필요한 지원과 서비스에 대해 적극적으로 파악하고 지원할 예정이다”고 밝혔다.한편, 목포 이랜드노인복지관은 목포시로부터 지난 2019년 노인 맞춤 돌봄서비스 사업 수행기관으로 선정돼 지난해부터 복지 사각지대에 놓인 어르신을 적극 발굴·맞춤형 서비스를 제공하고 있다.호남취재본부 박기동 기자 kidpak75@asiae.co.kr▶ 2021년 신축년(辛丑年) 신년운세와 토정비결은?▶ 발 빠른 최신 뉴스, 네이버 메인에서 바로 보기▶ 2021년부터 이렇게 달라진다! 필수 체크!&lt;ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지&gt;   ]",[],http://www.dkilbo.com/news/articleView.html?idxno=323886,https://n.news.naver.com/mnews/article/277/0004836920?sid=102
2021.01.24.,뉴시스,,"경남, 재가 노인복지시설·장기요양기관 전수검사",,,http://www.newsis.com/view/?id=NISX20210124_0001315826&cID=10812&pID=10800,http://www.newsis.com
