Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.03.31.,연합뉴스언론사 선정,,70대 노인이 절에서 구애하던 여성 살해(종합),,,https://www.yna.co.kr/view/AKR20230331014951004?input=1195m,https://www.yna.co.kr/
2023-03-31 14:34:39,중부매일,사회,UN직원 사칭해 노인 대상 9억 원 편취한 사기단 일당 검거,"[ 사찰 관계자 ""작년부터 만남 요구…정도 심해져 자제 요청""    노원경찰서[촬영 김현수]    (서울=연합뉴스) 설하은 기자 = 서울 노원경찰서는 31일 일방적으로 구애하던 여성을 살해한 혐의로 A(72)씨를 체포해 조사 중이다.    경찰에 따르면 A씨는 이날 오전 5시26분께 서울 노원구 수락산에 있는 학림사 식당에서 B(65)씨의 머리를 둔기로 여러 차례 내리쳐 숨지게 한 혐의(살인)를 받는다.    A씨는 범행 직후 112에 전화를 걸어 ""사람을 죽였다""고 신고했다. 경찰은 범행 14분 만인 오전 5시40분 A씨를 현행범으로 체포했다.    A씨는 경찰에서 ""4년간 절에서 봉사활동을 해왔는데 B씨가 구박했다""고 진술했다.    A씨는 수 년 전부터 이 절에 다니면서 식당 주방장이자 사찰 사무 일을 하는 B씨를 알게 됐고, 작년부터 B씨에게 만남을 요구해왔다고 학림사 관계자는 전했다.    이 관계자는 ""A씨가 자청해서 마당을 쓸거나 설거지를 하고, 아침 공양 준비에 앞서 먼저 주방 불을 켜놓기도 하는 등 주변을 떠나지 않았다""며 ""정도가 심해져 절 차원에서 회의를 열어 A씨에게 접근 자제를 요청하기도 했다""고 말했다.    A씨는 구애 과정에서 수십년 경력의 베테랑 경찰관을 사칭하기도 했고, 며칠 전부터는 동네 이웃에게 ""B씨를 흉기로 죽이겠다""고 말했다고 사찰 관계자는 전했다.    경찰은 스토킹 범죄 가능성을 열어두고 두 사람의 관계와 구체적 범행 경위를 조사한 뒤 구속영장을 신청할 방침이다.    soruha@yna.co.kr ]","['나이 70넘어서 나이값도 못하고 쯧', '스토킹 살해나 보복 살인 같은 경우는 사형으로 처벌해야 한다.', '좋아하는 사람을 죽이는것에 대해 이해가 안간다.좋아했다면 그사람을 행복하기를 바래야지요 나이들어 뭣하는짓인지.', '꼴값한다 진짜~~~절에 다니면서 그나이 되도록 뭐하고 살았냐? 감방 들어가서 죽어서 나오겠네~~그래야하고~~~', '', '스토킹 처벌은 여자가 얼마나 죽어야 강화되냐', '', '세상에 나이 70먹고 절에서 스토킹....자기맘 안받아주니 죽여버리네 ㄷㄷ 젊으나 늙으나 한남클라스 어디안감', '또또, 범인은 그냥 70대고 피해자 성별만 밝히니?????? 70대남이다, 70대남!!!!!!!!', '안만나주면 포기를 하든가 뭘 개선해서 와야지 떼쓰다 살해하는건 종특인가?', '제목 주어 확실히 해서 똑바로 달아주세요. 그리고 스토킹이 무슨 구애입니까?', '나이를 어디로 *먹었나..', '스토킹이다!', '나이를 곱게 먹을 수는 없을까? 곱게 늙지 못할바에 오래 사는건 저주다!', '나날이 미쳐돌아가는구나! 세상이!', '', '구애라니,, 저런걸 우리는 스토킹이라고 부릅니다', '', '', '감히 절에서.. 부처님이 무섭지도 않나', '', '늙어도 개버릇 남 못주고 결국 나랏밥을 먹는구나', '고려인들이 현명한 거 였다.', '구애하던 여성  살해?  구애는 남성이 해는데.. 기자야, 한글부터 배워라.', '같은 여자인 기자도 기사 제목을 이렇게 뽑다니... 절망스럽다. 스토킹을 구애라고 표현하는 건 대체 이 나라에서 언제 사라질까.', '', '제목에 구애라고 하지말고 스토킹살해라고 해라 쫌!', '', '구애??? 스토킹이지', '구박할만하네...그렇게 쫒아다니고 구애하고 귀찮게 구는데', '자수해서 선처하려나. 그냥 스스로 자진하시지 자수 말고. 산소도 아깝다', '기자 제목 문법도 안맞고 상황도 안맞고,\n저게 무슨 구애야 스토킹하다가 거절당하니깐 그놈의 존심으로 살해한거지', '번뇌 덩어리가 절에서 뭐하는 거냐', '늙은이 새끼 빨리 뒤지시길', '', '왜 안만나줘충은 나이를 가리지 않는구나 ㅋㅋ 성별은 하난데 ㅋㅋ', '', '반대로 84세 할머니가 당신 좋다면서 자꾸 고백하고\n스토킹하면 구박안하고 사귀어줄거야???', '초고령사회의 폐해인가~?', '인간이 아니라 완전히 개구만 ~', '어휴..틀니 빼고 관짝 준비할 나이에 주책이다 진짜', '우리나라에 평화를 주소서', '댓글로 밥빌어먹고, 노예의식에 쩔어있고, 피해의식은 쩔어서 사고만 치고.. \n노인을 욕하는게 아니라 저 세대 참 답이 읍다.', '그나이에 조시스냐', '마~걍 뒤지뿌라~!!!', '때려죽 이라', '나쌀이나처대가지고\n   고작하는일이 살인이냐?\n빵에가서  뒤지겠구만', '그나이 쳐먹엇으면 곱게 죽을것이지  인생 말년에 무슨 짓거리인겨', '저 나이에도 변태적 성향은 그대로라는게 참ᆢ', '봉사활동이나 하시지 함부로 고백하고 스토킹하고 에라이', '조선족은 참 무섭다', '구애가 아니고 스토킹이지 포장하지마라.  외안만나조 한남범죄네 싫다면 좀 알아처먹어라', '이제는 절도 노인들의 범죄 장소가 되겠어...', '', '사람이 무섭네 ~~~ 소방안전교육 받으니, 방화의 빈도수가 높아졌다고 그러더만 ~~~ 우찌된 사회인지 더 각박해 졌음 !!!', '스토킹은 adhd가 원인이냐?? 집착하는 원인이 뭐임??', '품위있게 늙자 제발 한낱 욕정으로 인생의 마지막을 망치는 우를 범하지 말자', '절에서? 절 관계자를? 도른자... 구애를 무슨 협박, 공갈하듯 해? 어휴. 설사 초범이어도 저건 사정 봐주면 안 된다.', 'OOO OOO OOO OOO', '하여튼 ㅈ이 항상 문제여', '', '한남이 또', '흠, 죽였군~. 늙은 나이로 사랑에 목숨 걸었네. 이뤄지지 못할사랑 같이 죽지', '요즘은 고백안받인줌 죽는거구나ㅡㅡ', '나이를 거꾸로 쳐먹었나..  미쳤네', '…할배서나? 걍나가디지라 추하다추해참말로', '좃달린 괴물 ㅜ', '가질 수 없다면 부숴버리겠다는건가??', '아직되나 지멋대로  안되니 둥기로 히기한\n인종이 많아 코로나 휴유증인가  가위가 필요\n한데 요즘 봄이라 자를것이 많아', '가질 수 없다면 부숴버리겠다는 그런 마음인가', '총 살시켜라\n스토커들은', '절간  법당안에서는 개미 한마리도 죽이지 않는것이거늘. 지옥가', '이쯤되면 표본이 너무 많다. 일반화해도 부족함이 없어 아주 매번 새롭게 갱신되는 케이스들 ㅋㅋㅋ 그냥 늙으면 강제 물리적이든 화학적이든 거세를 법제화하자 뇌랑 신체는 쭈글거려서 흐물거리면서 욕망은 차고 넘치는게 동물이랑 뭐가 다르냐', '결국 자기를 써준 사람은 좋은 사람이고 안 써준 사람은 나쁜 사람이고...그렇네...', '', '죽이지 말고 가두지도 말고 자지만 짤라라', '국정원딸 좀 사형시켜주세요', '거시기  통제 잘해야 인생 무난함ㆍ 거시기로 망하는 사람 차고 넘침ㅋ', '와 대박', '', '', '도랐나……', '', '늙으나 젊으나 한남 조심!', '', '', '이재명변호사선임하면데이트폭력으로변론상당감형', '', '', '늙은이들 수준이 바로 저거...늙은이중에서 제 정신 가진 놈은 10%도 안된다. 그냥 눈에 띄는 대로 족 족 사살 해버리는게 정의다', '2찍끼리 왜그러세요 ㅡㅡ', '노인이 죽어야 나라가산다', '', '한 쪽 말만 들어선 알 수가 없잖혀', '60대가 옆집 유리창에 새총쏘고, 80대가 재판정에서 계란던지고, 70대가 살인하고... 2찍들 진짜 에휴...']",http://www.jbnews.com/news/articleView.html?idxno=1389078,https://n.news.naver.com/mnews/article/001/0013851644?sid=102
2023.03.31.,동아일보언론사 선정,,"“칠곡할매글꼴, 노인을 ‘어르신’으로 바라보는 기회 되길” [따만사]",,,https://www.donga.com/news/Society/article/all/20230320/118424924/2,http://www.jbnews.com
2023.03.30.,노컷뉴스,,대전지방국세청 '사랑나눔 밥퍼 봉사' 실시,,,https://www.nocutnews.co.kr/news/5918807,http://www.donga.com/
2023-03-31 14:01:04,신아일보,사회,"춘천동부노인복지관, 러브런치 봉사단 발대식 성료","[ 아울러사회적협동조합 박성익 대표가 전한‘칠곡할매글꼴’ 제작 뒷이야기    칠곡할매글꼴 제작 사업에 참여한 김영분 할머니가 알파벳을 적은 종이를 들어 보이고 있다. 어르신들은 영어와 특수문자 적는 걸 유독 힘들어했다. 수년간 배워온 한글과 달리 영어와 특수문자는 폰트 제작 과정에서 처음 접했기 때문이다. 하지만 어르신들은 포기하지 않고 마치 그림을 그리듯 영어를 한 글자씩 옮겨 적었다. 아울러 제공“폰트가 뭔지 몰라~” “비누 뭐 이런 거 만드는 기라예?”폰트가 뭔지도 몰랐던, 아직도 그 폰트라는 걸 완벽히 이해하진 못한 할머니들의 손글씨를 문서 작성용 글꼴로 만든 ‘칠곡 할매 글꼴’이 제작 3년 만에 재조명되고 있다. 윤석열 대통령이 신년 연하장 글씨체로 이 글꼴을 사용하면서부터다.칠곡할매글꼴은 경북 칠곡군 ‘성인문해교실’에서 한글을 깨친 권안자 김영분 이원순 이종희 추유을 할머니의 손글씨를 바탕으로 지난 2020년 만들어졌다. 칠곡군청과 비영리단체인 ‘아울러사회적협동조합’(이하 아울러), 디자인 글꼴 제작업체 ‘다온폰트’가 힘을 합쳤다. 2021년엔 한컴오피스, 지난해엔 MS오피스에도 탑재됐다. 국립한글박물관은 이 글꼴을 문화유산으로 등재하기도 했다.출시 직후 한 차례 인기를 끌었던 칠곡할매글꼴이 다시금 주목받는 데 대해 박성익 아울러 대표는 “칠곡군은 오랫동안 ‘인문학 마을’이라는 베이스가 있었기 때문에 성인문해교육을 받은 어르신들이 빛을 받을 수 있었다”고 설명했다.칠곡군은 2000년 평생학습으로 인문학에 입문한 뒤 2004년 교육부로부터 평생학습도시로 선정됐다. 2013년 창조지역사업을 진행하며 인문학 사업을 본격화했으며, 당시 9개 마을로 출발한 칠곡군 인문학 마을은 현재 33개에 달한다.박 대표는 “(칠곡군이) 인문학 마을로 트레이닝이 된 상태여서, 그 안에서 항상 새로운 문화나 시도 등을 계속 경험하니까 폰트도 만들 수 있었다”며 “‘칠곡할매시집’이나 독립영화 ‘칠곡가시나들’도 다 인문학 마을에서 나왔다. 그런 문화적인 베이스는 절대 무시 못 한다고 생각한다”고 강조했다.    2020년 12월 경북 칠곡군 왜관읍 금남2리에서 권안자·이원순·추유을·김영분·이종희 할머니(왼쪽부터)가 자기 글꼴로 쓴 인사말을 들고 있다. 아래 사진은 칠곡할매글꼴로 제작된 윤석열 대통령의 2023년 연하장. 칠곡군 제공“어르신이 지닌 가치, 젊은 세대와 나누려 글꼴 제작”박 대표가 이끄는 ‘아울러’는 칠곡할매글꼴을 맨 처음 기획한 비영리단체다. 아울러는 ‘회복탄력성’이라는 가치를 운영 기조로 삼고 있다. 회복탄력성이란 역경과 시련, 실패를 도약의 발판으로 삼아 더 높이 튀어 오르는 마음의 근력을 말한다.박 대표는 “일반적으로 사람들은 부정적인 순간들은 묻지 않아도 잘 얘기하는데, 좋았거나 힘이 됐던 순간들은 짧게 넘어가는 경우가 많다. 그래서 자기 삶이 더 불행하게 느껴지는 게 아닌가 싶다. 저희가 하는 일은 긍정의 기억을 이끌어내고, 같이 풍성하게 만드는 과정이라고 보면 된다. 어떤 형태가 회복탄력성이란 가치를 잘 보여줄 수 있을까 고민하다가 글꼴을 만들어보면 어떨까 하는 생각이 들었다”고 설명했다.그렇다면 왜 칠곡 할머니들일까. 박 대표는 “대구·경북 쪽에도 거래처들이 있지만 가장 깊은 라포르(rapport·신뢰관계)를 형성한 곳이 칠곡군”이라며 “칠곡군과 10년 가까이 교류해왔다. 그동안 어르신들과 지내며 느꼈던 것은, 그들이 가진 좋은 가치들이 너무나 많다는 거다. 그래서 이걸 어떻게 재해석해서 더 많은 세대와 경계 없이 나눌 수 있을까 고민하다 글꼴이라는 걸 제안하게 됐다”고 말했다.    박성익 아울러사회적협동조합 대표 “‘죽음의 수용소에서’라는 책이 제 인생책이에요. 아우슈비츠 수용소에서 살아남은 사람들의 특징을 분석해보니 삶의 의미를 발견한 이들은 그런 곳에서도 살아남았대요. ‘헤어진 가족을 다시 만나야 해’, ‘논문을 마저 써야 해’ 같은 것들이요. 저자인 빅터 프랭클은 한평생 사람들이 삶의 의미를 찾도록 돕는 역할을 했어요. 저도 다른 사람들이 삶의 의미를 찾을 수 있도록 돕고 싶어요.” 김소영 동아닷컴 기자 sykim41@donga.com칠곡군민-칠곡군청-아울러 ‘삼위일체’로 진행글꼴 제작 과정은 비교적 순조로웠다. 박 대표는 함께 일한 사람들에게 그 공을 돌렸다. 그는 “아이디어만 가지고 접근할 수 있는 것이 아니다. 아이디어를 내면 행정에서 지원해줘야 실현할 수 있다. 칠곡군청의 한선혁 계장님이 굉장히 오픈 마인드라 이 제안도 받아들여졌다”고 했다. 이어 “성인문해 강사분들도 어르신들과 관계를 굉장히 잘 유지해줬다. 또 실제 폰트 개발은 다온폰트가 맡았는데, 저희 가치에 공감하며 흔쾌히 합류해줬다”고 덧붙였다.칠곡군에 대한 애정도 드러냈다. 박 대표는 “칠곡은 토양이 좋다. 20년 가까이 (인문학으로) 트레이닝된 지역이고, 전입·전출이 활발해 외부에 대한 적개심은 낮고 포용심은 높다. 기획자로서는 새로운 시도를 하기 좋은 곳”이라고 설명했다. 그러면서 “칠곡은 삼위일체처럼 민관과 외부 업체, 이 세 개의 합이 너무 좋다. 보통 밸런스가 깨져서 관이 주가 되면 민간에 압력이 가해지고, 반대로 민간이 강화되면 민원 형태가 된다. 또 기획자(외부업체)가 강해지면 휘발성으로 끝나버리는데, 여기는 이 밸런스가 너무 좋다”고 강조했다.아울러는 칠곡 교육문화회관과 수의계약을 맺고 이번 사업을 진행했다. 기자가 칠곡할매글꼴처럼 사업이 잘되는 경우 그만큼 수익이 발생하는 구조냐고 묻자 박 대표는 웃으며 그건 아니라고 답했다. 그는 “나중에 또 건수가 있으면 ‘한 번 더 같이합시다’ 이렇게 좋은 인식을 심어주는 정도다. 그래서 지자체 사업을 할 때 앞으로 이런 용역사나 함께 일한 많은 단위도 같이 알려지면 좋을 것 같다”고 조심스럽게 말했다.    2020년 10월 박성익 아울러 대표(왼쪽)가 칠곡군청 한선혁 계장(가운데), 이정홍 주무관과 칠곡할매글꼴 관련 이야기를 나누고 있다. 아울러 제공“참여 어르신, ‘귀한 글씨’라고 너무 힘줘 끝이 번지기도”폰트화 사업에 참여할 어르신 선발은 성인문해 강사들의 추천과 공모 등을 통해 이뤄졌다. 박 대표는 “열린 절차를 거쳐 상징적인 의미가 있는 다섯 분을 최종 선발했다. 한글 공부가 더 절절했던 분이라든가, 수업에 더 열의를 가졌다거나, 한글 공부와 남다른 인연이 있었다거나…. 이런 다양한 어르신들을 성인문해 강사, 저희(아울러), 칠곡군 교육문화회관 세 곳이 심사숙고 끝에 뽑았다”고 부연했다. 이어 “선정 결과를 어르신들께 말씀드리니까 섭섭해하는 분도 있고, 안타까워하는 분도 있었다. 그게 제일 고통이었다”고 전했다.그도 그럴 것이, 폰트화 사업은 코로나19 여파로 문해교실이 중단된 상황에서 어르신들에게 찾아온 배움의 기회였다. 1년 넘게 수업을 듣지 못해 아쉬움을 토로하던 어르신들은 폰트가 뭔지는 몰라도 다시 글공부를 할 수 있다는 것만으로도 좋아하셨다고 박 대표는 전했다.코로나19로 여럿이 한데 모일 수 없게 되자 성인문해 강사들은 어르신을 직접 찾아가 글씨 연습을 도왔다. 박 대표는 “처음엔 A4용지 100장과 네임펜을 3자루씩 드렸다. 근데 그걸 다 쓰고도 모자라신다더라. 성인문해 강사분들이 일주일 만에 찾아가면 종이가 엄청 쌓여있었다고 한다. 나중에 더 보내드렸다. 종이만 2000장이 넘는다”고 했다.아울러는 어르신들이 폰트 제작 과정을 언제든 되돌아볼 수 있도록 책을 만들어 선물하기도 했다. 어르신 다섯 분과 그들의 가족, 성인문해 강사들의 인터뷰가 담긴 작은 책자다. 박 대표는 이 책자를 펼치며 말을 이었다.“폰트를 만들 때 볼펜으로 쓰면 글자가 너무 가늘어서 네임펜을 써야 한다더라고요. 근데 네임펜은 꾹 누르면 잉크가 번지잖아요. 어르신들이 귀한 글씨라고 힘을 잔뜩 주고 쓰다 보니 끝이 번져서 덩어리진 부분이 많아요. 여기 보면 끝이 이렇게 동글동글한 게 있죠. 이게 귀한 글씨라고 힘을 너무 많이 주셔서 그런 거예요. 다온폰트가 이걸 다듬느라 고생을 많이 했죠. 제 눈엔 어르신들의 어떤 마음이 담긴 흔적으로 보여요.”    아울러가 글꼴 제작에 참여한 어르신들께 선물한 책자. 어르신과 그들의 가족, 성인문해 강사들의 인터뷰가 담겨 있다. 김소영 동아닷컴 기자 sykim41@donga.com 칠곡할매글꼴 열풍 그 후…칠곡할매글꼴이 세상에 나온 뒤 전국 각지에선 ‘우리도 폰트를 만들고 싶다’는 문의가 빗발쳤다. 박 대표는 “칠곡군청으로 문의 전화가 폭주했는데 행정은 제작 과정을 잘 모르니까 저희한테 전달했다. 한번은 문의하신 분이 ‘거기서 폰트 만들었느냐’고 묻기에 ‘아니다. 저희는 전후 스토리텔링을 담당했다. 폰트는 다온폰트에서 만들었다’고 설명했다. 근데 자기들은 폰트만 만들면 된다고 제작업체를 소개해달라더라. 이게 참 아쉬웠다”고 털어놨다.“제가 그분께 ‘단순히 폰트를 만드는 게 아니라 지역에서 의미 있는 주민들을 발굴하고, 이들이 왜 폰트를 만들어야 하는지 명분을 먼저 잡는 게 어떠냐’고 조언하니까 필요 없다고 하시더라고요. 그게 너무 속상했어요. 마상(마음의 상처)이었죠. 의미를 발굴하는 작업이 있어야 확산할 수 있는 건데, 하나의 콘텐츠로 휘발돼 버린 게…. 이런 아쉬움이 제일 컸어요.”이후 아울러는 칠곡할매글꼴의 의미와 가치를 널리 알리기 위해 칠곡 교육문화회관과 함께 글꼴을 활용한 굿즈를 제작했다. 칠곡군민으로 구성된 굿즈제작단은 4번의 교육과 2번의 실습을 거쳐 베개, 손가방, 밥주걱 등 30여 개의 굿즈를 만들어냈다. 2021년 한글날엔 굿즈 전시회를 열어 글꼴 제작에 참여한 어르신들을 초대했다. 이날 추유을 할머니는 훈민정음(訓民正音)처럼 칠곡할매글꼴이 널리 이용되길 바라면서 ‘용민정음(用民正音)’을 낭독했다.    칠곡할매글꼴의 의미와 가치를 알리고 한글 사랑운동 확산을 위해 경북 칠곡군이 군청 갤러리에서 ‘칠곡할매 굿즈 전시회’를 열었다. 2021.10.6. 뉴스1    추유을 할머니가 칠곡할매 굿즈 전시회에서 칠곡할매글꼴 선언문인 ‘용민정음(用民正音)’을 낭독하고 있다. 2021.10.6. 뉴스1“칠곡할매 콘텐츠, 노인 아닌 ‘어르신’으로 해석하는 기회 되길”박 대표는 칠곡할매글꼴을 비롯한 콘텐츠가 노인을 어르신으로 해석하는 기회가 되길 바란다고 했다. 그는 “어르신들이 당장은 다가가기도 어렵고 불편하고 조금은 꼰대 같지만, 그런 부분을 한 번 싹 걷어내면 느낄 수 있는 진정성이 있다. 그런 걸 알리는 게 제 역할”이라고 강조했다. “이런 문화 콘텐츠는 어르신들과 젊은 세대를 잇는 징검다리라고 생각해요. 앉아서 고리타분하게 옛날이야기를 듣는 게 아니라, 어르신들이 만든 글꼴을 많은 사람이 활용한다는 것 자체가 간접적인 세대 교류라고 볼 수 있죠. 글꼴을 쓰는 과정에서 어르신들의 스토리가 전달된다고 보거든요. 단발성, 행사성으로 끝나지 않고 실생활에서도 쓰이는 걸 보면 너무 좋아요.”박 대표는 민관이 힘을 모아 칠곡할매글꼴을 만들었듯, 어떻게 하면 더 많은 시민이 타인의 아픔을 공감하고 위로할 수 있을지를 연구하는 것이 앞으로 아울러가 나아갈 방향이라고 말했다.“개인별로 스트레스가 많아져 타인의 아픔을 공감하거나 위로할 여유가 없어진 것 같아요. 아픔을 치유하는 것도 개인의 몫이 돼버린 게 우리 사회의 문제라고 생각해요. 누군가 힘들어할 때 가까이 있는 사람들이 그를 위로해 주는 문화가 생기면 좋겠어요. 칠곡할매글꼴이 칠곡군 어르신을 위로하는 버전이었다면, 다른 버전을 계속 연구하고 개발하는 게 아울러의 역할이죠. 다양한 방식으로 아픔을 해소하는 문화를 아울러가 만들어 가겠습니다.”■ ‘따뜻한 세상을 만들어가는 사람들’(따만사)은 기부와 봉사로 나눔을 실천하는 사람들, 자기 몸을 아끼지 않고 위기에 빠진 타인을 도운 의인들, 사회적 약자를 위해 공간을 만드는 사람들 등 우리 사회에 선한 영향력을 행사하는 이웃들에 대한 이야기입니다. 주변에 숨겨진 ‘따만사’가 있으면 메일(ddamansa@donga.com) 주세요. ]","['박성익 대표님 훌륭한 기획을 해내셨네요 명분과 진심이 어우러져 이뤄낸거같습니다 앞으로의 행보 기대하겠습니다.', '기사 내용과 관계없는 댓글이 많아서 슬프네요. 글을 몰랐던 할머니들이 한글을 배워 문화컨텐츠(폰트) 제작자가 되었군요! 앞으로도 지역민이 스스로 문화 콘텐츠를 만드는 기회가 많아지길~~', '나이만 들면 어르신인가???어른 노릇을해야 어르신이지 아무나 어르신 하지말것', '힘들때 좌절하고 포기하면 얻을건 아무것도 없다 살면서 눈감을때까지 무언가를 하면서 보람을 찾는게 중요하다  그러나  문죄명이같이 사람들로 부터  받은 권한을 사람들을 괴롭히고 못살게구는 개망나니행동은 삼가해야 겠다', '칠곡할매글꼴이 탄생된 과정을 보니 마음이 훈훈해 지네요\n긍정과 가치를 다시 생각해보는 기회가 되었어요^^', '글씨 이쁘네요.', '누구나 존중받아야지 ㅎㅎ 나이만 먹었다고 어르신인게아니라', '', '아름답네요', '어르신이 내 부모의 벗이나 이상일 때나 남의 부모를 높여 부르는 말은 맞지만 노인이라는 단어가 노인을 비하하는 것은 아니다. 사회적으로 선생님의 사용도 문제가 있다. 기자들이 국어 공부 좀 하자', '좋아요', '몇 달째 우려먹냐? 캄보디아애도 그렇게 우려먹더니..\n지금 나라가 망해가는데 이런걸로 쉴드가 쳐지겠냐?\n조중동아!!', '대통령으로 끝맺음을 해야지 부부로 하는건 첨 보는듯', '윤썩렬이의 보그바보체가 생각나네.', '503바라기들', '', '', '저분들이 있어\n지금 우리들이 잘살수있는것같습니다\n감사합니다', '주접떨지마소', '', '', '경상도 촌부 글씨로 이리 장황하고 긴 기사를 써내려가는 동아일보와 소속 기자는 역시 소설 작성에 탁월한 재주가 있단말야. 어쨌든 경상도 사람들 가슴을 간지르는 기사는 올렸으니 그 지역 이미지 고려엔 한몪했네. 고생했다. 동아', '묻지도 따지지도 않고 국짐찍만 아니면요', '청년층이 노인층을 좋아할 수 없는 이유\n1. 대중교통에서 자기들끼리 큰소리로 떠들기\n2. 공공장소에서 이어폰 없이 소리키고 노래듣기\n3. 자기일 급하다고 터치하면서 앞사람 밀기\n4. 임산부석에 아무런 꺼리낌없이 눌러앉기\n5. 진짜 임산부타면 자는척하기\n6. 어려보이는 사람한텐 무조건 반말하기\n7. 그러면서 덩치 큰 남자한텐 아무말 못하기', '', '', ""💙 어떤 무식한 것들이 굳이 '칠곡할매글꼴'을 쓰나? ㅋㅋㅋㅋ 칠곡 할매 대학은 나왔나여? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 윤석열 찍은 한심한 칠곡 것들 ㅉㅉ 비웃고 갑니다 풉 🤣💦""]",http://www.shinailbo.co.kr/news/articleView.html?idxno=1681854,https://n.news.naver.com/mnews/article/020/0003488752?sid=102
2023.03.30.,스포츠경향,,"‘웃음 더하기 연예인봉사단’, 어른신들 위한 봉사활동 펼쳐",,,http://sports.khan.co.kr/news/sk_index.html?art_id=202303301946013&sec_id=540101&pt=nv,http://www.nocutnews.co.kr
2023-03-30 11:18:03,충북일보,사회,"충주버팀목봉사단, 취약계층 주거환경개선","[     대전지방국세청 제공대전지방국세청(청장 이경열)은 대전 대덕구 소재 노인종합복지관에서 노인들을 대상으로 '사랑의 밥퍼'행사를 실시했다고 30일 밝혔다.대전지방국세청에 따르면 2017년부터 매달 마지막 수요일에 사랑의 밥퍼 봉사활동을 하고 있으며 코로나19로 인해 배식 봉사 대신 도시락 포장 및 배달로 대체해 활동하다 최근 방역지침이 완화돼 다시 배식 봉사활동으로 전환했다.지난 29일 열린 행사에는 이경열 청장과 대전지방국세청 직원들로 구성된 사회봉사단이 관내 복지관 노인 150여명에게 배식봉사활동을 진행하고 별도로 떡과 음료도 전달했다.이경열 청장은 ""지역사회 어르신들과 마음을 나눌 수 있어 기쁘고 지역사회 나눔 문화 확산에 기여할 수 있는 계기가 되기를 바라는 마음""이라며 ""앞으로도 매달 봉사를 이어갈 계획""이라고 말했다.한편, 대전지방국세청은 매년 명절때마다 관내 전 세무서가 동참해 복지시설을 위문하고, 전통시장 장보기 행사를 하고 있으며 매주 독거노인에게 도시락을 배달하는 등 이웃사랑을 실천하고 있다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn ]",['노인분들의 소중한 한 끼를 책임져 주셔서 감사합니다. 덕분에 노인분들이 세상의 따뜻함과 든든함을 얻었을 것이라고 생각합니다.'],https://www.inews365.com/news/article.html?no=758250,https://n.news.naver.com/mnews/article/079/0003753456?sid=102
2023.03.30.,시사저널,,"""유엔봉사단 가입하면 월급 500만원""…55명에게 9억원 뜯어내",,,http://www.sisajournal.com/news/articleView.html?idxno=260054,http://www.shinailbo.co.kr/
2023.03.30.,법보신문,,"국제라이온스협회, 단양노인복지관에서 합동 배식 봉사",,,http://www.beopbo.com/news/articleView.html?idxno=315270,https://sports.khan.co.kr/
2023-03-30 19:48:00,아시아에이,,"광주 광산구, 2023년 선배시민자원봉사단 비전 선포식 개최",[],[],http://www.asiaa.co.kr/news/articleView.html?idxno=120185,https://n.news.naver.com/mnews/article/144/0000876999?sid=106
