Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
A27면 3단,이데일리언론사 선정,,"""노인 빈곤 막아라""…노인인구 10%, 공익형 일자리 갖는다",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02614166635678784,http://www.edaily.co.kr/
2023-07-27 14:01:06,매일일보,정치,"[기고] 1,000만 노인 시대 고령층 경제활동 지원책 마련해야","[ 복지부, 제3차 노인일자리 및 사회활동 지원 종합계획 발표2027년까지 노인인구 10% 수준의 공익활동형 일자리 창출물가상승, 최저임금 수준 등 반영한 활동비로 빈곤 방지노인 장기 채용 시 기업에 인센티브 등 민간 일자리도 발굴[이데일리 송승현 기자] 정부가 고령화 사회를 대비해 2027년까지 우리나라 노인인구 10% 수준의 공익활동형 노인일자리를 창출한다. 민간형 노인일자리도 40% 이상으로 확대하는 등 고령화 시대 노후 빈곤을 막겠단 의지를 드러냈다.보건복지부(복지부)는 27일 저출산·고령사회위원회 운영위원회를 통해 ‘제3차 노인일자리 및 사회활동 지원 종합계획‘(2023~2027년)을 발표했다. 이번에 발표된 종합계획은 2027년까지 △공익활동형 노인일자리 노인인구의 10% 수준 확충 △사회서비스형·민간형 일자리 전체 노인일자리의 40% 이상 확대 등이 골자다.현재 우리나라는 초고령사회 진입 이후에도 노인 비중이 지속해서 증가하고 있다. 전체 인구 중 65세 이상 고령 인구 비중은 2020년 15.7%에서 2040년 34.4%로 오를 것으로 전망된다. 하지만 우리나라의 노인빈곤율은 2020년 기준 경제협력개발(OECD) 국가 평균 14.9%와 비교해 높은 수준인 약 39%로 노후 소득이 불안정한 상태다.문제는 현 제도상 정년과 연금 수급 연령 간 소득 공백기가 여전히 존재하다는 점이다. 은퇴 연령 고려 시 소득절벽 위험은 더욱 커질 가능성이 높단 소리다. 이에 따라 정부는 노후 소득을 얻을 수 있는 일자리 창출에 힘을 쏟겠단 계획이다.먼저 정부는 노인 노후 소득 보장과 함께 사회적 약자에게 서비스를 제공하는 공익활동형 일자리를 지속해서 추진한다. 독거·거동 불편 등 노인의 돌봄 사각지대를 보완하는 노노(老老)케어, 지역사회 수요가 높은 어르신 식사·청소·가사지원 등의 프로그램을 확대한다. 특히 공익형 일자리는 물가상승, 최저임금 수준 등을 반영한 적정 수준의 활동비를 지원할 예정이다. 정부는 올해 23만명 수준의 일자리를 2027년까지 31만명으로 확대하겠단 목표를 세웠다.아울러 다양한 사회서비스 영역의 일자리를 공공기관, 사회복지시설 등과 연계해 발굴한다. 예를 들어 초등학생 돌봄 사각지대 보완을 위해 노인일자리 참여자가 아침·저녁·틈새 돌봄 및 등·하교 안전관리 등을 해주는 식의 형태다. 민간영역 취·창업 지원도 강화해 신노년세대 맞춤형 일자리도 다양화한다.  끝으로 민간 노인일자리 활성화를 위한 계획도 내놨다. 기업이 노인 장기고용 달성 시 인센티브를 확대 지급하고, 노인(공급자)과 구인기업(수요자)이 직접 연결될 수 있도록 온라인 플랫폼을 개선한다. 이외에도 노인일자리법을 제정해 노인일자리 정책의 법적 기반도 마련할 방침이다.     ]","['전정부때 요 돈혀  일자리라고 그리 비판하더니 별반 다를게 없네', '노인도 좋은데, 청년 일자리 좀 다오.... 공기업과 민간 대기업 죽을 지경이다', '노인 일자리 창출은좋은데 골프장 케디는 아닌거 같습니다  소비자가 봉입니까 돈쓰며 운동가서 노인케디 눈치보고오게  골프장은 지원받겠지만 소비자는 돈쓰러가서 노인공경해야합니까', '굥이 축소시켰는데?', '', '젊은 애들복지는 없애고  차비겸 식대와 직업교육으로 밀어 붙이고 노인들은 공공일자리 확대 하는게. 맞다(젊은애들 복지를 늘리니까 결혼을 안한잔아', '']",http://www.m-i.kr/news/articleView.html?idxno=1036015,https://n.news.naver.com/mnews/article/018/0005539165?sid=100
2023.07.31.,SBS,,"[뉴블더] ""돈이 부족해""…일자리 구하는 노인 급증",,,https://news.sbs.co.kr/news/endPage.do?news_id=N1007289904&plink=ORI&cooper=NAVER,http://www.m-i.kr
2023.07.31.,기호일보,,갈수록 앞당겨지는 고령층 실업 · 빈곤율,,,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1042860,http://news.sbs.co.kr/
2023-07-31 15:59:45,뉴시스,사회,"이강선 서천군의원 ""초고령사회, 노인 빈곤 대책 마련하라""","[    일자리 이야기 하나 더 해보겠습니다.최근에 생활비가 부족해서 일을 구하는 노인이 크게 증가하고 있습니다.특히 80세 이상 취업자가 급증하는 추세입니다.보통 은퇴 후에 노인들이 제2의 인생을 살기 위해서 새로운 일자리를 찾는 경우도 있지만, 최근에는 말 그대로 먹고 살아야 할 노후 자금이 부족해서 젊을 때처럼 일자리를 구하고 있는 겁니다.지난해 우리나라 65세 이상 노인 취업자 수는 336만 5천 명입니다.지난 5년간 1년에 9%씩 늘어났습니다.특히 80세 이상 취업자는 같은 기간 16.5% 급증했습니다.전체 취업자 수가 1년에 0.9%씩 늘어나는 걸 생각하면, 엄청난 속도로 노인 취업자 수가 늘고 있는 겁니다.건강한 노인은 늘고 있지만, 연금 등의 수급액이 낮아서 노후 소득이 불충분하기 때문이라는 분석이 나옵니다.[이정환/한양대 경제금융학부 교수 : 노인 구직 인구가 늘어나는 것은 기본적으로 이제 노령화 사회가 빨라지고 있다는 측면, 그리고 이제 연금 보장액 같은 것들이 부족하다는 측면이 둘 다 있는 것 같습니다. 아무래도 이제 기대 수명이 늘어나고, 오래 소비 생활을 하고 생활비 같은 것을 벌어야 되는 수요가 늘어나게 되는데 아직 연금 제도가, 지금 세대에 대해서는 아직 정착된 세대가 아니어서 많이 부족한 상태라 결국은 어떠한 저임금 일자리라도 일자리를 찾아 나갈 수밖에 없는 형편이다(라고 볼 수 있습니다.)]실제로 노인들이 고용시장에 뛰어드는 이유를 물었더니, '돈이 필요해서' 일한다는 응답이 51%로 가장 많았습니다.'일하는 즐거움 때문에'라는 응답은 겨우 8%에 그쳤습니다.우리나라 65세 이상 고령자 빈곤율은 OECD 평균의 2배가 넘습니다.이걸 75세 이상으로 기준을 올리면, 2명 중 1명꼴로 빈곤한 상태라는 조사 결과도 나왔습니다.   ]","['노인들의 끈기와 열정에 박수를 보냅니다. 나이는 숫자일 뿐, 끊임없는 도전으로 새로운 일자리를 찾는 모습은 영감입니다. 경험이 더해진 당신들은 더 가치 있고 소중한 존재입니다. 당신의 노력과 원동력은 저희 모두에게 희망을 주고, 성장할 수 있는 기회를 제공합니다. 일자리를 찾는 여정에서 함께 노인들을 응원하고 격려해주세요. #노인일자리응원 #노년에도꿈을향해', '젊은이도 또 늙은이들도 빈곤한데  우리나라가 잘사는게\n맞나?']",http://www.newsis.com/view/?id=NISX20230725_0002389792&cID=10807&pID=10800,https://n.news.naver.com/mnews/article/055/0001077708?sid=102
11면 1단,국민일보,,"노인 일자리, 노인 인구 10% 정도로 늘린다",,,https://news.kmib.co.kr/article/view.asp?arcid=0924313886&code=11131100&cp=nv,http://www.kihoilbo.co.kr/
2023.07.27.,뉴스1,,"""노인 빈곤 막아라""…노인인구 10%, 공익형 일자리 갖는다",,,https://www.news1.kr/photos/view/?6127928,http://www.newsis.com
2023-07-25 15:06:21,1코노미뉴스,사회,[서정렬 칼럼] 1인 노인가구 증가와 '유치원' 아닌 '노치원'시대,"[ '공공형 노인일자리' 1시간 늘리는 방안 제안    이강선 서천군의원이 25일 제312회 임시회 본회의 5분 발언을 통해 초고령사회에 접어든 서천군의 노인 빈곤문제를 해결할 대책을 주문하고 있다. 2023. 07. 25 서천군의회 *재판매 및 DB 금지[서천=뉴시스]곽상훈 기자 = 이강선 서천군의원이 25일 초고령사회로 진입한 서천군의 노인 빈곤 해소방안 마련을 촉구했다.이 의원은 이날 제312회 임시회 2차 본회의 5분 발언을 통해 “올해 서천군의 노인인구는 전체인구 중 40%에 달하는 약 2만 명에 이르고 있다”며 이같이 주장했다. 이 의원은 “통계청의 ‘2005 고령자 통계’에 의하면 서천군은 2005년에 이미 초고령사회로 진입했다”면서 “초고령사회에 대한 준비가 미흡한 우리에게 노인인구의 빠른 증가는 노인 빈곤 문제로 이어지기 마련”이라고 지적했다노인 빈곤은 경제적 어려움은 물론이고 질병, 고독, 소외, 자살, 범죄 등의 증가로 이어질 수 있는 문제점을 안고 있다.이 의원은 폭염이나 폭우, 폭설 등으로 인한 자연재해에도 빈곤 노인이 더 취약하다고 말했다.이 의원은 “지역 노인 빈곤을 해소하기 위한 방안으로 정부의 제도개선과 더불어 서천군은 노인들이 활발한 사회활동을 할 수 있도록 맞춤형 일자리를 창출하고 제공해야 한다”면서 이를 위해 우선 2023년에 제공되는 2800여 개의 공공형 노인 일자리 근로시간을 하루당 4시간으로 1시간 늘리는 방안을 제안했다. 그는 전체인구의 40%에 달하는 노인인구에 대한 노인 빈곤 실태조사를 실시해 빈곤율과 빈곤의 유형, 빈곤의 원인과 문제점을 파악하고 그 해결 방안을 모색하고 대책을 마련할 것을 집행부에 주문했다. 이 의원은 “집행부는 이 같은 어려운 상황인식을 제대로 하지 않고 ‘어르신 국외 선진문화 탐방’ 사업을 추진하고 있다”면서 “지역사회의 우선순위는 어려움을 겪고 있는 노인을 위한 노인 빈곤 해소가 먼저”라며 서천군에 노인 빈곤 해소방안 마련을 촉구했다. ]",[],http://www.1conomynews.co.kr/news/articleView.html?idxno=24392,https://n.news.naver.com/mnews/article/003/0011994257?sid=102
2023.07.30.,아시아타임즈,,[사설] 노인들이 평생 일해야만 하는 현실…유일한 해법은 연금개혁,,,https://www.asiatime.co.kr/article/20230730500019,http://www.kmib.co.kr/
2023-07-28 04:06:20,브레이크뉴스,사회,"이강선 서천군의원, 초고령사회 노인 빈곤 해소방안 마련 촉구","[ 복지부, 2027년 120만개 목표    국민일보DB정부가 2027년까지 노인 인구 10%에 해당하는 120만개까지 일자리를 확충키로 했다. 일자리 종류도 다양화해 단순 일자리 대신 은퇴 전 경력을 활용할 수 있는 분야로 확대한다는 방침이다.보건복지부는 27일 저출산·고령위원회 운영위원회에서 ‘제3차 노인 일자리 및 사회활동 지원 종합계획(2023~2027년)’을 발표했다. 단순히 개수를 늘리는 수준이 아니라 다양한 일자리 수요에 맞춰 대응한다는 게 골자다. 한국은 2027년 전체인구 중 노인이 20%를 넘는 초고령사회로 진입할 것이라는 예측이 나오지만, 2021년 기준 노인빈곤율은 경제협력개발기구(OECD) 국가 평균(14.9%)보다 월등히 높은 37.6% 수준이다.복지부는 먼저 사회적 약자를 위한 서비스 지원에 필요한 인력을 노인 일자리로 활용한다는 계획이다. 일자리와 복지서비스의 선순환 구조를 만든다는 취지다. 취약 계층에 식사를 제공하거나 도시락을 배달하는 등의 서비스에 노인을 투입하는 방식으로 운영하는 일자리는 올해 23만명 수준이지만, 2027년까지 31만명으로 늘리기로 했다. 지역사회 아동이나 장애인을 돕는 등의 돌봄 수요 일자리 역시 14만명에서 27만명으로 확대한다. 이 같은 사회서비스형 일자리 비중을 올해 9.6%에서 2027년 15%까지 높이겠다고 했다.공익활동형 단순 일자리는 단계적으로 늘리되 활동 분야를 넓히기로 했다. 종이팩을 수거해 세척하거나 농약병, 폐그물 등을 분리해 재활용 자원으로 사용하는 등의 분야가 확대 대상이다. 또 노인 빈곤 문제 해결을 위해 최저임금 수준을 반영한 적정 수준의 활동비를 지급할 예정이다. 현재 활동비는 월 30시간 근로 기준 27만원이다. 정부는 또 ‘실버 택배’처럼 민간에서 노인 일자리를 발굴할 수 있도록 인센티브도 확대하기로 했다.이기일 복지부 제1차관은 “노인 일자리 정책은 초고령 저소득 어르신뿐 아니라 생산성이 높지만 노후 대비가 부족한 젊은 노년층에게도 필요한 정책”이라며 “노인 일자리가 좋은 일자리로 혁신할 수 있도록 적극 노력하겠다”고 말했다.   ]",[],http://www.breaknews.com/978542,https://n.news.naver.com/mnews/article/005/0001626856?sid=102
