Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.06.17.,브라보마이라이프,,고령 보행자 사고 OECD 1위… 노인보호 대안은?,,,https://bravo.etoday.co.kr/view/atc_view.php?varAtcId=13649,http://bravo.etoday.co.kr
2022.06.14.,경기일보,,‘노인일자리’ 사고 느는데… ‘안전교육’ 딱 한 번 4시간뿐,,,https://www.kyeonggi.com/article/20220614580137,http://www.kyeonggi.com/
2022.06.17.,전북일보,,"익산시북부노인종합복지관, 노인학대 및 교통사고 예방 캠페인 개최",,,https://www.jjan.kr/article/20220617580048,http://www.jjan.kr
A14면 TOP,동아일보언론사 선정,,보행중 사망 58%가 노인… 교통사고 많아도 ‘보호구역’ 설정 안돼,,,https://www.donga.com/news/article/all/20220608/113831313/1,http://www.donga.com/
2022-06-08 03:03:08,일요시사,사회,"고창군 성내면, 노인일자리 참여자 안전사고 예방교육","[ [보행자에 진심인 사회로]〈6〉허울뿐인 노인보호구역    지난달 31일 보행자들이 서울 동대문구 청량리 청과물시장 인근 횡단보도를 건너고 있다. 이곳은 노인보호구역으로 지정됐지만 보행신호가 짧아 초록불이 끝나기 전에 횡단보도를 건너지 못하는 노인들이 다수 목격됐다. 안철민 기자 acm08@donga.com지난달 31일 오후 서울 동대문구 경동시장 사거리. 점심시간 인파로 보도가 인산인해를 이루자 한 노인이 보도에서 내려와 차선 가장자리로 걷기 시작했다. 20m가량 떨어진 곳에서 우회전을 하던 버스 기사는 뒤늦게 노인을 발견하고 버스를 급정거했다. 버스와 충돌했다면 자칫 큰 사고로 이어질 뻔한 순간이었다. 이날 이 일대에선 아찔한 장면이 여러 번 목격됐다. 보도에 상점들이 설치된 탓에 노인이 대부분인 보행자들은 보도 밖으로 나와 차도로 걸어야 했다. 미처 속도를 줄이지 못한 오토바이는 아슬아슬하게 보행자를 피해 다녔고, 보행자를 뒤늦게 발견하고 급정거를 하는 차량도 빈번하게 목격됐다. ○ 노인보호구역 지정 엇박자노인보호구역(실버존)은 2008년부터 국내에 도입된 교통약자 보호 제도다. 인구 고령화로 노인 보행자 사고가 증가함에 따라 고령자들의 안전한 통행을 보장하기 위해 도입됐다. 노인보호구역으로 지정되면 차량 제한속도가 시속 30∼50km(지방자치단체별로 다름)로 설정되고, 주정차가 금지돼 노인 보행자의 안전성을 높일 수 있다. 구역 설정은 지자체 권한인데 노인복지시설 인근 위주로 지정하는 탓에 전통시장, 병원 등 실제 노인 보행자 사고가 자주 일어나는 곳이 노인보호구역으로 설정되지 않는 등 ‘엇박자’가 많다는 지적이 나온다. 경동시장 일대 역시 고령 보행자가 대부분이지만 노인보호구역으로 지정되지 않은 상태다. 이날 동아일보 취재팀은 경동시장을 비롯해 경기 수원시 영통구 베데스다병원, 서울 동작구 신대방 삼거리 약국 밀집지역, 서울 동대문구 청량리청과물시장 등 4곳을 점검했다. 이들 지역은 보행자 10명 중 7명 정도가 65세 이상 고령자인데, 청량리청과물시장을 제외한 3곳은 노인보호구역으로 지정되지 않았다.     현장에선 걸음과 반응속도가 느린 고령 보행자들이 주변 차량과 충돌할 뻔한 상황이 자주 반복됐다. 길을 건너던 중 보행신호가 끝나 횡단보도 한가운데 고립되는 모습도 종종 보였다. 현장에 동행한 유상용 삼성교통안전문화연구소 책임연구원은 “시장과 병원 등 실제 고령 보행자 사고가 많이 일어나는 장소와 노인보호구역이 일치하지 않는 경우가 상당히 많다”고 말했다. 노인보호구역으로 지정된 곳도 관리가 잘 안 되고 있었다. 경동시장에서 400m가량 떨어진 청량리청과물시장은 지난해 6월 노인보호구역으로 지정됐다. 하지만 노인보호구역 표지판 7개 중 4개가 가로수, 옥외광고판, 노점상 컨테이너 등에 가려져 제대로 보이지 않았다. 노면에는 표시가 있었지만 배색이 따로 없어 차량이 많은 시간대에는 노인보호구역임을 알기 어려웠다. 과속방지턱 같은 안전장치도 거의 없었다. 이 때문에 청과물시장 일대에선 빠르게 주행하거나 정차하려는 차량이 횡단보도를 건너는 고령 보행자와 뒤엉키는 등 위험한 상황이 수차례 목격됐다. 청과물시장의 한 상인은 “이곳이 노인보호구역이라는 말을 한 번도 들어본 적 없다”고 말했다.○ “스마트 횡단보도 등 안전시설 늘려야”    한국은 노인 인구 10만 명당 보행 중 사망자 수가 9.7명(2019년 기준)으로 경제협력개발기구(OECD) 회원국 중 가장 많다. 보행 사망자 중 만 65세 이상 노인이 차지하는 비중도 매년 증가하는 추세다. 행정안전부에 따르면 보행 사망자 가운데 노인 비중은 2011년 43.2%에서 2020년 57.5%까지 늘어났다. 전문가들은 노인 보행 사고 다발 지역을 보호구역으로 지정하고 철저히 관리해야 한다고 입을 모았다. 유 연구원은 “시장처럼 보도와 차도가 혼용되거나 보행자 동선이 단절되는 구간이 많은 장소에선 고령 보행자와 차량이 뒤섞일 위험이 크다”며 “이런 곳에 우선적으로 보호구역을 만들어야 한다”고 지적했다. 실제로 최근 10년간 고령 보행 사망자(8606명)의 76%가 도로를 횡단하거나 차도로 통행하던 중 사고를 당했다. 스마트 횡단보도 등 고령 보행자를 위한 교통안전 시설을 확충하고 안전의식을 제고해야 한다는 의견도 있었다. 스마트 횡단보도는 교통 약자가 주어진 시간 내에 횡단보도를 건너지 못할 경우 이를 감지해 자동으로 보행 신호를 연장하고 차량에 접근 경보를 보내는 시설인데 현재 서울 구로구, 울산 중구 등에 설치돼 시범 운영 중이다. 국무조정실은 노인보호구역 지정 범위를 확대하고 스마트 횡단보도와 중앙 보행섬(긴 횡단보도 중간에 설치된 안전지대) 등 고령 보행자 특화 안전시설을 확충하는 방안을 추진하고 있다. 유정화 행안부 안전개선과 사무관은 “무단횡단을 방지하기 위해 안전 펜스와 방지봉 등을 확충하고 관련 교육을 강화할 필요가 있다”고 밝혔다.  임재경 한국교통연구원 선임연구위원은 “고령 보행자는 활동 반경이 넓고 보행 목적과 경로가 다양해 보호구역만으론 실질적인 안전을 확보하기 어렵다”며 “보행섬 등 안전시설을 더 많이 설치하고 주거 지역의 교통 환경 전체를 점진적으로 개선하는 방향으로 정책을 마련해야 한다”고 제언했다. 특별취재팀 ▽ 팀장 강승현 사회부 기자 byhuman@donga.com▽ 김재형(산업1부) 정순구(산업2부) 신지환(경제부) 김수현(국제부) 유채연(사회부) 기자 공동 기획: 행정안전부 국토교통부 경찰청 한국교통안전공단 손해보험협회 한국도로공사 도로교통공단 한국교통연구원 삼성교통안전문화연구소교통문화를 개선하기 위해 독자 여러분의 제보와 의견을 e메일(lifedriving@donga.com)로 받습니다. ]","['무단 횡단이 제일 많을꺼야\n아무곳이나 건너가는 어르신들\n정말 무서워요.', '맨날 무단횡단하니까 비명횡사로 가는거 아니냐 ㅉㅉ', '', '자전거 사고 사망자 2/3 정도가 60대 이상 이라고 합니다. 뭔가 대책이 필요 합니다.', '보호구역이 아니라 무단횡단이 제일 큰 문제지. 차 사이로 갑자기 튀어나오는데 노인이라 그냥 죽어버리면 운전자만 수천만원 물어주든가 깜방가는거. 노인들 대상으로 캠페인을 하든가 해라. 시간도 많은데 빨리가려다가 저승길 빨리간다고', '', '', '', '횡단보도 있는 곳마다 지하도를 만들어서 지하로 횡단하게 하고 횡단보도를 없애는 것이 좋겠습니다. 그 지하도마다 에레베이트를 설치해서 국민들이 사용이 편리하도록 하는 것이 좋겠습니다.', '']",https://www.ilyosisa.co.kr/news/article.html?no=235270,https://n.news.naver.com/mnews/article/020/0003432973?sid=102
2022.06.07.,중부일보,,"""노인 안전사고 예방""…의정부시 행복마을관리소, 어르신 외출 시 안전 수칙 ...",,,http://www.joongboo.com/news/articleView.html?idxno=363544656,http://ilyosisa.co.kr
2022.06.06.,MBC,,"새벽운전하다 신호위반 사고 낸 노인‥법원 ""중대 과실 아냐""",,,https://imnews.imbc.com/news/2022/society/article/6375804_35673.html,http://www.joongboo.com
2022.06.26.,새전북신문,,"고창 성내면, 노인일자리 안전사고 예방교육",,,http://sjbnews.com/news/news.php?number=749342,http://imnews.imbc.com/
2022-06-06 09:50:24,장애인신문,사회,"적십자 서울지사, 폐지수집 노인 '교통사고 예방' 캠페인 전개","[     자료 제공: 연합뉴스새벽에 신호위반 사고를 낸 뒤 숨진 노인에게 중대 과실을 적용해 보험금을 환수하는 건 부당하다는 법원 판단이 나왔습니다. 서울행정법원 행정1부는 교통사고를 내고 치료를 받다 숨진 노인의 유족이 국민건강보험공단을 상대로 부당이득금 환수 고지 처분을 취소해달라며 낸 소송에서 유족의 손을 들어줬습니다. 재판부는 ""국민건강보험 제도는 국가가 국민에게 제공하는 가장 기본적인 사회안전망""이라며 ""보험급여 제한 사유가 되는 '중대한 과실'이라는 요건은 엄격하게 해석해야 한다""고 판단했습니다. 그러면서 ""사고 당시 77살의 고령이었던 노인이 난청과 초기 백내장을 앓았던 만큼, 운전 중 돌발상황에 대처하거나 시야를 확보할 수 있는 능력이 뒤떨어져 있었을 것으로 보인다""고 덧붙였습니다. 이 노인은 지난 2020년 5월 새벽에 승용차를 운전하다 빨간 불에 교차로에 진입해 다른 차량을 들이받는 사고를 낸 뒤 의식을 잃고 치료받다 지난해 8월 숨졌습니다. 이후 국민건강보험공단은 해당 사고가 이 노인의 중대 과실로 발생했기 때문에 노인 측에 지급한 보험금 5천5백여만 원을 환수하겠다고 결정했는데, 유족이 이에 불복해 소송을 냈습니다. ]","['백내장에 난청이 있는 노인인데 면허가 살아있다는게 대단하네', '이제신호위반해서사고나면12대중과실아니라네요~~', '', '노인 만을 위한 나라 이게 헬조선 ㅋㅋ', '그렌데 그것도 새벽에 운전을 했다고?']",http://www.welfarenews.net/news/articleView.html?idxno=82848,https://n.news.naver.com/mnews/article/214/0001200939?sid=102
2022.06.06.,한국일보,,신호위반 교통사고 노인에게 보험급여 5500만 원 환수? 법원이 제동 걸어,,,https://hankookilbo.com/News/Read/A2022060610170002587?did=NA,http://www.sjbnews.com/
