Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.05.31.,뉴시스,,"인덕의료재단, 국내 첫 재활형 의료복지복합체 완성",,,http://www.newsis.com/view/?id=NISX20210531_0001458560&cID=10810&pID=10800,http://www.newsis.com
2021-05-31 09:33:14,뉴스1,사회,"울산 동구, 거동불편 노인 성인용보행기 구입비용 지원","[ 한 단지에 급성기재활병원·요양병원·요양원 운영    인덕의료재단 *재판매 및 DB 금지 [안동=뉴시스] 김진호 기자 = 의료법인 인덕의료재단은 국내 처음으로 급성기재활병원, 요양병원, 요양원 등 3개 의료기관을 한 의료단지 안에서 동시에 운영하는 '재활형 의료복지복합체'를 완성했다고 31일 밝혔다.인덕의료재단에 따르면 노인의료 선진국인 일본은 개호보험(간병보험) 혜택이 있어 환자가 필요할 경우 시설을 선택할 수 있는 의료복지복합체가 활성화 돼 있다.하지만 우리나라는 한 단지 안에서 회복재활을 담당하는 급성기 재활병원, 유지재활과 중증환자 치료를 담당하는 요양병원, 경증환자 위주로 돌봄을 담당하는 요양원 등 3개 의료기관이 동시에 운영되는 것은 이번이 처음이다.인덕의료재단의 복주회복병원은 뇌척수(중풍, 뇌경색 등) 환자 발병 후 1년 이내 환자를 집중 재활치료를 통해 가정으로 조기 복귀시키는 것을 목표로 한다.복주요양병원은  뇌척수 환자 발병 후 1년 이후에 필요한 재활유지 기능과 중증환자(와상환자) 치료 기능을 수행한다.복주요양원은 치료 기능이 필요 없는 경증환자에게 돌봄서비스를 제공한다.환자들은 의료적 필요와 요구도에 따라 이들 3개 의료기관을 자유롭게 선택할 수 있다.재활 의료복지복합체는 기존 재활병원과 요양병원, 요양원이 서로 경쟁하지 않고 각자 기능에 충실하면서 상호 보완적으로 상생할 수 있는 모델이다.실제 복주요양병원만 운영될 때는 간병보험이 적용되지 않아 월 60만 원의 간병비(6대 1 공동간병 시) 전액을 환자가 부담해야 했다.따라서 재활치료가 필요한 환자는 진료비와 간병비를 포함해 월 300만 원, 일반환자는 월 120만 원 가량을 부담해 왔다.그러나 지난해 9월 급성기재활병원인 복주회복병원이 개원하면서 간병보험인 간호간병통합서비스가 적용돼 병원비가 월 300만 원에서 50만~60만 원 대로 대폭 줄었다.이달에는 복주요양원이 운영을 시작하면서 간병보험인 장기요양보험이 적용돼 병원비가 월 120만 원에서 60만 원 이하로 낮아져 환자 부담이 크게 감소됐다.인덕의료재단 관계자는 ""향후 급성기 재활병원인 복주회복병원을 140병상으로 증설하고, 복주요양원도 100병상으로 증설할 계획""이라며 ""환자 혜택은 증가시키고 의료비 부담은 감소시킬 수 있도록 노력하겠다""고 말했다.☞공감언론 뉴시스 kjh9326@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기&lt;ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지&gt;   ]",[],https://www.news1.kr/articles/?4323524,https://n.news.naver.com/mnews/article/003/0010524160?sid=102
2021.05.31.,연합뉴스,,"""3년 기다려도 못 들어가""…日노인요양시설 대기자 33만명",,,http://yna.kr/AKR20210531077800073?did=1195m,http://news1.kr/
2021-05-31 14:57:29,한국일보언론사 선정,사회,'대박 환상'에... 코인 사기 6080 노인까지 덮쳤다,"[     울산 동구청사 /뉴스1 © News1(울산=뉴스1) 이윤기 기자 = 울산 동구는 보행이 어려우나 장기요양등급을 받지 못해 복지사각지대에 놓인 거동불편 저소득 노인을 대상으로 성인용보행기 구입비 지원 사업을 실시한다고 31일 밝혔다.동구는 올해 6월부터 7월까지 두달간 신청을 받아 8월중 대상자를 선정한 뒤 9월부터 10월까지 성인용보행기 구입비를 지원할 계획이다. 지원대상은 장기요양등급 외 A, B 판정을 받은 지역 거주 만 65세 이상 노인 중 '국민기초생활보장법'에 따른 생계, 의료, 주거급여 수급자 또는 기타 의료급여 수급권자 및 차상위 계층이며 소득수준에 따라 1인 18만원까지 보행기 구입비용을 지원한다.다만 기타 지원 사업을 통해 성인용 보행기를 지원받은 경우는 지원이 불가능하다.지원을 희망하는 대상자는 주민등록 주소지 동 행정복지센터에 신청하고 접수 후 동구청 사회복지과에서 심사를 통해 지원자를 선정, 선정된 자는 보행기를 구입한 후 영수증과 함께 지원청구서를 제출하면 현금(계좌이체)을 지원받게 된다. 동구 관계자는 ""해당 사업을 통해 거동불편 어르신들에게 보행편의를 제공함으로써 노인들의 사회참여를 확대하고 실질적 복지 혜택 향상에 기여할 것으로 기대가 된다""고 전했다.bynaeil77@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&amp;BBC 한글 뉴스 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지   ]",[],https://hankookilbo.com/News/Read/A2021052710460005694?did=NA,https://n.news.naver.com/mnews/article/421/0005383379?sid=102
2021.05.30.,IT조선,,"KT, 노인성 삼킴장애 진단 돕는 AI 연구",,,http://it.chosun.com/site/data/html_dir/2021/05/30/2021053000946.html,https://www.yna.co.kr/
2021-05-31 11:51:54,보건뉴스,세계,"장애인부모연대, 의료기사법 개정 법률안 지지 선언","[ 고령인구 2040년에 정점…사회보장급부 비용 2천조원 육박 전망    일본 도쿄에서 한 고령자가 휠체어를 타고 이동하고 있다. [연합뉴스 자료사진](도쿄=연합뉴스) 이세원 특파원 = 초고령사회 일본에서 노인을 돌볼 인력·시설 부족이 매우 심각한 상황에 달했다.    일본의 광역자치단체 소재지를 비롯한 74개 주요 도시 가운데 개호(介護·환자나 노약자 등을 곁에서 돌보는 것) 시설 정원을 확대한다는 최근 3개년 목표를 달성하지 못한 지역이 약 82％에 해당하는 61개에 달했다고 요미우리(讀賣)신문이 31일 보도했다.    보도에 따르면 이들 74개 시구(市區)의 개호 시설 정원을 올해 4월까지 3년에 걸쳐 3만9천900명 늘릴 계획이었으나 2만9천500명 정도를 증원하는 데 그쳤다.    목표와 비교하면 약 1만400명이 부족한 상황이다.    목표 미달 시구 중 18개 지역은 정원이 계획의 절반 이하에 머무를 정도로 실적이 저조했다.    지자체들은 시설 사업자가 없다(56％), 시설을 지을 토지가 부족하다(43％), 인력이 부족하다(32％)는 것 등을 어려움으로 꼽았다.    도쿄 에도가와(江戶川)구의 '특별요양노인홈'(노인복지시설의 일종) 담당자는 ""입소 순서를 기다리고 있는 사람이 이미 461명이다. 3년 이상 기다리고 있는 사람도 적지 않다""라고 말했다.    이 시설의 정원은 120명인데 돌봄의 필요성이 큰 순서대로 수용 우선순위가 정해진다.    도쿄의 한 노인요양시설에서 직원이 입소자를 대하고 있다. [연합뉴스 자료사진]80세 이상, 독거, 치매 등의 조건이 갖춰지지 않으면 입소하기 어려운 것이 현실이라고 요미우리는 전했다.    후생노동성에 따르면 특별요양노인홈에 들어가기 위해 대기하는 이들은 2019년 4월 기준 전국적으로 약 32만6천명에 달했다.    특별노인요양홈은 후생노동성이 지정하는 사회복지법인이 운영하는 시설로 비용이 저렴한 것이 특징이다.    돌봄의 필요성이 상대적으로 낮고 이용료는 더 비싼 시설인 유료 노인홈 등에 들어가기 위해 기다리는 이들을 포함하면 노인복지시설 입소 대기자 수는 더 많을 것으로 추정된다.    최근에는 신종 코로나바이러스 감염증(코로나19)이 확산해 집단 감염 방지 등 과제가 대두하면서 노인 돌봄 시설의 대응력 부족은 더욱 심각해졌다.    고령자를 돌보고 부양하기 위한 사회적 비용은 계속 늘고 있다.    일본의 65세 이상 고령 인구는 2040년에 정점에 달할 전망이며 연금, 의료, 개호 등을 위한 사회보장급부 비용은 2040년에 약 190조엔(약 1천930조원)으로 늘어날 것으로 예상된다. 이는 2018년 비용의 약 1.6배 수준이다.    sewonlee@yna.co.kr▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]'코로나백신 쉽게 맞는법'…도움될까?▶제보하기&lt;저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지&gt;   ]","['남일이 아닌데??이건,,,', '이 미래 사업을 우리나라 어느 단체들이 해쳐먹고 또 준비하고 있을까요', '저희 나라도 이미 고령화에 진입된 것으로 알고 있습니다. 미리미리 대비를 해서 한분이라도 소외되는 일이 없도록 많은 노력을 기울어야겠습니다.', '왜구 관찰하고 조심하자 잘못하면 왜구처럼 된다.', '코로나 시국에는 어르신이 가장 위험하다고 느끼고 있습니다. 고령자 천국인 일본은 말할것도 없죠. 모임금지, 접근금지를 설정한 후 의료비 과지출 순으로 보내고 있는지 의심이 갑니다.. 살릴 수 있는 환자는 살려야 하는데도.이전처럼 하지 않는 것 같고요', '걱정할 곳은 초중고 교사들, 교직원들과 지방 대학 교수, 대학 직원들이겠지. 교육 업계는 초저출산으로 수십년간 폐교와 인원 감축이 지속될 것이고 반대로 요양시설은 수십년간 전성기를 유지하겠지..', '', '한국은 노인들을 보낼 시설 자체가 거의 없지.. 결과적으로 한국노인들의 자살율은 어마어마한 수준.. 그냥 한국사회는 노인들을 죽여서 해결하는 중..', '현 2021년기준 1952년생~1983년생이 살아있는 동안은 우리 한국도 이제 본격적으로 요양시설 전성기로 진입했다.  이미 고령사회기도 하고. 적어도 2021~2050년까지는 우리 한국의 요양시설들이 먹고 살 걱정은 없겠지...', '이래서 아베스가허수아비가  1병상을 줄이고  65세이상 노인은 입원안받아준다   2인구감소시킨다 3  노인백신접종을  기피한다   고로   일본은   평생  충성만했던   단카이노인들에게   지옥되었구나']",http://www.bokuennews.com/news/article.html?no=204213,https://n.news.naver.com/mnews/article/001/0012426918?sid=104
2021.05.31.,금강일보,,의료쇼핑 하다간 보험료 폭탄,,,http://www.ggilbo.com/news/articleView.html?idxno=850023,http://www.hankookilbo.com/
2021-05-31 04:31:07,의약뉴스,경제,"전국장애인부모연대, 의료기사법 개정 법률안 지지 선언 外","[ [무법지대 코인판, 이대로는 안 된다]&lt;상&gt; 대박 환상 속 판치는 사기BTS·뽀로로 앞세워 노인 유혹하는 A업체 르포""120만 원을 480만 원으로"" 말에 현혹    가상화폐 사업 등에 대한 투자를 명목으로 일반투자자를 모으고 있는 A업체 사무실 모습. 박경담 기자#. 지난 20일 오후 2시 서울 선릉역 인근. 직장인 틈 속으로  노년층의 발걸음이 한 빌딩으로 향했다. 다단계 형태의 각종 코인 투자를 주선하는 A업체가 13층부터 15층까지 사용하는 곳이었다. 1층에서 엘리베이터 2대를 기다리는 사람도 내리는 사람도 모두 60~80대로 보였다. 양손에 쥔 장우산 2개를 지팡이 삼아 힘겹게 걷는 할머니도 있었다.80대 여성 B씨가 기자에게 가까운 은행을 물었다. 120만 원(1구좌)을 이 업체에 투자했는데 240만 원을 더 넣으려 은행을 찾는다고 했다. 그는 주택청약통장을 해지해 돈을 마련했다. A업체가 어떤 매력이 있냐고 묻자 ""그건 잘 모르겠고 1구좌를 만들면 1년 뒤 480만 원이 된다""고 답했다. 기자라고 밝힌 뒤 '투자를 숙고해달라'고 권유하자 ""자네도 얘기 듣고 한번 해 봐""라는 대답이 돌아왔다.코인 대박 유혹에 몰리는 노년층B씨와 14층에 내려 5개 상담실 중 '리치클럽' 명패가 붙은 방으로 들어갔다. 박 지사장이라는 50대 여성이 기자를 맞았다. 그는 소개집을 넘기면서 A업체는 콘텐츠, 부동산 사업 등으로 기반이 튼튼하고 △여행 코인 △박람회 코인 △의료 코인을 상장 준비 중이라고 설명했다. 박 지사장에 따르면 A업체 대표는 33개 코인을 상장시킨 가상화폐 전문가였다.A업체에 대한 의심이 굳어진 건, '방탄소년단과 '뽀로로' 단어 때문이었다. 박 지사장은 ""방탄소년단을 활용한 디스커버 서울패스에 100억 원을 투자했다""고 강조했다. 서울관광재단이 주관하는 디스커버 서울패스는 외국인이 서울의 주요 관광시설을 일정 기간 이용할 수 있는 카드다. 그는 중국 인터넷방송 사업자와 뽀로로의 중국 방송 송출 계약도 맺었다고 했다.하지만 그의 말은 모두 거짓이었다. 서울관광재단과 뽀로로 제작사인 아이코닉스에 확인해 보니 모두 A업체와 무관하다고 손사래 쳤다. 서울관광재단은 ""지난달 이 업체에 내용증명을 보냈고, 방탄소년단 디스커버 서울패스를 홍보에 활용하지 않겠다는 약속도 받았다""고 밝혔다.    28일 오전 국내 한 가상화폐 거래소에서 비트코인이 4,500만 원대에서 거래되고 있다. 연합뉴스박 지사장은 ""투자비로 1구좌를 만들면 1주에 10만 원씩 48주 동안 꼬박꼬박 입금된다""고 설명을 마쳤다. 그가 ""1명을 소개하면 한 달에 10만 원씩 1년 동안 준다""고 덧붙이자 B씨가 불쑥 ""계약서를 쓰고 가라""면서 박 지사장보다 더 적극적으로 투자를 유도했다.B씨를 뿌리치고 나와 다른 층을 훑어봤다. 3개 층에 모인 노인을 모두 더하면 60명은 족히 돼 보였다. A업체를 빠져나오면서 만난 다른 80대 여성 C씨는 이미 다단계로 3,000만 원이 물린 상태였다. 그는 ""집에만 있으면 심심해서 나왔고 여기 있는 사람 다 나 같을 것""이라며 ""의심만큼 믿음도 필요한데 여기는 신뢰가 간다""고 말했다. 이 업체 대표인 D씨는 다단계 사기업체라는 일각의 지적에 대한 입장을 묻자 대답을 피했다. 가상화폐 사기, 작년 3배 급증가상화폐 광풍을 틈타 각종 코인을 앞세운 사기가 기승을 부리고 있다. 최근에는 코인값 급락으로 20, 30대 중심의 투자 실패 사례가 주로 부각되고 있지만, 아예 처음부터 피해를 예고하는 '코인 사기'도 적지 않다. 경찰청에 따르면, 지난해 가상화폐 관련 사기 적발 건수는 333건으로 전년보다 3배 넘게 늘었다. 특히 60~80대 피해자가 많은 코인 사기는 대부분 '폰지 사기' 형태다. 고수익 보장을 미끼로 유인한 신규 투자자의 투자금으로 기존 투자자에게 줄 이자나 배당금을 돌려 막는 다단계 사기다. A업체처럼 세상에 없는 코인을 가상화폐 거래소에 상장할 것처럼 속이는 사례뿐 아니라 실제 상장된 코인으로 사기를 치는 경우도 있다. 코인 사기가 가상화폐 거래소 안에서도 밖에서도 먹잇감을 노린다는 의미다.    최근 연도별 가상화폐 사기 적발 건수대전에 사는 60대 남성 E씨는 상장 코인으로 피해를 봤다. 그는 지난해 교회 목사를 통해 상장 코인을 소개받았다. 다단계 상위 모집책이 E씨에게만 저렴하게 이 코인을 팔겠다고 유혹했다. 상위 모집책은 1년 뒤 코인을 매도해야 한다는 '락업 조항'을 조건으로 제시했다. 하지만 락업이 풀린 직후, 코인은 헐값이 돼 팔아도 큰 손해를 볼 수밖에 없는 상황이었다. 자신처럼 1년을 기다렸다가 코인을 내놓은 사람이 한꺼번에 몰렸기 때문이다. 코인 사기가 활개칠 수 있는 이유는 크게 두 가지다. 우선 다단계 사기 수사가 더딘 점을 악용한다. 다단계 사기는 피해자가 피해 사실을 자각할 때까지 시간이 걸린다고 알려져 있다. 피해자가 언젠가 목돈을 만질 수 있다는 기대를 부여잡고 있어 수사에 비협조적이기 때문이다.수사 속도가 더 빠른 유사수신행위 혐의는 코인의 법적 정의가 명확하지 않아 적용이 어렵다. 현행법상 원금 및 고수익 보장을 내건 업체는 유사수신행위로 처벌받는다. 하지만 금전이 아닌 코인을 주고받았을 경우 처벌 여부는 구체적인 기준이 아직 없다. 이런 제도상 구멍은 정보에 뒤처진 60~80대를 속이기 딱 좋은 여건을 만들어냈다.자신의 사업체를 함부로 홍보에 활용해 다단계 코인 업체 문제를 파기 시작한 황승익 한국NFC 대표는 ""과거 옥장판을 팔던 다단계 업체가 종목만 바꿔 코인으로 넘어왔다고 보면 된다""며 ""사기꾼은 부동산 등 투자 정보에 소외돼서 손해를 봤다는 노인층을 파고드는데 보이스피싱처럼 코인도 사기 유형을 꾸준히 알려 초기에 잡아내야 한다""고 말했다.박경담 기자 wall@hankookilbo.com▶내가 먹는 한끼 밥상, 탄소 얼마나 나오나▶생수병 '절취선 라벨' 환경의 적이라고요?▶한국일보닷컴 바로가기 ]","['여기서도 목사놈.이. 사기치네 ㅠ\n목사놈 다. 없애야 한다.', '사기치고  몇십억  꿀꺽하고   빵가서  1~2년  살고    나오면  돼니  나라에  온갖  사기꾼들  천지다...  이게 나라냐..  참', '', '사기치기에 최적화된 나라냐 ? 저런것들좀 잡아쳐넣어라 젠장ㅡㅡ', '사기는 달콤한 유혹을 한다', '교회 목사가 코인소개~  요새 목사들 부업도 하나보네~ \n예수가 그리 가리키디?', '', '강남 선릉역은 다단계 코인의 메카! 우리 사무실에도 입주해 있고 , 옆건물은 아예 통째로 임대해 성업중인데, 허구헌날 집기가 들락날락하고 무슨 노인대학같음!  그연세에 무슨 부귀영화를 누리겠다고  몸도 제대로 가누지못하고 지팡이에 의지해 비틀대면서 건물에 들어서는거보면 탐욕은 죽음도 불사한다는 생각!', '투자자 지들끼리  서로 남의 돈 공짜로 먹겠다는 어리석은 탐욕이 사기꾼들의  좋은 먹이감이 되는거다   우리나라는 주식도 투기에 가깝다만  코인은  그냥  난전거리의  야바위다', '', '욕심때문에', '코인만 그렇까?? 이나라 자체가 지금 국민들 세금 등쳐먹구만 무슨 ㅋㅋ', '', '두번째 사례는 패스토큰이며 아직도 현재 진행형입니다. 다단계코인은 피해자겸 가해자가 되는 경우가 많기 때문에 더 큰 피해가 발생합니다.', '', '이런 조건이면 뭐하러 투자자모집하냐?\n내 주변인들한테만 하지~~\n조금만 생각하면 사기인데~~~다들 돈에 눈이 멀어서~~\n이러다가 사기당하고나서 나라탓하고 남탓하지~~', '비상장코인이나 4대거래소외 투자는사기다.비상장코인을 해외거래소에상장되었다고 속이는신종다단계수법.조심하셔요...점점지능화되는 사기에현혹되지마세요.5.6.7.80대분들...사기당하면 바로소송해야...반본전...이라도...', '', '어르신들. 자식들한테 물어보고 투자 하셔요..', '단 한건만 소개해도 반드시 처벌해야 합니다.판을 벌이는 사람도 나쁘지만 알면서 유혹하는 사람도 나쁨니다.', '본인의 욕심에서 비롯된 자업자득이니 괴로워마시길...', '에고..이 양반들아..그렇게 좋은거면 가만히 있는 노인네들한테까지 순서가 가겠나ㅜㅜ', '당하는  인간들이    바보지', '일확천금에 눈이 멀었네', '이거 시사직격이나 피디수첩에 나왔었는데 아직도 당하는 사람이 있나보네 ㅉ', '불쌍한 참고사진 빗썸 ㅋ', '벌써 7년전에 중국에서 유행하던 사기다.', '사기꾼들 처벌수위 올리자 저 무지한 피해자들이 우리 할머니고 할아버지고 아버지이며 어머니이다. 사기치는 OOO은 금액에 비례해서 10년이상 처벌해야한다', '하여튼 한국은 사기공화국 법적 처벌도 미약하니 활개치지', '', '자기돈으로 당하겠다는데 누가 말리나.', '유령법인 코인거래소사기 방법과 리스트 참고하시고 한 분이라도 피해가 덜 했으면 합니다.\n\nhttp://naver.me/GBybiuc6\n\nhttp://naver.me/GfPjj0HY\n\n코인거래소 사기 사이트 gearing-opt.com\n\nhttps://m.blog.naver.com/songhousing/222601681555?afterWebWrite=true', '아니 비트코인 2천만원간다할때 다른거 안사고 비트나 이더만 샀어도 돈복사 오지게했겠구만ㅋㅋㅋ 꼭 꼭대기에서들와서 곡소리내는 애들이 있음. 덕분에 돈번다', '하루밤에 부자될려는 욕심에 사기치고 사기당하는 한국인들 중국사람 손가락질할 자격없다 ㅋ', '', '폰지 사기 1등 다단계 불법다단계1등  알트코인 거래1등  보이스피싱 1등  말도안되는 사기 당하는사람 1등인 나라. 좀 똥인지 된장인지 찍어먹어봐야하는 대한민국  사기당하면  사기당했다고 **하는 대한민국  내로불남의 대한민국  좀 생각좀하고 삽시다.', '미국에서 총기사고가  문제가 되는데도  총기 규제가 않되 듯이  국회고 청와대고 정치하는 것들 전부  직 간접적으로 이런 사기꾼들과  연결되어  있어 법개정도  입법도 안되고있어  저런 사기 꾼들이 설쳐대고 있는것임 다 공생관계에있는  똑 같은 놈들', '보험 제도 도입하자..  허경영 \n주식시장 1억원 미만 거래세 면제해야 공매도 폐지해야 한다.', '진짜사기군들은 더블어민주당에 다 모였다\n사기군들이 사기군을잡을수있나? 같은 파트너인데', '공짜따윈 없다 식키들아', '', '', '', '돈 잃고 공부했네. 70평생 살았어도 공짜는 없다  라고 생각해라. 나가튼 중졸은 왜 코인에 투자안하고 계속 은행에 적금과 보관만 할까 덜쓰고 안쓰고 모으는것이 6~70넘어 노후대비 허는기라.일한만큼 받는기라 내는 공짜 안좋아한다. 댓가가 따르는기라', '한번도 경험못한 세상을만드는 쩝쩝이', '노욕이 부른 탐심!\n투자누 내가 직접 공부하고 알아도 손해를 볼수있는 것인데.. 타인의 말에 귀얇게 판단력 상실로ㅜㅜ\n비우고 살 나이에 넘 탐욕으로 움켜쥐는 삶들은 보노라면 혐오스러운 마음까지 들때가 있다!', '다단계, 보이스피싱을  왜  박멸하지못하나?\n 대통령, 국회의원들의 강력한의지만있다면  충분히 가능하다고본다.   상기범죄단체조직 수괴는  무기형이상,  조직원들은 최소 20년이상형을  법으로 정해놔봐라  하루아침에  없어지지.', '', '매번 반복적인 숫 법  왜 국민들은\n\n숙을까   마지막중착역숫법형태는  패가망신', '걍 코인 잘 모르면 하지 말던가 정 하고싶으면 비트코인만 해라... 좀더 욕심나면 이더리움까지 하고.. 괜히 잡코 건드렸다가 -80%찍고 피눈물난다 ㅋㅋㅋ', '무슨 노인들이 돈욕심에', '시중금리 몇배나 준다는데 의심없이 욕심에 눈멀어 사기당한거 솔직히 하나도 안불쌍함.', '예산70  아껴서 18세부터  매달평생150~250만원씩지급해주겠다는 분은 허경영 한분뿐이고 다 거짓말이다', '한참 고점에 찌라시들이 기사를 남발하는 바람에 이렇게 된거지. 사주가 그때 코인을 샀는지', '', '장삿꾼들', '', '그래서 여기 신고했나요?', '사기꾼들 절대 안잡혀 간다', '먹고 살만하신 분들 사회에 기부 하신다고 생각하고 그렇게 하세요.', '한탕주의   내가사기치면쳤지돈절대안준다', '닐니리 강산에 사기꾼 판친다.정부라는게 있는건지 없는건지 어설픈 정책에 사기꾼만 양성되네', '', '사기꾼들은 다 깜방으로', '투전판에 국민을 내몰고도 아무런 생각이 없는 정부... 참 한심하다.', '웃기지마.인생 경함많은 노인들이 사기인거\n눈탱이 치는걸 왜 모르겠느냐?', '얖날을 훤히 아는 허경영이 33년전에 33공약 만들어 노후수당 70만원  부부140만원 지급해야한다고 주장했다. 허경영이 옳았다', '근데 저정도 지능이면 코인 사기가 아니더라도 다른 고 사기 당했을 지능인데...물론 잘못은 사기 치는 넘들이 하는거지만', '']",http://www.newsmp.com/news/articleView.html?idxno=215191,https://n.news.naver.com/mnews/article/469/0000607660?sid=101
2021.05.30.,동아일보언론사 선정,,"70세 첫아이 낳는 드라마, 노인 안락사 음모 소설 [서영아의 100세 카페]",,,https://www.donga.com/news/article/all/20210530/107174684/1,http://it.chosun.com/
2021.05.29.,프레시안언론사 선정,,"'원격의료'가 말해주지 않는 것들...""방문진료가 우리의 존엄을 지켜준다""",,,https://www.pressian.com/pages/articles/2021052618324692156?utm_source=naver&utm_medium=search,http://www.bokuennews.com/
