Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.04.12.,연합뉴스,,"공실 많은 서해 백령도 공공임대주택, 관사 임대로 돌파구",,,https://www.yna.co.kr/view/AKR20230412095800065?input=1195m,https://www.yna.co.kr/
2023-04-12 13:46:36,아시아투데이,사회,"시흥시, 주거 취약계층 복지 강화…'반지하주택 침수 이력제' 도입","[     백령도 공공임대주택[인천시 옹진군 제공. 재판매 및 DB 금지](인천=연합뉴스) 최은지 기자 = 입주 5년째에도 공실률이 높은 서해 최북단 백령도 공공임대주택을 관할 기초자치단체가 관사로 활용하기로 했다.    인천시 옹진군은 백령면 진촌리 백령공공임대주택의 공실 23세대를 2025년 초까지 2년간 직원 관사로 임차하는 계약을 최근 맺었다고 12일 밝혔다.    이 공공임대주택에는 인근 백령종합사회복지관과 농업기술센터 등 공공기관 직원들이 지난달께 입주한 상태다.    주택 임대인인 한국토지주택공사(LH)는 세대당 1천200여만원의 보증금을 받고 공실을 관사로 빌려준다.    LH는 또 입주 부담을 좀 더 낮추고자 세대당 12만원가량인 월세는 관사 임차 계약 후 1년간 받지 않기로 했다.    앞서 국비 100억원을 들여 지어진 이 임대주택은 2018년 12월 첫 입주 후 관사 임차가 끝난 이달 현재도 72세대 중 19세대(26.38%)가 비어 있다.    지난해까지도 이 주택 공실률이 90%에 육박하자 일각에서는 매달 공동 수도료와 승강기 보수비 등 건물 유지·관리 예산만 낭비된다는 지적도 나왔다.    LH는 당초 이 주택을 65세 이상 노인만 입주할 수 있는 고령자복지주택으로 지었지만 입주자 나이 기준을 성년 이상으로 낮춰 일반 영구임대주택으로 전환했다.    옹진군 관계자는 ""장기화된 임대주택 공실 문제를 해결하고 인근 공공기관 직원들의 편의도 개선할 수 있도록 LH 측과 관사 임대차 계약을 맺었다""고 말했다.    chamse@yna.co.kr ]",[],https://www.asiatoday.co.kr/view.php?key=20230412010006678,https://n.news.naver.com/mnews/article/001/0013875903?sid=102
2023.04.02.,매일경제언론사 선정,,MB도 신혼 3년간 8번 이사했다...“2028년이면 주택 투기 사라질 것” [대통령...,,,https://www.mk.co.kr/article/10700857,http://www.asiatoday.co.kr
2023.04.25.,의학신문,,"고령화사회의 보건의료 정책, 이대로는 안된다",,,http://www.bosa.co.kr/news/articleView.html?idxno=2195680,http://www.mk.co.kr/
2023-04-02 09:03:10,ifspost,정치,"고령화사회의 보건의료 정책, 이대로는 안된다","[    윤석열 대통령이 2023년 제1차 저출산고령사회위원회를 주재하며 저출산 문제 해결을 위한 종합대책을 발표했습니다. 아이 돌봄을 지원하기 위한 보육정책 강화, 육아휴직 확대정책 등이 담겼는데 가장 많은 관심을 받은 것은 신혼부부를 대상으로 한 주거지원 방안들입니다.특히 각종 다자녀 가구 주택정책의 기준이 3자녀에서 2자녀로 낮아진 점이 언론으로부터 집중 조명을 받았는데요. 지난해 출산율이 0.78까지 떨어진 상황에서 아이를 셋이나 낳아야 혜택을 받을 수 있는 정책의 실효성 문제가 강하게 제기돼왔고, 결국 둘 만이라도 낳아달라는 쪽으로 현실화된 셈입니다.지금처럼 저출산 문제가 심각하지 않던 시절부터 신혼부부에게는 내집 마련이 크나큰 숙제였고, 과거 대통령들도 관련된 정책을 쏟아내왔습니다. 대통령의 연설 이번 회차에서는 신혼부부 주택정책에 대한 역대 연설문 기록을 되짚어보고자 합니다.     추석특집 KBS 아침마당 ‘대통령 부부의 사람사는 이야기’ 6(2010)▲ “3년간 8번 이사”…대통령들도 신혼 때 내집마련 못해 고생신혼부부가 내집을 마련하는 게 녹록치 않다는 것은 대통령들의 경험을 통해서도 고스란히 드러납니다.노태우 전 대통령은 1989년 ‘주택문제의 해결을 위하여’란 주제로 라디오 주례방송을 하며 “우리가 사는 집에 관한 문제는 국민 여러분께서 가장 큰 관심을 가진 문제이고, 저 자신 우리 국민들의 심각한 주택문제를 어떻게 하면 풀어갈까…집념을 갖고 생각해 온 문제입니다”라며 “저도 신혼 때부터 30대 중반까지 계속 셋집살이를 했기 때문에 집없는 설움을 잘 알고 있습니다. 설움 중에서도 가장 큰 설움은 집없는 설움입니다”라고 밝혔습니다.이런 경험 덕분인지 노 전 대통령은 임기중 수도권에 주택 200만호를 짓는 대대적인 공급정책을 펼쳤고, 이는 당시 많은 신혼부부의 주택고민을 해결해 준 정책으로 평가받고 있습니다.이명박 전 대통령은 2008년 KBS 특집 대통령과의 대화에서 “제가 처음에 결혼해서 한 3년간 여덟 번 이사를 했거든요”라며 “6개월마다 쫓겨나서 옮기고, 옮기고 했는데 나중에 21평짜리 아파트에 들어가니까 안정되어서 그 이후에 아이를 넷 낳았습니다”라고 밝혔습니다.▲ “20년 지나면 투기목적 매입 사라지고 주거 목적으로 사는 세상”신혼부부를 위한 주택정책이 본격적으로 대두되기 시작한 것은 이명박 전 대통령의 임기때부터입니다. 이 전 대통령은 특히 신혼부부를 위한 소형 임대주택 공급을 강조했는데요. 2008년 KBS 특집 대통령과의 대화에서는 “임대주택도 지어서 임대도 들어올 수 있게 하자, 때로는 전세금을 내고도 들어올 수 있는 다양한 주택정책을 쓰자, 이렇게 생각하고 있습니다”라며 “지금 정부가 계획하는 대로 한다면 무주택자나 신혼부부에게는 아마 제 임기 중에 주택을 가질 기회가 분명히 있다고 생각합니다. 그래서 그 약속을 반드시 지킬 수 있도록 정책을 쓰고 있습니다”라고 했습니다.이날 이 전 대통령의 주택시장의 미래에 대해 언급한 부분도 인상적인데요. 한 청년으로부터 내집마련 고민을 들은 뒤 그는 “한 20년이 지나면 주택이 투기 목적이 아니라 정말 주거 목적으로 사는 세상이 될 것입니다”라며 “왜냐하면 현재 전국적으로 보면 초등학교 학생들이 줄어들어 교실이 비니까 학교끼리 서로 합병을 합니다. 그 학생들이 성장해서 20년 후에 자기 집을 갖게 될 때는 공급 가능한 주택이 충분해서 더 새로운 주택정책이 필요 없을 것입니다”라고 대답했습니다.이 전 대통령은 이어서 “그렇게 되면 주택이 투기 목적이 될 수 없게 됩니다. 그래서 지금부터 집을 갖고 싶어 하는 사람은 투기 개념보다도 자기가 살기 위한 목적으로 적절한 집을 구하는 게 좋겠습니다”라 조언했습니다.임기 중 부동산가격 상승으로 고생을 했던 문재인 전 대통령도 신혼부부 주택정책을 자주 언급했는데요. 2020년에는 ‘살고 싶은 임대주택 보고회’를 개최해 “ 청년과 신혼부부, 노인과 장애인, 저소득층과 같은 주거 취약계층을 위한 공공임대주택 공급은 국가가 가장 우선해야 할 책무”라고 강조했습니다.‘박정희 대통령의 성평등 인식은?’,‘이명박 대통령이 기억하는 현대건설은?’…&lt;대통령의 연설&gt;은 연설문을 통해 역대 대통령의 머릿속을 엿보는 연재기획입니다. 행정안전부 대통령기록관에 남아있는 약 7600개 연설문을 분석합니다. 지금 문재용 기자의 기자페이지를 구독하시면 발빠른 정치뉴스와 깊이있는 연재기사를 접할 수 있습니다 ]","['', '교묘한 기레기들,,,,,,,,,,,', '건국후 가장 공직개념이 떵86으로 포장은 민변이지만 실제는 날건달들  운동권은 씨잘대기없이 팔뚝흔들다 골빈 무리들벼락치기 법조인은 법조 전문사기꾼 재명이 아님 성추행 자살한후야반이장 원숭이 민초를 절묘하게 속인 골엔 떵이 그득한 재인이  뭐 그런부류 다신 나타나지말라  나라다운 나라는 공직개념이 확고부동한공직자여야한다', '', '우리나라 언론은 진짜 어떻하지? 아무나 기자하지 이딴것도 기사라고 기득권에 들러붙어서 살아보겠다고', '재앙이는 4인 가족 15평이 적당하다고 하지 않았었나?', '이명박대통령 업적으로 보면 역대급이죠. 금융위기 넘기고 집값안정 경제성장. 광우뻥.4대강사업.해외자원개발들이  쥐박이 명박산성등 김어준 좌파언론들의 조롱과 비난때문에 업적이 과소평가됬죠. 노무현.문재인 업적이 뭐냐고 물으면 답이없잖아요.', '윤정권이 들어서면서 개혁만 외쳤지 달라진건 초고속 물가상승 뿐이다....개혁이 이재명 조사하는건 개혁이 아니라 당연히 죄가 있는지 판단하는 일상적인거다....이건 개혁과 전혀 관계없다...개혁이 안보여......공무원이 개혁이 되야....국민연금도 건강보험도 개혁이되는거야.....', '기자양반!~감방 갔다온 전과자 사진을 광고하는 겁니까', '그런데 전국민이 이사갈수만 있다면 수도권으로 서울로 강남으로 가려는 상황이  계속되면 20년뒤에도 주택투기는 사라지지 않을것임', '비교 할 사람   정말 없나요    ㅡㆍㅡ', '아니 하고 많은 사람들 중에 왜 저런 도둑놈 자식  사진을 올려. 기자 이놈아 국민들 가슴에 못 박고 싶나.', '이거 새빨간 거짓말입니다 여러분!!!!', '공급 대출은 쳐막고 공시지가만 쳐올려서 유주택자 세금으로 뚜까패고  무주택자 박살내고 3배 쳐올린 천하의 재수없는 문재앙은 빼라 ㅡ 명박이땐 서울에 미분양도 많았고 근혜땐 지금 집값의 1/3 ㅡ 서민들 살기 좋았다 ㅡ서울 토박이다', 'MB  다시  건강 찾은거 같으니 다시 들어 가야지 사면이 말이 되냐??  사면바리도 아니고~~ 들어가자~~아직 건강 하자나~~', '범죄자 추종자도 아니고 쥐박이사진치워', '', '쥐박이가 기사에 나오네 ㅋㅋㅋㅋㅋㅋ이게 나라냐\nㅋㅋㅋㅋㅋ2찍이 선택한 사람은 다 감옥을 간다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ너태우,쥐박이, 닭근혜,윤완용 ㅋㅋㅋㅋ', 'MB덕에 나두 무주택 탈출후 문재인정부에서 집값 폭등으로 가난탈출했지만 누가 더 정치를 잘하는지  묻는다면   명박이지', '', '', '4 대강 공사 미끼로 대한민국  금고통으로 사재산을 풀린 죄인입니다. 사진 내리세요.', '대통령도 애도없이개만 키우는나라에서~~~\n애낳으라는 대통령 ~~~\n껄껄껄~~~\n웃기는 나라일세~~\n내딸들도 절대 출산은 하지마라고 교육중이다~\n돈이최고인 세상에 짐은달고살지말고 가르치고있다\n내가잘하고 있는거지 윤대똥령님~~~', '', '정신이 온전치 못한 놈이란 걸 스스로 실토하냐?', '좌파깨시민들의 발작버튼 이명박ㅋ', '서민  갔은 소리 한다 정말 누가 아면  서민인줄', '내동생은 14번 이사했다 번데기 주름 아닌가 싶군', '국토부장관을 파면하라 \n저 인간이  다주택자들만 위한 정책으로 서민들을 골병들게 하고 있다.', '쥐의 생태를 볼작시면 이사는 날마다 달마다 다녀야하는게 당연한거지 그렇게해야 돈이붙는거고 장사 되는건 당연한걸 또 떠드는 속셈은 감옥에서 풀려나셨다는 자기자랑  ?', '', 'ㅋㅋㅋㅋ 참 비교 논리도 갖다 붙여도 왜케 무개념이냐. ㅋㅋㅋ', '가카다스', '좌빨 정부에서 민초는 고통받고 홍위병들이 날뛴다. 공산당에게는 마윈같은 자본가는 필요없음을 증명햤다. 이땅의 공산주의자들은 구데기 같은 것들이다.', '', '민주당 죄파노무현ㆍ문죄인때 집값폭등 사실 기억한다 ㆍ좌파들은  나불나불 말ㅈ로만  하지ㆍ꼬투리잡아 시비거리만 찾아내지ㆍ겉으론 민생 ㆍ속으론 이져명 방탄 ㆍ수준이하 국회의원들  모두 사퇴가답이다', '저 도둑놈 가족 집단 사진은 왜 올려. 국민들이 어디 봉으로 보이나.국힘당과 써걸 인간들아', '결혼해야 출산을 할수 있으니 신혼부부 주택지원이 중요할수 있지만 결혼해도 혜택만보고 출산 안할수 있지. 무용지물일수 있다는거지. 세금으로 해결해야한다. 솔로 세금 45%, 미자녀 맞벌이부부 50%, 1자녀 25%, 2자녀 15%, 3자녀 10% 이렇게 해야 한다. 최악은 결혼 후 미출산이지. 그외 보육과 출산휴가. 경단녀 방지책이 필요.', '문재인정부신혼주택구경해보면.누가살겠냐,\n좁은닭장이다\n집도어느정도여유있는공간부터시작해야된다', '쥐세끼', '', 'MB는 대통령이 되었고..\n언제쩍 야기를 지금 적용?\n어처구니가  없네...', '', '', '니인생이나 똑바로 살아라 주둥이 닫고 금수강산 망친 대역죄인아', '그리고 저 인간의 30대면 정주영의 현대건설에서 승승장구하던 시절인데 기자놈들은 팩트체크는 하나 모르겠다. 현대건설 최연소 이사였고 저 당시의 잦은 이사는 재테크 수단인걸로 기억함.', '저 인간이 부동산급등을 연착륙 시키려고 무리수를 여러차례 던졌는데 투기꾼들이 따라오질 않아서 알박기와  사재기로 민간부채가 폭등하고 박근혜때는 1400조를 찍는 기염을 토해냄. 그리고 투기꾼들은 여전히 투기를 한다. 사람들이 살고 싶어하고 살기 편한곳은 절대 떨어지질않거든. 건설경기로 민간부양책을 내세우는 이상 공염불이지.', '', '신창원이는 몇번 이사갔는데? 기자야~\nㅉㅉ 갸가 표본이냐?', '나라가\n독재와  부정축제가 판치던 때로\n회귀중', '이재명은 신혼때 이미 50평대. 무늬만 흙수저', '능지처참, 부관참시도 부족한 악마들. 국민들 돌팔매 맞아 죽여도 시원찮을 악마들.', '', '사위  조현범 구속  슈퍼카    5대를 회사돈으로', '이정도면 북한 부럽지 않은 찬양기사네 ㅋㅋㅋㅋㅋ', '쥐시키를 감옥에 다시 보내라', '지가 잡아넣고 풀어주고 ...코메디네', '슬슬 기어나오나?', '역시 매국경제답다', '', 'ㅋㅋ여성가족부폐지, 군인월급 200만원 지켜진거있냐ㅋㅋ\n입만살았네 윤뚱이가 살빼고 술안마시겠다는거랑 다를바없는 말 아니냐', '투기를 없앨라면 상식적으로 다주택자한테 세금을 많이 부과하든 해야되는거 아니냐?? 10채 20채 가지고 있는 사람들이 투기 아니면 뭐냐... 다주택자 규제 다 풀어주면서 투기를 잡는다고??', '쥐가 또 슬슬 겨 나오내', '', '', '교묘하게 누구누구는 빼네 기자님 티난다요..', '이빨을 다 뽑아버려야겠다.', '', '', '헛꿈 꾸지말자. 인류 역사상 언제 부동산 투기가 없었던 적이 있나? 군주들의 시대를 빼고 개인재산을 인정한 이후에 늘 그래왔다. 헛된 기대 하지 말아라', '', '', 'mbc의  추억 ㅋ', '애를 낳아봤어야 뭘 알지 ㅋㅋㅋ', '', '', '2028년이면 주택 투기 사라지니요? 감사합니다~', '', '역사가 말해 줄 가장 뛰어나신 대통령^^\n이명박대통령💝', '뭉가는 아방궁', '주택투기 사라진다고? 지금 부동산 하락 막고 미분양 떨려고 각종 정책 펴는 넘이 누군데 헛소리야? 니장모가 양평 부동산개발한다고 각종 불법 탈법의혹 있는거 몰라서 그런소리 지껄이나?', '동양의 라이벌 동양에서 가장 위대한 나라는 중국 일본이고 한국은 중국 일본보다 아래인게 사실인거지', '', '애기도 않나아본 인간이 뭘 알겠노. 천공하고 술판이나 벌려라.', '', '입닫어 . 명박이가 할 소리가 아냐. 자격이 없지', '왜?......민족수 줄여서......일본에 몽땅 바치게~~!', '2조짜리 다스의 오녀이고 사대강 23조원 공사를 진행했던 건설업자 명박이가 뭐라고? 경복궁에서 덕수궁으로 이사 하는거겠지', '사실상 답은 없고 30~40년뒤면 다른나라랑 합병하던가 해야지 한국어를 버리던가', '아니 왜 이명박이야?예들게 그렇게 없냐?참 한심하다.예들 들어도 정직하게 성공한사람 예를 들어야지.감방 갔다가 나온사람 예를드냐?']",http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53353,https://n.news.naver.com/mnews/article/009/0005110297?sid=100
2023.04.18.,디지털타임스,,"김성주 ""`전세사기` 극단적 선택 막기 위해 보증금 우선 보장받을 대책 필요""",,,http://www.dt.co.kr/contents.html?article_no=2023041802109958038004&ref=naver,http://www.bosa.co.kr
2023.04.18.,조세일보언론사 선정,,"민주 “尹 정부 들어 전세 사기 3.3배 증가, 피해 확산 우려 심각”",,,http://www.joseilbo.com/news/news_read.php?uid=484135&class=32&grp=,http://www.ifs.or.kr
2023.04.11.,중부일보,,"시흥시, 2023년도 주거 취약계층 복지 강화 계획 발표",,,http://www.joongboo.com/news/articleView.html?idxno=363586885,http://www.dt.co.kr/
2023-04-18 13:27:06,중앙일보언론사 선정,정치,[서경호의 직격인터뷰] “교육·복지 투자로 생산성 높여 ‘멋진 노동자’ 만...,"[    김성주 더불어민주당 정책위원회 수석부의장은 최근 전세사기 피해자가 잇다라 극단적인 선택을 한 것을 두고 ""우선 보증금이라도 온전히 보장받을 수 있는 긴급 대책이 필요하다""고 밝혔다. 김 수석부의장은 18일 국회에서 열린 원내대책회의에서 ""전세사기 세 번째 피해자도 내 집 마련의 꿈을 갖고 있다가 전세금을 날리게 되자 절망 끝에 극단적인 선택을 했다""며 이같이 밝혔다. 김 수석부의장은 ""범죄 피해자 경제적 지원 지침을 확대 적용해 피해 보증금에 대해 선보상하고 나중에 구상권을 청구하는 방법도 있다""며 ""이때 주택도시기금을 활용하는 것도 고려해야 한다""고 주장했다.그러나 ""보다 근본적으로는 국민의 기본권인 주거권에 대해 새롭게 접근해야 한다""며 ""언제까지 주거권을 시장과 민간에 맡겨야 하냐""고 반문했다.그러면서 ""언론은 부동산 경기가 살아나고 있다고 하는 기사를 연일 쏟아내지만, 집 없는 사람의 절박함이나 더 나은 주거로 옮기고자 하는 소박한 꿈은 담겨 있지 않다""며 ""언제까지 우리는 내 직장과 학교에 다닐 집과 가족들과 오순도순 살 수 있는 집을 '영끌'하거나 평생을 저당 잡혀서 사야 하나""라고 반문했다.김 수석부의장은 ""지금 우리에게 필요한 것은 부동산 대책이 아니라 종합적인 주거 대책""이라며 ""우리가 집값 등락을 부동산 문제라고 부르는 순간 그 해법은 시장에 개입하는 공급 정책과 금융 개입, 부동산 세제 개편안 제시에 그칠 것""이라고 주장했다.이어 ""정부가 부동산 대책을 발표하고 당은 부동산 TF를 만드는 방식으로는 국민의 절박한 주거 문제를 해결할 수 없다""며 ""주택을 자산의 하나인 부동산으로 인식하면 결국 부동산 이익의 창출과 수익 배분으로 귀결될 수밖에 없다""고 덧붙였다.또 ""재산 증식을 의미하는 부동산 문제가 아니라 국민들의 주거권을 확보하는 주택 문제라고 불러야 한다""며 ""주택 문제 해결은 청년과 신혼부부, 저소득층, 노인에게 적합한 주거 형태를 다양하게 공급해서 적정한 부담에 살 수 있도록 주거권 차원에서 접근하는 대전환이 필요하다""고 강조했다.그러면서 ""부동산 대책이라는 말부터 바꿔야 한다""며 ""주거권 보장 방안, 주택 마련 정책으로 불러야 이런 비극을 막을 수 있다""고 목소리를 톺였다.     김성주 더불어민주당 정책위 수석부의장&lt;연합뉴스&gt;     ]",[],https://www.joongang.co.kr/article/25156768,https://n.news.naver.com/mnews/article/029/0002795332?sid=100
2023.04.18.,아시아경제언론사 선정,,"이재명 ""전세 보증금 반환 위한 긴급대책 필요…협조할 것""",,,https://view.asiae.co.kr/article/2023041811145458665,http://www.joseilbo.com/
