Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.05.31.,광주매일신문,,이용빈 “노인성 질병 장애인 보장 환영”,,,http://www.kjdaily.com/article.php?aid=1653995947575915002,http://www.kjdaily.com
27면 TOP,헤럴드경제,,[데스크칼럼] 쉰 다섯이 고령자? 노인?,,,http://news.heraldcorp.com/view.php?ud=20220531000407,http://www.heraldbiz.com/
2022-05-31 11:26:02,부산일보언론사 선정,오피니언,노인 요양시설 ‘감염병 전담인력’ 부족,"[     “쉰 살쯤 되니 하늘의 뜻을 알게 됐다(五十而知天命)”-논어공자(孔子)의 고백이다. 성인(聖人)의 얘기다. 평범한 사람들은 쉰 살이 되어도 세상은 알기 어렵다. 15세기 경국대전은 군역을 지는 장정의 나이를 16~60세로 정했다. 조선 정부가 쉰 살이면 몸 쓰는 데 큰 지장이 큰 없었다고 봤던 셈이다. 요즘 50대면 청춘까지는 아니겠지만 적어도 늙은이(老人)는 아니다. 우리나라 인구 10명 중 5명(2021년 말 기준46.8%)이 쉰 살 이상이다.대법원에서 나이가 많다는 이유만으로 임금을 차별하지 말라는 판결을 내렸다. ‘고용상 연령차별금지 및 고령자고용촉진에 관한 법률(고고법)’ 위반이라는 판단이다. 이 법은 ‘고령자’ 정의가 남다르다. 다른 법들은 법조문에 정의하는데 이 법은 시행령에서 정한다. 기준도 55세로 가장 낮다.노인복지법에서는 노인은 65세 이상이다. 노인장기요양법도 ‘노인 등’을 65세 이상 또는 65세 미만이지만 노인성 질병을 가진 사람으로 정의했다. ‘장애인·고령자 등 주거약자 지원에 관한 법률’은 주거약자 기준이 65세·장애인이다. 저출산·고령사회기본법은 노인과 고령자를 같은 범주로 묶고 있다. 고고법은 ‘정년 60세’가 규정된 법률이다. 1992년 제정때에도 ‘고령자’는 시행령으로 55세로 정했지만 정년은 ‘60세 이상이 되도록 노력하여야 한다’고 했다. 1993년 55세 이상 인구는 전체의 13%가 채 되지 않았지만 2012년 25%를 돌파한다. 2013년 ‘정년은 60세로 한다’로 법이 바뀌고 2016년부터 시행됐다. 정년연장에 따른 사업자 부담을 고려해 55세 이후 임금을 깎는 제도가 도입됐다.2013년 법 개정 당시 55~59세는 인구의 6.8% 정도였지만 2016년 7.97%로 늘어나고 2018년 8.33%으로 정점에 달한다. 55세 이상 인구 비중은 2021년말 38.14%로 1993년 12.2%보다 3배 이상 높아졌다.기업들은 이번 대법원 판결이 달갑지 않다. 55세 이상 직원들의 임금을 높여야 하기 때문이다. 명예퇴직 위로금도 더 줘야 할 수 있다. 사실 이번 사태의 근본은 고령자 ‘차별’보다는 ‘예우’다. 임금피크는 오래 근무하면 임금이 높아지는 연공제에 대한 반작용이다. “일 제대로 하면 나이가 많다고 급여 깎지 말라”는 이번 판결을 다르게 읽으면 “일 못하면 나이만 많다고 급여 더 주지 말라”가 아닐까?재택근무 확산으로 구성원 업무효율 관리가 더 중요해졌다. 평가 체계의 완성도는 조직 효율과 비례한다. ‘동일 노동, 동일 임금’이면 다른 노동에는 다른 임금이 적용되어야 한다. 노동이 생산하는 부가가치가 같다면 임금도 같아야 한다. 결과가 다르면 보상도 달라야 한다. 직무급제 확산이 빨라질 듯하다. 대규모 공채도 사라지고 있다. 순환 보직제도 폐기 수순이다. 근로계약에 큰 변화가 예상된다.멀쩡한 장정들을 ‘고령자’로 만들지는 말았으면 싶다. 나라 전체로도 55~65세의 인적 자원이 부가가치를 계속 만들어내는 게 낫다. 대부분 고등교육을 받은 세대다. 나이 많다고 더 받는 게 아니라 나이가 많아도 젊은이들 못지않은 효율을 발휘하도록 독려하는 게 바람직해 보인다. 50대라고 함부로 ‘꼰대’라 하지는 말자. 청춘들의 아빠·엄마·삼촌·이모·고모·형·누나·언니다. ]",[],http://www.busan.com/view/busan/view.php?code=2022053009385532169,https://n.news.naver.com/mnews/article/016/0001997633?sid=110
25면 1단,국민일보,,[살며 사랑하며] 노인 생활 정보,,,https://news.kmib.co.kr/article/view.asp?arcid=0924247777&code=11171315&cp=nv,http://www.busan.com/
2022-05-30 10:48:03,백세시대,사회,"대한노인회 기독교신우회, 지역대표 목사 임명식","[ 질병관리청 5550곳 실태조사평균 2~3명… 공조기도 미비    지난해 코로나19 4차 대유행이 시작된 8월 12일 오후 부산 중구의 한 요양병원 출입구에 면회 전면 중단을 알리는 안내문이 붙어있다. 부산일보DB코로나19 집단감염 취약 시설로 꼽히는 노인 요양시설의 감염병 전담인력이 부족하고 공조기 등 환기시설 설치도 미흡한 것으로 드러났다.30일 질병관리청 중앙방역대책본부는 전날 펴낸 ‘주간 건강과 질병’에서 이 같은 내용을 담은 ‘국내 요양병원 및 요양시설의 코로나19 관리 현황 실태조사’를 공개했다. 중대본 역학조사팀은 지난달 18일부터 27일까지 온라인 조사 방식으로 전국의 △요양병원 930곳 △노인요양시설 2231곳 △기타 장기요양기관 2389곳 등 5550곳을 대상으로 조사를 진행했다.조사 결과를 보면 우선 요양병원 879곳(94.5%), 노인요양시설 2062곳(92.4%), 기타 장기요양기관 1905곳(79.7%)이 감염병 대응팀을 두고 있었다. 감염병 대응팀의 평균 구성원 수는 요양병원 10명, 노인요양시설 11명, 기타 장기요양기관 5명이었다. 시설별 감염관리 전담 인력이 있는 곳은 이보다 저조해, 요양병원 568곳(61.1%), 노인요양시설 1318곳(59.1%), 기타 장기요양기관 1532곳(61.6%) 등으로 조사됐다. 게다가 전담인력 평균 인원 수도 요양병원과 노인요양시설은 각 3명, 기타 장기요양기관은 2명에 불과했다.역학조사팀은 이어 공조기와 공조기 외 기계환기설비, 공기정화장치 등 시설별 환기설비 현황도 조사했다. 공조기가 없는 곳은 요양병원 347곳(38.3%), 노인요양시설 1227곳(55.0%), 기타 장기요양기관 1532곳(64.1%)로 나타났다. 공기정화장치가 없는 곳은 요양병원 484곳(52.0%), 노인요양시설 481곳(21.6%), 기타 장기요양기관 572곳(23.9%)였다.역학조사팀은 “요양시설에서 보다 효과적으로 감염병에 대비하기 위해 대응 인력에 대한 교육 지원과 감염관리 전담인력의 충원이 필요하다”면서 “환기설비를 보유하지 않은 시설은 조속히 해당 설비를 마련하는 것은 물론, 올바른 사용법 안내 등의 조치도 필수다”고 강조했다. ]","['제발 신경쫌 쓰세요 .ㅡ담당하시는분들 .가서 일주일동안 봉사하세요 .먹어봐야 맛을 알지 ..ㅡ그리고 요양보호사들은 .제발 자신없으면  하지마세요 아픈자의심정을 모르면 .말입니다 .ㅡ이건 환자보호하러오는건지 ..환자가 돈으로 보이는건지 ..그리고 .들어가면 .시체 썩는내가 나요 .제발 환기공사 .공기 정화이것 없으면 .페업 하세요 .', '요양병원가면 병실에서 기저귀 찌린네가 제일많이 난다..바로바로 갈아줘야되는데 .시간정해놓구 그시간에만 갈아주니  병실냄새 장난 아니다.', '개한민국 요양시설 그저 돈벌기위해서 만들어진 곳일뿐 인간다운 시설은 아니다 수십명씩 가두어놓고,운동시설,수영시설도 없다 그냥 가두어놓는 시설일뿐이다 정신병동처럼 말이다 개한민국 요양시설에 들어가면 1년도 안되서 죽는다는말이 괜한말이 아니다 요양시설에 있더라도 운동기구나 오히려 재활센터처럼 만들어놓고 어르신들이 수시로 운동할수 있도록 그래서 본인 스스로 걷고,활동할수 있도록 하는곳이 요양시설인거다 선진국에서는 이런식으로 하는데 개한민국에서는 어르신을 약먹이고 재우고 활동할수 있는 프로그램도 없다 죽기전 가는 시설일뿐', '고등학교때 수업시간때질문에 세계화라고 물어보시더라 나에게 물어볼차례때 나는 나자신이 잘해야한다고 말했던것 같음.칭찬해주시던대 촐랑대는 행동이 조금있어서 기억난다.조선소 살러갔더니 이간질하더라 또라이하나가  가만보니 나이든하나는 더웃긴행동 하더라 그자가한말이  살아남는게 웃는거다 라더라 저앞에서.세계1위? 공조기? 환기?생겨울에 환기한다고 창문다열어놓으면 피해자는 입다물고 살아남는건 웃는건지?창문닫을이는요양보호근무자임뒤늦게 라는말이 필요한지?뒤늦게라도피해소리 내는것두 재주이지.말조심하자 한국내의남피해주는자들 좋은한국사람에게 피해안가도']",http://www.100ssd.co.kr/news/articleView.html?idxno=87816,https://n.news.naver.com/mnews/article/082/0001157898?sid=102
2022.05.30.,브라보마이라이프,,고령화된 선진국 노인 주거 차이점은?,,,https://bravo.etoday.co.kr/view/atc_view.php?varAtcId=13486,http://www.kmib.co.kr/
2022-05-30 04:08:12,하이닥,오피니언,65세 이상이라면? 노인 신체 기능 검사 [알고 받는 건강검진],"[ 이다울 작가    나는 질병으로 갑작스레 노인이 됐다. 하지만 대부분의 사람이 그 사실을 알지 못하거나 믿지 못한다. 나의 외모 때문이다. 평소에는 이십대 후반의 얼굴이지만 잘하면 초등학생에 근접하게 변장할 수 있다. 즉 젊은 사람으로 패싱된다는 이야기인데, 그에 따라 얻는 수혜도 있고 피해도 있다. 수혜라고 하면 여전히 구애를 얻는다는 것이고, 피해라고 하면 이 어르신에 대한 존중이 없다는 것이다. 대중교통의 노약자석에 당당히 앉아 있다 보면 따가운 눈총을 피할 수 없다.노인이 되고부터는 조심성이 높아졌다. 걸핏하면 부서질 수 있어서 시도조차 않는 것이 많다. 꽉 쥐고 놓지 않는 거다. 그런데 나는 젊은이로 보이기에 겁쟁이로 소문이 났다. 하지만 나라고 무모한 시절이 없었을까. 나도 왕년에는 깨나 날렸다. 이름만 대면 누구나 알 법한 세계의 명산을 등반한 사람이란 말이다. 지팡이 같은 건 일절 필요치 않았다. 그러나 이제는 지팡이의 쓰임을 이해하기 시작했다. 기대거나 짚을 만한 것이 필요한 것이다. 길을 걷다 그게 무어든 의자와 닮았다면 앉아야 한다. 최근에는 길가의 한 여인 덕에 획기적인 물품을 발견했는데 그것은 바퀴 달린 가방 겸 의자 겸 지팡이다. 끌개의 형태로, 쇠로 된 손잡이를 양손으로 밀 수 있고, 그 밑에 달린 푹신한 쿠션에 앉을 수 있으며, 앉았던 곳의 지퍼를 열면 물건을 넣을 수도 있다. 내가 아는 최고의 발명품이다.엘리베이터나 에스컬레이터를 찾아 헤매다 그것이 모두 녹슬어 고장 나 있을 때의 황망함을 아는가. 작은 바람에도 소스라칠 수 있다는 사실 또한 아는가. 나의 이웃은 한여름이 오고 있음에도, 여전히 겨울에 쓰던 털모자를 쓰고 사과를 판다. 우리가 푸념하거나 이래라저래라 지적하는 것을 젊은 사람들은 부디 이해해 주기를 바란다. 그대들 또한 모두 노인이 될 것이다. 그러니 노인을 위해 이것저것 보장하라! 보장하라!이다울 작가   ]",[],https://www.hidoc.co.kr/healthstory/news/C0000702731,https://n.news.naver.com/mnews/article/005/0001529530?sid=110
2022.05.25.,뉴시스,,"경기도, 아동·노인 등 긴급돌봄서비스 제공",,,http://www.newsis.com/view/?id=NISX20220525_0001884643&cID=10803&pID=14000,http://www.100ssd.co.kr
2022.05.30.,RPM9,,"매일헬스뉴트리션, 대한노인병학회 춘계학술대회 제품 홍보",,,http://www.rpm9.com/news/article.html?id=20220530090008,http://bravo.etoday.co.kr
2022.05.30.,위드인뉴스,,질병의 증상과 결핵을 이겨내는 방법,,,http://www.withinnews.co.kr/news/view.html?section=1&category=97&item=&no=27823,http://www.hidoc.co.kr/
2022.05.31.,잡포스트,,"매일헬스뉴트리션, 대한노인병학회 춘계학술대회서 제품 홍보",,,https://www.job-post.co.kr/news/articleView.html?idxno=53872,http://www.job-post.co.kr/
2022.05.27.,헤럴드경제,,55세 고령자? 노인?… 임금피크 과연 차별의 문제인가[홍길용의 화식열전],,,http://news.heraldcorp.com/view.php?ud=20220527000586,http://www.heraldbiz.com/
