Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.06.13.,대구신문,,"구미署, 노인 대상 마약 범죄·보이스 피싱 예방 활동",,,https://www.idaegu.co.kr/news/articleView.html?idxno=423600,http://www.idaegu.co.kr
2023.06.09.,매일신문,,"구미경찰서, 노인 대상 마약류 범죄 및 보이스 피싱 예방 활동",,,https://news.imaeil.com/page/view/2023060915491757282,http://www.imaeil.com/
2023-06-09 17:00:01,파이낸셜뉴스언론사 선정,,현대판 고려장 '노인학대' 범죄 기승..취업제한 대상 늘리고 점검공개 의무화...,"[ 마약수사전담팀장과 보이스피싱 전문 수사관이 직접 강사로 나서 진행    경북 구미경찰서는 노인 200여 명을 대상으로 마약류 범죄 및 보이스피싱 예방 활동을 실시했다. 구미경찰서 제공경북 구미경찰서는 노인 200여 명을 대상으로 마약류 범죄 및 보이스피싱 예방 활동을 실시했다고 9일 밝혔다.이날 캠페인은 마약수사전담팀장(형사5팀장)과 보이스피싱 전문 수사관이 직접 강사로 나서 최근 발생한 실제 사건들을 예시로 들어 교육했다.마약류 범죄 예방 교육은 노인들이 접하기 쉬운 양귀비, 보이스피싱 예방교육은 노인들이 당하기 쉬운 검사·은행·가족 사칭 사례로 자료가 준비돼 범죄에 대한 경각심을 일깨웠다.장종근 구미경찰서장은 ""범죄자 처벌뿐만 아니라 범죄예방활동도 적극적으로 실시해 시민들이 신뢰하는 안심 공동체를 만들어 나가겠다""고 말했다. ]",[],http://www.fnnews.com/news/202306021754401833,https://n.news.naver.com/mnews/article/088/0000818834?sid=004
2023.06.23.,세계일보,,“범죄 피해 노인 지원 협력”…전국범죄피해자지원연합회·중앙노인보호전문...,,,http://www.segye.com/content/html/2023/06/23/20230623505875.html?OutUrl=naver,http://www.fnnews.com/
2023-06-03 06:01:12,빅데이터뉴스,사회,'자식 보기 부끄러워'...노인성범죄의 현실,"[     *재판매 및 DB 금지 /사진=뉴시스 [파이낸셜뉴스]  #.지난달 25일 인천 남동경찰서는 장애인복지법 위반 혐의로 간병인 A(68)씨를 구속했다고 밝혔다. A씨는 지난 4월 21일부터 5월 4일 사이 인천 모 요양병원에서 환자 B(64)씨의 항문에 수차례에 걸쳐 배변 매트 4장을 집어넣은 혐의를 받는다. 그는 경찰 진술에서 ""변 처리를 쉽게 하려고 매트 조각을 항문에 넣었다""고 진술했다. 피해자 가족은 파킨슨병을 앓고 있는 B씨가 의사표현도 한 번 하지 못하고 2주동안 악몽 같은 시간을 보냈다며 울분을 토했다.   이처럼 노인학대 범죄가 증가하고 수법 또한 교묘해지는 가운데 독거노인은 물론 가족구성원 사이 노인학대 범죄도 기승을 부리고 있다. 이에 초고령사회 진입을 앞둔 한국 사회에서 '노인학대 사각지대'를 없애기 위한 대책이 필요하다는 목소리가 나온다.   2일 보건복지부가 집계한 '노인학대현황'에 따르면, 전국 노인학대 신고접수 건수는 지난 10년간 두 배 넘게 증가했다. 2021년 전국 신고접수 건수는 1만9391건으로 2011년 8603건에 비해 125% 증가했다.   노인 1000명당 신고건수가 2011년 1.5%에서 2021년 2.2%로 약 0.7%포인트 증가한 것을 볼 때, 절대적인 노인 인구수가 증가한 것을 감안하더라도 일정 인구별 노인학대 비율이 증가한 것을 알 수 있다.     ■국회, 노인학대 대응체계 강화 위해 법 개정   서울시 복지재단은 지난해 6월 15일 공개한 '2021년 노인학대 현황'을 통해 노인학대 증가의 원인을 노인인구 증가, 학대 범주의 확대, 노인보호전문기관의 증가 등으로 꼽았다.   이에 최근 국회는 노인학대 대응체계의 실효성 강화를 위한 내용을 골자로 한 노인복지법 개정안(보건복지위원장 대안)을 본회의에서 통과시켰다.   현행법은 노인학대 관련 범죄로 형 또는 치료감호를 선고받아 확정된 자에 대해 일정기간 동안 노인 관련 기관에 취업을 제한하는 취업제한명령을 규정하고 있는데, 취업제한 대상 기관을 추가한 것이다.   이번 개정안에 따른 추가 대상 기관은 장애인활동지원기관, 독거노인종합지원센터 등 기존 취업제한 대상기관과 동일한 성격의 기관이다.   또 노인학대 범죄자의 취업제한 위반 여부 점검 결과 공개를 의무화하고 노인학대 현장 조사를 거부하거나 업무를 방해한 자에 대한 처벌규정을 마련했다.   염민섭 보건복지부 노인정책관은 ""이번 개정으로 노인학대 대응체계의 실효성을 높이고 노인학대 사건의 신속한 조사 이행력을 확보할 수 있게 됐다""고 말했다.   한편 노인학대가 발생하는 근본적인 원인이 무엇인지 파악하는 것이 필수적이라는 의견도 제시됐다. 제재의 범위를 넓히는 것과 함께 노인보호기관 등에서 노인학대가 발생할 수 없는 사회적 시스템의 한계를 연구하고 대책을 마련해야 한다는 것이다.   석재은 한림대학교 사회복지학과 교수는 ""노인학대가 발생하는 원인으로는 개인의 윤리의식이 부족한 경우도 있겠지만 근로환경 등 사회구조적 한계가 큰 영향을 줄 수 있다""며 ""근본적인 한계를 되돌아보고 기관 운영이나 노인보호기관에서 일하는 사람들에 대한 처우·근로조건을 개선시키는 등의 대책도 필요하다""고 말했다.   ]","['요양병원 씨씨티비 의무화해야합니다\n요양원은  씨씨티비 있어서 사고시 확인 가능한데  요양병원은 없습니다  의무화해야합니다', '이런건 살인죄로 집어넣어라', '받아 쳐먹는돈이 얼만데 일 안하고 돈벌려는게 국회에 있는것들이랑 똑같냐', '', '', '처우개선? 헛소리  !!   처우가 아무리 좋아도 요양병원 과  요양보호사가  자기가 갑이라고 생각하는한 저런일은 계속 발생한다 cctv 설치하고 학대의 정도가 심하면 구속시켜야 저런 범죄 발생을 줄일수 있다', '존엄사 하루 빨리 도입되기를', '치매환자에게맞아가며욕들어가며그런것다참고열심히일하는사람들도많이있읍니다', '안타깝다 저어르신세대들께서   열심히 일해. 나라의  기반을딲았고.  아끼고 아낀돈으로. 자식들 공부를시켜. 그자제들로하여금 나라가 여기까지. 오르게 된것인데. 저 어르신세대분들은 대접 제대로못받고. 대부분 고생만하시다 가신다', '솔직히 저런 시설들 취업할때 인성검사 했으면 좋겠음.. 내가 아는 요양보호사들 죄다 인성 안좋은데 매번 만날때마다 노인들 욕임.. 물론 열심히 하시는 요양시설 쌤들도 계시지만.. 진짜 화나서 밥안줬다 이런걸 자랑스럽게 떠드는 인간 하나 있는데 줘패고싶음.. 그러지마라 해도 자기 잘났다고 떠들어댐.. 섬망떳다고 간호부 몰래 약먹이는 인간도 봄.. 진심 노답..', '답은간단함. 가족이 돌보면됨', '기사 제목 좀 바꿉시다. 고려장은 일본에서 만들어낸 날조된 이야기입니다...', '초고령화 사회의 주인공은 우리..곧 나 입니다.!! 시급한 법 체계를 세우고 이를 어기는 요양기관 등 노인들에게 잘못 하는 사람들은 강력한 처벌로\n다스려야 합니다. 코 앞에 닥친 현실의 주인공이 나 일수 있다는 것을 기억하자구요!!', '근데 간병인이 갑인걸...ㅜㅜ', '고려장이라는게 실제로 존재했다는걸 이 기사를보고 알았네요!', '노숙자로 살다가 갈판ㅡ', '이해는 간다 진심으로 봉사하는것도 아니고 돈벌이의 수단이니 조금이라도 편하게 돈벌고싶은게 기본적인 마음이니,,근데 최소한 받는만큼은 해줬으면 한다 솔직히 효,불효를 떠나 거동못하는 부모 케어해줄 자식이 몇명이나 될까', '효자가 되야 한다. 잘모시고 살아야 한다.', '무식이 기레기야. 고려장이란건 없었고 일제가 거짓으로 지어낸 것이란 것도 모르냐? 부끄러운줄 알고 정정보도해라!', '파이넨셜 기자들... 느그들이 기자가 맞기는 하냐...?\n어제는 치매노인들이 요양보호사들 성희롱 한다고 GR들을 하더니...', '', '고려장이란 말자체가 엉터리다 기자인지 뭔지야', '존엄사 도입해라 현실적으로 필요하다', '헐 이게 왜가사야?침해 노인들 꼬득인 윤완용 잘못이지ㅡㅡㅡㅡ']",http://www.thebigdata.co.kr/view.php?ud=202306011729142499aeda69934_23,https://n.news.naver.com/mnews/article/014/0005021990?sid=102
2023.06.02.,월간중앙,,[정밀취재] 노인 대상 로또 예측업체 사기주의보,,,http://jmagazine.joins.com/monthly/view/337873,http://www.segye.com
2023-06-23 08:59:01,충청일보,사회,"괴산경찰서, 노인학대 가정폭력 예방 캠페인 전개","[ 신속한 지원·협력 체계 구축최근 노인을 대상으로 한 범죄가 적지 않은 가운데, 전국범죄피해자지원연합회와 중앙노인보호전문기관이 범죄 피해 노인 지원을 위해 손을 맞잡았다.            지난 20일 김갑식 전국범죄피해자지원연합회장(왼쪽)과 이기민 중앙노인보호전문기관장이 업무협약(MOU)을 맺고 기념사진을 찍은 모습. 전국범죄피해자지원연합회 제공    김갑식 전국범죄피해자지원연합회 회장과 이기민 중앙노인보호전문기관 관장은 지난 20일 서울 여의도 중앙노인보호전문기관 대회의실에서 신속한 지원·협력 체계 구축을 위해 업무협약(MOU)을 맺었다. 중앙노인보호전문기관은 노인복지법에 따라 보건복지부 위탁을 받아 노인 인권 보호 및 노인 학대 예방 사업 등을 하는 곳이다.     이에 따라 중앙노인보호전문기관은 노인 범죄 피해가 발생하면 연합회에 피해자 지원을 요청할 수 있게 됐다. 연합회는 지원 요건을 충족하는 피해자에게 긴급 생계비, 상해·심리·정신과 치료비를 지원하게 된다.     연합회 관계자는 “향후 실무 위원회를 구성해 범죄 피해 노인 지원을 위해 실질적으로 협력하기로 했다”고 강조했다. ]",[],https://www.ccdailynews.com/news/articleView.html?idxno=2212818,https://n.news.naver.com/mnews/article/022/0003826146?sid=102
2023.06.14.,충청매일,,"충북 보은경찰서, 대청댐노인복지관과 업무협약(mou) 체결",,,https://www.ccdn.co.kr/news/articleView.html?idxno=920122,http://www.thebigdata.co.kr/
2023.06.15.,헤럴드경제언론사 선정,,작년 노인학대 6807건...'노인부부가구' 증가에 배우자 학대 급증,,,http://news.heraldcorp.com/view.php?ud=20230615000265,http://jmagazine.joins.com/monthly
2023.06.11.,경상매일신문,,"구미경찰서, 마약류 범죄 등 근절 홍보활동",,,http://www.ksmnews.co.kr/default/index_view_page.php?idx=430267&part_idx=266,http://ccdailynews.com
