Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.06.30.,베리타스알파,,"상명대 박사과정 정지수, 국민노후보장패널 학술대회에서 대학원생 최우수논문...",,,http://www.veritas-a.com/news/articleView.html?idxno=374853,http://www.veritas-a.com
2021.06.30.,아파트관리신문,,"공공임대주택, 노후 재고 리모델링 방향은?",,,http://www.aptn.co.kr/news/articleView.html?idxno=84783,http://www.aptn.co.kr
2021.06.30.,하우징헤럴드,,"용적률⬆, 노후건축물 비율⬇… 부산·인천 재개발 재건축 '훈풍'",,,http://www.housingherald.co.kr/news/articleView.html?idxno=41551,http://www.housingherald.co.kr
2021.06.30.,파이낸셜뉴스언론사 선정,,[MZ세대 기획] 2030 벌써 노후 준비?...IRP 계좌로 직접투자 '꿩먹고 알먹고',,,http://www.fnnews.com/news/202106301444464299,http://www.fnnews.com/
2021-06-30 15:07:03,글로벌경제,경제,HUG '국가유공자 노후주택 보수' 기념식,"[       [파이낸셜뉴스] #1. 직장인 이모씨(33)는 최근 상장지수펀드(ETF) 등 주식시장에 투자할 수 있는 개인형 퇴직연금(IRP) 상품이 출시됐다고 들었다. 평소 배당주 투자에 관심이 많던 그는 세액공제까지 되는 IRP를 이용한 배당주 투자를 고민하고 있다.   #2. 직장인 신모씨(29)는 증시가 연일 고공행진을 하고 있음에도 여윳돈이 부족해 공격적인 투자를 못해 아쉬움이 많았다. 그러던 중 지인이 IRP 투자를 통해 시중은행 금리 대비 높은 수익률을 올렸다는 소식을 듣고 세제혜택과 수익을 다 잡겠다는 생각에 계좌를 개설했다.   사회 전반적으로 큰 변화의 물결을 주도하고 있는 이른바 'MZ세대(1990~2000년대생)'가 미래를 위한 노후자금 마련에도 발빠르게 나서고 있다. 연금 등 노후자금 확보를 위해 상대적으로 이른 시기에 IRP에 가입하고 있는 것이다. 코스피가 사상 처음으로 종가 기준 3300선을 넘어서는 등 증시 활황세가 이어지면서 노후 대비와 수익 두 마리 토끼를 잡을 수 있을 것이란 기대감이 나오고 있다.   ■MZ세대, IRP 가입 러시  6월 30일 파이낸셜뉴스가 미래에셋증권, NH투자증권, 한국투자증권 등 주요 증권사별로 IRP 가입 현황을 조사한 결과, 지난 5월 말 기준 20세 이상 30세 미만 연령대의 누적 가입자수는 총 7913명으로 집계됐다. 30~50대 가입자에 비해 절대적인 수치는 많지 않지만 지난해 12월 말 기준 가입자 수가 6488명인 것을 고려하면 1425명(21.96%)이나 늘어난 수준이다.   삼성증권이 지난 3월 말 기준으로 취합한 수치에서도 20대 이상의 IRP 계좌수는 지난해 말 1346개에서 1806개로 460개(34.17%) 증가했다.   30대 IRP 가입자 수도 꾸준히 증가세다. 주요 증권사별 30세 이상 40세 미만의 지난 5월 말 기준 누적 가입자수는 총 4만3322명으로 지난해 말 기준 3만8660명 대비 4662명(12.05%) 증가세를 기록했다.   IRP는 근로자가 퇴직금을 자신 명의의 퇴직 계좌에 적립해 연금 등 노후자금으로 활용할 수 있게 하는 제도를 말한다. 퇴직하지 않아도 누구나 개설할 수 있다.   자본시장연구원에 따르면 지난해 말 기준 퇴직연금 적립금 규모는 252조3000억원으로 지난 2019년 218조6000억원 대비 33조7000억원(15.41%) 증가했다. 특히 IRP 적립금 증가율은 전년에 이어 30%를 상회하는 높은 성장세를 지속하며 2016년 말(12조4000억원) 대비 4년만에 시장 규모가 3배 가까이 증가했다.   이 같은 추세는 근로자들에게 한정됐던 IRP 가입 자격이 2017년 7월 자영업자와 공무원, 군인 같은 소득이 있는 모든 취업자로 확대되면서 나타난 것으로 보인다. 또 지난해 초 코로나19의 영향으로 하락했던 증시가 하반기부터 급등하면서 IRP가 새로운 투자 수단으로 각광받고 있다는 분석이 나온다.   전문가들은 증권사와 은행의 IRP 및 확정기여형 퇴직연금(DC)을 중심으로 2030세대의 자금 유입이 지속적인 증가세를 보일 것으로 전망했다. 과거와 달리 높은 수준의 세제 혜택을 받을 수 있고 상장지수펀드(ETF)에 투자도 할 수 있어 '쏠쏠한 투자 수단'으로 자리매김하고 있다는 주장이다.   황세운 자본시장연구원 선임 연구위원은 ""IRP 투자는 일반 세제 혜택과 다른 방식의 소득공제 혜택이 주어진다는 점에서 젊은 세대들에게 강한 유인책이 되고 있다""라며 ""최근에는 ETF 등 주식 관련 상품들에 대해 자유롭게 운용이 가능하다는 점에서 주식시장의 연장선상에서 접근하는 시각도 나타나고 있다""라고 말했다.   ■노후 보장에 투자 수익까지  2030세대의 IPR 수익률 역시 최근 높게 나타나고 있다. 미래에셋증권의 연령별 IRP 계좌(잔고 10만원 이상)를 분석한 결과, 30대의 IRP 계좌 평균 수익률은 14.62%로 40대(15.12%)에 이어 2위를 기록했다. 20대의 IRP 계좌 수익률 역시 14.19%로 50대(14.20%)와 비슷한 수준을 보였다.   미래에셋증권 관계자는 ""예상대로 당사로부터 컨설팅을 받는 40~50대 계좌들의 수익률이 대부분 1위를 차지했다""라면서도 ""MZ세대 대표격인 30대가 2위를 기록했다는 점은 대단히 흥미로운 결과로 보인다""라고 말했다. 그는 이어 ""20대의 경우 공격적 투자를 선호하는 경향이 강한데 높은 수익률이 수치로 확인됐다는 점에서 더 이상 묻지마 투자가 아닌 스마트한 개인 투자자가 늘어났다는 것으로 볼 수 있다""라고 덧붙였다.   실제 금융권역별로 보면 지난해 말 기준 증권사의 퇴직연금 적립금 시장 점유율은 20.5%로 2016년 말 대비 2.3%포인트 증가했다. 같은 기간 은행은 1.5%포인트 증가한 51.7%를 기록했고 생보사 및 손보사의 점유율은 각각 2.1%포인트, 1.5%포인트 감소한 22.6%, 5.3%로 나타났다.   전문가들은 MZ세대의 IRP 투자 열풍에 대해 “매우 바람직한 현상”이라고 입을 모았다. 굳이 주식시장과 연계된 투자를 하지 않아도 20~30대부터 퇴직연금에 투자할 경우 20~30년 후에는 큰 수익이 보장된다는 설명이다. 현행 기준 IRP 계좌에서 세제혜택을 받을 수 있는 금액은 최대 700만원이다. 여기에 최대로 투자할 수 있는 한도는 1800만원에 달한다.   박진 NH투자증권 100세시대연구소 전문위원은 “MZ세대는 이전 세대보다 자산 관리나 재테크에 대한 관심이 높다”라며 “IRP는 세제혜택까지 가져갈 수 있다는 점에서 반드시 가져가야 하는 계좌다. 최근 증시 상황과 비교할 때 상대적으로 수익률이 낮을 수는 있지만 장기적 관점에서는 올바른 투자다”라고 말했다.   그는 이어 “퇴직금과 국민연금 등은 개인의 의지로 금액을 조정할 수 없다”라며 “IRP 투자는 장기적 관점에서 중수익을 목표로 은퇴시점까지 꾸준하게 유지하고 운용할 수 있도록 하는 게 가장 중요하다”라고 강조했다.         ]","['irp 홍보하지마', '', 'IRP 세제혜택 어차피 나중에 연금받을때 수령액 많으면 다 토해내게 되어있음 ㅋㅋ 지금 안받을테니 나중에 다 뜯어간다.~~  그리고 IRP가 많다는 건 그만큼 노후 불안이 커지고 있다는 증거. 어쩌다 세상이 내  5년 10년뒤도 모르면서 70세 80세를 걱정하면서 살아야 하는지.. 장수는 불행이고, 오래 산다는 건 그만큼 막연한 미래에 대한 두려움을 가지고 살아야 한다는 의미. 그래서 아이를 안낳고 그저 노후에 대한 불안에 삶이아닌 연명을 하는것 같음.']",http://www.getnews.co.kr/news/articleView.html?idxno=537898,https://n.news.naver.com/mnews/article/014/0004666514?sid=101
2021.06.30.,베타뉴스,,"인천 중구, 경로당 노후시설 일제점검…도배· 창호교체 등 환경개선",,,http://www.betanews.net:8080/article/1270196.html,http://www.getnews.co.kr
2021.06.30.,아이뉴스24,,"새 아파트 선호현상 뚜렷…신축 아파트 전셋값, 노후 아파트값 앞지르기?",,,http://www.inews24.com/view/1380965,http://www.betanews.co.kr
E5면 1단,중앙일보,,[서명수의 노후준비 5년 설계] 노후준비 고민 줄여주는 TDF,,,https://news.joins.com/article/olink/23688864,http://www.inews24.com/
2021-06-30 14:04:03,글로벌경제,경제,[최재식의 놀고 쉬고 일하고] 지금 힘들어도 노후 재무 설계는 꼭 해야,"[ 현대건설, 내달 216세대 규모 '힐스테이트 대구역 퍼스트' 분양새 아파트 선호현상이 확대되고 있다. 입주 5년 이내 신축 아파트와 10년 이상 노후 아파트 간 매매가 격차가 갈수록 커지는 동시에 일부 지역에선 새 아파트 전셋값이 노후 아파트 매매가격을 앞지르는 모습이다.30일 부동산114 자료에 따르면 올해 5월 전국 입주 5년 이하 새 아파트의 가구당 평균가격은 7억9천74만원(재건축 제외)으로 입주 10년 이상 노후 아파트 5억4천446만원(재건축 제외)보다 2억4천628만원 높은 것으로 나타났다.연식에 따라 2억5천만원 가량 차이 난다. 지난 2018년 5월 새 아파트의 노후 아파트 간 가격 차가 6천655만원에 불과했던 것과 비교해 3년 새 약 3.7배 넘게 뛰었다.새 아파트의 전셋값이 노후 아파트 매매가격을 앞지른 경우도 있다. 지난 5월 인천, 강원, 충북, 충남, 광주, 전북, 전남, 부산, 경북, 경남 등 17개 시·도 중 10개 지역에서 새 아파트 전셋값이 노후 아파트 매매가보다 높았다.또한, 신규 분양 아파트는 정부의 분양가 통제로 주변 시세 대비 합리적인 분양가에 공급돼 인기가 높아지고 있다.부동산114 자료를 보면 지난 29일 기준 지난 1년간(2020년 7월~2021년 6월) 전국에서 분양한 신규 아파트 일빈공급 물량은 16만7천344가구(특별공급 제외)로 1순위 청약에 398만7천118건이 접수돼 평균 23.83대 1의 경쟁률을 기록했다.반면, 3년 전(2017년 7월~2018년 6월)에는 18만5천424가구(특별공급 제외) 모집에 249만4천600건이 접수돼 1순위 평균 13.45대 1의 경쟁률을 기록하는 데 그쳤다.    힐스테이트 대구역 퍼스트 투시도. [사진=현대건설]현대건설은 내달 대구 중구 태평로3가 일원에서 '힐스테이트 대구역 퍼스트'를 분양할 예정이다. 단지는 모두 2개 블록으로 구성되며, 이중 먼저 공급되는 힐스테이트 대구역 퍼스트는 지하 5층~지상 41층, 아파트 전용면적 84㎡ 216세대 규모다. 단지 내 지상 1~3층에는 상업시설이 함께 조성된다. 대구 도심 일대에 들어서 편리한 인프라를 누릴 수 있다. 대구도시철도 1호선 대구역과 3호선 달성공원역을 도보로 이용할 수 있으며, 대구 최대 중심상권으로 꼽히는 동성로와 가깝다.같은 달 현대건설은 전북 익산 마동 일원에 '힐스테이트 익산'을 분양한다. 단지는 지하 2층~지상 최고 29층, 6개 동, 전용면적 59~126㎡ 454세대로 구성된다. 전북 익산에 들어서는 첫 번째 '힐스테이트' 브랜드 단지로 조성되는 만큼 우수한 상품과 입지를 누릴 수 있다. 대부분 세대가 4베이 판상형 구조로 설계돼 통풍과 환기가 용이하며, 현대건설만의 특화 설계인 'H 클린현관', 빌트인클리너 등 클린 청정 옵션(일부 유상)도 적용된다. 비규제 지역인 만큼 청약통장 가입 후 6개월 이상, 만 19세 이상이면 세대주뿐 아니라 세대원도 1순위 자격이 되며 계약 직후 바로 전매가 가능하다.DL이앤씨는 내달 서울 강동구 강일동 일원에서 'e편한세상 강일 어반브릿지'를 분양할 예정이다. 지하 2층~지상 27층, 6개 동, 전용면적 84~101㎡ 593세대 규모다. 단지는 기존 주거공간의 개념에서 벗어나 판상형, 타워형, 복층형 평면 등 수요자들의 다양한 주택형을 선보일 예정이다. 단지 인근으로는 이마트, 코스트코, 스타필드 하남 등 대형상업시설도 있어 편리한 주거 생활이 가능하다. ]",['벌써 앞지른지  오래됐을텐데요'],http://www.getnews.co.kr/news/articleView.html?idxno=533982,https://n.news.naver.com/mnews/article/031/0000607778?sid=101
2021.06.29.,전북도민일보,,"완주군, 산업단지 상수도 노후 제수밸브 교체 완료",,,http://www.domin.co.kr/news/articleView.html?idxno=1345433,https://www.joongang.co.kr
