Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.06.30.,중도일보,,"[예산다문화]아이돌봄서비스, 일·가정 양립 가능케 해",,,http://www.joongdo.co.kr/web/view.php?key=20220625010005706,http://www.joongdo.co.kr
2022.06.30.,충남일보,,"대전 대덕구형 '동네돌봄 서비스', 우수사례로 해외 90여국 소개돼",,,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=667499,http://www.chungnamilbo.co.kr
2022.06.29.,천지일보,,경남통합돌봄서비스 활용 방안 토론회,,,http://www.newscj.com/news/articleView.html?idxno=996761,http://www.newscj.com
2022.06.29.,새전북신문,,완주군 노인맞춤돌봄서비스 대상자 주거환경 개선,,,http://sjbnews.com/news/news.php?number=749763,http://www.sjbnews.com/
2022.06.29.,뉴스워커,,"광주사회서비스원, '노인맞춤돌봄서비스 종사장 대상 역량강화교육' 실시",,,http://www.newsworker.co.kr/news/articleView.html?idxno=163441,http://www.newsworker.co.kr
2022.06.29.,스카이데일리,,"시흥, 노인맞춤돌봄 서비스 강화",,,http://www.skyedaily.com/news/news_view.html?ID=160287,http://www.skyedaily.com
2022.06.29.,뉴스1,,"김현숙 장관 ""이용자 중심 '돌봄서비스 AI 플랫폼' 구축할 것""",,,https://www.news1.kr/articles/?4726290,http://news1.kr/
2022-06-29 09:50:58,브릿지경제,사회,"노인인력개발원, 소아암 가정 돌봄서비스 일자리 창출","[ 서울 구로구 가족센터 찾아 돌봄서비스 이용 부모들과 소통    김현숙 여가부 장관.(여가부제공)© 뉴스1(서울=뉴스1) 김진희 기자 = 여성가족부는 29일 김현숙 장관이 전날 오후 서울 구로구 가족센터를 방문해 돌봄지원 서비스 이용자 및 현장 관계자 등과 간담회를 가졌다고 밝혔다.이번 간담회는 아이돌봄서비스, 공동육아나눔터 등 돌봄정책 당사자들의 서비스 이용 경험담과 애로사항을 직접 듣고, 향후 정책에 반영해나가기 위해 마련됐다. 여가부는 지난 23일 가족정책 소통 간담회를 열고 학계·현장관계자와 새 정부 가족정책 추진방향에 대한 의견을 나누는 등 현장밀착형 가족정책 추진을 위한 연속 간담회를 진행 중이다. 이번 간담회에서는 현장을 찾아 돌봄서비스를 이용하고 있는 부모, 일선에서 돌봄사업을 지원하는 관계자들을 만나 소통하는 시간을 가졌다.일과 육아를 병행하고 있는 A씨는 ""쌍둥이가 100일 때부터 어린이집에 다니는 지금까지 아이돌봄서비스가 없었다면 아이들을 키우기 힘든 상황이 많았다""며 ""아이돌봄서비스가 보다 확대되길 바란다""고 요구했다.직장에서 처음 아빠 육아휴직을 쓰며 공동육아나눔터를 이용하게 된 B씨는 ""아이와 노는 방법을 몰랐는데 아빠 육아프로그램을 통해 아빠들과 모임도 갖고, 매주 돌봄활동을 배우며 큰 도움을 받고 있어 만족스럽다""고 말했다.청소년방과후아카데미에 2년간 초·중등학생 두 자녀를 보내고 있는 C씨는 ""아이들이 돌봄과 학습을 함께 지원받고 다양한 체험활동도 경험하며 부쩍 성장하고 있음을 느낀다""며 ""청소년방과후아카데미를 통해 교육 외적으로도 많은 것을 얻고 있다""고 말했다.최근 돌봄서비스가 양적으로 늘고 있지만 질적인 측면에서 여전히 현장의 수요와 공급이 불일치하는 문제가 제기되고 있다. 돌봄정책에 대한 통합적 접근과 더불어 서비스 플랫폼 구축 등을 통해 이용 편의성을 높일 필요가 있다는 전문가의 의견도 제시됐다.김 장관은 ""돌봄정책 당사자들과 이야기를 나누며 아이를 키우는 부모의 수요에 부응하는 촘촘한 돌봄의 중요성을 다시 확인했다""며 ""이용자 중심의 '돌봄서비스 통합 인공지능(AI) 플랫폼' 구축 등 돌봄 정책의 질적 개선과 편의성 제고를 위해 힘쓸 계획""이라고 말했다.   ]",[],https://www.viva100.com/main/view.php?key=20220629010006705,https://n.news.naver.com/mnews/article/421/0006185479?sid=102
2022.06.29.,광주드림,,"광주시, 임신부 막달 가사돌봄서비스 접수기간 연장",,,http://www.gjdream.com/news/articleView.html?idxno=615581,http://www.viva100.com
2022.06.29.,브레이크뉴스,,"광주시, 임신부 막달 가사돌봄서비스 접수기간 연장",,,http://www.breaknews.com/905007,http://www.gjdream.com
