Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.05.31.,주간경향,,ESG 배려의 정치경제학 外[신간],,,http://weekly.khan.co.kr/khnm.html?mode=view&code=116&artid=202205271352211,http://weekly.khan.co.kr/
2022-05-31 16:17:13,MBN언론사 선정,생활/문화,"권성동 ""이재명도 5억 500만원 누락""…민주 ""착오 발견해 자발적 수정""","[ ESG의 모든 것〈ESG 배려의 정치경제학〉 안치용, 이윤진 지음·마인드큐브 2만5000원    세계는 지금 ESG 열풍이 한창이다. ESG는 환경(Environment), 사회(Social), 지배구조(Governance)의 앞글자를 딴 말로, 경제성장 과정에서 계층 간 불평등 확대, 환경오염, 지구온난화 등의 문제가 대두되면서 관심이 높아지고 있다. 기업은 더 이상 재무적 이익만을 추구해서는 생존을 담보할 수 없다. 투자자도 재무적 성과 외에 자연스럽게 기업의 사회적 책임과 지속가능성을 고려할 수밖에 없는 상황이다.ESG를 제목에 넣은 비슷한 책들이 많지만 제대로 정리된 것이 별로 없다고 판단한 저자가 조금 묵직하더라도 제대로 한번 다뤄보자는 취지로 이 책을 썼다. ESG의 개념에서 출발해 이슈 및 사례, 관련 법규, 국내외 적용 방법, 향후 대응 방안 등에 이르기까지 정확한 자료와 근거를 동원해 ESG 전반을 촘촘하게 담았다.▲우리는 왜 잊어야 할까스콧 A. 스몰 지음·하윤숙 옮김·북트리거·1만7500원    익숙한 단어나 오랫동안 외우고 있던 비밀번호와 계좌번호 등이 ‘툭 튀어오르듯’ 생각나지 않을 때, 섣불리 치매를 염려하곤 한다. 이때의 치매란 실제적 질병이라기보다 현대인의 ‘기억 강박’이 불러온 일종의 환상통에 가깝다. 저자는 우리가 걱정하는 증상 중 대다수가 병적 망각, 즉 알츠하이머가 아니라 ‘정상적 망각’이라고 강조한다. 책은 망각이 정상 과정일 뿐 아니라 나아가 우리의 인지 능력과 창의력 그리고 정서적 행복과 사회적 건강에 이롭다는 사실을 알려준다.▲퇴사합니다. 독립하려고요.김시내, 최수현 지음 휴머니스트·1만5500원    언젠가는 퇴사하고 회사를 떠날 이들을 위한 책이다. 스타트업 동료였던 두 사람이 퇴사를 결심하고부터 퇴직, 프리 워커 그리고 자기만의 브랜드를 만들기까지의 기록을 뉴스레터 형식으로 담았다.▲깨어있는 부모셰팔리 차바리 지음·구미화 옮김 나무의마음·1만7800원    서양의 심리학에 동양의 마음챙김을 접목해 ‘깨어 있는 양육법’을 제안한다. 부모와 아이 사이의 핵심은 부모가 일방적으로 가르치는 것이 아니라 부모와 아이가 함께 배우는 상호적 관계라고 저자는 강조한다.▲덕후 여자 넷이 한집에 삽니다후지타니 지아키 지음·이경은 옮김 흐름출판·1만3500원    사반세기 넘게 덕질하며 살아온 한 비혼 1인 가구 세대주가 어느 날 문득 찾아온 미래에 대한 두려움과 불안을 해소하고 ‘지속 가능한 덕질’을 위해 덕후 세 친구와 함께 꾸린 덕질 친화 셰어하우스 입성기다. ]",[],http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4773762,https://n.news.naver.com/mnews/article/033/0000044129?sid=103
29면 1단,한겨레,,[이현석의 팔레트] ‘상시적 망각’에 맞서,,,https://www.hani.co.kr/arti/opinion/column/1044831.html,http://www.mbn.co.kr
2022-05-31 16:44:21,경향신문언론사 선정,정치,"애도와 분노, 규제 요구, 입법 좌절, 망각…반복되는 미국 총기 난사 사건 대...","[ 김은혜, 재산 16억 축소 신고에""실무자의 일부 착오"" 해명민주, 후보 사퇴·당선 무효 맹비난권성동, 경기도지사 시절 이재명 5억 누락 지적하며""과거를 망각한 기억상실증 보여줘…구태정치""민주 ""김은혜, 선관위 판단 내려올 때까지 버텨""    국민의힘 김은혜 경기도지사 후보와 권성동 원내대표가 31일 경기 성남시 분당구 야탑역 앞에서 열린 중앙선대위 경기도 총집결 필승 유세에서 대화하고 있다 / 사진 = 국회사진기자단김은혜 국민의힘 경기도지사 후보가 재산 16억 7,000여 만 원을 축소 신고한 것이 드러나자 더불어민주당 측에선 '후보 사퇴'에 이어 경기도지사로 당선됐을 경우 '무효'라면서 강하게 비판하고 나섰습니다. 이에 국민의힘 측은 지난 2020년 3월 당시 이재명 경기도지사 또한 공직자 재산 신고에서 5억 500만 원을 덜 신고했다고 반격했습니다.권성동 국민의힘 원내대표는 오늘(31일) 자신의 SNS를 통해 ""국민의힘 김은혜 경기지사 후보가 실무진 실수로 재산 신고에서 일부 착오가 있었다. 김 후보 캠프는 이미 충분한 해명을 했다""며 ""그럼에도 불구하고 더불어민주당은 일제히 허위 사실 공표니, 당선 무효니, 후보 사퇴니 하며 민심을 호도하는데 혈안이 되어있다""고 지적했습니다.권 원내대표는 ""하지만 언제나 그렇듯이 민주당의 비판은 결국 자아비판으로 돌아온다""면서 ""2020년 당시 이재명 경기도지사는 공직자 재산 신고에서 채권 5억 500만 원을 누락했다""고 말했습니다.     더불어민주당 이재명 총괄선대위원장이 31일 인천시 남동구 모래내 시장을 방문해 차량에서 내리기에 앞서 시민들에게 손을 흔들어 인사하고 있다 / 사진 = 국회사진기자단실제 지난 2020년 3월 26일 당시 이재명 경기도지사는 '2020년 정기 재산변동'을 신고할 때 채권 5억 500만 원을 누락한 바 있습니다. 이 지사는 23억 2,980만 원을 신고해 2021년 신고액보다 5억 2,170만 원 감소한 것으로 나타났지만, 5억 500만 원이 누락됨에 따라 실제로는 1,500만 원 가량 줄어든 것이었습니다. 이 지사 측은 ""이번 공직자 재산 신고에서 5억500만원의 보유 채권을 누락한 사실을 뒤늦게 파악했다""며 '고의'가 아닌 '실무자의 착오'였다고 해명했습니다.이에 권 원내대표가 ""(김은혜 후보에 대한) 민주당의 비판을 이재명 후보에게 적용하면 어떻게 되겠느냐""고 일갈한 겁니다. 이어 ""무엇보다 이 후보는 본인의 과거를 누구보다 잘 알고 있었을텐데 오히려 김은혜 후보 공격에 앞장서는 표리부동의 전형을 보여주고 있다""고 꼬집었습니다.권 원내대표는 ""도피성 방탄출마로 도덕불감증을 표출하더니, 어떻게든 국민을 속여보려고 민영화, 김포공항 등 허언증을 일삼았고, 마침내 본인의 과거를 망각한 기억상실증을 보여주었다""며 ""그야말로 '고농축 구태정치'라 할 만하다""고 비판했습니다. 또 ""민주당에게 경고한다. 낡은 것으로 새 시대를 만들 수 없다""며 ""심판이 하루 남았다. 바로 내일, 국민께서 낡은 것과 새 것을 나누실 것""이라고 목소리를 높였습니다.반면 민주당 측은 ""선거법상 후보자 재산 신고와 공직자 재산변동 내역 신고는 경중에 있어 경우가 다를 뿐 아니라 당시 이 지사는 착오가 발견되자마자 바로 자발적으로 수정 신고했다""며 ""선관위 판단이 내려질 때까지 버틴 김은혜 후보와 차이가 있다""고 반박했습니다. ]","['민주당 논리:이재명은 누락이요,김은혜는 재산 축소라.민주당 기준은 그때 그때 달라요.아 몰랑~', '', '', '대장동 밝혀지면 천문학적', '', '죄명이와 횡령궁이 하루 빨리 구속 수감되기를 기원합니다.', '선관위신고하며  선거나가는사람과 정기변동 신고가 같냐?\n게다가 용석이가 토론회때 물었잖아. 아니라고 그런일있음 벌받는다고 은혜씨가 해명까지했어. 그런 의혹제기했음 확인을하고 그때 어떻게든 사과를 하든그랬어~~~\n이재명은 정기 재산신고이고 누가 의혹제기도아니고 자발적으로 신고한거잖아.\n같은상황이라고 큭큭대며 웃는 메인사진 진짜 경멸.\n전날 울고짜던 김은혜 어디갔냐???', '역시  재명후보는    뒤지질  않는군  기본 인성 부족한  표리부동의  전형적  인물', '선거 나올 때랑 정기적인 공직자 재산 신고랑 같냐? 선거공보물에 올라가면 허위사실유포가 되는 거지. 경기도는 김동연이다!!', '문제있는사람들 다사퇴했음좋겠다 지방도 난리도아니다 일잘하는사람이 뽑히는게아니라 전과자라도 공천받고 나와 다 시의원 시장 다한다 공천을 없애야데', '""김은혜, 재산 200억 중 16억 과소신고, 무슨 의미 있나"" (국짐당 김기현 공동선대위원장 曰) 이게 그들만의 일본식 ""무대뽀"" 정신. 이런 식으로 범법을 합리화한다면 대한민국은 조만간 부패가 난무하는 나라로 전락한다.', '민주당의 적은 민주당임 ㅋㅋ', '하여튼 ~꼭  반격거리가있으니어이할꼬~~지난날 얼마나 헛튼짓을 많이했으면~~하여튼 재미는있다', '국짐당에서 정치하려면 저정도 철판은 기본으로 깔아야지~~', '이재명도 선거법 위반이니까 내일  선거장에 벽보 붙여야 하는 것 아닙니까? \n국민의 힘은 뭐하냐? 민주당도 선관위에 고발하라', '그러니 내로남불당이지', '저들이 언제 제 몸에  똥이 범벅이되도  알던  집단이던가????그려려니하고  귀 담아 듣지않게 된지 오래구만~~', '', '딱 그만큼이네.. 민주당은 5억, 국힘은 15억. 둘다 나쁜 존재들인데 국힘은 3배 더 나쁘고, 3배 더 해쳐먹고... 에휴... 누가 덜 나쁘냐의 싸움이지  항상.', '열린공감tv', '우리나라는 거짓선동 뉴스 글 때문에 망하는거야ㅋ 너무 정치색이 티나ㅋ', 'ㅠㅠ', '', '강릉 성희롱 권성동... 안돌아가는 머리 굴리지 말고 그냥 사과하면 될 것을.. 니들이 그렇게 물타기 하니까 욕 먹는거야.. 물타기도 제대로 해야지.. Bing Sin 들..', '그럼 그때 물어뜯지 그랬냐 법대로 해', '이재명이 이재명 했네.ㅋㅋㅋ', '성동아 니만 잘하면 다잘될거같다', '결국 지들끼리 침뱉기! 누가 더 더러운가? 찌질한것들', '네.다음은요?', '', '더러운것들끼리 치고 받고', '민주당 역시 내로남불 ㅋㅋ역겹다', ""'잘못했습니다'가 아닌 과거에 너도 했으니 나는 괜찮다?  이게 국민의힘 스탈인가요?"", '찢재명이가 가야할곳은 단하나 깜빵데스네~', '민주당은 내로남불만 아니여도 중간은 갔을터', '그러니깐 죄명이나 즈그당 으네나 수준은 같단 이야기네 ㅋㅋㅋㅋㅋㅋ 자폭을 하노', '성동아꼴사납다.\n너잘하는거취업청탁하고상대당비난하는거빼곤할수있는게없지.?']",https://www.khan.co.kr/world/world-general/article/202205261349001,https://n.news.naver.com/mnews/article/057/0001667126?sid=100
2022.05.26.,뉴시스,,기억보다 망각?...'우리는 왜 잊어야 할까',,,http://www.newsis.com/view/?id=NISX20220526_0001886328&cID=10701&pID=10700,http://www.hani.co.kr/
2022-05-29 18:09:03,기자협회보언론사 선정,오피니언,"""오세훈 후보 대형 현수막 내건 서울신문, 즉각 사과해야""","[     지난달 6일 서울 광화문 교보빌딩 앞에서 열린 무책임한 가습기살균제 살인기업 옥시와 애경 규탄 기자회견에서 환경보건시민센터 회원들과 가습기살균제 피해자 유족들이 발언하고 있다. 연합뉴스    이현석 | 소설가·직업환경의학과 전문의옥시레킷벤키저, 애경산업, 에스케이(SK)케미칼, 에스케이이노베이션, 지에스(GS)리테일, 이마트, 홈플러스, 롯데쇼핑, 엘지(LG)생활건강.가습기살균제 피해 조정안에 참여한 가해기업 명단이다. 산발적으로 발병한 원인미상 폐질환이 하나의 사건으로 인지된 것은 2011년. 이후 10년 만에 민간 조정위가 출범해 올해 4월, 7천여명에게 지원금을 일시 지급하라는 최종안이 나왔다. 그러나 옥시와 애경은 분담비용이 많고, 기업에 더는 책임을 묻지 않겠는다는 ‘종국성’이 없다는 이유로 조정안 수용을 거부했다. 나머지 7개 기업은 조정위 활동기한 연장에 동의했지만 재원분담에서 가장 큰 비율을 차지하는 두 기업이 빠진 만큼 실질적인 피해구제책 마련은 난망하다. 조정위 활동기간 연장 뒤에도 이견을 좁히지 못하면 조정안은 폐기될 수 있고, 조정이 무산되면 민사소송으로 넘어가야 한다.조정기간 연장과 소송. 두 방법 모두에서 저당 잡히는 것은 피해자의 ‘시간’이다. 특히 소송으로 갈 경우 재판은 반드시 길어지게 된다. 대표적인 가습기살균제 성분(PHMG와 CMIT/MIT)이 호흡기 질환을 일으킨다는 것은 이제 논란의 여지가 없으나 환경성 질환 특성상 원인물질 외에도 수많은 교란인자가 존재하기 때문이다. 이미 10여년을 기다린 피해자들이 또 기약할 수 없는 시간 속에 갇혀야 할 때 ‘시간은 공평하다’는 말은 요식에 불과하다. 불공정한 시간싸움으로 정의가 지연된 사이 개개인은 쇠약과 죽음을 겪는다. 섬유화성 폐질환으로 투병하다 지난 3일에 별세한 배구 선수 안은주씨 사례처럼 말이다.4월30일에 갱신된 사회적참사 특별조사위원회 온라인 상황판에는 가습기살균제 피해신고자가 7712명이며 사망자는 1773명으로 확인됐다고 적혀 있다. 안은주씨 사망 소식이 전해지면서 확인된 피해사망자는 이제 1774명으로 늘었다. 이 숫자가 언제까지 이어질지, 얼마나 늘어날지 가늠되지 않는 것은 가습기살균제 사용으로 생명 또는 건강상 피해를 입었을 ‘건강 피해자’의 규모가 49만~56만명으로 추산되기 때문이다. 그런데도 7천여명에 대한 (보상도 아닌) 지원으로 사건을 종결시켜달라는 요구를 우리는 무어라 불러야 할까. 사전을 아무리 뒤적여보아도 ‘생떼’보다 적확한 단어를 찾지 못하겠다.가습기살균제 사건은 세계 최초의 살생물제(바이오사이드) 집단재해사건이다. 동시에 생활제품으로 인한 세계 최대의 환경성 질환이기도 하다. 초유의 재난임에도 여태껏 이 사건에 우리 사회의 관심은 적기만 했다. 최소 9개 가해기업이 제작·생산·가공·유통 등으로 복잡하게 얽혀 있어 초점이 분산된 것이 하나의 이유일 터. 여기에 고분자중합체의 상온 휘발성이 낮다는 이유로 흡입독성 안전성 평가를 건너뛴 정부의 책임까지 맞물려 있으며, 광고주로부터 자유롭지 못한 언론의 의도적 무관심도 한몫했을 것이다.반면 상당수 피해자들은 사건의 전모가 밝혀지기까지 시간이 오래 걸린 탓에 스스로 피해자인지 자각하지도 못했다. 환경성 질환의 경우 당사자가 원인물질을 제시하지 못한다면 알아낼 방법은 요원하다. 기억은 시간을 이기지 못하고 추후에 자각하더라도 그 기억은 심문받는다. 피해신고자와 추정된 건강피해자 규모가 현격히 차이 나는 까닭이 여기에 있다. 사건이 이런 식으로 흩어져 주변부로 밀려나버리면 망각에 직면한다. 망각은 단순히 사건을 잊는 것에서 끝나지 않는다. 비슷한 사건이 반복되지 않도록 제안된 최소한의 장치들, 즉 징벌적 손해배상과 안전성 평가 강화 같은 의제들도 동력을 잃게 된다. 그 결과 발생하게 될 미래의 피해자는 누구인가. 바로 우리 자신이다. 우리가 상시적인 망각에 맞서 이 사건을 적극적으로 기억해야 하는 이유다.   ]",[''],http://www.journalist.or.kr/news/article.html?no=51614,https://n.news.naver.com/mnews/article/028/0002592535?sid=110
2022.05.30.,더스쿠프,,[Weekly BOOK Review] 오감 자극하는 미학 비즈니스,,,http://www.thescoop.co.kr/news/articleView.html?idxno=54432,http://www.khan.co.kr/
2022-05-26 13:50:01,문화일보언론사 선정,세계,"[두더지] MZ절반 “올 혼술 경험”… 멋진 문화로 미화, 유행처럼 번져","[     텍사스주 출신인 테드 크루즈 공화당 상원의원(오른쪽)이 25일(현지시간) 유밸디에서 열린 롭 초등학교 총기 난사 사건 희생자 추모식에서 루벤 놀라스코 유밸디  카운티 보안관과 함께 기도를 하고 있다. 유밸디|AP연합뉴스미국 텍사스주 초등학교에서 어린이 19명과 교사 2명이 18세 남성의 무차별 총격에 사망한 사건의 파장이 이어졌다. 범행 전후 상황과 희생자들의 안타까운 사연이 전해지면서 미국 사회에서는 애도와 충격, 분노가 넘치고 있다. 정치인들은 여야를 막론하고 희생자들을 추모하고 유족을 위로하는 메시지를 내놓았지만 대책에 관해선 민주당과 공화당이 반대의 입장을 고수했다. 민주당은 총기 규제 강화를 외쳤지만, 공화당은 총기 소유 규제는 대책이 아니라고 맞섰다. 이번에도 결국 총기 규제 법안이 의회를 통과하지 못하고 시간이 지나면서 사건은 잊혀지는 기존 패턴이 반복될 것이란 전망이 나온다.총격범인 살바도르 라모스(18)는 소셜미디어 앱을 통해 2주 전 알게 된 독일의 15세 소녀에게 범행을 미리 예고한 것으로 드러났다고 CNN방송 등이 25일(현지시간) 보도했다. 라모스는 범행 당일 이 소녀에게 할머니와 다퉜다는 메시지를 보낸 뒤 얼마 되지 않아 “방금 할머니에게 총을 쐈다”는 메시지와 “지금 당장 초등학교에 총을 쏘러 갈 것”이라는 메시지를 각각 보냈다는 것이다. 라모스는 앞서 총알을 구입했을 때도 자랑을 했던 것으로 전해졌다.라모스는 사건 당일 할머니의 얼굴을 겨냥해 총을 쐈고, 목숨을 건진 할머니는 경찰에 신고했다. 이후 라모스는 집을 뛰쳐나와 초등학교로 향했다. 그는 AR-15 돌격용 소총을 들고 방탄조끼를 입은 채 학교 뒷문으로 들어가 4학년 한 교실 문을 걸어 잠그고 소총을 난사했다. 이 때문에 모든 희생자가 이 교실에서 나왔다고 텍사스주 당국은 설명했다. 그레그 애벗 텍사스 주지사는 라모스가 정신건강 문제나 범죄 전력이 없는 고등학교 중퇴자였다고 밝혔다.미국 역사상 최악의 초등학교 총기 난사 사건인 샌디훅 초등학교 총기 난사 사건 10주기를 6개월 앞두고 유사한 사건이 벌어지자 미국 사회는 경악했다. 특히 불과 열흘 전에 뉴욕주 버펄로에서 흑인에 대한 증오심에 사로잡힌 18세 청년이 흑인 밀집 거주지역 슈퍼마켓에서 총기를 난사해 10명을 사살한 충격이 가시지도 않은 상황이었다.조 바이든 대통령은 전날에 이어 이날도 “상식적인 총기 규제가 모든 비극을 막을 수는 없지만 상당한 영향을 줄 것으로 확신한다”면서 총기 규제 강화 필요성을 역설했다. 그는 백인 경찰관의 과잉진압으로 사망한 흑인 조지 플로이드 사건 2주기를 맞아 백악관에서 경찰 개혁 관련 행정명령 서명식을 하면서 “총기 규제가 수정헌법 2조에 미치는 부정적인 영향은 사실상 없다”고 말했다. 미국 수정헌법 2조는 총기 소유 권리를 보장하고 있다. 그는 “18세가 상점에 들어가 전쟁용으로 설계되고 살상용으로 판매되는 무기를 살 수 있다는 것은 상식적으로 잘못됐다고 생각한다”면서 “일어난 일들이 계속 반복되고 있다. 우리가 해야 할 일을 도대체 언제 할지에 대해 우리는 답해야 한다”고 말했다.미 연방 하원은 지난해 민주당 주도로 규제 사각지대인 사인간 총기 거래와 인터넷을 통한 총기 거래를 새롭게 규제하는 법안과 총기 구매 희망자의 신원조회 기간을 늘림으로써 신원조회를 강화하는 법안을 각각 통과시켰지다. 하지만 두 법안은 현재 공화당의 반대 때문에 상원에서 잠자고 있다. 척 슈머 민주당 상원 원내대표는 이날 “전염병처럼 퍼지는 총기 폭력을 막기 위한 입법에 협조할 공화당 동료가 10명이 없다는 것은 미국 국민이 받아들일 수 없을 것”이라고 말했다. 공화당 의원 10명만 동참해주면 이 법안들을 통과시킬 수 있다는 것이다. 하지만 공화당이 그의 촉구를 받아들일 가능성은 높지 않다.실제로 공화당 의원들은 텍사스 초등학교 총기 난사 사건 대책에 관해 정반대의 의견을 내놓았다. 텍사스 출신인 테드 크루즈 상원의원은 방송 인터뷰에서 총기 규제는 학교 총기 난사 사건의 대책이 되지 못한다면서 무장한 경찰관을 학교에 더 많이 배치해야 한다고 주장했다. 학교 총기 난사 사건에 대해 총기 소유 옹호론자들이 펼치는 ‘교사무장론’을 되풀이한 것이다. 공화당 서열 1위인 미치 매코널 상원 원내대표는 총격범을 비난하고 희생자들을 애도하는 메시지를 트위터에 올렸지만 총기 규제 법안을 상원 표결에 부치는 문제에 관한 미국 언론의 질의엔 침묵하고 있다. 소나기만 피하자는 심산이다. 도널드 트럼프 전 대통령은 사건 현장인 유밸디로부터 약 483㎞ 떨어진 휴스턴에서 27일 열리는 전미총기협회(NRA) 연례행사에서 예정대로 연설을 하겠다고 밝혔다. NRA는 막강한 자금과 로비력을 바탕으로 모든 총기 규제 법안의 입법을 봉쇄하고, 기존 총기 규제 법안들을 철폐하는데 총력을 기울이고 있다. 트럼프 전 대통령은 2019년 8월 텍사스주와 오하이오주에서 하루 간격으로 대규모 총기 난사 사건이 발생했을 당시 여론에 떠밀려 총기 규제 대책을 강구하겠다고 밝혔지만 이후 웨인 라피에르 NRA 회장을 만난 뒤 없던 일이 됐다. 크루즈 상원의원과 애벗 주지사 등도 행사에 참여할 예정이다. 희생자들의 장례가 진행되기 전인데도 상황이 이렇다 보니 이번에도 총기 규제 입법은 물건너 간 것 같다는 평가가 나온다. 인터넷 매체 악시오스는 “대형 총격 사건이 발생할 때마다 유사한 패턴이 있다”면서 “총격 사건이 발생하면 의회는 총기 규제 입법에 초점을 맞추지만 공화당은 대부분의 신규 총기 규제를 지지하지 않고 민주당은 공화당의 필리버스터를 넘지 못한다”고 지적했다. 여론이 비등했을 때 총기 규제 입법 시도가 강력해지지만 공화당의 완고한 버티기에 가로막혀 시간이 흐르고 사회적 관심이 다른 데로 옮아가면 입법이 흐지부지 되는 일이 반복되고 있다는 것이다.총기 사고는 오히려 총기 규제 법안 도입 전에 미리 총기를 구매하려는 사람들의 총기 수요를 늘리고 총기 회사의 주가를 끌어올리고 있다. 뉴욕타임스에 따르면 총기 사고 다음날 미국 총기회사 스미스&amp;웨슨과 총기 업체 레밍턴을 소유한 비스카 아웃도어의 주가는 총격 사건 다음날인 25일 각각 7% 정도 상승했다. 또 다른 총기 제조사 스텀 루거의 주가는 4% 이상 올랐다. 드루 스티벤슨 사우스텍사스 칼리지 법학 교수는 “총기 산업은 비뚤어진 수익 구조를 갖고 있다”며 “왜냐하면 이런 일들이 벌어지면 매출과 주식이 오르기 때문”이라고 말했다.그 사이 총격 사건 희생자들은 계속 늘어난다. 총기 규제 운동 단체들의 집계에 따르면 이번에 발생한 롭 초등학교 총기 난사 사건은 올해 들어 27번째 학교 내 총기 사건이었다. 미국에서는 올해 들어 4명 이상이 숨지는 대량 총격 사건이 벌써 200건 이상 발생했다.   ]","['아무리 좋게 봐줘도 미국은 사람이 살 동네가 못된다~~~~', '어느나라나 마찬가지겠지만 특히 미국은 빈부격차 극과극이라 한인들 많은LA쪽이나 부촌제외하고는 한국인이 적응하기 힘들더라', '인간의 사악함,구조적인문제 해결되지않는 반복적일 문제\n답답하다. 기성세대들의 돈때문에', '도대체 이해가 안간다.  초등학교는 왜 가서~  세상 사람 전체 상대로 분노 유발하고자했나?\n이유가 뭔지?  왜?', '총을 보유할 수 있는 유일한 나라 ,   얼굴보면 인상이 좋지않은 넘이 총질하더만 \n\n\n인간관계도 생김새 잘 살펴보고  성격이 나쁜자는 거리를 두어야 한다\n\n옛말에 생김세데로 논다는 말이 있지만  실사회생활해보니  그게 맞더라\n\n미\n\n미국 인권언급하지만 지나라인권은 그렇다 교육도 없는 것같다\n\n계속 총질하고 자본가는 돈벌고   바이든 지긋지긋하지........  도덕적 국가로 가는 것은 별따기인가\n\n총개인 소지못하게 법을 만들면 되지만 총생산자본가에 로비당하여  안되나']",http://www.munhwa.com/news/view.html?no=2022053001070930316001,https://n.news.naver.com/mnews/article/032/0003149336?sid=104
2022.05.23.,뉴스1,,'망각'할 수 있어 행복한 인간…'우리는 왜 잊어야 할까' [신간],,,https://www.news1.kr/articles/?4688756,http://www.newsis.com
2022-05-26 11:13:09,내일신문,생활/문화,"‘위험요인 망각’, TBM(작업 전 안전점검) 실천해야","[     [서울=뉴시스] 이수지 기자 = 망각은 ‘결함’이 아니라 ‘선물’이다?미국 컬럼비아대학의 신경학 및 정신의학 교수로서 자타공인 ‘기억 전문가’인 저자는 '우리는 왜 잊어야 할까'를 통해 우리가 걱정하는 증상 중 대다수가 병적 망각, 즉 알츠하이머병이 아니라 ‘정상적 망각’이라고 강조한다.  익숙한 단어나 오랫동안 외우고 있던 비밀번호와 계좌번호 등이 ‘툭 튀어오르듯’ 생각나지 않을 때, 섣불리 ‘치매’를 염려하곤 한다. 이때의 ‘치매’란 실제적 질병이라기보다는 현대인의 ‘기억 강박’이 불러온 일종의 환상통에 가깝다. 저자는 “나는 기억 전문가이지만 내가 듣는 이야기는 모두 망각에 관한 것”이라며 이야기를 시작한다. 문제는 그러한 고통을 호소하는 이들의 대부분이 병적 망각이 아니라 정상적 망각에 관해 불평한다는 점이다.어찌 됐거나 ‘망각은 우리에게 이롭다’라는 말은 사람들의 반발을 사기 십상이다. 이 책의 프롤로그 제목처럼 “고화질 사진 같은 기억력을 원하”지 않는 사람이 누가 있겠는가? 바꿔 말하면, 영화 속 슈퍼 히어로나 갖고 있을 법한 이러한 비현실적인 능력에 가려져, 실제로 우리 뇌가 우리를 ‘살리기 위해서’ 매일 발휘하고 있는 망각의 인지 능력은 뒷전이 되어 온 셈이다.'우리는 왜 잊어야 할까"" 책은 일반인들에게 뿌리내린 ‘기억 강박-망각 공포’를 직시하고 완전히 뒤집어 보자고 제안한다. 대표적인 예로 자폐스펙트럼장애(자폐증)를 들 수 있다. 자폐증 환자들은 때때로 ‘서번트 증후군’이라는 뛰어난 기계적 암기 능력을 보이기도 하지만, 세부 사항을 하나하나 기억하고 잊어버리지 않는 바로 그 능력 탓에 일상적인 어려움을 겪는다. 책에는 선천적으로 해마 기반의 기억 능력이 떨어지는데도 훌륭한 진단을 내리는 의사 ‘닥터 X’의 사례가 담겼다. 자신의 타고난 기억력을 겸허히 받아들이고 오히려 그것을 장점으로 승화하여, 편견이나 잘못된 판단을 경계하게 된 경우라고 할 수 있다. 그는 저자에게 상담을 받으면서, 자신은 세월이 흐르면서 기억력이 나빠진 게 아니라 원래 “내 뇌가 그렇게 생겼어요”라고 말한다.  닥터 X처럼 우리 모두는 저마다 ‘이렇게 생긴 뇌’를 가지고 태어나며, 나이가 들어가면서 자연히 조금씩 기억을 잃어 간다. 과학은 지금 이 순간에도 맹렬히 발전하고 있고, 언젠가는 기억 감퇴의 치료약이 개발될지도 모르지만 그럼에도 선천성과 노화라는 두 가지 요인만은 변하지 않을 것이다. 이 책은 그 사실을 자연스럽게 받아들이면서 건강한 생활을 영위할 때 우리가 더 행복하게 살아갈 수 있다고 이야기한다. 끝없이 고통받는 뇌에 허락된 단 하나의 선물은 ‘잊기’다. ]",[],http://www.naeil.com/news_view/?id_art=424314,https://n.news.naver.com/mnews/article/003/0011210167?sid=103
