Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.03.31.,연합뉴스,,"경남도, 문화재청 긴급발굴 지원사업 전국 최다 선정",,,http://yna.kr/AKR20210331070000052?did=1195m,https://www.yna.co.kr/
2021-03-31 10:47:26,뉴시스,사회,한국문화예술회관연합회 신임 이사장에 권기찬 임명,"[     지난해 긴급발굴 지원 통영 팔천곡 고분군[경남도 제공. 재판매 및 DB 금지](창원=연합뉴스) 황봉규 기자 = 경남도는 올해 문화재청 긴급발굴조사 지원사업에 전국 최다인 5개 유적이 선정됐다고 31일 밝혔다.    긴급발굴조사 지원사업은 전국 각지의 비지정 매장문화재(유적)에 대해 시굴·발굴조사에 필요한 비용을 국비 100%로 지원한다.    지원대상은 수해, 산사태, 도굴, 유물 발견 등으로 훼손 우려가 큰 유적이나 보호·관리를 위해 정비가 필요한 유적, 문화재 지정이 필요한 유적 등이다.    올해 전국 9개 시·도에서 선정된 16개 유적 중 경남에서 5개 유적이 선정돼 발굴조사비 4억7천만원을 지원받는다.    선정 유적은 양산 지산리 서리고분군Ⅱ, 의령 벽화산성 고분군, 함안 선왕동 고분군, 창녕 우천리·상월 안지골고분군, 김해 상동 묵방리 백자가마터다. 김해를 제외한 4개 유적은 가야시대 비지정 고분군이다.    특히 의령, 함안, 창녕 유적은 지역의 가야사를 규명하는데 중요한 유적으로 평가받고 있어 발굴성과에 따라 문화재 지정의 근거자료로도 활용될 수 있을 것으로 도는 기대했다.    선정 유적들은 대부분 개인 사유지에 있어 토지소유자 동의를 받은 이후 해당 시·군의 발굴기관 선정, 발굴 허가 등의 절차를 거쳐 올해 안에 발굴을 끝낼 예정이다.    도는 문화재청의 긴급발굴조사 지원 대상 선정이 마무리되면서 올해 도내 가야유적 학술조사는 비지정 가야유적 29건을 포함해 모두 43건을 추진한다.    김영선 도 가야문화유산과장은 ""비지정 유적의 보존 관리는 시·군 사무로 부족한 재정여건 상 제대로 된 가치 확인조차 어려운 것이 현실""이라며 ""긴급발굴 지원사업이 해당 가야유적들의 본격 조사연구와 보존관리에 마중물이 될 것""이라고 말했다.    bong@yna.co.kr▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크] 서울 소상공인 평균 월세 얼마?▶제보하기&lt;저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지&gt;   ]",[],http://www.newsis.com/view/?id=NISX20210331_0001389742&cID=10701&pID=10700,https://n.news.naver.com/mnews/article/001/0012296522?sid=102
2021.03.31.,위키트리,,"달봉씨의 따뜻한 마음, 다문화가정 든든한 생계비로",,,https://www.wikitree.co.kr/articles/633950,http://www.newsis.com
2021-03-31 11:13:58,뉴스1,생활/문화,충남도립대 도서관 '웨이브온' 지원…코로나 문화갈증 해소,"[     [서울=뉴시스] 권기찬 한국문화예술회관연합회(KoCACA·코카카) 신임 이사장 (사진 = 코카카) 2021.3.31. photo@newsis.com[서울=뉴시스] 이현주 기자 = 문화체육관광부(장관 황희·문체부)는 한국문화예술회관연합회(회장 이승정·코카카) 비상임 이사장에 권기찬 웨어펀인터내셔널 회장을 임명했다고 31일 밝혔다. 권 신임 이사장은 코카카(KoCACA) 정관에 따라 이달 개최된 이사회에서 이사장 후보로 추천됐다. 임기는 3년이다. 프랑스와 이탈리아 각 정부로부터 문화경제교류에 기여한 공로로 국가공로훈장 기사를 받은 이력이 있다. 두 나라에서 기사장을 받은 한국인은 권 이사장이 최초다. 서울국제음악제 조직위원, 성정문화재단 성정음악콩쿠르대회장, 숙명여대 겸임교수, 예술의전당 후원회 이사 및 운영위원, 강남문화재단 이사 등을 역임했으며, 문화예술 전반에 대한 전문성과 함께 탁월한 업무추진력과 소통·협업 역량을 갖췄다는 평가를 받고 있다.이승정 코카카 회장은 ""권 신임 이사장은 평소 문화예술에 대한 관심과 애정이 많고 오랫동안 문화예술과 관련한 다양한 사업을 경영해온 기업인""이라며 ""그동안 쌓아온 풍부한 경험과 지식, 경영마인드를 발휘해 기관의 발전과 전국의 문화예술회관 운영 활성화, 예술인 후원 등에 크게 기여할 것""이라고 기대했다. 한편 코카카는 전국 문화예술회관의 균형발전 및 상호 간의 협력증진과 공연예술 유통, 소외계층을 비롯한 국민의 문화활동지원 등 문화예술진흥을 도모하기 위해 1996년 설립됐다. 서울 예술의전당, 세종문화회관 등 전국 223개 문예회관을 회원기관으로 두고 있는 문체부 유관기관이다.☞공감언론 뉴시스 lovelypsyche@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기&lt;ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지&gt;   ]",[''],https://www.news1.kr/articles/?4259331,https://n.news.naver.com/mnews/article/003/0010421852?sid=103
2021.03.30.,서울경제,,"부산시, 창업지원시설 재배치 추진···창업생태계 고도화 부응",,,https://www.sedaily.com/NewsView/22K0C2QYW1,http://www.wikitree.co.kr
17면 1단,부산일보,,문화예술교육 총서 나왔다,,,http://www.busan.com/view/busan/view.php?code=2021032320594458773,http://news1.kr/
2021-03-31 14:19:51,더팩트언론사 선정,사회,'코로나 직격' 예술인에 재난지원금 100만 원,"[ 방송·실시간TV 서비스 지원, 재학생 누구나 이용 가능    충남도립대학교 도서관에서 웨이브온 VOD 서비스 사전 점검이 진행되고 있다.© 뉴스1(내포=뉴스1) 최현구 기자 = 충남도립대학교(총장 김용찬)가 웨이브온 VOD 서비스 지원을 통해 코로나19로 위축된 대학 문화생활에 활력을 넣는다.충남도립대 도서관은 4월부터 내년 2월까지 방송, 영화 VOD 및 실시간TV 등 웨이브온을 시청할 수 있는 온라인미디어(OTT) 서비스를 제공한다고 31일 밝혔다.‘웨이브온 VOD’란 사용자가 필요로 하는 영상을 실시간으로 제공해주는 맞춤영상 정보서비스 플랫폼이다.이번 서비스 지원은 그동안 DVD 자료를 이용한 영상콘텐츠 서비스 지원 방식을 시대변화에 따라 스트리밍 방식으로 전환한 것으로 재학생은 누구나 이용 가능하다.이용 방법은 도서관 방문을 통해 접속할 수 있으며 도서관 운영 시간 내에 제한 없이 시청이 가능하다.김용찬 총장은 “코로나19와 비대면 시대에 대응해 디지털 플랫폼으로 그 역할을 넓히기 위해 노력하고 있다”며 “이번 웨이브온 지원으로 문화 갈증을 해소하고 도서관이 소통을 위한 디지털 광장으로 새롭게 태어나는 계기가 되기를 기대한다”고 말했다.chg5630@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&amp;BBC 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지   ]",[],http://news.tf.co.kr/read/life/1851069.htm,https://n.news.naver.com/mnews/article/421/0005258145?sid=102
2021.03.31.,여성신문,,"정영애 여가부 장관, 다문화가정 지원 현장 살핀다",,,http://www.womennews.co.kr/news/articleView.html?idxno=209818,http://www.sedaily.com
2021-03-30 09:29:10,아시아경제,사회,"교육부, 평생학습도시·특성화 지원도시 선정","[ 창업카페 3개소 통합해 부산역 유라시아플랫폼 내 핵심거점공간 조성[서울경제] 부산시와 부산경제진흥원은 창업지원시설의 효율적 운영과 창업 생태계 고도화를 위해 기존 창업카페를 통합 운영하는 등 창업지원시설을 재배치할 계획이라고 30일 밝혔다.이 같은 계획 수립은 창업지원기관의 다양한 사업으로 지역 창업 생태계가 성숙해지고 코로나19로 비대면·온라인 지원 프로그램에 대한 수요가 늘고 있기 때문이라고 부산시는 설명했다.부산시는 그동안 부경대로부터 공간을 임차해 운영해온 부산창업카페 대연점을 비롯해 송상현광장점, 사상역점 3곳을 통합해 부산역 유라시아 플랫폼 내에 창업 핵심거점공간을 조성하는 방안을 검토 중이다.    부산 창업지원시설 재배치 계획./사진제공=부산시이와 함께 창업카페 송상현광장점은 가족 단위 방문객이 많은 광장의 특성을 고려해 메이커 문화 확산을 위한 메이커스튜디오로 활용하고 기존 한신밴 건물 2층의 메이커스튜디오 공간은 최근 같은 건물 3층에 구축한 전자상거래 기업 지원시설인 e-커머스 비즈센터의 교육장과 도심공동물류 시설로 활용할 방침이다.부산시는 2010년부터 추진해 온 창업지원사업이 청년창업 문화확산(1단계), 예비·초기 창업 발굴 및 육성(2단계), 기술창업 및 재창업 지원(3단계) 등으로 고도화하면서 지역의 창업 인프라가 양적으로 충분히 확장됐다고 평가했다.이에 따라 앞으로 민간투자 유치 등을 통한 창업투자생태계 조성과 온라인·비대면 프로그램 강화에 주력할 계획이다.부산시 관계자는 “수도권의 투자자와 우수한 인재가 부산 창업기업과 협업할 수 있도록 지역 창업생태계의 확장과 질적인 개선을 실현해 나가겠다”고 말했다./부산=조원진기자 bscity@sedaily.com▶ 상위 1% 투자자 픽! [주식 초고수는 지금]▶ 지피지기 대륙 투자 공략법[니하오 중국증시]▶ 네이버 채널에서 '서울경제' 구독해주세요!저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지   ]",[],https://view.asiae.co.kr/article/2021033113583528755,https://n.news.naver.com/mnews/article/011/0003889919?sid=102
2021.03.31.,파이낸셜뉴스,,안양문예재단 문화예술인 지원사업 공모…2일마감,,,http://www.fnnews.com/news/202103311128032745,http://www.busan.com/
