Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.06.30.,경북신문,,"경북대, 수업 중 제작한 컴퓨터···지역 아동복지시설 기증",,,http://www.kbsm.net/news/view.php?idx=354975,http://www.kbsm.net
2022.06.30.,이뉴스투데이,,"광산구시설관리공단, 지역 7개 사회복지시설과 공동협약 발대식 개최",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1580147,http://www.enewstoday.co.kr/
2022.06.30.,뉴스1,,취약 복지시설 '급식위생·영양관리' 돕는다…지원센터 7월 본격 활동,,,https://www.news1.kr/articles/?4727689,http://news1.kr/
2022-06-30 10:37:01,인천투데이,사회,"인천사회서비스원, 민간복지시설 맞춤형 경영 컨설팅",[ [하반기 달라지는 것] 사회복지급식관리지원센터 7월28일 지원 시작    25일 오후 서울 종로구의 한 무료급식소를 찾은 어르신이 식사를 하고 있다.2022.5.25/뉴스1 © News1 구윤성 기자(서울=뉴스1) 권영미 기자 = 오는 7월 말부터 취약계층이 이용하는 사회복지시설의 급식위생 및 영양관리를 정부가 체계적으로 지원한다. 30일 정부가 배포한 '2022년 하반기부터 이렇게 달라집니다' 자료에 따르면 식품의약품안전처는 지난해 7월 제정된 '노인·장애인 등 사회복지시설의 급식안전지원에 관한 법률'에 따라 7월 28일부터 사회복지급식관리지원센터를 통해 이 같은 지원을 제공하게 된다. 식약처는 지자체와 함께 각 지역별로 지원센터를 설립해 지원 활동을 준비해 왔다.  앞으로 지원센터는 소규모 요양원이나 주·야간 보호시설 등 영양 및 위생 관리가 취약한 사회복지시설을 대상으로 Δ급식소 이용자 개인별 영양관리 카드 작성 및 관리 Δ소속 전문가 방문을 통한 위생·영양 관련 지도·상담 Δ시설 특성을 고려한 식단과 조리법 제공 Δ이용자·시설측·요양보호사 등 대상 식생활교육프로그램 운영 등의 활동을 진행하게 된다.   ],[],http://www.incheontoday.com/news/articleView.html?idxno=219671,https://n.news.naver.com/mnews/article/421/0006188609?sid=102
2022.06.29.,베리타스알파,,"경북대, 수업 중 제작한 컴퓨터 지역 아동복지시설에 기증",,,http://www.veritas-a.com/news/articleView.html?idxno=420391,http://www.incheontoday.com/
2022.06.30.,뉴스핌,,"대전시설공단 무지개복지공장, 장애인 재활승마 체혐 진행",,,http://www.newspim.com/news/view/20220630000933,http://www.veritas-a.com
2022.06.30.,시민일보,,"광주시, 노인복지시설등 취약게층 결핵 이동검진",,,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160287558666700,http://www.newspim.com
2022.06.29.,한국강사신문,,"강동구, 노인복지시설 종사자 노인인권 전반에 대한 교육 실시",,,http://www.lecturernews.com/news/articleView.html?idxno=100632,http://www.siminilbo.co.kr
2022.06.29.,이뉴스투데이,,"HUG, 노후 사회복지시설 개보수를 위한 기부금 전달",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1579583,http://www.lecturernews.com
2022.06.28.,천지일보,,"HUG, 노후 사회복지시설 개보수 사업 대상 기관 공모",,,http://www.newscj.com/news/articleView.html?idxno=996503,http://www.enewstoday.co.kr/
2022.06.27.,장애인신문,,"복지부, 장애인직업재활시설 '경영 컨설팅' 나서",,,http://www.welfarenews.net/news/articleView.html?idxno=83361,http://www.welfarenews.net
2022.06.27.,시민일보,,"용인시, 노인장기요양기관·장애인복지시설 종사자 대상 교육 실시",,,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160286651616219,http://www.siminilbo.co.kr
2022.06.27.,국제신문언론사 선정,,영양사 없는 경남지역 소규모 복지시설 부실식단 없앤다,,,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20220627.99099007232,http://www.kookje.co.kr/
2022-06-27 10:30:02,국제뉴스,사회,"충북도, 노인복지시설 지도점검 나서","[ ‘사회복지급식관리지원센터’ 창원 개소 7월부터 운영인력 부족한 노인·장애인 등 취약계층 이용 시설 지원인력과 재정이 부족해 영양사를 별도로 고용하지 못하는 소규모 복지시설의 급식 안전과 영양 관리를 경남도가 돕는다.    복지시설의 조리원 교육 모습. 경남도 제공경남도는 노인이나 장애인 등 취약계층이 이용하는 소규모 복지시설에 대해 다음 달부터 도내 최초로 창원시에 사회복지급식관리지원센터를 운영한다고 27일 밝혔다.사회복지급식관리지원센터는 노인·장애인 대상 급식소의 위생·영양 관리를 지원하고 입소자의 건강 증진을 위한 식품의약품안전처와 지자체 연계 사업이다. 회복지급식관리지원센터는 전국 7곳이 시범사업으로 운영 중이며, 올해 창원시를 포함해 12곳이 하반기에 신규로 운영을 시작할 예정이다.현재 영양사가 없는 어린이집, 유치원 등은 어린이급식관리지원센터에 의무적으로 등록해 영양·위생 관리를 지원한다. 하지만 식품의약품안전처에 따르면 노인이나 장애인이 이용하는 복지시설 10곳 중 8곳에서는 영양사 없이 급식이 제공된다.이러한 소규모 급식시설에서는 조리 종사자 또는 요양보호사의 주도하에 급식이 제공돼 영양 관리는 물론 위생관리 부족으로 식중독 등이 발생할 수 있어 전문가의 관리가 필요하다. 사회복지급식관리지원센터가 운영되면 전문 영양사가 해당 시설을 직접 방문해 ▷식습관 분석을 통한 맞춤 식단 제공 ▷조리사·요양보호사·어르신에 대한 대상별 교육 ▷위생·영양 관리 방문지도 등을 수행한다.강지숙 경남도 식품의약과장은 “사회복지급식관리지원센터 설치를 통해 노인 등 취약계층에 안전하고 위생적이며 균형 잡힌 급식이 제공될 것으로 기대한다”면서 “내년에 국비를 확보해 센터를 추가 설치하고 노인·장애인에 대한 급식 관리 지원으로 건강 증진과 삶의 질 향상에 이바지하겠다”고 밝혔다.   ]",[],https://www.gukjenews.com/news/articleView.html?idxno=2495691,https://n.news.naver.com/mnews/article/658/0000013158?sid=102
2022.06.30.,뉴스핌,,"대전시설공단 무지개복지공장, 장애인 재활승마 체혐 진행",,,http://www.newspim.com/news/view/20220630000933,http://www.gukjenews.com/
2022.06.25.,국제뉴스,,"용인시, 노인장기요양기관·장애인복지시설 종사자 교육",,,https://www.gukjenews.com/news/articleView.html?idxno=2494664,http://www.newspim.com
2022.06.30.,시민일보,,"광주시, 노인복지시설등 취약게층 결핵 이동검진",,,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160287558666700,http://www.gukjenews.com/
2022.06.29.,한국강사신문,,"강동구, 노인복지시설 종사자 노인인권 전반에 대한 교육 실시",,,http://www.lecturernews.com/news/articleView.html?idxno=100632,http://www.siminilbo.co.kr
2022.06.24.,에이블뉴스,,"복지부, 27개 장애인직업재활시설 '마케팅·품질관리' 지원",,,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0034&NewsCode=003420220624152240548698,http://www.lecturernews.com
2022.06.24.,메트로신문,,"부산항만공사, 부산신항 복지센터 부대시설 개장",,,http://www.metroseoul.co.kr/article/20220624500027,http://www.ablenews.co.kr/
2022.06.23.,뉴스티앤티,,"서철모 대전 서구청장 당선인, 관내 장애인복지시설 찾아 봉사활동",,,http://www.newstnt.com/news/articleView.html?idxno=221088,http://www.newstnt.com
2022.06.23.,팍스경제TV,,"김포FC, 장애인복지시설 '예지원' 초청해 경기 펼쳐",,,http://www.paxetv.com/news/articleView.html?idxno=147386,http://www.paxetv.com
2022.06.23.,글로벌경제,,"부산항만공사, 부산항 신항 복지플러스센터 부대시설 개장",,,http://www.getnews.co.kr/news/articleView.html?idxno=588959,http://www.getnews.co.kr
2022.06.23.,뉴스1,,노인·장애인 소규모 복지시설 영양관리 돕는다…지원센터 연내 18곳 개소,,,https://www.news1.kr/articles/?4721150,http://news1.kr/
2022-06-23 15:56:47,국제뉴스,사회,"김제시, 사회복지시설 식중독 예방 '발 벗고 나서'","[ 사회복지시설급식지원법 내달 28일 시행…5년내 모든 시군구로 확대운영 12년차 맞은 어린이급식지원센터는 234개소로 늘어    13일 대구 중구 남산동의 한 어린이집 급식 조리실에서 중구청 위생과 직원들이 신종코로나(코로나19) 차단과 식중독 예방을 위해 위생 상태를 점검하고 있다. (특정 기사내용과는 무관한 자료사진). 2020.2.13/뉴스1 © News1 공정식 기자(서울=뉴스1) 강승지 기자 = 식품의약품안전처는 7월 28일부터 시행될 '노인·장애인 등 사회복지시설의 급식 안전지원에 관한 법률'에 따라 50인 미만에게 급식을 제공하는 소규모 사회복지시설에 위생·영양 관리를 지원하는 '사회복지급식지원관리센터'를 확대한다고 23일 밝혔다.노인 등이 무료로 식사를 제공받는 '무료급식소'의 경우 식품위생법상 집단급식소의 범주에 포함되지 않는다. 집단급식소를 운영하려면 지방자치단체에 신고를 해야 한다.만일 무료급식소가 지자체에 신고하고 운영 중이라면 50인 이상의 식사를 제공하기 때문에 영양사가 의무고용돼 있는 상황이다.식약처는 사회복지시설에서 운영하는 급식소 중 80% 이상이 50인 미만에게 급식을 제공하는 소규모 영세 급식시설이라며, 앞으로 위생·영양관리 지원을 확대하겠다는 입장이다.식약처는 올해 안에 사회복지급식관리지원센터를 전국 18개소로 확충하고, 5년 안에 전국 모든 시·군·구로 확대할 예정이다.어린이집, 유치원 등 어린이에게 급식을 주는 기관을 관리·지원하는 '어린이급식관리지원센터'의 경우 지난 2011년 도입돼 지난해 말까지 전국 234개소로 늘어났다. 식약처는 어린이급식관리지원센터 운영 11주년과 사회복지급식관리지원센터 사업 시작을 기념해 이날 부산 벡스코에서 성과보고회를 개최했다.오유경 식약처장은 ""현재 모든 시·군·구에 어린이급식관리지원센터가 설치됐고, 올해부터는 노인·장애인의 급식 지원도 시작한다. 이들의 식생활 복지 실현에 노력하겠다""고 말했다.    오유경 식품의약품안전처장이 2022년 어린이급식관리지원센터 성과보고회에 참석해 발언하는 모습 (식품의약품안전처 제공) © 뉴스1 ]",[],https://www.gukjenews.com/news/articleView.html?idxno=2494192,https://n.news.naver.com/mnews/article/421/0006176073?sid=102
2022.06.27.,경향신문,,"퇴임 앞둔 이상천 충북 제천시장, 마지막 봉급 복지시설에 기부",,,https://www.khan.co.kr/politics/politics-general/article/202206271546001,http://www.gukjenews.com/
2022.06.27.,중도일보,,"인천 중구, 중구장애인종합복지관 시설 개선 추진",,,http://www.joongdo.co.kr/web/view.php?key=20220627010006068,http://www.khan.co.kr/
