Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.03.31.,국민일보,,유정복 “지역·계층·세대간 3대 균형 프로젝트 추진”,,,http://news.kmib.co.kr/article/view.asp?arcid=0016927311&code=61121111&cp=nv,http://www.kmib.co.kr/
2022-03-31 14:44:03,한국경제,사회,"SK하이닉스, MZ세대 잡기 위해 안간힘…초등자녀 휴직·월 1회 금요일 휴무","[ 유 예비후보 캠프 개소…이준석 대표 축하 영상메시지    유정복 국민의힘 인천시장 선거 예비후보는 31일 “지역간, 계층간, 세대간 3대 균형발전‧성장 프로젝트를 추진해 새로운 인천을 만들겠다”고 다짐했다.유 예비후보는 이날 ‘정복캠프’ 개소식에서 “프로젝트는 의지와 생각만으로 되지 않고 일해 본 사람, 일해서 성과를 내본 사람, 저 유정복만이 가능하다”며 “유정복이 약속하면 현실이 된다”고 강력한 실천의지를 밝혔다.그는 지역간 균형발전 전략으로 경인전철·경인고속도로 지하화를 통한 도심단절 해소와 균형 발전, 인천도시철도 3호선 순환철도 추진 등을 제시했다. 주차공간·문화체육시설 확충과 재개발·재건축 사업의 획기적 추진 등도 꼽았다.장애인·다문화 가족, 저소득계층 등에 대해 배려를 넘은 감동 정책으로 계층간 균형 성장을 추진하고, 어르신과 보훈가족이 편안하며 청년이 희망을 갖는 세대간 균형 성장을 이루는 세상을 만들겠다고 약속했다.이날 행사에는 3000여명의 시민이 찾아 유정복 예비후보의 대세론이 더욱 탄력을 받게 됐다.이준석 국민의힘 대표는 영상메시지를 통해 “윤석열 정부와 힘을 모아 인천시 정부를 만들어갈 유정복 전 시장이 그 능력을 아낌없이 발휘할 것”이라며 “유정복 시장을 응원하고 선거사무실 개소를 축하한다”고 격려했다.김기현 원내대표와 나경원 전 원내대표 등도 유정복 예비후보와 인천시민 여러분들이 함께 인천의 꿈을 만들어 가길 바란다는 내용의 격려사를 보내 축하했다.이와함께 조진형 전 국회의원과 민현주 연수을 당협위원장 등의 축사가 이어졌다.정복캠프는 유 예비후보의 이름을 따고 반드시 선거에서 승리해 인천시청을 정복하겠다는 의미를 담고 있으며 석바위 사거리인 미추홀구 경인로 442에 마련됐다.   ]",['2015  16  17년 전국 되지사 시장 지지도 최하위  \n그 어려운 걸 해내시는 분\n그걸 또 지지하는 대단한 인천시민분들\n진짜 대단하시고 가슴이 웅장해집니다'],https://www.hankyung.com/economy/article/202203314792i,https://n.news.naver.com/mnews/article/005/0001515808?sid=102
2022.03.29.,뉴시스,,맞춤형 가족 서비스 제공…'진도군 가족센터' 착공,,,http://www.newsis.com/view/?id=NISX20220329_0001811458&cID=10809&pID=10800,http://www.hankyung.com/
2022-03-31 15:01:04,KBS,경제,[ET] MZ세대가 트렌드 주도?…돈은 5070이 다 쓴다!,"[ SK그룹 편입 10주년 기념 온·오프라인 행사 개최박정호 SK하이닉스 부회장 “구성원과 가족의 행복 최우선하는 회사로 변화”월 1회 세 번째 금요일 휴무 보장초등학교 입학 자녀 돌봄 휴직 3개월 제도 도입    경기도 이천 SK하이닉스 본사 정문. /사진=연합뉴스SK하이닉스가 MZ세대 직원들을 위해 초등자녀 휴직제도와 월 1회 금요일 휴무제를 도입하기로 했다. SK하이닉스는 31일 경기도 이천 본사에서 출범 10주년 기념 행사를 열고 이같은 내용을 밝혔다. SK하이닉스는 2012년 3월 26일 ‘하이닉스반도체’에서 사명을 바꾸며 SK그룹 관계사로 출범한 지 10년을 맞았다. 박정호 SK하이닉스 부회장은 이자리에서 “가족 친화적인 기업문화를 정착시켜 구성원 가족과 함께하는 글로벌 초일류 회사로 거듭날 것”이라고 강조했다.우선 2주 동안 80시간 이상을 근무한 구성원은 휴가를 사용하지 않고 월 1회 세 번째 금요일에 쉴 수 있도록 했다. 또 초등학교 입학 자녀 돌봄 휴직 3개월 제도를 도입하고, 임신기 단축 근무 기간을 전체 임신 기간으로 확대하기로 했다. 난임 관련 의료비 지원 및 휴가 제도도 신설한다. SK하이닉스는 글로벌 인재를 키우기 위해 사내 커리어 성장 프로그램 활성화를 비롯해 △국내외 석박사 과정 지원 대폭 확대 △글로벌 사업장과의 교환 근무 △ 미국 스탠퍼드 등 해외 대학 및 기업과의 연계 프로그램 신설도 추진한다.기술 인재는 정년 없이 일할 수 있도록 하는 '기술 전문가 제도'의 선발 범위도 생산 현장의 장비 전문가까지 확대하기로 했다. SK하이닉스는 이날 전 구성원에게 '10주년 특별 축하금'으로 기본급의 200%를 지급했다. 전날 기준 재직 중인 모든 구성원에게 지급되며 연봉의 10%에 해당하는 금액이다. 한편 이날 SK하이닉스는 출범 10주년을 맞아 '메모리 반도체 제조기업'을 넘어 '솔루션 프로바이더'(Solution Provider)로 진화하겠다는 비전을 제시했다. 박 부회장은 ""현재의 메모리 반도체 기업이라는 틀에 갇혀서는 기업 가치를 높이는데 제약이 있다""며 ""앞으로는 고부가가치 제품 개발을 넘어 고객의 '페인 포인트'(pain point·불편함을 느끼는 지점)를 먼저 찾아 주도적으로 해결해주는 솔루션 프로바이더(제공자)로 진화해 가겠다""고 말했다.  ]","['', 'LG 보고배워라', '재용아 갓이닉스는 월1회 휴가인데 너넨 뭘줄래?', '역시 이과가 짱이다.문과 나부랭이는 소모품이라 잡지도 않지', '역시 하이닉스다.  삼성이랑 비교된다.', '아니 M이랑 Z를 같이 엮지 말라니까?HOT세대랑 BTS세대를 왜 같이 엮음?', '갓이닉스다...진짜', '4050들이 만들어 놓은 세상이 맘에 안 드는게지', '갓기업은 다르네', '', '', '', '나도 공부만 좀더 잘했다면 들어가고 싶은 곳 부럽다.', '', '']",https://news.kbs.co.kr/news/view.do?ncd=5429008&ref=A,https://n.news.naver.com/mnews/article/015/0004680427?sid=101
2022.03.31.,기호일보,,"연천군 다문화가족센터, 맞춤형 다문화 지원으로 여가부 장관상 수상",,,http://www.kihoilbo.co.kr/news/articleView.html?idxno=973033,http://www.newsis.com
2022-03-29 10:22:31,에너지경제,사회,"尹 ""추첨물량 확대""…2030세대 '내집장만' 기대감↑","[ 기사내용 요약돌봄·놀이시설 등 조성…53억 투입 올해 하반기 준공    [진도=뉴시스] 진도군 가족센터 안전기원제. *재판매 및 DB 금지[진도=뉴시스] 박상수 기자 = 진도군민들의 교류·소통 공간으로 보편적 가족 서비스를 제공하기 위한 '진도군 가족센터'가 건립된다.진도군은 진도읍 동외리 일원에서 이동진 군수와 주민 등이 참석한 가운데 '진도군 가족센터' 안전기원제를 가졌다고 29일 밝혔다.가족센터는 연면적 1586㎡의 부지에 영유아·아동의 돌봄과 놀이시설, 가족 교류·소통 공간, 가족상담·교육 시설 등을 갖춘 지하 1층, 지상 3층 규모로 조성된다.진도군 가족센터는 공모사업인 생활SOC 복합화사업에 선정돼 국비 15억원, 지방비 38억원 등 총 53억원의 사업비가 투입된다.1층에는 키즈카페, 실내 암벽등반장 등을 마련한 다목적 가족 소통공간과 공동육아 나눔터, 다함께 돌봄센터 등 자녀를 함께 돌보고 소통할 수 있는 놀이·휴식 공간으로 활용될 예정이다.2층과 3층에는 사무실, 상담실, 교육실 등으로 구성, 연령대와 가족형태별 교육·상담 등 맞춤형 가족 서비스 제공 공간으로 조성된다.진도군은 가족센터가 전세대를 아우르는 교류·소통공간이자 가족이 직면하는 돌봄, 소통 등의 어려움을 지역사회가 함께 분담해 가족 활동의 대표 공간으로 자리매김할 것으로 기대하고 있다.이동진 군수는 ""가족과 이웃이 함께 교류하고, 보다 나은 군민들의 미래를 위해 가족 교육·상담 등 보편적인 가족 지원 서비스를 제공할 수 있는 거점 공간을 마련해 군민들의 삶의 질 향상에 기여하겠다""고 밝혔다. ]",[],https://www.ekn.kr/web/view.php?key=20220331010005359,https://n.news.naver.com/mnews/article/003/0011089259?sid=102
2022.03.31.,뉴시스,,가족·로맨스 연극 '헬로우 미스미스터' 광주 공연,,,http://www.newsis.com/view/?id=NISX20220331_0001815788&cID=10701&pID=10700,http://news.kbs.co.kr/
2022-03-31 18:11:01,JTBC,경제,"말 많던 여가부, 폐지 후 '미래가족부' 신설로 가닥","[               ■ 프로그램명 : 통합뉴스룸ET■ 코너명 : 호모 이코노미쿠스■ 방송시간 : 3월31일(목) 17:50~18:25 KBS2■ 출연자 : 이동우 에이지랩 코리아 대표■ &lt;통합뉴스룸ET&gt; 홈페이지https://news.kbs.co.kr/vod/program.do?bcd=0076&amp;ref=pMenu#20220331&amp;1[앵커]경제하는 사람들의 마음을 읽어보는 코너 호모 이코노미쿠스입니다. 93살의 할머니입니다. 100미터를 23초 만에 주파합니다. 무거운 타이어를 끄는 맹훈련도 마다하지 않고요. 요리, 청소 같은 집안일도 손수 해야 직성이 풀리는 분이랍니다. 별난 사람 이야기가 아닙니다. 더 건강하고 부유해진 이 땅의 수많은 젊은 노인들. 오늘은 고령사회연구소인 에이지랩코리아 이동우 대표와 시니어 트렌드 짚어보겠습니다. 대표님, 안녕하세요? [답변]안녕하세요? [앵커]노인도 노인 얘기하면 싫어하신다고 하는데, 오늘 채널 돌아가면 안 되는데 걱정이 됩니다. [답변]절대 그런 일은 없을 것 같습니다. 저는 오늘 시니어에 대한 새로운 정의를 내려드릴 거기 때문에 아마 많은 시니어들이 즐거워하지 않으실까 생각됩니다. [앵커]그렇게 즐거워할 만한 새로운 정의, 어떻게 정의를 내리셨어요? [답변]보통 우리가 행정기관에서는 어르신이란 표현을 쓰조. 통계청에서는 고령자라고 합니다. 요즘에 비즈니스에서는 시니어라고 부르죠. 시니어들이 예전의 시니어들과는 달라졌다는 거예요. 일단 인구가 너무나 많아졌고 그리고 또 하나는 돈을 너무나 많이 갖고 있다. 다른 세대에 비해서 부가 더 많다, 이런 현상이 있는데 이 현상은 전 세계적으로 선진국에서 다 나타나는 현상입니다. [앵커]그 인구가 많아졌다라는 게 어느 정도 많아졌나요? 그 추이를 볼 수 있을까요? [답변]예를 들면 우리나라에서 2020년부터 은퇴하시는 65세 이상의 시니어들을 보면 앞으로 20년 동안 1,700만 명이 넘게 은퇴를 하게 되거든요. 굉장히 많은 세대죠. 사실 지금 1년에 태어나고 있는 신생아가 30만 명이 채 안 되는데 예전에 시니어, 1차 베이비부머 세대, 2차 베이비부머 세대 때는 연간 100만 명씩 태어나기도 했었으니까 그 인구수는 정말 막대하다고 할 수 있습니다. [앵커]우리가 이 세대에 주목해야 되는 이유. 인구가 많아지고 이들의 새로운 경제력, 소비력, 이걸 무시할 수 없는 수준이 됐다, 이런 말씀이신 거군요? [답변]그렇죠. 기업들은 예전에는 늘 지난 100년 동안 어떻게 해왔냐면 항상 새로운 세대에게 새로운 제품과 서비스를 만들어왔어요. 하지만 새로운 제품과 서비스를 만들려고 딱 보니까 전 세계적으로 볼 때 이제는 너무나 많은 시니어들이 돈을 너무나 많이 갖고 있다는 거예요. [앵커]새로운 가치관과 새로운 시장이 열렸다. 그럼 2022년 지금 시니어들의 트렌드, 어떻게 정의할 수 있을까요? [답변]첫 번째는 나는 늙지 않았다라는 겁니다. 화면에서 보시는 것처럼 나는 늙지 않았다는 건데요. 기대수명이 얼마나 빨리 늘어나고 있냐면 1년에 1년씩 늘어나거든요. 그래서 지금 기대수명이 각 나라가 80세가 넘는데 이제는 금세기 말에 이르면 150세에 이를 것이다라는 얘기가 있습니다. [앵커]우리가 지금 노인의 기준을 65세 이상으로 보지만 사실 그분들 중에서 내가 늙었다고 생각하는 분들이 얼마나 계시겠어요. 그분들은 내가 늙지 않았다는 걸 어떤 식으로 증명해 보이실까요? [답변]예를 들면 유튜브 활동하시는 분들도 많이 있고요. [앵커]구독자 많은 분들 많더라고요. [답변]그럼요. 구독자를 늘리고 있는 주범이 사실은 주 세력이 시니어 세대일 수 있습니다. 또 하나는 팬덤 시장을 이끌고 있기도 하고요. [앵커]팬덤이요? [답변]네. 그러니까 자기가 좋아하는 연예인들에 대한 조공, 스밍, 이런 것들을 하고 있는 거예요. 그리고 취미생활을 갖고 있기도 합니다. 취미생활도 예전에 시니어들, 산업화 세대라고 하죠. 베이비부머 이전 세대를 우리나라에서는 산업화 세대라고 하는데 산업화 세대는 희생정신과 공동체 의식이 강했지만 이제는 자신들 욕망, 꿈을 쫓아서 은퇴 이후의 삶에서도 자신들의 생활을 아주 재밌게 만들어가고 있는 사람들이 많습니다. [앵커]재밌는 삶을 만들어가는 분들은 취미생활 어떤 거 많이 하세요? [답변]예를 들면 저 같은 경우도 음악을 하고 있는데요. [앵커]음악이요? [답변]네. [앵커]악기? [답변]악기 합니다. 클래식 기타 합니다. 제가 고려대학교에 있을 때, 고려대학교 고령사회연구센터에 있을 때 교수님들이 주말에 보면 바이크를 타신다던가 스포츠카를 타시는 분들도 많이 있었거든요. 예전과는 다른 움직임들이 반드시 있습니다. [앵커]알겠습니다. 두 번째 키워드 보겠습니다. 집에서 나이 들고 싶다. [답변]집에서 나이 들고 싶다. [앵커]요양원, 노인정, 이런 데 가지 않고 집에서 편안한 노후를 맞고 싶다. 이런 뜻인가요? [답변]맞습니다. 우리나라에도 보면 요양원과 요양병원이 7,000개 정도가 되거든요. 이제는 집에서 나이 들고 싶다고 하는 니즈가 너무나 많이 늘어나고 있고. 이것을 노인학에서는 에이징 인 플레이스라고 해서 AIP라고 부르기도 합니다. 그런데 집에서 나이 들고 싶어 하는 이런 시니어들을 위해서 기술이 발달해야 되잖아요. 그 기술을 우리는 시니어 테크라고 얘기하는데. [앵커]에이징 테크, 시니어 테크. [답변]시니어 테크, 에이징 테크 또는 에이지 테크라고 부르기도 합니다. 아직까지 용어가 통일되진 않았어요. 여기에는 몇 가지 분야가 있는데요. 첫 번째는 재활 분야가 있고요. 재활도 집에서 스스로 나 혼자 할 수 있는 거예요. 그다음에 약물 관리가 있는데 시니어가 되면 사실은 먹어야 되는 약들이 굉장히 많아지거든요. 어느 시간에 무엇을 언제 먹어야 되는지 이것을 알려주는 앱들이 많이 있습니다. 그리고 스마트홈이라고 해서 집 안에서도 대외협력 활동, 커뮤니케이션을 할 수 있도록 스마트홈에 대한 것과 웨어러블이 있는데 웨어러블 장치들이 매우 많이 발달하고 있습니다. 최근에는 IoT라고 해서 많이 발달했잖아요. IoT가 웨어러블에 투자되고 있는데. 예를 들면 어떤 내복 같은 경우는, 일본에서 개발한 내복이 있는데요. 내복을 입고 잠을 자게 되면 심박이나 이런 것들을 수치를 병원으로 제공하거나 의료기관에 제공하는 그런 것들도 있습니다. [앵커]말씀하신 걸 마케팅 측면에서 보면 새로운 세대로 구성된 새로운 인플루언서들이 나타났다, 그렇게 볼 수 있으면 될 것 같네요. [답변]기업들에서는 이 세대를 집중하지 않으면 앞으로는 기업을 운영하기가 매우 힘들지 않을까라는 생각이 들어요. [앵커]세 번째 키워드 보겠습니다. [답변]혼자도 좋아, 라는 겁니다. [앵커]사실 혼자가 되는 건 고령화사회에서 누구에게나 닥칠 운명이지만 과연 혼자도 좋을까요? [답변]외로운 노인이 등장하고 있다는 건데요. 사실은 이 부분에 대해서 우리가 두 가지 측면으로 볼 수 있어요. 국가적으로 보면 혼자 남아있는 노인들을 위해서 어떻게 우리가 대응해야 될 것이냐에 대한 문제가 있고요. 영국과 일본에서는 이 부분에 대해서 많이 주목하고 있는 부분이 있고요. 일본에서는 각자 세븐이라고 하는 단체가 있는데요. [앵커]각자 세븐? 일곱 명? [답변]뉴스에도 많이 나왔습니다. 여성 일곱 명이 혼자 남으신 분들이에요. 이분들이 바로 집 근처에 아주 가깝게 살면서 주말에는 이벤트도 열고 서로 도와주면서 살고 있는데 한 가지 조건이 있습니다. 요양은 하지 않는다는 거예요. [앵커]요양? 간병은 하지 않는다? [답변]간병은 하지 않는다. 서로 즐겁게 생활하고 서로 도와주지만 간병은 하지 않는. [앵커]적당한 거리 두기? [답변]그런 모임이 있기도 합니다. 비즈니스적으로 보면 1인식 판매가 있을 수 있고요. 그다음에 보안서비스나 1인 가전 그리고 노인 도시락 이런 부분들이 각국에서 많이 흥행하고 있기도 합니다. [앵커]기업들은 지금과는 완전히 다른 접근법으로 이 시장을 공략해야 될 것 같네요.  [답변]그럼요. 예전에는 3인 가족이라고 하는 게 대세였잖아요. 요즘에는 3인 가족이 대세가 아니라 1인 가족 세대. 1인 가구가 많이 늘어나고 있는데. 이것은 물론 시니어 세대만 늘어나는 것은 아니에요. X세대도 늘어나고 MZ세대에서도 늘어나는데 시니어 세대에서는 압도적으로 빨리 늘어난다. [앵커]마지막 키워드 한번 가보겠습니다. 웰빙보다 웰다잉. 어떻게 죽을 것인가에 대한 고민인 것 같은데 답이 나와 있습니까? [답변]2000년대 초반에 웰빙이 유행하지 않았습니까. 어떻게 살 것인가, 어떻게 무엇을 먹을 것인가 였는데 이제는 어떻게 사는 것보다는 내가 어떻게 잘 죽느냐 이것을 연구하는 움직임들이 있다는 거예요. 예를 들면 생전 장례식이 유행하고 있습니다. 보통 장례식 하면 본인이 죽은 다음에 조문객들이 오게 되면 내가 아는 사람들이 올 수도 있겠지만 죽은 사람은 그 사람을 볼 수가 없잖아요. 그렇기 때문에 생전 장례식, 죽기 전에 장례식을 미리 하는 거예요. [앵커]그런 걸 왜 해요? [답변]사람들과 교류하고 행복하게. 그래서 일본에서는 장례식을 멋지게 치르고 나서 그다음 날에 사망하시는 분들도 있었고 유럽에서는 안락사를 하는 경우도 많이 있습니다. [앵커]주로 해외 사례 많이 들어주셨는데 우리나라에서는 웰다잉에 대한 어떤 움직임 같은 건 없습니까? [답변]온라인 장례식과 그다음에 엔딩 노트가 이미 유행하기 시작했습니다. [앵커]엔딩 노트요? [답변]엔딩 노트인데요. 엔딩 노트에는 노트에다가 직접 적는 거예요, 본인이. 자신의 프로필 그다음에 이력, 어떤 감정을 느꼈는지 그리고 유언은 무엇인지, 내가 남겨놓은 유산은 무엇인지 이런 것들을 엔딩 노트에 다 적어서 후세에게 물려주는 겁니다. [앵커]상속 이런 거에 대비를 하신 거겠네요. [답변]그렇죠. 그런 거 보면 이제는 죽어가는 문화. 생전 장례식이 존재한다고 하는 것은 이제는 사람들이 잘 사는 것 만큼 죽는 것도 중요하게 생각하고 있다. 이렇게 생각해야 될 거 같아요. [앵커]이런 아름다운 마무리까지 저희가 노후를 편안하게 보내려면 이런 준비는 몇 살부터 해야 됩니까? [답변]저는 50이 되기 전부터 시작해야 되지 않을까 싶어요. 왜냐면 그때가 가장 건강할 때인데 그때부터는 뭔가 자신들의 건강도 챙기고 사람들과의 관계 그리고 내가 무엇을 해야 되는지, 어떤 걸 하기 위해서 뭘 준비해야 되는지를 생각하면 좋을 거 같습니다. [앵커]대표님 말씀 들어보니까 나이 드는 것에 대한 새로운 가치관이 열린 거 같은데 우리 사회 시스템이 이런 인식 변화를 따라와 주는 게 중요할 거 같습니다. 지금까지 호모 이코노미쿠스 이동우 대표와 함께했습니다. 고맙습니다.  ]",['MZ랑 다른 세대 갈라치기좀 그만 했으면..'],https://news.jtbc.joins.com/article/article.aspx?news_id=NB12053241,https://n.news.naver.com/mnews/article/056/0011239748?sid=101
2022.03.30.,아시아경제언론사 선정,,"여가부 폐지론에 '성평등 정책 강화' 빗발…장하진 ""성평등가족청소년부 제안...",,,https://view.asiae.co.kr/article/2022033019564909747,http://www.kihoilbo.co.kr/
2022.03.31.,엑스포츠뉴스,,"'살림남2' 김봉곤 ""청학동 미래는 다현이에게 달렸어"" 세대교체 선언",,,https://www.xportsnews.com/article/1555436,http://www.ekn.kr
