Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.11.27.,아주경제,,3700조 中실버산업 잡아라...주요 테마주는?,,,https://www.ajunews.com/view/20211126102718497,http://www.ajunews.com
2021.11.24.,비지니스코리아,,"한양사이버대학교 실버산업학과, 실버산업 주도할 전문 인재양성",,,http://www.businesskorea.co.kr/news/articleView.html?idxno=82060,http://www.businesskorea.co.kr
2021.11.05.,시선뉴스,,[생활정보] 에이디커뮤니케이션 '실버산업 홈페이지 제작' 서비스 선보여,,,http://www.sisunnews.co.kr/news/articleView.html?idxno=150697,http://www.sisunnews.co.kr
2021.11.11.,충청일보,,"괴산군 중원대학교 고령친화산업연구개발센터, 실버산업전문가포럼과 업무협약...",,,https://www.ccdailynews.com/news/articleView.html?idxno=2093273,http://ccdailynews.com
2021.11.26.,대한경제,,"성남산업진흥원, 실버카로 지역 사랑 실천",,,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202111261500460820009,http://www.cnews.co.kr
2021.11.29.,뉴스핌,,"이영자도 관심 보인 '실버타운'...롯데호텔, 부산에 '5성급' 버전으로 연다",,,http://www.newspim.com/news/view/20211122001139,http://www.newspim.com
2021.11.16.,헤럴드경제,,"NH투자증권, 롯데호텔과 실버타운 제휴",,,http://news.heraldcorp.com/view.php?ud=20211116000284,http://www.heraldbiz.com/
2021-11-16 10:46:01,청년일보,경제,"NH투자證-롯데호텔, '프리미엄 실버사업' 협약...""사회책임투자 강화""","[ 프리미엄 실버산업부동산금융 시너지    NH투자증권과 롯데호텔이 16일 서울 중구 소공동에 위치한 롯데호텔 서울에서 양사간 프리미엄 실버사업 관련 전략적 업무협약을 체결하였다. 정영채(왼쪽 세번째) NH투자증권 대표가 최승호 NH투자증권 IB2사업부 대표(왼쪽 첫번째), 김현식 롯데호텔 대표이사(왼쪽 두번째), 이봉철 롯데그룹 호텔&amp;서비스 BU장과 기념촬영하고 있다. [NH투자증권 제공][헤럴드경제=이세진 기자] NH투자증권은 롯데호텔과 ‘프리미엄 실버사업 관련 전략적 업무협약’를 체결했다고 16일 밝혔다.이날 협약식은 소공동에 위치한 롯데호텔 서울에서 진행됐으며, NH투자증권 정영채 대표이사와 최승호 IB2사업부 대표, 롯데그룹의 이봉철 호텔&amp;서비스 BU장과 김현식 롯데호텔 대표이사 등이 참석했다. 이번 업무협약을 계기로 양사는 향후 프리미엄 실버사업을 위해 협력하며 관련 시장을 선점할 계획이다.또한 NH투자증권은 이를 계기로 ESG(환경·사회·지배구조) 관점에서의 투자 활동 또한 적극적으로 확대할 계획이다. 최근 발표한 한국기업지배구조원(KCGS)의 올해 ESG평가에서 국내 증권사 중 최고 등급인 A등급으로 상향된 NH투자증권은 사회책임투자 활동 강화로 향후 ESG 책임경영을 지속해 나갈 예정이다.국내 65세 이상 노인 인구 비중은 금년 15.7%에서 2045년에는 약 37%에 달할 것으로 예상되는데, 소비력을 갖춘 노인층을 위한 고급 주거복지 시설은 절대적으로 부족한 상황이다. 일본의 경우 베이비붐 세대가 노령층에 진입한 이후부터 실버산업이 급성장했는데, 한국 베이비붐(55년~65년생) 세대가 노령층에 진입하는 2025년 이후부터 국내 실버타운 수요도 급증할 것으로 전망된다.실버타운은 60세 이상의 시니어를 대상으로 일정 수준의 보증금과 생활비를 납부하고 10년 이상 장기 거주가 가능한 공간으로, 입주민들은 호텔식 컨시어지 서비스(청소, 세탁, 우편/택배, 생활 관리 등)를 비롯하여 식사, 의료 지원 등을 받아 양질의 노후 생활을 영위할 수 있는 고급 주거복지시설이다.롯데호텔은 지난 6월 부산 기장군의 오시리아 관광단지에 조성 중인 프리미엄 실버타운의 운영 컨설팅을 맡으며 시장 진출의 신호탄을 쏘아 올렸으며, 해당 사업을 위한 프로젝트 파이낸싱의 금융주선 기관으로 NH투자증권이 참여하면서 인연을 맺은 바 있다.정영채 NH투자증권 대표이사는 “성장 가능성이 무궁무진한 프리미엄 실버사업에 호텔업계의 선두업체인 롯데호텔의 전략적 파트너로 참여하게 되어 매우 기쁘다”며 “NH투자증권의 부동산 금융 역량을 최대한 발휘하여 다가오는 고령화 시대를 대비할 수 있는 사회책임투자를 확대해 나가겠다”고 밝혔다. ]",[],http://www.youthdaily.co.kr/news/article.html?no=86094,https://n.news.naver.com/mnews/article/016/0001913175?sid=101
2021.11.28.,기호일보,,"성남시니어산업혁신센터, 고령친화산업환경 개발 방안 모색 시니어 리빙랩 세...",,,http://www.kihoilbo.co.kr/news/articleView.html?idxno=956310,http://www.youthdaily.co.kr/
2021.11.26.,잡포스트,,"성남 시니어산업혁신센터, 시니어 리빙랩 혁신 세미나 개최",,,http://www.job-post.co.kr/news/articleView.html?idxno=42281,http://www.kihoilbo.co.kr/
2021.11.09.,한국일보,,'요양시장 잡아라' 보험사 이어 제약사도 요양산업에 군침,,,https://hankookilbo.com/News/Read/A2021110910270003711?did=NA,http://www.hankookilbo.com/
2021-11-09 18:31:02,더벨,경제,"[더벨]'돈 줄 마른' 대교, 캐시카우 골프장 매각할까","[ 종근당, 9월 벨포레스트요양원 개원KB손보, 2017년 요양산업 진출…시설 3곳 열어    종근당이 지난 9월 서울 강동구에 개원한 벨포레스트요양원. 종근당 제공한국이 고령사회로 접어들면서 실버산업 시장규모가 눈에 띄게 커지자 보험사에 이어 제약사도 요양산업에 뛰어들고 있다.9일 제약·바이오업계에 따르면 종근당 계열사인 종근당산업은 지난 9월 서울 강동구 강일동에 벨포레스트요양원을 개원하며 요양산업에 진출했다. 국내 제약사가 요양산업으로 사업 영역을 넓힌 건 종근당이 처음이다. 벨포레스트요양원은 지하 2층, 지상 4층 규모로 연면적은 4,929㎡(약 1,491평)다. 84개의 개인 침실과 물리치료실, 재활치료실, 가족면회실 등을 갖췄다.입소자 전원에게는 개인 침실이 배정된다. 물리치료사가 개인별 기능 수준에 맞춰 1대 1 맞춤형 재활서비스를 제공한다. 증강현실(AR) 시뮬레이션을 활용하는 인지재활과 최신 의료장비를 사용하는 신체재활 등이다. 종근당산업은 입소자 1.9명당 1명의 요양보호사를 배정해 돌봄 서비스의 집중도를 높였다. 반경 10㎞ 내 강동경희대병원과 서울아산병원, 삼성의료원 등 대형 의료기관이 있어 응급상황이 발생하면 신속한 대처도 가능하다. 종근당산업 관계자는 ""일반적인 요양을 넘어 정서적 만족감과 삶의 질을 높이는 돌봄 서비스를 통해 건강한 일상을 제공하는 것이 목표""라고 설명했다.요양산업은 아니지만 제약·바이오 기업 중 GC녹십자는 1991년 검체 검사를 시행하는 의료법인 녹십자의료재단을 설립했고, 2008년에는 녹십자의료재단 소속 의료기관인 '녹십자아이메드' 1호점을 서울 서초구에 열었다. 지난해 5월에는 서울 중구에 2호점을 추가했다. 녹십자아이메드는 노인들이 최적의 건강상태를 유지할 수 있도록 밀착형 건강관리 서비스를 제공한다.    국내 요양산업 시장규모는 7년 만에 3배 넘게 뛰었다. 그래픽=김문중 기자이처럼 제약사들이 노인에 초점을 맞추는 건 고령화가 가속화하면서 실버산업의 시장 규모가 급속히 커지고 있기 때문이다. 통계청에 따르면 한국은 2017년 고령사회로 진입했고 2030년 초고령사회로 진입할 전망이다. 2060년에는 세계 2위 고령국가가 돼 실버산업 규모는 더욱 확대될  것으로 관측된다. 2012년 2조9,349억 원이었던 고령친화산업 시장규모는 지난해 10조316억 원으로 8년 새 3배 넘게 불어났다. 연평균 성장률은 16.6%에 이른다.이런 시장에 보험업계는 제약업계보다 먼저 눈독을 들였다. KB손해보험은 2016년 자회사를 설립하고 2017년 강동케어센터(주야간보호시설), 2019년 위례빌리지(노인요양시설·주야간보호시설)를 개소해 요양서비스를 제공 중이다. 올해 5월에는 서울시 서초구 우면동에 두 번째 도심형 요양시설 'KB골든라이프케어 서초빌리지'를 열었다. ]",[],http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202111241521368160103756,https://n.news.naver.com/mnews/article/469/0000640105?sid=101
2021.11.11.,한경잡앤조이,,"서울대학교 캠퍼스타운 입주기업 한국시니어연구소, SBVA, 해시드 등에서 110...",,,https://magazine.hankyung.com/job-joy/article/202111112897d,http://www.thebell.co.kr
A37면 1단,매일경제,,"""어르신들 더 건강하고 행복하게""",,,http://news.mk.co.kr/newsRead.php?no=1063542&year=2021,https://magazine.hankyung.com/job-joy
2021.11.24.,브라보마이라이프,,시니어 일자리 제공하는 따뜻한 퀵서비스 ‘두드림퀵’,,,https://bravo.etoday.co.kr/view/atc_view.php?varAtcId=12944,http://www.mk.co.kr/
