Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.05.31.,청년일보,,[장석영의 '실버 산업' 현황과 전망] ① '치매' 부끄러운 질병이 아닙니다,,,https://www.youthdaily.co.kr/news/article.html?no=129102,http://www.youthdaily.co.kr/
2023.05.31.,에이빙뉴스,,"햇빛가득찬, 2023 홈케어·재활·복지전시회서 '실버에듀넷' 시니어 교육 서비...",,,https://kr.aving.net/news/articleView.html?idxno=1779783,http://kr.aving.net/
2023.05.30.,뉴스메이커,,"고성군, 공공실버주택 찾아 가정의 달 행사 열어",,,http://www.newsmaker.or.kr/news/articleView.html?idxno=140434,http://www.newsmaker.or.kr
2023.05.30.,토큰포스트,,"미국 VS 홍콩, 규제 온도차에 기우는 암호화폐 산업 지형",,,https://www.tokenpost.kr/article-134240,https://www.tokenpost.kr
B4면 1단,매일경제,,日실버산업 어떻게 성공했나 고령친화산업 이슈 한눈에,,,https://www.mk.co.kr/article/10743054,http://www.mk.co.kr/
2023-05-23 16:18:29,이투뉴스,생활/문화,"한양사이버대 실버산업학과, 시니어비즈니스 교육기관 부문 대상 수상","[ 경희대 디지털뉴에이징硏내달 9일 코엑스에서 개최    경희대 디지털뉴에이징연구소가 다음달 9일 우리나라 고령 친화 산업의 현 상태와 정책 추진 방향, 해외 사례 등을 살펴보는 '고령친화산업 최근 이슈' 세미나를 개최한다.경희대 고령친화실증거점센터, 경기도경제과학진흥원, 매경헬스가 공동으로 주최하는 이번 세미나는 염민섭 보건복지부 노인정책관의 '고령친화산업 및 고령화정책 추진방향'을 주제로 한 기조강연을 시작으로 사이토 가즈히로 SOMPO 홀딩스 시니어마켓 리더가 전하는 일본의 성공 비즈니스 모델 발표, 김영선 경희대 노인학과 교수(BK21 AgeTech교육연구단장)의 고령친화산업 에이지테크 리뷰에 대한 주제 발표로 구성된다.세미나는 누구나 무료로 참석할 수 있다. 세미나 종료 후에는 고령 친화 산업 기업 및 기관을 대상으로 B2B 네트워킹 시간도 마련된다. 네트워킹은 사전 신청자 200명에 한해 참여할 수 있고, 문의 및 신청은 경희대 뉴에이지플랫폼(seniorbiz@khu.ac.kr)으로 하면 된다.일시    2023년 6월 9일(금) 오후 3~6시장소    서울 코엑스 컨퍼런스룸(남) 401호 ]",[],http://www.e2news.com/news/articleView.html?idxno=254215,https://n.news.naver.com/mnews/article/009/0005134253?sid=103
2023.05.30.,더구루,,"미래에셋자산운용, 인도서 '미래에셋 실버 ETF' 출시",,,https://www.theguru.co.kr/news/article.html?no=54488,http://www.e2news.com
2023.05.19.,주간한국,,편의시설 갖춘 호텔형 고급 실버타운의 도심 공략,,,https://weekly.hankooki.com/news/articleView.html?idxno=7078825,http://www.maeilnews.co.kr
2023.05.16.,팍스경제TV,,"종근당산업, '고품격 실버 복지서비스 제공'...'헤리티지너싱홈' 인수",,,http://www.paxetv.com/news/articleView.html?idxno=176036,http://weekly.hankooki.com
2023.05.18.,신아일보,,"종근당산업, 실버 복지서비스 영역 확대",,,http://www.shinailbo.co.kr/news/articleView.html?idxno=1705323,http://www.paxetv.com
