Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2022.09.30.,대구MBC언론사 선정,,[약손+] 정상압수두증⑤ 알츠하이머병·파킨슨병과 다른 점은?,,,https://dgmbc.com/article/MpTmScxB529iA2nFn,https://dgmbc.com/
2022-09-30 11:42:02,약업신문,생활/문화,"펩트론, 英 임페리얼 칼리지와 '알츠하이머 적응증' 임상 2상 공동연구 MOU","[ 정상압 수두증은 수술적인 치료로 증상 개선···알츠하이머병·파킨슨병은 약물로 장기간 치료노인들이 암보다 무서워하는 치매, 고칠 수 없는 병으로 알려져 있지만 수술을 통해 치료가 가능한 치매도 있다고 합니다. 일명 뇌에 물이 차는 병으로 알려진 '정상압 수두증' 이야기인데요, 정상압 수두증은 어떻게 진단하고 어떻게 치료해야 하는지, 칠곡경북대학교병원 신경과 강경훈 교수, 신경외과 박기수 교수와 함께 알아보겠습니다.[윤윤선 MC]신경과 강경훈 교수님과 함께 정상압 수두증의 특징적인 증상, 그리고 그 진단법에 대해서 알아봤는데요. 아무래도 이게 노화로 인한 문제다 보니까 혹시라도 다른 퇴행성 뇌 질환과 동반은 되지 않을까 이런 걱정도 됩니다, 교수님.[강경훈 교수]맞습니다. 정상압 수두증은 그 자체가 치매의 원인으로는 아주 큰 비중을 차지하는 것은 아닙니다. 하지만 알츠하이머병과 동반되는 경우도 있고 또는 알츠하이머병과 명확한 감별 진단이 필요한 경우들도 많이 있거든요? 왜냐하면 알츠하이머병이 실제로 치매를 만드는 가장 대표적인 원인 질환이기 때문이죠. 그리고 또 한 가지 대표적인 노인성 질환이 파킨슨병입니다. 파킨슨병에서는 주로 서동증, 즉 움직임이 느려지는 것, 그리고 보행 장애가 아주 중요한 증상으로 알려져 있다 보니까 증상이 정상압 수두증과 겹치는 경우들이 많이 있습니다. 그래서 이렇게 알츠하이머병, 파킨슨병과 같은 대표적인 노인성 질환과 정상압 수두증을 감별하는 것은 아주 중요하죠. 치료 방향이 아주 다르기 때문인데요. 정상압 수두증은 수술적인 치료로 증상 개선을 많이 이룰 수 있는 질환이고 알츠하이머병과 파킨슨병은 대부분은 약물 치료를 통해서 장기간 치료하게 되는 병이다 보니까 감별 진단이 아주 중요하겠습니다. 이렇게 알츠하이머성 치매와 파킨슨병이 증상이 겹치는 부분들도 있고 정상압 수두증이 또한 이들 질환과 함께 병발하는 경우들도 있기 때문에 감별 진단, 그리고 정확한 진단이 아주 중요하게 되겠습니다. 그리고 정상압 수두증은 치료가 가능한 치매로 아주 잘 알려져 있고요. 또한 앞서 말씀드렸던 알츠하이머병 또는 파킨슨병과 함께 병발한 경우에서도 수술적인 치료를 통해서 아주 획기적으로 개선될 수 있는 중요한 질환입니다. 좌측에 보이시는 것처럼 양쪽 손을 부축해서 걸을 수만 있었던 경우에서도 적절한 수술 치료를 통해서 이렇게 혼자서 보행이 가능한 정도까지 개선되는 경우들이 있거든요? 모든 환자가 물론 이렇게까지 많이 개선되는 것들은 아니겠지만, 이런 정확한 진단을 해내고 정확한 예후 예측을 하기 위해서 저희는 많이 노력하고 있고요. 그 진료 과정 그리고 연구 과정 특허 개발까지 열심히 노력하고 있습니다. (구성 조명지) ]","['페렴 낫고 연하테스트하러 가려 했는데 혼자 앉아 있어야 휠체어 탄다며 안돼요 안돼 꼬구라 져요 하고 휠체어 못타게 한 2년차 간호사 참 원망 스럽다 그날 내가 휠체어 탈 수 있을건데 라고 했는데... 그땐 기운 있으셨는데...콧줄 끼우고 콧줄 역류로 페렴 재발되고, 콧줄 끼울때도 콧줄은 안전하다고 한 여 전공의  의료진들 잘 못 만나 잘못된 정보 주면 살사람도 힘들게 된다 그날 연하테스트하러 가고 재활 치료만 남았었는데... 의료진이라고  믿고 있다가 ... 저들 말 믿지 마라', '칠곡 경대 감염내과 권기태와 남광우 같은 의사는 없어져야한다', '요새도 칠곡경북대 감염내과로 확진자들 보내나 권기태, 남광우 외 의료진 좀 조사해봐라 생전 가도 않는 병원 코로나 때문에 가게 되서 코로나 음성, 폐렴 낫고, 퇴원하라 해놓고 f/u병원 동산병원 으로 간다니 남광우가 ""아버지 기운나는데 2개월, 3개월 1년이 걸릴수 있는데 우리가 끝까지 치료할게요"" 하며 진료예약도 다 잡아 놓은 환자 잡아서 동산병원에서 하던 걸 지들이 해서 환자 죽인 것들이다 코로나병동 중환자실 4일만에 3단계 욕창 만들어 일반병실로 보내고, 3개월간 치료받던 만성신부전 환자 조영제ct 무리하게 찍어 죽인 권기태다']",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=273858,https://n.news.naver.com/mnews/article/657/0000007245?sid=103
2022.09.30.,조세일보언론사 선정,,치매치료제 '레카네맙' 임상 3상 성공...알츠하이머 증상 속도 지연,,,http://www.joseilbo.com/news/news_read.php?uid=467449&class=42&grp=,http://www.yakup.com
2022.09.30.,뉴스1,,[생생 건강정보] 韓 사망원인 7위 '알츠하이머'…규칙적 운동이 '예방약',,,https://www.news1.kr/articles/4818292,http://www.joseilbo.com/
2022-09-30 08:58:01,메디칼업저버,세계,"알츠하이머병 치료제 개발, 다시 기지개","[ 뇌부종 2.8%·뇌출혈 0.7% 투약 부작용미국 제약사 바이오젠 주가 40% 폭등     ◆…자료사진:로이터통신     일본 제약사 에자이(Eisai)와 미국 제약사 바이오젠이 공동 개발 중인 알츠하이머병 치료제 ‘레카네맙(lecanemab)’이 후기 임상시험에서 인지 능력 감퇴 억제 효과를 입증했다.   교도통신·로이터 통신·블룸버그에 따르면 일본·미국·중국에서 알츠하이머병 초기 환자 1795명을 대상으로 18개월동안 임상 3상 시험 결과, 치료제 ‘레카네맙'을 투약한 환자군이 대조군(위약 투여 환자군)에 비해 인지능력 감퇴가 27% 억제된 것으로 나타났다.   다만 레카네맙 투약 환자 가운데 2.8%에게서 뇌부종 관련 증세, 0.7%에게서 뇌출혈로 인한 증세가 나타나 부작용에 대한 우려는 완전히 제거하지 못했다. 에자이·바이오젠은 이들 부작용이 예상치 이내라고 밝혔다.   ‘레카네맙(lecanemab)’은 바이오젠과 에자이가 공동 개발 중인 두 번째 알츠하이머 치료제다. 앞서 바이오젠과 에자이는 알츠하이머 치료제 '에듀헬름(성분명 아두카누맙)'을 공동개발해 지난해 6월 FDA로부터 임상 4상을 조건으로 품목허가를 승인받은 바 있다. 임상 4상에서 안전성과 효과를 입증하지 못하면 시장에서 퇴출될 수 있다는 의미다. 최근 미국 메디케어가 '에듀헬름'에 대한 보장을 제한하기로 결정하면서 시장반응은 부정적이다.   에자이와 바이오젠은 올 11월에 ‘레카네맙'을 알츠하이머병학회에 보고한 뒤 내년 3월까지 사용 승인을 받기 위해 미국 식품의약국(FDA)에 시험 자료를 제출할 계획이다.   제프 커밍스 미국 네바다대 신경과 교수는 “알츠하이머병 진행을 30%가량 늦출 수 있다는 것만으로도 훌륭한 일”이라고 말했다.   블룸버그는 이번 연구결과가 알츠하이머 환자에게 새로운 희망이 될 것으로 내다봤다. 다만 ‘레카네맙'이 알츠하이머 증상의 진행 속도를 늦출 수는 있지만 망가진 인지 능력을 회복시키지는 못한다고 지적했다.   미국 알츠하이머 협회는 지금까지 나온 신약 중 가장 고무적인 결과라고 평가하며 ""레카네맙이 알츠하이머 발병 초기 단계 사람들의 인지 능력을 유지시켜 일상 생활에 완전히 참여할 수 있도록 도울 것으로 보인다”고 말했다.   미국식품의약국(FDA)은 레카네맙을 우선 심사 대상으로 지정한 상황이며 심사 종료 목표일은 내년 1월 6일이다.   한편 미국 제약사 바이오젠 주가는 28일(현지시간) 뉴욕증시에서 40% 폭등했으며 에자이도 도쿄증시에서 17.29% 올랐다. ]","['', '부작용이 있는데 허가해주면 안된다 돌려보내고 다시 보강해 신청해라해야지?']",http://www.monews.co.kr/news/articleView.html?idxno=315931,https://n.news.naver.com/mnews/article/123/0002287086?sid=104
2022.09.29.,뉴시스언론사 선정,,"알츠하이머 진행 명확히 늦추는 신약 첫 개발…""역사적인 순간""",,,http://www.newsis.com/view/?id=NISX20220929_0002030905&cID=10101&pID=10100,http://news1.kr/
2022-09-30 07:00:00,프라임경제,생활/문화,"펩트론, 英 임페리얼 칼리지와 '8조원' 알츠하이머 시장 공략","[     ⓒ News1 DB(서울=뉴스1) 소봄이 기자 = 한국인 사망 원인 10위권에 '알츠하이머'가 진입했다. 10년 전 순위권 밖이었던 알츠하이머가 고령화로 인해 사망 원인 7위로 올라선 것. 나이가 많을수록 발병 위험이 증가하는 알츠하이머에 대해 분당서울대병원 신경과 박영호 교수와 알아보도록 한다.◇ 후천적으로 인지능력 저하된 '치매'…유발 질환은 '알츠하이머병'치매란 인지기능의 저하로 인해 일상생활을 독립적으로 수행하기 어려운 상태를 의미한다. 그러나 이러한 치매를 독립적인 '질환'으로 오해하는 경우가 있는데, 사실 치매는 인지기능이 저하된 '상태'를 의미하는 것이다. 따라서 다양한 질환에 의해 발생할 수 있는 증상이라고 이해하는 것이 맞다.또 치매는 정상적인 인지기능을 갖고 있었지만 퇴행성 신경계 질환, 외상 등의 후천적인 원인에 의해 인지능력이 저하돼 나타난 것으로, 타고난 인지능력이 저하된 정신 지체와는 구분된다. 우리 사회의 인구 구조가 고령화되고 노인 인구가 차지하는 비중이 늘어나면서 치매 환자 역시 계속해 증가하고 있다. 중앙치매센터 자료에 따르면 2015년에 62만5259명이던 치매 환자 수가 2025년에는 약 107만명으로 두 배 가까이 늘어날 것으로 예상하고 있다. 치매의 전 단계일 수 있는 경도인지장애 환자 수도 2015년 146만477명에서 2025년에는 약 235만명으로 늘어날 것이라고 한다. 이렇듯 빠르게 증가하는 치매 환자 수를 줄이기 위해서는 치매의 원인에 대한 이해가 우선돼야 하는데, 치매를 유발하는 질환 중 가장 흔한 것이 '알츠하이머병'이다. 치매의 원인 중 약 70% 정도를 차지한다. 다시 말해 알츠하이머병을 이해하는 과정에서 치매를 극복하고 예방하는 방법을 알아갈 필요가 있다.◇ 나이·가족력·생활습관…알츠하이머의 '위험 요인'알츠하이머병 위험을 높이는 요인 중 첫 번째 이유는 나이에 있다. 알츠하이머병의 발생 위험도는 나이가 많을수록 증가하는데, 60대 후반에서는 2% 정도에 불과한 유병률이 10년이 지나 70대 후반이 되면 10%로 크게 증가한다. 두 번째는 가족력으로, 부모 혹은 형제 중 한 명이 알츠하이머병에 걸렸다면 알츠하이머병 발생 위험은 약 3배까지 높아진다고 알려졌다. 세 번째는 생활 습관이다. 중년의 시기부터 고혈압이나 당뇨병 등 만성질환을 조절하고, 규칙적인 운동과 건강한 식습관을 유지하면 그렇지 않은 경우보다 알츠하이머병 발생 위험이 감소한다는 것은 여러 연구를 통해 검증된 바 있다.     (분당서울대병원 제공)◇ 병원 진료땐 꼭 가족 동반해 특이점 설명…최신 장비로 정확하게 진단우선 환자 혼자 병원을 방문하는 것은 지양해야 한다. 자녀가 보기에 부모님의 기억력이 떨어진 것 같아 진료를 권했지만, 자녀 없이 노인 환자만 병원을 방문하게 된다면 진단에 어려움을 겪기 쉽다.그 이유는 혼자 병원에 온 노인 환자 대부분은 본인 스스로 인지저하 정도를 느끼지 못할 뿐만 아니라 일상생활에 문제가 없다고 단언하는 경우도 적지 않다. 이때 의료진은 환자의 인지기능에 대한 정보를 충분히 얻지 못할 때가 많다.따라서 인지저하를 느꼈던 가족이 함께 방문해서 어떤 점에서 이상을 느꼈는지 자세히 설명해줘야 그만큼 정확한 진단이 가능해진다.두 번째로 숙련된 의료진을 찾는 것이 중요하다. 치매를 야기하는 대표적인 질환이 알츠하이머병인 만큼, 사실 비전문가가 진단하더라도 치매의 원인을 알츠하이머병이라고 한다면 70%의 확률로 원인을 맞추는 셈이 된다.하지만 치매 증상을 일으킨 원인이 다른 질환에 있지는 않은지 정확한 진단을 통해 확인해야 한다. 이러한 과정에서는 혈액 검사나 뇌 MRI 등의 검사결과 보다도 숙련된 의료진의 병력 청취와 신경학적 검진이 가장 중요한 역할을 하는 경우가 다반수다. 마지막으로 치매의 원인이 알츠하이머병인지 정확히 확인해야 할 때에는 최신 검사 장비가 도움된다.일반적으로 알츠하이머병 환자의 뇌는 그 크기가 줄어들기 때문에 뇌 MRI 검사를 하면 특징적인 소견을 발견할 수 있고, 진단의 정확성을 높여줄 수 있다.다만 10~20%의 일부 환자에서는 뇌 위축이 발견되지 않는다. 이때는 아밀로이드 PET 검사를 통해 베타-아밀로이드(알츠하이머병의 원인 물질)가 뇌에 축적돼 있는지 확인하면 더 정확하게 알츠하이머병을 진단할 수 있다.◇ 아직 예방약 없어…규칙적인 운동이 중요치매에 대한 걱정만큼이나 많은 사람들이 치매 예방에 좋은 약이나 뇌 영양제가 있지 않을까 궁금해한다. 하지만 아쉽게도 알츠하이머병을 비롯해 치매의 원인 질환을 예방할 수 있는 확실한 약은 없다.여기서 치매 예방에 가장 효과적인 것을 꼽는다면 규칙적인 운동이다. 본인의 신체 상태를 고려하면서 무리하지 않는 수준으로 유산소운동과 근력 운동을 꾸준히 하면 알츠하이머병의 위험을 낮출 수 있다. 아울러 술을 과하게 마시는 것은 하지 말아야 한다. 술을 많이 마시게 되면 뇌세포가 파괴돼 뇌는 치매에 취약해질 수밖에 없다. 그 때문에 음주량은 한 번에 한두 잔을 넘게 마시지 않는 것이 좋다. 이러한 규칙적인 운동과 절주를 위한 노력은 미룰 것도 없이 이르면 이를수록 좋다. 젊어서부터 실천하면 더욱 좋고, 이미 노년기에 접어들었더라도 더 이상 지체할 거 없이 건강한 생활습관을 실천해야 치매 극복에 도움이 된다는 점을 명심해야 한다.   ]",['뇌에 물리적인 충격을 받든지 아니면 혈액 순환이 제대로 되지 않아서 그러든지 결국  뇌에 양양 공급이 원활하게 이루어지지 않아서 치매나 알츠하이머가 발생하는 것이다. 음식을 편식하지 말고 골고루 먹고 운동을 적절히 해야 한다.  그런데 기존의 치의학 이론에 오류가 있어서 치약으로 매일 양치질을 해도 치아와 잇몸 건강을 유지할 수 없습니다. 그래서 ’과학의 재발견‘의 저자가 인간도 야생동물처럼 평생 치석이 발생하지 않고 건강하게 살 수 있지만 칫솔도 필요 없는 신개념의 ’길몽웰빙치약‘을 개발했답니다.'],http://www.newsprime.co.kr/news/article.html?no=580952,https://n.news.naver.com/mnews/article/421/0006365735?sid=103
2022.09.29.,연합뉴스,,'알츠하이머약 임상 효과' 美바이오젠 주가 40%↑·시총 16조↑,,,https://www.yna.co.kr/view/AKR20220929079300009?input=1195m,http://www.monews.co.kr
2022.09.29.,bnt뉴스,,피플바이오 주가 상한가 ‘바이오젠 신약 알츠하이머 효능’ 동승효과,,,https://www.bntnews.co.kr/article/view/bnt202209290075,http://www.newsis.com
2022-09-29 12:41:19,바이오타임즈,세계,새 알츠하이머 치료제 탄생? '레카네맙'의 특징은,"[ 기사내용 요약알츠하이머 병으로 인한 기억력 감퇴 늦추는 약물 실험 성공위약 치료보다 인지 능력 27% 더 늦게 감소한다는 결과 나와초기단계서 병 진행 속도 더 일찍 늦출 수 있는연구 진행 예정    [케임브리지=AP/뉴시스] 최근 미국의 바이오젠과 일본의 에자이에서 알츠하이머병을 늦추는 약물 개발 실험에 성공하였다. 2022.09.29.【서울=뉴시스】김현수 인턴 기자 = 최근 일본 제약업체 에자이와 미국 제약업체 바이오젠은 초기 알츠하이머병에 걸린 사람들의 기억력과 사고력 감퇴 속도를 늦추는 약물 개발 실험에 성공하였다. 약 투여 후 18개월 뒤 비교했을 때, 환자들의 인지 능력이 플라세보(위약) 치료를 받은 환자들보다 27% 덜 감소했다.영국 일간 가디언은 28일(현지시간) 이에 대해 이 질병과의 오랜 싸움에서 명확한 변화를 보여주는 약물이 나타난 것은 이번이 처음이라고 전하면서, ""역사적인 순간""이라고 평가했다. 영국 알츠하이머 연구소 책임 연구원인 수전 콜하스 박사는 ""많은 사람들은 알츠하이머가 노화 과정에서 피할 수 없는 부분이라고 생각한다. 하지만 이 실험을 통해 조기에 병을 발견해서 치료한다면 그 병이 어떻게 발전하는지에 영향을 줄 수 있다""고 말했다. 이번 연구는 초기 단계의 알츠하이머 환자 1800명을 대상 진행했다. 환자들은 '레카네맙'이라고 불리는 약을 일주일에 2번 투여받았다. 이는 뇌의 독성 물질을 감소시키며 환자의 기억력 저하를 늦추는 것으로 나타났다.하지만 실험 과정에서 20%의 환자에게선 PET 검사(양전자 방출 단층촬영 검사)에서 뇌가 부풀어 오르거나 뇌출혈과 같은 부작용이 나타났다. 그 중 약 3%에서는 PET 검사를 하지 않더라도 뇌가 부풀어 오르거나 뇌출혈이 발생했다는 것을 육안으로 확인할 수 있는 증상이 실제로 나타나기도 했다.    이 연구 결과는 치매 환자의 뇌에서 보이는 끈적끈적한 물질이 뇌세포를 손상시키고 인지력 저하를 일으키는 역할을 한다는 가정에 힘을 실어준다. 과거에 연구된 약물들은 뇌의 아밀로이드 수치를 성공적으로 감소시켰지만 임상 결과는 개선되지 않아 사람들은 연구 결과의 방향성에 대한 의문을 제기하기도 했다. 에자이와 바이오젠은 연말까지 미국과 유럽에 규제 승인을 신청할 것으로 보인다. 뉴욕타임스(NYT)에 따르면 에자이는 이미 미국 식품 의약국(FDA)에 가속승인제도 신청을 했다. 이는 FDA에서 약물의 효과에 대한 증거가 아직은 불확실하지만 환자에게 이익이 될 가능성이 있다고 판단될 경우 승인을 해주는 제도이다. FDA 승인이 날 경우 에자이는 추가 실험을 진행해서 약이 효과가 있다는 것을 입증해야 한다. 이어 FDA가 내년 1월 초 실제로 효과가 있다는 것을 인정하면 이후 새로운 데이터를 통해 FDA로부터 최종 승인을 받을 수 있을 것으로 에자이는 판단하고 있다. 이 약물의 전반적인 이점은 약물을 복용한 환자들이 복용 후 18개월이 넘는 기간 동안, 더 나은 질병 궤적을 유지하느냐에 달려있지만 최신 데이터는 아직 그 질문에 대답을 하지 못하고 있다. 따라서 이 부분에 대한 연구가 더 필요하다.이 약이 알츠하이머 초기 단계 중 어느 시점에서 더 빨리 병의 진행 속도를 늦출 수 있는지에 대해서도 의문이 제기되고 있다. 에자이는 이에 대한 해답을 찾기 위해 아직 증상이 나타나지 않았지만 알츠하이머 발병 위험이 높은 사람들을 추가 실험에 참여시키기 위해 모집하고 있다． ]","['27%로의 치료 효과도 아니고 기억력 감소 저지 효과를 위해 20%로의 치명적인 뇌출혈 부작용을 무시하자고? 이게 약이냐?', '첫 개발? 역사적인 순간?  그럼 지금있는 약은 다 가짜가?', '', '훠훠훠 부동산은 자신있습니다  훠훠훠 코로나 자신있습니다 문재앙먼저 임상치료 받자', '아 그럼 바이든 대통령도 먹나요?']",http://www.biotimes.co.kr/news/articleView.html?idxno=8799,https://n.news.naver.com/mnews/article/003/0011447937?sid=104
