Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.10.31.,뉴스1,,"세계 난임 연구자들, 대전 한의학硏서 통합치료 논의",,,http://news1.kr/articles/?3139005,http://news1.kr/
2017-10-31 10:15:16,메디파나뉴스,사회,고령사회 원년 한국이 나아갈 길?‥'통합진료+케어',"[     난임 국제심포지엄 포스터© News1(대전ㆍ충남=뉴스1) 김태진 기자 = 세계 전통·보완의학 분야의 난임 전문가들이 한국한의학연구원에서 한?양방 통합의학 난임 치료의 중요성과 발전 가능성에 대해 논의한다.한국한의학연구원(KIOM)은 31일 오후 대전 본원 제마홀에서 국내·외 전통·보완의학 분야 전문가들을 초청해 난임을 주제로 ‘근거중심 통합 난임 치료 국제심포지엄’을 개최한다. 난임은 피임을 하지 않은 부부가 정상적인 부부관계에도 불구하고 1년 이내 임신에 도달하지 못한 경우를 말한다.결혼 연령이 높아짐에 따라 초산 연령도 올라가면서 고령 임신과 노산이 증가해 난임과 불임을 겪는 인구는 더욱 늘어날 것으로 전망된다. 한의학연에 따르면 현재 난임 치료 시술(인공수정 및 체외수정 등 보조생식술)은 고가의 비용에도 임신성공률이 체외수정 시술 30%, 인공수정 시술 10% 수준이다. 여러 번의 시술이 요구되고 비용 부담이 가중되는 상황에서 한의학적 진단과 치료는 시험관시술이나 인공수정에 도움이 될 수 있으며 양·한방 통합치료가 대안이 될 수 있다. 한의학연은 유효성과 안정성이 확보되고 표준화 된 한·양방 통합 난임 치료 기술 개발을 위해 부산대, 한국생명공학연구원 등과 ‘난임 극복을 위한 한·양방 통합 치료 기술 개발’ 프로젝트를 올해부터 추진하고 있다.  이번 심포지엄에서는 한국, 중국, 이탈리아, 호주 등의 전통·보완의학 전문가들이 참여해 통합 난임 치료 분야 최신 연구 현황과 성과, 연구의 질적 향상을 위한 개선 방안 등을 토론하고 연구방법론을 함께 고민한다.첫 번째 세션에서는 Δ호주 웨스턴 시드니 대학 캐롤라인 스미스(Caroline Smith) 교수가 ‘체외수정 경험이 있는 여성의 출생률 증가와 침의 효과: 무작위 배정 임상연구’ Δ호주 호머튼 대학병원의 카린 길러맨(Karin Gillerman) 박사가 ‘체외수정 성공률과 출생률 결과에 침이 미치는 영향’ Δ우석대 김경한 교수가 ‘한국 난임 치료 프로그램의 효과: 다기관 분석’을 주제로 발표한다.   다음 세션에서는 Δ중국 저장대학 판취(Fan Qu) 교수가 ‘체외수정시술을 위한 중의학의 치료 효과: 임상과학적 근거’ Δ이탈리아 볼로냐 침의학협회의 마로 데비치(Mauro Devecchi) 박사가 ‘보조생식술 센터에서의 침의 통합치료 경험: 연구에서 임상현장’을 주제로 강단에 선다.이밖에 Δ유앤그린 한의원의 김은섭 원장이 ‘수술적 소파술로 인해 자궁내막이 얇은 환자의 한의 임상 증례 연구’ Δ꽃마을 한방병원 조준영 원장이 ‘한국의 난임 지원프로그램의 효과’ Δ한의학연 한의기반연구부 유수성 선임연구원이 ‘저반응 난소군으로 진단 받고 배란유도가 필요한 성인여성 대상 침 치료의 유효성 및 안전성 평가: 무작위 배정 4상 임상연구’를 주제로 각각 발표한다.한의학연 이혜정 원장은 “한의학, 통합의학 등 다양한 의료분야가 힘을 모아 저출산과 같은 사회 문제를 해결하는 것은 고무적”이라며 “국제적 연구 협력과 활발한 소통을 통해 통합 난임 치료의 과학적 근거를 확립해 나가길 바란다”고 말했다.memory444444@▶ 뉴스1 [Book] 오픈! 실천 핀테크!▶ 여러분의 제보를 기다립니다.제보하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",[],http://medipana.com/news/news_viewer.asp?NewsNum=208879&MainKind=A&NewsKind=5&vCount=12&vKind=1,https://n.news.naver.com/mnews/article/421/0003021312?sid=102
2017.10.26.,이데일리언론사 선정,,"[리얼미터]10명 중 4명 ""모든 통합에 반대""",,,http://www.edaily.co.kr/news/newspath.asp?newsid=02010646616096856,http://www.medipana.com
2017.10.30.,허프포스트코리아,,"장애학생 차별하는 학교, 통합교육 실현하려면",,,http://www.huffingtonpost.kr/hana-jang/story_b_18416282.html?utm_id=naver,http://www.edaily.co.kr/
2017-10-26 09:32:55,이코노미톡뉴스,정치,[이진곤 칼럼] 보수정당 통합 어디로,"[ - 한국당·바른정당 17.1%, 민주당·국민의당 16.3%, 국민의당·바른정당 13.9%- 민주당 지지층 51.6% ""모든 통합 반대""..한국당 48.6% ""바른정당 통합""- 국민의당 48.6% ""바른정당 통합""..바른정당 35% ""국민의당 통합""    [이데일리 하지나 기자] 국민의 10명 중 4명은 어떤 정당간의 통합도 바람직하지 않다고 응답한 것으로 나타났다. 자유한국당·바른정당, 더불어민주당·국민의당, 국민의당·바른정당 등의 통합을 원하는 응답의 경우 모두 10%대에 그치는 것으로 조사됐다. 26일 여론조사기관 리얼미터에 따르면 어느 정당 간의 통합이 가장 바람직하다고 생각하는지를 질문한 결과, ‘어떤 정당 간의 통합도 바람직하지 않다’는 응답률이 38.7%로 가장 높게 나타났다. 이어 △자유한국당과 바른정당의 통합 17.1% △민주당과 국민의당의 통합 16.3% △국민의당과 바른정당의 통합 13.9%로 조사됐다. ‘잘 모름’은 14.1%로 나타났다.한편 정당 지지층별로 통합 방안에 대한 선호도가 뚜렷하게 드러났다. 민주당 지지층에서는 모든 통합을 반대한다는 응답률이 51.6%로 과반을 넘었다. 이어 통합 방안 중에는 국민의당과 민주당이 통합하는 방안이 25.5%로 가장 높게 나타났다. 국민의당·바른정당은 11%, 한국당·바른정당은 1.4%에 불과했다.  자유한국당 지지층은 바른정당과의 통합이 67.5%로 압도적으로 높았다. 반면 ‘모든 통합 반대’가 18%, 국민의당·바른정당이 5.7%, 민주당·국민의당 4.1%순으로 나타났다.국민의당 지지층의 경우 48.6% 가량이 ‘바른정당과의 통합이 가장 바람직하다’고 대답했다. 민주당·국민의당 통합은 15.5%, 한국당·바른정당 12.5%, 모든 통합 반대는 11.7%로 조사됐다. 바른정당 지지층도 ‘국민의당과의 통합이 가장 바람직하다’는 응답자가 35%로 가장 높았다. 이어 ‘모든 통합 반대’가 24.2%, 한국당·바른정당 13.3%, 민주당·국민의당 2.9% 순으로 집계됐다.  어느 정당도 지지하지 않는 무당층은 ‘모든 통합 반대’가 41%로 나타났다. 이어 한국당·바른정당은 13.4%, 국민의당·바른정당은 6.7%, 민주당·국민의당은 2.5%로 모든 통합 방안에 대해 부정적인 시각이 높았다. 리얼미터 측은 “현재 진행되고 있는 여러 갈래의 통합 논의가 언론의 집중적인 조명을 받고 있는 것과는 별개로, 사실상 여론의 지지를 받지 못하고 있다는 것을 보여준다”면서 “특히 국민의당 지지층 다수와 바른정당 지지층 다수가 서로의 통합이 가장 바람직하다고 생각하는 것으로 나타났지만, 다른 당의 지지층과 무당층의 대다수는 이를 부정적으로 인식하고 있음을 보여주고 있다. 양 당의 통합이 온전히 이루어진다고 하더라도 지지층 확대의 ‘통합 시너지’는 미미할 것으로 보인다”고 설명했다. 이번 조사는 24~25일까지 이틀 동안 전국 19세 이상 성인 1만8850명에게 접촉해 최종 1001명이 응답을 완료, 5.3%의 응답률을 나타냈다. 무선(10%) 전화면접 및 무선(70%)·유선(20%) 자동응답 혼용, 무선전화(80%)와 유선전화(20%) 병행 무작위생성 표집틀을 통한 임의 전화걸기 방법으로 실시했다. 통계보정은 2017년 8월말 행정안전부 주민등록 인구통계 기준 성, 연령, 권역별 가중치 부여 방식으로 이뤄졌고, 표본오차는 95% 신뢰수준에서 ±3.1%포인트이다.하지나 (hjina@edaily.co.kr)▶이데일리 개편기념 이벤트 - 갤럭시 노트8 쏩니다▶[페이스북] 보러가기~ ▶[카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞ ]","['국민의당 안철수가 사기에 가깝게 여론조사 한거 아님. 발표와 왜 이렇게 틀려', '민주당과 문통 지지자들이 다른당 통합 반대하는건 당연한거 아닌가 상대가 힘 커지는건데... 국민당과 바른당이 통합하는게 가장 지지자가 많은거 같은데 이 사람들이 다른당과 합치는 것도 반대하는게 당연한거고...여론조사의 행간을 읽어 보자구..']",http://www.econotalking.kr/news/articleView.html?idxno=153400,https://n.news.naver.com/mnews/article/018/0003954087?sid=100
2017.10.27.,현대불교신문,,"""연령별 소통 기회 지속적으로 넓히자""",,,http://www.hyunbulnews.com/news/articleView.html?idxno=293713,http://www.huffingtonpost.kr
2017.10.29.,한겨레,,‘통합교육 일반학교’ 장애학생 36.7% 학교폭력 경험…차별 배우는 교실 되지...,,,http://www.hani.co.kr/arti/politics/politics_general/816463.html,http://www.economytalk.kr/
2017.10.30.,한국금융신문,,동양·ABL생명 통합 부인 불구 ‘터 닦기’ 가속화,,,http://www.fntimes.com/html/view.php?ud=20171029204147627421232f297a_18,http://www.hyunbulnews.com/
2017.10.26.,아시아경제,,"통합의학박람회, 14만여 명 참가 성료",,,http://www.asiae.co.kr/news/view.htm?idxno=2017102617392559824,http://www.hani.co.kr/
2017-10-29 10:20:09,뉴데일리,사회,野3당 통합론 관건은 여전히 '친박' 논란,"[     [한겨레] [토요판] 장하나의 엄마정치 16통합교육  ‘행복해지고 싶다.’  저의 20대를 관통한 고민입니다. 저는 어떻게 하면 행복하게 살 수 있을지 정말 궁금했습니다. 그 시절 별로 행복하지 않았다는 방증이겠죠? 행복을 위해서는 최대한 현재에 충실하게 살아야 한다고 믿었습니다. 미래를 위해 현재를 희생하는 건 너무 어리석다고 말이죠. 행복해지기 위해서는 내가 무슨 일을 할 때 가장 신나고 재밌는지도 알아내야만 했습니다. 그 숙제는 여전히 마치지 못하고 있지만요.     두리에게 차별 없는 세상을 만들어 줄 수는 없겠지만, 자신의 권리를 스스로 지키고 타인의 권리를 침해하지 않도록 인권을 알려주고 싶다. 두리 아빠 사진가 점좀빼 28살 때 장애인자립센터 일하며 천부인권과 권리·인간 존엄 배워 빼앗기며 살아온 삶 깨닫는 계기 두리는 차별 없는 세상에서 살기를통합교육 한다는 일반학교에서장애학생 36.7%가 학교폭력 피해장애인만 다니는 특수학교보다 진짜 통합교육 하는 일반학교 절실  내 방황에 마침표 찍은 두리  저는 정말 계획 없이 살았습니다. 그래도 친정엄마 속을 까맣게 태운 것 말고는 ‘길고 긴 방황’에 후회는 없는데요. 어느 날 갑자기 방황에 종지부를 찍게 되었습니다. 두리의 엄마가 되고 나니, 비로소 미래를 고민하게 되더군요. 돈 걱정도 늘었고, 이제 건강도 챙겨야 합니다. 그뿐 아니라 세상에 대한 관심과 참여하는 방식도 달라졌습니다. 예전에는 지금 눈앞에 벌어지는 사회 부조리에 분노하고 맞서는 게 전부였는데, 엄마가 된 뒤부터는 내가 만들고자 하는 세상에 대해 진지하게 고민하게 됐죠. 겉으로 보기에는 별로 달라진 것 없는 일상이지만, 저는 이제 미래를 꿈꾸고 미래를 상상합니다. 엄마가 된 것입니다.  이제 저의 행복은 두리의 행복에 종속되어 버렸습니다. 제가 행복하다고 두리가 행복한 건 아니겠지만, 반대로 두리가 행복하면 저는 두리보다 더 행복한 기분입니다. 엄마는 원래 그런 존재일까요? 두리가 부탁한 것도 아닌데, 저는 두리의 행복에 대해 너무 많이 생각합니다. 저에게 방황이 나쁘지만은 않았지만, 두리는 저처럼 방황만 하다가 빛나는 시절을 다 보내지 않았으면 좋겠습니다. 스무 살이 되기 훨씬 전에 방황을 시작한다면, 일찍 마칠 수 있겠죠. 그리고 일찍 방황할수록 더 많은 기회가 생길 것입니다.  저는 두리에게 청춘은 정말 아름다운 것이고, 정말 짧다는 이야기를 꼭 들려줄 것입니다. 인생은 단 한 번뿐이고, 아무도 두리의 인생을 책임져 주지 않을 거란 사실도요. 그리고 두리가 원한다면 세상 어디든 갈 수 있고, 무슨 일이든 할 수 있고, 어떤 사람이든 될 수 있다고 꼭 알려줄 것입니다. 세상에는 정말 많은 길이 존재하며, 원한다면 아무도 가지 않은 길을 갈 수도 있다고 말해주고 싶습니다. 그에게 용기를 주는 사람이 되고 싶습니다. 삶에 대한 자기결정권과 주도권을 지켜주고 싶습니다. 네 삶의 주인이 되라. 그것만은 타협해서는 안 된다. 그러나 엄마 혼자 힘으로 해줄 수 있는 건 거기까지입니다. 두리의 행복을 위해서는 ‘가난해도 꿈을 좇아갈 수 있는 사회’를 만들어야 하는데, 그래서 결국 엄마는 정치를 할 수밖에 없습니다.  20대 후반까지도 저는 가난 때문에 꿈을 포기하는 것을 당연하게 받아들이고 있었습니다. 가난해서 좋은 점들을 떠올리면서, 가난 때문에 겪는 나쁜 일들을 심리적으로 상쇄시켰죠. 실제로 가난해서 좋은 점이 꽤 있습니다. 그러나 그것이 가난으로 인한 차별, 부당한 처우를 합리화시킬 수는 없죠.  저는 28살에 뒤늦게 대학을 졸업하고 고향인 제주도로 돌아갔습니다. 꿈을 찾아 헤매는 동안에도 용돈은 벌어야 하니까 늘 일거리가 필요했는데요. 알고 지내던 선배로부터 제주장애인자립생활센터에서 같이 일하자는 제안을 받았습니다. 그게 풀타임으로 일하는 자리가 아니라서, 제가 벌어야 하는 돈의 액수를 생각하면 맞지 않는 일이었습니다. 아마도 인권운동과 시민단체에 대한 호기심과 동경 때문에 흔쾌히 수락했을 겁니다. 나보다 어려운 처지에 있는 사람들을 도울 수 있다는 점도 좋았죠.  그러나 불쌍하고 처량한 존재는 바로 저 자신이었고, 도움받은 것도 저였습니다. 2년이 채 안 되는 기간이었지만, 그때 세상을 보는 시각이 바뀌었고 제 삶이 바뀌었죠. 아마 태어나서 가장 즐거웠던 시절로 기억됩니다. 돈을 조금만 더 벌 수 있었다면 그 일을 계속할 수도 있었지 않을까라는 생각이 들 정도로 말이죠.  중증장애인 당사자인 인권활동가들의 삶과 투쟁을 가까이에서 지켜보면서 천부인권에 대해, 헌법과 헌법상의 권리에 대해, 인간의 존엄성에 대해 처음 제대로 배웠습니다. 나에게 얼마나 많은 권리가 있는지 모르고 살았던 겁니다. 또한 내가 얼마나 많이 차별당했는지, 얼마나 많이 빼앗기며 살아왔는지도 뒤늦게 깨달았죠.   그러자 분노와 동시에 해방감이 찾아왔습니다. ‘내가 이렇게 사는 건 내 잘못이 아니었잖아! 하하하.’ 인권을 만나서 사는 게 피곤해진 점도 있지만, 인권을 만나기 전에는 쓸데없이 자책하는 우울한 삶을 살았던 거죠. 그리고 나도 누군가의 존엄성을 해치고 있다는 사실을 깨달았습니다. 학교는 인권을 가르치기는커녕 차별이 일상화된 공간이었죠. 수직적인 위계에 길들여진다는 것은, 정신적으로 누군가의 밑에 존재하는 동시에 다른 누군가의 위에 존재한다고 착각하는 것입니다.  20대 후반에 인권을 만나고 이제 40대 초반인데요. 인권을 모르고 살아온 시간이 훨씬 길었기 때문에, 인권은 여전히 낯설고 더 많은 훈련이 필요합니다. 내 안의 혐오와 차별을 늘 스스로 경계하게 해야만 하죠. 벌써 세 살이 된 두리에게 차별 없는 세상을 만들어 줄 수는 없겠지만, 자신의 권리를 스스로 지키고 타인의 권리를 침해하지 않도록 그에게 인권을 주고 싶습니다. 두리와 모든 아이들이 차별 없는 세상을 만들어 갈 수 있도록 인권교육이 필요합니다.진짜 인권교육은 통합교육  인권, 참 추상적으로 들리는 말이죠. 하지만 수많은 대한민국 엄마들이 일과 경력을 박탈당하고, 독박육아를 하고, 명절 때마다 ‘남자님들’에게 음식을 해다 바치는 것이 모두 인권의 문제입니다. 우리가 인권을 잘 몰라서 벌어진 일들이죠. 우리 아이들에게 인권을 알려주지 않으면 아이들의 미래도 지금과 크게 다르지 않을 것입니다.  지난 17일 경기도교육연구원이 개최한 심포지엄 ‘혐오와 차별을 넘어, 평등과 다양성 교육으로’에 다녀왔습니다. 최근 교실에 만연한 혐오와 폭력의 문제에 대해 그 해결책을 모색하는 자리였죠. 심포지엄에서도 인권교육과 페미니즘교육의 필요성이 역설되었고 저도 환영하는 바입니다.  그러나 제가 주장한 것은 지난 연재글에서 밝혔다시피, 아이들의 혐오와 폭력 밑바탕에는 분노가 내재되어 있으며 그것은 어른들에게 ‘놀권리’를 박탈당했기 때문이라는 것입니다. 다시 말해 인권교육과 더불어 교육행정을 통해 아이들의 놀 권리를 보장할 방법을 실행에 옮겨야 한다는 겁니다. 아이들만 인권교육을 받을 게 아니라 교사들이 먼저 인권교육을 받아야 한다고도 주장했습니다. 교실에서 벌어지는 인권침해는 교실 안에서 힘을 가진 자, 즉 교사에 의해 벌어지는 경우가 많으니까요. 마지막으로 교과서로 배우는 인권교육은 제한적이라고 주장했습니다. 진짜 인권교육은 인권수업이 아니라 통합교육이라고요. 어린이집·유치원부터 통합교육을 시작해야 한다고 말이죠.  통합교육이란 장애인을 특수학교로 격리시키는 것이 아니라 일반학교에 다니도록 하는 것입니다. 장애인 학생이 학교생활을 하고 수업을 받는 데 지장이 없도록 인적·물적 지원을 하는 것을 전제로 합니다. 만약 그러한 지원 없이 일반학교 일반학급에 장애인 학생을 다니게 한다면 그것은 통합교육이 아닙니다. 통합교육은 국제사회의 약속이고 한국은 이미 통합교육을 실시하겠다고 선언한 바 있죠.  유엔장애인권리협약 제24조에 따라 장애인은 자신이 속한 지역사회에서 다른 사람과 동등하게 통합적인 양질의 무상 초등교육 및 중등교육에 접근할 권리가 있고, 개인의 요구에 의한 합리적인 편의가 제공되어야 하며, 당사국은 이 권리를 보장해야만 합니다. 이 협약은 2006년 12월 제61차 유엔 총회에서 채택되었고 현재 당사국은 175개국이며 우리나라도 9년 전인 2008년 12월에 이미 비준했는데요. 9년 동안 우리 교육현장은 변한 게 없습니다.   지난 9월 서울 강서구에서 열린 ‘강서지역 특수학교 설립 교육감·주민 토론회’에서 장애인 학생 학부모가 지역 주민들 앞에서 무릎을 꿇는 모습이 뉴스를 통해 널리 알려졌고 논란이 됐죠. 다행히(?) 조희연 서울시교육감이 특수학교 설립 의지를 재확인하면서 사태가 일단락됐습니다만, 과연 이것이 지역 주민만의 잘못일까요?  당장에 일반학교의 특수학급이 모자라서 매일 하루에 2시간 이상 등하교해야 하는 장애인 학생들과 학부모들에게 신규 특수학교가 필요한 건 사실입니다. 지난 9년 동안 정부가 의지를 가지고 통합교육을 실천하지 않은 상황에서 학부모들이 마냥 기다릴 수만은 없으니까요. 그러나 장애인 학생과 학부모가 궁극적으로 바라는 건 정부가 약속했던 통합교육입니다.  강서구 특수학교 사태 직후 김상곤 사회부총리 겸 교육부 장관은 문재인 대통령 임기 중에 전국에 18곳의 특수학교를 신설하겠다고 밝혔고, 조희연 서울시교육감도 특수학교가 없는 서울 시내 8개 구에 모두 설립하겠다고 했죠. 이건 환영할 일이 아니라 퇴행이고, 국제협약에 반하는 흐름입니다. 현재 우리나라에서 실시되는 통합교육은 대부분 일반학교 내 특수학급 운영으로, 사실 통합교육의 정신과는 거리가 멉니다. 그에 대한 대책은 고사하고 특수학교 무더기 신설이라니, 새 정부의 교육정책이 방향을 잘못 잡은 것 같군요. 특수학급은 같은 학교 건물 안에 있지만 엄연한 분리·격리의 상태입니다. 그것은 ‘아파르트헤이트’(남아프리카공화국 백인 정권에 의해 1948년 법률로 공식화된 인종분리 정책)입니다.  김상곤 사회부총리와 조희연 서울시교육감의 특수학교 신설 약속은 ‘진짜 통합교육이 가능한 일반학교’ 설립으로 전환되어야 합니다. 기존 일반학교 건물들은 비장애인만을 위해 지어졌고, 유니버설 디자인(성별, 연령, 국적, 장애 여부, 교육 수준 등과 관계없이 누구나 쉽게 이용할 수 있는 생활 환경을 만들기 위한 디자인)을 적용한 개보수와 시설투자가 이뤄지지 않아서 통합교육을 제대로 실시할 수 없었죠. 그래서 학부모들이 울며 겨자 먹기로 신설 특수학교를 선호한 점도 없지 않습니다.  친환경 무상급식이 그랬듯이 통합교육도 의무교육 중심으로 설계되다 보니 어린이집과 유치원의 통합교육은 2순위가 되어버렸죠. 통합교육은 장애인을 위한 교육이 아니라 모두를 위한 교육이고, 통합교육은 인권교육입니다. 우리 아이들은 어린이집과 유치원에서 처음 사회생활을 시작하는데요. 비장애인들만 끼리끼리 모인 공간에서 어떻게 함께 사는 법을 가르칠 수 있겠습니까? 초등학교에 들어가 통합교육을 받게 된다 한들 태어나서 처음 보는 장애인 친구들의 모습은 너무 신기할 것이고, 그들을 바라보는 눈빛에는 호기심과 연민이 가득하겠죠. 그래서 자기도 모르게 상처를 주게 되는 겁니다.차별과 분리 낳는 학교 현실  보건복지부 ‘2016 보육통계’에 따르면, 전국 4만1084곳의 어린이집에 총 143만3789명의 아이들이 다니고 있는데, 장애 아동이 다니고 있는 어린이집은 2430곳(1만1872명)에 불과합니다. 이 중 일반 어린이집은 1342곳(1635명)이 전부입니다. 반면 장애 아동 전문 어린이집 177곳에는 6158명이 다니고 있죠. 어린아이들의 눈에는 편견이 없는데 어른들이 차별을 가르치는 건 아닌지 괴롭습니다.  실제 국가인권위원회가 2014년 12월에 발표한 ‘장애학생 교육권 증진을 위한 실태조사’에 따르면, 통합교육을 하는 일반학교에서 장애학생이 학교폭력을 당한 비율은 36.7%나 됩니다. 놀림·비하·협박·욕설 등의 언어폭력은 24.0%, 금품 갈취, 과도한 장난, 강제 심부름, 따돌림 등의 괴롭힘은 19.2%, 상해·폭행·체벌 등의 경험은 16.0%에 이르는 것으로 조사됐습니다. 철학이 없는 통합교육은 장애인·비장애인 학생 모두에게 전혀 도움이 못 되고 있는 상황입니다. 오히려 차별을 받아들이게 만드는 교육으로 전락하고 있습니다.   한국의 장애인 교육권 운동의 역사는 짧지 않습니다. 2003년 7월 장애인교육권연대(현재 전국장애인부모연대)를 결성하고 꾸준한 입법운동 끝에 2007년 5월 장애인 등에 대한 특수교육법이 제정됐죠. 즉 2008년 유엔장애인권리협약을 비준함으로써 통합교육의 발판이 마련된 것이 아니라, 장애인 당사자와 장애인 학생 학부모들의 오랜 투쟁으로 통합교육의 법적 근거가 만들어졌습니다. 그리고 그 혜택은 많은 비장애인 학생들이 함께 누리게 되겠죠.   통합교육은 인권교육이자 공동체 교육입니다. 통합교육은 장애인만의 문제가 아닙니다. 이제 진짜 통합교육을 실현하기 위해서 ‘정치하는 엄마들’이 나섭니다.  ▶ 한겨레 절친이 되어 주세요! [신문구독] [사람과 동물을 잇다 : 애니멀피플] [카카오톡][ⓒ한겨레신문 : 무단전재 및 재배포 금지] ]","['', '', '장애아동입장만 얘기하지말고 그 장애아동으로 인해 피해를 보는 일반아동도 생각해주시길.. 수업이 제대로 될까요?', '학폭도 장애학생은 같은 법 아닌가요.. \n완통학생.부분통합학생. . 일반학생들도 힘듭니다.\n같은 반에 특수학생이 두 분류고.. \n에휴..다름을 인정하면 차별로 받아들이시고.. \n같이하면 눈높이에 안맞춰준다고 왕따라고 하시고.', '통합교육때문에 일반아이가 특수아동에게 아무이유없이 폭행을 당했습니다 지적장애아동이 분노조절이 안되는 경우도 많기때문에 위험하다는것을 알게되었죠 연필이 흉기가되고 배를 맞아서 피오줌을싸도 장애인보호법때문에 오히려 그 아이가 보호를 받는 현실이 어처구니가 없습니다 폭행은 어떤이유에서든 정당화될수없다는게 거짓인가봅니다ㅠ']",http://www.newdaily.co.kr/news/article.html?no=358914,https://n.news.naver.com/mnews/article/028/0002384635?sid=102
