Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2017.03.31.,연합뉴스,,"""파킨슨병, 치매처럼 간병 지원해야""",,,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170331111700017&did=1195m,https://www.yna.co.kr/
2017-03-31 14:46:36,노컷뉴스,사회,울산서 치매 의심 70대 실종…경찰 수색,"[    파킨슨병 및 이상운동질환학회 정책간담회(서울=연합뉴스) 김민수 기자 = 인구 고령화로 계속 증가하고 있는 파킨슨병 환자에 대한 사회적 지원을 통해 간병 부담을 낮춰야 한다는 주장이 제기됐다.    대한 파킨슨병 및 이상운동질환학회는 31일 서울 플라자 호텔에서 '파킨슨병 200주년 기념 정책간담회'를 열고 국내 파킨슨병 발병 현황과 문제점을 진단했다.    파킨슨병은 영국의 제임슨 파킨슨(James Parkinson) 박사가 1817년 학계에 처음 보고한 질환으로, 치매·뇌졸중과 함께 3대 노인성 질환으로 꼽힌다. 국내 파킨슨병 환자는 2004년 3만9천265명에서 2016년 9만6천499명으로 12년만에 약 2.5배로 증가했다.    학회에 따르면 올해 초 설문조사에서 파킨슨병 환자의 보호자 151명 중 67%(101명)가 '간병 부담'을 가장 큰 어려움으로 손꼽았다.    특히 보호자의 거의 절반(47%)은 경제활동과 간병을 병행하고 있어 병원 방문 등 별도의 시간을 내기가 쉽지 않다고 호소했다.    문제는 치매 환자에 비해 파킨슨병 환자에 대한 사회적 지원이 활발하지 않은 점이라고 학회는 설명했다.    치매 환자에게는 의료비 지원, 치료관리비 지원, 노인장기요양서비스와 각종 사회적 지원(치매지원센터, 노인돌봄종합서비스, 재가급여 지원 등)이 이뤄지고 있으나, 파킨슨병 환자에게는 의료비 지원과 장애연금 외에는 지원 제도가 없다.    학회 정책이사인 조진환 성균관대 의대 교수는 ""가정 경제를 책임지는 40∼50대의 파킨슨병 발병률은 치매에 비해 약 9배 높다""며 ""이 병은 신체 및 인지 장애를 동반하기 때문에 치매처럼 가계 부담이 극심해질 수밖에 없는데 정부 차원의 실태 조사가 부실해 사회적 지원이 부족하다""고 지적했다.    파킨슨병 증세가 나타나도 환자 본인과 가족이 질환의 심각성을 인지하지 못해 의료기관을 늦게 방문하는 경우도 많다.    학회는 파킨슨병 증세가 발생한 이후 병원을 찾기까지 평균 9.4개월이 걸리는 것으로 분석했다. 파킨슨병 환자 1인당 연평균 치료 기간(입원일 기준)은 약 103일인 것으로 나타났다. 이는 같은 신경계 질환인 루게릭병(35일)의 약 3배다.    학회 총무이사인 김중석 가톨릭대 의대 교수는 ""국내 파킨슨병 연구가 치료법과 진단에 집중돼 역학 연구와 환자 삶의 질을 높이기 위한 기초 연구가 매우 부족한 실정""이라며 ""국내 파킨슨병의 현황과 발병 원인을 체계적으로 분석해 환자와 보호자에게 도움이 될 수 있는 기초 연구를 활성화해야 한다""고 강조했다.    학회장인 김희태 한양대 의대 교수는 ""파킨슨병 환자가 계속 증가하고 있고 간병에 대한 부담감을 호소하는 가정이 늘고 있는 만큼 치매와 마찬가지로 정부에서 지원 방안을 마련해야 한다""며 ""학회는 파킨슨병 환자와 가족에게 희망을 줄 수 있는 정책 입안과 새로운 치료법 개발을 위해 노력하겠다""고 밝혔다.    [연합뉴스TV 제공]    kms@yna.co.kr최신 유행 트렌드 총집결 #흥(클릭!) ]",[],http://www.nocutnews.co.kr/news/4759921,https://n.news.naver.com/mnews/article/001/0009152451?sid=102
2017.03.31.,뉴스1,,"울산남부서 ""보름째 실종, 70대 치매노인 찾습니다""",,,http://news1.kr/articles/?2953475,https://www.nocutnews.co.kr
2017-03-31 17:32:03,경인일보,사회,"파주시, 노인건강 위한 치매예방 사업 운영","[ [울산CBS 이상록 기자]    CCTV에 찍힌 실종 노인의 모습. (사진=울산 남부경찰서 제공)울산에서 치매를 앓고 있는 것으로 추정되는 70대가 실종돼 경찰이 수색에 나섰다.31일 울산 남부경찰서에 따르면 남구 야음동에 거주하는 박모(72)씨는 지난 16일 오후 2시50분쯤 집을 나선 뒤 지금까지 소재가 확인되지 않고 있다.경찰은 실종 3일 뒤인 19일 박씨의 부인으로부터 신고를 받고 대대적인 수색을 벌였다.그 결과 박씨가 실종 당일 오후 3시23분쯤 중구 태화로터리를 지나는 시내버스에 앉아있는 모습을 확인했다.그러나 그 이후 행적은 지금까지 확인되지 않고 있다.경찰은 전국단위 실종경보를 발령하고, 시내버스와 택시 회사 등에 협조를 요청했다.경찰 관계자는 ""가족들의 진술로 미뤄 박씨가 초기 치매를 앓고 있는 것으로 추정된다""며 ""다른 지역으로 수색 범위를 확대할 예정이다""고 밝혔다.경찰은 실종 노인 발견 시 울산 남부경찰서 여성청소년과(052-208-0398) 또는 가까운 지구대·파출소로 신고할 것을 당부했다.jjayat@hanmail.net저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지  ]",[],http://www.kyeongin.com/main/view.php?key=20170330010011205,https://n.news.naver.com/mnews/article/079/0002949031?sid=102
2017.03.31.,KNN,,건강365-치매예방하기,,,http://news.knn.co.kr/news/todaynews_read.asp?etime=2017032700111&userid=yyy&newsgubun=section,http://news1.kr/
2017-03-31 14:24:41,대전일보,사회,"부여군보건소, 치매 인지재활 프로그램 호응","[     울산남부경찰서는 평소 치매 초기증상을 앓고 있는 박모씨(72). © News1(울산=뉴스1) 이윤기 기자 = 70대 치매노인이 보름째 집에 돌아오지 않아 실종경보 발령이 내려졌다.울산남부경찰서는 31일 치매 초기증상을 앓고 있는 박모씨(72)가 16일 집을 나서 현재까지 귀가하지 않고 있다며 시민 제보를 요청했다.19일 오전 6시 49분께 실종자의 처인 이모씨가 ""남편이 3일 전에 가출했다""며 경찰서에 신고한 후, 경찰이 주변 수색 및 탐문을 실시했으나 실종자는 발견되지 않고 있다.경찰 관계자는 ""박씨가 집을 나선 16일 오후 3시 23분께 태화로터리 방범용 CCTV를 통해 버스를 타고 있는 박씨의 마지막 모습이 목격됐다""며 ""향후 실종자가 있을 것으로 예상되는 타 지역으로까지 수색 범위를 확대할 예정""이라고 밝혔다.경찰은 실종 치매노인 발견시 울산 남부경찰서 여성청소년과 또는 가까운 지구대·파출소로 신고할 것을 당부했다.bynaeil@▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지] ]",['치매노인 집보다 시설이 더 안전할 것 같다는 생각이 드네요!! 빨리 돌아오기를!!!'],http://www.daejonilbo.com/news/newsitem.asp?pk_no=1258066,https://n.news.naver.com/mnews/article/421/0002644661?sid=102
2017.03.30.,머니투데이,,얼굴변화 예측해 실종아동·치매환자 찾는다,,,http://www.mt.co.kr/view/mtview.php?type=1&no=2017033011040341249&outlink=1,http://www.kyeongin.com
1면 1단,서울신문,,치매 독거노인 비참한 10만명,,,http://www.seoul.co.kr/news/newsView.php?id=20170330001020&wlog_tag3=naver,http://www.knn.co.kr
2017.03.31.,이뉴스투데이,,"대전유성서, 치매 어르신 발견 기여자에 감사장",,,http://www.enewstoday.co.kr/news/articleView.html?idxno=1035799,http://www.daejonilbo.com/
2017.03.30.,뉴데일리,,"중원대, 충북 최초 ‘치매극복 선도대학’ 지정",,,http://www.newdaily.co.kr/news/article.html?no=340781,http://www.mt.co.kr/
2017.03.31.,메디게이트뉴스,,치매를 치료하는 의사들의 고충,,,http://www.medigatenews.com/news/1067273807,http://www.medigatenews.com
2017.03.31.,경북일보,,"이강덕 포항시장, 해도동 치매보듬마을 발대식 참석",,,http://www.kyongbuk.co.kr/?mod=news&act=articleView&idxno=989266,http://www.kyongbuk.co.kr
2017.03.30.,헬스조선,,"'홍차·녹차' 매일 한 잔, 치매 위험 50% 낮춘다",,,http://health.chosun.com/site/data/html_dir/2017/03/30/2017033001104.html,http://health.chosun.com/
