Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.12.31.,연합뉴스,,"""파킨슨병 환자, 주 5회 30분씩 운동하면 사망률 34% 감소""",,,http://yna.kr/AKR20211231061600017?did=1195m,https://www.yna.co.kr/
2021-12-31 11:06:38,한국경제,사회,"“카이노스메드, 내년 1분기 파킨슨병 美 2상 진입 기대”","[ 1만699명 파킨슨병 환자 추적…중강도 신체 활동 사망률 감소에 효과적    [세브란스병원 제공. 재판매 및 DB 금지](서울=연합뉴스) 김잔디 기자 = 적절한 신체 활동이 파킨슨병 환자의 생존율을 높이는 데 효과적이라는 연구 결과가 나왔다. 특히 일주일에 5회 이상, 한번에 30분 가량 숨이 조금 찰 정도로 하는 중강도 운동이 사망률을 가장 큰 폭으로 낮췄다.    연세대 세브란스병원 재활의학과 김용욱 교수와 고려대 구로병원 재활의학과 윤서연 교수 연구팀은 국민건강보험공단 자료를 바탕으로 2010년부터 2013년까지 파킨슨병을 진단받은 환자 1만699명을 장기 추적한 결과 이러한 사실을 확인했다고 31일 밝혔다.     연구팀은 이들의 신체 활동 강도와 총량, 파킨슨병 발생 이후까지 신체 활동의 유지 정도가 사망률에 미치는 영향을 확인했다.    그 결과 신체 활동을 하지 않거나 줄인 환자와 비교해 저강도, 중강도, 고강도의 신체 활동을 하는 그룹에서 모두 사망률이 감소한 것으로 나타났다. 파킨슨병을 진단받은 이후에도 운동 등 신체 활동을 유지하는 것이 사망률을 떨어뜨릴 수 있다는 의미다.    신체 활동 강도별로 보면 저강도 환자군은 19%, 중강도 환자군은 34%, 고강도 환자군은 20% 가량 사망률이 감소했다.     저강도 운동은 일주일에 5회 이상 한 번에 최소한 10분 이상 걸은 경우를 포함해 하루에 30분 이상 걷는 정도다. 가벼운 운동, 출·퇴근 혹은 여가 시간에 걷는 경우를 포함한다.    중강도 운동은 일주일에 5회 이상 평소보다 숨이 조금 더 차게 만드는 정도의 활동을 하루 30분 이상 시행했을 때다. 빠르게 걷기, 복식 테니스 치기, 보통 속도로 자전거 타기, 엎드려 걸레질하기 등이 대표적이다.    고강도 운동은 일주일에 3회 이상 평소보다 숨이 훨씬 더 차게 만드는 격렬한 활동을 하루 20분 이상 시행한 경우다. 달리기, 에어로빅, 빠른 속도로 자전거 타기, 등산 등이다.    이번 연구는 신체 활동을 늘리는 것이 파킨슨병 환자의 장기 예후인 사망률의 감소에 영향을 미친다는 점을 입증했다는 데 의의가 있다고 연구팀은 설명했다.    김 교수는 ""파킨슨병 환자는 진단 초기부터 신체 활동을 늘리기 위한 생활 습관 교정 및 지속적인 운동이 필요하다""며 ""파킨슨병은 근력 감소, 자세 이상, 균형 능력 저하를 동반하기 때문에 환자의 상태를 고려해 적절한 재활 운동을 병행하는 게 도움을 줄 수 있을 것""이라고 밝혔다.     연구 결과는 미국의학협회(JAMA)가 발간하는 '미국 의학협회 저널-신경학'(JAMA Neurology)에 게재됐다. jandi@yna.co.kr ]",[],https://www.hankyung.com/finance/article/202112275302i,https://n.news.naver.com/mnews/article/001/0012889905?sid=102
19면 1단,머니투데이언론사 선정,,"파킨슨병 환자 몸에 붙였더니 깜짝…韓여성, 유럽서 120억 투자 유치한 비결",,,http://news.mt.co.kr/mtview.php?no=2021122016560745203,http://www.hankyung.com/
2021-12-27 08:53:01,매일경제,IT/과학,"메디헬프라인, 파킨슨병 치료제 WIN-1001X 임상3상 IND 신청","[ 하나금융투자 분석하나금융투자는 27일 카이노스메드에 대해 내년 파킨슨병 치료제(KM-819)의 미국 임상 2상 진입이 기대된다고 했다. 투자의견 및 목표주가는 제시하지 않았다.카이노스메드의 주요 후보물질(파이프라인)인 KM-819는 세포의 죽음을 촉진하는 ‘FAF1’ 단백질의 과발현을 억제해 신경세포의 사멸을 막는다. 또 자가포식(autophagy) 기능을 활성화해 알파시누클라인의 축적을 억제한다. 알파시누클라인은 파킨슨병의 주요 원인이 되는 단백질이다.KM-819는 지난달 미국 식품의약국(FDA)으로부터 임상 2상을 승인받았다.김두현 연구원은 “내년 1분기 KM-819가 미국 2상에 돌입할 전망”이라며 “현재 글로벌 파킨슨병 치료제 시장에 출시돼 있는 건 증상 완화제뿐이기 때문에 기술이전 수요가 크다”고 말했다.지난 3일 노바티스는 벨기에 제약사 UCB와 UCB가 임상 2상 중인 알파시뉴클라인 오접합 억제제 ‘UCB0599’의 공동개발 계약을 체결했다. 계약금 규모는 선급금 약 1억5000만달러(약 1800억원), 단계별기술료(마일스톤) 15억달러(약 1조8000억원)다. 김 연구원은 “내년 KM-819 미국 임상 2상에도 관심이 필요한 시점”이라고 했다.KM-819는 내년 1분기 다계통위축증 국내 임상 2상에도 진입할 것이란 전망이다. 김 연구원은 “다계통위축증은 파킨슨병과 같은 뇌 퇴행성 질환으로, 이번 2상 결과가 잘 나올 경우 향후 파킨슨병 임상에도 긍정적으로 활용될 가능성이 있다”며 “다계통위축증은 희귀 질환으로 분류돼 임상 2상 성공 시 조건부 판매 승인도 가능할 것”이라고 예상했다.    사진 제공=하나금융투자에이즈치료제 기술이전에 따른 경상기술사용료(로열티) 수익도 내년에 거둘 수 있을 것으로 봤다. 회사의 에이즈치료제 후보물질 ‘KM-023’은 2014년 중국 제약사 장쑤아이디로 기술이전됐다. 이를 통해 개발된 ‘ACC007’은 지난 6월 중국에서 신약시판허가(NDA)를 받았다. 카이노스메드에 따르면 ACC007은 중국에서 개발된 최초의 먹는(경구용) 에이즈 치료제다.김 연구원은 “ACC007은 현재 중국 건강보험 등재가 완료돼 내년 판매가 본격화될 것”이라고 전망했다.KM-023으로 신흥국(이머징) 시장 진출도 가능할 것이란 예상이다. 김 연구원은 “카이노스메드는 KM-023의 중국 판권만 이전한 상태”라며 “향후 장쑤아이디와의 합작사를 통해 이머징 시장에도 공동 진출할 계획”이라고 했다. 이도희 기자 ]","['어서빨리 진행해주세여!!\n임상 성공하길!!!', '니들이 거짓말친게 수십가지이다.. 사기꾼 집단들아 ㅡㅡ', '니들이 인간이냐? 솔직히 말해라 지금 파킨슨 실패할거 뻔히 보이지 않아? 니들 진짜 그렇게 경영해봐라 개인주주들이 가만히 있나...ㅡㅡ 뿌린대로 걷어 들이니는게 세상의 이치다.ㅡㅡ 이 벌ㅡㅡㅡㅡㅡㅡㅡㅡ레기업아']",http://news.mk.co.kr/newsRead.php?no=1214071&year=2021,https://n.news.naver.com/mnews/article/015/0004645268?sid=105
2021.12.30.,약사공론,,"[카드뉴스]""고단백 식품 섭취 주의"" 파킨슨 환자 치료제",,,https://www.kpanews.co.kr/article/show.asp?idx=228683&category=E,http://www.mt.co.kr/
2021-12-27 08:23:17,데일리팝,경제,"[건강 Q&A] 신체 떨림 증가하는 진전증, 파킨슨병일까요?","[    [[스타트UP스토리]정수민 샤코 뉴로텍 대표 ""환자들의 미소 되찾아주겠다""]    정수민 샤코 뉴로텍 대표 한국인이 창업한 영국 소재 의료기기 스타트업 샤코 뉴로텍(Charco Neurotech)이 최근 1000만달러(약 120억원)의 대규모 시드투자를 유치해 글로벌 헬스케어 업계의 주목을 받고 있다. 샤코 뉴로텍은 2019년 영국의 임페리얼 칼리지 대학(Imperial College London)에서 스핀아웃(분사)한 기업이다. 고려대에서 산업정보디자인을 전공한 정수민(Lucy Jung) 대표가 영국에서 석사 과정을 밟던 중 창업 전선에 뛰어들었다. 정 대표는 임페리얼 칼리지와 왕립예술대학(Royal College of Art)에서 혁신기술 디자인 공학을 공부하며 가슴 쪽에 부착하는 웨어러블 기기 'CUE¹'을 개발했다. 이 기기는 말초신경 자극을 통해 파킨슨병 환자의 이상 증상을 완화하는 신경조절 치료를 제공한다. 구체적으로 보행 중 △서동(느려짐, bradykinesia) △경직(Rigidity) △동결(Freezing of gait) 등 파킨슨병 증상들을 추적·개선한다. 약물 복용시간을 알리는 알람 기능도 탑재됐으며 전용 앱을 통해 사용자는 자신의 증상을 모니터링 할 수 있다. ━""파키슨병 환자 삶의 질 향상 위한 진전 필요""━    파킨슨병은 도파민과 관련된 신경세포 소실이 특징적인 질환이다. 신경계 퇴행성 질환 중 알츠하이머병(치매)에 이어 2위를 차지할 만큼 발생 빈도가 높다. 대부분 중년 이후에 증상이 시작되며 나이가 증가할수록 발생 가능성이 커진다. 치료는 기본적으로 약물치료를 실시한다. 근본적인 치료약은 아직 연구단계에 있다. 현행 약물치료는 파킨슨병 증상을 완화하는 효과를 보이지만 장기간 약물을 투여할 경우 부작용이 나타날 수도 있다. 정수민 대표는 20일 머니투데이와의 서면 인터뷰에서 ""전 세계적으로 1시간마다 2명의 환자들이 파킨슨병을 진단받고 있다. 세계적으로 가장 빠르게 급증하고 있는 신경계 퇴행성 질환""이라고 했다. 그는 ""안타깝게도 아직까지 뚜렷한 완치법이 없으며 약물을 포함한 기존 치료제는 개인에게 주는 효과가 한정적인 경우가 많다. 파킨슨 환자들의 삶의 질을 향상시키기 위한 진전과 발전이 필요한 시점""이라고 덧붙였다. ━""파킨슨병 환자 일상에 도움될 잠재력 있는 기술 발견""━    정수민 샤코 뉴로텍 대표(왼쪽 두번째)가 캠브리지 경영대에서 연설 준비를 하고 있다. 정 대표는 ""학부시절 산업 디자인을 공부하며 기술로 다른 사람들에게 도움을 주고 싶다는 것을 깨달았다""며 ""파킨슨병에 집중하게 된 것은 이들의 일상에 도움이 될 잠재력 있는 기술을 발견했기 때문""이라고 했다. 정 대표는 ""당시 대학의 연구 프로젝트였지만 파킨슨병 환자들에게 진정한 도움을 주기 위해 샤코 뉴로텍을 설립했다""며 ""만성질환 환자들에게 가려진 미소를 되찾아주는 것이 사업목표""라고 강조했다. 샤코 뉴로텍의 공동 설립자인 플로이드 피에르(Floyd Pierres)는 내과 임상의 출신이며 팀원들은 케임브리지·옥스퍼드를 비롯해 런던 주요 대학 출신의 하드웨어·소프트웨어 개발자와 디자이너, 의료공학 엔지니어, 데이터 과학자 등으로 구성돼있다. 다양한 전문 분야의 협력을 통해 신경학적 퇴행성 질환이 있는 사람들의 삶을 돕는 기술을 만든다는 것이 이들의 목표다. 정 대표는 ""혁신을 통해 파킨슨병 환자 모두의 삶의 질을 향상시키는데 기여하겠다""고 했다. ━올해 유럽 최대 규모 시드투자 유치━    샤코 뉴로텍은 지난달 영국 최대 딥테크 분야 벤처캐피탈(VC) 중 하나인 아마데우스 캐피탈 파트너스(Amadeus Capital Partners)와 파크워크 어드바이저스(Parkwalk Advisors)가 리드 투자자로 참여한 1000만달러 규모의 시드투자를 유치했다. 이번 투자에는 한국의 민트 벤처 파트너스(Mint Venture Partners), 일본 도쿄대 엣지캐피탈(UTEC, University of Tokyo Edge Capital Partners), 유럽의 크리스타 갈리 벤처스(Crista Gali Ventures)가 함께 참여했다. 글로벌 시장정보업체 피치북(Pitchbook)에 따르면 샤코 뉴로텍의 이번 시드투자 유치는 올해 유럽에서 최대 규모이자 글로벌 헬스케어 의료 기기 분야에서는 6번째로 큰 규모로 분석됐다. 송재훈 민트 벤처 파트너스 대표는 ""현재 파킨슨병의 운동장애는 뚜렷한 치료법이 없다. 기존 치료법들도 환자들에게 미치는 효과가 극히 제한적""이라며 ""CUE¹이 환자들의 삶의 질을 개선하는 사명을 실현하는데 함께 할 수 있기를 기대하고 있다""고 했다. 샤코 뉴로텍은 이번 투자유치를 통해 CUE¹의 본격적인 유럽 판매에 돌입할 계획이다. 영국에서 이미 의료기기 인증을 받았으며 현재 약 6000명의 제품 대기자들이 있다고 정 대표는 설명했다. 그는 ""미국 진출을 위한 식품의약국(FDA) 허가 절차도 밟고 있으며 일본, 한국, 캐나다 판매를 위해 해외 기관들의 승인을 기다리고 있다. CUE¹을 필요로 하는 모든 사람들에게 제품을 사용할 수 있는 기회를 만들기 위해 출시 국가를 확장해나갈 것""이라고 했다. [머니투데이 스타트업 액셀러레이팅 미디어 플랫폼 '유니콘팩토리'] ]","['', '', '빨리   구매하고 싶다. 파킨슨 도파민약 너무 오래 먹으면 급성치매 와요..', '축하합니다 제 2의 황우석 아니시길 바랍니다', '좋은 소식이네요.빨리  시판되기를~', '과장 기사화 된 사업 성공담 대부분 2-3년 후 후속 취재하면 매출 없고 자본잠식 이거나 법인 청산 중이 대부분.', '멋있다', '자동적인 운동을 못하는 파킨슨환자에게 외부에서 메트로놈이나 사다리무늬같은 시쳥각적 리듬신호를 주면 그에 맞춰 운동을 행할수있는건 원래 고전적인 운동치료법입니다. 그닥 대단한 기술을 쓴건 아닌거같은데.. 그냥 메트로놈을 가슴팍에 전기자극주는걸로 대체한것인듯?', '테라노스 삘 난다 ㄷㄷㅋㅋ', '정수민 화이팅 !  파킨슨 병에서 해방되자 !     샤코 뉴로텍 가즈아 !', '빨리 한국에 보급됐으면 좋겠네요  파킨슨 약 너무 많이 먹어서 치매까지 왔는데 ㅠㅠ 좋은 일 하셨네요', '파킨슨 환자에게 희망을 주는 소식이군요. 한국인 CEO 영국에서 성공한 사례로 모두 응원하고 격려 해 줍시다.  영국뿐만 아니라 일본 한국 4개국 벤처 투자 받았으니 충분한 검증이 되었을 것입니다. 전문가가 검토 했을테니 감성적인 댓글보다 잘 하라고 격려 합시다. 자랑스러운 일입니다.', '멋지다 정수민!\n멀리서라도 응원합니다~', '자랑스러워요 ~\n화이팅 ~!', '믿어도 되는건가..사실이라면 좀 빨리 나오지...ㅠㅠ', '냄새가난다', '4만원짜리 클럭 같은 거 아님?', '대단하시네', '사기 냄새가 솔솔~~ 피 한방울로 모든 병 알아낸다는 미국 사기꾼이 생각남', '', '', '크리스데살라진', '', '파킨슨에 대마가 약이라던데..', '자랑스러운 k-의료!!', '이준석이도 이런젊은이 보고 배워라..못된것만 매워서', '']",http://www.dailypop.kr/news/articleView.html?idxno=56911,https://n.news.naver.com/mnews/article/008/0004688238?sid=101
2021.12.29.,세계비즈,,"파킨슨병, 진행 완화에 초점 맞춘 치료가 관건",,,http://www.segyebiz.com/newsView/20211228515631?OutUrl=naver,http://www.mk.co.kr/
2021-12-28 16:58:01,메디칼업저버,IT/과학,[송년 특집] 진료 가이드라인 업데이트 없이 잠시 쉬어가는 한 해,"[    메디헬프라인(대표 박옥남)은 오토파지 활성화 기전의 파킨슨병 치료제 'WIN-1001X'의 국내 임상2상시험을 종료하고, 이를 바탕으로 '레보도파(Levodopa)'와의 비교 임상3상 시험계획서 IND(Investigational New Drug)를 식품의약안전처(식약처)에 제출하고 접수 완료하였다""고 27일 밝혔다. 메디헬프라인의 WIN-1001X 임상 2상 시험은 2018년 4월부터 보건복지부가 지원한 첨단의료기술개발 사업에 선정되어 임상 연구비 32억원을 지원받아 진행하였다. 'WIN-1001X'는 뇌신경 세포를 보호하고 도파민 분비를 정상화 시킬 수 있는 오토파지(Autophagy) 활성 유도와 신경세포 사멸(Apoptosis) 억제 기전의 파킨슨병 치료제다. 오토파지는 세포 내에서 유해물질 등을 분리해 새로운 단백질과 에너지를 만들어내는 역할을 하는 현상이다.임상 2상 시험에 참여한 병원은 서울성모병원(시험조정자: 김중석 교수) 등 총 11여곳으로, 2020년 1월 첫 시험자 등록 이후 187명의 환자를 대상으로 12주간 투여 후 위약과 대비하여 안전성과 유효성을 평가했다.메디헬프라인에 따르면 2021년 4월에 완료한 임상2상시험 결과 WIN-1001X를 투여한 모든 군에서 투여 12주후 파킨슨병 평가 척도인 ’운동장애 사회적 통합 파킨슨 질병 등급 척도(MDS-UPDRS)’ PARTIII의 점수로 표현되는 운동증상이 군내 기저치 대비 유의적으로 개선됨을 확인했다. 약물과 관련한 어떠한 중대한 이상 반응도 관찰되지 않아 임상을 통한 안전성 역시 재확인했다는 것이 메디헬프라인의 설명이다.메디헬프라인 R&amp;D센터 정인호 연구개발본부장은 ""이번 임상2상시험의 결과를 토대로 용법 용량을 확정하고 기존 파킨슨병 치료제인 레보도파와의 비교임상시험 디자인으로 임상3상시험 프로토콜을 설계했다""며 ""현재 미국 FDA에 임상 2상 IND를 제출하기 위한 자료를 점검중으로 2022년 상반기에 글로벌 진출의 계기가 될 수 있는 FDA 2상 임상시험 승인을 기대한다""라고 밝혔다. ]","['하루 빨리 임상절차가 완료되어 신약으로 출시되기를 기대합니다. 파킨슨 환우 가족들에게 새로운 등불이 되기를....', '제발 하루속히  치료제가 나와서\n저희언니 아푸지 않게 해주세요..']",http://www.monews.co.kr/news/articleView.html?idxno=309423,https://n.news.naver.com/mnews/article/009/0004900520?sid=105
2021.12.28.,글로벌경제,,"에이비엘바이오, 보건복지부 '혁신형 제약기업' 재인증.. 파킨슨약 개발 박차",,,http://www.getnews.co.kr/news/articleView.html?idxno=565973,http://www.kpanews.co.kr
2021.12.28.,동아사이언스언론사 선정,,[강석기의 과학카페]아데노신과 카페인의 두 얼굴,,,https://www.dongascience.com/news/view/51331,http://www.dailypop.kr
