,제목
230000,1
230001,2
230002,1
230003,2
230004,2
230005,1
230006,2
230007,2
230008,1
230009,1
230010,2
230011,2
230012,2
230013,2
230014,2
230015,2
230016,2
230017,1
230018,2
230019,2
230020,2
230021,1
230022,2
230023,2
230024,2
230025,1
230026,1
230027,2
230028,2
230029,2
230030,1
230031,2
230032,2
230033,2
230034,2
230035,1
230036,2
230037,2
230038,1
230039,2
230040,2
230041,2
230042,2
230043,2
230044,1
230045,1
230046,1
230047,1
230048,2
230049,1
230050,2
230051,1
230052,1
230053,1
230054,2
230055,2
230056,1
230057,2
230058,2
230059,2
230060,1
230061,2
230062,2
230063,2
230064,1
230065,2
230066,2
230067,2
230068,2
230069,2
230070,2
230071,2
230072,2
230073,2
230074,2
230075,2
230076,2
230077,2
230078,1
230079,2
230080,1
230081,2
230082,1
230083,1
230084,1
230085,1
230086,1
230087,1
230088,2
230089,1
230090,2
230091,1
230092,1
230093,2
230094,2
230095,1
230096,1
230097,2
230098,2
230099,2
230100,2
230101,1
230102,1
230103,2
230104,2
230105,2
230106,2
230107,2
230108,2
230109,2
230110,2
230111,1
230112,2
230113,1
230114,2
230115,2
230116,1
230117,1
230118,2
230119,1
230120,1
230121,2
230122,1
230123,1
230124,2
230125,1
230126,2
230127,1
230128,2
230129,2
230130,1
230131,2
230132,2
230133,1
230134,2
230135,2
230136,1
230137,2
230138,1
230139,1
230140,1
230141,1
230142,2
230143,2
230144,1
230145,1
230146,1
230147,1
230148,2
230149,2
230150,1
230151,1
230152,1
230153,2
230154,1
230155,1
230156,1
230157,1
230158,1
230159,2
230160,2
230161,2
230162,2
230163,2
230164,2
230165,2
230166,1
230167,2
230168,2
230169,1
230170,1
230171,1
230172,1
230173,2
230174,2
230175,2
230176,1
230177,2
230178,2
230179,2
230180,1
230181,2
230182,2
230183,2
230184,1
230185,1
230186,2
230187,1
230188,2
230189,2
230190,2
230191,2
230192,2
230193,1
230194,2
230195,2
230196,1
230197,1
230198,1
230199,1
230200,1
230201,2
230202,1
230203,2
